序号,武将位置x1,武将位置z1,战法1,武将位置x2,武将位置z2,战法2,武将位置x3,武将位置z3,战法3,武将位置x4,武将位置z4,战法4,武将位置x5,武将位置z5,战法5
97,56,-8,3,56,0,3,63,0,1,63,-24,6,70,-24,6
98,63,0,3,63,-32,6,70,-24,6,63,32,7,70,24,7
99,49,-8,1,49,8,1,77,-8,5,77,8,5,70,0,5
100,49,0,1,63,0,3,70,-8,3,70,8,3,77,0,5
101,56,-8,3,56,8,3,63,0,3,77,-8,5,77,8,5
102,49,0,1,63,0,1,77,-8,5,77,0,5,77,8,5
103,63,0,1,70,-32,6,70,32,7,70,-8,3,70,8,3
104,56,0,1,63,-8,1,63,8,1,77,-8,3,77,8,3
105,63,-8,1,63,0,1,63,8,1,77,-8,1,77,8,1
106,49,0,1,63,0,1,70,0,5,77,-8,5,77,8,5
107,56,0,1,63,0,3,70,-8,1,70,0,1,70,8,1
108,70,0,1,77,-8,3,77,8,3,0,0,0,0,0,0
109,77,0,3,0,0,0,0,0,0,0,0,0,0,0,0
110,63,-24,6,63,16,7,70,8,7,70,24,7,77,16,3
111,63,-8,1,63,8,1,70,-16,3,70,16,3,77,0,3
112,56,0,4,63,-8,1,63,8,1,70,-32,6,70,32,7
113,49,0,1,49,-16,1,49,16,1,56,0,3,70,0,3
114,56,0,1,63,0,1,63,-8,1,63,8,1,77,0,3
115,63,0,1,63,-8,3,63,8,3,70,0,3,77,0,5
116,56,-8,1,56,8,1,70,-16,3,70,16,3,77,0,4
117,63,-24,6,77,-24,6,70,8,3,77,0,3,77,8,1
118,63,0,1,70,-8,1,70,8,1,77,-16,1,77,16,1
119,49,0,1,70,0,5,77,8,5,77,-8,5,77,0,3
120,77,-8,1,77,8,1,63,0,1,77,0,3,70,24,6
121,63,-8,5,63,0,1,63,8,5,70,-8,3,70,8,3
122,56,0,1,63,-24,3,63,24,3,70,-8,3,70,8,3
123,56,-8,1,56,8,1,70,-24,3,70,24,3,77,0,3
124,63,0,1,70,-8,1,70,8,1,77,-16,3,77,16,3
125,56,0,1,63,-8,3,63,8,3,70,0,1,77,0,1
126,56,-8,1,56,8,1,63,-16,6,63,16,7,77,0,3
127,56,-24,6,56,8,1,56,24,1,63,-24,3,70,16,3
128,49,0,0,56,0,3,63,0,1,70,0,1,77,0,1
129,49,-16,1,49,-8,1,49,0,1,49,8,1,49,16,1
130,56,0,0,63,-32,6,63,-8,7,63,8,3,63,32,3
131,56,0,1,63,-8,1,63,8,1,77,-8,3,77,8,3
132,56,0,1,63,-16,1,63,-8,1,63,8,1,63,16,1
133,63,-32,6,63,0,5,63,32,7,77,-32,3,77,32,3
134,49,0,5,56,0,1,63,0,1,70,0,1,77,0,1
135,56,-8,4,56,8,4,70,-16,4,70,0,3,70,16,3
136,56,0,1,63,-32,1,63,32,1,77,-32,6,77,32,7
137,63,-8,1,63,8,1,70,-16,5,70,16,5,77,0,3
138,56,-16,1,56,-8,1,56,8,1,56,16,1,70,-16,3
139,56,-40,6,56,-32,4,56,0,1,56,32,7,77,-40,3
140,56,-16,4,56,16,4,70,-32,1,70,0,3,70,32,1
141,56,0,5,63,0,3,70,-8,3,70,8,3,77,0,3
142,56,-8,5,56,8,5,63,-16,5,63,-8,5,77,-16,3
143,56,-8,1,56,0,1,56,8,1,70,0,3,77,0,3
144,56,0,5,56,8,5,63,-8,1,70,-8,3,70,8,3
145,56,-16,5,56,0,1,56,16,5,70,-8,3,70,8,3
146,63,-8,3,63,8,3,70,-32,3,70,0,3,70,32,3
147,56,-16,1,63,0,1,56,16,1,70,-16,3,70,16,3
148,56,0,1,63,0,3,70,-8,3,70,8,3,77,0,3
149,56,-8,1,56,8,1,63,-40,6,63,0,3,63,40,7
150,70,-16,1,70,0,5,70,16,1,77,-16,3,77,16,3
151,63,-8,1,63,8,1,70,-8,3,70,8,3,77,0,3
152,70,-16,3,70,-8,3,70,0,4,70,8,3,70,16,3
153,56,0,1,63,-8,1,63,8,1,77,-32,6,77,32,7
154,70,-32,3,70,-8,3,70,0,3,70,8,3,70,32,3
155,56,-8,1,56,8,1,70,-32,6,70,0,3,70,32,6
156,56,-8,5,56,8,1,63,0,5,70,-8,3,70,8,3
157,49,-40,4,56,-40,3,56,-32,4,63,-32,3,63,-24,4
158,49,16,1,56,8,1,63,0,1,70,-8,1,77,-16,1
159,56,0,1,63,0,5,70,-8,3,70,0,3,70,8,3
160,56,0,5,70,-16,1,70,16,1,77,-8,3,77,8,3
161,63,-8,1,63,8,1,70,-8,6,70,0,3,77,0,3
162,56,0,1,63,-8,1,63,0,3,63,8,1,70,0,3
163,49,0,5,56,-8,5,56,8,5,63,-16,6,63,16,7
164,63,-8,5,63,8,5,70,0,3,77,-8,3,77,8,3
165,56,-32,1,56,-16,1,56,0,1,56,16,1,56,32,1
166,49,0,3,56,0,4,63,0,1,70,0,1,77,0,1
167,49,0,1,56,0,1,63,0,1,70,0,1,77,0,1
168,56,-8,1,56,8,5,63,0,3,70,-8,3,70,8,7
169,56,-8,1,56,8,1,70,-8,3,70,0,1,70,8,3
170,56,-24,1,56,0,1,56,24,1,63,-40,6,63,40,7
171,56,-8,1,56,8,1,63,0,3,70,0,5,77,0,5
172,70,0,1,70,-16,1,70,-8,3,70,8,3,70,16,1
173,56,0,1,63,-8,1,63,8,1,70,-24,5,77,-24,6
174,56,-16,1,56,-8,1,56,0,1,56,8,1,77,0,5
175,63,0,1,70,-16,3,70,-8,3,70,8,3,70,16,3
176,63,-32,1,63,32,1,77,-16,1,77,0,1,77,16,1
177,49,-16,1,49,-8,1,49,0,1,49,40,5,56,40,7
178,56,0,1,63,-8,3,63,8,3,70,24,5,77,24,7
179,70,-40,3,70,-32,3,70,-24,3,77,-32,3,77,-24,4
180,49,0,1,56,-16,6,56,16,7,63,0,3,70,0,5
181,56,-16,1,56,0,1,56,16,1,70,-16,3,70,16,3
182,56,-24,1,56,0,1,63,0,1,70,-24,3,77,-24,3
183,49,-40,6,49,-8,5,49,0,5,49,8,5,49,40,7
184,56,-8,4,56,8,4,63,0,4,70,0,1,77,0,1
185,49,-16,6,49,-8,1,49,8,1,49,16,7,56,0,5
186,56,-6,1,56,0,1,63,-8,3,63,8,3,70,32,7
187,56,-16,1,56,16,1,63,-16,5,63,0,3,63,16,5
188,56,-16,1,56,0,1,56,16,1,63,-8,3,63,8,3
189,49,-8,5,49,8,5,56,0,1,63,0,1,70,0,1
190,56,-8,4,56,0,1,63,0,1,63,8,4,70,0,3
191,56,-32,1,56,0,1,70,-32,6,70,-8,3,70,8,3
192,63,-16,4,70,-16,3,70,-8,3,70,0,4,77,-16,3
193,49,-8,1,49,8,1,63,-16,3,63,16,3,70,0,3
194,49,0,5,70,-16,5,70,16,5,77,-8,5,77,8,5
195,63,0,1,70,-16,3,70,16,3,77,-8,3,77,8,3
196,49,-8,1,49,8,1,63,-16,1,63,16,1,56,0,1
197,56,-16,3,56,16,3,63,0,3,70,-8,3,70,8,3
198,70,0,1,77,-32,1,77,32,1,77,-8,3,77,8,3
199,56,0,6,63,-32,6,63,16,7,70,-8,7,77,24,7
200,63,-8,1,63,8,1,77,-8,3,77,8,3,77,0,5
201,49,0,1,63,-32,6,63,32,7,77,0,3,0,0,0
202,56,0,1,63,-8,1,63,8,3,70,-16,5,70,16,5
203,63,-8,1,63,8,1,70,-16,1,70,0,1,70,16,1
204,56,0,1,70,0,3,77,-8,3,77,0,1,77,8,3
205,49,-16,1,49,-8,1,56,32,7,63,32,7,63,-32,4
206,56,0,1,63,-24,1,63,24,1,77,-8,3,77,8,3
207,49,16,5,56,-16,5,70,16,5,77,-16,5,63,0,5
208,56,24,3,63,24,3,70,-32,6,77,-40,6,77,-24,6
209,56,-32,1,56,-16,1,63,-24,3,63,24,7,70,32,6
210,49,0,1,70,0,1,77,-8,1,77,8,1,77,0,3
211,49,0,4,56,-8,3,56,8,3,56,0,3,63,0,3
212,49,0,1,56,0,3,70,-8,5,70,8,5,77,0,5
213,49,-16,1,70,-32,5,77,-40,5,77,-24,5,77,-32,3
214,70,-8,3,70,8,3,0,0,0,0,0,0,0,0,0
215,49,16,1,56,8,1,56,24,1,56,16,3,77,-40,6
216,56,-8,1,56,8,1,63,0,3,70,-8,3,70,8,3
217,56,0,1,63,-16,1,63,16,1,77,-8,3,77,8,3
218,49,-8,1,49,8,1,56,-24,6,63,-16,6,70,0,3
219,70,16,5,77,8,5,77,16,5,77,24,5,77,0,3
220,49,-8,1,49,8,1,63,0,5,70,-16,5,70,16,5
221,56,-32,3,56,32,3,77,-16,3,77,16,3,70,0,1
222,63,-32,3,63,0,3,63,32,3,77,-16,3,77,16,3
223,49,0,4,56,-16,3,56,16,3,63,0,3,77,0,3
224,49,0,1,70,-8,1,70,8,1,56,0,3,63,0,1
225,56,0,4,70,0,1,63,-16,1,63,16,1,77,0,3
226,56,-8,5,56,8,5,70,-8,5,70,8,5,77,0,5
227,56,-16,1,56,0,1,56,16,1,63,-8,3,63,8,3
228,49,-8,5,49,8,5,56,0,5,70,-8,3,70,8,3
229,49,-8,1,49,8,1,63,0,3,70,-16,5,70,16,5
230,63,-8,1,63,8,1,63,0,4,77,-8,3,77,8,3
231,49,-8,1,49,8,1,77,-32,5,77,0,5,77,32,5
232,63,-16,3,56,-8,3,56,24,3,63,16,3,77,0,3
233,56,16,5,56,24,5,63,-16,5,63,-24,5,70,0,1
234,56,0,3,63,-8,3,63,8,3,63,0,1,77,0,5
235,63,-8,3,63,8,3,63,0,3,70,-8,1,70,8,1
236,49,0,1,56,0,3,63,0,3,70,-8,5,70,8,5
237,56,24,1,63,8,1,70,24,3,70,40,7,77,24,3
238,63,-16,1,63,16,1,70,0,1,77,-16,3,77,16,3
239,49,0,1,63,0,3,77,-16,5,77,16,5,77,0,5
240,49,0,3,56,-8,1,56,8,1,56,0,1,63,0,3
241,56,-8,1,56,8,1,63,0,3,70,-32,6,70,32,7
242,49,0,1,56,-8,1,56,8,1,0,0,0,0,0,0
243,56,0,1,63,-16,4,63,16,4,70,-8,4,70,8,4
244,49,0,1,56,-8,1,56,8,1,70,-8,3,70,8,3
245,63,0,1,77,0,3,0,0,0,0,0,0,0,0,0
246,56,-16,1,63,-16,3,70,-24,3,70,-8,3,77,24,7
247,63,24,5,70,16,5,70,24,5,70,32,5,77,0,3
248,56,24,1,63,16,1,63,32,1,63,24,4,70,24,3
249,56,-24,1,63,-8,1,70,-8,3,70,24,7,77,16,5
250,70,-8,1,70,8,1,77,0,3,0,0,0,0,0,0
251,49,0,1,56,0,5,63,-8,5,63,8,5,70,0,3
252,49,0,1,56,0,1,70,-8,5,70,8,5,77,0,3
253,56,-16,1,56,16,1,63,-16,3,63,16,3,77,0,3
254,63,0,3,70,-8,3,70,8,3,77,-16,1,77,16,1
255,56,-16,1,56,16,1,70,0,3,0,0,0,0,0,0
256,49,24,1,63,-24,1,70,32,7,77,32,7,77,-24,3
257,56,-16,5,63,-24,5,63,-8,5,70,16,5,77,8,5
258,56,32,7,63,32,7,70,-16,1,70,0,1,77,-8,3
259,49,-8,3,49,8,3,63,0,5,70,0,5,77,0,5
260,49,-8,3,49,8,3,56,0,3,77,-8,5,77,8,5
261,56,-8,1,56,8,1,63,-8,3,63,8,3,77,0,1
262,63,0,3,77,-8,5,77,8,5,0,0,0,0,0,0
263,56,-8,1,56,8,1,70,-16,1,70,16,1,77,0,3
264,56,0,1,63,-16,1,63,16,1,70,0,3,77,0,4
265,56,-32,1,63,24,1,63,40,1,63,-32,3,70,32,3
266,49,0,1,70,40,1,56,-8,3,56,8,3,77,40,3
267,49,-8,3,49,8,3,49,0,3,56,0,1,63,0,6
268,56,-8,1,63,16,1,63,8,1,70,-16,6,77,-16,6
269,49,-8,1,56,8,1,56,0,3,63,-16,3,63,16,3
270,49,16,3,56,0,1,63,-8,1,63,8,1,63,0,3
271,35,-24,3,35,24,3,42,16,3,56,0,5,63,0,5
272,49,-24,1,49,24,1,56,-18,1,56,-24,5,56,24,5
273,49,0,5,56,-8,5,56,8,5,63,-16,5,63,16,5
274,35,0,1,56,-24,1,56,-16,1,77,0,5,63,-24,3
275,35,-16,6,42,-16,6,35,24,7,42,24,7,49,-16,6
276,42,0,1,56,-16,1,63,8,1,63,16,1,56,16,3
277,42,0,1,56,-16,3,56,16,3,63,-8,3,63,8,1
278,35,-16,1,35,-8,1,35,0,1,49,-16,3,49,0,3
279,49,-24,3,56,-40,3,56,-8,3,63,-16,5,70,-32,5
280,35,0,1,63,0,5,70,-8,5,70,8,5,56,0,3
281,35,-8,1,42,-16,1,42,-8,1,42,0,1,49,-8,3
282,35,0,1,42,-8,1,42,8,1,77,-40,3,77,40,3
283,35,-40,3,35,-24,1,42,-40,3,42,-32,3,42,-24,3
284,35,0,1,42,-8,1,35,8,3,42,0,3,42,8,3
285,35,-8,3,35,8,3,42,-8,3,42,8,3,35,0,1
286,35,0,1,42,8,1,42,24,1,35,32,1,77,-40,6
287,49,-16,1,70,-32,3,0,0,0,0,0,0,0,0,0
288,56,-8,5,56,8,5,56,0,3,49,0,5,70,0,0
501,63,0,1,63,-16,1,63,16,1,77,-8,3,77,8,3
502,63,0,1,63,-24,6,63,24,7,77,-8,3,77,8,3
503,56,0,5,63,-8,5,63,8,5,70,-16,6,70,16,7
504,63,0,2,56,0,5,63,-16,5,63,16,5,77,0,3
505,56,0,1,70,-16,3,70,16,3,77,-8,3,77,8,3
506,63,0,1,77,-8,3,77,8,3,70,-16,3,70,16,3
507,77,0,3,70,-16,1,70,16,1,63,-8,1,63,8,1
508,49,0,1,63,-8,3,63,8,3,70,-32,6,70,32,7
509,49,0,1,63,-8,3,63,8,3,70,-32,6,70,32,7
510,63,-8,1,70,-16,1,70,0,1,70,-8,3,77,16,5
511,63,0,5,63,-16,1,63,16,1,77,-8,3,77,8,3
512,63,0,5,63,-24,6,63,24,7,77,-8,3,77,8,3
513,56,0,5,63,-8,5,63,8,5,70,-16,6,70,16,7
514,63,0,2,56,0,5,63,-16,5,63,16,5,77,0,3
515,56,0,5,70,-16,6,70,16,7,77,-8,6,77,8,7
516,63,0,1,63,-16,1,63,16,1,77,-8,3,77,8,3
517,63,0,2,56,0,5,63,-16,5,63,16,5,77,0,3
518,63,0,5,63,-24,6,63,24,7,77,-8,3,77,8,3
519,56,0,5,63,-8,5,63,8,5,70,-16,6,70,16,7
520,56,0,5,70,-16,6,70,16,7,77,-8,6,77,8,7
521,49,-8,1,49,8,1,56,0,1,63,0,5,70,0,5
522,56,0,1,63,-8,1,63,8,1,63,0,1,77,0,3
523,63,-8,1,70,-16,1,70,0,1,77,-8,3,70,16,7
524,63,0,1,63,-8,1,63,8,1,70,-8,1,70,8,1
525,63,0,1,63,-16,1,63,16,1,70,0,1,77,0,3
526,63,-8,1,63,8,1,70,0,5,77,-8,3,77,8,3
527,63,-8,1,63,8,1,70,0,3,77,-8,3,77,8,3
528,63,0,1,63,-8,1,63,8,1,77,-8,3,77,8,3
529,63,0,1,70,-8,3,70,8,3,70,0,3,77,0,3
530,63,0,1,70,0,3,77,0,3,77,-8,3,77,8,3
531,63,0,1,63,-16,1,63,16,1,77,-8,3,77,8,3
532,63,0,1,56,0,5,63,-16,3,63,16,3,77,0,3
533,63,0,5,63,-24,6,63,24,7,77,-8,3,77,8,3
534,56,0,5,63,-8,5,63,8,5,70,-16,3,70,16,5
535,56,0,5,77,-8,5,77,8,5,70,-16,5,70,16,5
2001,56,0,3,70,0,5,77,-8,5,77,0,5,77,8,5
2002,49,0,1,70,0,5,77,8,5,77,-8,5,77,0,5
2003,56,0,5,63,0,5,70,-8,5,70,8,5,70,0,5
2004,56,0,5,63,0,5,63,-16,5,63,16,5,70,0,3
2005,56,0,5,63,0,5,63,-16,5,63,16,5,70,0,3
2101,49,0,1,56,-8,1,56,0,1,63,32,7,70,32,7
2102,70,-40,1,70,-32,1,70,-24,1,77,-40,3,77,-24,3
2103,56,0,1,70,0,5,77,-8,5,77,8,5,77,0,3
2104,63,24,1,70,32,1,70,40,3,77,32,3,77,40,3
2105,63,24,1,70,32,1,70,40,3,77,32,3,77,40,3
2201,63,0,5,70,-8,7,70,8,6,77,-16,6,77,16,7
2202,56,0,5,56,-8,5,63,0,3,63,8,5,70,0,3
2203,49,0,5,56,-8,5,56,8,5,63,-16,5,63,16,5
2204,56,-16,5,56,16,5,63,-8,5,63,8,5,70,0,5
2205,56,-16,5,56,16,5,63,-8,5,63,8,5,70,0,5
2501,56,-8,3,56,8,3,63,-16,1,63,0,1,63,16,1
2502,49,-8,1,56,24,7,63,16,7,63,24,7,63,32,7
2503,70,-40,1,70,32,1,77,-32,1,77,-40,3,77,40,3
2504,56,-8,1,56,8,1,63,0,1,56,0,3,70,0,1
2505,56,-8,1,56,8,1,63,0,1,56,0,3,70,0,1
2601,63,0,1,70,-8,1,70,8,1,70,0,3,77,0,3
2602,63,-8,1,63,0,1,63,8,1,70,0,3,77,0,3
2603,56,0,1,63,0,1,63,-8,3,63,8,3,77,0,5
2604,49,-24,6,56,-24,6,49,32,6,70,-8,1,70,8,1
2605,49,-24,6,56,-24,6,49,32,6,70,-8,1,70,8,1
2801,56,-8,1,56,8,1,70,-16,3,70,0,3,70,16,3
2802,56,-8,1,56,8,1,63,0,1,70,-8,3,70,8,3
2803,56,0,1,63,-8,1,63,8,1,70,-16,3,70,16,3
2804,49,0,1,56,-8,1,56,8,1,70,-40,6,77,-40,6
2805,49,0,1,56,-8,1,56,8,1,70,-40,6,77,-40,6
3001,56,-24,1,56,16,7,63,8,7,70,-32,3,70,-24,3
3002,49,8,1,56,8,3,63,0,3,63,16,3,70,8,5
3003,49,-32,6,49,32,7,56,0,5,77,-8,3,77,8,3
3004,56,0,3,63,-8,3,63,8,3,70,16,7,77,8,6
3005,56,0,3,63,-8,3,63,8,3,70,16,7,77,8,6
3301,56,-16,1,56,0,1,56,16,1,77,-8,5,77,8,5
3302,56,-16,1,56,16,1,63,-8,3,63,0,3,63,8,3
3303,49,-40,5,49,-8,5,49,0,5,49,8,5,49,40,5
3304,56,0,1,63,-16,3,63,16,3,70,-8,3,70,8,3
3305,56,-16,1,56,0,1,56,16,1,63,-8,3,63,8,3
3401,56,0,1,63,-16,3,63,16,3,70,-8,3,70,8,3
3402,63,8,1,63,24,1,70,-24,6,77,8,3,77,24,3
3403,63,-24,1,63,8,1,70,24,7,77,-24,3,77,-8,3
3404,56,0,1,63,-16,3,63,-8,3,63,8,3,63,16,3
3405,56,0,1,63,-16,3,63,-8,3,63,8,3,63,16,3
3501,56,0,5,63,-8,5,63,8,5,70,-16,5,70,16,5
3502,56,-24,1,56,0,1,56,24,1,63,-8,1,63,8,1
3503,56,-8,1,56,8,1,63,-8,3,63,0,3,63,8,3
3504,56,0,1,63,0,3,70,-16,5,70,16,5,77,0,5
3505,56,0,1,63,-8,1,63,0,3,63,8,1,70,0,1
3801,63,-32,5,63,-8,5,63,8,5,63,32,5,70,0,3
3802,56,-8,1,56,8,1,63,-16,1,63,16,1,70,0,5
3803,63,0,3,70,0,3,77,-8,5,77,0,5,77,8,5
3804,56,0,1,63,-8,5,63,8,5,70,-8,5,70,8,5
3805,56,0,1,63,-8,5,63,8,5,70,-8,5,70,8,5
4001,70,-8,5,70,8,5,77,-8,5,77,0,5,77,8,5
4002,49,0,5,56,-8,5,56,0,3,56,8,5,63,0,5
4003,63,0,5,56,-8,5,56,8,5,63,0,4,77,0,3
4016,49,0,1,56,0,1,70,-8,3,70,0,3,70,8,3
4017,63,24,1,70,32,3,70,40,3,77,32,3,77,40,3
4018,49,0,1,70,0,5,77,-8,5,77,0,3,77,8,5
4031,56,0,5,63,-8,5,63,8,5,70,-16,6,70,16,7
4032,70,-16,3,70,-8,3,70,8,3,70,16,3,77,0,5
4033,49,-8,1,49,8,1,63,0,5,70,-8,5,70,8,5
4046,56,-16,5,56,-8,5,56,8,5,56,16,5,63,0,5
4047,70,-16,3,70,-8,3,70,8,3,70,16,3,77,0,5
4048,63,-8,1,63,8,1,70,-16,1,70,16,1,77,0,5
4091,63,0,1,70,0,1,77,-8,1,77,8,1,77,0,3
4092,63,0,1,70,-8,1,70,8,1,70,0,3,77,0,3
4093,56,0,1,63,0,5,70,-8,5,70,8,5,70,0,3
4106,56,0,1,63,-8,1,63,8,1,70,-16,1,70,16,1
4107,49,0,1,63,-8,5,63,8,5,70,0,5,77,0,3
4108,56,0,3,63,-8,1,63,8,1,63,0,1,70,0,1
4121,56,0,1,63,-16,3,63,16,3,70,-8,3,70,8,3
4122,49,0,3,70,-16,5,70,16,5,77,-8,5,77,8,5
4123,63,0,1,70,-24,3,70,24,3,77,-8,3,77,8,3
4136,63,-8,1,63,0,3,63,8,1,70,-16,1,70,16,1
4137,63,-16,1,63,0,3,63,16,1,70,-8,1,70,8,1
4138,49,-8,3,49,8,3,70,-16,5,70,0,5,70,16,5
4151,49,0,1,63,-8,5,63,8,5,70,-32,6,70,0,5
