索引ID,兵种类型,兵种类型,兵种基本类型,兵种名字,兵种等级,兵种等级名称,兵种图标,兵种开启条件(5个栏位兵书等级要求),兵种开启条件描述,兵种能力介绍,兵种技能介绍,兵种所加武力属性,兵种所加兵力属性,兵种所加智力属性,被动技能ID,可选战法,默认战法ID
9,8,1,0,长戟兵,3,[fed655]三阶[-],UI/Tech/Pikeman7Tex,5|5|5|5|5,(5个栏位均装备[fed655]5级[-]兵书),枪兵的铁枪换成长戟，近身肉搏时对周围的敌军威胁巨大。,基础武力+[fed655]10%[-]\n基础智力+[fed655]3%[-]\n基础兵力+[fed655]7%[-]\n新增被动[fed655]旋风[-]\n[fed655]旋风[-]：攻击时有一定几率对近战范围内所有敌人造成当前武力值[fed655]80%[-]的伤害，该伤害无视物理防御。,10,7,3,43701,28|11,28
10,9,1,1,火矢兵,1,[fed655]一阶[-],UI/Tech/Bowman7Tex,1|1|1|1|1,(5个栏位均装备[fed655]1级[-]兵书),弓兵将箭头点燃，射中敌人后会造成额外的伤害。,移除战法[fed655]远射[-]\n新增战法[fed655]警戒[-]\n[fed655]警戒[-]：移动速度降低，提升射程（与远射相同），受到所有近战战法伤害降低[fed655]20%[-]，开启警戒会造成贯射。,0,0,0,0,29|12,29
11,9,1,1,火矢兵,2,[fed655]二阶[-],UI/Tech/Bowman7Tex,3|3|3|3|3,(5个栏位均装备[fed655]3级[-]兵书),弓兵将箭头点燃，射中敌人后会造成额外的伤害。,加强[fed655]警戒[-]：移动速度降低，提升射程（与远射相同），受到所有近战战法伤害降低[fed655]50%[-]，开启警戒会造成贯射。,0,0,0,0,29|13,29
12,9,1,1,火矢兵,3,[fed655]三阶[-],UI/Tech/Bowman7Tex,5|5|5|5|5,(5个栏位均装备[fed655]5级[-]兵书),弓兵将箭头点燃，射中敌人后会造成额外的伤害。,基础武力+[fed655]7%[-]\n基础智力+[fed655]10%[-]\n基础兵力+[fed655]3%[-]\n新增被动[fed655]火箭[-]\n[fed655]火箭[-]：远程攻击会对目标造成当前智力值[fed655]100%[-]的伤害，该伤害无视物理防御。,7,3,10,43801,29|13,29
13,10,1,1,连弩兵,1,[fed655]一阶[-],UI/Tech/Bowman6Tex,1|1|1|1|1,(5个栏位均装备[fed655]1级[-]兵书),使用连弩的射手，箭矢接连不断，火力强大。,保留战法[fed655]远射[-]\n新增战法[fed655]箭岚[-]\n[fed655]箭岚[-]：提升射程（与远射相同），可以对任何非机关部队造成[fed655]箭岚[-]，伤害比[fed655]贯射[-]降低[fed655]60%[-]。,0,0,0,0,29|32|14,29
14,10,1,1,连弩兵,2,[fed655]二阶[-],UI/Tech/Bowman6Tex,3|3|3|3|3,(5个栏位均装备[fed655]3级[-]兵书),使用连弩的射手，箭矢接连不断，火力强大。,加强[fed655]箭岚[-]：提升射程（与远射相同），可以对任何非机关部队造成[fed655]箭岚[-]，[fed655]箭岚[-]伤害提升[fed655]50%[-]。,0,0,0,0,29|32|15,29
15,10,1,1,连弩兵,3,[fed655]三阶[-],UI/Tech/Bowman6Tex,5|5|5|5|5,(5个栏位均装备[fed655]5级[-]兵书),使用连弩的射手，箭矢接连不断，火力强大。,基础武力+[fed655]10%[-]\n基础智力+[fed655]7%[-]\n基础兵力+[fed655]3%[-]\n新增被动[fed655]强攻[-]\n[fed655]强攻[-]：在连弩兵周围一定范围内的友军弓兵普通攻击伤害提高[fed655]8%[-]，效果不叠加。,10,3,7,43901,29|32|15,29
16,11,1,2,重骑兵,1,[fed655]一阶[-],UI/Tech/Cavalryman6Tex,1|1|1|1|1,(5个栏位均装备[fed655]1级[-]兵书),人和马都装备重铠，刀枪不入，冲向敌军时势不可挡。,移除战法[fed655]突击[-]\n新增战法[fed655]铁骑[-]\n[fed655]铁骑[-]：移动速度提高（比突击状态骑兵略低），受到所有特殊战法伤害降低[fed655]20%[-]，开启铁骑会造成突击。,0,0,0,0,30|18|16|20,30
17,11,1,2,重骑兵,2,[fed655]二阶[-],UI/Tech/Cavalryman6Tex,3|3|3|3|3,(5个栏位均装备[fed655]3级[-]兵书),人和马都装备重铠，刀枪不入，冲向敌军时势不可挡。,加强[fed655]铁骑[-]：移动速度提高（比突击状态骑兵略低），受到所有特殊战法伤害降低[fed655]50%[-]，开启铁骑会造成突击。,0,0,0,0,30|19|17|21,30
18,11,1,2,重骑兵,3,[fed655]三阶[-],UI/Tech/Cavalryman6Tex,5|5|5|5|5,(5个栏位均装备[fed655]5级[-]兵书),人和马都装备重铠，刀枪不入，冲向敌军时势不可挡。,基础武力+[fed655]7%[-]\n基础智力+[fed655]3%[-]\n基础兵力+[fed655]10%[-]\n新增被动[fed655]冲阵[-]\n[fed655]冲阵[-]：移动过程中受到的所有伤害降低[fed655]75%[-]。,7,10,3,43601,30|19|17|21,30
19,12,1,2,骠骑兵,1,[fed655]一阶[-],UI/Tech/Cavalryman7Tex,1|1|1|1|1,(5个栏位均装备[fed655]1级[-]兵书),轻装上阵的骑兵，骁勇善战，在万军丛中来去自如。,移除战法[fed655]突击[-]\n新增战法[fed655]冲锋[-]\n[fed655]冲锋[-]：移动速度提高（与突击相同），可以对弓兵和骑兵造成[fed655]冲锋[-]，伤害比[fed655]突击[-]提升[fed655]10%[-]，受到减速效果时速度不会低于基础冲锋速度（仍会受到禁锢效果影响），开启冲锋会受到迎击。,0,0,0,0,30|24|22|26,30
20,12,1,2,骠骑兵,2,[fed655]二阶[-],UI/Tech/Cavalryman7Tex,3|3|3|3|3,(5个栏位均装备[fed655]3级[-]兵书),轻装上阵的骑兵，骁勇善战，在万军丛中来去自如。,加强[fed655]冲锋[-]：移动速度提高（与突击相同），[fed655]冲锋[-]伤害提升[fed655]13.6%[-]，受到减速、禁锢效果时速度不会低于基础冲锋速度，开启冲锋会受到迎击。,0,0,0,0,30|25|23|27,30
21,12,1,2,骠骑兵,3,[fed655]三阶[-],UI/Tech/Cavalryman7Tex,5|5|5|5|5,(5个栏位均装备[fed655]5级[-]兵书),轻装上阵的骑兵，骁勇善战，在万军丛中来去自如。,基础武力+[fed655]10%[-]\n基础智力+[fed655]3%[-]\n基础兵力+[fed655]7%[-]\n新增被动[fed655]嗜血[-]\n[fed655]嗜血[-]：普通攻击会回复造成伤害[fed655]10%[-]的生命，回复效果会受到瘴毒影响而减弱。,10,7,3,44001,30|25|23|27,30
