索引ID,兵书类型,兵书颜色,兵书等级,兵书名字,兵书图标路径,兵书外框路径,兵书所加武力属性,兵书所加兵力属性,兵书所加智力属性,兵书升级所需卡魂,兵书升级所需数量,兵书分解获得卡魂,兵书介绍
205,5,5,4,六韬·金鼓·抄本,Common/ResouceIcon/Small/icon_TF4_tex,Common/ResouceIcon/Border/bg_Bkuang02_tex,18,54,0,0,3,3000,可装备于[fed655]【骑术】[-]、[fed655]【短兵】[-]、[fed655]【角力】[-]栏位
206,6,6,4,六韬·文伐·抄本,Common/ResouceIcon/Small/icon_IT4_tex,Common/ResouceIcon/Border/bg_Bkuang02_tex,0,54,18,0,3,3000,可装备于[fed655]【枪术】[-]、[fed655]【阵列】[-]、[fed655]【防御】[-]栏位
301,1,1,3,六韬·武锋·残本,Common/ResouceIcon/Small/icon_F3_tex,Common/ResouceIcon/Border/bg_Bkuang02_tex,40,0,0,0,3,3000,可装备于[fed655]【骑术】[-]、[fed655]【角力】[-]栏位
302,2,2,3,六韬·三疑·残本,Common/ResouceIcon/Small/icon_I3_tex,Common/ResouceIcon/Border/bg_Bkuang02_tex,0,0,40,0,3,3000,可装备于[fed655]【弓术】[-]、[fed655]【战略】[-]栏位
303,3,3,3,六韬·兵道·残本,Common/ResouceIcon/Small/icon_T3_tex,Common/ResouceIcon/Border/bg_Bkuang02_tex,0,40,0,0,3,3000,可装备于[fed655]【枪术】[-]、[fed655]【防御】[-]栏位
304,4,4,3,六韬·军略·残本,Common/ResouceIcon/Small/icon_FI3_tex,Common/ResouceIcon/Border/bg_Bkuang02_tex,20,0,20,0,3,3000,可装备于[fed655]【弓术】[-]、[fed655]【短兵】[-]、[fed655]【战略】[-]栏位
305,5,5,3,六韬·金鼓·残本,Common/ResouceIcon/Small/icon_TF3_tex,Common/ResouceIcon/Border/bg_Bkuang02_tex,10,30,0,0,3,3000,可装备于[fed655]【骑术】[-]、[fed655]【短兵】[-]、[fed655]【角力】[-]栏位
306,6,6,3,六韬·文伐·残本,Common/ResouceIcon/Small/icon_IT3_tex,Common/ResouceIcon/Border/bg_Bkuang02_tex,0,30,10,0,3,3000,可装备于[fed655]【枪术】[-]、[fed655]【阵列】[-]、[fed655]【防御】[-]栏位
401,1,1,2,六韬·武锋·残篇,Common/ResouceIcon/Small/icon_F2_tex,Common/ResouceIcon/Border/bg_Bkuang02_tex,20,0,0,0,3,3000,可装备于[fed655]【骑术】[-]、[fed655]【角力】[-]栏位
402,2,2,2,六韬·三疑·残篇,Common/ResouceIcon/Small/icon_I2_tex,Common/ResouceIcon/Border/bg_Bkuang02_tex,0,0,20,0,3,3000,可装备于[fed655]【弓术】[-]、[fed655]【战略】[-]栏位
403,3,3,2,六韬·兵道·残篇,Common/ResouceIcon/Small/icon_T2_tex,Common/ResouceIcon/Border/bg_Bkuang02_tex,0,20,0,0,3,3000,可装备于[fed655]【枪术】[-]、[fed655]【防御】[-]栏位
404,4,4,2,六韬·军略·残篇,Common/ResouceIcon/Small/icon_FI2_tex,Common/ResouceIcon/Border/bg_Bkuang02_tex,10,0,10,0,3,3000,可装备于[fed655]【弓术】[-]、[fed655]【短兵】[-]、[fed655]【战略】[-]栏位
405,5,5,2,六韬·金鼓·残篇,Common/ResouceIcon/Small/icon_TF2_tex,Common/ResouceIcon/Border/bg_Bkuang02_tex,5,15,0,0,3,3000,可装备于[fed655]【骑术】[-]、[fed655]【短兵】[-]、[fed655]【角力】[-]栏位
406,6,6,2,六韬·文伐·残篇,Common/ResouceIcon/Small/icon_IT2_tex,Common/ResouceIcon/Border/bg_Bkuang02_tex,0,15,5,0,3,3000,可装备于[fed655]【枪术】[-]、[fed655]【阵列】[-]、[fed655]【防御】[-]栏位
501,1,1,1,六韬·武锋·残页,Common/ResouceIcon/Small/icon_F1_tex,Common/ResouceIcon/Border/bg_Bkuang02_tex,8,0,0,0,3,3000,可装备于[fed655]【骑术】[-]、[fed655]【角力】[-]栏位
502,2,2,1,六韬·三疑·残页,Common/ResouceIcon/Small/icon_I1_tex,Common/ResouceIcon/Border/bg_Bkuang02_tex,0,0,8,0,3,3000,可装备于[fed655]【弓术】[-]、[fed655]【战略】[-]栏位
503,3,3,1,六韬·兵道·残页,Common/ResouceIcon/Small/icon_T1_tex,Common/ResouceIcon/Border/bg_Bkuang02_tex,0,8,0,0,3,3000,可装备于[fed655]【枪术】[-]、[fed655]【防御】[-]栏位
504,4,4,1,六韬·军略·残页,Common/ResouceIcon/Small/icon_FI1_tex,Common/ResouceIcon/Border/bg_Bkuang02_tex,4,0,4,0,3,3000,可装备于[fed655]【弓术】[-]、[fed655]【短兵】[-]、[fed655]【战略】[-]栏位
505,5,5,1,六韬·金鼓·残页,Common/ResouceIcon/Small/icon_TF1_tex,Common/ResouceIcon/Border/bg_Bkuang02_tex,2,6,0,0,3,3000,可装备于[fed655]【骑术】[-]、[fed655]【短兵】[-]、[fed655]【角力】[-]栏位
506,6,6,1,六韬·文伐·残页,Common/ResouceIcon/Small/icon_IT1_tex,Common/ResouceIcon/Border/bg_Bkuang02_tex,0,6,2,0,3,3000,可装备于[fed655]【枪术】[-]、[fed655]【阵列】[-]、[fed655]【防御】[-]栏位
