ID,活动类型[1回归，2新手，3新服],回归类型,新手活动类型[1登录，2横扫千军],"新服活动类型[1排行榜,其他的均为0]",周期类型[1每日活动，2全程活动，3时间段活动],条件类型,第几天开始[0:全程],第几天结束[0:全程],条件达成数值[备注：通过关卡为CsvID，满星达成为MapID],达成奖励1,达成奖励2,达成奖励3,标题[废弃字段，策划用],图标
47,1,2,0,0,1,8,7,7,200,33|1|1,23|2|1,2|50000|1,累计消耗200点军令,UI/Main/RiChang
48,1,2,0,0,1,4,7,7,8,2|100000|1,19|5|1,16|1|1,累计参与竞技场8次,UI/Main/JingJi
49,1,2,0,0,1,8,8,8,20,27|1|1,2|50000|1,33|1|1,累计消耗20点军令,UI/Main/RiChang
50,1,2,0,0,1,8,8,8,200,33|1|1,23|2|1,2|50000|1,累计消耗200点军令,UI/Main/RiChang
51,1,2,0,0,1,4,8,8,8,2|100000|1,19|5|1,16|1|1,累计参与竞技场8次,UI/Main/JingJi
52,1,2,0,0,2,21,0,0,5,2|150000|1,26|1|1,24|5|1,累计向聚宝盆投入军令5次,UI/Main/GongHui
53,1,2,0,0,2,4,0,0,70,28|100|1,2|300000|1,27|5|1,累计参与竞技场70次,UI/Main/JingJi
54,1,2,0,0,2,23,0,0,2000,2|500000|1,16|2|1,27|5|1,累计提升战力2000,UI/Main/BuDui
55,1,3,0,0,1,8,1,1,20,27|1|1,2|50000|1,33|1|1,累计消耗20点军令,UI/Main/RiChang
56,1,3,0,0,1,8,1,1,200,33|1|1,23|2|1,2|50000|1,累计消耗200点军令,UI/Main/RiChang
57,1,3,0,0,1,4,1,1,8,2|100000|1,19|5|1,16|1|1,累计参与竞技场8次,UI/Main/JingJi
58,1,3,0,0,1,8,2,2,20,27|1|1,2|50000|1,33|1|1,累计消耗20点军令,UI/Main/RiChang
59,1,3,0,0,1,8,2,2,200,33|1|1,23|2|1,2|50000|1,累计消耗200点军令,UI/Main/RiChang
60,1,3,0,0,1,4,2,2,8,2|100000|1,19|5|1,16|1|1,累计参与竞技场8次,UI/Main/JingJi
61,1,3,0,0,1,8,3,3,20,27|1|1,2|50000|1,33|1|1,累计消耗20点军令,UI/Main/RiChang
62,1,3,0,0,1,8,3,3,200,33|1|1,23|2|1,2|50000|1,累计消耗200点军令,UI/Main/RiChang
63,1,3,0,0,1,4,3,3,8,2|100000|1,19|5|1,16|1|1,累计参与竞技场8次,UI/Main/JingJi
64,1,3,0,0,1,8,4,4,20,27|1|1,2|50000|1,33|1|1,累计消耗20点军令,UI/Main/RiChang
65,1,3,0,0,1,8,4,4,200,33|1|1,23|2|1,2|50000|1,累计消耗200点军令,UI/Main/RiChang
66,1,3,0,0,1,4,4,4,8,2|100000|1,19|5|1,16|1|1,累计参与竞技场8次,UI/Main/JingJi
67,1,3,0,0,1,8,5,5,20,27|1|1,2|50000|1,33|1|1,累计消耗20点军令,UI/Main/RiChang
68,1,3,0,0,1,8,5,5,200,33|1|1,23|2|1,2|50000|1,累计消耗200点军令,UI/Main/RiChang
69,1,3,0,0,1,4,5,5,8,2|100000|1,19|5|1,16|1|1,累计参与竞技场8次,UI/Main/JingJi
70,1,3,0,0,1,8,6,6,20,27|1|1,2|50000|1,33|1|1,累计消耗20点军令,UI/Main/RiChang
71,1,3,0,0,1,8,6,6,200,33|1|1,23|2|1,2|50000|1,累计消耗200点军令,UI/Main/RiChang
72,1,3,0,0,1,4,6,6,8,2|100000|1,19|5|1,16|1|1,累计参与竞技场8次,UI/Main/JingJi
73,1,3,0,0,1,8,7,7,20,27|1|1,2|50000|1,33|1|1,累计消耗20点军令,UI/Main/RiChang
74,1,3,0,0,1,8,7,7,200,33|1|1,23|2|1,2|50000|1,累计消耗200点军令,UI/Main/RiChang
75,1,3,0,0,1,4,7,7,8,2|100000|1,19|5|1,16|1|1,累计参与竞技场8次,UI/Main/JingJi
76,1,3,0,0,1,8,8,8,20,27|1|1,2|50000|1,33|1|1,累计消耗20点军令,UI/Main/RiChang
77,1,3,0,0,1,8,8,8,200,33|1|1,23|2|1,2|50000|1,累计消耗200点军令,UI/Main/RiChang
78,1,3,0,0,1,4,8,8,8,2|100000|1,19|5|1,16|1|1,累计参与竞技场8次,UI/Main/JingJi
79,1,3,0,0,2,21,0,0,5,2|300000|1,26|2|1,24|15|1,累计向聚宝盆投入军令5次,UI/Main/GongHui
80,1,3,0,0,2,4,0,0,70,2|500000|1,34|2|1,53|2|1,累计参与竞技场70次,UI/Main/JingJi
81,1,3,0,0,2,23,0,0,2000,2|1500000|1,29|6|1,53|3|1,累计提升战力2000,UI/Main/BuDui
82,2,0,1,0,2,16,1,7,1,27|5|1,3|1|100,2|1|100000,首日登陆,UI/Activity/New_activity03_tex
83,2,0,1,0,2,16,2,7,1,26|2|1,17|1|20,18|1|20,第二日登陆,UI/Activity/New_activity03_tex
84,2,0,1,0,2,16,3,7,1,5|1|100,28|1|50,16|1|10,第三日登陆,UI/Activity/New_activity03_tex
85,2,0,1,0,2,16,4,7,1,26|3|1,3|1|100,27|1|10,第四日登陆,UI/Activity/New_activity03_tex
86,2,0,1,0,2,16,5,7,1,5|1|300,28|1|60,2|1|1000000,第五日登陆,UI/Activity/New_activity03_tex
87,2,0,1,0,2,16,6,7,1,29|1|10,28|1|100,null,第六日登陆,UI/Activity/New_activity03_tex
88,2,0,1,0,2,16,7,7,1,53|1|5,26|1|5,null,第七日登陆,UI/Activity/New_activity03_tex
89,2,0,2,0,2,8,1,7,50,3|1|100,null,null,消耗50点军令,UI/Activity/New_activity04_tex
90,2,0,2,0,2,28,1,7,9,27|1|1,null,null,通过第一章第10关,UI/Activity/New_activity04_tex
91,2,0,2,0,2,37,1,7,10,2|1|100000,null,null,卡牌升到10级,UI/Activity/New_activity04_tex
92,2,0,2,0,2,39,1,7,900,5|1|50,null,null,战力达到900,UI/Activity/New_activity04_tex
93,2,0,2,0,2,28,1,7,21,27|1|2,null,null,通过第二章第10关,UI/Activity/New_activity04_tex
94,2,0,2,0,2,28,1,7,33,26|1|1,null,null,通过第三章第10关,UI/Activity/New_activity04_tex
95,2,0,2,0,2,38,1,7,150,3|1|100,null,null,满星通关精英第一关,UI/Activity/New_activity04_tex
96,2,0,2,0,2,28,2,7,57,26|1|1,null,null,通过第五章第10关,UI/Activity/New_activity04_tex
97,2,0,2,0,2,19,2,7,1,30|0|3,null,null,通过挑战关卡1次,UI/Activity/New_activity04_tex
98,2,0,2,0,2,32,2,7,3,27|1|1,null,null,添加3位好友,UI/Activity/New_activity04_tex
99,2,0,2,0,2,33,2,7,3,3|1|200,null,null,赠送军令3次,UI/Activity/New_activity04_tex
100,2,0,2,0,2,4,2,7,3,27|1|1,null,null,参加竞技场次数3次,UI/Activity/New_activity04_tex
101,2,0,2,0,2,31,2,7,2,27|1|2,null,null,竞技场段位达到青铜二,UI/Activity/New_activity04_tex
102,2,0,2,0,2,38,2,7,151,26|1|1,null,null,满星通关精英第二关,UI/Activity/New_activity04_tex
103,2,0,2,0,2,37,3,7,30,2|1|200000,null,null,卡牌升到30级,UI/Activity/New_activity04_tex
104,2,0,2,0,2,36,3,7,1,30|2|3,null,null,卡牌进阶1次,UI/Activity/New_activity04_tex
105,2,0,2,0,2,19,3,7,5,30|3|3,null,null,通过挑战关卡5次,UI/Activity/New_activity04_tex
106,2,0,2,0,2,27,3,7,3,3|1|100,null,null,战器分解3次,UI/Activity/New_activity04_tex
107,2,0,2,0,2,26,3,7,1,33|1|1,null,null,提升战器被动1次,UI/Activity/New_activity04_tex
108,2,0,2,0,2,37,4,7,50,2|1|500000,null,null,卡牌升到50级,UI/Activity/New_activity04_tex
109,2,0,2,0,2,29,4,7,4,5|1|200,null,null,满星通过第四章,UI/Activity/New_activity04_tex
110,2,0,2,0,2,31,4,7,4,26|1|1,null,null,竞技场段位达到白银一,UI/Activity/New_activity04_tex
111,2,0,2,0,2,28,4,7,81,3|1|200,null,null,通过第七章第10关,UI/Activity/New_activity04_tex
112,2,0,2,0,2,9,4,7,3,30|4|3,null,null,卡牌进阶3次,UI/Activity/New_activity04_tex
113,2,0,2,0,2,4,4,7,10,30|0|5,null,null,参加竞技场次数10次,UI/Activity/New_activity04_tex
114,2,0,2,0,2,30,5,7,7,30|1|5,null,null,竞技场获胜7次,UI/Activity/New_activity04_tex
115,2,0,2,0,2,19,5,7,15,30|2|5,null,null,通过挑战关卡15次,UI/Activity/New_activity04_tex
116,2,0,2,0,2,9,5,7,5,26|1|1,null,null,钻石招募5次,UI/Activity/New_activity04_tex
117,2,0,2,0,2,38,5,7,153,26|1|1,null,null,满星通过精英第四章,UI/Activity/New_activity04_tex
118,2,0,2,0,2,28,6,7,105,26|1|2,null,null,通过第九章第10关,UI/Activity/New_activity04_tex
119,2,0,2,0,2,39,6,7,7000,5|1|300,null,null,战力达到7000,UI/Activity/New_activity04_tex
120,2,0,2,0,2,30,6,7,20,30|3|3,2|1|600000,null,竞技场获胜20次,UI/Activity/New_activity04_tex
121,2,0,2,0,2,35,6,7,20,26|1|2,2|1|600000,null,招募系统中的普通、精选和天运招募共20次,UI/Activity/New_activity04_tex
122,2,0,2,0,2,29,7,7,8,26|1|2,30|3|5,null,满星通过第八章,UI/Activity/New_activity04_tex
123,2,0,2,0,2,36,7,7,10,5|1|150,null,null,卡牌进阶6次,UI/Activity/New_activity04_tex
124,2,0,2,0,2,37,7,7,80,5|1|300,null,null,卡牌升至80级,UI/Activity/New_activity04_tex
125,2,0,2,0,2,39,7,7,30000,5|1|500,null,null,战力达到30000,UI/Activity/New_activity04_tex
126,2,0,2,0,2,28,7,7,141,26|1|2,30|4|5,null,通过第十二章第10关,UI/Activity/New_activity04_tex
127,3,0,0,1,3,0,1,15,0,null,null,null,排行榜的开启时间和奖励天数和奖励内容,UI/Activity/Bg_NewServers_Tex
