序号（6位数的ID只可使用9开头）,类型,等级,挂载点类型（1武将，2战器，3战法，4将魂）,额外增加战力,前置条件,是否可封印,触发条件,是否被动技能,是否团队被动(0|非团队 1|团队),范围,覆盖方式,影响属性,刷新时间(0不刷新|其他刷新),持续时间(0一直存在|其他持续n回合),特效名称,特效目标(0|自己 1|对方),特效位置(0|原点 1|前方 2|后方 3|上方 4|下方 5|左方 6|右方),特效方向(0|原点 1|向前 2|向后 3|向上 4|向下 5|向左 6|向右),类型参数(属性值除以1000填写),单挑几率,单挑被杀死,不受减益,异性伤害提升,技能伤害提升,技能减伤,普攻提高,普攻减伤,防御提高,枪兵减伤,骑兵减伤,弓兵减伤,血量增加,速度变化,攻击范围变化（CSVZhanfa）,被动技能触发几率值,护甲,破甲,抗性,破法,铁壁,穿透,大片图片名,小图标名称,技能名称,技能说明
109,0,9,1,1550,0,0,0,1,0,1,0,0,0,0,null,0,0,0,,0,0,0,0,0,0,0,0,0,0.35,0,0,0,0,0,0,0,0,0,0,0,0,lable_fanqiang,,反枪,受到枪兵的伤害减少[fed655]35%[-]
110,0,10,1,1920,0,0,0,1,0,1,0,0,0,0,null,0,0,0,,0,0,0,0,0,0,0,0,0,0.38,0,0,0,0,0,0,0,0,0,0,0,0,lable_fanqiang,,反枪,受到枪兵的伤害减少[fed655]40%[-]
201,1,1,1,30,0,0,0,1,0,1,0,0,0,0,null,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0.02,0,0,0,0,0,0,0,0,0,0,lable_fangong,,反弓,受到弓兵的伤害减少[fed655]2%[-]
202,1,2,1,80,0,0,0,1,0,1,0,0,0,0,null,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0.06,0,0,0,0,0,0,0,0,0,0,lable_fangong,,反弓,受到弓兵的伤害减少[fed655]6%[-]
203,1,3,1,170,0,0,0,1,0,16,0,0,0,0,null,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,lable_fangong,,反弓,受到弓兵的伤害减少[fed655]10%[-]
204,1,4,1,300,0,0,0,1,0,16,0,0,0,0,null,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0.14,0,0,0,0,0,0,0,0,0,0,lable_fangong,,反弓,受到弓兵的伤害减少[fed655]14%[-]
205,1,5,1,470,0,0,0,1,0,16,0,0,0,0,null,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0.18,0,0,0,0,0,0,0,0,0,0,lable_fangong,,反弓,受到弓兵的伤害减少[fed655]18%[-]
206,1,6,1,680,0,0,0,1,0,16,0,0,0,0,null,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0.22,0,0,0,0,0,0,0,0,0,0,lable_fangong,,反弓,受到弓兵的伤害减少[fed655]22%[-]
207,1,7,1,930,0,0,0,1,0,13,0,0,0,0,null,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0.26,0,0,0,0,0,0,0,0,0,0,lable_fangong,,反弓,受到弓兵的伤害减少[fed655]26%[-]
208,1,8,1,1220,0,0,0,1,0,13,0,0,0,0,null,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0.3,0,0,0,0,0,0,0,0,0,0,lable_fangong,,反弓,受到弓兵的伤害减少[fed655]30%[-]
209,1,9,1,1550,0,0,0,1,0,13,0,0,0,0,null,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0.35,0,0,0,0,0,0,0,0,0,0,lable_fangong,,反弓,受到弓兵的伤害减少[fed655]35%[-]
210,1,10,1,1920,0,0,0,1,0,13,0,0,0,0,null,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0.38,0,0,0,0,0,0,0,0,0,0,lable_fangong,,反弓,受到弓兵的伤害减少[fed655]40%[-]
301,2,1,1,30,0,0,0,1,0,12,0,0,0,0,null,0,0,0,,0,0,0,0,0,0,0,0,0,0,0.02,0,0,0,0,0,0,0,0,0,0,0,lable_fanqi,,反骑,受到骑兵的伤害减少[fed655]2%[-]
302,2,2,1,80,0,0,0,1,0,12,0,0,0,0,null,0,0,0,,0,0,0,0,0,0,0,0,0,0,0.06,0,0,0,0,0,0,0,0,0,0,0,lable_fanqi,,反骑,受到骑兵的伤害减少[fed655]6%[-]
303,2,3,1,170,0,0,0,1,0,12,0,0,0,0,null,0,0,0,,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,lable_fanqi,,反骑,受到骑兵的伤害减少[fed655]10%[-]
304,2,4,1,300,0,0,0,1,0,12,0,0,0,0,null,0,0,0,,0,0,0,0,0,0,0,0,0,0,0.14,0,0,0,0,0,0,0,0,0,0,0,lable_fanqi,,反骑,受到骑兵的伤害减少[fed655]14%[-]
305,2,5,1,470,0,0,0,1,0,1,0,0,0,0,null,0,0,0,,0,0,0,0,0,0,0,0,0,0,0.18,0,0,0,0,0,0,0,0,0,0,0,lable_fanqi,,反骑,受到骑兵的伤害减少[fed655]18%[-]
306,2,6,1,680,0,0,0,1,0,1,0,0,0,0,null,0,0,0,,0,0,0,0,0,0,0,0,0,0,0.22,0,0,0,0,0,0,0,0,0,0,0,lable_fanqi,,反骑,受到骑兵的伤害减少[fed655]22%[-]
307,2,7,1,930,0,0,0,1,0,1,0,0,0,0,null,0,0,0,,0,0,0,0,0,0,0,0,0,0,0.26,0,0,0,0,0,0,0,0,0,0,0,lable_fanqi,,反骑,受到骑兵的伤害减少[fed655]26%[-]
308,2,8,1,1220,0,0,0,1,0,1,0,0,0,0,null,0,0,0,,0,0,0,0,0,0,0,0,0,0,0.3,0,0,0,0,0,0,0,0,0,0,0,lable_fanqi,,反骑,受到骑兵的伤害减少[fed655]30%[-]
309,2,9,1,1550,0,0,0,1,0,1,0,0,0,0,null,0,0,0,,0,0,0,0,0,0,0,0,0,0,0.35,0,0,0,0,0,0,0,0,0,0,0,lable_fanqi,,反骑,受到骑兵的伤害减少[fed655]35%[-]
310,2,10,1,1920,0,0,0,1,0,1,0,0,0,0,null,0,0,0,,0,0,0,0,0,0,0,0,0,0,0.38,0,0,0,0,0,0,0,0,0,0,0,lable_fanqi,,反骑,受到骑兵的伤害减少[fed655]40%[-]
401,3,1,1,30,0,0,0,1,0,1,0,0,0,0,null,0,0,0,50|1000|30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,lable_sheshen,,舍身,造成的普通攻击伤害提高[fed655]5%[-]，受到的普通攻击伤害增加[fed655]3%[-]
402,3,2,1,80,0,0,0,1,0,1,0,0,0,0,null,0,0,0,100|1000|50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,lable_sheshen,,舍身,造成的普通攻击伤害提高[fed655]10%[-]，受到的普通攻击伤害增加[fed655]5%[-]
403,3,3,1,170,0,0,0,1,0,16,0,0,0,0,null,0,0,0,150|1000|80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,lable_sheshen,,舍身,造成的普通攻击伤害提高[fed655]15%[-]，受到的普通攻击伤害增加[fed655]8%[-]
404,3,4,1,300,0,0,0,1,0,16,0,0,0,0,null,0,0,0,200|1000|100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,lable_sheshen,,舍身,造成的普通攻击伤害提高[fed655]20%[-]，受到的普通攻击伤害增加[fed655]10%[-]
405,3,5,1,470,0,0,0,1,0,16,0,0,0,0,null,0,0,0,250|1000|130,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,lable_sheshen,,舍身,造成的普通攻击伤害提高[fed655]25%[-]，受到的普通攻击伤害增加[fed655]13%[-]
406,3,6,1,680,0,0,0,1,0,16,0,0,0,0,null,0,0,0,300|1000|150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,lable_sheshen,,舍身,造成的普通攻击伤害提高[fed655]30%[-]，受到的普通攻击伤害增加[fed655]15%[-]
407,3,7,1,930,0,0,0,1,0,1,0,0,0,0,null,0,0,0,350|1000|180,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,lable_sheshen,,舍身,造成的普通攻击伤害提高[fed655]35%[-]，受到的普通攻击伤害增加[fed655]18%[-]
408,3,8,1,1220,0,0,0,1,0,1,0,0,0,0,null,0,0,0,400|1000|200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,lable_sheshen,,舍身,造成的普通攻击伤害提高[fed655]40%[-]，受到的普通攻击伤害增加[fed655]20%[-]
409,3,9,1,1550,0,0,0,1,0,1,0,0,0,0,null,0,0,0,430|1000|220,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,lable_sheshen,,舍身,造成的普通攻击伤害提高[fed655]43%[-]，受到的普通攻击伤害增加[fed655]22%[-]
410,3,10,1,1920,0,0,0,1,0,1,0,0,0,0,null,0,0,0,450|1000|230,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,lable_sheshen,,舍身,造成的普通攻击伤害提高[fed655]45%[-]，受到的普通攻击伤害增加[fed655]23%[-]
501,4,1,1,30,0,0,0,1,0,14,0,0,0,0,null,0,0,0,10|1000|20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,lable_jinshen,,谨慎,受到的普通攻击伤害降低[fed655]2%[-]，造成的普通攻击伤害降低[fed655]1%[-]
502,4,2,1,80,0,0,0,1,0,14,0,0,0,0,null,0,0,0,30|1000|60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,lable_jinshen,,谨慎,受到的普通攻击伤害降低[fed655]6%[-]，造成的普通攻击伤害降低[fed655]3%[-]
503,4,3,1,170,0,0,0,1,0,14,0,0,0,0,null,0,0,0,50|1000|100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,lable_jinshen,,谨慎,受到的普通攻击伤害降低[fed655]10%[-]，造成的普通攻击伤害降低[fed655]5%[-]
504,4,4,1,300,0,0,0,1,0,14,0,0,0,0,null,0,0,0,70|1000|140,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,lable_jinshen,,谨慎,受到的普通攻击伤害降低[fed655]14%[-]，造成的普通攻击伤害降低[fed655]7%[-]
505,4,5,1,470,0,0,0,1,0,12,0,0,0,0,null,0,0,0,90|1000|180,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,lable_jinshen,,谨慎,受到的普通攻击伤害降低[fed655]18%[-]，造成的普通攻击伤害降低[fed655]9%[-]
506,4,6,1,680,0,0,0,1,0,12,0,0,0,0,null,0,0,0,110|1000|220,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,lable_jinshen,,谨慎,受到的普通攻击伤害降低[fed655]22%[-]，造成的普通攻击伤害降低[fed655]11%[-]
507,4,7,1,930,0,0,0,1,0,12,0,0,0,0,null,0,0,0,130|1000|260,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,lable_jinshen,,谨慎,受到的普通攻击伤害降低[fed655]26%[-]，造成的普通攻击伤害降低[fed655]13%[-]
508,4,8,1,1220,0,0,0,1,0,12,0,0,0,0,null,0,0,0,150|1000|300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,lable_jinshen,,谨慎,受到的普通攻击伤害降低[fed655]30%[-]，造成的普通攻击伤害降低[fed655]15%[-]
509,4,9,1,1550,0,0,0,1,0,15,0,0,0,0,null,0,0,0,180|1000|350,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,lable_jinshen,,谨慎,受到的普通攻击伤害降低[fed655]35%[-]，造成的普通攻击伤害降低[fed655]18%[-]
510,4,10,1,1920,0,0,0,1,0,15,0,0,0,0,null,0,0,0,190|1000|380,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,lable_jinshen,,谨慎,受到的普通攻击伤害降低[fed655]38%[-]，造成的普通攻击伤害降低[fed655]19%[-]
601,5,1,1,30,0,0,0,1,0,15,0,0,0,0,null,0,0,0,,0,0,0,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,lable_meili,,魅力,对异性造成的普通攻击伤害提高[fed655]2%[-]
602,5,2,1,80,0,0,0,1,0,15,0,0,0,0,null,0,0,0,,0,0,0,0.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,lable_meili,,魅力,对异性造成的普通攻击伤害提高[fed655]6%[-]
603,5,3,1,170,0,0,0,1,0,1,0,0,0,0,null,0,0,0,,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,lable_meili,,魅力,对异性造成的普通攻击伤害提高[fed655]10%[-]
604,5,4,1,300,0,0,0,1,0,1,0,0,0,0,null,0,0,0,,0,0,0,0.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,lable_meili,,魅力,对异性造成的普通攻击伤害提高[fed655]14%[-]
605,5,5,1,470,0,0,0,1,0,1,0,0,0,0,null,0,0,0,,0,0,0,0.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,lable_meili,,魅力,对异性造成的普通攻击伤害提高[fed655]18%[-]
606,5,6,1,680,0,0,0,1,0,1,0,0,0,0,null,0,0,0,,0,0,0,0.22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,lable_meili,,魅力,对异性造成的普通攻击伤害提高[fed655]22%[-]
607,5,7,1,930,0,0,0,1,0,12,0,0,0,0,null,0,0,0,,0,0,0,0.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,lable_meili,,魅力,对异性造成的普通攻击伤害提高[fed655]26%[-]
608,5,8,1,1220,0,0,0,1,0,3,0,0,0,0,null,0,0,0,,0,0,0,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,lable_meili,,魅力,对异性造成的普通攻击伤害提高[fed655]30%[-]
609,5,9,1,1550,0,0,0,1,0,3,0,0,0,0,null,0,0,0,,0,0,0,0.35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,lable_meili,,魅力,对异性造成的普通攻击伤害提高[fed655]35%[-]
610,5,10,1,1920,0,0,0,1,0,3,0,0,0,0,null,0,0,0,,0,0,0,0.38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,lable_meili,,魅力,对异性造成的普通攻击伤害提高[fed655]40%[-]
701,6,1,1,30,0,0,0,1,0,17,0,0,0,0,null,0,0,0,,0,0,0,0,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,lable_shensuan,,神算,法术伤害类技能效果提高[fed655]1%[-]
702,6,2,1,80,0,0,0,1,0,17,0,0,0,0,null,0,0,0,,0,0,0,0,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,lable_shensuan,,神算,法术伤害类技能效果提高[fed655]2%[-]
703,6,3,1,170,0,0,0,1,0,17,0,0,0,0,null,0,0,0,,0,0,0,0,0.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,lable_shensuan,,神算,法术伤害类技能效果提高[fed655]3%[-]
704,6,4,1,300,0,0,0,1,0,17,0,0,0,0,null,0,0,0,,0,0,0,0,0.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,lable_shensuan,,神算,法术伤害类技能效果提高[fed655]4%[-]
705,6,5,1,470,0,0,0,1,0,1,0,0,0,0,null,0,0,0,,0,0,0,0,0.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,lable_shensuan,,神算,法术伤害类技能效果提高[fed655]5%[-]
706,6,6,1,680,0,0,0,1,0,1,0,0,0,0,null,0,0,0,,0,0,0,0,0.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,lable_shensuan,,神算,法术伤害类技能效果提高[fed655]6%[-]
707,6,7,1,930,0,0,0,1,0,1,0,0,0,0,null,0,0,0,,0,0,0,0,0.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,lable_shensuan,,神算,法术伤害类技能效果提高[fed655]7%[-]
708,6,8,1,1220,0,0,0,1,0,1,0,0,0,0,null,0,0,0,,0,0,0,0,0.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,lable_shensuan,,神算,法术伤害类技能效果提高[fed655]8%[-]
709,6,9,1,1550,0,0,0,1,0,1,0,0,0,0,null,0,0,0,,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,lable_shensuan,,神算,法术伤害类技能效果提高[fed655]10%[-]
710,6,10,1,1920,0,0,0,1,0,1,0,0,0,0,null,0,0,0,,0,0,0,0,0.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,lable_shensuan,,神算,法术伤害类技能效果提高[fed655]12%[-]
1001,9,1,1,30,0,0,0,1,0,1,0,0,0,0,null,0,0,0,,0,0,0,0,0,0,0,0,0.006,0,0,0,0,0,0,0,0,0,0,0,0,0,lable_jianren,,坚韧,武力提供的防御力提高[fed655]2%[-]
1002,9,2,1,80,0,0,0,1,0,1,0,0,0,0,null,0,0,0,,0,0,0,0,0,0,0,0,0.018,0,0,0,0,0,0,0,0,0,0,0,0,0,lable_jianren,,坚韧,武力提供的防御力提高[fed655]6%[-]
1003,9,3,1,170,0,0,0,1,0,7,0,0,0,0,null,0,0,0,,0,0,0,0,0,0,0,0,0.03,0,0,0,0,0,0,0,0,0,0,0,0,0,lable_jianren,,坚韧,武力提供的防御力提高[fed655]10%[-]
1004,9,4,1,300,0,0,0,1,0,7,0,0,0,0,null,0,0,0,,0,0,0,0,0,0,0,0,0.042,0,0,0,0,0,0,0,0,0,0,0,0,0,lable_jianren,,坚韧,武力提供的防御力提高[fed655]14%[-]
1005,9,5,1,470,0,0,0,1,0,7,0,0,0,0,null,0,0,0,,0,0,0,0,0,0,0,0,0.054,0,0,0,0,0,0,0,0,0,0,0,0,0,lable_jianren,,坚韧,武力提供的防御力提高[fed655]18%[-]
1006,9,6,1,680,0,0,0,1,0,7,0,0,0,0,null,0,0,0,,0,0,0,0,0,0,0,0,0.066,0,0,0,0,0,0,0,0,0,0,0,0,0,lable_jianren,,坚韧,武力提供的防御力提高[fed655]22%[-]
1007,9,7,1,930,0,0,0,1,0,3,0,0,0,0,null,0,0,0,,0,0,0,0,0,0,0,0,0.078,0,0,0,0,0,0,0,0,0,0,0,0,0,lable_jianren,,坚韧,武力提供的防御力提高[fed655]26%[-]
1008,9,8,1,1220,0,0,0,1,0,3,0,0,0,0,null,0,0,0,,0,0,0,0,0,0,0,0,0.09,0,0,0,0,0,0,0,0,0,0,0,0,0,lable_jianren,,坚韧,武力提供的防御力提高[fed655]30%[-]
1009,9,9,1,1550,0,0,0,1,0,3,0,0,0,0,null,0,0,0,,0,0,0,0,0,0,0,0,0.105,0,0,0,0,0,0,0,0,0,0,0,0,0,lable_jianren,,坚韧,武力提供的防御力提高[fed655]35%[-]
1010,9,10,1,1920,0,0,0,1,0,3,0,0,0,0,null,0,0,0,,0,0,0,0,0,0,0,0,0.114,0,0,0,0,0,0,0,0,0,0,0,0,0,lable_jianren,,坚韧,武力提供的防御力提高[fed655]40%[-]
1101,10,1,1,30,0,0,0,1,0,3,0,0,0,0,null,0,0,0,,0,0,0,0,0,0,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,lable_yongwu,,勇武,武力提供的攻击力提高[fed655]2%[-]
1102,10,2,1,80,0,0,0,1,0,3,0,0,0,0,null,0,0,0,,0,0,0,0,0,0,0.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,lable_yongwu,,勇武,武力提供的攻击力提高[fed655]6%[-]
1103,10,3,1,170,0,0,0,1,0,3,0,0,0,0,null,0,0,0,,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,lable_yongwu,,勇武,武力提供的攻击力提高[fed655]10%[-]
1104,10,4,1,300,0,0,0,1,0,3,0,0,0,0,null,0,0,0,,0,0,0,0,0,0,0.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,lable_yongwu,,勇武,武力提供的攻击力提高[fed655]14%[-]
1105,10,5,1,470,0,0,0,1,0,1,0,0,0,0,null,0,0,0,,0,0,0,0,0,0,0.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,lable_yongwu,,勇武,武力提供的攻击力提高[fed655]18%[-]
1106,10,6,1,680,0,0,0,1,0,1,0,0,0,0,null,0,0,0,,0,0,0,0,0,0,0.22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,lable_yongwu,,勇武,武力提供的攻击力提高[fed655]22%[-]
1107,10,7,1,930,0,0,0,1,0,1,0,0,0,0,null,0,0,0,,0,0,0,0,0,0,0.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,lable_yongwu,,勇武,武力提供的攻击力提高[fed655]26%[-]
1108,10,8,1,1220,0,0,0,1,0,1,0,0,0,0,null,0,0,0,,0,0,0,0,0,0,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,lable_yongwu,,勇武,武力提供的攻击力提高[fed655]30%[-]
1109,10,9,1,1550,0,0,0,1,0,1,0,0,0,0,null,0,0,0,,0,0,0,0,0,0,0.35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,lable_yongwu,,勇武,武力提供的攻击力提高[fed655]35%[-]
1110,10,10,1,1920,0,0,0,1,0,1,0,0,0,0,null,0,0,0,,0,0,0,0,0,0,0.38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,lable_yongwu,,勇武,武力提供的攻击力提高[fed655]40%[-]
1201,12,1,1|2,30,0,0,0,1,0,1,0,0,0,0,null,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0.04,0,0,0,0,0,0,0,0,0,lable_xiongshi,,雄师,兵力提供的生命值提高[fed655]4%[-]
1202,12,2,1|2,80,0,0,0,1,0,1,0,0,0,0,null,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0.07,0,0,0,0,0,0,0,0,0,lable_xiongshi,,雄师,兵力提供的生命值提高[fed655]7%[-]
1203,12,3,1|2,170,0,0,0,1,0,11,0,0,0,0,null,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,lable_xiongshi,,雄师,兵力提供的生命值提高[fed655]10%[-]
1204,12,4,1|2,300,0,0,0,1,0,11,0,0,0,0,null,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0.13,0,0,0,0,0,0,0,0,0,lable_xiongshi,,雄师,兵力提供的生命值提高[fed655]13%[-]
1205,12,5,1|2,470,0,0,0,1,0,11,0,0,0,0,null,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0.16,0,0,0,0,0,0,0,0,0,lable_xiongshi,,雄师,兵力提供的生命值提高[fed655]16%[-]
1206,12,6,1|2,680,0,0,0,1,0,11,0,0,0,0,null,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0.19,0,0,0,0,0,0,0,0,0,lable_xiongshi,,雄师,兵力提供的生命值提高[fed655]19%[-]
1207,12,7,1|2,930,0,0,0,1,0,1,0,0,0,0,null,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0.22,0,0,0,0,0,0,0,0,0,lable_xiongshi,,雄师,兵力提供的生命值提高[fed655]22%[-]
1208,12,8,1|2,1220,0,0,0,1,0,1,0,0,0,0,null,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0,0,0,0,0,0,0,0,0,lable_xiongshi,,雄师,兵力提供的生命值提高[fed655]25%[-]
1209,12,9,1|2,1550,0,0,0,1,0,1,0,0,0,0,null,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0.3,0,0,0,0,0,0,0,0,0,lable_xiongshi,,雄师,兵力提供的生命值提高[fed655]30%[-]
1210,12,10,1|2,1920,0,0,0,1,0,1,0,0,0,0,null,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0.4,0,0,0,0,0,0,0,0,0,lable_xiongshi,,雄师,兵力提供的生命值提高[fed655]40%[-]
