编号,名称,指定武将卡(优先级最高),同行武将,总战力,武将战力,"武将类型(0,不指定;1,勇将;2,将军;3,智将;4,策士)","武将性别（0,不指定;1，男;2，女）",地图限制,事件编号,描述
134000,思乡心切,0,0,0,0,0,0,1,134010,无效
135000,早上好,0,0,0,0,0,0,1,135010,无效
136000,中午好,0,0,0,0,0,0,1,136010,无效
137000,晚上好,0,0,0,0,0,0,1,137010,无效
138000,报效主公,0,0,0,0,0,0,1,138010,无效
139000,发现宝藏,0,0,0,0,0,0,1,139010,无效
140000,纵火事件,0,0,0,0,0,0,1,140010,无效
141000,纵火事件,0,0,0,0,0,0,1,141010,无效
142000,纵火事件,0,0,0,0,0,0,1,142010,无效
143000,纵火事件,0,0,0,0,0,0,1,143010,无效
144000,村民的关怀,0,0,0,0,0,0,1,144010,无效
145000,村民的关怀,0,0,0,0,0,0,1,145010,无效
146000,村民的关怀,0,0,0,0,0,0,1,146010,无效
147000,牛家村的荣耀,0,0,0,0,0,0,1,147010,无效
701000,朱雀羽扇-讨厌的蛮子,0,0,0,0,0,0,0,701010,无效
702000,朱雀羽扇-军事现身,0,3|289|290,0,3000,3,0,0,702010,无效
703000,朱雀羽扇-孟获的挑战,3|289|290,0,0,5000,0,0,0,703010,无效
704000,朱雀羽扇-正面一战,3|289|290,4|305|306,0,8000,0,0,3,704010,无效
705000,朱雀羽扇-蛮王的顺服,3|289|290,0,60000,10000,0,0,4,705010,无效
706000,龙吟弓-孙坚的死讯,0,0,0,0,0,0,0,706010,无效
707000,龙吟弓-江东双璧,0,0,0,0,0,0,0,707010,无效
708000,龙吟弓-义父,11|342|343,0,0,3000,0,0,0,708010,无效
709000,龙吟弓-父亲的遗志,11|342|343,0,0,8000,0,0,3,709010,无效
710000,龙吟弓-策马天下,11|342|343,10|297|298,60000,10000,0,0,4,710010,无效
711000,穷奇羽扇-传闻中的人,0,0,0,0,0,0,0,711010,无效
712000,穷奇羽扇-邀请,5|293|294,0,0,0,0,0,0,712010,无效
713000,穷奇羽扇-二位公子,5|293|294,0,0,5000,0,0,3,713010,无效
714000,穷奇羽扇-储位之争,5|293|294,43|316,60000,10000,0,0,4,714010,无效
201000,祭典,0,0,0,0,0,0,2,201010,无效
202000,祭典,0,0,0,0,0,0,2,202010,无效
203000,祭典,0,0,0,0,0,0,2,203010,无效
204000,祭典,0,0,0,0,0,0,2,204010,无效
205000,祭典,0,0,0,0,0,0,2,205010,无效
206000,祭祀洛阳,0,0,0,0,0,0,2,206010,无效
301000,祭典,0,0,0,0,0,0,3,301010,无效
302000,祭典,0,0,0,0,0,0,3,302010,无效
303000,祭典,0,0,0,0,0,0,3,303010,无效
304000,祭典,0,0,0,0,0,0,3,304010,无效
305000,祭典,0,0,0,0,0,0,3,305010,无效
306000,祭祀洛阳,0,0,0,0,0,0,3,306010,无效
401000,祭典,0,0,0,0,0,0,4,401010,无效
402000,祭典,0,0,0,0,0,0,4,402010,无效
403000,祭典,0,0,0,0,0,0,4,403010,无效
404000,祭典,0,0,0,0,0,0,4,404010,无效
405000,祭典,0,0,0,0,0,0,4,405010,无效
406000,祭祀洛阳,0,0,0,0,0,0,4,406010,无效
207000,早上好,0,0,0,0,0,0,2,207010,无效
208000,中午好,0,0,0,0,0,0,2,208010,无效
209000,晚上好,0,0,0,0,0,0,2,209010,无效
307000,早上好,0,0,0,0,0,0,3,307010,无效
308000,中午好,0,0,0,0,0,0,3,308010,无效
309000,晚上好,0,0,0,0,0,0,3,309010,无效
407000,早上好,0,0,0,0,0,0,4,407010,无效
408000,中午好,0,0,0,0,0,0,4,408010,无效
409000,晚上好,0,0,0,0,0,0,4,409010,无效
210000,乱世仁医,0,0,0,0,0,0,2,210010,无效
211000,天算人算,0,0,0,0,0,0,2,211010,无效
310000,乱世仁医,0,0,0,0,0,0,3,310010,无效
311000,天算人算,0,0,0,0,0,0,3,311010,无效
410000,乱世仁医,0,0,0,0,0,0,4,410010,无效
411000,天算人算,0,0,0,0,0,0,4,411010,无效
212000,报效主公,0,0,0,0,0,0,2,212010,无效
213000,发现宝藏,0,0,0,0,0,0,2,213010,无效
214000,纵火事件,0,0,0,0,0,0,2,214010,无效
312000,报效主公,0,0,0,0,0,0,3,312010,无效
313000,发现宝藏,0,0,0,0,0,0,3,313010,无效
314000,纵火事件,0,0,0,0,0,0,3,314010,无效
412000,报效主公,0,0,0,0,0,0,4,412010,无效
413000,发现宝藏,0,0,0,0,0,0,4,413010,无效
414000,纵火事件,0,0,0,0,0,0,4,414010,无效
415000,纵火事件,0,0,0,0,0,0,4,415010,无效
416000,纵火事件,0,0,0,0,0,0,4,416010,无效
417000,纵火事件,0,0,0,0,0,0,4,417010,无效
418000,村民的关怀,0,0,0,0,0,0,4,418010,无效
419000,村民的关怀,0,0,0,0,0,0,4,419010,无效
420000,村民的关怀,0,0,0,0,0,0,4,420010,无效
421000,牛家村的荣耀,0,0,0,0,0,0,4,421010,无效
215000,偶遇故友,0,0,0,0,0,0,2|3|4,215010,无效
216000,偶遇故友,0,0,0,0,0,0,2|3|4,216010,无效
217000,偶遇故友,0,0,0,0,0,0,2|3|4,217010,无效
218000,偶遇故友,0,0,0,0,0,0,2|3|4,218010,无效
219000,纵火事件,0,0,0,0,0,0,2,219010,无效
220000,纵火事件,0,0,0,0,0,0,2,220010,无效
221000,纵火事件,0,0,0,0,0,0,2,221010,无效
222000,村民的关怀,0,0,0,0,0,0,2,222010,无效
223000,村民的关怀,0,0,0,0,0,0,2,223010,无效
224000,村民的关怀,0,0,0,0,0,0,2,224010,无效
225000,牛家村的荣耀,0,0,0,0,0,0,2,225010,无效
315000,偶遇故友,0,0,0,0,0,0,3|4,315010,无效
316000,偶遇故友,0,0,0,0,0,0,3|4,316010,无效
317000,偶遇故友,0,0,0,0,0,0,3|4,317010,无效
318000,偶遇故友,0,0,0,0,0,0,3|4,318010,无效
319000,纵火事件,0,0,0,0,0,0,3,319010,无效
320000,纵火事件,0,0,0,0,0,0,3,320010,无效
321000,纵火事件,0,0,0,0,0,0,3,321010,无效
322000,村民的关怀,0,0,0,0,0,0,3,322010,无效
323000,村民的关怀,0,0,0,0,0,0,3,323010,无效
324000,村民的关怀,0,0,0,0,0,0,3,324010,无效
325000,牛家村的荣耀,0,0,0,0,0,0,3,325010,无效
800000,新年活动邀请函,0,0,500000,0,0,0,0,800010,无效
801000,春节将至农事忙,0,0,500000,0,0,0,1,801010,无效
802000,孩童相伴欢乐多,0,0,500000,0,0,0,2,802010,无效
803000,扫尘除旧迎新年,0,0,500000,0,0,0,3,803010,无效
804000,讨伐山贼为村民,0,0,500000,0,0,0,2,804010,无效
805000,埋伏山贼为村民,0,0,500000,0,0,0,3,805010,无效
806000,拜访武将-道观,0,0,500000,10000,0,0,4,806010,无效
807000,拜访武将-雷雨,0,0,500000,10000,0,0,4,807010,无效
808000,拜访武将-智者,0,0,500000,10000,0,0,4,808010,无效
809000,拜访武将-琴音,0,0,500000,10000,0,0,4,809010,无效
810000,拜访武将-求签,0,0,500000,10000,0,0,4,810010,无效
811000,拜访武将-论画,0,0,500000,10000,0,0,4,811010,无效
812000,拜访武将-月下美人,0,0,500000,10000,0,0,4,812010,无效
813000,拜访武将-风筝,0,0,500000,10000,0,0,4,813010,无效
814000,拜访武将-小马,0,0,500000,10000,0,0,4,814010,无效
815000,拜访武将-现充,0,0,500000,10000,0,0,4,815010,无效
816000,拜访武将-落寞,0,0,500000,10000,0,0,4,816010,无效
817000,拜访武将-巡城,0,0,500000,10000,0,0,4,817010,无效
818000,拜访武将-切磋,0,0,500000,10000,0,0,4,818010,无效
819000,拜访武将-弓神,0,0,500000,10000,0,0,4,819010,无效
820000,拜访武将-宿敌,0,0,500000,10000,0,0,4,820010,无效
821000,拜访武将-宿敌,0,0,500000,10000,0,0,4,821010,无效
822000,拜访武将-不打不相识,0,0,500000,10000,0,0,4,822010,无效
823000,拜访武将-笔记,0,0,500000,10000,0,0,4,823010,无效
824000,拜访武将-枪神,0,0,500000,10000,0,0,4,824010,无效
825000,拜访武将-兄弟,0,59,500000,10000,0,0,4,825010,无效
826000,拜访武将-不可捉摸,0,0,500000,10000,0,0,4,826010,无效
827000,拜访武将-名门,0,0,500000,10000,0,0,4,827010,无效
828000,拜访武将-赠礼,0,0,500000,10000,0,0,4,828010,无效
829000,拜访武将-不醉不归,0,0,500000,10000,0,0,4,829010,无效
830000,拜访武将-游贼,0,0,500000,10000,0,0,4,830010,无效
831000,拜访武将-骑兵,0,0,500000,10000,0,0,4,831010,无效
832000,拜访武将-宴会,0,0,500000,10000,0,0,4,832010,无效
833000,拜访武将-迷妹,0,0,500000,10000,0,0,4,833010,无效
834000,拜访武将-仁德,0,0,500000,10000,0,0,4,834010,无效
835000,拜访武将-礼物,0,0,500000,10000,0,0,4,835010,无效
836000,拜访武将-合家,0,0,500000,10000,0,0,4,836010,无效
837000,拜访武将-烟火,0,0,500000,10000,0,0,4,837010,无效
838000,拜访武将-疗伤,0,0,500000,10000,0,0,4,838010,无效
839000,拜访武将-求贤,0,0,500000,10000,0,0,4,839010,无效
840000,拜访武将-石阵,0,0,500000,10000,0,0,4,840010,无效
1001000,慰问信,0,0,0,0,0,0,0,1000000,无效
1001010,慰问信,0,0,0,0,0,0,0,1000010,无效
1001020,慰问信,0,0,0,0,0,0,0,1000020,无效
1001030,慰问信,0,0,0,0,0,0,0,1000030,无效
1001040,慰问信,0,0,0,0,0,0,0,1000040,无效
1001050,慰问信,0,0,0,0,0,0,0,1000050,无效
1001060,慰问信,0,0,0,0,0,0,0,1000060,无效
1001070,慰问信,0,0,0,0,0,0,0,1000070,无效
1001080,慰问信,0,0,0,0,0,0,0,1000080,无效
1001090,慰问信,0,0,0,0,0,0,0,1000090,无效
1001100,慰问信,0,0,0,0,0,0,0,1000100,无效
1001110,慰问信,0,0,0,0,0,0,0,1000110,无效
1001120,慰问信,0,0,0,0,0,0,0,1000120,无效
1001130,慰问信,0,0,0,0,0,0,0,1000130,无效
1001140,慰问信,0,0,0,0,0,0,0,1000140,无效
1001150,慰问信,0,0,0,0,0,0,0,1000150,无效
1001160,慰问信,0,0,0,0,0,0,0,1000160,无效
1001170,慰问信,0,0,0,0,0,0,0,1000170,无效
1001180,慰问信,0,0,0,0,0,0,0,1000180,无效
1001190,慰问信,0,0,0,0,0,0,0,1000190,无效
1001200,慰问信,0,0,0,0,0,0,0,1000200,无效
1001210,慰问信,0,0,0,0,0,0,0,1000210,无效
1001220,慰问信,0,0,0,0,0,0,0,1000220,无效
1001230,慰问信,0,0,0,0,0,0,0,1000230,无效
1001240,慰问信,0,0,0,0,0,0,0,1000240,无效
1001250,慰问信,0,0,0,0,0,0,0,1000250,无效
1001260,慰问信,0,0,0,0,0,0,0,1000260,无效
1001270,慰问信,0,0,0,0,0,0,0,1000270,无效
1001280,慰问信,0,0,0,0,0,0,0,1000280,无效
1001290,慰问信,0,0,0,0,0,0,0,1000290,无效
1001300,慰问信,0,0,0,0,0,0,0,1000300,无效
1001310,慰问信,0,0,0,0,0,0,0,1000310,无效
1001320,慰问信,0,0,0,0,0,0,0,1000320,无效
1001330,慰问信,0,0,0,0,0,0,0,1000330,无效
1001340,慰问信,0,0,0,0,0,0,0,1000340,无效
1001350,慰问信,0,0,0,0,0,0,0,1000350,无效
1001360,慰问信,0,0,0,0,0,0,0,1000360,无效
1001370,慰问信,0,0,0,0,0,0,0,1000370,无效
1001380,慰问信,0,0,0,0,0,0,0,1000380,无效
1001390,慰问信,0,0,0,0,0,0,0,1000390,无效
