序号,标题,内容,类型,子类型
8,骑兵科技,骑兵：$$倾向于武力，是优秀的突袭单位。$骑兵达到LV2时，会获得特殊战法 —— 突击。$突袭，提高骑兵移动速度；在接触除枪兵外的其他兵种时造成一次高额伤害；骑兵可以从几个方向进行突击，达到绕过前排敌人的目的。,8,0
9,资源,掠夺：$$对其他玩家的封地进行掠夺需要先支付卡魂。$掠夺、更换对手都会消耗卡魂。$掠夺、更换对手消耗的卡魂数量会逐次累加，次日重置。$$$复仇：$$对列表中的对手进行复仇不需支付卡魂。$复仇行为会使下次掠夺的卡魂支付量增加。$$$保护时间：$$封地被他人掠夺后会进入8小时的保护时间。$处在保护时间内的封地无法被他人掠夺。$复仇和掠夺行为会清除自身封地的保护时间。$$$驻守部队：$$保护封地的部队就是上阵武将。$点击主角头像可以设置保护封地战斗的技能施放顺序。,9,0
10,好友,好友规则：$$好友申请被通过后，双方才会成为好友。$可以通过输入对方ID号码添加指定好友。$$$援军武将：$$施放援军技能不会产生任何消耗。$被使用过的援军武将需要次日才能再次被使用。$每个玩家一天可以接受3次好友赠送的军令，但是能赠送给别人总计6次军令。$军令只能赠送好友。$$$好友召回：$$离线时间超过15天，战力达到豪杰的好友，会显示可召回。$如果该玩家在此时回到游戏中，并在回归福利界面中通过好友ID绑定了您，您将获得多种奖励。并且该玩家充值时，您也能获得钻石。$欲知详情，请查看活动界面中的老玩家回归活动。$$$,10,0
11,黄巾入侵,时间：$$黄巾入侵将会持续30分钟。$$$总战力:$$黄巾军的总战力被击杀为0时，活动结束。$$$奖励：$$个人排名奖励，活动期间击杀数量排名前10的玩家会获得额外奖励$$第一名:   25万卡魂、15张漆盘券、15张传承券$第二名:   15万卡魂、10张漆盘券、12张传承券$第三名：   15万卡魂、8张漆盘券、12张传承券$第四~六名：   12万卡魂、5张漆盘券、8张传承券$第七~十名：   8万卡魂、3张漆盘券、5张传承券$$击杀奖励，根据活动时间内击杀的黄巾军数量，可获得相应数量卡魂。$$公会排名奖励，活动期间公会参与并至少胜利一场的玩家超过5人，该公会就进入黄巾军公会排行，进入排行的公会参与玩家将获得额外奖励。$$第1名：金钥匙2把。$$第2名：金钥匙1把，银钥匙3把。$$第3名：金钥匙1把，银钥匙1把。$$第4、5名：银钥匙6把。$$第6-10名：银钥匙4把。$$第11名以后：银钥匙1把。$$击退奖励，活动时间内将黄巾军总战力击杀完，所有参与黄巾军的玩家都可获得 5万卡魂 与 2张传承券。$$$体力:$$每经历一次战斗就会消耗部分体力，战败则会消耗所有体力。$当体力为0时，部队需要休养3分钟进行休养。休养完毕后恢复满值。$$$战力情况:$$体力的下降会导致战力下降，上阵武将的相应属性也会相应下降。$$$黄巾军BOSS：$$黄巾军BOSS会在特定时间出现，击杀可获得物资补充体力。,11,0
12,圣石漆盘,激运值:$$每次转动圣石漆盘都能增加激运值。$当激运值累积到1000点之后，可以免费获得一次单倍激运转盘的机会。$激运转盘将100%触发金色转盘。$$祝君武运！$$$概率公示：$$普通转盘：$朱雀石2个：6%$玄武石2个：10%$传承券2个：7%$白虎石2个：6%$青龙石2个：2%$天运值50点：5%$青龙石1个：5%$白虎石1个：15%$朱雀石1个：15%$玄武石1个：27%$激运大转盘：2%$$大转盘中物品概率：$青龙石10个：5%$白虎石10个：15%$朱雀石10个：15%$玄武石10个：25%$卡魂100W：40%,12,0
13,竞技场,挑战次数：$$每隔3个小时会自动恢复1点挑战次数$$$阶级&段位：$$竞技场共有5个阶级，分别是：青铜、白银、黄金、大师、至尊。$每个阶级拥有分为3个段位。$$$积分：$$参与竞技场的玩家通过挑战不同难度的对手获得对应积分，累积积分来获得进阶资格。$$$对手难度：$$对手的难度分为高、中、低三个难度，由上到下排列。$难度高：胜利获得40积分，失败获得20积分；$难度中：胜利获得30积分，失败获得15积分；$难度低：胜利获得20积分，失败获得10积分；$玩家积分累计到80点时进入进阶赛。$$$进阶赛：$$进阶赛共3场，获得其中2场胜利则可顺利进阶。$进阶赛如失败2场则进阶失败。$$$至尊：$$到达至尊段位后玩家战胜挑战对手的获得对应积分。$至尊段位玩家之间以积分高低决定排名，积分相同的玩家战力高的玩家排名高。$$$活跃度：$$挑战胜利获得45点活跃度，失败获得15点活跃度；$挑战复仇状态下的玩家会获得复仇BUFF层数*1的额外活跃度；$战胜特殊奖励的目标概率性获得45点额外活跃度；$刷新一次目标获得1点活跃度，购买一次竞技场次数获得20点活跃度。$$$奖励：$$竞技场战斗结算时会获得卡魂奖励，同时有几率获得四圣石和传承券，段位越高，卡魂越多，四圣石和传承券的产出概率也越高。$段位进阶的奖励为30钻石，3张转盘券，升级到至尊段位将获得一次100钻石，10张转盘券的奖励。$段位奖励：赛季结束时向本赛季所有段位的玩家发放。$排名奖励：赛季结束时向处于至尊段位且排名在前100名的玩家发放。$每日奖励：当活跃度达到需求时，可领取对应阶段的积分奖励；奖励每日0点刷新，未领取的奖励会被重置。$$$挑战对手：$$对手数量：共有三个挑战对手依次由强到弱自上而下排列，全部战胜后会刷新新的对手；$特殊状态：该对手附带额外奖励，击败后可能获得活跃度、神眷点数、卡魂、银币；$复仇状态：该对手为挑战后失败后获得，己方根据失败次数获得战力加成。挑战获胜后额外获得活跃度奖励。,13,0
14,卡片传承,传承简介：$$传承可以将一张卡片的能力转移给另一张卡片。$一张卡属性状态提升的同时，祭品卡片将继承两张卡之间较低的属性状态。$同阶同品质卡片也可以进行传承。$$传承的消耗：$钻石：4000钻石/40张传承券$神金：3000钻石/30张传承券$鬼金：1000钻石/10张传承券$神银：600钻石/6张传承券$鬼银：200钻石/2张传承券$神黑：100钻石/1张传承券$鬼黑：50钻石/1张传承券$神白：50钻石/1张传承券$鬼白：10钻石/1张传承券$$传承规则：$卡片传承时，两张卡的等级、进阶等级和四圣石均无损耗，但卡片传承不包括将魂等级的交换，若需要传承将魂等级，请使用将魂传承。$$强化等级：被传承卡的等级取两者中较高的那个，传承卡则保留两者中较低的那个。$进阶等级：卡片传承时，被传承的卡片取两者中较高的进阶等级，且传承卡保留两者中较低的进阶等级。$四圣石等级：卡片传承时，被传承的卡片取两者中较高的四圣石等级，且传承卡保留两者中较低的四圣石等级。$$$消耗优先级：$传承优先使用传承券，1传承券抵100钻石（不足100钻按1传承券算），传承券不够的部分再消耗钻石。,14,0
15,四圣石,四圣石:$$汇聚四种神兽力量的石头，镶嵌到武将卡上之后可以获得额外的属性加成。$青龙石可以增加武力、智力、兵力。$白虎石可以增加武力、兵力。$朱雀石可以增加智力、兵力。$玄武石可以增加兵力。$$$光泽度:$$每镶嵌一颗圣石可为武将增加一点光泽度。$当光泽度达到120点时可触发一级特效。$当光泽度达到300点时可触发二级特效。,15,0
16,升星预览,升星卡片预览：$$开启升星界面，可查看目前开放的全部升星后卡片效果预览，左右滑动切换显示，点击选中卡片可进入该武将对应的升星操作界面。,16,0
17,升星界面,升星：$$卡片原品质、星级可通过该系统提升品质、星级。$$卡片升星条件与说明：$$武将卡：需拥有可升星的武将卡；$$武将卡进阶等级：需要达到鬼或鬼以上；$$武将卡强化等级：金卡升钻石需要达到80级或80级以上；银卡升金卡需要达到30级或30级以上。$$材料卡：金卡升钻石需要觉醒印卡片或堕天印卡片；不同卡片决定升星后的武将系列属于觉醒系或堕天系；银卡升金卡不需要材料卡；材料卡可通过招募或挑战玩法获得；$$卡魂：不同品质、进阶等级、强化等级卡片升星消耗卡魂不同；$$印玉：不同品质、进阶等级、强化等级卡片升星消耗印玉不同；印玉可通过挑战玩法获得。,17,0
18,技能配置,$如何配置技能释放顺序？$共有5个配置栏，每个配置栏有3个配置位，每个配置位可以配置一个武将技能。5个配置栏中的武将技能将顺序释放，而同一个配置栏中的武将技能将在士气满足的前提下同时释放。$若同一配置栏中的武将士气消耗将超过12点，则无法对该武将进行选择$$$举个例子：$1号配置栏中设定2个武将技能，2号配置栏中设定1个武将技能，3号配置栏中设定3个武将技能。当士气满足时，1号配置栏中的2个武将技能同时释放，再当士气满足时，2号配置栏中的1个武将技能释放，再当士气满足时，3号配置栏中的3个武将技能同时释放。再次循环。,18,0
19,战斗配置,$什么是自动战斗配置？$用于自动战斗及被击防守时，己方部队的阵型及武将技能释放顺序。$$$自动战斗怎么配置？$点击任意武将头像，即可进入防御布阵界面。在该界面中，可以调整部队防守迎战阵型，并对其进行保存。同时可对技能释放顺序进行配置调整。,19,0
20,通关奖励及扫荡,通关奖励：$$战胜关卡可能获得战器奖励，战器的种类及品质与关卡详情界面上显示的战器相同，也会有小概率出现其他品质及种类的战器。$$$扫荡功能：$$扫荡功能可直接跳过战斗获得关卡奖励。$关卡最高评分达到5星时可对关卡进行扫荡。$每日系统会给予各位主公固定的扫荡次数，当日扫荡次数用完，可通过少量钻石购买扫荡次数。,20,0
21,战器,[FFCC00]战器获得：[-]$$通过挑战普通或精英关卡以及招募界面的战器寻宝等方式可以获得战器。$$$[FFCC00]战器类型：[-]$$战器一共有刀、剑、枪、弓、扇5种类型，每个武将都可以装备其中的一种或多种类型。请根据武将自身的特性来选择装备最合适的战器。$只有上阵的主将可以装备战器，如果该武将被下阵，则身上的战器会被自动卸下。$$$[FFCC00]战器加成：[-]$$基础属性：$战器可以装备它的武将提供武力、智力、兵力加成，战器品质越高，加成的属性也越高。$$附属技能：$一些优质的战器会额外给装备它的武将提供护甲、破甲、抗性、破法、铁壁、穿透等附属属性甚至是被动技能中的一种或几种。$如果装备战器的武将已拥有战器提供的被动技能，则战器的被动技能将不能生效。$$淬炼属性：$金色及以上品质的战器通过淬炼将获得淬炼属性，可以增加三维，还有可能获得特殊的特效加成，使武将在战场中触发特殊的技能效果。,21,0
22,战器重铸,[FFCC00]重铸规则：[-]$$只有金色及以上品质的战器可以被重铸。$战器重铸成不同的专属战器需要消耗原战器及不同类型和数量的材料。$$$[FFCC00]属性变化：[-]$$战器被重铸为专属战器之后，类型和原有属性及经验均将保留，但会增加专属属性，当对应的武将装备专属战器时可激活专属属性。$专属战器可以再次被重铸，重铸将提高专属战器附带的属性加成，但不会改变其类型及专属的武将。,22,0
23,战器强化,[FFCC00]强化规则：[-]$$战器最多可以强化到15级。$强化成功可以使战器的武力、智力、兵力得到提升。$强化等级越高，增加的属性值越高。$强化可能会失败，失败可能导致强化等级下降。,23,0
24,布阵,战斗画面：$$兵种相克关系：枪兵克制骑兵，骑兵克制弓兵，弓兵克制枪兵。$$科技升级到2级之后，可以开启对应兵种的特殊阵法（突击、远射等）。$突击阵型：$骑兵专用，在两军交锋时会对敌方造成突击伤害。$突击分为左突、右突以及直突。$远射阵型：$弓兵专用，可以增加弓兵射程的阵型。$枪阵阵型：$枪兵专用，在交锋时可对突击中的骑兵造成伤害。$$阵型可以任意排列，PVE时可以移动观察对方阵型（PVP不会显示对方阵型），再决定自己的布阵。$$决定阵型后可以选择援军（当然也可以不选择援军），好友可以当做援军，数量不够的时候系统会自动分配附近玩家。$$战斗开始后，随时间会积攒士气，士气满可以释放武将技能，援军技能不消耗士气。$$武将会按照排列好的阵型进攻，玩家可以根据战场形势选择合适时机释放技能，有些时候甚至可以逆转战局，成为制胜的关键。$$军令产出和消耗：$$剧情关卡和精英关卡：$1-4章每关卡5个$5-9章每关卡7个$10章以后每关卡10个。$军令回复时间：8分钟回复1个,24,0
25,商城,$$礼包商店：$$主要分为每日礼包，成长礼包，节日礼包，每日礼包每日可购买1次，第二天刷新次数，成长礼包有一定的购买限制次数，节日礼包只有在特定节日才会开启。$$钻石：$$可充值对应数量的钻石。$$军令：$$消费钻石购买军令，每天可以购买5次。$0点之后重置所有购买机会。$$齿轮：$$消费钻石购买齿轮，齿轮可在机关人处进行转化。$通过使用齿轮可以将卡片转化成卡魂或者血玉。$齿轮每日可以购买4次，0点之后重置购买机会。$$锤子：$$消费钻石购买锤子，锤子用于升级科技。$锤子是提升整体战力水平最快捷的途径。$锤子购买次数不可重置。$$卡魂：$$消费钻石购买卡魂。$每种档位的卡魂每天只可购买一次，0点之后重置购买机会。$$生铁：$$消费钻石购买生铁，可用于工坊器械升级。$每种档位的生铁每天只可购买一次，0点之后重置购买机会。$$杨木：$$消费钻石购买杨木，可用于工坊器械升级。$每种档位的杨木每天只可购买一次，0点之后重置购买机会。$$工坊设计图：$$消费钻石购买工坊设计图，可用于工坊器械升星和研发。$每种档位的工坊设计图每天只可购买一次，0点之后重置购买机会。$$兑换码：$$输入得到的兑换码，可以获得对应的道具。$$购入次数刷新时间为每天24点,25,0
26,圣石商店,四圣石的兑换$$消耗指定的石头，可以兑换货架上陈列的各种物品，每种物品仅能兑换一次。$$货架的刷新$$货架将会在指定的时间进行刷新，随机上架新的物品以供兑换。$$免费刷新时间：$[FFCC00]6:00[-]  [FFCC00]14:00[-]  [FFCC00]22:00[-]$消耗钻石可以随时进行刷新，不限次数。$$谢谢各位英雄的惠顾！$——有转职意向的张让老板,26,1
27,公会商店,公会商店的兑换$$消耗公会贡献值，可以兑换货架上陈列的各种物品，每种物品仅能兑换一次。$$货架的刷新$$货架将会在指定的时间进行刷新，随机上架新的物品以供兑换。$$免费刷新时间：$[FFCC00]6:00[-]$消耗贡献值可以随时进行刷新，不限次数。,26,2
28,派遣商店,派遣商店$$消耗声望，可以兑换货架上陈列的战器碎片，每种物品仅能兑换一次。$$货架的刷新$$货架将会在指定的时间进行刷新，随机上架新的物品以供兑换。$$免费刷新时间：$[FFCC00]6:00[-]  [FFCC00]14:00[-]  [FFCC00]22:00[-]$消耗声望或钻石可以随时进行刷新，不限次数。,26,3
29,富商兑换商店,活动期间，可使用钻石富商卡兑换相应资源物。福利多多，机不可失，祝主公好运连连！,26,10
32,战功商店,战功券的兑换$$消耗战功券，可以兑换货架上陈列的物品，资源类物品每天仅能兑换一次，卡片印可以无限次兑换。$$货架的刷新$$货架将会在指定的时间进行刷新，1000战功券和1700战功卷的卡片印内容会每天刷新。$$免费刷新时间：$[FFCC00]9:00[-],26,9
36,限定商店,使用天命卡可兑换国战限定卡。如果想要获得天命卡，请主公们密切关注活动系统。$$此商店长期开放，主公们手上的天命卡不要急着分解哦,26,11
38,新增异化商店,战功券的兑换$$消耗战功券，可以兑换货架上陈列的物品，卡片印可以无限次兑换。,38,0
39,神将商店,神将卡的获得$$在巅峰跨服战中晋级淘汰赛即可获得神将卡$$升星印的兑换$$每一张神将卡可兑换一张升星印$$升星印的更新$$商店中的升星印会不定期更新，请主公们持续关注哦,26,14
40,公会列表,玩家可以在这里申请加入公会或新建公会。$$申请入会：$玩家点击申请按钮即发送了入会申请，最多可以同时对20个公会发出入会申请。$$创建公会:$玩家可以通过消耗钻石或卡魂进行公会的创建，公会名最长8个字。,40,0
41,公会科技,公会科技等级跟随公会等级一起成长，四大科技是给予公会成员的福利之一。$$精耕细作：$增加公会成员封地的产出，科技等级越高，加成越多。$$以战养战：$减少公会成员封地占领所消耗的卡魂，科技等级越高，减少的消耗越多。$$物尽其用：$增加玩家分解卡片产出的卡魂数量，科技等级越高，加成越多。$$聚沙成塔：$增加聚宝盆活动的基础军令值，科技等级越高，基础军令越多。,41,0
42,公会大营,公会等级:$公会的等级会随着公会成员的捐献成长，等级越高，公会成员上限越高，公会科技等级也越高。$$公会排名：$公会在服务器中的排名，公会等级越高的排的越靠前。$$公会总战力：$公会所有成员的最大战力之和。$$公会公告：$由公会管理编辑的告知全体公会玩家的公告，最多为50个字。$$公会动态：$用来显示公会成员行为和公会等级提升等信息，包括公会成员捐献、公会等级提升、公会排名提升、成员被提升为副会长、报名券的获得、公会战的状态等。$$公会捐献：$公会成员每天可以消耗卡魂或钻石对公会进行建设，玩家获得公会贡献值、公会获得对应的公会经验。是公会提升等级的唯一途径。新进公会的玩家需要24小时后才能进行捐献。$$公会聊天：$公会成员用来沟通的聊天频道，也可以通过游戏主界面中的“聊天”进入。$$公会宣言：$由公会管理编辑的用来招募公会成员的一个公告，内容将显示在公会列表界面中。最多30个字$$成员审核：$公会管理可以通过该功能进行新成员审核。$$解散公会：$公会会长可以通过该选项解散公会，但您真的要这么做么？请三思啊！$$强制解散：$一个月内，公会如果没有任何成员登录过游戏，则公会强制解散。$$退出公会：$点击该按钮可以退出您当前所在的公会，但是退会24小时后才能申请进入其他公会或新建公会，请您三思！$$公会战的报名：会长或副会长可以使用报名券参加公会战的竞标。$$报名券的用途：[FFCC00]会长或副会长[-]可以使用报名券参加公会战的竞标。$$报名券获得途径：$1.公会贡献值$公会贡献值总额每增加[FFCC00]2500[-]点，所在公会可以获得[FFCC00]1[-]张；$2.公会黄巾入侵$公会有[FFCC00]五[-]名以上成员参与黄巾入侵并获得胜利后，所在公会可以获得[FFCC00]1[-]张,42,0
43,聚宝盆,传说中的宝物，据说在古时候，无论放进去什么东西，第二天都会产出更多。可惜随着岁月的流逝，如今聚宝盆传承下来的功能只剩下了军令产出一项。$玩家每天可以从聚宝盆中领取一定数量的军令，更神奇的是，如果向聚宝盆中投入军令，第二天能够获得额外的军令。但如果不及时领取的话，这些军令是会消失的哦。,43,0
44,成员列表,公会成员聚集的地方，在这里普通公会成员可以互相拜访赠送军令，公会管理页可以对公会成员进行各项管理。$$拜访：$公会成员每天可以拜访3次其他公会成员，也可以接受3次他人的拜访。每次拜访对方都可以获得10点军令。$$流放：$公会管理可以通过这个选项将公会中的蛀虫踢出公会。$$提拔：$公会会长可以通过这个选项提拔某个公会成员成为副会长，协助他管理公会。副会长最多两位。$$降职:$公会会长可以通过这个选项将某位副会长降职为普通成员，当天升任副会长的玩家无法进行降职。$$禅让：$公会会长可以通过这个选项将公会会长职位禅让给某位公会成员，同时自身成为普通公会成员。当天升任会长的玩家无法进行禅让。,44,0
45,淘汰赛,1.淘汰赛每日进行一轮比赛。$$2.淘汰赛开始后先进入竞猜阶段，所有玩家可以以卡魂来竞猜获胜者。$$3.竞猜时间将持续到淘汰赛当日比赛开始前，之后将无法进行竞猜。$$4.当日淘汰比赛结束后，次日的比赛竞猜则开启。$$5.在奖励界面中可以查看淘汰赛奖励。$$6.在我的竞猜界面中可以查看自己竞猜的记录以及领取竞猜奖励。$$7.取得淘汰赛胜利的服务器可获得优胜者全服奖励。,45,0
46,预选赛,1. 预选赛的战斗将以布阵设定好的阵型与技能施放顺序自动进行。$$2.在更换上阵武将后，记得进入预选赛布阵界面调配技能施放顺序并保存。$$3. 预选赛中击败一个玩家将获得10积分。$$4.连胜将获得额外积分，连胜场次越多所获得的额外积分也就越多。$$5. 预选赛结束时位于积分前12名的玩家将有资格参加接下来的跨服淘汰赛。$$6. 预选赛中单场战斗如时间过长，则战力较高者会获得。,46,0
47,淘汰赛比赛规则,$$1.淘汰比赛开始后，双方各有9面帅旗，每个玩家拥有3面。$$2. 每位玩家拥有3次挑战对方战队成员的机会，但同一玩家无法对相同目标挑战2次，且本场比赛中最多被挑战3次。$$3. 挑战成功者折断对方一面帅旗，挑战失败则帅旗保留。$$4. 达到结算时间时，未被使用的挑战次数不计入评分。$$5. 当所有玩家挑战次数用尽或到达结算时间时，保留帅旗多的一方胜出，数量相同时，则战力高的队伍胜出。,47,0
48,派遣,开放时间：每日[FFCC00]00:00-23:59[-]$可派遣武将上限：[FFCC00]20名[-]$每日可触发事件上限：[FFCC00]20件[-]$武将在派遣过程中，时不时会遇到一些地图事件，完成事件之后，主公您的声望也会随之增长~$您获得的声望可以在国库中兑换各种宝物！！$$==========小技巧==========$$如何派遣武将$【快速派遣】：快速地将您卡册中战力最高的武将派至最适合他们的地图。$【武将派遣】：选择您卡册中的武将派遣至当前地图，您可以根据计划选择指定武将和指定的区域。$派遣不会消耗您的任何物品，也不会影响您在其他场合使用已经被派出的武将，包括分解。$$如何开启地图$卡册中有一名武将达到某一区域所要求的战力之后，地图便会对您开放，当然，只有达到要求的武将才能进入该区域。$$更多的事件$事件的触发时机与您的游戏行为有关，打竞技场、消耗军令刷关卡、参加挑战会为您隐性地增加行动点，当您的行动点增加到1000之后，便会触发一个新事件。$每消耗一军令=[FFCC00]15点行动点[-]$每参加一次挑战=[FFCC00]100点行动点[-]$每参加一次竞技场=[FFCC00]600点行动点[-]$一名武将同时只会遇到一个事件，所以当您发现有事件发生时，请尽快去完成他，不然可能会[FFCC00]损失完成事件的机会哦[-]。$额外触发事件的时间：[FFCC00]每日13点、16点、19点[-]$$更多的奖励$地图区域决定了事件的奖励，而只有高战力的武将才能前往更高级的地区区域，所以尽可能地派出最强的武将吧！【当然，您在事件中的表现也是决定奖励的因素之一$$地图探索度$每当您完成一个事件之后，地图的探索度便会增加1点，达到一定的探索度之后，就可以开启宝箱。$探索度每天都会重置。$$隐藏事件？$完成某些事件之后，在【重大事件】中会留下一些信息，预示着事件会有后续进展，请多多关注吧，主公！,48,0
49,战器熔合,[FFCC00]熔合规则：[-]$$只有附属属性或者被动没有满级的战器可以进行熔合。$战器品质越高，附属属性及被动技能可被提升的等级也越高。$$$[FFCC00]属性匹配：[-]$$战器在熔合时需要消耗祭品战器，熔合[FF0000]专属战器[-]将返还部分相应的专属碎片，熔合[FF0000]强化过的战器[-]将返还部分血玉。$只有祭品战器的附属属性及被动技能与将要进行熔合提升的战器有吻合属性时才能够成为祭品战器，并提供熔合经验。$高级熔合可以消耗少量钻石提供10%的额外的属性经验值。,49,0
51,战器传承,基础规则：$强化等级：两件战器强化等级互换$$消耗优先级：$传承优先使用传承券，1传承券抵100钻石（不足100钻按1传承券算），传承券不够的部分再消耗钻石$$传承的消耗：$1级：100钻石/1张传承券$2级：150钻石/1张传承券$3级：200钻石/2张传承券$4级：300钻石/3张传承券$5级：500钻石/5张传承券$6级：1000钻石/10张传承券$7级：2000钻石/20张传承券$8级：3000钻石/30张传承券$9级：4000钻石/40张传承券$10级：5000钻石/50张传承券$11级：6000钻石/60张传承券$12级：8000钻石/80张传承券$13级：9000钻石/90张传承券$14级：10000钻石/100张传承券$15级：12000钻石/120张传承券,51,0
52,公会战报名,报名条件：$公会等级[FFCC00]≥3[-]级，且公会人数[FFCC00]≥15[-]人$$报名规则：$1.报名开始后，[FFCC00]会长或副会长[-]可使用报名券报名$2.报名期间，报名券数量可随时添加$3.报名截止后，服务器将选取使用报名券数量最多的数名公会进入正式的公会战$※若你的公会未能入选最终的公会战，服务器将返还所有已使用的报名券$$分组规则：$1.以公会为单位分组，让实力相近的公会共同战斗$2.分组依据公会实力、以及胜负情况综合评定$$报名券获得途径：$1.公会贡献值$公会贡献值总额每增加[FFCC00]2500[-]点，所在公会可以获得[FFCC00]1[-]张；$2.公会黄巾入侵$公会有[FFCC00]五[-]名以上成员参与黄巾入侵并获得胜利后，所在公会可以获得[FFCC00]1[-]张,52,0
