ID,赛季id,服务器ID,服务器名字,分组ID(>0),阵营
4833,80,30003172,s142,1,1
4834,80,30003187,s157,1,1
4835,80,30003192,s162,1,1
4836,80,30003195,s165,1,1
4837,80,30003232,s202,1,1
4838,80,30003237,s207,1,1
4839,80,30003241,s211,1,1
4840,80,30003251,s221,1,1
4841,80,30003262,s232,1,1
4842,80,30003288,s258,1,1
4843,80,30003296,s266,1,1
4844,80,30003320,s290,1,1
4845,80,30003336,s306,1,1
4846,80,30003365,s326,1,1
4847,80,30003366,s327,1,1
4848,80,30003369,s330,1,1
4849,80,30003372,s333,1,1
4850,80,30003382,s343,1,1
4851,80,30003386,s347,1,1
4852,80,30003392,s353,1,1
4853,80,30003396,s357,1,1
4854,80,30003398,s359,1,1
4855,80,30003410,s371,1,1
4856,80,30003423,s384,1,1
4857,80,30003467,s428,1,1
4858,80,30003496,s457,1,1
4859,80,30003508,s469,1,1
4860,80,30003512,s473,1,1
4861,80,30003524,s485,1,1
4862,80,30003529,s490,1,1
4863,80,10000340,s10,2,2
4864,80,10000344,s14,2,2
4865,80,10000350,s20,2,2
4866,80,300003056,s26,2,2
4867,80,30003060,s30,2,2
4868,80,30003078,s48,2,2
4869,80,30003094,s64,2,2
4870,80,30003130,s100,2,2
4871,80,30003141,s111,2,2
4872,80,30003146,s116,2,2
4873,80,30003164,s134,2,2
4874,80,30003186,s156,2,2
4875,80,30003193,s163,2,2
4876,80,30003197,s167,2,2
4877,80,30003203,s173,2,2
4878,80,30003215,s185,2,2
4879,80,30003216,s186,2,2
4880,80,30003218,s188,2,2
4881,80,30003219,s189,2,2
4882,80,30003223,s193,2,2
4883,80,30003225,s195,2,2
4884,80,30003236,s206,2,2
4885,80,30003253,s223,2,2
4886,80,30003267,s237,2,2
4887,80,30003272,s242,2,2
4888,80,30003285,s255,2,2
4889,80,30003294,s264,2,2
4890,80,30003298,s268,2,2
4891,80,30003299,s269,2,2
4892,80,30003308,s278,2,2
4893,80,30003316,s286,2,2
4894,80,30003363,s324,2,2
4895,80,30003385,s346,2,2
4896,80,30003397,s358,2,2
4897,80,30003444,s405,2,2
4898,80,30003450,s411,2,2
4899,80,30003482,s443,2,2
4900,80,30003486,s447,2,2
4901,80,30003487,s448,2,2
4902,80,30003494,s455,2,2
4903,80,30003495,s456,2,2
4904,80,30003509,s470,2,2
4905,80,30003067,s37,2,3
4906,80,30003069,s39,2,3
4907,80,30003108,s78,2,3
4908,80,30003112,s82,2,3
4909,80,30003114,s84,2,3
4910,80,30003115,s85,2,3
4911,80,30003119,s89,2,3
4912,80,30003127,s97,2,3
4913,80,30003205,s175,2,3
4914,80,30003217,s187,2,3
4915,80,30003228,s198,2,3
4916,80,30003230,s200,2,3
4917,80,30003234,s204,2,3
4918,80,30003261,s231,2,3
4919,80,30003271,s241,2,3
4920,80,30003273,s243,2,3
4921,80,30003275,s245,2,3
4922,80,30003277,s247,2,3
4923,80,30003278,s248,2,3
4924,80,30003286,s256,2,3
4925,80,30003289,s259,2,3
4926,80,30003291,s261,2,3
4927,80,30003301,s271,2,3
4928,80,30003330,s300,2,3
4929,80,30003334,s304,2,3
4930,80,30003342,s312,2,3
4931,80,30003349,s319,2,3
4932,80,30003373,s334,2,3
4933,80,30003375,s336,2,3
4934,80,30003389,s350,2,3
4935,80,30003399,s360,2,3
4936,80,30003421,s382,2,3
4937,80,30003430,s391,2,3
4938,80,30003446,s407,2,3
4939,80,30003447,s408,2,3
4940,80,30003457,s418,2,3
4941,80,30003461,s422,2,3
4942,80,30003476,s437,2,3
4943,80,30003478,s439,2,3
4944,80,30003501,s462,2,3
4945,80,30003526,s487,2,3
4946,80,10000334,s4,2,4
4947,80,10000345,s15,2,4
4948,80,10000346,s16,2,4
4949,80,30000354,s24,2,4
4950,80,30003073,s43,2,4
4951,80,30003076,s46,2,4
4952,80,30003077,s47,2,4
4953,80,30003098,s68,2,4
4954,80,30003102,s72,2,4
4955,80,30003145,s115,2,4
4956,80,30003152,s122,2,4
4957,80,30003176,s146,2,4
4958,80,30003185,s155,2,4
4959,80,30003189,s159,2,4
4960,80,30003201,s171,2,4
4961,80,30003220,s190,2,4
4962,80,30003222,s192,2,4
4963,80,30003227,s197,2,4
4964,80,30003248,s218,2,4
4965,80,30003255,s225,2,4
4966,80,30003276,s246,2,4
4967,80,30003284,s254,2,4
4968,80,30003287,s257,2,4
4969,80,30003314,s284,2,4
4970,80,30003321,s291,2,4
4971,80,30003322,s292,2,4
4972,80,30003323,s293,2,4
4973,80,30003346,s316,2,4
4974,80,30003368,s329,2,4
4975,80,30003403,s364,2,4
4976,80,30003405,s366,2,4
4977,80,30003412,s373,2,4
4978,80,30003415,s376,2,4
4979,80,30003433,s394,2,4
4980,80,30003434,s395,2,4
4981,80,30003439,s400,2,4
4982,80,30003451,s412,2,4
4983,80,30003483,s444,2,4
4984,80,30003500,s461,2,4
4985,80,30003515,s476,2,4
4986,80,30003065,s35,2,1
4987,80,30003066,s36,2,1
4988,80,30003074,s44,2,1
4989,80,30003075,s45,2,1
4990,80,30003095,s65,2,1
4991,80,30003100,s70,2,1
4992,80,30003101,s71,2,1
4993,80,30003129,s99,2,1
4994,80,30003151,s121,2,1
4995,80,30003156,s126,2,1
4996,80,30003163,s133,2,1
4997,80,30003166,s136,2,1
4998,80,30003184,s154,2,1
4999,80,30003211,s181,2,1
5000,80,30003214,s184,2,1
5001,80,30003233,s203,2,1
5002,80,30003235,s205,2,1
5003,80,30003252,s222,2,1
5004,80,30003256,s226,2,1
5005,80,30003257,s227,2,1
5006,80,30003270,s240,2,1
5007,80,30003310,s280,2,1
5008,80,30003327,s297,2,1
5009,80,30003340,s310,2,1
5010,80,30003361,s322,2,1
5011,80,30003376,s337,2,1
5012,80,30003380,s341,2,1
5013,80,30003413,s374,2,1
5014,80,30003440,s401,2,1
5015,80,30003443,s404,2,1
5016,80,30003458,s419,2,1
5017,80,30003460,s421,2,1
5018,80,30003469,s430,2,1
5019,80,30003474,s435,2,1
5020,80,30003489,s450,2,1
5021,80,30003491,s452,2,1
5022,80,30003506,s467,2,1
5023,80,30003516,s477,2,1
5024,80,30003522,s483,2,1
5025,80,30003527,s488,2,1
5026,80,10000339,s9,3,2
5027,80,10000349,s19,3,2
5028,80,300003057,s27,3,2
5029,80,30003061,s31,3,2
5030,80,30003062,s32,3,2
5031,80,30003071,s41,3,2
5032,80,30003086,s56,3,2
5033,80,30003103,s73,3,2
5034,80,30003105,s75,3,2
5035,80,30003116,s86,3,2
5036,80,30003126,s96,3,2
5037,80,30003135,s105,3,2
5038,80,30003190,s160,3,2
5039,80,30003207,s177,3,2
5040,80,30003221,s191,3,2
5041,80,30003238,s208,3,2
5042,80,30003240,s210,3,2
5043,80,30003254,s224,3,2
5044,80,30003259,s229,3,2
5045,80,30003265,s235,3,2
5046,80,30003281,s251,3,2
5047,80,30003319,s289,3,2
5048,80,30003324,s294,3,2
5049,80,30003343,s313,3,2
5050,80,30003377,s338,3,2
5051,80,30003388,s349,3,2
5052,80,30003408,s369,3,2
5053,80,30003409,s370,3,2
5054,80,30003420,s381,3,2
5055,80,30003429,s390,3,2
5056,80,30003435,s396,3,2
5057,80,30003448,s409,3,2
5058,80,30003466,s427,3,2
5059,80,30003468,s429,3,2
5060,80,30003472,s433,3,2
5061,80,30003475,s436,3,2
5062,80,30003480,s441,3,2
5063,80,30003492,s453,3,2
5064,80,30003518,s479,3,2
5065,80,30003525,s486,3,2
5066,80,10000333,s3,3,3
5067,80,10000347,s17,3,3
5068,80,10000353,s23,3,3
5069,80,30003059,s29,3,3
5070,80,30003081,s51,3,3
5071,80,30003088,s58,3,3
5072,80,30003111,s81,3,3
5073,80,30003137,s107,3,3
5074,80,30003139,s109,3,3
5075,80,30003150,s120,3,3
5076,80,30003154,s124,3,3
5077,80,30003168,s138,3,3
5078,80,30003169,s139,3,3
5079,80,30003183,s153,3,3
5080,80,30003191,s161,3,3
5081,80,30003194,s164,3,3
5082,80,30003204,s174,3,3
5083,80,30003209,s179,3,3
5084,80,30003226,s196,3,3
5085,80,30003245,s215,3,3
5086,80,30003247,s217,3,3
5087,80,30003268,s238,3,3
5088,80,30003282,s252,3,3
5089,80,30003304,s274,3,3
5090,80,30003311,s281,3,3
5091,80,30003333,s303,3,3
5092,80,30003347,s317,3,3
5093,80,30003348,s318,3,3
5094,80,30003370,s331,3,3
5095,80,30003395,s356,3,3
5096,80,30003404,s365,3,3
5097,80,30003406,s367,3,3
5098,80,30003428,s389,3,3
5099,80,30003431,s392,3,3
5100,80,30003436,s397,3,3
5101,80,30003453,s414,3,3
5102,80,30003454,s415,3,3
5103,80,30003485,s446,3,3
5104,80,30003505,s466,3,3
5105,80,30003520,s481,3,3
5106,80,30003528,s489,3,3
5107,80,10000338,s8,3,4
5108,80,10000342,s12,3,4
5109,80,10000348,s18,3,4
5110,80,30003079,s49,3,4
5111,80,30003110,s80,3,4
5112,80,30003118,s88,3,4
5113,80,30003125,s95,3,4
5114,80,30003128,s98,3,4
5115,80,30003133,s103,3,4
5116,80,30003153,s123,3,4
5117,80,30003167,s137,3,4
5118,80,30003170,s140,3,4
5119,80,30003177,s147,3,4
5120,80,30003178,s148,3,4
5121,80,30003182,s152,3,4
5122,80,30003208,s178,3,4
5123,80,30003213,s183,3,4
5124,80,30003231,s201,3,4
5125,80,30003239,s209,3,4
5126,80,30003244,s214,3,4
5127,80,30003250,s220,3,4
5128,80,30003258,s228,3,4
5129,80,30003292,s262,3,4
5130,80,30003306,s276,3,4
5131,80,30003318,s288,3,4
5132,80,30003350,s320,3,4
5133,80,30003351,s321,3,4
5134,80,30003374,s335,3,4
5135,80,30003383,s344,3,4
5136,80,30003390,s351,3,4
5137,80,30003402,s363,3,4
5138,80,30003411,s372,3,4
5139,80,30003416,s377,3,4
5140,80,30003417,s378,3,4
5141,80,30003419,s380,3,4
5142,80,30003425,s386,3,4
5143,80,30003426,s387,3,4
5144,80,30003441,s402,3,4
5145,80,30003455,s416,3,4
5146,80,30003465,s426,3,4
5147,80,30003477,s438,3,4
5148,80,30003513,s474,3,4
5149,80,10000352,s22,3,1
5150,80,30003082,s52,3,1
5151,80,30003083,s53,3,1
5152,80,30003084,s54,3,1
5153,80,30003089,s59,3,1
5154,80,30003092,s62,3,1
5155,80,30003106,s76,3,1
5156,80,30003124,s94,3,1
5157,80,30003131,s101,3,1
5158,80,30003138,s108,3,1
5159,80,30003171,s141,3,1
5160,80,30003174,s144,3,1
5161,80,30003181,s151,3,1
5162,80,30003200,s170,3,1
5163,80,30003212,s182,3,1
5164,80,30003269,s239,3,1
5165,80,30003279,s249,3,1
5166,80,30003280,s250,3,1
5167,80,30003293,s263,3,1
5168,80,30003302,s272,3,1
5169,80,30003305,s275,3,1
5170,80,30003326,s296,3,1
5171,80,30003328,s298,3,1
5172,80,30003331,s301,3,1
5173,80,30003345,s315,3,1
5174,80,30003362,s323,3,1
5175,80,30003367,s328,3,1
5176,80,30003378,s339,3,1
5177,80,30003387,s348,3,1
5178,80,30003394,s355,3,1
5179,80,30003424,s385,3,1
5180,80,30003438,s399,3,1
5181,80,30003452,s413,3,1
5182,80,30003459,s420,3,1
5183,80,30003462,s423,3,1
5184,80,30003464,s425,3,1
5185,80,30003470,s431,3,1
5186,80,30003473,s434,3,1
5187,80,30003484,s445,3,1
5188,80,30003493,s454,3,1
5189,80,30003498,s459,3,1
5190,80,30003514,s475,3,1
5191,81,10000332,s2,1,1
5192,81,30003073,s43,1,1
5193,81,30003074,s44,1,1
5194,81,30003079,s49,1,1
5195,81,30003101,s71,1,1
5196,81,30003104,s74,1,1
5197,81,30003105,s75,1,1
5198,81,30003125,s95,1,1
5199,81,30003127,s97,1,1
5200,81,30003134,s104,1,1
5201,81,30003145,s115,1,1
5202,81,30003149,s119,1,1
5203,81,30003172,s142,1,1
5204,81,30003199,s169,1,1
5205,81,30003214,s184,1,1
5206,81,30003219,s189,1,1
5207,81,30003249,s219,1,1
5208,81,30003250,s220,1,1
5209,81,30003261,s231,1,1
5210,81,30003265,s235,1,1
5211,81,30003266,s236,1,1
5212,81,30003309,s279,1,1
5213,81,30003310,s280,1,1
5214,81,30003313,s283,1,1
5215,81,30003314,s284,1,1
5216,81,30003321,s291,1,1
5217,81,30003343,s313,1,1
5218,81,30003344,s314,1,1
5219,81,30003346,s316,1,1
5220,81,30003351,s321,1,1
5221,81,30003367,s328,1,1
5222,81,30003382,s343,1,1
5223,81,30003386,s347,1,1
5224,81,30003387,s348,1,1
5225,81,30003403,s364,1,1
5226,81,30003414,s375,1,1
5227,81,30003449,s410,1,1
5228,81,30003457,s418,1,1
5229,81,30003471,s432,1,1
5230,81,30003491,s452,1,1
5231,81,30003507,s468,1,1
5232,81,30003536,s497,1,1
5233,81,10000335,s5,1,2
5234,81,30000354,s24,1,2
5235,81,30003067,s37,1,2
5236,81,30003069,s39,1,2
5237,81,30003081,s51,1,2
5238,81,30003084,s54,1,2
5239,81,30003093,s63,1,2
5240,81,30003117,s87,1,2
5241,81,30003130,s100,1,2
5242,81,30003167,s137,1,2
5243,81,30003175,s145,1,2
5244,81,30003178,s148,1,2
5245,81,30003179,s149,1,2
5246,81,30003184,s154,1,2
5247,81,30003185,s155,1,2
5248,81,30003193,s163,1,2
5249,81,30003206,s176,1,2
5250,81,30003207,s177,1,2
5251,81,30003212,s182,1,2
5252,81,30003216,s186,1,2
5253,81,30003226,s196,1,2
5254,81,30003244,s214,1,2
5255,81,30003264,s234,1,2
5256,81,30003275,s245,1,2
5257,81,30003294,s264,1,2
5258,81,30003300,s270,1,2
5259,81,30003311,s281,1,2
5260,81,30003336,s306,1,2
5261,81,30003341,s311,1,2
5262,81,30003365,s326,1,2
5263,81,30003391,s352,1,2
5264,81,30003398,s359,1,2
5265,81,30003400,s361,1,2
5266,81,30003433,s394,1,2
5267,81,30003440,s401,1,2
5268,81,30003445,s406,1,2
5269,81,30003501,s462,1,2
5270,81,30003505,s466,1,2
5271,81,30003506,s467,1,2
5272,81,30003518,s479,1,2
5273,81,30003525,s486,1,2
5274,81,30003527,s488,1,2
5275,81,10000346,s16,1,3
5276,81,30003065,s35,1,3
5277,81,30003083,s53,1,3
5278,81,30003108,s78,1,3
5279,81,30003124,s94,1,3
5280,81,30003142,s112,1,3
5281,81,30003153,s123,1,3
5282,81,30003159,s129,1,3
5283,81,30003169,s139,1,3
5284,81,30003190,s160,1,3
5285,81,30003209,s179,1,3
5286,81,30003213,s183,1,3
5287,81,30003218,s188,1,3
5288,81,30003233,s203,1,3
5289,81,30003251,s221,1,3
5290,81,30003270,s240,1,3
5291,81,30003272,s242,1,3
5292,81,30003288,s258,1,3
5293,81,30003305,s275,1,3
5294,81,30003315,s285,1,3
5295,81,30003318,s288,1,3
5296,81,30003327,s297,1,3
5297,81,30003329,s299,1,3
5298,81,30003399,s360,1,3
5299,81,30003401,s362,1,3
5300,81,30003413,s374,1,3
5301,81,30003419,s380,1,3
5302,81,30003420,s381,1,3
5303,81,30003422,s383,1,3
5304,81,30003425,s386,1,3
5305,81,30003434,s395,1,3
5306,81,30003460,s421,1,3
5307,81,30003465,s426,1,3
5308,81,30003472,s433,1,3
5309,81,30003481,s442,1,3
5310,81,30003492,s453,1,3
5311,81,30003493,s454,1,3
5312,81,30003495,s456,1,3
5313,81,30003499,s460,1,3
5314,81,30003509,s470,1,3
5315,81,30003513,s474,1,3
5316,81,30003537,s498,1,3
5317,81,10000338,s8,1,4
5318,81,10000347,s17,1,4
5319,81,30003062,s32,1,4
5320,81,30003072,s42,1,4
5321,81,30003082,s52,1,4
5322,81,30003086,s56,1,4
5323,81,30003131,s101,1,4
5324,81,30003148,s118,1,4
5325,81,30003151,s121,1,4
5326,81,30003171,s141,1,4
5327,81,30003181,s151,1,4
5328,81,30003201,s171,1,4
5329,81,30003211,s181,1,4
5330,81,30003222,s192,1,4
5331,81,30003224,s194,1,4
5332,81,30003234,s204,1,4
5333,81,30003238,s208,1,4
5334,81,30003243,s213,1,4
5335,81,30003248,s218,1,4
5336,81,30003254,s224,1,4
5337,81,30003267,s237,1,4
5338,81,30003283,s253,1,4
5339,81,30003295,s265,1,4
5340,81,30003302,s272,1,4
5341,81,30003319,s289,1,4
5342,81,30003333,s303,1,4
5343,81,30003335,s305,1,4
5344,81,30003339,s309,1,4
5345,81,30003370,s331,1,4
5346,81,30003375,s336,1,4
5347,81,30003393,s354,1,4
5348,81,30003426,s387,1,4
5349,81,30003431,s392,1,4
5350,81,30003453,s414,1,4
5351,81,30003461,s422,1,4
5352,81,30003473,s434,1,4
5353,81,30003488,s449,1,4
5354,81,30003502,s463,1,4
5355,81,30003510,s471,1,4
5356,81,30003517,s478,1,4
5357,81,30003528,s489,1,4
5358,81,30003533,s494,1,4
5359,81,10000348,s18,2,1
5360,81,10000349,s19,2,1
5361,81,10000353,s23,2,1
5362,81,30003064,s34,2,1
5363,81,30003099,s69,2,1
5364,81,30003112,s82,2,1
5365,81,30003135,s105,2,1
5366,81,30003137,s107,2,1
5367,81,30003141,s111,2,1
5368,81,30003143,s113,2,1
5369,81,30003160,s130,2,1
5370,81,30003164,s134,2,1
5371,81,30003176,s146,2,1
5372,81,30003182,s152,2,1
5373,81,30003187,s157,2,1
5374,81,30003195,s165,2,1
5375,81,30003200,s170,2,1
5376,81,30003229,s199,2,1
5377,81,30003235,s205,2,1
5378,81,30003256,s226,2,1
5379,81,30003257,s227,2,1
5380,81,30003274,s244,2,1
5381,81,30003285,s255,2,1
5382,81,30003290,s260,2,1
5383,81,30003299,s269,2,1
5384,81,30003308,s278,2,1
5385,81,30003320,s290,2,1
5386,81,30003361,s322,2,1
5387,81,30003372,s333,2,1
5388,81,30003374,s335,2,1
5389,81,30003385,s346,2,1
5390,81,30003396,s357,2,1
5391,81,30003404,s365,2,1
5392,81,30003447,s408,2,1
5393,81,30003462,s423,2,1
5394,81,30003467,s428,2,1
5395,81,30003474,s435,2,1
5396,81,30003477,s438,2,1
5397,81,30003486,s447,2,1
5398,81,30003487,s448,2,1
5399,81,30003519,s480,2,1
5400,81,30003530,s491,2,1
5401,81,30003531,s492,2,2
5402,81,10000331,s1,2,2
5403,81,10000340,s10,2,2
5404,81,300003057,s27,2,2
5405,81,30003070,s40,2,2
5406,81,30003075,s45,2,2
5407,81,30003076,s46,2,2
5408,81,30003077,s47,2,2
5409,81,30003088,s58,2,2
5410,81,30003092,s62,2,2
5411,81,30003109,s79,2,2
5412,81,30003119,s89,2,2
5413,81,30003126,s96,2,2
5414,81,30003140,s110,2,2
5415,81,30003146,s116,2,2
5416,81,30003154,s124,2,2
5417,81,30003161,s131,2,2
5418,81,30003170,s140,2,2
5419,81,30003177,s147,2,2
5420,81,30003194,s164,2,2
5421,81,30003204,s174,2,2
5422,81,30003217,s187,2,2
5423,81,30003220,s190,2,2
5424,81,30003239,s209,2,2
5425,81,30003241,s211,2,2
5426,81,30003260,s230,2,2
5427,81,30003262,s232,2,2
5428,81,30003276,s246,2,2
5429,81,30003277,s247,2,2
5430,81,30003301,s271,2,2
5431,81,30003323,s293,2,2
5432,81,30003328,s298,2,2
5433,81,30003330,s300,2,2
5434,81,30003338,s308,2,2
5435,81,30003347,s317,2,2
5436,81,30003366,s327,2,2
5437,81,30003371,s332,2,2
5438,81,30003390,s351,2,2
5439,81,30003392,s353,2,2
5440,81,30003441,s402,2,2
5441,81,30003443,s404,2,2
5442,81,30003483,s444,2,2
5443,81,30003498,s459,2,2
5444,81,30003504,s465,2,3
5445,81,10000350,s20,2,3
5446,81,10000352,s22,2,3
5447,81,30003063,s33,2,3
5448,81,30003085,s55,2,3
5449,81,30003096,s66,2,3
5450,81,30003102,s72,2,3
5451,81,30003114,s84,2,3
5452,81,30003122,s92,2,3
5453,81,30003138,s108,2,3
5454,81,30003155,s125,2,3
5455,81,30003163,s133,2,3
5456,81,30003165,s135,2,3
5457,81,30003183,s153,2,3
5458,81,30003191,s161,2,3
5459,81,30003203,s173,2,3
5460,81,30003215,s185,2,3
5461,81,30003225,s195,2,3
5462,81,30003232,s202,2,3
5463,81,30003269,s239,2,3
5464,81,30003278,s248,2,3
5465,81,30003298,s268,2,3
5466,81,30003307,s277,2,3
5467,81,30003322,s292,2,3
5468,81,30003340,s310,2,3
5469,81,30003350,s320,2,3
5470,81,30003363,s324,2,3
5471,81,30003364,s325,2,3
5472,81,30003377,s338,2,3
5473,81,30003397,s358,2,3
5474,81,30003424,s385,2,3
5475,81,30003427,s388,2,3
5476,81,30003429,s390,2,3
5477,81,30003430,s391,2,3
5478,81,30003436,s397,2,3
5479,81,30003438,s399,2,3
5480,81,30003466,s427,2,3
5481,81,30003475,s436,2,3
5482,81,30003478,s439,2,3
5483,81,30003516,s477,2,3
5484,81,30003534,s495,2,3
5485,81,30003535,s496,2,3
5486,81,10000336,s6,2,3
5487,81,10000344,s14,2,4
5488,81,300003056,s26,2,4
5489,81,30003066,s36,2,4
5490,81,30003091,s61,2,4
5491,81,30003110,s80,2,4
5492,81,30003115,s85,2,4
5493,81,30003132,s102,2,4
5494,81,30003147,s117,2,4
5495,81,30003166,s136,2,4
5496,81,30003180,s150,2,4
5497,81,30003188,s158,2,4
5498,81,30003189,s159,2,4
5499,81,30003205,s175,2,4
5500,81,30003236,s206,2,4
5501,81,30003258,s228,2,4
5502,81,30003263,s233,2,4
5503,81,30003268,s238,2,4
5504,81,30003282,s252,2,4
5505,81,30003286,s256,2,4
5506,81,30003316,s286,2,4
5507,81,30003326,s296,2,4
5508,81,30003331,s301,2,4
5509,81,30003332,s302,2,4
5510,81,30003342,s312,2,4
5511,81,30003348,s318,2,4
5512,81,30003362,s323,2,4
5513,81,30003369,s330,2,4
5514,81,30003394,s355,2,4
5515,81,30003412,s373,2,4
5516,81,30003421,s382,2,4
5517,81,30003423,s384,2,4
5518,81,30003432,s393,2,4
5519,81,30003448,s409,2,4
5520,81,30003450,s411,2,4
5521,81,30003479,s440,2,4
5522,81,30003496,s457,2,4
5523,81,30003497,s458,2,4
5524,81,30003511,s472,2,4
5525,81,30003514,s475,2,4
5526,81,30003526,s487,2,4
5527,81,30003529,s490,2,4
5528,81,10000342,s12,3,1
5529,81,10000343,s13,3,1
5530,81,30003061,s31,3,1
5531,81,30003078,s48,3,1
5532,81,30003094,s64,3,1
5533,81,30003103,s73,3,1
5534,81,30003118,s88,3,1
5535,81,30003123,s93,3,1
5536,81,30003144,s114,3,1
5537,81,30003152,s122,3,1
5538,81,30003158,s128,3,1
5539,81,30003162,s132,3,1
5540,81,30003168,s138,3,1
5541,81,30003197,s167,3,1
5542,81,30003198,s168,3,1
5543,81,30003223,s193,3,1
5544,81,30003227,s197,3,1
5545,81,30003230,s200,3,1
5546,81,30003231,s201,3,1
5547,81,30003237,s207,3,1
5548,81,30003246,s216,3,1
5549,81,30003247,s217,3,1
5550,81,30003284,s254,3,1
5551,81,30003287,s257,3,1
5552,81,30003289,s259,3,1
5553,81,30003292,s262,3,1
5554,81,30003296,s266,3,1
5555,81,30003297,s267,3,1
5556,81,30003324,s294,3,1
5557,81,30003368,s329,3,1
5558,81,30003378,s339,3,1
5559,81,30003381,s342,3,1
5560,81,30003383,s344,3,1
5561,81,30003389,s350,3,1
5562,81,30003410,s371,3,1
5563,81,30003417,s378,3,1
5564,81,30003444,s405,3,1
5565,81,30003451,s412,3,1
5566,81,30003464,s425,3,1
5567,81,30003490,s451,3,1
5568,81,30003520,s481,3,2
