战力等级,关卡列表,疲劳度增长,关卡NPC名字,描述,小头像,半身像,头像框
19,419011|419021|419031|419041|419051,3,黄巾起义军,普通关卡,scard2011,npc1023,bg_Broder01_Tex
20,420011|420021|420031|420041|420051,3,黄巾起义军,普通关卡,scard2012,npc1024,bg_Broder01_Tex
21,421011|421021|421031|421041|421051,3,黄巾起义军,普通关卡,scard2011,npc1023,bg_Broder01_Tex
22,422011|422021|422031|422041|422051,3,黄巾起义军,普通关卡,scard2018,npc1022,bg_Broder01_Tex
23,423011|423021|423031|423041|423051,3,黄巾起义军,普通关卡,scard2018,npc1022,bg_Broder01_Tex
24,424011|424021|424031|424041|424051,3,黄巾起义军,普通关卡,scard2011,npc1023,bg_Broder01_Tex
25,425011|425021|425031|425041|425051,3,黄巾起义军,普通关卡,scard2018,npc1022,bg_Broder01_Tex
26,426011|426021|426031|426041|426051,3,黄巾起义军,普通关卡,scard2018,npc1022,bg_Broder01_Tex
27,427011|427021|427031|427041|427051,3,黄巾起义军,普通关卡,scard2011,npc1023,bg_Broder01_Tex
28,428011|428021|428031|428041|428051,3,黄巾军精英,普通关卡,scard2018,npc1022,bg_Broder01_Tex
29,429011|429021|429031|429041|429051,3,黄巾军精英,普通关卡,scard2018,npc1022,bg_Broder01_Tex
30,430011|430021|430031|430041|430051|430061,3,黄巾军精英,普通关卡,scard2011,npc1023,bg_Broder01_Tex
31,431011|431021|431031|431041|431051,3,黄巾军精英,普通关卡,scard2018,npc1022,bg_Broder01_Tex
32,432011|432021|432031|432041|432051,3,黄巾军精英,普通关卡,scard2031,npc1013,bg_Broder01_Tex
33,433011|433021|433031|433041|433051|433061,3,黄巾军精英,普通关卡,scard2009,npc1021,bg_Broder01_Tex
34,434011|434021|434031|434041|434051,3,黄巾军精英,普通关卡,scard2031,npc1013,bg_Broder01_Tex
35,435011|435021|435031|435041|435051,3,黄巾军精英,普通关卡,scard2031,npc1013,bg_Broder01_Tex
36,436011|436021|436031|436041|436051|436061,3,黄巾军精英,普通关卡,scard2009,npc1021,bg_Broder01_Tex
37,437011|437021|437031|437041|437051,3,黄巾军精英,普通关卡,scard2031,npc1013,bg_Broder01_Tex
38,438011|438021|438031|438041|438051,3,黄巾军精英,普通关卡,scard2031,npc1013,bg_Broder01_Tex
39,439011|439021|439031|439041|439051,3,黄巾军精英,普通关卡,scard2009,npc1021,bg_Broder01_Tex
40,440011|440021|440031|440041|440051,3,黄巾军精英,普通关卡,scard2031,npc1013,bg_Broder01_Tex
41,441011|441021|441031|441041|441051,3,黄巾军精英,普通关卡,scard2031,npc1013,bg_Broder01_Tex
42,442011|442021|442031|442041|442051,3,黄巾军精英,普通关卡,scard2005,npc1017,bg_Broder01_Tex
43,443011|443021|443031|443041|443051,3,黄巾军精英,普通关卡,scard2031,npc1013,bg_Broder01_Tex
44,444011|444021|444031|444041|444051,3,黄巾军精英,普通关卡,scard2031,npc1013,bg_Broder01_Tex
45,445011|445021|445031|445041|445051,3,黄巾军精英,普通关卡,scard2005,npc1017,bg_Broder01_Tex
46,446011|446021|446031|446041|446051|446061,3,黄巾军精英,普通关卡,scard2031,npc1013,bg_Broder01_Tex
47,447011|447021|447031|447041|447051|447061,3,黄巾军精英,普通关卡,scard2031,npc1013,bg_Broder01_Tex
48,448011|448021|448031|448041|448051|448061,3,黄巾军精英,普通关卡,scard2006,npc1018,bg_Broder01_Tex
49,449011|449021|449031|449041|449051|449061,3,黄巾军精英,普通关卡,scard2031,npc1013,bg_Broder01_Tex
50,450011|450021|450031|450041|450051|450061,3,黄巾军精英,普通关卡,scard2031,npc1013,bg_Broder01_Tex
51,451011|451021|451031|451041|451051|451061,3,黄巾军精英,普通关卡,scard2006,npc1018,bg_Broder01_Tex
52,452011|452021|452031|452041|452051|452061,3,黄巾军精英,普通关卡,scard2031,npc1013,bg_Broder01_Tex
53,453011|453021|453031|453041|453051|453061,3,黄巾军精英,普通关卡,scard2015,npc1012,bg_Broder01_Tex
54,454011|454021|454031|454041|454051|454061,3,黄巾军将领,普通关卡,scard2005,npc1016,bg_Broder01_Tex
55,455011|455021|455031|455041|455051|455061,3,黄巾军将领,普通关卡,scard2015,npc1012,bg_Broder01_Tex
56,456011|456021|456031|456041|456051|456061,3,黄巾军将领,普通关卡,scard2015,npc1012,bg_Broder01_Tex
57,457011|457021|457031|457041|457051|457061,3,黄巾军将领,普通关卡,scard2005,npc1016,bg_Broder01_Tex
58,458011|458021|458031|458041|458051|458061,3,黄巾军将领,普通关卡,scard2015,npc1012,bg_Broder01_Tex
59,459011|459021|459031|459041|459051|459061,3,黄巾军将领,普通关卡,scard2015,npc1012,bg_Broder01_Tex
60,460011|460021|460031|460041|460051|460061,3,黄巾军将领,普通关卡,scard2005,npc1016,bg_Broder01_Tex
61,461011|461021|461031|461041|461051|461061,3,黄巾军将领,普通关卡,scard2016,npc1025,bg_Broder01_Tex
62,462011|462021|462031|462041|462051|462061,3,黄巾军将领,普通关卡,scard2016,npc1025,bg_Broder01_Tex
63,463011|463021|463031|463041|463051|463061,3,黄巾军将领,普通关卡,scard2005,npc1016,bg_Broder01_Tex
64,464011|464021|464031|464041|464051|464061,3,黄巾军将领,普通关卡,scard2016,npc1025,bg_Broder01_Tex
65,465011|465021|465031|465041|465051|465061,3,黄巾军将领,普通关卡,scard2005,npc1016,bg_Broder01_Tex
66,466011|466021|466031|466041|466051|466061,3,黄巾军将领,普通关卡,scard2016,npc1025,bg_Broder01_Tex
67,467011|467021|467031|467041|467051|467061,3,黄巾军将领,普通关卡,scard2016,npc1025,bg_Broder01_Tex
10001,499011|499021|499031,-6,张曼成,张曼成,scard2031,npc1013,bg_Broder01_Tex
10002,499041|499051|499061,-8,张梁,张梁,scard2015,npc1002,bg_Broder01_Tex
10003,499071|499081|499091,-18,张宝,张宝,scard2016,npc1012,bg_Broder01_Tex
10004,499101|499111|499121,-28,张角,张角,scard28,npc4,bg_Broder01_Tex
