服务器ID,服务器编号,分组ID(>0),服务器名称
30003383,344,87,s344
30003388,349,88,s349
30003426,387,88,s387
30003429,390,88,s390
30003399,360,88,s360
30003396,357,89,s357
30003410,371,89,s371
30003441,402,89,s402
30003387,348,89,s348
30003384,345,90,s345
30003438,399,90,s399
30003465,426,90,s426
30003363,324,90,s324
30003380,341,91,s341
30003430,391,91,s391
30003473 ,434,91,s434
30003391,352,91,s352
30003408,369,92,s369
30003422,383,92,s383
30003477 ,438,92,s438
30003395 ,356,92,s356
30003404,365,93,s365
30003458,419,93,s419
30003469 ,430,93,s430
30003407,368,93,s368
30003416,377,94,s377
30003442,403,94,s403
30003491 ,452,94,s452
30003411,372,94,s372
30003400,361,95,s361
30003445,406,95,s406
30003485,446,95,s446
10000331,1,95,s1
30003432,393,96,s393
30003457,418,96,s418
30003481 ,442,96,s442
10000346,16,96,s16
30003412,373,97,s373
30003461,422,97,s422
30003494,455,97,s455
10000350,20,97,s20
30003436,397,98,s397
30003449,410,98,s410
30003502 ,463,98,s463
10000342,12,98,s12
30003424,385,99,s385
30003450,411,99,s411
30003497,458,99,s458
10000335,5,99,s5
30003428,389,100,s389
30003454,415,100,s415
30003503 ,464,100,s464
10000337,7,100,s7
30003448,409,101,s409
30003446,407,101,s407
30003510,471,101,s471
30003062,32,101,s32
30003456,417,102,s417
30003470 ,431,102,s431
30003512,473,102,s473
10000334,4,102,s4
30003420,381,103,s381
30003474 ,435,103,s435
30003518,479,103,s479
30003066,36,103,s36
30003452,413,104,s413
30003462,423,104,s423
30003522 ,483,104,s483
30003060,30,104,s30
30003440,401,105,s401
30003466 ,427,105,s427
30003526,487,105,s487
30003090,60,105,s60
30003444,405,106,s405
30003486,447,106,s447
30003530,491,106,s491
30003070,40,106,s40
30003464,425,107,s425
30003478 ,439,107,s439
30003534,495,107,s495
30003082,52,107,s52
30003472 ,433,108,s433
30003482,443,108,s443
30003538,499,108,s499
30003074,44,108,s44
30003460,421,109,s421
30003488,449,109,s449
30003539,500,109,s500
30003078,48,109,s48
30003484,445,110,s445
30003490,451,110,s451
10000347,17,110,s17
30003081,51,110,s51
30003480 ,441,111,s441
30003498,459,111,s459
30003541,502,111,s502
30003086,56,111,s56
30003468 ,429,112,s429
30003501 ,462,112,s462
30003547 ,508,112,s508
30003487,448,112,s448
30003476 ,437,113,s437
30003505 ,466,113,s466
10000351,21,113,s21
30003495,456,113,s456
30003489,450,114,s450
30003514,475,114,s475
10000343,13,114,s13
30003475 ,436,114,s436
30003492 ,453,115,s453
30003509,470,115,s470
10000349,19,115,s19
30003493,454,115,s454
30003496,457,116,s457
30003517,478,116,s478
10000348,18,116,s18
30003479 ,440,116,s440
30003506 ,467,117,s467
30003521 ,482,117,s482
30003069,39,117,s39
30003500 ,461,117,s461
30003507 ,468,118,s468
30003525 ,486,118,s486
30003065,35,118,s35
30003504 ,465,118,s465
30003508,469,119,s469
30003524,485,119,s485
300003057,27,119,s27
30003499 ,460,119,s460
30003515,476,120,s476
30003529,490,120,s490
30003085,55,120,s55
30003513,474,120,s474
30003516,477,121,s477
30003533,494,121,s494
30003080,50,121,s50
30003511,472,121,s472
30003520 ,481,122,s481
30003537,498,122,s498
30003068,38,122,s38
30003519 ,480,122,s480
30003528,489,123,s489
30003535,496,123,s496
30003077,47,123,s47
30003523 ,484,123,s484
30003532,493,124,s493
30003536,497,124,s497
30003073,43,124,s43
30003527,488,124,s488
10000339,9,125,s9
30003076,46,125,s46
30003089,59,125,s59
30003531,492,125,s492
30003540,501,126,s501
10000333,3,126,s3
30003109,79,126,s79
30003058,28,126,s28
30003542,503,127,s503
30003544,505,127,s505
30003100,70,127,s70
30003543,504,127,s504
30003548    ,509,128,s509
30003545    ,506,128,s506
30003550    ,511,128,s511
30003546    ,507,128,s507
30003552,513,129,s513
30003549    ,510,129,s510
30003554,515,129,s515
30003551    ,512,129,s512
30003556,517,130,s517
30003553,514,130,s514
30003558,519,130,s519
30003555,516,130,s516
