任务id,领奖所需达成条件数量1,奖励1,领奖所需达成条件数量2,奖励2,领奖所需达成条件数量3,奖励3,领奖所需达成条件数量4,奖励4,领奖所需达成条件数量5,奖励5
55,10,2|1|30000,14,17|1|1,18,200|68|10,0,0,0,0
56,10,2|1|30000,14,28|1|1,0,0,0,0,0,0
57,10,2|1|60000,14,3|1|10,18,27|1|1,0,0,0,0
58,10,2|1|60000,14,3|1|10,18,33|1|1,0,0,0,0
59,10,2|1|60000,14,3|1|10,18,24|1|1,0,0,0,0
60,10,2|1|60000,14,3|1|10,18,26|1|1,0,0,0,0
61,10,2|1|60000,14,3|1|10,18,27|1|1,0,0,0,0
62,10,2|1|60000,14,3|1|10,18,33|1|1,0,0,0,0
63,10,2|1|60000,14,3|1|10,18,24|1|1,0,0,0,0
64,10,2|1|60000,14,3|1|10,18,33|1|1,0,0,0,0
65,10,2|1|60000,14,3|1|10,18,26|1|1,0,0,0,0
66,10,2|1|150000,12,3|1|20,15,27|1|1,0,0,0,0
67,10,2|1|150000,12,3|1|20,15,33|1|1,0,0,0,0
68,10,2|1|150000,12,3|1|20,15,24|1|1,0,0,0,0
69,10,2|1|150000,12,3|1|20,15,26|1|1,0,0,0,0
70,10,2|1|150000,12,3|1|20,15,27|1|1,0,0,0,0
71,10,2|1|150000,12,3|1|20,15,33|1|1,0,0,0,0
72,10,2|1|150000,12,3|1|20,15,24|1|1,0,0,0,0
73,10,2|1|150000,12,3|1|20,15,33|1|1,0,0,0,0
74,10,2|1|150000,12,3|1|20,15,26|1|1,0,0,0,0
75,10,2|1|20000,14,3|1|5,0,0,0,0,0,0
76,10,2|1|20000,14,3|1|5,18,200|68|5,0,0,0,0
77,10,2|1|20000,14,3|1|5,18,200|68|5,0,0,0,0
78,10,2|1|20000,14,3|1|5,0,0,0,0,0,0
79,10,2|1|40000,14,19|1|1,0,0,0,0,0,0
80,10,2|1|40000,14,39|1|1,18,200|68|10,0,0,0,0
81,10,2|1|40000,14,17|1|1,18,200|68|10,0,0,0,0
82,10,2|1|40000,14,28|1|1,0,0,0,0,0,0
83,10,2|1|80000,14,3|1|10,18,27|1|1,0,0,0,0
84,10,2|1|80000,14,3|1|10,18,33|1|1,0,0,0,0
85,10,2|1|80000,14,3|1|10,18,24|1|1,0,0,0,0
86,10,2|1|80000,14,3|1|10,18,26|1|1,0,0,0,0
87,10,2|1|80000,14,3|1|10,18,27|1|1,0,0,0,0
88,10,2|1|80000,14,3|1|10,18,33|1|1,0,0,0,0
89,10,2|1|80000,14,3|1|10,18,24|1|1,0,0,0,0
90,10,2|1|80000,14,3|1|10,18,26|1|1,0,0,0,0
91,10,2|1|80000,14,3|1|10,18,33|1|1,0,0,0,0
92,10,2|1|200000,12,3|1|20,15,27|1|1,0,0,0,0
93,10,2|1|200000,12,3|1|20,15,33|1|1,0,0,0,0
94,10,2|1|200000,12,3|1|20,15,24|1|1,0,0,0,0
95,10,2|1|200000,12,3|1|20,15,26|1|1,0,0,0,0
96,10,2|1|200000,12,3|1|20,15,27|1|1,0,0,0,0
97,10,2|1|200000,12,3|1|20,15,33|1|1,0,0,0,0
98,10,2|1|200000,12,3|1|20,15,24|1|1,0,0,0,0
99,10,2|1|200000,12,3|1|20,15,26|1|1,0,0,0,0
100,10,2|1|200000,12,3|1|20,15,33|1|1,0,0,0,0
101,10,2|1|30000,14,3|1|5,0,0,0,0,0,0
102,10,2|1|30000,14,3|1|5,18,200|68|5,0,0,0,0
103,10,2|1|30000,14,3|1|5,18,200|68|5,0,0,0,0
104,10,2|1|30000,14,3|1|5,0,0,0,0,0,0
105,10,2|1|60000,14,19|1|1,0,0,0,0,0,0
106,10,2|1|60000,14,39|1|1,18,200|68|10,0,0,0,0
107,10,2|1|60000,14,17|1|1,18,200|68|10,0,0,0,0
108,10,2|1|60000,14,28|1|1,0,0,0,0,0,0
109,10,2|1|120000,14,3|1|10,18,27|1|1,0,0,0,0
110,10,2|1|120000,14,3|1|10,18,33|1|1,0,0,0,0
111,10,2|1|120000,14,3|1|10,18,24|1|1,0,0,0,0
112,10,2|1|120000,14,3|1|10,18,26|1|1,0,0,0,0
113,10,2|1|120000,14,3|1|10,18,53|1|1,0,0,0,0
114,10,2|1|120000,14,3|1|10,18,27|1|1,0,0,0,0
115,10,2|1|120000,14,3|1|10,18,33|1|1,0,0,0,0
116,10,2|1|120000,14,3|1|10,18,24|1|1,0,0,0,0
117,10,2|1|120000,14,3|1|10,18,26|1|1,0,0,0,0
118,10,2|1|120000,14,3|1|10,18,53|1|1,0,0,0,0
119,10,2|1|120000,14,3|1|10,18,27|1|1,0,0,0,0
120,10,2|1|120000,14,3|1|10,18,33|1|1,0,0,0,0
121,10,2|1|120000,14,3|1|10,18,24|1|1,0,0,0,0
122,10,2|1|120000,14,3|1|10,18,26|1|1,0,0,0,0
123,10,2|1|120000,14,3|1|10,18,53|1|1,0,0,0,0
124,10,2|1|120000,14,3|1|10,18,24|1|1,0,0,0,0
125,10,2|1|300000,12,3|1|20,15,27|1|1,0,0,0,0
126,10,2|1|300000,12,3|1|20,15,33|1|1,0,0,0,0
127,10,2|1|300000,12,3|1|20,15,24|1|1,0,0,0,0
128,10,2|1|300000,12,3|1|20,15,26|1|1,0,0,0,0
129,10,2|1|300000,12,3|1|20,15,53|1|1,0,0,0,0
130,10,2|1|300000,12,3|1|20,15,27|1|1,0,0,0,0
131,10,2|1|300000,12,3|1|20,15,33|1|1,0,0,0,0
132,10,2|1|300000,12,3|1|20,15,24|1|1,0,0,0,0
133,10,2|1|300000,12,3|1|20,15,26|1|1,0,0,0,0
134,10,2|1|300000,12,3|1|20,15,53|1|1,0,0,0,0
135,10,2|1|300000,12,3|1|20,15,27|1|1,0,0,0,0
136,10,2|1|300000,12,3|1|20,15,33|1|1,0,0,0,0
137,10,2|1|300000,12,3|1|20,15,24|1|1,0,0,0,0
138,10,2|1|300000,12,3|1|20,15,26|1|1,0,0,0,0
139,10,2|1|300000,12,3|1|20,15,53|1|1,0,0,0,0
140,10,2|1|300000,12,3|1|20,15,24|1|1,0,0,0,0
141,10,2|1|50000,14,3|1|5,0,0,0,0,0,0
142,10,2|1|50000,14,3|1|5,18,200|68|5,0,0,0,0
143,10,2|1|50000,14,3|1|5,18,200|68|5,0,0,0,0
144,10,2|1|50000,14,3|1|5,0,0,0,0,0,0
145,10,2|1|100000,14,19|1|1,0,0,0,0,0,0
146,10,2|1|100000,14,39|1|1,18,200|68|10,0,0,0,0
147,10,2|1|100000,14,17|1|1,18,200|68|10,0,0,0,0
148,10,2|1|100000,14,28|1|1,0,0,0,0,0,0
149,10,2|1|200000,14,3|1|10,18,27|1|1,0,0,0,0
150,10,2|1|200000,14,3|1|10,18,33|1|1,0,0,0,0
151,10,2|1|200000,14,3|1|10,18,24|1|1,0,0,0,0
152,10,2|1|200000,14,3|1|10,18,26|1|1,0,0,0,0
153,10,2|1|200000,14,3|1|10,18,53|1|1,0,0,0,0
154,10,2|1|200000,14,3|1|10,18,27|1|1,0,0,0,0
155,10,2|1|200000,14,3|1|10,18,33|1|1,0,0,0,0
156,10,2|1|200000,14,3|1|10,18,24|1|1,0,0,0,0
157,10,2|1|200000,14,3|1|10,18,26|1|1,0,0,0,0
158,10,2|1|200000,14,3|1|10,18,53|1|1,0,0,0,0
159,10,2|1|200000,14,3|1|10,18,27|1|1,0,0,0,0
160,10,2|1|200000,14,3|1|10,18,33|1|1,0,0,0,0
161,10,2|1|200000,14,3|1|10,18,24|1|1,0,0,0,0
162,10,2|1|200000,14,3|1|10,18,26|1|1,0,0,0,0
163,10,2|1|200000,14,3|1|10,18,53|1|1,0,0,0,0
164,10,2|1|200000,14,3|1|10,18,24|1|1,0,0,0,0
165,10,2|1|500000,12,3|1|20,15,27|1|1,0,0,0,0
166,10,2|1|500000,12,3|1|20,15,33|1|1,0,0,0,0
167,10,2|1|500000,12,3|1|20,15,24|1|1,0,0,0,0
168,10,2|1|500000,12,3|1|20,15,26|1|1,0,0,0,0
169,10,2|1|500000,12,3|1|20,15,53|1|1,0,0,0,0
170,10,2|1|500000,12,3|1|20,15,27|1|1,0,0,0,0
171,10,2|1|500000,12,3|1|20,15,33|1|1,0,0,0,0
172,10,2|1|500000,12,3|1|20,15,24|1|1,0,0,0,0
173,10,2|1|500000,12,3|1|20,15,26|1|1,0,0,0,0
174,10,2|1|500000,12,3|1|20,15,53|1|1,0,0,0,0
175,10,2|1|500000,12,3|1|20,15,27|1|1,0,0,0,0
176,10,2|1|500000,12,3|1|20,15,33|1|1,0,0,0,0
177,10,2|1|500000,12,3|1|20,15,24|1|1,0,0,0,0
178,10,2|1|500000,12,3|1|20,15,26|1|1,0,0,0,0
179,10,2|1|500000,12,3|1|20,15,53|1|1,0,0,0,0
180,10,2|1|500000,12,3|1|20,15,24|1|1,0,0,0,0
181,10,2|1|50000,14,3|1|5,0,0,0,0,0,0
182,10,2|1|50000,14,3|1|5,18,200|68|5,0,0,0,0
183,10,2|1|50000,14,3|1|5,18,200|68|5,0,0,0,0
184,10,2|1|50000,14,3|1|5,0,0,0,0,0,0
185,10,2|1|100000,14,19|1|1,0,0,0,0,0,0
186,10,2|1|100000,14,39|1|1,18,200|68|10,0,0,0,0
187,10,2|1|100000,14,17|1|1,18,200|68|10,0,0,0,0
188,10,2|1|100000,14,28|1|1,0,0,0,0,0,0
189,10,2|1|200000,14,3|1|10,18,27|1|1,0,0,0,0
190,10,2|1|200000,14,3|1|10,18,33|1|1,0,0,0,0
191,10,2|1|200000,14,3|1|10,18,24|1|1,0,0,0,0
192,10,2|1|200000,14,3|1|10,18,26|1|1,0,0,0,0
193,10,2|1|200000,14,3|1|10,18,53|1|1,0,0,0,0
194,10,2|1|200000,14,3|1|10,18,27|1|1,0,0,0,0
195,10,2|1|200000,14,3|1|10,18,33|1|1,0,0,0,0
196,10,2|1|200000,14,3|1|10,18,24|1|1,0,0,0,0
197,10,2|1|200000,14,3|1|10,18,26|1|1,0,0,0,0
198,10,2|1|200000,14,3|1|10,18,53|1|1,0,0,0,0
199,10,2|1|200000,14,3|1|10,18,27|1|1,0,0,0,0
200,10,2|1|200000,14,3|1|10,18,33|1|1,0,0,0,0
201,10,2|1|200000,14,3|1|10,18,24|1|1,0,0,0,0
202,10,2|1|200000,14,3|1|10,18,26|1|1,0,0,0,0
203,10,2|1|200000,14,3|1|10,18,53|1|1,0,0,0,0
204,10,2|1|200000,14,3|1|10,18,24|1|1,0,0,0,0
205,10,2|1|500000,12,3|1|20,15,27|1|1,0,0,0,0
206,10,2|1|500000,12,3|1|20,15,33|1|1,0,0,0,0
207,10,2|1|500000,12,3|1|20,15,24|1|1,0,0,0,0
208,10,2|1|500000,12,3|1|20,15,26|1|1,0,0,0,0
209,10,2|1|500000,12,3|1|20,15,53|1|1,0,0,0,0
210,10,2|1|500000,12,3|1|20,15,27|1|1,0,0,0,0
211,10,2|1|500000,12,3|1|20,15,33|1|1,0,0,0,0
212,10,2|1|500000,12,3|1|20,15,24|1|1,0,0,0,0
213,10,2|1|500000,12,3|1|20,15,26|1|1,0,0,0,0
214,10,2|1|500000,12,3|1|20,15,53|1|1,0,0,0,0
215,10,2|1|500000,12,3|1|20,15,27|1|1,0,0,0,0
216,10,2|1|500000,12,3|1|20,15,33|1|1,0,0,0,0
217,10,2|1|500000,12,3|1|20,15,24|1|1,0,0,0,0
218,10,2|1|500000,12,3|1|20,15,26|1|1,0,0,0,0
219,10,2|1|500000,12,3|1|20,15,53|1|1,0,0,0,0
220,10,2|1|500000,12,3|1|20,15,24|1|1,0,0,0,0
