ID,主题,关卡索引,关卡ID,首通奖励,推荐战力
184,19,3,800041,6704,97700
185,19,4,800051,6705,105000
186,19,5,800061,6706,132000
187,19,6,800071,6707,165000
188,19,7,800081,6708,202000
189,19,8,800091,6709,265000
190,19,9,800101,6710,330000
191,20,0,800111,6701,53780
192,20,1,800121,6702,53780
193,20,2,800131,6703,78380
194,20,3,800141,6704,97700
195,20,4,800151,6705,105000
196,20,5,800161,6706,132000
197,20,6,800171,6707,165000
198,20,7,800181,6708,202000
199,20,8,800191,6709,265000
200,20,9,800201,6710,330000
201,21,0,800211,6701,53780
202,21,1,800221,6702,53780
203,21,2,800231,6703,78380
204,21,3,800241,6704,97700
205,21,4,800251,6705,105000
206,21,5,800261,6706,132000
207,21,6,800271,6707,165000
208,21,7,800281,6708,202000
209,21,8,800291,6709,265000
210,21,9,800301,6710,330000
211,22,0,800311,6701,53780
212,22,1,800321,6702,53780
213,22,2,800331,6703,78380
214,22,3,800341,6704,97700
215,22,4,800351,6705,105000
216,22,5,800361,6706,132000
217,22,6,800371,6707,165000
218,22,7,800381,6708,202000
219,22,8,800391,6709,265000
220,22,9,800401,6710,330000
