序号,活动id,档位描述,发放模式|0选择|1全发,最大选择数量,奖励1参数1,奖励1参数2,奖励1参数3,奖励2参数1,奖励2参数2,奖励2参数3,奖励3参数1,奖励3参数2,奖励3参数3,奖励4参数1,奖励4参数2,奖励4参数3,奖励5参数1,奖励5参数2,奖励5参数3,奖励6参数1,奖励6参数2,奖励6参数3,奖励7参数1,奖励7参数2,奖励7参数3
103,753,累计消耗达到{0}钻石,1,0,16,1,40,34,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
104,753,累计消耗达到{0}钻石,0,1,1,405 1 0,1,1,406 1 0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
105,754,充值达到{0}钻石,1,0,27,1,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
106,755,累计190钻精选抽卡{0}次,1,0,19,1,50,2,1,500000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
107,755,累计190钻精选抽卡{0}次,1,0,28,1,100,17,1,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
108,755,累计190钻精选抽卡{0}次,1,0,29,1,60,18,1,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
109,755,累计190钻精选抽卡{0}次,1,0,16,1,90,53,1,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
110,756,充值达到{0}钻石,1,0,53,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
111,757,累计充值达到{0}钻石,1,0,18,1,20,2,1,100000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
112,757,累计充值达到{0}钻石,1,0,19,1,60,28,1,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
113,757,累计充值达到{0}钻石,1,0,16,1,30,17,1,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
114,757,累计充值达到{0}钻石,1,0,29,1,30,53,1,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
115,758,充值达到{0}钻石,1,0,27,1,5,53,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
116,759,累计60钻抽卡{0}次,1,0,19,1,10,2,1,200000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
117,759,累计60钻抽卡{0}次,1,0,28,1,70,18,1,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
118,759,累计60钻抽卡{0}次,1,0,17,1,50,34,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
119,759,累计60钻抽卡{0}次,1,0,29,1,40,16,1,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
120,760,消耗达到{0}钻石,1,0,28,1,10,29,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
121,761,累计190钻精选抽卡{0}次,1,0,28,1,50,2,1,500000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
122,761,累计190钻精选抽卡{0}次,1,0,19,1,60,17,1,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
123,761,累计190钻精选抽卡{0}次,1,0,29,1,40,18,1,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
124,761,累计190钻精选抽卡{0}次,1,0,29,1,50,53,1,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
125,762,充值达到{0}钻石,1,0,26,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
126,763,消耗达到{0}钻石,1,0,28,1,10,29,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
127,764,累计登录达到{0}天,1,0,2,1,80000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
128,764,累计登录达到{0}天,1,0,27,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
129,764,累计登录达到{0}天,1,0,53,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
130,764,累计登录达到{0}天,1,0,1,22 1 0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
131,764,累计登录达到{0}天,1,0,1,49 1 0,1,1,388 1 0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
132,765,充值达到{0}钻石,1,0,27,1,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
133,766,累计60钻抽卡{0}次,1,0,19,1,10,2,1,200000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
134,766,累计60钻抽卡{0}次,1,0,17,1,30,18,1,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
135,766,累计60钻抽卡{0}次,1,0,16,1,30,29,1,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
136,766,累计60钻抽卡{0}次,1,0,29,1,40,28,1,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
137,767,消耗达到{0}钻石,1,0,19,1,10,29,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
138,768,累计190钻精选抽卡{0}次,1,0,19,1,80,2,1,500000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
139,768,累计190钻精选抽卡{0}次,1,0,28,1,100,34,1,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
140,768,累计190钻精选抽卡{0}次,1,0,23,1,80,18,1,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
141,768,累计190钻精选抽卡{0}次,1,0,16,1,80,17,1,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
142,769,充值达到{0}钻石,1,0,26,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
143,770,累计购买兵书{0}次,1,0,19,1,50,2,1,100000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
144,770,累计购买兵书{0}次,1,0,26,1,5,52,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
145,770,累计购买兵书{0}次,1,0,52,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
146,771,充值达到{0}钻石,1,0,29,1,3,36,1,400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
147,772,充值达到{0}钻石,1,0,27,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
148,773,累计60钻抽卡{0}次,1,0,28,1,20,2,1,100000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
149,773,累计60钻抽卡{0}次,1,0,33,1,20,18,1,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
150,773,累计60钻抽卡{0}次,1,0,16,1,30,36,1,2000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
151,773,累计60钻抽卡{0}次,1,0,29,1,40,53,1,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
152,774,消耗达到{0}钻石,1,0,28,1,10,29,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
153,775,累计190钻精选抽卡{0}次,1,0,28,1,20,2,1,300000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
154,775,累计190钻精选抽卡{0}次,1,0,36,1,2000,34,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
155,775,累计190钻精选抽卡{0}次,1,0,23,1,70,16,1,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
156,775,累计190钻精选抽卡{0}次,1,0,29,1,50,17,1,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
157,776,充值达到{0}钻石,1,0,26,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
158,777,充值达到{0}钻石,1,0,5,1,60,27,1,1,3,1,20,0,0,0,0,0,0,0,0,0,0,0,0
159,778,充值达到{0}钻石,1,0,5,1,60,27,1,1,3,1,20,0,0,0,0,0,0,0,0,0,0,0,0
160,779,充值达到{0}钻石,1,0,5,1,60,27,1,1,3,1,20,0,0,0,0,0,0,0,0,0,0,0,0
161,780,充值达到{0}钻石,1,0,5,1,60,27,1,1,3,1,20,0,0,0,0,0,0,0,0,0,0,0,0
162,781,充值达到{0}钻石,1,0,5,1,60,27,1,1,3,1,20,0,0,0,0,0,0,0,0,0,0,0,0
163,782,充值达到{0}钻石,1,0,5,1,60,27,1,1,3,1,20,0,0,0,0,0,0,0,0,0,0,0,0
164,783,充值达到{0}钻石,1,0,5,1,60,27,1,1,3,1,20,0,0,0,0,0,0,0,0,0,0,0,0
165,784,充值达到{0}钻石,1,0,27,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
166,785,累计60钻抽卡{0}次,1,0,19,1,20,2,1,300000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
167,785,累计60钻抽卡{0}次,1,0,28,1,40,33,1,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
168,785,累计60钻抽卡{0}次,1,0,23,1,30,36,1,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
169,785,累计60钻抽卡{0}次,1,0,29,1,30,23,1,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
170,786,消耗达到{0}钻石,1,0,23,1,3,29,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
171,787,充值达到{0}钻石,1,0,5,1,60,27,1,1,3,1,20,0,0,0,0,0,0,0,0,0,0,0,0
172,788,充值达到{0}钻石,1,0,5,1,60,27,1,1,3,1,20,0,0,0,0,0,0,0,0,0,0,0,0
173,789,充值达到{0}钻石,1,0,5,1,60,27,1,1,3,1,20,0,0,0,0,0,0,0,0,0,0,0,0
174,790,充值达到{0}钻石,1,0,5,1,60,27,1,1,3,1,20,0,0,0,0,0,0,0,0,0,0,0,0
175,791,充值达到{0}钻石,1,0,5,1,60,27,1,1,3,1,20,0,0,0,0,0,0,0,0,0,0,0,0
176,792,充值达到{0}钻石,1,0,5,1,60,27,1,1,3,1,20,0,0,0,0,0,0,0,0,0,0,0,0
177,793,充值达到{0}钻石,1,0,5,1,60,27,1,1,3,1,20,0,0,0,0,0,0,0,0,0,0,0,0
178,794,累计登录达到{0}天,1,0,2,1,80000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
179,794,累计登录达到{0}天,1,0,27,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
180,794,累计登录达到{0}天,1,0,53,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
181,794,累计登录达到{0}天,1,0,1,204 1 0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
182,794,累计登录达到{0}天,1,0,1,9 1 0,1,1,275 1 0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
183,795,累计190钻精选抽卡{0}次,1,0,19,1,20,2,1,500000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
184,795,累计190钻精选抽卡{0}次,1,0,36,1,2000,28,1,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
185,795,累计190钻精选抽卡{0}次,1,0,23,1,70,16,1,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
186,795,累计190钻精选抽卡{0}次,1,0,29,1,50,53,1,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
187,796,充值达到{0}钻石,1,0,26,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
188,797,充值达到{0}钻石,1,0,5,1,60,28,1,5,3,1,20,0,0,0,0,0,0,0,0,0,0,0,0
189,798,充值达到{0}钻石,1,0,5,1,60,28,1,5,3,1,20,0,0,0,0,0,0,0,0,0,0,0,0
190,799,充值达到{0}钻石,1,0,5,1,60,28,1,5,3,1,20,0,0,0,0,0,0,0,0,0,0,0,0
191,800,充值达到{0}钻石,1,0,5,1,60,28,1,5,3,1,20,0,0,0,0,0,0,0,0,0,0,0,0
192,801,充值达到{0}钻石,1,0,5,1,60,28,1,5,3,1,20,0,0,0,0,0,0,0,0,0,0,0,0
193,802,充值达到{0}钻石,1,0,5,1,60,28,1,5,3,1,20,0,0,0,0,0,0,0,0,0,0,0,0
194,803,充值达到{0}钻石,1,0,5,1,60,28,1,5,3,1,20,0,0,0,0,0,0,0,0,0,0,0,0
195,804,累计60钻抽卡{0}次,1,0,19,1,20,2,1,300000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
196,804,累计60钻抽卡{0}次,1,0,28,1,40,18,1,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
197,804,累计60钻抽卡{0}次,1,0,53,1,5,36,1,2000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
198,804,累计60钻抽卡{0}次,1,0,29,1,40,23,1,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
199,805,充值达到{0}钻石,1,0,27,1,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
200,806,累计购买兵书{0}次,1,0,23,1,10,52,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
201,806,累计购买兵书{0}次,1,0,52,1,1,52,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
202,806,累计购买兵书{0}次,1,0,52,1,1,52,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
203,807,充值达到{0}钻石,1,0,5,1,60,28,1,5,3,1,20,0,0,0,0,0,0,0,0,0,0,0,0
204,808,充值达到{0}钻石,1,0,5,1,60,28,1,5,3,1,20,0,0,0,0,0,0,0,0,0,0,0,0
205,809,充值达到{0}钻石,1,0,5,1,60,28,1,5,3,1,20,0,0,0,0,0,0,0,0,0,0,0,0
206,810,充值达到{0}钻石,1,0,5,1,60,28,1,5,3,1,20,0,0,0,0,0,0,0,0,0,0,0,0
207,811,充值达到{0}钻石,1,0,5,1,60,28,1,5,3,1,20,0,0,0,0,0,0,0,0,0,0,0,0
208,812,充值达到{0}钻石,1,0,5,1,60,28,1,5,3,1,20,0,0,0,0,0,0,0,0,0,0,0,0
209,813,充值达到{0}钻石,1,0,5,1,60,28,1,5,3,1,20,0,0,0,0,0,0,0,0,0,0,0,0
210,814,累计通关普通{0},1,0,24,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
