序号,资源类型,子类型,名字,描述,资源获取Id,资源消耗描述,图标框,小图标,大图标(已废弃）,节日图标,资源整理分类,稀有度特效(0无1橙色2紫)
29,200,72,训之书,用于战意系统武将训练,290|291,用于战意系统武将训练,Common/ResouceIcon/Border/icon_purplebg01_Tex,Common/ResouceIcon/Small/icon_small_xunzhishu_Tex,,,1,0
30,200,73,育之种,用于战意系统训练师升级,292|293,用于战意系统训练师升级,Common/ResouceIcon/Border/icon_purplebg01_Tex,Common/ResouceIcon/Small/icon_small_yuzhizhong_Tex,,,1,0
31,200,74,时之漏,用于战意系统时间加速,294,用于战意系统时间加速,Common/ResouceIcon/Border/icon_purplebg01_Tex,Common/ResouceIcon/Small/icon_small_shilou_Tex,,,1,0
32,202,1,许褚碎片,可用于兑换“觉醒印·许褚”,2,可用于兑换“觉醒印·许褚”,Common/ResouceIcon/Border/icon_purplebg01_Tex,Common/ResouceIcon/Small/icon_QiCaiShi_tex,,,6,0
33,106,0,万界石,万界召唤所需材料,299,可用于召唤逆命武将碎片和命格突破材料,Common/ResouceIcon/Border/icon_purplebg01_Tex,Common/ResouceIcon/Small/icon_DiSanXiYuxin17_Tex,,,9,0
43,205,29,万界石,万界召唤所需材料,299,可用于召唤逆命武将碎片和命格突破材料,Common/ResouceIcon/Border/icon_purplebg01_Tex,Common/ResouceIcon/Small/icon_DiSanXiYuxin17_Tex,,,3,0
44,200,75,佣金,可用于兑换物资,0,用于在佣金商店兑换物品,Common/ResouceIcon/Border/icon_purplebg01_Tex,Common/ResouceIcon/Small/icon_small_jinbi_Tex,,,2,0
45,1,0,武将卡,武将卡,0,,Common/ResouceIcon/Border/icon_bluebg01_Tex,Common/ResouceIcon/Small/icon_small_card_Tex,,Common/ResouceIcon/Small/icon_small_card_2_Tex,0,0
46,13,0,天运,天运值，用于天运招募，必定产出金卡武将或武将印。,0,,Common/ResouceIcon/Border/icon_bluebg01_Tex,Common/ResouceIcon/Small/icon_small_tianyun_Tex,,,0,0
47,19,0,玄武石,玄武石，“四圣兽●玄武”精魂化为的玉石，可以增加兵力。,81|82,用于强化武将,Common/ResouceIcon/Border/icon_bluebg01_Tex,Common/ResouceIcon/Small/icon_small_xuanwu_Tex,,,1,0
48,21,0,挑战次数,挑战次数，可以直接增加每天武将挑战系统的挑战次数。,0,,Common/ResouceIcon/Border/icon_bluebg01_Tex,Common/ResouceIcon/Small/icon_small_challenge_Tex,,,0,0
49,22,0,竞技场次数,竞技场次数，可以直接增加竞技场的参加次数。,0,,Common/ResouceIcon/Border/icon_bluebg01_Tex,Common/ResouceIcon/Small/icon_small_arena_Tex,,,0,0
50,24,0,漆盘券,漆盘卷，一张刻有古老文字的羊皮纸，可用于“圣石漆盘”。,251|252|253,用于【圣石漆盘】抽奖,Common/ResouceIcon/Border/icon_bluebg01_Tex,Common/ResouceIcon/Small/icon_small_lotticket_Tex,,,3,0
51,27,0,银币,银币，刻有奇怪符号的银币，可以用于“钻石招募”。,211|212|213,用于免费招募【武将】,Common/ResouceIcon/Border/icon_bluebg01_Tex,Common/ResouceIcon/Small/icon_small_coin_silver_Tex,,,3,0
52,28,0,印玉,印玉，刻有天命之印的玉石，可以用于武将的“升星”。,41|42|43,用于武将升星,Common/ResouceIcon/Border/icon_bluebg01_Tex,Common/ResouceIcon/Small/icon_small_jade_Tex,,,1,0
53,33,0,银钥匙,银钥匙，纯银打造的钥匙，可用开启“战器寻宝”中的普通宝箱。,231|232,用于【战器招募】,Common/ResouceIcon/Border/icon_bluebg01_Tex,Common/ResouceIcon/Small/icon_small_key_silver_Tex,,,3,0
54,35,0,贡献值,贡献值描述,161,用于在【公会商店】换取物资,Common/ResouceIcon/Border/icon_bluebg01_Tex,Common/ResouceIcon/Small/icon_small_guild_Tex,,,2,0
55,36,0,声望,派遣声望，可以在派遣商店兑换专属战器碎片。,131,用于在【派遣声望商店】换取专属战器碎片,Common/ResouceIcon/Border/icon_bluebg01_Tex,Common/ResouceIcon/Small/icon_small_shengwang_Tex,,,2,0
56,39,0,齿轮,齿轮，可以用于机关人转化产出血玉及卡魂。,181|182,用于在【机关人】处分解卡牌,Common/ResouceIcon/Border/icon_bluebg01_Tex,Common/ResouceIcon/Small/icon_small_gear_Tex,,,2,0
57,44,0,生铁,铁，质地坚硬而脆，可用于“战争工坊”的研发和升星。,111|112,用于强化战争工坊,Common/ResouceIcon/Border/icon_bluebg01_Tex,Common/ResouceIcon/Small/icon_stone1_tex,,,1,0
58,45,0,精钢,,0,,Common/ResouceIcon/Border/icon_bluebg01_Tex,Common/ResouceIcon/Small/icon_stone2_tex,,,0,0
59,46,0,玄铁,,0,,Common/ResouceIcon/Border/icon_bluebg01_Tex,Common/ResouceIcon/Small/icon_stone3_tex,,,0,0
60,47,0,杨木,木材，质地较软，可用于“战争工坊”研发和升星。,101|102,用于强化战争工坊,Common/ResouceIcon/Border/icon_bluebg01_Tex,Common/ResouceIcon/Small/icon_wood1_tex,,,1,0
61,48,0,榉木,,0,,Common/ResouceIcon/Border/icon_bluebg01_Tex,Common/ResouceIcon/Small/icon_wood2_tex,,,0,0
62,49,0,檀木,,0,,Common/ResouceIcon/Border/icon_bluebg01_Tex,Common/ResouceIcon/Small/icon_wood3_tex,,,0,0
63,50,0,荣誉值,荣誉值，可以在何进的战器库兑换战器。,141,用于在【何进战器库】换取稀有被动战器,Common/ResouceIcon/Border/icon_bluebg01_Tex,Common/ResouceIcon/Small/icon_small_honor_Tex,,,2,0
64,51,0,战功券,战功券，可以在国战商店兑换资源或者国战限定卡，以及武将印。,151,用于在【国战商店】换取特殊卡印、物资,Common/ResouceIcon/Border/icon_bluebg01_Tex,Common/ResouceIcon/Small/icon_small_reward_Tex,,,2,0
65,100,0,报名券,报名券通过参与公会捐献与公会黄巾入侵活动获得,0,,Common/ResouceIcon/Border/icon_bluebg01_Tex,Common/ResouceIcon/Small/icon_small_guildwarticket_Tex,,,0,0
66,200,58,淬炼石,淬炼石，可以改变某个单独词条。,271|272,用于淬炼战器,Common/ResouceIcon/Border/icon_bluebg01_Tex,Common/ResouceIcon/Small/icon_small_cuilianshi_Tex,,,1,0
67,201,0,,反枪精华，升级反枪被动,281|282,用于升级反枪被动,Common/ResouceIcon/Border/icon_bluebg01_Tex,Common/ResouceIcon/Small/icon_small_02_Tex,,,4,0
68,201,1,,反弓精华，升级反弓被动,281|282,用于升级反弓被动,Common/ResouceIcon/Border/icon_bluebg01_Tex,Common/ResouceIcon/Small/icon_small_02_Tex,,,4,0
69,201,2,,反骑精华，升级反骑被动,281|282,用于升级反骑被动,Common/ResouceIcon/Border/icon_bluebg01_Tex,Common/ResouceIcon/Small/icon_small_02_Tex,,,4,0
70,201,3,,舍身精华，升级舍身被动,281|282,用于升级舍身被动,Common/ResouceIcon/Border/icon_bluebg01_Tex,Common/ResouceIcon/Small/icon_small_02_Tex,,,4,0
71,201,4,,谨慎精华，升级谨慎被动,281|282,用于升级谨慎被动,Common/ResouceIcon/Border/icon_bluebg01_Tex,Common/ResouceIcon/Small/icon_small_02_Tex,,,4,0
72,201,5,,魅力精华，升级魅力被动,281|282,用于升级魅力被动,Common/ResouceIcon/Border/icon_bluebg01_Tex,Common/ResouceIcon/Small/icon_small_02_Tex,,,4,0
73,201,6,,神算精华，升级神算被动,281|282,用于升级神算被动,Common/ResouceIcon/Border/icon_bluebg01_Tex,Common/ResouceIcon/Small/icon_small_02_Tex,,,4,0
74,201,9,,坚韧精华，升级坚韧被动,281|282,用于升级坚韧被动,Common/ResouceIcon/Border/icon_bluebg01_Tex,Common/ResouceIcon/Small/icon_small_02_Tex,,,4,0
75,201,10,,勇武精华，升级勇武被动,281|282,用于升级勇武被动,Common/ResouceIcon/Border/icon_bluebg01_Tex,Common/ResouceIcon/Small/icon_small_02_Tex,,,4,0
76,201,12,,雄师精华，升级雄师被动,281|282,用于升级雄师被动,Common/ResouceIcon/Border/icon_bluebg01_Tex,Common/ResouceIcon/Small/icon_small_02_Tex,,,4,0
77,201,13,,集中精华，升级集中被动,281|282,用于升级集中被动,Common/ResouceIcon/Border/icon_bluebg01_Tex,Common/ResouceIcon/Small/icon_small_02_Tex,,,4,0
78,201,14,,神速精华，升级神速被动,281|282,用于升级神速被动,Common/ResouceIcon/Border/icon_bluebg01_Tex,Common/ResouceIcon/Small/icon_small_02_Tex,,,4,0
79,201,15,,神佑精华，升级神佑被动,281|282,用于升级神佑被动,Common/ResouceIcon/Border/icon_bluebg01_Tex,Common/ResouceIcon/Small/icon_small_02_Tex,,,4,0
80,201,16,,持盾精华，升级持盾被动,281|282,用于升级持盾被动,Common/ResouceIcon/Border/icon_bluebg01_Tex,Common/ResouceIcon/Small/icon_small_02_Tex,,,4,0
81,201,17,,会心精华，升级会心被动,281|282,用于升级会心被动,Common/ResouceIcon/Border/icon_bluebg01_Tex,Common/ResouceIcon/Small/icon_small_02_Tex,,,4,0
82,201,18,,识破精华，升级识破被动,281|282,用于升级识破被动,Common/ResouceIcon/Border/icon_bluebg01_Tex,Common/ResouceIcon/Small/icon_small_02_Tex,,,4,0
83,103,11,招募积分,积分1,0,用于购买积分商店的东西,Common/ResouceIcon/Border/icon_bluebg01_Tex,Common/ResouceIcon/Small/icon_small_JiFeng01_Tex,,,0,0
84,103,2,活动积分,积分2,0,用于购买积分商店的东西,Common/ResouceIcon/Border/icon_bluebg01_Tex,Common/ResouceIcon/Small/icon_small_JiFeng02_Tex,,,0,0
85,103,15,周年积分,四周年活动积分，可用于兑换周年卡和资源,0,用于购买周年商店的商品,Common/ResouceIcon/Border/icon_bluebg01_Tex,Common/ResouceIcon/Small/icon_small_JiFeng03_Tex,,,0,0
86,103,16,周年积分,五周年活动积分，可用于兑换周年卡和资源,0,用于购买周年商店的商品,Common/ResouceIcon/Border/icon_bluebg01_Tex,Common/ResouceIcon/Small/icon_small_JiFeng04_Tex,,,0,0
87,200,61,青玉,青玉，用于打磨兵符,275|276,用于打磨兵符,Common/ResouceIcon/Border/icon_bluebg01_Tex,Common/ResouceIcon/Small/icon_rune02_tex,,,1,0
88,200,62,陨铁,陨铁，用于修复兵符,277|278,用于修复兵符,Common/ResouceIcon/Border/icon_bluebg01_Tex,Common/ResouceIcon/Small/icon_rune03_tex,,,1,0
89,103,17,新年积分,2018新年积分,0,用于购买积分商店的商品,Common/ResouceIcon/Border/icon_bluebg01_Tex,Common/ResouceIcon/Small/icon_small_JiFeng02_Tex,,,0,0
90,200,68,洗练石,兵符洗练，可交换两个兵符的副属性,284,用于兵符洗练,Common/ResouceIcon/Border/icon_bluebg01_Tex,Common/ResouceIcon/Small/icon_small_xilian_Tex,,,1,0
91,200,69,千里传音,战区聊天,151,用于国战战区喊话,Common/ResouceIcon/Border/icon_bluebg01_Tex,Common/ResouceIcon/Small/icon_small_trumpet_Tex ,,,1,0
92,103,18,夏日积分,夏日庆典货币,0,用于购买庆典商店的商品,Common/ResouceIcon/Border/icon_bluebg01_Tex,Common/ResouceIcon/Small/icon_small_JiFeng02_Tex,,,0,0
93,200,71,跨服竞技场次数,跨服竞技场次数，可以直接增加跨服竞技场的参加次数。,0,,Common/ResouceIcon/Border/icon_bluebg01_Tex,Common/ResouceIcon/Small/icon_small_arena_Tex,,,0,0
94,103,19,活动积分,活动积分,0,用于购买中秋花影商店的商品,Common/ResouceIcon/Border/icon_bluebg01_Tex,Common/ResouceIcon/Small/icon_small_JiFeng02_Tex,,,0,0
95,103,20,活动积分,活动积分,0,用于购买国庆七天乐商店的商品,Common/ResouceIcon/Border/icon_bluebg01_Tex,Common/ResouceIcon/Small/icon_small_JiFeng02_Tex,,,0,0
96,103,21,周年积分,五周年活动积分，可用于兑换周年卡和资源,0,用于购买周年商店的商品,Common/ResouceIcon/Border/icon_bluebg01_Tex,Common/ResouceIcon/Small/icon_small_JiFeng04_Tex,,,0,0
97,103,22,庆典积分,庆典关卡,0,用于购买庆典商店的商品,Common/ResouceIcon/Border/icon_bluebg01_Tex,Common/ResouceIcon/Small/icon_small_JiFeng02_Tex,,,0,0
107,2,0,卡魂,卡魂，卡魂可用于加强武将能力、升级封地等级等,11|12|13|14|15,用于强化武将、战器,Common/ResouceIcon/Border/icon_greenbg01_Tex,Common/ResouceIcon/Small/icon_small_cardsoul_Tex,,,1,0
108,3,0,军令,军令，军令可用于挑战、推图、活动等。,21|22|23,用于副本、富商、挑战等,Common/ResouceIcon/Border/icon_greenbg01_Tex,Common/ResouceIcon/Small/icon_small_junling_Tex,,,1,0
109,20,0,友情点,友情点,0,,Common/ResouceIcon/Border/icon_greenbg01_Tex,Common/ResouceIcon/Small/icon_small_friend_Tex,,,0,0
110,201,1000,普通精华,普通精华，升级普通被动,281|282,用于升级普通被动,Common/ResouceIcon/Border/icon_greenbg01_Tex,Common/ResouceIcon/Small/icon_small_01_Tex,,,4,0
120,12,0,,卡片等级上限描述,0,,,,,,0,0
121,25,0,激运值,激运值描述,0,,,,,,0,0
122,30,0,碎片,五星卡碎片，可用于合成五星印,0,,,,,,0,0
123,37,0,,卡考友情点描述,0,,Common/ResouceIcon/Border/icon_redbg_Tex,Common/ResouceIcon/Small/icon_small_kakaofriend_Tex,,,0,0
124,40,0,,,0,,,,,,0,0
125,41,0,今日敲击次数,,0,,,,,,0,0
126,42,0,,,0,,,,,,0,0
127,1,7010,神将卡,神将卡,295,用于购买稀有卡片,,Common/ResouceIcon/Small/icon_small_shengjiang_Tex,,,7,0
128,1,7006,天命卡,天命卡,296,用于购买稀有卡片,,Common/ResouceIcon/Small/icon_small_tianming_Tex,,,7,0
129,1,7015,金色门神,金色门神,0,,,UI/Card/Small/recardjsms,,,0,0
130,1,7016,钻石门神,钻石门神,0,,,UI/Card/Small/recardzsms,,,0,0
131,200,65,战纹,战阵经验,0,,,,,,0,0
132,1,7017,世界杯卡,世界杯卡,0,,,Common/ResouceIcon/Small/icon_small_sjb_Tex,,,0,0
133,203,1,碎片精华1,用于武将拼图活动,0,,,,,,0,0
134,203,2,碎片精华2,用于武将拼图活动,0,,,,,,0,0
135,203,3,碎片精华3,用于武将拼图活动,0,,,,,,0,0
