序号,战器类型,战器品质,子类型,等级,消耗卡魂,材料类型,材料数量,目标战器ID,专属武将,三维加成,加成被动ID,加成被动等级,名字,图标,介绍
id,nType,nQuality,nSubType,nLevel,nCostSoul,nMaterialType,nMaterialValue,nTarCsvID,arrTargets,arrBaseEnhance,arrPassiveIDs,arrPassiveLevs,strName,strSprite,strDesc11
int,int,int,int,int,int,int,int,int,int[10],float[10],int[10],int[10],string,string,string
28,4,4,10,1,200000,9,20,0,3|289|290|67|398|399|1289|1399|0|0,18|36|36|18|36|36|36|36|0|0,-1|-1|-1|-1|-1|-1|-1|-1|-1|-1,0|0|0|0|0|0|0|0|0|0,诸葛连弩,CommonBow07_Tex,诸葛亮与黄月英所制连弩，一弩十矢连发，制工精巧，威力异常。\n【诸葛亮、黄月英所属】
29,4,4,10,2,450000,9,30,0,3|289|290|67|398|399|1289|1399|0|0,45|90|90|45|90|90|90|90|0|0,-1|-1|-1|-1|-1|-1|-1|-1|-1|-1,0|0|0|0|0|0|0|0|0|0,霸·诸葛连弩,CommonBow07_Tex,诸葛亮与黄月英所制连弩，一弩十矢连发，制工精巧，威力异常。\n【诸葛亮、黄月英所属】
30,4,4,10,3,1000000,9,50,0,3|289|290|67|398|399|1289|1399|0|0,90|180|180|90|180|180|180|180|0|0,6|6|15|6|6|12|6|12|-1|-1,1|1|1|1|1|1|1|1|0|0,极·诸葛连弩,CommonBow07_Tex,诸葛亮与黄月英所制连弩，一弩十矢连发，制工精巧，威力异常。\n【诸葛亮、黄月英所属】
31,4,4,11,1,200000,10,20,0,19|260|261|206|378|379|1260|1379|1378|0,18|36|36|18|36|36|36|36|36|0,-1|-1|-1|-1|-1|-1|-1|-1|-1|-1,0|0|0|0|0|0|0|0|0|0,龙舌弓,CommonBow08_Tex,弓弦以龙筋所制，精度非常。吕布用之辕门射戟，技惊四座，平息了一场干戈。\n【吕布、吕姬所属】
32,4,4,11,2,450000,10,30,0,19|260|261|206|378|379|1260|1379|1378|0,45|90|90|45|90|90|90|90|90|0,-1|-1|-1|-1|-1|-1|-1|-1|-1|-1,0|0|0|0|0|0|0|0|0|0,霸·龙舌弓,CommonBow08_Tex,弓弦以龙筋所制，精度非常。吕布用之辕门射戟，技惊四座，平息了一场干戈。\n【吕布、吕姬所属】
33,4,4,11,3,1000000,10,50,0,19|260|261|206|378|379|1260|1379|1378|0,90|180|180|90|180|180|180|180|180|0,10|10|10|10|5|5|10|5|5|-1,1|1|1|1|1|1|1|1|1|0,极·龙舌弓,CommonBow08_Tex,弓弦以龙筋所制，精度非常。吕布用之辕门射戟，技惊四座，平息了一场干戈。\n【吕布、吕姬所属】
34,5,4,12,1,200000,11,20,0,3|289|290|1289|0|0|0|0|0|0,18|36|36|36|0|0|0|0|0|0,-1|-1|-1|-1|-1|-1|-1|-1|-1|-1,0|0|0|0|0|0|0|0|0|0,朱雀羽扇,CommonFan05_Tex,传说使用朱雀的尾羽制成的宝扇，蕴含着朱雀之力。丹穴化生，碧雷流响，奇彩五色，神仪六象。\n【诸葛亮所属】
35,5,4,12,2,450000,11,30,0,3|289|290|1289|0|0|0|0|0|0,45|90|90|90|0|0|0|0|0|0,-1|-1|-1|-1|-1|-1|-1|-1|-1|-1,0|0|0|0|0|0|0|0|0|0,霸·朱雀羽扇,CommonFan05_Tex,传说使用朱雀的尾羽制成的宝扇，蕴含着朱雀之力。丹穴化生，碧雷流响，奇彩五色，神仪六象。\n【诸葛亮所属】
36,5,4,12,3,1000000,11,50,0,3|289|290|1289|0|0|0|0|0|0,90|180|180|180|0|0|0|0|0|0,12|6|18|6|-1|-1|-1|-1|-1|-1,1|1|1|1|0|0|0|0|0|0,极·朱雀羽扇,CommonFan05_Tex,传说使用朱雀的尾羽制成的宝扇，蕴含着朱雀之力。丹穴化生，碧雷流响，奇彩五色，神仪六象。\n【诸葛亮所属】
37,5,4,13,1,200000,12,20,0,74|46|466|478|0|0|0|0|0|0,18|18|36|36|0|0|0|0|0|0,-1|-1|-1|-1|-1|-1|-1|-1|-1|-1,0|0|0|0|0|0|0|0|0|0,流离天香,CommonFan07_Tex,乔家有二女，皆有沉鱼落雁之容，善通音律与诗文，并舞一曲，实乃流离天香。\n【大乔、小乔所属】
38,5,4,13,2,450000,12,30,0,74|46|466|478|0|0|0|0|0|0,45|45|90|90|0|0|0|0|0|0,-1|-1|-1|-1|-1|-1|-1|-1|-1|-1,0|0|0|0|0|0|0|0|0|0,霸·流离天香,CommonFan07_Tex,乔家有二女，皆有沉鱼落雁之容，善通音律与诗文，并舞一曲，实乃流离天香。\n【大乔、小乔所属】
39,5,4,13,3,1000000,12,50,0,74|46|466|478|0|0|0|0|0|0,90|90|180|180|0|0|0|0|0|0,5|5|18|5|-1|-1|-1|-1|-1|-1,1|1|1|1|0|0|0|0|0|0,极·流离天香,CommonFan07_Tex,乔家有二女，皆有沉鱼落雁之容，善通音律与诗文，并舞一曲，实乃流离天香。\n【大乔、小乔所属】
40,5,4,14,1,200000,13,20,0,246|251|483|537|0|0|0|0|0|0,18|18|36|36|0|0|0|0|0|0,-1|-1|-1|-1|-1|-1|-1|-1|-1|-1,0|0|0|0|0|0|0|0|0|0,冥天符,CommonFan08_Tex,蕴含天照大神之力的神符，持之可使鬼道，以妖惑众。\n【卑弥呼、于吉所属】
41,5,4,14,2,450000,13,30,0,246|251|483|537|0|0|0|0|0|0,45|45|90|90|0|0|0|0|0|0,-1|-1|-1|-1|-1|-1|-1|-1|-1|-1,0|0|0|0|0|0|0|0|0|0,霸·冥天符,CommonFan08_Tex,蕴含天照大神之力的神符，持之可使鬼道，以妖惑众。\n【卑弥呼、于吉所属】
42,5,4,14,3,1000000,13,50,0,246|251|483|537|0|0|0|0|0|0,90|90|180|180|0|0|0|0|0|0,12|6|6|6|-1|-1|-1|-1|-1|-1,1|1|1|1|0|0|0|0|0|0,极·冥天符,CommonFan08_Tex,蕴含天照大神之力的神符，持之可使鬼道，以妖惑众。\n【卑弥呼、于吉所属】
43,5,4,15,1,200000,14,20,0,55|445|446|1445|0|0|0|0|0|0,18|36|36|36|0|0|0|0|0|0,-1|-1|-1|-1|-1|-1|-1|-1|-1|-1,0|0|0|0|0|0|0|0|0|0,玄武折扇,CommonFan07_Tex,传说中蕴含玄武真君之力的折扇。春夏之交，玄武升起，镇北方，乃司命之神。\n【鲁肃所属】
44,5,4,15,2,450000,14,30,0,55|445|446|1445|0|0|0|0|0|0,45|90|90|90|0|0|0|0|0|0,-1|-1|-1|-1|-1|-1|-1|-1|-1|-1,0|0|0|0|0|0|0|0|0|0,霸·玄武折扇,CommonFan07_Tex,传说中蕴含玄武真君之力的折扇。春夏之交，玄武升起，镇北方，乃司命之神。\n【鲁肃所属】
45,5,4,15,3,1000000,14,50,0,55|445|446|1445|0|0|0|0|0|0,90|180|180|180|0|0|0|0|0|0,2|18|16|18|-1|-1|-1|-1|-1|-1,1|1|1|1|0|0|0|0|0|0,极·玄武折扇,CommonFan07_Tex,传说中蕴含玄武真君之力的折扇。春夏之交，玄武升起，镇北方，乃司命之神。\n【鲁肃所属】
46,2,4,16,1,200000,15,20,0,25|16|407|408|457|458|1458|0|0|0,18|18|36|36|36|36|36|0|0|0,-1|-1|-1|-1|-1|-1|-1|-1|-1|-1,0|0|0|0|0|0|0|0|0|0,弱水剑,CommonSword05_Tex,曹操所赐佩剑，刃如水镜，可映幻象，据说能斩妖除魔，有辟邪之效。与倚天剑放在一起，互相辉映，光彩夺目。\n【郭嘉、荀彧所属】
47,2,4,16,2,450000,15,30,0,25|16|407|408|457|458|1458|0|0|0,45|45|90|90|90|90|90|0|0|0,-1|-1|-1|-1|-1|-1|-1|-1|-1|-1,0|0|0|0|0|0|0|0|0|0,霸·弱水剑,CommonSword05_Tex,曹操所赐佩剑，刃如水镜，可映幻象，据说能斩妖除魔，有辟邪之效。与倚天剑放在一起，互相辉映，光彩夺目。\n【郭嘉、荀彧所属】
48,2,4,16,3,1000000,15,50,0,25|16|407|408|457|458|1458|0|0|0,90|90|180|180|180|180|180|0|0|0,2|2|12|15|2|5|5|-1|-1|-1,1|1|1|1|1|1|1|0|0|0,极·弱水剑,CommonSword05_Tex,曹操所赐佩剑，刃如水镜，可映幻象，据说能斩妖除魔，有辟邪之效。与倚天剑放在一起，互相辉映，光彩夺目。\n【郭嘉、荀彧所属】
49,4,4,17,1,200000,16,20,0,23|427|428|0|0|0|0|0|0|0,18|36|36|0|0|0|0|0|0|0,-1|-1|-1|-1|-1|-1|-1|-1|-1|-1,0|0|0|0|0|0|0|0|0|0,惊凰弓,CommonBow06_Tex,传说中可以召唤神鸟凤凰的神弓。角弓鸣响，四座皆惊，梧桐树下，凰起凤来。\n【庞统所属】
50,4,4,17,2,450000,16,30,0,23|427|428|0|0|0|0|0|0|0,45|90|90|0|0|0|0|0|0|0,-1|-1|-1|-1|-1|-1|-1|-1|-1|-1,0|0|0|0|0|0|0|0|0|0,霸·惊凰弓,CommonBow06_Tex,传说中可以召唤神鸟凤凰的神弓。角弓鸣响，四座皆惊，梧桐树下，凰起凤来。\n【庞统所属】
51,4,4,17,3,1000000,16,50,0,23|427|428|0|0|0|0|0|0|0,90|180|180|0|0|0|0|0|0|0,2|18|9|-1|-1|-1|-1|-1|-1|-1,1|1|1|0|0|0|0|0|0|0,极·惊凰弓,CommonBow06_Tex,传说中可以召唤神鸟凤凰的神弓。角弓鸣响，四座皆惊，梧桐树下，凰起凤来。\n【庞统所属】
52,5,4,18,1,200000,17,20,0,5|293|294|27|373|374|1293|1373|1374|0,18|36|36|18|36|36|36|36|36|0,-1|-1|-1|-1|-1|-1|-1|-1|-1|-1,0|0|0|0|0|0|0|0|0|0,穷奇羽扇,CommonFan05_Tex,传说中以凶兽穷奇之羽所制羽扇，蕴含毁灭之力。西北有兽焉，状似虎，有翼能飞，便剿食人，知人言语，是为凶兽穷奇。\n【司马懿、贾诩所属】
53,5,4,18,2,450000,17,30,0,5|293|294|27|373|374|1293|1373|1374|0,45|90|90|45|90|90|90|90|90|0,-1|-1|-1|-1|-1|-1|-1|-1|-1|-1,0|0|0|0|0|0|0|0|0|0,霸·穷奇羽扇,CommonFan05_Tex,传说中以凶兽穷奇之羽所制羽扇，蕴含毁灭之力。西北有兽焉，状似虎，有翼能飞，便剿食人，知人言语，是为凶兽穷奇。\n【司马懿、贾诩所属】
54,5,4,18,3,1000000,17,50,0,5|293|294|27|373|374|1293|1373|1374|0,90|180|180|90|180|180|180|180|180|0,2|2|18|6|6|12|2|6|12|-1,1|1|1|1|1|1|1|1|1|0,极·穷奇羽扇,CommonFan05_Tex,传说中以凶兽穷奇之羽所制羽扇，蕴含毁灭之力。西北有兽焉，状似虎，有翼能飞，便剿食人，知人言语，是为凶兽穷奇。\n【司马懿、贾诩所属】
55,3,4,19,1,200000,18,20,0,8|334|335|1334|1335|0|0|0|0|0,18|36|36|36|36|0|0|0|0|0,-1|-1|-1|-1|-1|-1|-1|-1|-1|-1,0|0|0|0|0|0|0|0|0|0,沧月,CommonSpear07_Tex,文远轻捷如飞，独舞铁枪，挺身陷阵，万人辟易。沧风逐月，如蛟龙出海。\n【张辽所属】
56,3,4,19,2,450000,18,30,0,8|334|335|1334|1335|0|0|0|0|0,45|90|90|90|90|0|0|0|0|0,-1|-1|-1|-1|-1|-1|-1|-1|-1|-1,0|0|0|0|0|0|0|0|0|0,霸·沧月,CommonSpear07_Tex,文远轻捷如飞，独舞铁枪，挺身陷阵，万人辟易。沧风逐月，如蛟龙出海。\n【张辽所属】
57,3,4,19,3,1000000,18,50,0,8|334|335|1334|1335|0|0|0|0|0,90|180|180|180|180|0|0|0|0|0,10|10|19|10|19|-1|-1|-1|-1|-1,1|1|1|1|1|0|0|0|0|0,极·沧月,CommonSpear07_Tex,文远轻捷如飞，独舞铁枪，挺身陷阵，万人辟易。沧风逐月，如蛟龙出海。\n【张辽所属】
58,2,4,20,1,200000,19,20,0,26|424|423|1424|1423|0|0|0|0|0,18|36|36|36|36|0|0|0|0|0,-1|-1|-1|-1|-1|-1|-1|-1|-1|-1,0|0|0|0|0|0|0|0|0|0,燕回闪,CommonSword07_Tex,轻灵小巧的双兵器，挥舞之间细致绵密，滴水不漏，一招一式似有国士之风。\n【凌统所属】
59,2,4,20,2,450000,19,30,0,26|424|423|1424|1423|0|0|0|0|0,45|90|90|90|90|0|0|0|0|0,-1|-1|-1|-1|-1|-1|-1|-1|-1|-1,0|0|0|0|0|0|0|0|0|0,霸·燕回闪,CommonSword07_Tex,轻灵小巧的双兵器，挥舞之间细致绵密，滴水不漏，一招一式似有国士之风。\n【凌统所属】
60,2,4,20,3,1000000,19,50,0,26|424|423|1424|1423|0|0|0|0|0,144|180|180|180|180|0|0|0|0|0,14|19|16|19|16|-1|-1|-1|-1|-1,1|1|1|1|1|0|0|0|0|0,极·燕回闪,CommonSword07_Tex,轻灵小巧的双兵器，挥舞之间细致绵密，滴水不漏，一招一式似有国士之风。\n【凌统所属】
61,4,4,21,1,200000,20,20,0,10|297|298|12|360|361|1297|1361|0|0,18|36|36|18|36|36|36|36|0|0,-1|-1|-1|-1|-1|-1|-1|-1|-1|-1,0|0|0|0|0|0|0|0|0|0,龙吟弓,CommonBow05_Tex,箭出之时，四方皆寂，唯弓弦之音如虎啸龙吟，破空而出，山鸣谷应，响遏行云。\n【周瑜、陆逊所属】
62,4,4,21,2,450000,20,30,0,10|297|298|12|360|361|1297|1361|0|0,45|90|90|45|90|90|90|90|0|0,-1|-1|-1|-1|-1|-1|-1|-1|-1|-1,0|0|0|0|0|0|0|0|0|0,霸·龙吟弓,CommonBow05_Tex,箭出之时，四方皆寂，唯弓弦之音如虎啸龙吟，破空而出，山鸣谷应，响遏行云。\n【周瑜、陆逊所属】
63,4,4,21,3,1000000,20,50,0,10|297|298|12|360|361|1297|1361|0|0,90|180|180|90|180|180|180|180|0|0,6|6|18|2|6|15|6|15|-1|-1,1|1|1|1|1|1|1|1|0|0,极·龙吟弓,CommonBow05_Tex,箭出之时，四方皆寂，唯弓弦之音如虎啸龙吟，破空而出，山鸣谷应，响遏行云。\n【周瑜、陆逊所属】
64,1,4,22,1,200000,21,20,0,7|313|314|1313|1314|0|0|0|0|0,18|36|36|36|36|0|0|0|0|0,-1|-1|-1|-1|-1|-1|-1|-1|-1|-1,0|0|0|0|0|0|0|0|0|0,破军斩,CommonKnife07_Tex,元让身怀破军之勇，先破后立。冲锋陷阵，争奋破坏，损兵折将，在所不惜。\n【夏侯惇所属】
65,1,4,22,2,450000,21,30,0,7|313|314|1313|1314|0|0|0|0|0,45|90|90|90|90|0|0|0|0|0,-1|-1|-1|-1|-1|-1|-1|-1|-1|-1,0|0|0|0|0|0|0|0|0|0,霸·破军斩,CommonKnife07_Tex,元让身怀破军之勇，先破后立。冲锋陷阵，争奋破坏，损兵折将，在所不惜。\n【夏侯惇所属】
66,1,4,22,3,1000000,21,50,0,7|313|314|1313|1314|0|0|0|0|0,90|180|180|180|180|0|0|0|0|0,10|10|19|10|19|-1|-1|-1|-1|-1,1|1|1|1|1|0|0|0|0|0,极·破军斩,CommonKnife07_Tex,元让身怀破军之勇，先破后立。冲锋陷阵，争奋破坏，损兵折将，在所不惜。\n【夏侯惇所属】
67,3,4,23,1,200000,22,20,0,315|386|387|462|1386|0|0|0|0|0,18|36|36|36|36|0|0|0|0|0,-1|-1|-1|-1|-1|-1|-1|-1|-1|-1,0|0|0|0|0|0|0|0|0|0,若麒麟牙,CommonSpear08_Tex,龙为帝王，麒麟为相。君王得道，麒麟相辅，则国泰民安。只是这只麒麟尚且年幼……\n【姜维所属】
68,3,4,23,2,450000,22,30,0,315|386|387|462|1386|0|0|0|0|0,45|90|90|90|90|0|0|0|0|0,-1|-1|-1|-1|-1|-1|-1|-1|-1|-1,0|0|0|0|0|0|0|0|0|0,霸·若麒麟牙,CommonSpear08_Tex,龙为帝王，麒麟为相。君王得道，麒麟相辅，则国泰民安。只是这只麒麟尚且年幼……\n【姜维所属】
69,3,4,23,3,1000000,22,50,0,315|386|387|462|1386|0|0|0|0|0,90|180|180|180|180|0|0|0|0|0,1|18|16|16|18|-1|-1|-1|-1|-1,1|1|1|1|1|0|0|0|0|0,极·若麒麟牙,CommonSpear08_Tex,龙为帝王，麒麟为相。君王得道，麒麟相辅，则国泰民安。只是这只麒麟尚且年幼……\n【姜维所属】
70,3,4,24,1,200000,23,20,0,35|419|420|0|0|0|0|0|0|0,18|36|36|0|0|0|0|0|0|0,-1|-1|-1|-1|-1|-1|-1|-1|-1|-1,0|0|0|0|0|0|0|0|0|0,魑魅,CommonSpear08_Tex,魑魅，山林异气所生，为人害者，形似猛兽，力大无比。“魑魅”与“魍魉”乃同时所铸，皆为凶器。\n【文丑所属】
