序号,掉落包ID,属性ID,几率
131,314,1003,0.08
132,314,1002,0.09
133,314,1004,0.09
134,314,1005,0.08
135,314,1006,0.08
136,315,1001,0.08
137,315,1003,0.08
138,315,1002,0.09
139,315,1004,0.09
140,315,1005,0.08
141,315,1006,0.08
142,316,1001,0.08
143,316,1003,0.08
144,316,1002,0.09
145,316,1004,0.09
146,316,1005,0.08
147,316,1006,0.08
148,317,1001,0.08
149,317,1003,0.08
150,317,1002,0.09
151,317,1004,0.09
152,317,1005,0.08
153,317,1006,0.08
154,318,1001,0.08
155,318,1003,0.08
156,318,1002,0.09
157,318,1004,0.09
158,318,1005,0.08
159,318,1006,0.08
160,319,1001,0.08
161,319,1003,0.08
162,319,1002,0.09
163,319,1004,0.09
164,319,1005,0.08
165,319,1006,0.08
166,320,1001,0.08
167,320,1003,0.08
168,320,1002,0.09
169,320,1004,0.09
170,320,1005,0.08
171,320,1006,0.08
172,401,1001,0.05
173,401,1003,0.05
174,401,1002,0.05
175,401,1004,0.05
176,401,1005,0.05
177,401,1006,0.05
178,402,1001,0.05
179,402,1003,0.05
180,402,1002,0.05
181,402,1004,0.05
182,402,1005,0.05
183,402,1006,0.05
184,403,1001,0.05
185,403,1003,0.05
186,403,1002,0.05
187,403,1004,0.05
188,403,1005,0.05
189,403,1006,0.05
190,404,1001,0.05
191,404,1003,0.05
192,404,1002,0.05
193,404,1004,0.05
194,404,1005,0.05
195,404,1006,0.05
196,405,1001,0.05
197,405,1003,0.05
198,405,1002,0.05
199,405,1004,0.05
200,405,1005,0.05
201,405,1006,0.05
202,406,1001,0.05
203,406,1003,0.05
204,406,1002,0.05
205,406,1004,0.05
206,406,1005,0.05
207,406,1006,0.05
208,407,1001,0.05
209,407,1003,0.05
210,407,1002,0.05
211,407,1004,0.05
212,407,1005,0.05
213,407,1006,0.05
214,408,1001,0.05
215,408,1003,0.05
216,408,1002,0.05
217,408,1004,0.05
218,408,1005,0.05
219,408,1006,0.05
220,409,1001,0.05
221,409,1003,0.05
222,409,1002,0.05
223,409,1004,0.05
224,409,1005,0.05
225,409,1006,0.05
226,410,1001,0.05
227,410,1003,0.05
228,410,1002,0.05
229,410,1004,0.05
230,410,1005,0.05
231,410,1006,0.05
232,411,1001,0.05
233,411,1003,0.05
234,411,1002,0.05
235,411,1004,0.05
236,411,1005,0.05
237,411,1006,0.05
238,412,1001,0.05
239,412,1003,0.05
240,412,1002,0.05
241,412,1004,0.05
242,412,1005,0.05
243,412,1006,0.05
244,413,1001,0.05
245,413,1003,0.05
246,413,1002,0.05
247,413,1004,0.05
248,413,1005,0.05
249,413,1006,0.05
250,414,1001,0.05
251,414,1003,0.05
252,414,1002,0.05
253,414,1004,0.05
254,414,1005,0.05
255,414,1006,0.05
256,415,1001,0.05
257,415,1003,0.05
258,415,1002,0.05
259,415,1004,0.05
260,415,1005,0.05
261,415,1006,0.05
262,416,1001,0.05
263,416,1003,0.05
264,416,1002,0.05
265,416,1004,0.05
266,416,1005,0.05
267,416,1006,0.05
268,417,1001,0.05
269,417,1003,0.05
270,417,1002,0.05
271,417,1004,0.05
272,417,1005,0.05
273,417,1006,0.05
274,418,1001,0.05
275,418,1003,0.05
276,418,1002,0.05
277,418,1004,0.05
278,418,1005,0.05
279,418,1006,0.05
280,419,1001,0.04
281,419,1003,0.04
282,419,1002,0.03
283,419,1004,0.03
284,419,1005,0.03
285,419,1006,0.03
286,10000,1001,0.16
287,10000,1002,0.17
288,10000,1003,0.16
289,10000,1004,0.17
290,10000,1005,0.17
291,10000,1006,0.17
292,20000,1001,0.16
293,20000,1002,0.17
294,20000,1003,0.16
295,20000,1004,0.17
296,20000,1005,0.17
297,20000,1006,0.17
298,30000,1001,0.16
299,30000,1002,0.17
300,30000,1003,0.16
301,30000,1004,0.17
302,30000,1005,0.17
303,30000,1006,0.17
304,40000,1001,0.16
305,40000,1002,0.17
306,40000,1003,0.16
307,40000,1004,0.17
308,40000,1005,0.17
309,40000,1006,0.17
310,50000,1001,0.16
311,50000,1002,0.17
312,50000,1003,0.16
313,50000,1004,0.17
314,50000,1005,0.17
315,50000,1006,0.17
316,70000,1001,0.16
317,70000,1002,0.17
318,70000,1003,0.16
319,70000,1004,0.17
320,70000,1005,0.17
321,70000,1006,0.17
322,7000100,1001,0.16
323,7000100,1002,0.17
324,7000100,1003,0.16
325,7000100,1004,0.17
326,7000100,1005,0.17
327,7000100,1006,0.17
328,7000110,1001,0.16
329,7000110,1002,0.17
330,7000110,1003,0.16
331,7000110,1004,0.17
332,7000110,1005,0.17
333,7000110,1006,0.17
334,7000200,1001,0.16
335,7000200,1002,0.17
336,7000200,1003,0.16
337,7000200,1004,0.17
338,7000200,1005,0.17
339,7000200,1006,0.17
340,7000210,1001,0.16
341,7000210,1002,0.17
342,7000210,1003,0.16
343,7000210,1004,0.17
344,7000210,1005,0.17
345,7000210,1006,0.17
346,7000300,1001,0.16
347,7000300,1002,0.17
348,7000300,1003,0.16
349,7000300,1004,0.17
350,7000300,1005,0.17
351,7000300,1006,0.17
352,7000310,1001,0.16
353,7000310,1002,0.17
354,7000310,1003,0.16
355,7000310,1004,0.17
356,7000310,1005,0.17
357,7000310,1006,0.17
358,7000400,1001,0.16
359,7000400,1002,0.17
360,7000400,1003,0.16
361,7000400,1004,0.17
362,7000400,1005,0.17
363,7000400,1006,0.17
364,7000410,1001,0.16
365,7000410,1002,0.17
366,7000410,1003,0.16
367,7000410,1004,0.17
368,7000410,1005,0.17
369,7000410,1006,0.17
370,7000500,1001,0.16
371,7000500,1002,0.17
372,7000500,1003,0.16
373,7000500,1004,0.17
374,7000500,1005,0.17
375,7000500,1006,0.17
376,7000510,1001,0.16
377,7000510,1002,0.17
378,7000510,1003,0.16
379,7000510,1004,0.17
380,7000510,1005,0.17
381,7000510,1006,0.17
382,7000600,1001,0.16
383,7000600,1002,0.17
384,7000600,1003,0.16
385,7000600,1004,0.17
386,7000600,1005,0.17
387,7000600,1006,0.17
388,7000700,1001,0.16
389,7000700,1002,0.17
390,7000700,1003,0.16
391,7000700,1004,0.17
392,7000700,1005,0.17
393,7000700,1006,0.17
394,7000710,1001,0.16
395,7000710,1002,0.17
396,7000710,1003,0.16
397,7000710,1004,0.17
398,7000710,1005,0.17
399,7000710,1006,0.17
