序号,名字,图标路径,描述,模型路径,触发特效,持续特效,部队触发特效,部队持续特效,"布阵显示逻辑(0,不显示,1显示触发范围,2显示作用范围,3,都显示)","战场显示逻辑(0,不显示,1显示触发范围,2显示作用范围,3,都显示)","战场敌方可见(1,可见；0,不可见)","陷阱文字显示(0,不显示，1显示)",战场陷阱触发提示（0，不显示，1，显示）,效果持续时间,触发类型,触发目标查找类型,"触发目标阵营(0,友方,1,敌方,2,双方)",触发查找范围,触发查找目标兵种(兵种类型数值加+1：123，代表枪弓骑，14，代表枪塔),触发参数1,触发参数2,释放目标查找类型,"释放目标阵营(0,友方,1,敌方,2,双方)",最大目标数,释放查找范围,释放查找目标兵种(兵种类型数值加+1：123，代表枪弓骑，14，代表枪塔),"释放类型1(1,伤害；2,Debuff；3,特殊能力开关；4,改变士气；5,召唤)",持续时间1,作用类型1,作用参数1,绑定召唤物1（0，不绑定，1，绑定）,释放类型2,持续时间2,作用类型2,作用参数2,绑定召唤物2（0，不绑定，1，绑定）,释放类型3,持续时间3,作用类型3,作用参数3,绑定召唤物3（0，不绑定，1，绑定）,释放类型4,持续时间4,作用类型4,作用参数4,绑定召唤物4（0，不绑定，1，绑定）
9,投石台,UI/WarEquipment/icon_demolisher02_tex,投石台,,,,,,2,0,1,0,0,0,0,0,0,0,12367,0,0,0,1,1,45,12367,5,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
610001,瞭望台,UI/WarEquipment/icon_arrow02_tex,瞭望台,,,,,,0,0,1,0,0,0,0,0,0,0,12367,0,0,0,1,1,35,12367,5,0,0,610001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
610002,火陷阱,UI/WarEquipment/icon_fire02_tex,火陷阱,Model/Zzgf/Zzgf_xj_dj002a_prefab,,,Effect/Zzgf/Fx_XianJing_HuoYan_prefab,Battlefield/SkillFxFireState_Prefab,0,1,0,0,0,5,0,0,1,9,12367,0,0,0,1,1,12,12367,1,8,0,1600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
610003,铁刺陷阱,UI/WarEquipment/icon_thorn02_tex,铁刺陷阱,Model/Zzgf/Zzgf_xj_dj002b_prefab,,,Effect/Zzgf/Fx_Xianjing_TieQiang_prefab,,0,1,0,0,0,0,0,0,1,9,12367,0,0,0,1,10,20,12367,1,0,0,9000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
620001,投石台,UI/WarEquipment/icon_demolisher02_tex,投石台,,,,,,0,0,1,0,0,0,0,0,0,0,12367,0,0,0,1,1,45,12367,5,0,0,620001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
620002,爆炸陷阱,UI/WarEquipment/icon_bomb02_tex,爆炸陷阱,Model/Zzgf/Zzgf_xj_dj003a_prefab,,,Effect/Zzgf/Fx_XianJing_BaoZha_prefab,Battlefield/SkillFxFireState_Prefab,0,1,0,0,0,5,0,0,1,9,12367,0,0,0,1,1,12,12367,1,0,0,30000,0,1,10,0,4000,0,0,0,0,0,0,0,0,0,0,0
620003,炬石陷阱,UI/WarEquipment/icon_rockfall02_tex,炬石陷阱,Model/Zzgf/Zzgf_xj_dj004a_prefab,,,Battlefield/SkillStoneRoll_Prefab,Effect/Zzgf/Fx_Xianjing_ShiQi_prefab,2,1,0,1,1,6,0,0,1,8.4,12367,0,0,0,1,1,16,12367,2,15,13,1.34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
620004,连弩楼,UI/WarEquipment/icon_crossbow02_tex,连弩楼,,,,,,0,0,1,0,0,0,0,0,0,0,12367,0,0,0,1,1,40,12367,5,0,0,620004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
630001,投石台,UI/WarEquipment/icon_demolisher02_tex,投石台,,,,,,0,0,1,0,0,0,0,0,0,0,12367,0,0,0,1,1,45,12367,5,0,0,630001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
630002,连弩楼,UI/WarEquipment/icon_crossbow02_tex,连弩楼,,,,,,0,0,1,0,0,0,0,0,0,0,12367,0,0,0,1,1,40,12367,5,0,0,630002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
630003,爆炸陷阱,UI/WarEquipment/icon_bomb02_tex,爆炸陷阱,Model/Zzgf/Zzgf_xj_dj003a_prefab,,,Effect/Zzgf/Fx_XianJing_BaoZha_prefab,Battlefield/SkillFxFireState_Prefab,0,1,0,0,0,5,0,0,1,9,12367,0,0,0,1,1,12,12367,1,0,0,80000,0,1,15,0,8000,0,0,0,0,0,0,0,0,0,0,0
630004,火陷阱,UI/WarEquipment/icon_fire02_tex,火陷阱,Model/Zzgf/Zzgf_xj_dj002a_prefab,,,Effect/Zzgf/Fx_XianJing_HuoYan_prefab,Battlefield/SkillFxFireState_Prefab,0,1,0,0,0,5,0,0,1,9,12367,0,0,0,1,1,12,12367,1,16,0,11000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,铁索,UI/WarEquipment/icon_looplock02_tex,铁索,Model/Zzgf/Zzgf_xj_dj010_prefab,Effect/Battle/Fx_SpeedDown,,Effect/Zzgf/Fx_2nd_XJ_TripWire,Effect/Battle/Fx_SpeedDown,0,1,0,1,1,10,0,0,1,8.4,12367,0,0,0,1,1,10,12367,5,0,0,20000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,铁蒺藜,UI/WarEquipment/icon_ironball02_tex,铁蒺藜,Model/Zzgf/Zzgf_xj_dj008_prefab,Effect/Battle/Fx_SpeedDown,,Effect/Zzgf/Fx_2nd_XJ_Sting,Effect/Battle/Fx_SpeedDown,0,1,0,1,1,15,0,0,1,8.4,12367,0,0,0,1,1,10,12367,5,0,0,20001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,铁牢,UI/WarEquipment/icon_iron02_tex,铁牢,Model/Zzgf/Zzgf_xj_dj005b_prefab,Effect/Zzgf/Fx_2nd_XJ_Cage_buff,,Effect/Zzgf/Fx_2nd_XJ_Cage,Effect/Zzgf/Fx_2nd_XJ_Cage_buff,0,1,0,1,1,6,0,0,1,8.4,12367,0,0,0,1,1,10,12367,5,0,0,20002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,瘴毒,UI/WarEquipment/icon_gas02_tex,瘴毒,Model/Zzgf/Zzgf_xj_dj002c_prefab,,,Effect/Zzgf/Fx_2nd_XJ_Poision,Battlefield/skillfxPoisonState_Prefab,2,1,0,1,1,6,0,0,1,8.4,12367,0,0,0,1,10,20,12367,1,6,0,17235,0,2,6,3,0.4,0,0,0,0,0,0,0,0,0,0,0
14,木牛,UI/WarEquipment/icon_cattle02_tex,木牛,,,,,,0,0,1,0,0,0,0,0,0,0,12367,0,0,0,1,1,0,12367,5,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,刃车,UI/WarEquipment/icon_Edgecar02_tex,刃车,,Effect/Zzgf/Fx_2nd_QX_Die_02,,,,2,1,1,0,0,0,1,0,0,0,1234567,11,0,0,1,10,16,1234567,5,0,0,6,0,1,0,0,74040,0,0,0,0,0,0,0,0,0,0,0
16,盾车,UI/WarEquipment/icon_shieldcar02_tex,盾车,,,,,,0,0,1,0,0,0,0,0,0,0,12367,0,0,0,1,1,0,12367,5,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,铁甲虎车,UI/WarEquipment/icon_Tigercar02_tex,铁甲虎车,,Effect/Zzgf/Fx_XianJing_BaoZha_prefab,,,,2,0,1,0,0,0,1,0,0,0,12367,11,0,0,1,10,16,1234567,5,0,0,8,0,1,0,0,171840,0,0,0,0,0,0,0,0,0,0,0
18,铁冲车,UI/WarEquipment/icon_Assaultvehicle02_tex,铁冲车,,,,,,0,0,1,0,0,0,1,0,0,0,12367,11,1,0,0,1,0,6,5,0,0,9,0,6,999999,0,26523,0,0,0,0,0,0,0,0,0,0,0
999,竹矛陷阱,UI/WarEquipment/icon_bamboo02_tex,竹矛陷阱,Model/Zzgf/Zzgf_xj_dj001a_prefab,,,Effect/Zzgf/Fx_Xianjing_ZuQiang_prefab,,0,1,0,1,1,0,0,0,1,8.4,12367,0,0,0,1,1,10,12367,1,0,0,500000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1000,竹矛陷阱,UI/WarEquipment/icon_bamboo02_tex,竹矛陷阱,Model/Zzgf/Zzgf_xj_dj001a_prefab,,,Effect/Zzgf/Fx_Xianjing_ZuQiang_prefab,,0,1,1,1,1,0,0,0,1,8.4,12367,0,0,0,1,1,10,12367,1,0,0,336800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1001,火陷阱,UI/WarEquipment/icon_fire02_tex,火陷阱,Model/Zzgf/Zzgf_xj_dj002a_prefab,,,Effect/Zzgf/Fx_XianJing_HuoYan_prefab,Battlefield/SkillFxFireState_Prefab,0,1,1,1,1,5,0,0,1,8.4,12367,0,0,0,1,1,10,12367,1,15,0,28300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1002,炬石陷阱,UI/WarEquipment/icon_rockfall02_tex,炬石陷阱,Model/Zzgf/Zzgf_xj_dj004a_prefab,,,Battlefield/SkillStoneRoll_Prefab,Effect/Zzgf/Fx_Xianjing_ShiQi_prefab,2,1,0,1,1,6,0,0,1,8.4,12367,0,0,0,1,1,16,12367,2,15,13,1.34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1003,爆炸陷阱,UI/WarEquipment/icon_bomb02_tex,爆炸陷阱,Model/Zzgf/Zzgf_xj_dj003a_prefab,,,Effect/Zzgf/Fx_XianJing_BaoZha_prefab,Battlefield/SkillFxFireState_Prefab,0,1,0,1,1,5,0,0,1,9,12367,0,0,0,1,1,12,12367,1,0,0,200000,0,1,10,0,40000,0,0,0,0,0,0,0,0,0,0,0
1004,竹矛陷阱,UI/WarEquipment/icon_bamboo02_tex,竹矛陷阱,Model/Zzgf/Zzgf_xj_dj001a_prefab,,,Effect/Zzgf/Fx_Xianjing_ZuQiang_prefab,,0,1,1,1,1,0,0,0,1,8.4,12367,0,0,0,1,1,10,12367,1,0,0,600000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1050,连弩楼,UI/WarEquipment/icon_crossbow02_tex,连弩楼,,,,,,0,0,1,0,0,0,0,0,0,0,12367,0,0,0,1,5,40,12367,5,0,0,102408,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1051,瞭望台,UI/WarEquipment/icon_arrow02_tex,瞭望台,,,,,,0,0,1,0,0,0,0,0,0,0,12367,0,0,0,1,5,35,12367,5,0,0,102409,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10000,木牛,,木牛,,,,,,0,0,0,0,0,0,0,0,0,0,1234567,0,0,0,1,1,0,12367,5,0,0,10000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10010,连弩楼,,连弩楼,,,,,,0,0,0,0,0,0,0,0,0,0,12367,0,0,0,1,1,0,12367,5,0,0,10010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10020,铁甲虎车,,铁甲虎车,,,,,,0,0,0,0,0,0,0,0,0,0,1234567,0,0,0,1,1,0,1234567,5,0,0,10020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10001,木牛,,木牛,,,,,,0,0,0,0,0,0,0,0,0,0,1234567,0,0,0,1,1,0,12367,5,0,0,10001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10002,连弩楼,,连弩楼,,,,,,0,0,0,0,0,0,0,0,0,0,12367,0,0,0,1,1,0,12367,5,0,0,10002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10003,铁甲虎车,,铁甲虎车,,,,,,0,0,0,0,0,0,0,0,0,0,1234567,0,0,0,1,1,0,1234567,5,0,0,10003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10021,东吴刃车,,东吴刃车,,,,,,0,0,0,0,0,0,0,0,0,0,1234567,0,0,0,1,1,0,1234567,5,0,0,10021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10030,木牛,,木牛,,,,,,0,0,0,0,0,0,0,0,0,0,12367,0,0,0,1,1,0,12367,5,0,0,10030,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10040,虎车,,铁甲虎车,,Effect/Zzgf/Fx_XianJing_BaoZha_prefab,,,,0,0,0,0,0,0,1,0,0,0,12367,0,0,0,1,1,0,12367,5,0,0,10040,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
