id,建筑名,初始阵营,山贼位置,城防初始值,城防攻占给予,城防最大值,土著初始值,驻守军数量,资源产出|铁木粮草,筑城消耗|铁木粮草,增强战器类型,攻城增益上限,守城增益上限,占城奖励加成系数,山贼初始数量下限,山贼初始数量上限,[废弃]山贼集结完成数量,筑城回复速度[绝对值],最大等级,山贼兵力增加值
id,strName,nFaction,strShanzeiPos,nCfInit,nCfGzValue,nCfMax,nTuzhuInit,nZhshoujun,nResRate,arrResZc,nQixieType,nAttackZengyiMax,nDefenceZengyiMax,dRewardCoeff,nShanzeiMin,nShanzeiMax,nShanzeiGatheredCount,nZhuchengRecoverSpeed,nLevelMax,nSZAddValue
int,string,int,string,int,int,int,int,int,int[3],int[6],int,int,int,double,int,int,int,int,int,int
26,濮阳,103,1132.5|8.619|487.5973,2020000,1440000,2880000,162,205,0|1|3,10|500|10|500|10|500,3,1500,1000,0.02,260,420,520,3200,2,78
27,陈留,103,1022.398|11.422|490.132,2020000,1440000,2880000,204,200,0|1|3,10|500|10|500|10|500,3,1500,1000,0.02,260,420,520,3200,2,78
28,许昌,103,930.923|8.619|471.987,6050000,4320000,8640000,810,300,1|2|5,10|500|10|500|10|500,3,3000,2000,0.03,280,490,700,9600,2,105
29,南阳,103,1039.125|8.619|390.057,4710000,3360000,6720000,732,300,0|2|2,10|500|10|500|10|500,3,2400,1600,0.02,260,420,520,7466,2,78
30,定陶,103,1010.944|8.619|295.890,6050000,4320000,8640000,810,300,2|1|3,10|500|10|500|10|500,3,3000,2000,0.03,280,490,700,9600,3,105
31,襄阳,103,869.444|10.6624|282.941,2020000,1440000,2880000,270,170,0|2|3,10|500|10|500|10|500,0,1500,1000,0.04,320,630,1050,3200,4,158
32,寿春,103,1108.674|8.619|251.582,2690000,1920000,3840000,324,135,0|0|4,10|500|10|500|10|500,3,1800,1200,0.02,260,420,520,4266,5,78
33,江夏,103,946.687|8.619|195.954,2020000,1440000,2880000,204,180,0|1|4,10|500|10|500|10|500,3,1500,1000,0.03,280,490,700,3200,6,105
34,汝南,3,1140.61|8.619|134.822,5380000,3840000,7680000,0,810,2|2|2,10|500|10|500|10|500,3,2700,1800,0.03,280,490,700,8533,7,105
35,汉阳,3,982.018|9.591|111.42,5380000,3840000,7680000,0,810,0|0|4,10|500|10|500|10|500,3,2700,1800,0.03,280,490,700,8533,8,105
36,江陵,3,1041.188|8.619|33.575,10760000,7680000,15360000,0,1215,8|8|10,10|500|10|500|10|500,3,3600,2400,0.05,380,770,1530,17066,9,230
37,阆中,103,578.985|8.420|228.036,3360000,2400000,4800000,162,205,1|1|3,10|500|10|500|10|500,1,2100,1400,0.03,280,490,700,5333,10,105
38,晋阳,1,861.174|8.420|768.348,10760000,7680000,15360000,0,1215,8|8|10,10|500|10|500|10|500,3,3600,2400,0.05,260,420,520,17066,11,78
