赛季ID,预选赛简介,淘汰选赛简介,开始时间(所有时间必须为两位数）,结束时间（所有时间必须为两位数）
id,strPrimaryTime,strAdvancedTime,strStartTime,strEndTime
int,string,string,string,string
30,6月27日20:30—21:20,6月28日—7月1日,2016|06|04|00|00|00,2016|07|01|23|59|00
31,7月25日20:30—21:20,7月26日—7月29日,2016|07|02|00|00|00,2016|07|29|23|59|00
32,8月22日20:30—21:20,8月23日—8月26日,2016|07|30|00|00|00,2016|08|26|23|59|00
33,9月19日20:30—21:20,9月20日—9月23日,2016|08|27|00|00|00,2016|09|23|23|59|00
34,10月17日20:30—21:20,10月18日—10月21日,2016|09|24|00|00|00,2016|10|21|23|59|00
35,11月14日20:30—21:20,11月15日—11月18日,2016|10|22|00|00|00,2016|11|18|23|59|00
36,12月12日20:30—21:20,12月13日—12月16日,2016|11|19|00|00|00,2016|12|16|23|59|00
37,1月9日20:30—21:20,1月10日—1月13日,2016|12|17|00|00|00,2017|01|13|23|59|00
38,2月13日20:30—21:20,2月14日—2月17日,2017|01|14|00|00|00,2017|02|17|23|59|00
39,3月13日20:30—21:20,3月14日—3月17日,2017|02|18|00|00|00,2017|03|17|23|59|00
40,4月10日20:30—21:20,4月11日—4月14日,2017|03|18|00|00|00,2017|04|14|23|59|00
41,5月8日20:30—21:20,5月9日—5月12日,2017|04|15|00|00|00,2017|05|12|23|59|00
42,6月5日20:30—21:20,6月6日—6月9日,2017|05|13|00|00|00,2017|06|09|23|59|00
43,7月3日20:30—21:20,7月4日—7月7日,2017|06|10|00|00|00,2017|07|07|23|59|00
44,7月31日20:30—21:20,8月1日—8月4日,2017|07|08|00|00|00,2017|08|04|23|59|00
45,8月28日20:30—21:20,8月29日—9月1日,2017|08|05|00|00|00,2017|09|01|23|59|00
46,9月25日20:30—21:20,9月26日—9月29日,2017|09|02|00|00|00,2017|09|29|23|59|00
47,10月23日20:30—21:20,10月24日—10月27日,2017|09|30|00|00|00,2017|10|27|23|59|00
48,11月20日20:30—21:20,11月21日—11月24日,2017|10|28|00|00|00,2017|11|24|23|59|00
49,12月18日20:30—21:20,12月19日—12月22日,2017|11|25|00|00|00,2017|12|22|23|59|00
50,1月15日20:30—21:20,1月16日—1月19日,2017|12|23|00|00|00,2018|01|19|23|59|00
51,2月12日20:30—21:20,2月13日—2月16日,2018|01|20|00|00|00,2018|02|16|23|59|00
52,3月12日20:30—21:20,3月13日—3月16日,2018|02|17|00|00|00,2018|03|16|23|59|00
53,4月9日20:30—21:20,4月10日—4月13日,2018|03|17|00|00|00,2018|04|13|23|59|00
54,5月7日20:30—21:20,5月8日—5月11日,2018|04|14|00|00|00,2018|05|11|23|59|00
55,6月4日20:30—21:20,6月5日—6月8日,2018|05|12|00|00|00,2018|06|08|23|59|00
56,7月2日20:30—21:20,7月3日—7月6日,2018|06|09|00|00|00,2018|07|06|23|59|00
57,7月30日20:30—21:20,7月31日—8月3日,2018|07|07|00|00|00,2018|08|03|23|59|00
58,8月27日20:30—21:20,8月28日—8月31日,2018|08|04|00|00|00,2018|08|31|23|59|00
59,9月24日20:30—21:20,9月25日—9月28日,2018|09|01|00|00|00,2018|09|28|23|59|00
60,10月22日20:30—21:20,10月23日—10月26日,2018|09|29|00|00|00,2018|10|26|23|59|00
61,11月19日20:30—21:20,11月20日—11月23日,2018|10|27|00|00|00,2018|11|23|23|59|00
62,12月17日20:30—21:20,12月18日—12月21日,2018|11|24|00|00|00,2018|12|21|23|59|00
63,1月14日20:30—21:20,1月15日—1月18日,2018|12|22|00|00|00,2019|01|18|23|59|00
64,2月11日20:30—21:20,2月12日—2月15日,2019|01|19|00|00|00,2019|02|15|23|59|00
65,3月11日20:30—21:20,3月12日-3月15日,2019|02|16|00|00|00,2019|03|15|23|59|00
66,4月8日20:30—21:20,4月9日-4月12日,2019|03|16|00|00|00,2019|04|12|23|59|00
67,5月6日20:30—21:20,5月7日-5月10日,2019|04|13|00|00|00,2019|05|10|23|59|00
68,6月3日20:30—21:20,6月4日-6月7日,2019|05|11|00|00|00,2019|06|07|23|59|00
69,7月1日20:30—21:20,7月2日-7月5日,2019|06|08|00|00|00,2019|07|05|23|59|00
70,7月29日20:30—21:20,7月30日-8月2日,2019|07|06|00|00|00,2019|08|02|23|59|00
71,8月26日20:30—21:20,8月27日-8月30日,2019|08|03|00|00|00,2019|08|30|23|59|00
72,9月23日20:30—21:20,9月24日-9月27日,2019|08|31|00|00|00,2019|09|27|23|59|00
73,10月21日20:30—21:20,10月22日-10月25日,2019|09|28|00|00|00,2019|10|25|23|59|00
74,11月18日20:30—21:20,11月19日-11月22日,2019|10|26|00|00|00,2019|11|22|23|59|00
75,12月16日20:30—21:20,12月17日-12月20日,2019|11|23|00|00|00,2019|12|20|23|59|00
76,1月13日20:30—21:20,1月14日-1月17日,2019|12|21|00|00|00,2020|01|17|23|59|00
