id,起点城市,终点城市,路径点1,路径点2,路径点3,路径点4,路径点5,路径点6,路径点7,路径点8,路径点9,路径点10,路径点11,路径点12,路径点13,路径点14,路径点15,路径点16,路径点17,路径点18,路径点19,路径点20,路径点21,路径点22,路径点23,路径点24,路径点25
22,14,20,663.9545|8.880544|386.0342,656.4236|9.096799|392.821,647.2952|8.022527|399.2108,638.1669|8.150464|406.5136,631.3206|8.105344|414.5009,635.1563|7.95255|424.0307,641.8773|8.052049|434.2231,653.9202|8.1018|440.4275,668.6865|7.888425|447.3739,684.4756|8.1018|448.664,701.2941|8.1018|455.1631,719.2538|8.1018|456.806,737.8776|7.95955|460.7585,740.0816|8.1018|473.4727,752.3066|8.1018|487.5328,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
23,14,21,663.9545|8.880544|386.0342,656.4236|9.096799|392.821,647.2952|8.022527|399.2108,638.1669|8.150464|406.5136,631.3206|8.105344|414.5009,635.1563|7.95255|424.0307,641.8773|8.052049|434.2231,653.9202|8.1018|440.4275,666.0575|7.95255|437.368,676.7512|7.952554|427.6324,687.1945|7.95255|421.8591,700.7623|8.002297|420.3261,711.9814|7.967607|421.4227,721.812|8.394078|422.2455,730.7764|9.096799|430.9045,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
24,14,23,663.9545|8.880544|386.0342,681.6151|8.120267|374.9167,723.0165|8.151181|376.2639,742.1526|7.878362|365.0631,753.9359|8.061681|350.6227,771.1233|8.006848|345.0248,782.2847|8.880544|346.0957,790.6166|8.880544|353.3078,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
25,15,16,663.9528|9.096799|272.5629,686.1442|7.827939|245.8598,705.9967|8.044919|225.9076,721.0128|7.916692|214.4978,727.8242|7.853501|189.6293,731.8849|7.956651|178.8837,728.4641|8.076375|164.6461,702.3647|8.076374|181.381,674.7855|8.076374|210.2081,662.8311|8.076374|184.9103,678.3864|8.076374|143.8171,668.4534|9.140007|106.9399,659.2948|9.213001|92.98977,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
26,15,24,663.9528|9.096799|272.5629,686.1442|7.827939|245.8598,705.9967|8.044919|225.9076,721.0128|7.916692|214.4978,727.8242|7.853501|189.6293,731.8849|7.956651|178.8837,728.4641|8.076375|164.6461,765.718|9.460969|136.5767,783.0892|9.096799|123.1104,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
27,16,17,663.8104|9.305837|92.82585,681.0464|9.305837|89.41573,693.1706|9.305837|94.13841,702.4689|9.305837|92.25893,715.5122|10.11704|89.60738,724.4151|9.990384|82.23122,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
28,17,24,724.4151|9.990384|82.23122,744.8307|9.434628|88.91963,755.5737|5.521619|100.0659,762.1686|9.989476|111.6277,781.1961|9.990384|124.2843,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
29,18,19,693.387|7.996849|680.5464,692.6958|8.3088|654.3403,706.3498|8.3088|635.3256,720.2134|8.3088|620.3327,732.9178|9.264385|597.9316,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
30,18,25,693.387|7.996849|680.5464,727.299|7.996849|676.4465,759.6526|7.996849|684.739,784.769|7.996849|683.6384,814.2628|7.996849|687.2123,837.9908|7.996849|679.9661,846.0909|7.996849|674.4424,876.4899|7.996849|671.0958,911.12|7.996849|648.8127,930.2365|7.996849|623.1944,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
31,19,20,732.9178|9.264385|597.9316,750.1697|8.259281|579.8243,750.9257|9.264385|551.1302,750.1426|9.264385|527.2849,746.4682|9.264385|509.9739,751.7336|9.264385|486.7072,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
32,19,25,732.9178|9.264385|597.9316,756.2224|9.264385|592.6734,802.5524|9.264385|592.5359,844.6985|9.264385|601.4492,886.3928|9.264385|603.2524,915.6555|9.264385|621.4326,923.3516|9.264385|631.6898,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
33,20,21,751.7336|9.264385|486.7072,741.879|9.264385|475.3239,730.6465|9.264385|430.7438,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
34,20,22,751.7336|9.264385|486.7072,776.567|9.264385|485.5465,793.0389|9.264385|470.264,810.6597|9.264385|462.0157,831.3999|9.264385|452.4282,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
35,21,23,730.6465|9.264385|430.7438,741.5413|7.839138|408.1494,746.705|8.157902|392.0794,757.9044|8.043159|384.0449,769.3128|8.111794|377.3864,778.9506|7.897583|369.7542,790.2766|9.264385|355.6928,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
36,22,28,831.3999|9.264385|452.4282,867.8472|8.884136|440.9586,888.0654|7.995815|426.794,911.697|8.384327|419.6115,940.4412|9.264385|441.4346,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
37,23,31,790.2766|9.264385|355.6928,816.2893|8.676601|352.9258,838.3533|8.676601|353.4029,853.7874|8.676601|342.4805,865.0862|8.676601|325.6241,880.1818|8.676601|313.9026,894.1484|8.676601|300.6642,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
38,24,33,781.1961|9.990384|124.2843,809.7042|7.99191|104.1957,828.5663|7.99191|94.40565,852.7604|7.99191|90.04644,873.2115|7.99191|82.39294,890.9092|7.99191|84.10281,913.2278|7.99191|95.81474,929.7468|7.99191|103.3459,932.1535|8.94531|126.7442,924.6716|9.283406|135.5952,915.7734|8.571095|146.8094,909.3422|8.540364|161.6501,915.3044|7.99191|184.458,924.2644|7.99191|206.9176,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
39,24,35,781.1961|9.990384|124.2843,809.7042|7.99191|104.1957,828.5663|7.99191|94.40565,852.7604|7.99191|90.04644,873.2115|7.99191|82.39294,890.9092|7.99191|84.10281,913.2278|7.99191|95.81474,929.7468|7.99191|103.3459,946.1844|7.99191|110.8018,959.3986|7.99191|122.7644,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
40,24,36,781.1961|9.990384|124.2843,809.7042|7.99191|104.1957,828.5663|7.99191|94.40565,852.7604|7.99191|90.04644,873.2115|7.99191|82.39294,890.9092|7.99191|84.10281,913.2278|7.99191|95.81474,921.6492|8.326596|87.1207,924.6704|9.419087|73.76077,929.1318|9.419087|51.27636,944.2583|7.286771|42.31584,964.2739|7.286771|40.42705,979.2066|7.286771|55.70588,993.8895|7.286771|53.41516,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
41,25,26,930.2365|7.996849|623.1944,950.3729|8.717991|611.4045,967.8133|8.717991|601.6071,989.6074|8.171879|598.5939,1015.985|8.171879|594.3563,1094.339|8.171879|553.0249,1097.203|8.171879|529.1279,1112.814|8.171879|510.5513,1110.532|8.171879|498.1784,1101.923|8.171879|482.791,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
42,26,27,1101.923|8.171879|482.791,1090.339|8.171879|470.1555,1064.529|8.171879|464.7764,1048.304|8.171879|473.9302,1028.888|8.171879|463.022,1009.007|8.171879|451.2607,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
43,26,29,1101.923|8.171879|482.791,1090.339|8.171879|470.1555,1076.21|8.171879|438.9707,1054.598|8.171879|429.4882,1039.554|8.171879|427.6346,1013.61|8.171879|406.6651,1011.223|8.171879|391.7476,1008.01|8.171879|375.3811,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
44,27,28,1009.007|8.171879|451.2607,994.2525|8.171879|459.471,984.8199|8.171879|452.8585,974.4656|8.171879|448.4659,959.771|8.171879|447.5692,940.4412|9.264385|441.4346,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
45,27,29,1009.007|8.171879|451.2607,1023.321|8.171879|441.8432,1028.433|8.171879|429.9991,1024.683|8.171879|416.8392,1016.273|8.171879|406.5888,1011.861|8.171879|394.58,1007.279|8.171879|374.1832,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
46,29,30,1007.279|8.171879|374.1832,999.0838|9.88942|361.0138,1009.821|8.171879|343.5482,990.7878|8.171879|322.7702,981.2782|8.171879|307.3126,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
47,29,32,1007.279|8.171879|374.1832,999.0838|9.919857|361.0138,1009.821|8.171879|343.5482,1030.32|8.171879|336.8889,1048.181|8.171879|319.0759,1061.661|8.171879|292.3109,1072.546|9.316853|275.7103,1086.818|9.48148|265.1162,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
48,30,31,981.2782|8.577377|307.3126,964.2508|8.171879|298.5956,952.16|8.171879|287.6575,942.7671|8.171879|286.4265,931.8314|8.171879|293.1799,913.3028|8.55817|287.9628,903.2528|9.167843|290.6593,894.1484|8.676601|300.6642,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
49,30,32,981.2782|8.577377|307.3126,993.3506|8.577377|324.4363,1010.744|8.577377|344.3666,1040.97|8.577377|326.7331,1055.201|8.577377|304.4447,1070.339|8.577377|281.205,1084.766|8.577377|265.9617,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
50,30,33,981.2782|8.577377|307.3126,964.2508|8.171879|298.5956,960.7546|8.171879|282.0833,945.787|8.171879|271.7783,924.5526|8.171879|253.2158,922.1639|8.171879|238.4444,929.7377|8.171879|216.3022,921.7956|8.171879|205.1171,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
51,31,33,894.1484|8.676601|300.6642,910.1656|8.676601|286.5107,911.2096|8.676601|270.9478,927.6514|8.676601|258.0221,921.6714|8.676601|246.2527,924.0271|8.676601|234.8398,930.9471|8.676601|218.747,921.7956|8.171879|205.1171,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
52,32,33,1084.766|8.577377|265.9617,1086.186|8.577377|245.4533,1076.194|8.577377|225.8555,1080.26|8.577377|197.1167,1058.373|8.577377|192.6138,1044.417|8.577377|204.4557,1019.006|8.577377|206.8499,1008.1|8.577377|209.3804,975.5925|8.577377|209.6872,964.1313|8.577377|215.8759,940.8456|8.577377|214.1595,921.7956|8.171879|205.1171,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
53,32,34,1084.766|8.577377|265.9617,1073.582|8.577377|251.5591,1068.882|8.577377|241.9523,1076.403|8.107483|222.6876,1080.867|8.577377|195.9192,1088.411|8.107269|182.3942,1108.777|8.577377|171.3672,1108.488|8.577377|161.6593,1117.982|8.577377|146.8979,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
54,33,34,921.7956|8.171879|205.1171,940.8456|8.577377|214.1595,964.1313|8.577377|215.8759,975.5925|8.577377|209.6872,1008.1|8.577377|209.3804,1019.006|8.577377|206.8499,1044.417|8.577377|204.4557,1058.373|8.577377|192.6138,1080.867|8.577377|195.9192,1088.411|8.107269|182.3942,1108.777|8.577377|171.3672,1108.488|8.577377|161.6593,1117.982|8.577377|146.8979,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
55,33,35,921.7956|8.171879|205.1171,916.5878|8.171879|187.5143,908.4469|8.672092|163.6686,916.366|8.68166|144.3591,924.3935|9.100338|134.9815,932.2709|8.171879|125.7827,943.2482|8.171879|117.8295,953.8225|8.314873|113.8274,959.3986|7.99191|122.7644,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
56,34,36,1117.982|8.577377|146.8979,1110.151|8.577377|132.6504,1102.499|8.577377|124.8511,1091.815|8.847591|114.5939,1081.442|9.097969|94.94058,1069.333|9.531353|82.31802,1054.259|8.577377|69.35655,1043.206|8.577377|61.73261,1030.149|8.577377|58.13722,1014.112|7.286771|50.64017,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
57,35,36,959.3986|7.99191|122.7644,948.4009|7.99191|111.551,926.2176|7.99191|102.2263,921.3871|8.581586|86.39719,924.7566|9.077832|70.20495,929.2101|9.035878|52.40223,949.6229|7.027268|40.19069,972.3484|7.15429|43.0236,985.8396|7.195931|40.98438,999.8932|9.546315|41.54472,1014.112|7.286771|50.64017,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
58,8,37,542.0234|9.096799|300.5534,561.9369|8.133252|291.826,578.7643|7.985005|278.4151,589.8173|8.133237|253.9526,612.9489|7.836773|238.4731,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
59,37,24,616.323|7.836773|236.731,632.8193|8.207356|224.6562,674.1112|7.985013|209.8416,682.0901|7.985005|204.6182,712.8679|7.985013|173.0952,726.6553|8.207364|166.4474,765.2694|9.568803|136.9917,781.1441|9.096799|122.9912,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
60,15,37,663.9528|9.096799|272.5629,641.7475|7.938957|253.1555,615.4639|8.675926|239.0984,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
61,11,37,417.6339|9.305837|174.9138,427.3354|9.305837|161.4189,440.6934|8.632416|155.4794,443.723|8.711205|152.1431,474.834|8.564972|161.6733,507.6021|8.822239|164.8248,547.8427|8.404007|169.1565,584.3022|8.421173|188.5893,596.2545|8.39436|202.2411,602.0697|8.454037|223.7788,613.4491|9.16235|237.2186,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
62,12,37,552.4588|9.305837|59.13686,537.5021|9.543034|54.87371,505.2816|8.46245|73.67162,486.5944|10.49251|97.61645,453.1409|8.454439|129.2538,443.723|8.711205|152.1431,474.834|8.564972|161.6733,507.6021|8.822239|164.8248,547.8427|8.404007|169.1565,584.3022|8.421173|188.5893,596.2545|8.39436|202.2411,602.0697|8.454037|223.7788,613.4491|9.16235|237.2186,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
63,16,37,663.8104|9.305837|92.82585,670.107|9.305836|109.9108,678.8212|9.305836|143.2207,663.1219|9.305836|184.2328,672.9337|9.305836|211.0993,631.1307|9.305836|228.8456,613.456|9.305836|238.1282,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
