ID,胜场,机器人1,机器人2,机器人3,机器人4,机器人5,强度提升百分比,卡池
72,7,338,449,387,428,368,85,5
73,8,314,334,256,390,457,90,5
74,9,437,343,361,387,441,95,5
75,10,367,343,458,387,449,100,5
76,11,335,383,379,387,438,105,5
77,12,338,449,387,428,368,110,5
78,13,314,334,256,390,457,115,5
79,14,437,343,361,387,441,120,5
80,15,260,449,458,387,441,125,5
81,0,314,423,411,407,343,30,6
82,1,348,446,437,361,343,35,6
83,2,335,383,379,438,374,40,6
84,3,342,424,446,348,277,65,6
85,4,449,387,338,367,428,70,6
86,5,265,305,285,386,324,75,6
87,6,265,387,441,445,437,80,6
88,7,260,335,441,321,383,85,6
89,8,314,423,411,407,334,90,6
90,9,348,446,437,361,343,95,6
91,10,335,383,379,438,374,100,6
92,11,342,424,446,348,277,105,6
93,12,449,387,338,367,428,110,6
94,13,265,305,285,386,324,115,6
95,14,265,387,441,445,437,120,6
96,15,260,335,441,321,383,125,6
97,0,314,423,411,407,343,30,7
98,1,348,446,437,361,343,35,7
99,2,335,383,379,438,374,40,7
100,3,342,424,446,348,277,80,7
101,4,449,387,338,367,428,85,7
102,5,265,305,285,386,324,90,7
103,6,265,387,441,445,437,95,7
104,7,260,335,441,321,383,100,7
105,8,314,423,411,407,334,105,7
106,9,348,446,437,361,343,110,7
107,10,335,383,379,438,374,115,7
108,11,342,424,446,348,277,120,7
109,12,449,387,338,367,428,125,7
110,13,265,305,285,386,324,130,7
111,14,265,387,441,445,437,135,7
112,15,260,335,441,321,383,150,7
113,0,314,423,411,,,30,8
114,1,348,446,437,,,35,8
115,2,335,383,379,,,40,8
116,3,342,348,446,,,65,8
117,4,449,387,338,,,70,8
118,5,265,305,285,,,75,8
119,6,265,387,441,,,80,8
120,7,260,335,441,,,85,8
121,8,314,423,411,,,90,8
122,9,348,446,437,,,95,8
123,10,335,383,379,,,100,8
124,11,342,424,446,,,105,8
125,12,449,387,338,,,110,8
126,13,265,305,285,,,115,8
127,14,265,387,441,,,120,8
128,15,260,335,441,,,125,8
129,0,248,301,44,206,375,30,9
130,1,246,48,250,204,135,35,9
131,2,253,326,9,302,69,40,9
132,3,1,5,345,246,316,65,9
133,4,2,4,13,22,24,70,9
134,5,9,10,36,55,69,75,9
135,6,19,34,44,206,375,80,9
136,7,13,26,74,345,315,85,9
137,8,1,5,7,8,25,90,9
138,9,2,4,18,22,315,95,9
139,10,2,4,13,22,24,100,9
140,11,9,10,36,55,69,105,9
141,12,19,34,44,206,375,110,9
142,13,13,26,74,345,315,115,9
143,14,1,5,7,8,25,120,9
144,15,2,4,18,22,315,125,9
145,0,248,301,44,206,375,30,10
146,1,246,48,250,204,135,35,10
147,2,253,326,9,302,69,40,10
148,3,1,5,345,246,316,80,10
149,4,2,4,13,22,24,85,10
150,5,9,10,36,55,69,90,10
151,6,19,34,44,206,375,95,10
152,7,13,26,74,345,315,100,10
153,8,1,5,7,8,25,105,10
154,9,2,4,18,22,315,110,10
155,10,2,4,13,22,24,115,10
156,11,9,10,36,55,69,120,10
157,12,19,34,44,206,375,125,10
158,13,13,26,74,345,315,130,10
159,14,1,5,7,8,25,135,10
160,15,2,4,18,22,315,150,10
161,0,206,301,44,,,30,11
162,1,246,48,250,,,35,11
163,2,253,326,9,,,40,11
164,3,1,5,316,,,65,11
165,4,2,4,22,,,70,11
166,5,9,10,36,,,75,11
167,6,19,206,44,,,80,11
168,7,13,345,74,,,85,11
169,8,1,5,8,,,90,11
170,9,2,22,18,,,95,11
171,10,2,4,13,,,100,11
172,11,9,10,36,,,105,11
173,12,19,34,44,,,110,11
174,13,13,26,74,,,115,11
175,14,1,5,8,,,120,11
176,15,2,22,18,,,125,11
177,0,314,423,411,407,256,30,12
178,1,387,441,437,361,343,35,12
179,2,335,383,379,438,374,40,12
180,3,378,357,321,441,272,65,12
181,4,449,387,338,367,428,70,12
182,5,272,321,339,441,357,75,12
183,6,260,335,441,321,383,80,12
184,7,335,383,379,438,374,85,12
185,8,314,423,411,407,256,90,12
186,9,387,441,437,361,343,95,12
187,10,335,383,379,438,374,100,12
188,11,378,357,321,441,272,105,12
189,12,449,387,338,367,428,110,12
190,13,272,321,339,441,357,115,12
191,14,335,383,379,438,374,120,12
192,15,260,335,441,321,383,125,12
193,0,314,423,411,407,256,30,13
194,1,387,441,437,361,343,35,13
195,2,335,383,379,438,374,40,13
196,3,378,357,321,441,272,80,13
197,4,449,387,338,367,428,85,13
198,5,272,321,339,441,357,90,13
199,6,260,335,441,321,383,95,13
200,7,335,383,379,438,374,100,13
201,8,314,423,411,407,256,105,13
202,9,387,441,437,361,343,110,13
203,10,335,383,379,438,374,115,13
204,11,378,357,321,441,272,120,13
205,12,449,387,338,367,428,125,13
206,13,272,321,339,441,357,130,13
207,14,335,383,379,438,374,135,13
208,15,260,335,441,321,383,150,13
209,0,314,423,411,,,30,14
210,1,387,423,437,,,35,14
211,2,335,383,379,,,40,14
212,3,382,374,357,,,65,14
213,4,449,387,338,,,70,14
214,5,272,441,339,,,75,14
215,6,260,335,441,,,80,14
216,7,335,383,379,,,85,14
217,8,314,423,411,,,90,14
218,9,387,423,437,,,95,14
219,10,335,383,379,,,100,14
220,11,382,374,357,,,105,14
221,12,449,387,338,,,110,14
222,13,272,441,339,,,115,14
223,14,335,383,379,,,120,14
224,15,260,335,441,,,125,14
225,0,264,324,285,450,367,30,15
226,1,367,343,449,445,387,35,15
227,2,338,387,368,449,428,40,15
228,3,305,387,445,438,449,65,15
229,4,437,446,343,361,348,70,15
230,5,424,342,348,446,277,75,15
231,6,437,446,424,342,445,80,15
232,7,264,324,285,450,367,85,15
233,8,367,343,449,445,387,90,15
234,9,338,387,368,449,428,95,15
235,10,305,387,445,438,449,100,15
236,11,437,446,343,361,348,105,15
237,12,424,342,348,446,277,110,15
238,13,437,446,424,342,445,115,15
239,14,305,387,445,438,449,120,15
240,15,437,446,424,342,445,125,15
241,0,264,324,285,450,367,30,16
242,1,367,343,449,445,387,35,16
243,2,338,387,368,449,428,40,16
244,3,305,387,445,438,449,80,16
245,4,437,268,343,361,348,85,16
246,5,424,342,348,446,277,90,16
247,6,437,446,424,342,445,95,16
248,7,264,324,285,450,367,100,16
249,8,367,343,449,445,387,105,16
250,9,338,387,368,449,428,110,16
251,10,305,387,445,438,449,115,16
252,11,437,268,343,361,348,120,16
253,12,424,342,348,446,277,125,16
254,13,437,446,424,342,445,130,16
255,14,305,387,445,438,449,135,16
256,15,437,446,424,342,445,150,16
257,0,264,324,285,,,30,17
258,1,367,343,449,,,35,17
259,2,338,387,449,,,40,17
260,3,305,387,445,,,65,17
261,4,437,348,343,,,70,17
262,5,424,342,446,,,75,17
263,6,437,446,424,,,80,17
264,7,264,324,285,,,85,17
265,8,367,343,449,,,90,17
266,9,338,387,449,,,95,17
267,10,305,387,445,,,100,17
268,11,437,348,343,,,105,17
269,12,424,342,446,,,110,17
270,13,437,446,424,,,115,17
271,14,305,387,445,,,120,17
272,15,437,446,424,,,125,17
273,0,256,313,334,374,391,30,18
274,1,293,411,432,390,374,35,18
275,2,458,314,334,335,453,40,18
276,3,257,412,415,453,431,65,18
277,4,335,379,383,441,458,70,18
278,5,378,441,453,374,357,75,18
279,6,272,321,382,335,379,80,18
280,7,260,335,339,458,441,85,18
281,8,256,313,334,314,391,90,18
282,9,293,411,432,390,374,95,18
283,10,458,314,334,335,453,100,18
284,11,257,412,415,453,431,105,18
285,12,335,379,383,441,458,110,18
286,13,378,441,453,374,357,115,18
287,14,272,321,382,335,379,120,18
288,15,260,335,339,458,441,125,18
289,0,256,313,334,374,391,30,19
290,1,293,411,432,390,374,35,19
291,2,458,314,334,335,453,40,19
292,3,257,412,415,453,431,80,19
293,4,335,379,383,441,458,85,19
294,5,378,441,453,374,357,90,19
295,6,272,321,382,335,379,95,19
296,7,260,335,339,458,441,100,19
297,8,256,313,334,314,391,105,19
298,9,293,411,432,390,374,110,19
299,10,458,314,334,335,453,115,19
300,11,257,412,415,453,431,120,19
301,12,335,379,383,441,458,125,19
302,13,378,441,453,374,357,130,19
303,14,272,321,382,335,379,135,19
304,15,260,335,339,458,441,150,19
305,0,256,313,334,,,30,20
306,1,293,411,374,,,35,20
307,2,458,314,334,,,40,20
308,3,257,431,453,,,65,20
309,4,335,379,383,,,70,20
310,5,378,441,453,,,75,20
311,6,272,321,382,,,80,20
312,7,260,335,339,,,85,20
313,8,256,313,334,,,90,20
314,9,293,411,374,,,95,20
315,10,458,314,334,,,100,20
316,11,257,431,453,,,105,20
317,12,335,379,383,,,110,20
318,13,378,441,453,,,115,20
319,14,272,321,382,,,120,20
320,15,260,335,339,,,125,20
