序号,掉落包ID,属性ID,几率
144,403,18,0.05
145,404,5,0.05
146,404,10,0.2
147,404,3,0.2
148,404,6,0.05
149,404,0,0.2
150,404,15,0.05
151,404,16,0.05
152,404,15,0.05
153,404,18,0.05
154,405,5,0.05
155,405,12,0.2
156,405,4,0.2
157,405,6,0.05
158,405,1,0.2
159,405,15,0.05
160,405,16,0.05
161,405,15,0.05
162,405,18,0.05
163,406,5,0.05
164,406,9,0.2
165,406,6,0.05
166,406,2,0.2
167,406,15,0.05
168,406,16,0.05
169,406,15,0.05
170,406,18,0.05
171,407,10,0.2
172,407,3,0.2
173,407,6,0.1
174,407,2,0.2
175,407,15,0.05
176,407,16,0.05
177,407,15,0.05
178,407,18,0.05
179,408,12,0.2
180,408,4,0.2
181,408,6,0.1
182,408,0,0.2
183,408,15,0.05
184,408,16,0.05
185,408,15,0.05
186,408,18,0.05
187,409,9,0.2
188,409,6,0.1
189,409,1,0.2
190,409,15,0.05
191,409,16,0.05
192,409,15,0.05
193,409,18,0.05
194,410,10,0.18
195,410,3,0.18
196,410,6,0.1
197,410,1,0.18
198,410,15,0.06
199,410,16,0.06
200,410,15,0.06
201,410,18,0.06
202,411,12,0.18
203,411,4,0.18
204,411,6,0.1
205,411,2,0.18
206,411,15,0.06
207,411,16,0.06
208,411,15,0.06
209,411,18,0.06
210,412,9,0.18
211,412,6,0.1
212,412,0,0.18
213,412,15,0.06
214,412,16,0.06
215,412,15,0.06
216,412,18,0.06
217,413,10,0.18
218,413,3,0.18
219,413,6,0.1
220,413,0,0.18
221,413,15,0.06
222,413,16,0.06
223,413,15,0.06
224,413,18,0.06
225,414,12,0.18
226,414,4,0.18
227,414,6,0.1
228,414,1,0.18
229,414,15,0.06
230,414,16,0.06
231,414,15,0.06
232,414,18,0.06
233,415,9,0.18
234,415,6,0.1
235,415,2,0.18
236,415,15,0.06
237,415,16,0.06
238,415,15,0.06
239,415,18,0.06
240,416,10,0.18
241,416,3,0.18
242,416,6,0.1
243,416,2,0.18
244,416,15,0.06
245,416,16,0.06
246,416,15,0.06
247,416,18,0.06
248,417,12,0.18
249,417,4,0.18
250,417,6,0.1
251,417,0,0.18
252,417,15,0.06
253,417,16,0.06
254,417,15,0.06
255,417,18,0.06
256,418,9,0.18
257,418,6,0.1
258,418,1,0.18
259,418,15,0.06
260,418,16,0.06
261,418,15,0.06
262,418,18,0.06
263,419,14,0.01
264,419,5,0.03
265,419,10,0.03
266,419,3,0.1
267,419,9,0.03
268,419,12,0.03
269,419,4,0.1
270,419,6,0.03
271,419,1,0.03
272,419,0,0.03
273,419,2,0.03
274,419,16,0.11
275,419,17,0.11
276,419,15,0.11
277,419,18,0.11
278,419,13,0.11
279,20000,0,0.2
280,20000,1,0.2
281,20000,2,0.2
282,20000,3,0.2
283,20000,4,0.2
284,30000,0,0.08
285,30000,1,0.08
286,30000,2,0.08
287,30000,3,0.08
288,30000,4,0.08
289,30000,5,0.09
290,30000,6,0.09
291,30000,5,0.08
292,30000,6,0.09
293,30000,9,0.09
294,30000,10,0.08
295,40000,0,0.13
296,40000,1,0.13
297,40000,2,0.13
298,40000,6,0.13
299,40000,9,0.12
300,40000,10,0.12
301,40000,12,0.12
302,40000,13,0.12
303,50000,0,0.08
304,50000,1,0.08
305,50000,2,0.08
306,50000,6,0.08
307,50000,9,0.08
308,50000,10,0.09
309,50000,12,0.09
310,50000,13,0.08
311,50000,15,0.09
312,50000,16,0.09
313,50000,17,0.08
314,50000,18,0.08
315,60000,10,1
316,7000100,10,1
317,7000110,16,1
318,7000200,9,1
319,7000210,17,1
320,7000300,12,1
321,7000310,13,1
322,7000400,0,1
323,7000410,18,1
324,7000500,1,1
325,7000510,15,1
326,7000600,2,1
327,7000700,3,1
328,7000710,4,1
