序号,技能名,所需士气,过载时间,激活被动技能,特效名称,释放特效(第三系),天气ID,召唤技能ID(0无召唤技能),召唤武将,扩展类型(0:无效|1：智力|2：武力|3：兵力|4：智力目标数影响|5：武力目标数影响|13：兵力目标数影响),扩展条件ID,目标(0友方|1敌方),显示类型|1:强化|2:弱化|3:恢复|4:火计|5:落雷|6:号令|7:无双|8:毒计|9:巨石|10:风阵|11:玄冰|12:冰降|14:天变|15:召唤|16:将魂|17:护盾,伤害类型|1:物理|3:肉搏|4:突击|5:迎击|6:枪击|7:射击|8:贯射|51:武力技能伤害|101:魔法|151:技能伤害|152:火伤|153:雷伤|154:冰伤|155:毒伤|202:PK,类型,范围,持续时间,速度取值,治疗取值,杀伤取值1,杀伤取值2,攻防改变,智力改变,是否包含特殊技,特殊技类型,特殊技参数,指挥技能ID,加成方式（0标量，1系数）,加成参考目标（0：字面值 ，其他：SkillTarget）,持续时间受智力影响系数,可叠加技能,可受将魂技能影响持续时间,过载时间,激活被动技能,特效名称,天气ID,召唤技能ID(0无召唤技能),召唤武将,扩展类型,扩展条件ID,目标(0友方|1敌方),显示类型|1:强化|2:弱化|3:恢复|4:火计|5:落雷|6:号令|7:无双|8:毒计|9:巨石|10:风阵|11:玄冰|12:冰降|,伤害类型|1:物理|3:肉搏|4:突击|5:迎击|6:枪击|7:射击|8:贯射|51:武力技能伤害|101:魔法|151:技能伤害|152:火伤|153:雷伤|154:冰伤|155:毒伤|202:PK,类型,范围,持续时间,速度取值,治疗取值,杀伤取值1,杀伤取值2,攻防改变,智力改变,是否包含特殊技,特殊技类型,特殊技参数,指挥技能ID,加成方式（0标量，1系数）,加成参考目标（0：字面值 ，其他：SkillTarget）,持续时间受智力影响系数,可叠加技能,可受将魂技能影响持续时间,技能简述,技能说明
id,strName,fNeedMoral,nMainOverload,nMainPassiveSkill,strMainFX,strCastFx,nWeatherID,nArrEquipEffectID,strSummonWarrior,nExType,nExCondition,nMainTarget,nMainDisplayType,nDamageType,nMainType,nMainRange,nMainLifeRound,fMainSpeed,fMainBaseCureValue,fMainBaseDamageValue1,fMainBaseDamageValue2,fMainForceEffect,fMainIntelligenceEffect,nMainContainSpecialSkill,nMainSpecialSkillType,strMainSpecialSkillParam,nMainCommanderSkillID,nMainEffectType,nMainRefTarget,fMainLifeRoundOnIntelligence,nMainOnRepeat,nMainLifeRoundOnJianghun,nSubOverload,nSubPassiveSkill,strSubFX,nSubWeatherID,nArrSubEquipEffectID,strSubSummonWarrior,nSubExType,nExSubCondition,nSubTarget,nSubDisplayType,nSubDamageType,nSubType,nSubRange,nSubLifeRound,fSubSpeed,fSubBaseCureValue,fSubBaseDamageValue1,fSubBaseDamageValue2,fSubForceEffect,fSubIntelligenceEffect,nSubContainSpecialSkill,nSubSpecialSkillType,strSubSpecialSkillParam,nSubCommanderSkillID,nSubEffectType,nSubRefTarget,fSubLifeRoundOnIntelligence,nSubOnRepeat,nSubLifeRoundOnJianghun,strBrife,strDesc
int,string,float,int,int,string,string,int,int[3],string,int,int,int,int,int,int,int,int,float,float,float,float,float,float,int,int,string,int,int,int,float,int,int,int,int,string,int,int[3],string,int,int,int,int,int,int,int,int,float,float,float,float,float,float,int,int,string,int,int,int,float,int,int,string,string
10013,鬼·霸者求心,5,0,0,Battlefield/SkillfxStrengthen_Prefab,,0,0|0|0,0,1,0,0,6,0,1,14,8,1.3,0,0,0,1.45,1,0,0,null,0,1,1,1,0,1,0,0,0,0,0|0|0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,null,0,1,1,1,0,1,己方全体魏国部队武力强化并加速,己方全体魏国部队武力值提高[fed655]45%[-]，移动速度提高[fed655]30%[-]，持续[fed655][duration][-]秒
10014,神·霸者求心,5,0,0,Battlefield/SkillfxStrengthen_Prefab,,0,0|0|0,0,1,0,0,6,0,1,14,8,1.4,0,0,0,1.55,1,0,0,null,0,1,1,1,0,1,0,0,0,0,0|0|0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,null,0,1,1,1,0,1,己方全体魏国部队武力强化并加速,己方全体魏国部队武力值提高[fed655]55%[-]，移动速度提高[fed655]40%[-]，持续[fed655][duration][-]秒
10041,长坂坡之勇,3,0,0,Battlefield/SkillfxStrengthen_Prefab,,0,0|0|0,0,1,0,0,1,0,1,1,8,1.3,0.0348,0,0,1.4,1,0,0,null,0,1,1,1,0,1,0,0,0,0,0|0|0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,null,0,1,1,1,0,1,自身武力强化并加速，且持续恢复生命值,自身武力值提高[fed655]40%[-]，移动速度提高[fed655]30%[-]，并每秒恢复[fed655][cure_param][-]点生命值，持续[fed655][duration][-]秒
10042,真·长坂坡之勇,3,0,0,Battlefield/SkillfxStrengthen_Prefab,,0,0|0|0,0,1,0,0,1,0,1,1,10,1.5,0.0412,0,0,1.4,1,0,0,null,0,1,1,1,0,1,0,0,0,0,0|0|0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,null,0,1,1,1,0,1,自身武力强化并加速，且持续恢复生命值,自身武力值提高[fed655]40%[-]，移动速度提高[fed655]50%[-]，并每秒恢复[fed655][cure_param][-]点生命值，持续[fed655][duration][-]秒
10043,鬼·长坂坡之勇,3,0,0,Battlefield/SkillfxStrengthen_Prefab,,0,0|0|0,0,1,0,0,1,0,1,1,14,1.5,0.044,0,0,1.44,1,0,0,null,0,1,1,1,0,1,0,0,0,0,0|0|0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,null,0,1,1,1,0,1,自身武力强化并加速，且持续恢复生命值,自身武力值提高[fed655]44%[-]，移动速度提高[fed655]50%[-]，并每秒恢复[fed655][cure_param][-]点生命值，持续[fed655][duration][-]秒
10044,神·长坂坡之勇,3,0,0,Battlefield/SkillfxStrengthen_Prefab,,0,0|0|0,0,1,0,0,1,0,1,1,14,1.5,0.0452,0,0,1.54,1,0,0,null,0,1,1,1,0,1,0,0,0,0,0|0|0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,null,0,1,1,1,0,1,自身武力强化并加速，且持续恢复生命值,自身武力值提高[fed655]54%[-]，移动速度提高[fed655]50%[-]，并每秒恢复[fed655][cure_param][-]点生命值，持续[fed655][duration][-]秒
10061,江东之君,6,0,0,Battlefield/SkillfxStrengthen_Prefab,,0,0|0|0,0,1,0,0,6,0,1,16,10,1,0,0,0,1.4,1.4,0,0,null,0,1,1,1,0,1,0,0,0,0,0|0|0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,null,0,1,1,1,0,1,己方全体吴国部队武力强化智力强化,己方全体吴国部队武力值提高[fed655]40%[-]，智力值提高[fed655]40%[-]，持续[fed655][duration][-]秒
10062,真·江东之君,6,0,0,Battlefield/SkillfxStrengthen_Prefab,,0,0|0|0,0,1,0,0,6,0,1,16,14,1,0,0,0,1.4,1.5,0,0,null,0,1,1,1,0,1,0,0,0,0,0|0|0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,null,0,1,1,1,0,1,己方全体吴国部队武力强化智力强化,己方全体吴国部队武力值提高[fed655]40%[-]，智力值提高[fed655]50%[-]，持续[fed655][duration][-]秒
10063,鬼·江东之君,5,0,0,Battlefield/SkillfxStrengthen_Prefab,,0,0|0|0,0,1,0,0,6,0,1,16,14,1,0,0,0,1.4,1.5,0,0,null,0,1,1,1,0,1,0,0,0,0,0|0|0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,null,0,1,1,1,0,1,己方全体吴国部队武力强化智力强化,己方全体吴国部队武力值提高[fed655]40%[-]，智力值提高[fed655]50%[-]，持续[fed655][duration][-]秒
10064,神·江东之君,5,0,0,Battlefield/SkillfxStrengthen_Prefab,,0,0|0|0,0,1,0,0,6,0,1,16,14,1,0,0,0,1.45,1.65,0,0,null,0,1,1,1,0,1,0,0,0,0,0|0|0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,null,0,1,1,1,0,1,己方全体吴国部队武力强化智力强化,己方全体吴国部队武力值提高[fed655]45%[-]，智力值提高[fed655]65%[-]，持续[fed655][duration][-]秒
10081,大红莲疾风,6,0,0,Battlefield/SkillfxStrengthen_Prefab,,0,0|0|0,0,1,0,0,6,0,1,13,10,1.3,0,0,0,1.32,1,0,0,null,0,1,1,1,0,1,0,0,0,0,0|0|0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,null,0,1,1,1,0,1,己方全体骑兵部队武力强化并加速,己方全体骑兵部队武力值提高[fed655]32%[-]，移动速度提高[fed655]30%[-]，持续[fed655][duration][-]秒
10082,真·大红莲疾风,4,0,0,Battlefield/SkillfxStrengthen_Prefab,,0,0|0|0,0,1,0,0,6,0,1,13,10,1.4,0,0,0,1.32,1,0,0,null,0,1,1,1,0,1,0,0,0,0,0|0|0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,null,0,1,1,1,0,1,己方全体骑兵部队武力强化并加速,己方全体骑兵部队武力值提高[fed655]32%[-]，移动速度提高[fed655]40%[-]，持续[fed655][duration][-]秒
10083,鬼·大红莲疾风,4,0,0,Battlefield/SkillfxStrengthen_Prefab,,0,0|0|0,0,1,0,0,6,0,1,13,14,1.4,0,0,0,1.32,1,0,0,null,0,1,1,1,0,1,0,0,0,0,0|0|0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,null,0,1,1,1,0,1,己方全体骑兵部队武力强化并加速,己方全体骑兵部队武力值提高[fed655]32%[-]，移动速度提高[fed655]40%[-]，持续[fed655][duration][-]秒
10084,神·大红莲疾风,4,0,0,Battlefield/SkillfxStrengthen_Prefab,,0,0|0|0,0,1,0,0,6,0,1,13,14,1.5,0,0,0,1.42,1,0,0,null,0,1,1,1,0,1,0,0,0,0,0|0|0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,null,0,1,1,1,0,1,己方全体骑兵部队武力强化并加速,己方全体骑兵部队武力值提高[fed655]42%[-]，移动速度提高[fed655]50%[-]，持续[fed655][duration][-]秒
10091,轰鸣强弓,6,0,0,Battlefield/SkillfxStrengthen_Prefab,,0,0|0|0,0,1,0,0,6,0,1,12,5,1,0,0,0,1.5,1,0,0,null,0,1,1,1,0,1,0,0,Battlefield/SkillfxStrengthen_Prefab,0,0|0|0,0,1,0,0,6,0,1,6,5,1,0,0,0,1.1,1,0,0,null,0,1,1,1,0,1,己方全体弓兵部队武力强化，距离自己最远的己方部队武力强化,己方全体弓兵部队武力值提高[fed655]50%[-]，同时距离自己最远的己方部队武力值提高[fed655]10%[-]，持续[fed655][duration][-]秒
10092,真·轰鸣强弓,4,0,0,Battlefield/SkillfxStrengthen_Prefab,,0,0|0|0,0,1,0,0,6,0,1,12,5,1,0,0,0,1.5,1,0,0,null,0,1,1,1,0,1,0,0,Battlefield/SkillfxStrengthen_Prefab,0,0|0|0,0,1,0,0,6,0,1,6,5,1,0,0,0,1.1,1,0,0,null,0,1,1,1,0,1,己方全体弓兵部队武力强化，距离自己最远的己方部队武力强化,己方全体弓兵部队武力值提高[fed655]50%[-]，同时距离自己最远的己方部队武力值提高[fed655]10%[-]，持续[fed655][duration][-]秒
10093,鬼·轰鸣强弓,4,0,0,Battlefield/SkillfxStrengthen_Prefab,,0,0|0|0,0,1,0,0,6,0,1,12,7,1,0,0,0,1.55,1,0,0,null,0,1,1,1,0,1,0,0,Battlefield/SkillfxStrengthen_Prefab,0,0|0|0,0,1,0,0,6,0,1,6,7,1,0,0,0,1.15,1,0,0,null,0,1,1,1,0,1,己方全体弓兵部队武力强化，距离自己最远的己方部队武力强化,己方全体弓兵部队武力值提高[fed655]55%[-]，同时距离自己最远的己方部队武力值提高[fed655]15%[-]，持续[fed655][duration][-]秒
10094,神·轰鸣强弓,4,0,0,Battlefield/SkillfxStrengthen_Prefab,,0,0|0|0,0,1,0,0,6,0,1,12,7,1,0,0,0,1.65,1,0,0,null,0,1,1,1,0,1,0,0,Battlefield/SkillfxStrengthen_Prefab,0,0|0|0,0,1,0,0,6,0,1,6,7,1,0,0,0,1.2,1,0,0,null,0,1,1,1,0,1,己方全体弓兵部队武力强化，距离自己最远的己方部队武力强化,己方全体弓兵部队武力值提高[fed655]65%[-]，同时距离自己最远的己方部队武力值提高[fed655]20%[-]，持续[fed655][duration][-]秒
10111,小霸王蛮勇,3,0,0,Battlefield/SkillfxStrengthen_Prefab,,0,0|0|0,0,1,0,0,1,0,5,1,8,1,0.0228,0,0,1.5,1,0,0,null,0,1,1,1,0,1,0,0,0,0,0|0|0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,null,0,1,1,1,0,1,自身武力强化，并持续恢复生命值,自身武力值提高[fed655]50%[-]，并每秒恢复[fed655][cure_param][-]点生命值，持续[fed655][duration][-]秒
10112,真·小霸王蛮勇,3,0,0,Battlefield/SkillfxStrengthen_Prefab,,0,0|0|0,0,1,0,0,1,0,5,1,8,1,0.0328,0,0,1.5,1,0,0,null,0,1,1,1,0,1,0,0,0,0,0|0|0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,null,0,1,1,1,0,1,自身武力强化，并持续恢复生命值,自身武力值提高[fed655]50%[-]，并每秒恢复[fed655][cure_param][-]点生命值，持续[fed655][duration][-]秒
10113,鬼·小霸王蛮勇,3,0,0,Battlefield/SkillfxStrengthen_Prefab,,0,0|0|0,0,1,0,0,1,0,5,1,12,1,0.044,0,0,1.5,1,0,0,null,0,1,1,1,0,1,0,0,0,0,0|0|0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,null,0,1,1,1,0,1,自身武力强化，并持续恢复生命值,自身武力值提高[fed655]50%[-]，并每秒恢复[fed655][cure_param][-]点生命值，持续[fed655][duration][-]秒
10114,神·小霸王蛮勇,3,0,0,Battlefield/SkillfxStrengthen_Prefab,,0,0|0|0,0,1,0,0,7,0,5,1,12,1,0.0552,0,0,1.6,1,0,0,null,0,1,1,1,0,1,0,0,0,0,0|0|0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,null,0,1,1,1,0,1,自身武力强化，并持续恢复生命值,自身武力值提高[fed655]60%[-]，并每秒恢复[fed655][cure_param][-]点生命值，持续[fed655][duration][-]秒
10131,白银狮子,3,0,0,Battlefield/SkillfxStrengthen_Prefab,,0,0|0|0,0,1,0,0,7,0,1,1,8,1.2,0,0,0,1.6,1,0,0,null,0,1,1,1,0,1,0,0,0,0,0|0|0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,null,0,1,1,1,0,1,自身武力强化并加速,自身武力值提高[fed655]60%[-]，移动速度提高[fed655]20%[-]，持续[fed655][duration][-]秒
10132,真·白银狮子,3,0,0,Battlefield/SkillfxStrengthen_Prefab,,0,0|0|0,0,1,0,0,7,0,1,1,10,1.3,0,0,0,1.6,1,0,0,null,0,1,1,1,0,1,0,0,0,0,0|0|0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,null,0,1,1,1,0,1,自身武力强化并加速,自身武力值提高[fed655]60%[-]，移动速度提高[fed655]30%[-]，持续[fed655][duration][-]秒
10133,鬼·白银狮子,3,0,0,Battlefield/SkillfxStrengthen_Prefab,,0,0|0|0,0,1,0,0,7,0,1,1,14,1.3,0,0,0,1.65,1,0,0,null,0,1,1,1,0,1,0,0,0,0,0|0|0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,null,0,1,1,1,0,1,自身武力强化并加速,自身武力值提高[fed655]65%[-]，移动速度提高[fed655]30%[-]，持续[fed655][duration][-]秒
10134,神·白银狮子,3,0,0,Battlefield/SkillfxStrengthen_Prefab,,0,0|0|0,0,1,0,0,7,0,1,1,14,1.4,0,0,0,1.75,1,0,0,null,0,1,1,1,0,1,0,0,0,0,0|0|0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,null,0,1,1,1,0,1,自身武力强化并加速,自身武力值提高[fed655]75%[-]，移动速度提高[fed655]40%[-]，持续[fed655][duration][-]秒
10141,先主威仪,6,0,0,Battlefield/SkillfxStrengthen_Prefab,,0,0|0|0,0,1,0,0,6,0,1,16,8,1,0,0,0,1.4,1.4,0,0,null,0,1,1,1,0,1,0,0,0,0,0|0|0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,null,0,1,1,1,0,1,己方全体吴国部队武力强化智力强化,己方全体吴国部队武力值提高[fed655]40%[-]，智力值提高[fed655]40%[-]，持续[fed655][duration][-]秒
10142,真·先主威仪,6,0,0,Battlefield/SkillfxStrengthen_Prefab,,0,0|0|0,0,1,0,0,6,0,1,16,8,1,0,0,0,1.45,1.4,0,0,null,0,1,1,1,0,1,0,0,0,0,0|0|0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,null,0,1,1,1,0,1,己方全体吴国部队武力强化智力强化,己方全体吴国部队武力值提高[fed655]45%[-]，智力值提高[fed655]40%[-]，持续[fed655][duration][-]秒
10143,鬼·先主威仪,5,0,0,Battlefield/SkillfxStrengthen_Prefab,,0,0|0|0,0,1,0,0,6,0,1,16,8,1,0,0,0,1.45,1.4,0,0,null,0,1,1,1,0,1,0,0,0,0,0|0|0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,null,0,1,1,1,0,1,己方全体吴国部队武力强化智力强化,己方全体吴国部队武力值提高[fed655]45%[-]，智力值提高[fed655]40%[-]，持续[fed655][duration][-]秒
10144,神·先主威仪,5,0,0,Battlefield/SkillfxStrengthen_Prefab,,0,0|0|0,0,1,0,0,6,0,1,16,8,1,0,0,0,1.55,1.45,0,0,null,0,1,1,1,0,1,0,0,0,0,0|0|0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,null,0,1,1,1,0,1,己方全体吴国部队武力强化智力强化,己方全体吴国部队武力值提高[fed655]55%[-]，智力值提高[fed655]45%[-]，持续[fed655][duration][-]秒
10151,古之恶来,3,0,0,Battlefield/SkillfxStrengthen_Prefab,,0,0|0|0,0,1,0,0,7,151,9,1,8,1,0,0.099,-4.41,2.2,1,0,0,null,0,1,1,1,0,1,0,0,0,0,0|0|0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,null,0,1,1,1,0,1,自身武力强化但持续损失生命值,自身武力值提高[fed655]120%[-]，但每秒损失基础[fed655][dmg_param][-]点生命值，持续[fed655][duration][-]秒
