序号,处理端(1服务器2客户端),命令,功能描述,例子,备注,参数格式
76,1,upgradestone,,,,[i-pid]
77,1,restore_player_data,恢复玩家数据到指定时间点,,,[i-pid][i-from_id]
78,1,add_blood_card_soul_to_robot_pool,,,,[i-pid][i-blood][i-card_soul]
79,1,set_guild_war_round_and_stage,  ,,,[i-round][i-stage][i-stage_left_time]
80,1,set_guild_war_global_info,设置公会站全局信息,,,[i-master_id][i-max_round][i-guild_count]
81,1,clear_all_guild_war_info,,,,[i-guild_war_idx]
82,1,add_guild_war_entry,增加公会战报名券,,,[i-guild_id][i-add_entry]
83,1,set_guild_war_switch_flag,公会战控制模式控制,,,[i-switch_flag]
84,1,bid_guild_war,为公会战报名,,,[i-pid][i-bid_entry]
85,1,add_all_guild_war_entry,,,,[i-add_entry]
86,1,add_equipment,添加机关命令,,,[i-pid][i-eid]
87,1,add_res_ex,添加资源,,,[i-pid][i-type][i-value]
88,1,send_activity_event,,,,[i-pid][i-atype][i-etype][i-param1][i-param2][i-param3]
89,1,set_global_war_waiting_queue_size,设置全民大乱斗匹配队列等待长度,,,[i-count]
90,1,cc_broadcastseasonstate,,,,[i-dummy]
91,1,cc_createserverplayer,,,,[i-serverId][i-zhanli][i-from][i-count][i-electmoney]
92,1,cc_modifyplayerzhangong,,,,[i-gid][i-pid][i-zhangong]
93,1,cc_modifyplayerbingli,,,,[i-gid][i-pid][i-bingli]
94,1,cc_modifyplayercity,,,,[i-gid][i-pid][i-cid]
95,1,cc_modifyplayerqixie,,,,[i-gid][i-pid][i-ts][i-yt][i-cc]
96,1,cc_addplayerres,,,,[i-gid][i-pid][i-tie][i-mu][i-shi]
97,1,cc_addcitychengfang,增加城防、城防池,,,[i-gid][i-cid][i-chengfang][i-delay]
98,1,cc_addcityshanzei,,,,[i-gid][i-cid][i-value]
99,1,cc_modifycityfaction,,,,[i-gid][i-cid][i-faction]
100,1,cc_modifycitytuzhu,,,,[i-gid][i-cid][i-value]
101,1,cc_passperiod,,,,[i-gid][i-type][i-passperiod]
102,1,cc_modifygroupwinfaction,,,,[i-serverid]
103,1,cc_loadtestdata,,,,[i-pid][i-index][i-from_cnt][i-tar_cnt][i-chengfang][i-qixie_guanghuan][i-side]
104,1,cc_showdummyfinalreward,,,,[i-pid][i-zhangong][i-rank][i-junjie][i-citycnt]
105,1,deductmoney,,,,[i-pid][i-money]
106,1,deductamount,,,,[i-pid][i-amount][i-activityid]
107,1,runactivitytest,,,,[i-pid][s-filename]
108,1,broadcast_system_msg,,,,[s-content][i-channel]
109,1,addbook,,,,[i-pid][i-id][i-count]
110,1,getmanorres,,,,[i-pid]
111,1,resetdeployequip,,,,[i-pid]
112,1,delete_player_mail,,,,[i-pid][i-mialid]
113,1,set_challenge_max_level,,,,[i-pid][i-index][i-level]
114,1,set_equipment_res,,,,[i-pid][i-type][i-value]
115,1,bid_ranking_and_make_pair,,,,[i-groupid]
116,1,cc_addtopscore,,,,[i-gid][i-type][i-pid][i-score]
117,1,cc_dosave,,,,[i-gid]
118,1,add_friend,添加好友,,,[i-pid][i-target]
119,1,pr_setreturntype,,,,[i-pid][i-type]
120,1,pr_addprogress,,,,[i-pid][i-type][i-value]
121,1,pr_setcaller,,,,[i-from][i-target]
122,1,upgradejianghun,,,,[i-pid]
123,1,setjianghuninfo,,,,[i-pid][i-troop_pos][i-active][i-exp]
124,1,addcallertimes,,,,[i-pid][i-count]
125,1,cupteamclear,,,,[i-serverid]
126,1,sendmail,,,,[i-pid][i-csvid][i-serverid]
127,1,tt_save_offline_troops,,,,[i-dummy]
128,1,tt_trans_stage,,,,[i-dummy]
129,1,tt_clear_season_info,,,,[i-dummy]
130,1,tt_set_teamplayers,,,,[i-dummy]
131,1,tt_fetch_region_team,,,,[i-dummy]
132,1,change_name,改名,,,[i-pid][s-name]
133,1,setMonSignDayCount,设置月度签到次数,,,[i-pid][i-count]
134,1,doSign,模拟签到,,,[i-pid]
135,1,setarenapersonpoint,设置竞技场个人积分,,,[i-pid][i-value]
136,1,setarenarefreshcount,设置竞技场刷新次数,,,[i-pid][i-value]
137,1,tt_generate_trial_challmap,,,,[i-dummy]
138,1,help,列出GM指令的详细信息,,,[s-command]
139,1,make_tech_full_level,升满所有科技,,,[i-pid]
140,1,unlock_all_zuanshicard_jianghun,开启并升至满级所有钻石卡的将魂,,,[i-pid]
141,1,auto_fillup_bingshu,自动上满兵书（有什么上什么）,,功能尚未明确,[i-pid]
142,1,passlevel,设置普通/精英关卡星级通关至某一关,,type0普通关卡，type1精英关卡，level是CSVLevel中nSectionID，0-287,[i-pid][i-type][i-level][i-star]
143,1,set_arena_win_count,设置竞技场获胜次数,,,[i-pid][i-value]
144,1,set_pass_challenge_count,设置挑战关卡通关次数,,测试开服活动,[i-pid][i-value]
145,1,get_all_command,获得gm命令列表,,参数无效，留有参数的原因是因为参数列表不能为空,[i-value]
146,1,tt_generate_trial_challmap,生成巅峰预选赛首轮对战表,,,[i-dummy]
147,1,set_acclu_ativity_value,设置累计活动的累计值,,,[i-pid][i-activityid][i-value]
148,1,change_guild_name,修改公会名字,,根据玩家pid和新的公会名，修改玩家所在的公会名,[i-pid][s-newname]
149,1,get_guild_name_by_pid,获得公会名,,根据玩家pid，获得玩家所在的公会名,[i-pid]
150,1,clear_holiday_challenge,清空庆典中每日挑战的进度,,清空挑战关卡进度，如果庆典活动之每日挑战开启重置挑战次数,[i-pid]
151,1,set_holiday_challenge_count,设置庆典中每日挑战的次数,,,[i-pid][i-count]
152,1,clear_holiday_story,清空庆典中剧情的进度,,,[i-pid]
153,1,add_kungfu_player,添加演武玩家,,,[i-pid][i-vip][i-server]
154,1,mock_buy_holiday_challenge_count,购买一次庆典活动每日挑战次数,,,[i-pid]
155,1,add_holiday_jifen,增加庆典活动单人积分（对应公会全区积分都会增加）,,,[i-pid][i-activityid][i-value]
156,1,add_kungfu_win,添加演武胜负场,,,[i-pid][i-type]
157,1,get_gifbox_reward,领取宝箱,,,[i-pid][i-index]
158,1,open_holiday_task,解锁庆典活动每日挑战的关卡和剧情,,,[i-pid][i-level][i-task]
159,1,reset_player,重置玩家数据至新建号状态,,,[i-pid]
160,1,rune_op,用于测试符文相关操作,,,[i-pid][i-optype][i-param][i-main_attr][i-sc_attr1][i-sc_attr2][i-sc_attr3][i-sc_attr4]
161,1,rune_level_do_battle,百战模拟战斗,,,[i-pid]
162,1,set_rune_level,设置百战玩家的当前和历史进度,,,[i-pid][i-lastMaxLevel][i-curLevel]
163,1,get_res_card,获取玩家卡片列表,,,[i-pid]
164,1,get_player_info,获得玩家的信息,,,[i-pid]
165,1,cc_setofficer,设置阵营官员,,,[i-gid][i-faction][i-type][i-pid]
166,1,cc_addcityexp,增加城市经验,,,[i-gid][i-city][i-exp]
167,1,cc_modifyplayermisc,设置玩家杂项,,,[i-gid][i-pid][i-type][i-value]
168,1,test_guild_auto_group,公会自动分组测试,,,[i-dummy]
169,1,cc_adddailyevents,增加国战事件,,,[i-serverId][i-eventType][i-count][s-params]
170,1,cc_getseason,获取国战赛季信息,,,[i-dummy]
171,1,add_cashgift_regioncount,添加团购礼包的全区购买量,,,[i-giftid][i-count]
172,1,get_cashgift_regioncount,获得团购礼包的全区购买量,,,[i-giftid]
173,1,test_buy_cashgift,测试购买现金礼包,,,[i-pid][i-giftid]
174,1,reward_cashgift,奖励,,,[i-pid][i-giftid][i-rewardid]
175,1,avatar_op,头像,,,[i-pid][i-optype][i-param][i-icontype][i-frameid]
176,1,toparena_op,跨服竞技,,,[i-pid][i-optype][i-param1][i-param2]
177,1,toparena_addscore,跨服竞技加分,,,[i-pid][i-score]
178,1,toparena_addchance,跨服竞技加次数,,,[i-pid][i-chance]
179,1,toparena_syncseason,跨服竞技同步赛季,,,[i-dummy]
180,1,toparena_pressure,跨服竞技压测,,,[i-type][i-count]
181,1,toparena_delplayer,跨服竞技删除玩家,,,[i-pid]
182,1,buy_cashgift,购买现金礼包,,,[i-pid][i-bagid]
183,1,toparena_addrobot,跨服竞技添加机器人,,,[i-count]
184,1,team_op,组队测试,,,[i-svr][i-pid][i-op_type][i-team][i-param1][i-param2][i-param3]
185,1,school_op,战意训练,,,[i-pid][i-optype][i-param1][i-param2]
186,1,set_card_collect,设置某一位的卡片收集度,,,[i-pid][i-index][i-flag]
187,1,bandit_addrobot,荡寇添加机器人(对主服发）,,,[i-count][i-round]
188,1,set_cc_king_info,设置君主历史信息,,,[i-pid][i-kingCount][i-avgZhangong][i-supportRate]
189,1,set_answer,修改玩家答题活动数据,,,[i-pid][i-actid][i-amt][i-time]
190,1,test_op,阵容测试,,,[i-pid][i-type][i-eventtype][i-param1][i-param2]
191,1,set_mercenary,设置雇佣军数据(被雇佣次数，使用雇佣次数，活跃点),,,[i-pid][i-rentedCount][i-useCount][i-activePoint]
192,1,full_talent,一键加满命格，听从我的召唤，神龙！,,,[i-pid][i-cardGuid]
