道具ID10000+组队副本奖励,商品类型,商品子类型,商品数量,商品说明(填null的，说明会从csvresource里面读),公告信息(null--无公告)
7175,104,6043,1,5星天狼3号位，初始副属性固定为[bf1314]2条[-]，且[bf1314]不会出现国家全属性[-],null
7176,104,6044,1,5星天狼4号位，初始副属性固定为[bf1314]2条[-]，且[bf1314]不会出现国家全属性[-],null
7177,104,6045,1,5星天狼5号位，初始副属性固定为[bf1314]2条[-]，且[bf1314]不会出现国家全属性[-],null
7178,104,6046,1,5星天狼6号位，初始副属性固定为[bf1314]2条[-]，且[bf1314]不会出现国家全属性[-],null
7179,104,6051,1,5星玄龟1号位，初始副属性固定为[bf1314]2条[-]，且[bf1314]不会出现国家全属性[-],null
7180,104,6052,1,5星玄龟2号位，初始副属性固定为[bf1314]2条[-]，且[bf1314]不会出现国家全属性[-],null
7181,104,6053,1,5星玄龟3号位，初始副属性固定为[bf1314]2条[-]，且[bf1314]不会出现国家全属性[-],null
7182,104,6054,1,5星玄龟4号位，初始副属性固定为[bf1314]2条[-]，且[bf1314]不会出现国家全属性[-],null
7183,104,6055,1,5星玄龟5号位，初始副属性固定为[bf1314]2条[-]，且[bf1314]不会出现国家全属性[-],null
7184,104,6056,1,5星玄龟6号位，初始副属性固定为[bf1314]2条[-]，且[bf1314]不会出现国家全属性[-],null
7185,104,6061,1,5星翔鹰1号位，初始副属性固定为[bf1314]2条[-]，且[bf1314]不会出现国家全属性[-],null
7186,104,6062,1,5星翔鹰2号位，初始副属性固定为[bf1314]2条[-]，且[bf1314]不会出现国家全属性[-],null
7187,104,6063,1,5星翔鹰3号位，初始副属性固定为[bf1314]2条[-]，且[bf1314]不会出现国家全属性[-],null
7188,104,6064,1,5星翔鹰4号位，初始副属性固定为[bf1314]2条[-]，且[bf1314]不会出现国家全属性[-],null
7189,104,6065,1,5星翔鹰5号位，初始副属性固定为[bf1314]2条[-]，且[bf1314]不会出现国家全属性[-],null
7190,104,6066,1,5星翔鹰6号位，初始副属性固定为[bf1314]2条[-]，且[bf1314]不会出现国家全属性[-],null
7191,104,6071,1,5星麒麟1号位，初始副属性固定为[bf1314]2条[-]，且[bf1314]不会出现国家全属性[-],null
7192,104,6072,1,5星麒麟2号位，初始副属性固定为[bf1314]2条[-]，且[bf1314]不会出现国家全属性[-],null
7193,104,6073,1,5星麒麟3号位，初始副属性固定为[bf1314]2条[-]，且[bf1314]不会出现国家全属性[-],null
7194,104,6074,1,5星麒麟4号位，初始副属性固定为[bf1314]2条[-]，且[bf1314]不会出现国家全属性[-],null
7195,104,6075,1,5星麒麟5号位，初始副属性固定为[bf1314]2条[-]，且[bf1314]不会出现国家全属性[-],null
7196,104,6076,1,5星麒麟6号位，初始副属性固定为[bf1314]2条[-]，且[bf1314]不会出现国家全属性[-],null
7197,104,6081,1,5星青鸾1号位，初始副属性固定为[bf1314]2条[-]，且[bf1314]不会出现国家全属性[-],null
7198,104,6082,1,5星青鸾2号位，初始副属性固定为[bf1314]2条[-]，且[bf1314]不会出现国家全属性[-],null
7199,104,6083,1,5星青鸾3号位，初始副属性固定为[bf1314]2条[-]，且[bf1314]不会出现国家全属性[-],null
7200,104,6084,1,5星青鸾4号位，初始副属性固定为[bf1314]2条[-]，且[bf1314]不会出现国家全属性[-],null
7201,104,6085,1,5星青鸾5号位，初始副属性固定为[bf1314]2条[-]，且[bf1314]不会出现国家全属性[-],null
7202,104,6086,1,5星青鸾6号位，初始副属性固定为[bf1314]2条[-]，且[bf1314]不会出现国家全属性[-],null
7301,103,22,30,null,null
7302,103,22,31,null,null
7303,103,22,32,null,null
7304,103,22,33,null,null
7305,103,22,34,null,null
7306,103,22,35,null,null
7307,103,22,36,null,null
7308,103,22,37,null,null
7309,103,22,38,null,null
7310,103,22,39,null,null
7311,103,22,40,null,null
7312,103,22,41,null,null
7313,103,22,42,null,null
7314,103,22,43,null,null
7315,103,22,44,null,null
7316,103,22,45,null,null
7317,103,22,46,null,null
7318,103,22,47,null,null
7319,103,22,48,null,null
7320,103,22,49,null,null
7321,103,22,50,null,null
7322,103,22,51,null,null
7323,103,22,52,null,null
7324,103,22,53,null,null
7325,103,22,54,null,null
7326,103,22,55,null,null
7327,103,22,56,null,null
7328,103,22,57,null,null
7329,103,22,58,null,null
7330,103,22,59,null,null
7331,103,22,60,null,null
7332,103,22,61,null,null
7333,103,22,62,null,null
7334,103,22,63,null,null
7335,103,22,64,null,null
7336,103,22,65,null,null
7337,103,22,66,null,null
7338,103,22,67,null,null
7339,103,22,68,null,null
7340,103,22,69,null,null
7341,103,22,70,null,null
7342,103,22,71,null,null
7343,103,22,72,null,null
7344,103,22,73,null,null
7345,103,22,74,null,null
7346,103,22,75,null,null
7347,103,22,70,null,null
7348,103,22,77,null,null
7349,103,22,78,null,null
7350,103,22,79,null,null
7351,103,22,80,null,null
7352,103,22,81,null,null
7353,103,22,82,null,null
7354,103,22,83,null,null
7355,103,22,84,null,null
7356,103,22,85,null,null
7357,103,22,86,null,null
7358,103,22,87,null,null
7359,103,22,88,null,null
7360,103,22,89,null,null
10101,200,73,5,null,null
10102,200,72,10,null,null
10103,2,0,16000,null,null
10104,2,0,18000,null,null
10105,2,0,20000,null,null
10106,2,0,22000,null,null
10107,2,0,24000,null,null
10108,23,0,1,null,null
10109,200,73,3,null,null
10110,200,73,4,null,null
10111,200,73,5,null,null
10112,200,73,6,null,null
10113,200,73,7,null,null
10114,200,72,6,null,null
10115,200,72,8,null,null
10116,200,72,10,null,null
10117,200,72,12,null,null
10118,200,72,14,null,null
10119,2,0,21000,null,null
10120,2,0,23000,null,null
10121,2,0,25000,null,null
10122,2,0,27000,null,null
10123,2,0,29000,null,null
10124,23,0,1,null,null
10125,200,73,5,null,null
10126,200,73,6,null,null
10127,200,73,7,null,null
10128,200,73,8,null,null
10129,200,73,9,null,null
10130,200,72,11,null,null
10131,200,72,13,null,null
10132,200,72,15,null,null
10133,200,72,17,null,null
10134,200,72,19,null,null
10135,2,0,26000,null,null
10136,2,0,28000,null,null
10137,2,0,30000,null,null
10138,2,0,32000,null,null
10139,2,0,34000,null,null
10140,23,0,1,null,null
10141,200,73,8,null,null
10142,200,73,9,null,null
10143,200,73,10,null,null
10144,200,73,11,null,null
10145,200,73,12,null,null
10146,200,72,16,null,null
10147,200,72,18,null,null
10148,200,72,20,null,null
10149,200,72,22,null,null
10150,200,72,24,null,null
10151,2,0,31000,null,null
10152,2,0,33000,null,null
10153,2,0,35000,null,null
10154,2,0,37000,null,null
10155,2,0,39000,null,null
10156,23,0,1,null,null
10157,200,73,10,null,null
10158,200,73,11,null,null
10159,200,73,12,null,null
10160,200,73,13,null,null
10161,200,73,14,null,null
10162,200,72,21,null,null
10163,200,72,23,null,null
10164,200,72,25,null,null
10165,200,72,27,null,null
10166,200,72,29,null,null
10167,2,0,36000,null,null
10168,2,0,38000,null,null
10169,2,0,40000,null,null
10170,2,0,42000,null,null
10171,2,0,44000,null,null
10172,23,0,1,null,null
10173,200,73,13,null,null
10174,200,73,14,null,null
10175,200,73,15,null,null
10176,200,73,16,null,null
10177,200,73,17,null,null
10178,200,72,26,null,null
10179,200,72,28,null,null
10180,200,72,30,null,null
10181,200,72,32,null,null
10182,200,72,34,null,null
10201,200,73,6,null,null
10202,200,72,12,null,null
10203,2,0,20000,null,null
10204,2,0,22000,null,null
10205,2,0,24000,null,null
10206,2,0,26000,null,null
10207,2,0,28000,null,null
10208,23,0,1,null,null
10209,200,73,4,null,null
10210,200,73,5,null,null
10211,200,73,6,null,null
10212,200,73,7,null,null
10213,200,73,8,null,null
10214,200,72,8,null,null
10215,200,72,10,null,null
10216,200,72,12,null,null
10217,200,72,14,null,null
10218,200,72,16,null,null
10219,2,0,26000,null,null
10220,2,0,28000,null,null
10221,2,0,30000,null,null
10222,2,0,32000,null,null
10223,2,0,34000,null,null
10224,23,0,1,null,null
10225,200,73,7,null,null
10226,200,73,8,null,null
10227,200,73,9,null,null
10228,200,73,10,null,null
10229,200,73,11,null,null
10230,200,72,14,null,null
10231,200,72,16,null,null
10232,200,72,18,null,null
10233,200,72,20,null,null
10234,200,72,22,null,null
10235,2,0,32000,null,null
10236,2,0,34000,null,null
10237,2,0,36000,null,null
10238,2,0,38000,null,null
10239,2,0,40000,null,null
10240,23,0,1,null,null
10241,200,73,11,null,null
10242,200,73,12,null,null
10243,200,73,13,null,null
10244,200,73,14,null,null
10245,200,73,15,null,null
10246,200,72,20,null,null
10247,200,72,22,null,null
10248,200,72,24,null,null
10249,200,72,26,null,null
10250,200,72,28,null,null
10251,2,0,38000,null,null
10252,2,0,40000,null,null
10253,2,0,42000,null,null
10254,2,0,44000,null,null
10255,2,0,46000,null,null
10256,23,0,1,null,null
10257,200,73,14,null,null
10258,200,73,15,null,null
10259,200,73,16,null,null
10260,200,73,17,null,null
10261,200,73,18,null,null
10262,200,72,26,null,null
10263,200,72,28,null,null
10264,200,72,30,null,null
10265,200,72,32,null,null
10266,200,72,34,null,null
10267,2,0,44000,null,null
10268,2,0,46000,null,null
10269,2,0,48000,null,null
10270,2,0,50000,null,null
10271,2,0,52000,null,null
10272,23,0,1,null,null
10273,200,73,18,null,null
10274,200,73,19,null,null
10275,200,73,20,null,null
10276,200,73,21,null,null
10277,200,73,22,null,null
10278,200,72,32,null,null
10279,200,72,34,null,null
10280,200,72,36,null,null
10281,200,72,38,null,null
10282,200,72,40,null,null
10301,200,73,7,null,null
10302,200,72,14,null,null
10303,2,0,24000,null,null
10304,2,0,26000,null,null
10305,2,0,28000,null,null
10306,2,0,30000,null,null
10307,2,0,32000,null,null
10308,23,0,1,null,null
10309,200,73,5,null,null
10310,200,73,6,null,null
10311,200,73,7,null,null
10312,200,73,8,null,null
10313,200,73,9,null,null
10314,200,72,10,null,null
10315,200,72,12,null,null
10316,200,72,14,null,null
10317,200,72,16,null,null
10318,200,72,18,null,null
10319,2,0,31000,null,null
10320,2,0,33000,null,null
10321,2,0,35000,null,null
10322,2,0,37000,null,null
10323,2,0,39000,null,null
10324,23,0,1,null,null
10325,200,73,9,null,null
10326,200,73,10,null,null
10327,200,73,11,null,null
10328,200,73,12,null,null
10329,200,73,13,null,null
10330,200,72,17,null,null
10331,200,72,19,null,null
10332,200,72,21,null,null
10333,200,72,23,null,null
10334,200,72,25,null,null
10335,2,0,38000,null,null
10336,2,0,40000,null,null
10337,2,0,42000,null,null
10338,2,0,44000,null,null
10339,2,0,46000,null,null
10340,23,0,1,null,null
10341,200,73,14,null,null
10342,200,73,15,null,null
10343,200,73,16,null,null
10344,200,73,17,null,null
10345,200,73,18,null,null
10346,200,72,24,null,null
10347,200,72,26,null,null
10348,200,72,28,null,null
10349,200,72,30,null,null
10350,200,72,32,null,null
10351,2,0,45000,null,null
10352,2,0,47000,null,null
10353,2,0,49000,null,null
10354,2,0,51000,null,null
10355,2,0,53000,null,null
10356,23,0,1,null,null
10357,200,73,18,null,null
10358,200,73,19,null,null
10359,200,73,20,null,null
10360,200,73,21,null,null
10361,200,73,22,null,null
10362,200,72,31,null,null
10363,200,72,33,null,null
10364,200,72,35,null,null
10365,200,72,37,null,null
10366,200,72,39,null,null
10367,2,0,52000,null,null
10368,2,0,54000,null,null
10369,2,0,56000,null,null
10370,2,0,58000,null,null
10371,2,0,60000,null,null
10372,23,0,1,null,null
10373,200,73,23,null,null
10374,200,73,24,null,null
10375,200,73,25,null,null
10376,200,73,26,null,null
10377,200,73,27,null,null
10378,200,72,38,null,null
10379,200,72,40,null,null
10380,200,72,42,null,null
10381,200,72,44,null,null
10382,200,72,46,null,null
10401,200,73,8,null,null
10402,200,72,16,null,null
10403,2,0,28000,null,null
10404,2,0,30000,null,null
10405,2,0,32000,null,null
10406,2,0,34000,null,null
10407,2,0,36000,null,null
10408,23,0,1,null,null
10409,200,73,6,null,null
10410,200,73,7,null,null
10411,200,73,8,null,null
10412,200,73,9,null,null
10413,200,73,10,null,null
10414,200,72,12,null,null
10415,200,72,14,null,null
10416,200,72,16,null,null
10417,200,72,18,null,null
10418,200,72,20,null,null
10419,2,0,36000,null,null
10420,2,0,38000,null,null
10421,2,0,40000,null,null
10422,2,0,42000,null,null
10423,2,0,44000,null,null
10424,23,0,1,null,null
10425,200,73,11,null,null
10426,200,73,12,null,null
10427,200,73,13,null,null
10428,200,73,14,null,null
10429,200,73,15,null,null
10430,200,72,20,null,null
10431,200,72,22,null,null
10432,200,72,24,null,null
10433,200,72,26,null,null
10434,200,72,28,null,null
10435,2,0,44000,null,null
10436,2,0,46000,null,null
10437,2,0,48000,null,null
10438,2,0,50000,null,null
10439,2,0,52000,null,null
10440,23,0,1,null,null
10441,200,73,17,null,null
10442,200,73,18,null,null
10443,200,73,19,null,null
10444,200,73,20,null,null
10445,200,73,21,null,null
10446,200,72,28,null,null
10447,200,72,30,null,null
10448,200,72,32,null,null
10449,200,72,34,null,null
10450,200,72,36,null,null
10451,2,0,52000,null,null
10452,2,0,54000,null,null
10453,2,0,56000,null,null
10454,2,0,58000,null,null
10455,2,0,60000,null,null
10456,23,0,1,null,null
10457,200,73,22,null,null
10458,200,73,23,null,null
10459,200,73,24,null,null
10460,200,73,25,null,null
10461,200,73,26,null,null
10462,200,72,36,null,null
10463,200,72,38,null,null
10464,200,72,40,null,null
10465,200,72,42,null,null
10466,200,72,44,null,null
10467,2,0,60000,null,null
10468,2,0,62000,null,null
10469,2,0,64000,null,null
10470,2,0,66000,null,null
10471,2,0,68000,null,null
10472,23,0,1,null,null
10473,200,73,28,null,null
10474,200,73,29,null,null
10475,200,73,30,null,null
10476,200,73,31,null,null
10477,200,73,32,null,null
10478,200,72,44,null,null
10479,200,72,46,null,null
10480,200,72,48,null,null
10481,200,72,50,null,null
10482,200,72,52,null,null
10501,200,73,9,null,null
10502,200,72,18,null,null
10503,2,0,32000,null,null
10504,2,0,34000,null,null
10505,2,0,36000,null,null
10506,2,0,38000,null,null
10507,2,0,40000,null,null
10508,23,0,1,null,null
10509,200,73,7,null,null
10510,200,73,8,null,null
10511,200,73,9,null,null
10512,200,73,10,null,null
10513,200,73,11,null,null
10514,200,72,14,null,null
10515,200,72,16,null,null
10516,200,72,18,null,null
10517,200,72,20,null,null
10518,200,72,22,null,null
10519,2,0,41000,null,null
10520,2,0,43000,null,null
10521,2,0,45000,null,null
10522,2,0,47000,null,null
10523,2,0,49000,null,null
10524,23,0,1,null,null
10525,200,73,13,null,null
10526,200,73,14,null,null
10527,200,73,15,null,null
10528,200,73,16,null,null
10529,200,73,17,null,null
10530,200,72,23,null,null
10531,200,72,25,null,null
10532,200,72,27,null,null
10533,200,72,29,null,null
10534,200,72,31,null,null
10535,2,0,50000,null,null
10536,2,0,52000,null,null
10537,2,0,54000,null,null
10538,2,0,56000,null,null
10539,2,0,58000,null,null
10540,23,0,1,null,null
10541,200,73,20,null,null
10542,200,73,21,null,null
10543,200,73,22,null,null
10544,200,73,23,null,null
10545,200,73,24,null,null
10546,200,72,32,null,null
10547,200,72,34,null,null
10548,200,72,36,null,null
10549,200,72,38,null,null
10550,200,72,40,null,null
10551,2,0,59000,null,null
10552,2,0,61000,null,null
10553,2,0,63000,null,null
10554,2,0,65000,null,null
10555,2,0,67000,null,null
10556,23,0,1,null,null
10557,200,73,26,null,null
10558,200,73,27,null,null
10559,200,73,28,null,null
10560,200,73,29,null,null
10561,200,73,30,null,null
10562,200,72,41,null,null
10563,200,72,43,null,null
10564,200,72,45,null,null
10565,200,72,47,null,null
10566,200,72,49,null,null
10567,2,0,68000,null,null
10568,2,0,70000,null,null
10569,2,0,72000,null,null
10570,2,0,74000,null,null
10571,2,0,76000,null,null
10572,23,0,1,null,null
10573,200,73,33,null,null
10574,200,73,34,null,null
10575,200,73,35,null,null
10576,200,73,36,null,null
10577,200,73,37,null,null
10578,200,72,50,null,null
10579,200,72,52,null,null
10580,200,72,54,null,null
10581,200,72,56,null,null
10582,200,72,58,null,null
10601,200,73,10,null,null
10602,200,72,20,null,null
10603,2,0,36000,null,null
10604,2,0,38000,null,null
10605,2,0,40000,null,null
10606,2,0,42000,null,null
10607,2,0,44000,null,null
10608,23,0,1,null,null
10609,200,73,8,null,null
10610,200,73,9,null,null
10611,200,73,10,null,null
10612,200,73,11,null,null
10613,200,73,12,null,null
10614,200,72,16,null,null
10615,200,72,18,null,null
10616,200,72,20,null,null
10617,200,72,22,null,null
10618,200,72,24,null,null
10619,2,0,46000,null,null
10620,2,0,48000,null,null
10621,2,0,50000,null,null
10622,2,0,52000,null,null
10623,2,0,54000,null,null
10624,23,0,1,null,null
10625,200,73,15,null,null
10626,200,73,16,null,null
10627,200,73,17,null,null
10628,200,73,18,null,null
10629,200,73,19,null,null
10630,200,72,26,null,null
10631,200,72,28,null,null
10632,200,72,30,null,null
10633,200,72,32,null,null
10634,200,72,34,null,null
10635,2,0,56000,null,null
10636,2,0,58000,null,null
10637,2,0,60000,null,null
10638,2,0,62000,null,null
10639,2,0,64000,null,null
10640,23,0,1,null,null
10641,200,73,23,null,null
10642,200,73,24,null,null
10643,200,73,25,null,null
10644,200,73,26,null,null
10645,200,73,27,null,null
10646,200,72,36,null,null
10647,200,72,38,null,null
10648,200,72,40,null,null
10649,200,72,42,null,null
10650,200,72,44,null,null
10651,2,0,66000,null,null
10652,2,0,68000,null,null
10653,2,0,70000,null,null
10654,2,0,72000,null,null
10655,2,0,74000,null,null
10656,23,0,1,null,null
10657,200,73,30,null,null
10658,200,73,31,null,null
10659,200,73,32,null,null
10660,200,73,33,null,null
10661,200,73,34,null,null
10662,200,72,46,null,null
10663,200,72,48,null,null
10664,200,72,50,null,null
