序号,姓,男名,女名
599,,元升,
600,,元嗣,
601,,元泰,
602,,元叹,
603,,元休,
604,,元逊,
605,,元异,
606,,元颖,
607,,元则,
608,,元直,
609,,元仲,
610,,云长,
611,,允南,
612,,长倩,
613,,长文,
614,,长元,
615,,昭伯,
616,,昭先,
617,,正方,
618,,正礼,
619,,正明,
620,,正南,
621,,正平,
622,,稚权,
623,,稚叔,
624,,仲达,
625,,仲德,
626,,仲恭,
627,,仲简,
628,,仲康,
629,,仲麟,
630,,仲邈,
631,,仲谋,
632,,仲权,
633,,仲若,
634,,仲思,
635,,仲嗣,
636,,仲台,
637,,仲翔,
638,,仲宣,
639,,仲业,
640,,仲异,
641,,仲颖,
642,,仲远,
643,,仲真,
644,,仲直,
645,,仲子,
646,,周扬,
647,,子邦,
648,,子伯,
649,,子布,
650,,子产,
651,,子敕,
652,,子初,
653,,子丹,
654,,子度,
655,,子方,
656,,子干,
657,,子纲,
658,,子高,
659,,子贡,
660,,子和,
661,,子衡,
662,,子桓,
663,,子璜,
664,,子建,
665,,子将,
666,,子敬,
667,,子均,
668,,子恪,
669,,子廉,
670,,子烈,
671,,子林,
672,,子龙,
673,,子明,
674,,子佩,
675,,子奇,
676,,子弃,
677,,子全,
678,,子柔,
679,,子山,
680,,子尚,
681,,子师,
682,,子叔,
683,,子台,
684,,子泰,
685,,子通,
686,,子文,
687,,子孝,
688,,子修,
689,,子绪,
690,,子扬,
691,,子义,
692,,子翼,
693,,子雍,
694,,子鱼,
695,,子瑜,
696,,子元,
697,,子远,
698,,子云,
699,,子仲,
700,,祖荣,
701,,佐治,
702,,薄日,
703,,吹雪,
704,,三峰,
705,,江南,
706,,布衣,
707,,勇武,
708,,得月,
709,,疾风,
710,,红莲,
711,,铁蹄,
712,,踏雪,
713,,繁星,
714,,安洛,
715,,破军,
716,,百战,
717,,铁肩,
718,,云海,
719,,莫言,
720,,督军,
721,,督国,
722,,子监,
723,,擎天,
724,,月神,
725,,寒冰,
726,,白虎,
727,,洛神,
