序号,引导类型：1剧情2庆典,讲话人ID(-1为玩家其余为npc表中的id）,地点ID（-1为主城其余为关卡id）,任务推进条件（目前为level ID， -1表示无要求）,触发类型 0:城市对话|1:在布阵界面弹出|2:在战斗开始时弹出|3:在战斗过程中弹出|4:在战斗结束时弹出（胜）|5:在战斗结束时弹出（负）6:在章节页面弹出,战斗百分比（关卡过程弹出类）,下一步寻路NPC ID(如果不需要移动直接显示对话/此处填0,下一步附加值（下一步寻路NPC ID为传送点时/此值为关卡id）,奖励类型|0:无奖励|1:卡片|2:卡魂|3:军令|4:星星|5:游戏点卷|6:免费抽卡机会|7:解锁关卡|8:弹出UI|9:开放封地|10:功能开放|11:上阵武将数量|12:强化上限|,奖励值,锚点（1表示此条对白的进度要存入数据库）,寻路头像,背景图片路径,对白内容
20,1,-1,-1,-1,0,0,0,0,0,0,0,7,,这些人看起来颇有来头，不像是普通人。
21,1,-1,-1,-1,0,0,0,0,0,0,1,7,,涵雨妹妹正在找我，估计多数和这事有关。
22,1,-1,-1,-1,0,0,305,0,0,0,0,5,,涵雨妹妹，我来了。
23,1,305,-1,-1,0,0,305,0,0,0,0,5,,我们的好机会来了！
24,1,-1,-1,-1,0,0,305,0,0,0,0,5,,哦？什么好机会。
25,1,305,-1,-1,0,0,305,0,0,0,0,5,,我们不是说好一起去看看外面的世界么。
26,1,305,-1,-1,0,0,305,0,0,0,0,5,,现在当今天子来到我们荆州城号召勇士对抗黄巾军。
27,1,305,-1,-1,0,0,305,0,0,0,0,5,,这是成就功名伟业的正事，我爹已经同意我们参与了。
28,1,305,-1,-1,0,0,305,0,0,0,0,5,,不过他肯定是要嘱咐你几句，你快去吧。
29,1,-1,-1,-1,0,0,305,0,10,15,1,5,,好的，那我这就去找[ff000c]你爹[-]。
30,1,304,-1,-1,0,0,304,0,0,0,0,4,,你来了啊，荆州城内有大事情发生了！
31,1,-1,-1,-1,0,0,304,0,0,0,0,4,,是和城里来的外人有关么？
32,1,304,-1,-1,0,0,304,0,0,0,0,4,,是啊！是啊！现在汉室天子就在我们村中。
33,1,304,-1,-1,0,0,304,0,0,0,0,4,,现在正是你们这群年轻人为国效力，建功立业的好机会啊！
34,1,304,-1,-1,0,0,304,0,0,0,0,4,,我王威风家财万贯，就是缺这权势官职啊。
35,1,-1,-1,-1,0,0,304,0,0,0,0,4,,威风大伯您说这话的时候满脸通红，到底是我的好机会还是你的好机会啊。
36,1,304,-1,-1,0,0,304,0,0,0,0,4,,你……现在天子势微，乱臣夺权，但是我们作为大汉的子民……
37,1,304,-1,-1,0,0,304,0,0,0,0,4,,算了，跟你说这个你也不懂。
38,1,304,-1,-1,0,0,304,0,0,0,0,4,,涵雨非要和你一起去讨贼，你一定要保护好她，少了一根头发，看我跟你算账！
39,1,304,-1,-1,0,0,304,0,0,0,0,4,,快去找[ff000c]皇帝[-]吧，听说正在分兵马武将呢。
40,1,-1,-1,-1,0,0,304,0,0,0,1,4,,放心吧，我们一定会平安归来的，那我去了。
41,1,301,-1,-1,0,0,301,0,0,0,0,1,,这位小朋友是个武将？
42,1,-1,-1,-1,0,0,301,0,0,0,0,1,,这位胖大叔是个皇帝？（……这个猪头就是皇帝啊）
43,1,302,-1,-1,0,0,301,0,0,0,0,1,,大胆！竟敢这么和陛下说话。
44,1,301,-1,-1,0,0,301,0,0,0,0,1,,无妨，无妨，我看你少年英雄，是否也是来举义讨伐黄巾军的。
45,1,-1,-1,-1,0,0,301,0,0,0,0,1,,正是，我和涵雨妹妹要一起为国效力。
46,1,305,-1,-1,0,0,301,0,0,0,0,1,,小女子名叫王涵雨，荆州城中王威风王员外是我父亲。
47,1,305,-1,-1,0,0,301,0,0,0,0,1,,因为母亲是将门之后，所以我从小精通兵法，深谙韬略。
48,1,301,-1,-1,0,0,301,0,0,0,0,1,,好极了！好极了！
49,1,301,-1,-1,0,0,301,0,0,0,0,1,,国家就是缺少你们这种少年英雄。
50,1,301,-1,-1,0,0,301,0,0,0,0,1,,来来，我这里有汉军营训练出来的[ff000c]精英武将[-]。
51,1,301,-1,-1,0,0,301,0,8,7,0,1,,你们挑选一支，从此后他就是你们的部队，可以直接指挥。
52,1,304,-1,-1,0,0,304,0,0,0,0,4,,你已经领到武将卡了吗？不错不错，现在你也算是一方将领了。
53,1,304,-1,-1,0,0,304,0,0,0,0,4,,这个[ff000c]卡册[-]送你，以后收集到的所有武将卡都会放在这里。
54,1,304,-1,-1,0,0,304,0,10,4,1,4,,好好培养你的武将，成为一个优秀的主公吧！
55,1,305,-1,-1,0,0,305,0,0,0,0,5,,主公，征战乱世少不了朋友的支持。
56,1,305,-1,-1,0,0,305,0,7,0,1,5,,结交一些[ff000c]好友[-]不仅能派出援军在战场上助你一臂之力，还能让你获得额外的军令。
57,1,305,-1,-1,0,0,305,0,10,14,1,5,,所以在战斗前一定不要忘了带上好友的[ff000c]援军[-]哦！
58,1,305,0,-1,1,0,306,0,0,0,0,7,,主公大人，请下令[ffdb00]布阵[-]。
59,1,-1,0,-1,1,0,306,0,0,0,0,7,,主公？你叫我主公？
60,1,305,0,-1,1,0,306,0,0,0,0,7,,当然，你已经拥有了自己的部队，不管大小都是主公。
61,1,305,0,-1,1,0,306,0,0,0,0,7,,以后涵雨就当你的军师吧。
62,1,-1,0,-1,1,0,306,0,0,0,0,7,,这么有意思！
63,1,-1,0,-1,1,0,306,0,0,0,0,7,,那军师小姐你说这一仗我们应该怎么布阵呢？
64,1,305,0,-1,1,0,306,0,0,0,1,7,,哈哈，对方只有一支部队，我们也是一支，对准[ffdb00]迎上去[-]就是。
65,1,305,0,0,4,0,306,0,0,0,0,7,,恭喜主公大人首战大获全胜！
66,1,305,0,0,4,0,306,0,0,0,0,7,,请问主公大人有何感想？
67,1,-1,0,0,4,0,306,0,0,0,0,7,,貌似皇帝老爷给的这支部队真的很强啊。
68,1,305,0,0,4,0,306,0,0,0,1,7,,嗯，有这么强大的武将我们就把这城外的黄巾军全部扫平吧。
69,1,305,-1,-1,0,0,0,0,7,1,1,7,,恭喜主公又得到了武将卡。
70,1,305,-1,-1,0,0,0,0,11,2,1,7,,以后每完成一场战斗都可以抽取一张[ff000c]武将卡[-]。
71,1,305,-1,-1,0,0,0,0,10,1,1,7,,主公现在就把这张新的卡牌[ff000c]上阵[-]吧，这样就有两只部队了哦。
72,1,305,1,-1,1,0,306,1,0,0,0,7,,对手是黄巾小头目[ffdb00]张曼成[-]，主公请布阵迎敌。
73,1,305,1,-1,1,0,306,1,0,0,0,7,,主公你可能发现了，所有部队都是有兵种分别的。
74,1,305,1,-1,1,0,306,1,0,0,0,7,,枪兵有[ffdb00]枪击[-]，骑兵有[ffdb00]突击[-]，弓兵有[ffdb00]贯射[-]，这三个兵种之间存在着[ff000c]克制关系[-]。
75,1,305,1,-1,1,0,306,1,0,0,0,7,,当骑兵遇到枪兵时，冒然突击反而会被枪尖伤到，而枪兵则怕弓兵的远程射击。
76,1,305,1,-1,1,0,306,1,0,0,0,7,,骑兵可以快速接近弓兵，瞬间造成大量伤害。
77,1,305,1,-1,1,0,306,1,0,0,1,7,,利用好兵种克制关系布阵，就可以事半功倍！
78,1,305,1,1,4,0,306,1,0,0,0,7,,主公大人，相当有指挥天赋啊，两战两胜。
79,1,-1,1,1,4,0,306,1,0,0,0,7,,哪里啊，涵雨妹妹，哦不军师大人，我是依照你的指点在布阵啊。
80,1,305,1,1,4,0,306,1,0,0,1,7,,主公大人，皇上让我们速速回去。
81,1,301,-1,-1,0,0,301,0,0,0,0,1,,我已经听到英雄两战皆胜的消息了，我果然没有看错人。
82,1,-1,-1,-1,0,0,301,0,0,0,0,1,,嘿嘿，侥幸侥幸。是皇帝御赐的部队强大。
83,1,301,-1,-1,0,0,301,0,0,0,0,1,,英雄谦虚了，朕有一事相求。
84,1,-1,-1,-1,0,0,301,0,0,0,0,1,,皇帝老爷请说吧。
85,1,301,-1,-1,0,0,301,0,0,0,0,1,,方才在荆州城外，被黄巾军袭击，慌乱之中竟然将母亲留给我的[ff000c]玉簪[-]弄丢了。
86,1,301,-1,-1,0,0,301,0,0,0,0,1,,那是母亲留给我的唯一信物，希望英雄可以帮忙找回。
87,1,-1,-1,-1,0,0,301,0,0,0,0,1,,好说！我从小就在这里长大，一草一木都熟悉得很，我去去就来。
88,1,301,-1,-1,0,0,301,0,0,0,0,1,,看来小英雄带兵很有天赋，我就赐予你另一项权力。
89,1,301,-1,-1,0,0,301,0,0,0,1,1,,从今天起每天你都可以从卡片界面中[ff000c]免费招募五张武将卡片[-]！
90,1,301,-1,-1,0,0,301,0,0,0,0,1,,纯免费的哦！就算不上来打仗也要记得上线来招募啊亲！
91,1,301,-1,-1,0,0,301,0,0,0,0,1,,如果可以充值付费抽两下也算支持我们了，不然研发团队可能会饿死哦亲~
92,1,-1,-1,-1,0,0,301,0,0,0,0,1,,皇帝老爷你被什么怪东西附体了吗……
93,1,301,-1,-1,0,0,301,0,7,2,1,1,,咳咳咳咳，说到哪了？
94,1,301,-1,-1,0,0,301,0,10,8,1,1,,那就麻烦英雄去为我寻找玉簪了！
95,1,305,2,-1,1,0,306,2,0,0,0,7,,主公，我猜玉簪肯定是被黄巾军捡去了。
96,1,-1,2,-1,1,0,306,2,0,0,1,7,,我也这样想，我们多抓一些黄巾军看看是否有线索。
97,1,-1,2,2,4,0,306,2,7,3,1,7,,说出你们老大是谁，就饶你不死。
98,1,16,2,2,4,0,306,2,0,0,1,7,,老爷饶命啊，我们家老大是先锋[ffdb00]张燕[-]大人。
99,1,-1,3,-1,1,0,306,3,0,0,0,7,,莫非黄巾军全是一家子，都姓张啊。
100,1,305,3,-1,1,0,306,3,0,0,0,7,,黄巾军真正的首领是[ffdb00]张角[-]、[ffdb00]张宝[-]、[ffdb00]张梁[-]三兄弟。
101,1,305,3,-1,1,0,306,3,0,0,1,7,,张燕这些不过是小头目。
102,1,5,3,3,4,0,306,3,0,0,0,7,,你小子叫什么名字，这么厉害。
103,1,-1,3,3,4,0,306,3,0,0,0,7,,你这样的小兵还不配知道我的名字。
104,1,-1,3,3,4,0,306,3,0,0,0,7,,去给你家三张兄弟报信吧，接下去就是他们了。
105,1,5,3,3,4,0,306,3,0,0,1,7,,别嚣张！你给我等着！
106,1,305,-1,-1,0,0,0,0,0,0,0,7,,虽然打败了张燕，但是玉簪还是没有任何线索啊。
107,1,305,-1,-1,0,0,0,0,0,0,0,7,,咦，这是什么？
108,1,-1,-1,-1,0,0,0,0,10,21,1,7,,看着像是一个宝物呢。
109,1,304,-1,-1,0,0,304,0,0,0,0,4,,等一下，我正好有事找你们！
110,1,304,-1,-1,0,0,304,0,0,0,0,4,,我先看看我女儿受伤没有。
111,1,305,-1,-1,0,0,304,0,0,0,0,4,,……爹，什么事啊？
112,1,304,-1,-1,0,0,304,0,10,6,1,4,,对了，这些是我行商多年收集的[ff000c]卡魂[-]。
113,1,-1,-1,-1,0,0,304,0,7,4,1,4,,卡魂是干什么用的？
114,1,304,-1,-1,0,0,304,0,12,10,1,4,,卡魂可以用来[ff000c]升级[-]你的武将卡，这样你的武将就更给力了。
115,1,-1,-1,-1,0,0,304,0,0,0,0,4,,威风大伯原来你懂得这么多啊。
116,1,304,-1,-1,0,0,304,0,2,800,1,4,,你可以在[ff000c]部队界面中对武将进行升级[-]，在[ff000c]卡片界面[-]中也可以选择武将进行升级。
117,1,305,4,4,4,0,306,4,0,0,1,7,,主公你有没有注意到[ffdb00]技能[-]这件事呢。
118,1,-1,4,4,4,0,306,4,0,0,0,7,,你是说每个武将的技能？
119,1,305,4,4,4,0,306,4,0,0,0,7,,是的，在战场会不停的获得[ffdb00]士气[-]，一旦士气够了就可以选择[ffdb00]释放武将的技能[-]。
120,1,305,4,4,4,0,306,4,0,0,0,7,,部队在场上的肉搏能力和[ffdb00]武力[-]相关，而技能的效果就和[ffdb00]智力[-]有关。
121,1,305,4,4,4,0,306,4,0,0,0,7,,强大的武将技能还能直接[ffdb00]造成伤害[-]，或者[ffdb00]回复兵力[-]，直接扭转战场局势。
122,1,305,4,4,4,0,306,4,0,0,1,7,,每个武将都有自己的技能说明，可以在部队界面看到，请主公留心查阅。
123,1,305,-1,-1,0,0,305,0,0,0,0,5,,主公，你手上已经有不少武将卡了，多余的武将卡可以试着[ff000c]分解[-]掉。
124,1,305,-1,-1,0,0,305,0,0,0,0,5,,分解出来的卡魂可以用来升级其他武将卡，这样才不会浪费。
125,1,305,-1,-1,0,0,305,0,0,0,0,5,,卡片的等级越高，分解出来的卡魂也会越高。
126,1,305,-1,-1,0,0,305,0,0,0,0,5,,不过有一种特殊的武将卡：[ff000c]富商[-]。
127,1,305,-1,-1,0,0,305,0,0,0,0,5,,他们可是土豪，分解之后得到的卡魂甚至比金卡还多。
128,1,305,-1,-1,0,0,305,0,1,210,1,5,,这张富商卡你拿去，试着分解一下吧，[ff000c]从卡片界面的右下角点击分解就能进入分解界面[-]。
129,1,-1,-1,-1,0,0,305,0,7,5,1,5,,哈哈，原来卡魂是这么来的。
130,1,-1,-1,-1,0,0,305,0,10,7,1,5,,唉，我们找了这一圈都没有，要不去村西的张家宅看看吧。
131,1,305,5,5,4,0,306,5,0,0,0,7,,主公，那边草丛处好像有东西！
132,1,-1,5,5,4,0,306,5,0,0,0,7,,好大一块玉砖头啊，样子还挺精致。可惜不是玉簪。
133,1,305,5,5,4,0,306,5,0,0,0,7,,主公这好像是[ff000c]玉玺[-]啊！这是皇帝权利的标志。
134,1,-1,5,5,4,0,306,5,0,0,0,7,,那我拿了不就是皇帝了？
135,1,305,5,5,4,0,306,5,0,0,0,7,,主公请慎言，这种话说了可不是闹着玩的。
136,1,-1,5,5,4,0,306,5,0,0,0,7,,我才不稀罕当皇帝，我这就拿回去还给他。
137,1,305,5,5,4,0,306,5,0,0,1,7,,主公！有黄巾军来偷袭！赶紧派部队增援！
138,1,305,-1,-1,0,0,0,0,11,3,1,7,,主公，赶紧派上[ffdb00]第三支部队[-]准备迎敌！
139,1,-1,-1,-1,0,0,0,0,7,6,1,7,,好，我先看看[ffdb00]部队界面[-]。
140,1,305,6,-1,1,0,306,6,0,0,0,7,,这里是黄巾军人公将军张梁的部下。张梁有可能就在附近！
141,1,305,6,-1,1,0,306,6,0,0,0,7,,主公注意保护玉玺，不要被他们抢走了！
142,1,-1,6,-1,1,0,306,6,0,0,1,7,,好！我们上吧。
143,1,5,6,6,4,0,306,6,0,0,0,7,,快！快去报告张梁将军！
144,1,-1,6,6,4,0,306,6,0,0,1,7,,快去快去！让他出来受死！
145,1,-1,-1,-1,0,0,301,0,0,0,0,1,,皇帝老爷，玉簪我没找到，不过你的玉玺我拿回来了。
146,1,301,-1,-1,0,0,301,0,0,0,0,1,,嘘~（示意小声），我丢的就是这玉玺。
147,1,301,-1,-1,0,0,301,0,0,0,0,1,,没有如实相告是因为关系重大，望英雄原谅。
148,1,301,-1,-1,0,0,301,0,0,0,1,1,,感谢英雄找回玉玺，我介绍军备专家[ff000c]何进[-]给英雄，以表感激之情！
149,1,303,-1,-1,0,0,303,0,0,0,0,2,,你就是最近很活跃的家伙啊，我就是军备科技专家何进。
150,1,303,-1,-1,0,0,303,0,0,0,0,2,,当年我们可是花费了好大的精力才开发了[ff000c]科技系统[-]啊！
151,1,303,-1,-1,0,0,303,0,0,0,1,2,,科技可以帮你提升部队的兵装甚至是[ff000c]解锁新的阵型[-]。
152,1,303,-1,-1,0,0,303,0,14,10,1,2,,完成关卡时，会根据你战斗的表现给予你[ff000c]评价星星[-]。
153,1,303,-1,-1,0,0,303,0,0,0,0,2,,星星收集到一定程度就能[ff000c]开启宝箱[-]。
154,1,303,-1,-1,0,0,303,0,0,0,0,2,,使用宝箱里得到的[ff000c]锤子[-]就可以升级科技系统，所以努力的提高战斗表现吧。
155,1,303,-1,-1,0,0,303,0,0,0,0,2,,为了方便使用，我帮你解开随身科技系统。
156,1,-1,-1,-1,0,0,303,0,0,0,0,2,,谢谢何将军，我觉得自己现在强力多了！
157,1,305,-1,-1,0,0,303,0,7,7,1,2,,主公，张梁带着部下打过来了。
158,1,-1,-1,-1,0,0,303,0,10,2,1,2,,哎呦，这就急着来送死了，正好让我练练兵！
159,1,305,7,-1,1,0,306,7,0,0,0,7,,主公，张梁是黄巾军三大首领之一，实力不比一般黄巾军，主公一定要当心啊！
160,1,-1,7,-1,1,0,306,7,0,0,1,7,,嗯，看来这次要小心应对了。
161,1,305,7,7,2,0,306,7,0,0,0,7,,张梁果然在这里，主公讨贼建功就在此刻啊！
162,1,2,7,7,2,0,306,7,0,0,0,7,,小娃娃，可认得你张梁老爷么。
163,1,-1,7,7,2,0,306,7,0,0,0,7,,张二货，可认得你祖宗我。
164,1,2,7,7,2,0,306,7,0,0,0,7,,小娃娃好生猖狂，看俺砍了你的脑袋灌酒喝！给我上！
165,1,2,7,7,4,0,306,7,0,0,1,7,,这小娃娃居然这么厉害……撤！快点撤！
166,1,-1,7,7,4,0,306,7,7,8,1,7,,哈哈，这么不经打，真是一群乌合之众。
167,1,305,8,-1,1,0,306,8,0,0,0,7,,张宝是张角的弟弟，和张角一样会妖法，要小心他的[ffdb00]落雷[-]。
168,1,305,8,-1,1,0,306,8,0,0,1,7,,部队尽量不要太集中，主公注意[ffdb00]分散部署[-]，这样落雷才不会击中多支部队。
169,1,3,8,8,2,0,306,8,0,0,0,7,,我乃是地宫将军张宝，娃娃你快束手就擒。
170,1,3,8,8,4,0,306,8,0,0,1,7,,竟然如此骁勇，看来不能小看这个娃娃。
171,1,-1,8,8,4,0,306,8,0,0,0,7,,快让张角来见我，否则我踏平你们黄巾军营。
172,1,3,8,8,4,0,306,8,0,0,1,7,,哼！不知死活，下次我定要拿你的首级祭旗。
173,1,305,-1,-1,0,0,305,0,0,0,0,5,,主公果然英勇过人，张角已经现身了，扬言要为两个弟弟报仇。
174,1,305,-1,-1,0,0,305,0,0,0,0,5,,张角和张宝精通妖法，而张梁勇猛无比
175,1,305,-1,-1,0,0,305,0,0,0,0,5,,三兄弟联手不可小看，主公一定要小心啊。
176,1,305,-1,-1,0,0,305,0,0,0,0,5,,如果战败，可以尝试重新挑战之前的关卡来获得卡魂或者更高的评价。
177,1,305,-1,-1,0,0,305,0,0,0,0,5,,这样就可以强化武将卡和提升军备科技来壮大我们的实力。
178,1,305,-1,-1,0,0,305,0,0,0,0,5,,你还可以尝试着挑战[ff000c]精英模式[-]。
179,1,305,-1,-1,0,0,305,0,7,9,1,5,,精英关卡里的敌人比普通关卡要强大很多，相对的，获得的奖励也会更多。
180,1,305,-1,-1,0,0,305,0,10,12,1,5,,一举铲除黄巾党就靠你了！主公！
181,1,305,9,-1,1,0,306,9,0,0,0,7,,主公，这里是张角的卫队，也是黄巾军最精锐的部队，主公千万小心。
182,1,-1,9,-1,1,0,306,9,0,0,1,7,,再精锐也是农民部队，我表示毫无压力。
183,1,-1,9,9,4,0,306,9,7,10,1,7,,这卫队虽然精锐，张角不在还是毫无压力。
184,1,305,9,9,4,0,306,9,0,0,1,7,,这卫队规模还真大啊，不愧是黄巾军首领。
185,1,305,10,10,2,0,306,10,0,0,0,7,,主公，这些卫队装备精良，久经战阵，我们还是小心一些。
186,1,-1,10,10,4,0,306,10,0,0,1,7,,让张角这厮快点出来受死！
187,1,16,10,10,4,0,306,10,0,0,0,7,,竟敢直呼天公将军姓名，将军一定饶不了你！
188,1,-1,10,10,4,0,306,10,0,0,1,7,,从之前故事发展的尿性来看，下一仗就是张角没跑了。
189,1,301,-1,-1,0,0,301,0,0,0,0,1,,张角带着自己的三个兄弟在城外五里坡扎营。
190,1,301,-1,-1,0,0,301,0,0,0,0,1,,这一仗将是和黄巾军的大决战。
191,1,301,-1,-1,0,0,301,0,0,0,0,1,,英雄你可有把握？
192,1,-1,-1,-1,0,0,301,0,7,11,1,1,,皇帝老爷，老实讲我现在势单力薄，战力很有限，没有多少把握。
193,1,301,-1,-1,0,0,301,0,11,4,1,1,,好，我马上赐你指挥[ff000c]四支部队[-]的权利。
194,1,-1,-1,-1,0,0,301,0,0,0,1,1,,哈哈多了一支部队，看我把张角打回老家。
195,1,305,11,-1,1,0,306,11,0,0,0,7,,主公，这一仗非同小可，请一定要谨慎布阵。
196,1,305,11,-1,1,0,306,11,0,0,0,7,,张角和张宝两个贼首都会[ffdb00]落雷妖法[-]，部队一定要尽量散开。
197,1,305,11,-1,1,0,306,11,0,0,1,7,,张梁是骑兵部队，我料定他会正面突击，主公可用[ffdb00]枪兵[-]抵挡。
198,1,-1,11,11,2,0,306,11,0,0,0,7,,来吧，张角老头，打得你再也不敢靠近我荆州境内。
199,1,4,11,11,2,0,306,11,0,0,0,7,,阻挡我太平道的人，必遭天罚！
200,1,2,11,11,2,0,306,11,0,0,0,7,,大哥看我去冲垮他们！
201,1,3,11,11,2,0,306,11,0,0,0,7,,杀！杀！杀！
202,1,-1,11,11,2,0,306,11,0,0,0,7,,全军突击！
203,1,2,11,11,4,0,306,11,0,0,1,7,,这……这不可能。
204,1,3,11,11,4,0,306,11,0,0,0,7,,大哥我们死也要在一起！
205,1,4,11,11,4,0,306,11,0,0,0,7,,上天也抛弃我们了吗？
206,1,4,11,11,4,0,306,11,0,0,0,7,,兄弟们来生再见了！
207,1,305,11,11,4,0,306,11,0,0,1,7,,主公，我们已经扫平黄巾军了。
208,1,-1,-1,-1,0,0,301,0,0,0,0,1,,皇帝老爷！张角已经让我干掉了。以后您就安心吧。
209,1,301,-1,-1,0,0,301,0,0,0,0,1,,英雄果然骁勇无双！为天下百姓平定了黄巾之乱，功可盖世，丹青留名！
210,1,-1,-1,-1,0,0,301,0,0,0,0,1,,哈哈，皇帝老爷这下你也可以安心睡觉了吧。
211,1,301,-1,-1,0,0,301,0,0,0,0,1,,安心，安心，多谢英雄除此大患。
212,1,301,-1,-1,0,0,301,0,0,0,0,1,,赏！重重有赏！打赏十万钱币，武将卡十张，领地一座！
213,1,301,-1,-1,0,0,301,0,0,0,1,1,,英雄请去总管[ff000c]张让[-]处领取赏赐。
214,1,302,-1,-1,0,0,302,0,0,0,0,6,,（斜眼瞧了瞧）你就是皇帝说的英雄？
215,1,-1,-1,-1,0,0,302,0,0,0,0,6,,嘿嘿，我就是，我刚刚为天下百姓清除了黄巾军。
216,1,302,-1,-1,0,0,302,0,0,0,0,6,,哦~失敬，失敬啊。不知道英雄到咱这里有何贵干啊。
217,1,-1,-1,-1,0,0,302,0,0,0,0,6,,嗯，皇帝老爷说，让我到张让大总管这里领取赏赐。
218,1,302,-1,-1,0,0,302,0,0,0,0,6,,应该，应该。
219,1,302,-1,-1,0,0,302,0,0,0,0,6,,不知道皇帝许了英雄多少赏赐？
220,1,-1,-1,-1,0,0,302,0,0,0,0,6,,十万钱币，武将卡十张，领地一座。
221,1,302,-1,-1,0,0,302,0,0,0,0,6,,英雄啊，皇帝在深宫惯了，他哪里知道我们现在处境不比京都洛阳。
222,1,302,-1,-1,0,0,302,0,0,0,0,6,,十万钱币，武将卡十张，老奴实在拿不出啊。
223,1,302,-1,-1,0,0,302,0,0,0,0,6,,你看，我们这些官员都要沦落到种田开荒来过活了。
224,1,302,-1,-1,0,0,302,0,10,3,1,6,,这样吧，老奴手上有不少未开荒的[ff000c]封地[-]，我把它给你。
225,1,-1,-1,-1,0,0,302,0,0,0,0,6,,……这些荒地能干嘛？
226,1,302,-1,-1,0,0,302,0,2,1000,1,6,,用[ffdb00]卡魂[-]可以开启这些封地，再派[ffdb00]武将[-]镇守开荒，然后就能收获更多的卡魂了。
227,1,302,-1,-1,0,0,302,0,0,0,0,6,,若是遇到天灾人祸，或是被其他人掠夺，收成就会减少，所以要派遣合适的武将来避免灾祸。
228,1,302,-1,-1,0,0,302,0,0,0,0,6,,如果英雄对自己有信心，也可以去[ff000c]掠夺[-]别人的封地抢夺卡魂，当然这是要先付出一些代价的。
229,1,302,-1,-1,0,0,302,0,0,0,0,6,,至于其他的奖赏，就没了……
230,1,-1,-1,-1,0,0,302,0,0,0,0,6,,没了？张大总管你这是什么意思？
231,1,302,-1,-1,0,0,302,0,0,0,0,6,,英雄莫恼，老奴身在这城里，住宿民居，如果真的身携重金村民岂能不知？老奴确实是没有。
232,1,302,-1,-1,0,0,302,0,0,0,0,6,,此次随皇帝出京，所带物资全在宛城境内被黄巾军所截，现在黄巾军大势已去。
233,1,302,-1,-1,0,0,302,0,0,0,0,6,,英雄可去宛城寻找，如能找回物资，老奴也好兑现赏赐。
234,1,-1,-1,-1,0,0,302,0,0,0,0,6,,好吧，这儿往宛城如何走。
235,1,302,-1,-1,0,0,302,0,0,0,1,6,,我和英雄一同前往，请[ff000c]点击寻路[-]。
