序号,掉落包ID,战器ID,几率
106,1017,1121001,0.022
107,1017,1221001,0.0037
108,1017,1321001,0.022
109,1017,1421001,0.0037
110,1017,1521001,0.0037
111,1017,1122001,0.022
112,1017,1222001,0.0037
113,1017,1322001,0.022
114,1017,1422001,0.0037
115,1017,1522001,0.0037
116,1018,1111005,0.0293
117,1018,1211005,0.176
118,1018,1311005,0.0293
119,1018,1411005,0.176
120,1018,1511005,0.0293
121,1018,1121001,0.0037
122,1018,1221001,0.022
123,1018,1321001,0.0037
124,1018,1421001,0.022
125,1018,1521001,0.0037
126,1018,1122001,0.0037
127,1018,1222001,0.022
128,1018,1322001,0.0037
129,1018,1422001,0.022
130,1018,1522001,0.0037
131,1019,1111005,0.176
132,1019,1211005,0.0293
133,1019,1311005,0.0293
134,1019,1411005,0.0293
135,1019,1511005,0.176
136,1019,1121001,0.022
137,1019,1221001,0.0037
138,1019,1321001,0.0037
139,1019,1421001,0.0037
140,1019,1521001,0.022
141,1019,1122001,0.022
142,1019,1222001,0.0037
143,1019,1322001,0.0037
144,1019,1422001,0.0037
145,1019,1522001,0.022
146,1020,1111005,0.0293
147,1020,1211005,0.0293
148,1020,1311005,0.176
149,1020,1411005,0.176
150,1020,1511005,0.0293
151,1020,1121001,0.0037
152,1020,1221001,0.0037
153,1020,1321001,0.022
154,1020,1421001,0.022
155,1020,1521001,0.0037
156,1020,1122001,0.0037
157,1020,1222001,0.0037
158,1020,1322001,0.022
159,1020,1422001,0.022
160,1020,1522001,0.0037
161,1021,1111005,0.0293
162,1021,1211005,0.176
163,1021,1311005,0.0293
164,1021,1411005,0.0293
165,1021,1511005,0.176
166,1021,1121001,0.0037
167,1021,1221001,0.022
168,1021,1321001,0.0037
169,1021,1421001,0.0037
170,1021,1521001,0.022
171,1021,1122001,0.0037
172,1021,1222001,0.022
173,1021,1322001,0.0037
174,1021,1422001,0.0037
175,1021,1522001,0.022
176,1022,1111005,0.176
177,1022,1211005,0.0293
178,1022,1311005,0.176
179,1022,1411005,0.0293
180,1022,1511005,0.0293
181,1022,1121001,0.022
182,1022,1221001,0.0037
183,1022,1321001,0.022
184,1022,1421001,0.0037
185,1022,1521001,0.0037
186,1022,1122001,0.022
187,1022,1222001,0.0037
188,1022,1322001,0.022
189,1022,1422001,0.0037
190,1022,1522001,0.0037
191,1023,1111005,0.0293
192,1023,1211005,0.176
193,1023,1311005,0.0293
194,1023,1411005,0.176
195,1023,1511005,0.0293
196,1023,1121001,0.0037
197,1023,1221001,0.022
198,1023,1321001,0.0037
199,1023,1421001,0.022
200,1023,1521001,0.0037
201,1023,1122001,0.0037
202,1023,1222001,0.022
203,1023,1322001,0.0037
204,1023,1422001,0.022
205,1023,1522001,0.0037
206,1024,1111006,0.143
207,1024,1211006,0.0238
208,1024,1311006,0.0238
209,1024,1411006,0.0238
210,1024,1511006,0.143
211,1024,1121002,0.0385
212,1024,1221002,0.0064
213,1024,1321002,0.0064
214,1024,1421002,0.0064
215,1024,1521002,0.0385
216,1024,1122002,0.0385
217,1024,1222002,0.0064
218,1024,1322002,0.0064
219,1024,1422002,0.0064
220,1024,1522002,0.0385
221,1025,1111006,0.0238
222,1025,1211006,0.0238
223,1025,1311006,0.143
224,1025,1411006,0.143
225,1025,1511006,0.0238
226,1025,1121002,0.0064
227,1025,1221002,0.0064
228,1025,1321002,0.0385
229,1025,1421002,0.0385
230,1025,1521002,0.0064
231,1025,1122002,0.0064
232,1025,1222002,0.0064
233,1025,1322002,0.0385
234,1025,1422002,0.0385
235,1025,1522002,0.0064
236,1026,1111006,0.0238
237,1026,1211006,0.143
238,1026,1311006,0.0238
239,1026,1411006,0.0238
240,1026,1511006,0.143
241,1026,1121002,0.0064
242,1026,1221002,0.0385
243,1026,1321002,0.0064
244,1026,1421002,0.0064
245,1026,1521002,0.0385
246,1026,1122002,0.0064
247,1026,1222002,0.0385
248,1026,1322002,0.0064
249,1026,1422002,0.0064
250,1026,1522002,0.0385
251,1027,1111006,0.143
252,1027,1211006,0.0238
253,1027,1311006,0.143
254,1027,1411006,0.0238
255,1027,1511006,0.0238
256,1027,1121002,0.0385
257,1027,1221002,0.0064
258,1027,1321002,0.0385
259,1027,1421002,0.0064
260,1027,1521002,0.0064
261,1027,1122002,0.0385
262,1027,1222002,0.0064
263,1027,1322002,0.0385
264,1027,1422002,0.0064
265,1027,1522002,0.0064
266,1028,1111006,0.0238
267,1028,1211006,0.143
268,1028,1311006,0.0238
269,1028,1411006,0.143
270,1028,1511006,0.0238
271,1028,1121003,0.0064
272,1028,1221003,0.0385
273,1028,1321003,0.0064
274,1028,1421003,0.0385
275,1028,1521003,0.0064
276,1028,1122003,0.0064
277,1028,1222003,0.0385
278,1028,1322003,0.0064
279,1028,1422003,0.0385
280,1028,1522003,0.0064
281,1029,1111006,0.143
282,1029,1211006,0.0238
283,1029,1311006,0.0238
284,1029,1411006,0.0238
285,1029,1511006,0.143
286,1029,1121003,0.0385
287,1029,1221003,0.0064
288,1029,1321003,0.0064
289,1029,1421003,0.0064
290,1029,1521003,0.0385
291,1029,1122003,0.0385
292,1029,1222003,0.0064
293,1029,1322003,0.0064
294,1029,1422003,0.0064
295,1029,1522003,0.0385
296,1030,1111006,0.0238
297,1030,1211006,0.0238
298,1030,1311006,0.143
299,1030,1411006,0.143
300,1030,1511006,0.0238
301,1030,1121003,0.0064
302,1030,1221003,0.0064
303,1030,1321003,0.0385
304,1030,1421003,0.0385
305,1030,1521003,0.0064
306,1030,1122003,0.0064
307,1030,1222003,0.0064
308,1030,1322003,0.0385
309,1030,1422003,0.0385
310,1030,1522003,0.0064
311,1031,1111006,0.0238
312,1031,1211006,0.143
313,1031,1311006,0.0238
314,1031,1411006,0.0238
315,1031,1511006,0.143
316,1031,1121003,0.0064
317,1031,1221003,0.0385
318,1031,1321003,0.0064
319,1031,1421003,0.0064
320,1031,1521003,0.0385
321,1031,1122003,0.0064
322,1031,1222003,0.0385
323,1031,1322003,0.0064
324,1031,1422003,0.0064
325,1031,1522003,0.0385
326,1032,1111006,0.143
327,1032,1211006,0.0238
328,1032,1311006,0.143
329,1032,1411006,0.0238
330,1032,1511006,0.0238
331,1032,1121004,0.0385
332,1032,1221004,0.0064
333,1032,1321004,0.0385
334,1032,1421004,0.0064
335,1032,1521004,0.0064
336,1032,1122004,0.0385
337,1032,1222004,0.0064
338,1032,1322004,0.0385
339,1032,1422004,0.0064
340,1032,1522004,0.0064
341,1033,1111006,0.0238
342,1033,1211006,0.143
343,1033,1311006,0.0238
344,1033,1411006,0.143
345,1033,1511006,0.0238
346,1033,1121004,0.0064
347,1033,1221004,0.0385
348,1033,1321004,0.0064
349,1033,1421004,0.0385
350,1033,1521004,0.0064
351,1033,1122004,0.0064
352,1033,1222004,0.0385
353,1033,1322004,0.0064
354,1033,1422004,0.0385
355,1033,1522004,0.0064
356,1034,1111006,0.143
357,1034,1211006,0.0238
358,1034,1311006,0.0238
359,1034,1411006,0.0238
360,1034,1511006,0.143
361,1034,1121004,0.0385
362,1034,1221004,0.0064
363,1034,1321004,0.0064
364,1034,1421004,0.0064
365,1034,1521004,0.0385
366,1034,1122004,0.0385
367,1034,1222004,0.0064
368,1034,1322004,0.0064
369,1034,1422004,0.0064
370,1034,1522004,0.0385
371,1035,1111006,0.0238
372,1035,1211006,0.0238
373,1035,1311006,0.143
374,1035,1411006,0.143
375,1035,1511006,0.0238
376,1035,1121004,0.0064
377,1035,1221004,0.0064
378,1035,1321004,0.0385
379,1035,1421004,0.0385
380,1035,1521004,0.0064
381,1035,1122004,0.0064
382,1035,1222004,0.0064
383,1035,1322004,0.0385
384,1035,1422004,0.0385
385,1035,1522004,0.0064
386,1036,1111006,0.0183
387,1036,1211006,0.11
388,1036,1311006,0.0183
389,1036,1411006,0.0183
390,1036,1511006,0.11
391,1036,1121005,0.0092
392,1036,1221005,0.055
393,1036,1321005,0.0092
394,1036,1421005,0.0092
395,1036,1521005,0.055
396,1036,1122005,0.0092
397,1036,1222005,0.055
398,1036,1322005,0.0092
399,1036,1422005,0.0092
400,1036,1522005,0.055
401,1037,1111006,0.0183
402,1037,1211006,0.11
403,1037,1311006,0.0183
404,1037,1411006,0.11
405,1037,1511006,0.0183
406,1037,1121005,0.0092
407,1037,1221005,0.055
408,1037,1321005,0.0092
409,1037,1421005,0.055
410,1037,1521005,0.0092
411,1037,1122005,0.0092
412,1037,1222005,0.055
413,1037,1322005,0.0092
414,1037,1422005,0.055
415,1037,1522005,0.0092
416,1038,1111006,0.11
417,1038,1211006,0.0183
418,1038,1311006,0.0183
419,1038,1411006,0.0183
420,1038,1511006,0.11
421,1038,1121005,0.055
422,1038,1221005,0.0092
423,1038,1321005,0.0092
424,1038,1421005,0.0092
425,1038,1521005,0.055
426,1038,1122005,0.055
427,1038,1222005,0.0092
428,1038,1322005,0.0092
429,1038,1422005,0.0092
430,1038,1522005,0.055
431,1039,1111006,0.0183
432,1039,1211006,0.0183
433,1039,1311006,0.11
434,1039,1411006,0.11
435,1039,1511006,0.0183
436,1039,1121005,0.0092
437,1039,1221005,0.0092
438,1039,1321005,0.055
439,1039,1421005,0.055
440,1039,1521005,0.0092
441,1039,1122005,0.0092
442,1039,1222005,0.0092
443,1039,1322005,0.055
444,1039,1422005,0.055
445,1039,1522005,0.0092
446,1040,1111006,0.11
447,1040,1211006,0.0183
448,1040,1311006,0.11
449,1040,1411006,0.0183
450,1040,1511006,0.0183
451,1040,1121006,0.055
452,1040,1221006,0.0092
453,1040,1321006,0.055
454,1040,1421006,0.0092
455,1040,1521006,0.0092
456,1040,1122006,0.055
457,1040,1222006,0.0092
458,1040,1322006,0.055
459,1040,1422006,0.0092
460,1040,1522006,0.0092
461,1041,1111006,0.0183
462,1041,1211006,0.11
463,1041,1311006,0.0183
464,1041,1411006,0.0183
465,1041,1511006,0.11
466,1041,1121006,0.0092
467,1041,1221006,0.055
468,1041,1321006,0.0092
469,1041,1421006,0.0092
470,1041,1521006,0.055
471,1041,1122006,0.0092
472,1041,1222006,0.055
473,1041,1322006,0.0092
474,1041,1422006,0.0092
475,1041,1522006,0.055
476,1042,1111006,0.11
477,1042,1211006,0.0183
478,1042,1311006,0.11
479,1042,1411006,0.0183
480,1042,1511006,0.0183
481,1042,1121006,0.055
482,1042,1221006,0.0092
483,1042,1321006,0.055
484,1042,1421006,0.0092
485,1042,1521006,0.0092
486,1042,1122006,0.055
487,1042,1222006,0.0092
488,1042,1322006,0.055
489,1042,1422006,0.0092
490,1042,1522006,0.0092
491,1043,1111006,0.0183
492,1043,1211006,0.11
493,1043,1311006,0.0183
494,1043,1411006,0.11
495,1043,1511006,0.0183
496,1043,1121006,0.0092
497,1043,1221006,0.055
498,1043,1321006,0.0092
499,1043,1421006,0.055
500,1043,1521006,0.0092
501,1043,1122006,0.0092
502,1043,1222006,0.055
503,1043,1322006,0.0092
504,1043,1422006,0.055
505,1043,1522006,0.0092
506,1044,1111006,0.11
507,1044,1211006,0.0183
508,1044,1311006,0.0183
509,1044,1411006,0.0183
510,1044,1511006,0.11
511,1044,1121007,0.055
512,1044,1221007,0.0092
513,1044,1321007,0.0092
514,1044,1421007,0.0092
515,1044,1521007,0.055
516,1044,1122007,0.055
517,1044,1222007,0.0092
518,1044,1322007,0.0092
519,1044,1422007,0.0092
520,1044,1522007,0.055
521,1045,1111006,0.0183
522,1045,1211006,0.0183
523,1045,1311006,0.11
524,1045,1411006,0.11
525,1045,1511006,0.0183
526,1045,1121007,0.0092
527,1045,1221007,0.0092
528,1045,1321007,0.055
529,1045,1421007,0.055
530,1045,1521007,0.0092
531,1045,1122007,0.0092
532,1045,1222007,0.0092
533,1045,1322007,0.055
534,1045,1422007,0.055
535,1045,1522007,0.0092
536,1046,1111006,0.0183
537,1046,1211006,0.11
538,1046,1311006,0.0183
539,1046,1411006,0.0183
540,1046,1511006,0.11
541,1046,1121007,0.0092
542,1046,1221007,0.055
543,1046,1321007,0.0092
544,1046,1421007,0.0092
545,1046,1521007,0.055
546,1046,1122007,0.0092
547,1046,1222007,0.055
548,1046,1322007,0.0092
549,1046,1422007,0.0092
550,1046,1522007,0.055
551,1047,1111006,0.11
552,1047,1211006,0.0183
553,1047,1311006,0.11
554,1047,1411006,0.0183
555,1047,1511006,0.0183
556,1047,1121007,0.055
557,1047,1221007,0.0092
558,1047,1321007,0.055
559,1047,1421007,0.0092
560,1047,1521007,0.0092
561,1047,1122007,0.055
562,1047,1222007,0.0092
563,1047,1322007,0.055
564,1047,1422007,0.0092
565,1047,1522007,0.0092
566,1048,1111006,0.0092
567,1048,1211006,0.055
568,1048,1311006,0.0092
569,1048,1411006,0.055
570,1048,1511006,0.0092
571,1048,1121005,0.011
572,1048,1221005,0.066
573,1048,1321005,0.011
574,1048,1421005,0.066
575,1048,1521005,0.011
576,1048,1122005,0.011
577,1048,1222005,0.066
578,1048,1322005,0.011
579,1048,1422005,0.066
580,1048,1522005,0.011
581,1048,1131001,0.0017
582,1048,1231001,0.0099
583,1048,1331001,0.0017
584,1048,1431001,0.0099
585,1048,1531001,0.0017
586,1048,1132001,0.0022
587,1048,1232001,0.0132
588,1048,1332001,0.0022
589,1048,1432001,0.0132
590,1048,1532001,0.0022
591,1048,1133001,0.0017
592,1048,1233001,0.0099
593,1048,1333001,0.0017
594,1048,1433001,0.0099
595,1048,1533001,0.0017
596,1049,1111006,0.055
597,1049,1211006,0.0092
598,1049,1311006,0.0092
599,1049,1411006,0.0092
600,1049,1511006,0.055
601,1049,1121005,0.066
602,1049,1221005,0.011
603,1049,1321005,0.011
604,1049,1421005,0.011
605,1049,1521005,0.066
606,1049,1122005,0.066
607,1049,1222005,0.011
608,1049,1322005,0.011
609,1049,1422005,0.011
610,1049,1522005,0.066
611,1049,1131001,0.0099
612,1049,1231001,0.0017
613,1049,1331001,0.0017
614,1049,1431001,0.0017
615,1049,1531001,0.0099
616,1049,1132001,0.0132
617,1049,1232001,0.0022
618,1049,1332001,0.0022
619,1049,1432001,0.0022
620,1049,1532001,0.0132
621,1049,1133001,0.0099
622,1049,1233001,0.0017
623,1049,1333001,0.0017
624,1049,1433001,0.0017
625,1049,1533001,0.0099
626,1050,1111006,0.0092
627,1050,1211006,0.0092
628,1050,1311006,0.055
629,1050,1411006,0.055
630,1050,1511006,0.0092
631,1050,1121005,0.011
632,1050,1221005,0.011
633,1050,1321005,0.066
634,1050,1421005,0.066
635,1050,1521005,0.011
636,1050,1122005,0.011
637,1050,1222005,0.011
638,1050,1322005,0.066
639,1050,1422005,0.066
640,1050,1522005,0.011
641,1050,1131001,0.0017
642,1050,1231001,0.0017
643,1050,1331001,0.0099
644,1050,1431001,0.0099
645,1050,1531001,0.0017
646,1050,1132001,0.0022
647,1050,1232001,0.0022
648,1050,1332001,0.0132
649,1050,1432001,0.0132
650,1050,1532001,0.0022
651,1050,1133001,0.0017
652,1050,1233001,0.0017
653,1050,1333001,0.0099
654,1050,1433001,0.0099
655,1050,1533001,0.0017
656,1051,1111006,0.0092
657,1051,1211006,0.055
658,1051,1311006,0.0092
659,1051,1411006,0.0092
660,1051,1511006,0.055
661,1051,1121005,0.011
662,1051,1221005,0.066
663,1051,1321005,0.011
664,1051,1421005,0.011
665,1051,1521005,0.066
666,1051,1122005,0.011
667,1051,1222005,0.066
668,1051,1322005,0.011
669,1051,1422005,0.011
670,1051,1522005,0.066
671,1051,1131001,0.0017
672,1051,1231001,0.0099
673,1051,1331001,0.0017
674,1051,1431001,0.0017
675,1051,1531001,0.0099
676,1051,1132001,0.0022
677,1051,1232001,0.0132
678,1051,1332001,0.0022
679,1051,1432001,0.0022
680,1051,1532001,0.0132
681,1051,1133001,0.0017
682,1051,1233001,0.0099
683,1051,1333001,0.0017
684,1051,1433001,0.0017
685,1051,1533001,0.0099
686,1052,1111006,0.055
687,1052,1211006,0.0092
688,1052,1311006,0.055
689,1052,1411006,0.0092
690,1052,1511006,0.0092
691,1052,1121006,0.066
692,1052,1221006,0.011
693,1052,1321006,0.066
694,1052,1421006,0.011
695,1052,1521006,0.011
696,1052,1122006,0.066
697,1052,1222006,0.011
698,1052,1322006,0.066
699,1052,1422006,0.011
700,1052,1522006,0.011
701,1052,1131001,0.0099
702,1052,1231001,0.0017
703,1052,1331001,0.0099
704,1052,1431001,0.0017
705,1052,1531001,0.0017
706,1052,1132001,0.0132
707,1052,1232001,0.0022
708,1052,1332001,0.0132
709,1052,1432001,0.0022
710,1052,1532001,0.0022
711,1052,1133001,0.0099
712,1052,1233001,0.0017
713,1052,1333001,0.0099
714,1052,1433001,0.0017
715,1052,1533001,0.0017
716,1053,1111006,0.0092
717,1053,1211006,0.055
718,1053,1311006,0.0092
719,1053,1411006,0.055
720,1053,1511006,0.0092
721,1053,1121006,0.011
722,1053,1221006,0.066
723,1053,1321006,0.011
724,1053,1421006,0.066
725,1053,1521006,0.011
726,1053,1122006,0.011
727,1053,1222006,0.066
728,1053,1322006,0.011
729,1053,1422006,0.066
730,1053,1522006,0.011
731,1053,1131001,0.0017
732,1053,1231001,0.0099
733,1053,1331001,0.0017
734,1053,1431001,0.0099
735,1053,1531001,0.0017
736,1053,1132001,0.0022
737,1053,1232001,0.0132
738,1053,1332001,0.0022
739,1053,1432001,0.0132
740,1053,1532001,0.0022
741,1053,1133001,0.0017
742,1053,1233001,0.0099
743,1053,1333001,0.0017
744,1053,1433001,0.0099
745,1053,1533001,0.0017
746,1054,1111006,0.055
747,1054,1211006,0.0092
748,1054,1311006,0.0092
749,1054,1411006,0.0092
750,1054,1511006,0.055
751,1054,1121006,0.066
752,1054,1221006,0.011
753,1054,1321006,0.011
754,1054,1421006,0.011
755,1054,1521006,0.066
756,1054,1122006,0.066
757,1054,1222006,0.011
758,1054,1322006,0.011
759,1054,1422006,0.011
760,1054,1522006,0.066
761,1054,1131001,0.0099
762,1054,1231001,0.0017
763,1054,1331001,0.0017
764,1054,1431001,0.0017
765,1054,1531001,0.0099
766,1054,1132001,0.0132
767,1054,1232001,0.0022
768,1054,1332001,0.0022
769,1054,1432001,0.0022
770,1054,1532001,0.0132
771,1054,1133001,0.0099
772,1054,1233001,0.0017
773,1054,1333001,0.0017
774,1054,1433001,0.0017
775,1054,1533001,0.0099
776,1055,1111006,0.0092
777,1055,1211006,0.0092
778,1055,1311006,0.055
779,1055,1411006,0.055
780,1055,1511006,0.0092
781,1055,1121006,0.011
782,1055,1221006,0.011
783,1055,1321006,0.066
784,1055,1421006,0.066
785,1055,1521006,0.011
786,1055,1122006,0.011
787,1055,1222006,0.011
788,1055,1322006,0.066
789,1055,1422006,0.066
790,1055,1522006,0.011
791,1055,1131001,0.0017
792,1055,1231001,0.0017
793,1055,1331001,0.0099
794,1055,1431001,0.0099
795,1055,1531001,0.0017
796,1055,1132001,0.0022
797,1055,1232001,0.0022
798,1055,1332001,0.0132
799,1055,1432001,0.0132
800,1055,1532001,0.0022
801,1055,1133001,0.0017
802,1055,1233001,0.0017
803,1055,1333001,0.0099
804,1055,1433001,0.0099
805,1055,1533001,0.0017
806,1056,1111006,0.0092
807,1056,1211006,0.055
808,1056,1311006,0.0092
809,1056,1411006,0.0092
810,1056,1511006,0.055
811,1056,1121007,0.011
812,1056,1221007,0.066
813,1056,1321007,0.011
814,1056,1421007,0.011
815,1056,1521007,0.066
816,1056,1122007,0.011
817,1056,1222007,0.066
818,1056,1322007,0.011
819,1056,1422007,0.011
820,1056,1522007,0.066
821,1056,1131001,0.0017
822,1056,1231001,0.0099
823,1056,1331001,0.0017
824,1056,1431001,0.0017
825,1056,1531001,0.0099
826,1056,1132001,0.0022
827,1056,1232001,0.0132
828,1056,1332001,0.0022
829,1056,1432001,0.0022
830,1056,1532001,0.0132
831,1056,1133001,0.0017
832,1056,1233001,0.0099
833,1056,1333001,0.0017
834,1056,1433001,0.0017
835,1056,1533001,0.0099
836,1057,1111006,0.055
837,1057,1211006,0.0092
838,1057,1311006,0.055
839,1057,1411006,0.0092
840,1057,1511006,0.0092
841,1057,1121007,0.066
842,1057,1221007,0.011
843,1057,1321007,0.066
844,1057,1421007,0.011
845,1057,1521007,0.011
846,1057,1122007,0.066
847,1057,1222007,0.011
848,1057,1322007,0.066
849,1057,1422007,0.011
850,1057,1522007,0.011
851,1057,1131001,0.0099
852,1057,1231001,0.0017
853,1057,1331001,0.0099
854,1057,1431001,0.0017
855,1057,1531001,0.0017
856,1057,1132001,0.0132
857,1057,1232001,0.0022
858,1057,1332001,0.0132
859,1057,1432001,0.0022
860,1057,1532001,0.0022
861,1057,1133001,0.0099
862,1057,1233001,0.0017
863,1057,1333001,0.0099
864,1057,1433001,0.0017
865,1057,1533001,0.0017
866,1058,1111006,0.0092
867,1058,1211006,0.055
868,1058,1311006,0.0092
869,1058,1411006,0.055
870,1058,1511006,0.0092
871,1058,1121007,0.011
872,1058,1221007,0.066
873,1058,1321007,0.011
874,1058,1421007,0.066
875,1058,1521007,0.011
876,1058,1122007,0.011
877,1058,1222007,0.066
878,1058,1322007,0.011
879,1058,1422007,0.066
880,1058,1522007,0.011
881,1058,1131001,0.0017
882,1058,1231001,0.0099
883,1058,1331001,0.0017
884,1058,1431001,0.0099
885,1058,1531001,0.0017
886,1058,1132001,0.0022
887,1058,1232001,0.0132
888,1058,1332001,0.0022
889,1058,1432001,0.0132
890,1058,1532001,0.0022
891,1058,1133001,0.0017
892,1058,1233001,0.0099
893,1058,1333001,0.0017
894,1058,1433001,0.0099
895,1058,1533001,0.0017
896,1059,1111006,0.055
897,1059,1211006,0.0092
898,1059,1311006,0.0092
899,1059,1411006,0.0092
900,1059,1511006,0.055
901,1059,1121007,0.066
902,1059,1221007,0.011
903,1059,1321007,0.011
904,1059,1421007,0.011
905,1059,1521007,0.066
906,1059,1122007,0.066
907,1059,1222007,0.011
908,1059,1322007,0.011
909,1059,1422007,0.011
910,1059,1522007,0.066
911,1059,1131001,0.0099
912,1059,1231001,0.0017
913,1059,1331001,0.0017
914,1059,1431001,0.0017
915,1059,1531001,0.0099
916,1059,1132001,0.0132
917,1059,1232001,0.0022
918,1059,1332001,0.0022
919,1059,1432001,0.0022
920,1059,1532001,0.0132
921,1059,1133001,0.0099
922,1059,1233001,0.0017
923,1059,1333001,0.0017
924,1059,1433001,0.0017
925,1059,1533001,0.0099
926,1060,1121008,0.0147
927,1060,1221008,0.0147
928,1060,1321008,0.088
929,1060,1421008,0.088
930,1060,1521008,0.0147
931,1060,1122008,0.0147
932,1060,1222008,0.0147
933,1060,1322008,0.088
934,1060,1422008,0.088
935,1060,1522008,0.0147
936,1060,1131002,0.0022
937,1060,1231002,0.0022
938,1060,1331002,0.0132
939,1060,1431002,0.0132
940,1060,1531002,0.0022
941,1060,1132002,0.0029
942,1060,1232002,0.0029
943,1060,1332002,0.0176
944,1060,1432002,0.0176
945,1060,1532002,0.0029
946,1060,1133002,0.0022
947,1060,1233002,0.0022
948,1060,1333002,0.0132
949,1060,1433002,0.0132
950,1060,1533002,0.0022
951,1061,1121008,0.0147
952,1061,1221008,0.088
953,1061,1321008,0.0147
954,1061,1421008,0.0147
955,1061,1521008,0.088
956,1061,1122008,0.0147
957,1061,1222008,0.088
958,1061,1322008,0.0147
959,1061,1422008,0.0147
960,1061,1522008,0.088
961,1061,1131002,0.0022
962,1061,1231002,0.0132
963,1061,1331002,0.0022
964,1061,1431002,0.0022
965,1061,1531002,0.0132
966,1061,1132002,0.0029
967,1061,1232002,0.0176
968,1061,1332002,0.0029
969,1061,1432002,0.0029
970,1061,1532002,0.0176
971,1061,1133002,0.0022
972,1061,1233002,0.0132
973,1061,1333002,0.0022
974,1061,1433002,0.0022
975,1061,1533002,0.0132
976,1062,1121008,0.0147
977,1062,1221008,0.088
978,1062,1321008,0.0147
979,1062,1421008,0.088
980,1062,1521008,0.0147
981,1062,1122008,0.0147
982,1062,1222008,0.088
983,1062,1322008,0.0147
984,1062,1422008,0.088
985,1062,1522008,0.0147
986,1062,1131002,0.0022
987,1062,1231002,0.0132
988,1062,1331002,0.0022
989,1062,1431002,0.0132
990,1062,1531002,0.0022
991,1062,1132002,0.0029
992,1062,1232002,0.0176
993,1062,1332002,0.0029
994,1062,1432002,0.0176
995,1062,1532002,0.0029
996,1062,1133002,0.0022
997,1062,1233002,0.0132
998,1062,1333002,0.0022
999,1062,1433002,0.0132
1000,1062,1533002,0.0022
1001,1063,1121008,0.088
1002,1063,1221008,0.0147
1003,1063,1321008,0.0147
1004,1063,1421008,0.0147
1005,1063,1521008,0.088
1006,1063,1122008,0.088
1007,1063,1222008,0.0147
1008,1063,1322008,0.0147
1009,1063,1422008,0.0147
1010,1063,1522008,0.088
1011,1063,1131002,0.0132
1012,1063,1231002,0.0022
1013,1063,1331002,0.0022
1014,1063,1431002,0.0022
1015,1063,1531002,0.0132
1016,1063,1132002,0.0176
1017,1063,1232002,0.0029
1018,1063,1332002,0.0029
