序号,类型 0:枪|1:弓|2:骑,武将风格,类型名,名字,国家 1:魏|2:蜀|3:吴|4:他,品质,人物等级,等级,武力,智力,兵力,士气,技能,被动技能1,被动技能2,被动技能3,被动技能,兵种等级,战器淬炼（CSVMagicWeaponSmeltAttr.csv）,性别(1男2女）,持续周期,Boss,互斥Id,默认x,默认y,默认战法,小图片atlas,小图片sprite,大图片,技能语音,死亡语音
11052,2,1,骑,黄巾骑兵,4,1,1,1,51,52,39,0,10010521,-1,-1,-1,null,1,null,1,0,0,0,0,0,0,SmallCardAtlas,UITexture/card_list/scard2019,card2019,warrior/4S_02n,warrior/4D_02
11053,1,2,弓,黄巾弓兵,4,1,1,1,47,59,28,1,40010511,-1,-1,-1,null,1,null,1,0,0,0,0,0,0,SmallCardAtlas,UITexture/card_list/scard2010,card2010,warrior/1S_05n,warrior/1D_03n
11061,2,3,骑,黄巾骑兵,4,1,1,1,60,56,41,2,0,-1,-1,-1,null,1,null,1,0,0,0,0,0,0,SmallCardAtlas,UITexture/card_list/scard2019,card2019,warrior/4S_02n,warrior/4D_02
11062,0,4,枪,黄巾枪兵,4,1,1,1,55,56,45,0,30010601,-1,-1,-1,null,1,null,1,0,0,0,0,0,0,SmallCardAtlas,UITexture/card_list/scard2029,card2029,warrior/4S_02n,warrior/4D_01
11071,1,1,弓,黄巾弓兵,4,1,1,1,67,60,33,0,0,-1,-1,-1,null,1,null,1,0,0,0,0,0,0,SmallCardAtlas,UITexture/card_list/scard2010,card2010,warrior/4S_03,warrior/4D_05n
11072,1,2,弓,黄巾弓兵,4,1,1,1,54,75,33,0,20010711,-1,-1,-1,null,1,null,1,0,0,0,0,0,0,SmallCardAtlas,UITexture/card_list/scard2029,card2029,warrior/4S_03,warrior/4D_03
11081,1,3,弓,黄巾弓兵,4,1,1,1,63,73,30,0,0,-1,-1,-1,null,1,null,1,0,0,0,0,0,0,SmallCardAtlas,UITexture/card_list/scard2010,card2010,warrior/1S_02,warrior/1D_06
11082,2,4,骑,张梁,4,2,1,2,71,61,53,2,20010821,-1,-1,-1,null,1,null,1,0,0,0,0,0,0,SmallCardAtlas,UITexture/card_list/scard2015,card2015,warrior/4S_01,warrior/4D_03
11083,0,1,枪,黄巾枪兵,4,1,1,1,63,61,59,0,0,-1,-1,-1,null,1,null,1,0,0,0,0,0,0,SmallCardAtlas,UITexture/card_list/scard2029,card2029,warrior/4S_04,warrior/4D_06
11091,1,2,弓,黄巾弓兵,4,1,1,1,64,73,32,0,0,-1,-1,-1,null,1,null,1,0,0,0,0,0,0,SmallCardAtlas,UITexture/card_list/scard2010,card2010,warrior/4S_02n,warrior/4D_05n
11092,0,3,枪,张曼成,4,2,1,2,72,62,54,0,10010801,-1,-1,-1,null,1,null,1,0,0,0,0,0,0,SmallCardAtlas,UITexture/card_list/scard2031,card2031,warrior/4S_03,warrior/4D_04
11093,0,4,枪,张燕,4,2,1,2,65,62,61,0,20010901,-1,-1,-1,null,1,null,1,0,0,0,0,0,0,SmallCardAtlas,UITexture/card_list/scard2003,card2003,warrior/2S_04,warrior/2D_04
11094,0,1,枪,张宝,4,3,1,2,57,81,53,2,40010901,-1,-1,-1,null,1,null,1,0,0,0,0,0,0,SmallCardAtlas,UITexture/card_list/scard2016,card2016,warrior/4S_01,warrior/4D_02
11101,0,2,枪,黄巾枪兵,4,1,1,1,76,65,57,0,0,-1,-1,-1,null,1,null,1,0,0,0,0,0,0,SmallCardAtlas,UITexture/card_list/scard2009,card2009,warrior/4S_05,warrior/4D_07
11102,2,3,骑,黄巾骑兵,4,1,1,2,77,65,58,2,20011021,-1,-1,-1,null,1,null,1,0,0,0,0,0,0,SmallCardAtlas,UITexture/card_list/scard2019,card2019,warrior/4S_05,warrior/4D_06
11103,2,4,骑,黄巾骑兵,4,1,1,1,77,65,58,3,20011022,-1,-1,-1,null,1,null,1,0,0,0,0,0,0,SmallCardAtlas,UITexture/card_list/scard2029,card2029,warrior/4S_06,warrior/4D_07
11111,2,1,骑,黄巾骑兵,4,1,1,1,79,66,58,0,0,-1,-1,-1,null,1,null,1,0,0,0,0,0,0,SmallCardAtlas,UITexture/card_list/scard2019,card2019,warrior/1S_05n,warrior/1D_05
11112,1,2,弓,黄巾弓兵,4,1,1,2,69,78,35,2,30011111,-1,-1,-1,null,1,null,1,0,0,0,0,0,0,SmallCardAtlas,UITexture/card_list/scard2010,card2010,warrior/4S_03,warrior/4D_06
11121,2,3,骑,张梁,4,3,1,2,84,68,64,0,20011221,-1,-1,-1,null,1,null,1,0,0,0,0,0,0,SmallCardAtlas,UITexture/card_list/scard2015,card2015,warrior/4S_01,warrior/4D_03
11122,1,4,弓,张角,4,4,1,3,63,93,63,0,40011211,-1,-1,-1,null,1,null,1,0,0,0,0,0,0,SmallCardAtlas,UITexture/card_list/scard28,card28,warrior/28S,warrior/28D
11123,0,1,枪,张宝,4,3,1,2,72,68,75,0,40011201,-1,-1,-1,null,1,null,1,0,0,0,0,0,0,SmallCardAtlas,UITexture/card_list/scard2016,card2016,warrior/4S_01,warrior/4D_02
11124,1,2,弓,黄巾弓兵,4,1,1,2,69,72,82,0,0,-1,-1,-1,null,1,null,1,0,0,0,0,0,0,SmallCardAtlas,UITexture/card_list/scard2010,card2010,warrior/4S_04,warrior/4D_07
12011,2,3,骑,董白,4,3,16,2,109,80,75,3.5,10020121,-1,-1,-1,null,1,null,2,0,0,0,0,0,0,SmallCardAtlas,UITexture/card_list/scard118,card118,warrior/44S,warrior/44D
12012,2,4,骑,西凉骑兵,4,2,16,1,84,73,81,0,0,-1,-1,-1,null,1,null,1,0,0,0,0,0,0,SmallCardAtlas,UITexture/card_list/scard2015,card2015,warrior/4S_03,warrior/4D_06
12013,2,1,骑,西凉骑兵,4,2,16,1,84,73,81,0,0,-1,-1,-1,null,1,null,1,0,0,0,0,0,0,SmallCardAtlas,UITexture/card_list/scard2015,card2015,warrior/4S_05,warrior/4D_03
12021,2,2,骑,西凉骑兵,4,2,16,1,101,75,69,3,30020221,-1,-1,-1,null,1,null,1,0,0,0,0,0,0,SmallCardAtlas,UITexture/card_list/scard2015,card2015,warrior/4S_04,warrior/4D_07
12022,1,3,弓,西凉弓兵,4,2,16,1,68,112,68,0,40020211,-1,-1,-1,null,1,null,1,0,0,0,0,0,0,SmallCardAtlas,UITexture/card_list/scard2010,card2010,warrior/4S_04,warrior/4D_07
12023,1,4,弓,西凉弓兵,4,2,16,1,83,95,68,0,0,-1,-1,-1,null,1,null,1,0,0,0,0,0,0,SmallCardAtlas,UITexture/card_list/scard2010,card2010,warrior/4S_04,warrior/4D_07
12031,2,1,骑,徐荣,4,3,17,2,116,85,79,0,11081,-1,-1,-1,null,1,null,1,0,0,0,0,0,0,SmallCardAtlas,UITexture/card_list/scard2021,card2021,warrior/3S_05,warrior/3D_02
12032,1,2,弓,西凉弓兵,4,2,17,1,87,99,70,0,20020311,-1,-1,-1,null,1,null,1,0,0,0,0,0,0,SmallCardAtlas,UITexture/card_list/scard2010,card2010,warrior/4S_05,warrior/4D_03
12033,0,3,枪,西凉枪兵,4,2,17,1,87,77,88,0,0,-1,-1,-1,null,1,null,1,0,0,0,0,0,0,SmallCardAtlas,UITexture/card_list/scard2024,card2024,warrior/3S_04,warrior/3D_03n
12034,2,4,骑,西凉骑兵,4,2,17,2,89,77,85,0,0,-1,-1,-1,null,1,null,1,0,0,0,0,0,0,SmallCardAtlas,UITexture/card_list/scard2015,card2015,warrior/4S_05,warrior/4D_03
12041,0,1,枪,西凉枪兵,4,2,17,1,88,78,89,0,0,-1,-1,-1,null,1,null,1,0,0,0,0,0,0,SmallCardAtlas,UITexture/card_list/scard2024,card2024,warrior/3S_04,warrior/3D_03n
12042,1,2,弓,西凉弓兵,4,2,17,2,104,83,71,1.5,20020411,-1,-1,-1,null,1,null,1,0,0,0,0,0,0,SmallCardAtlas,UITexture/card_list/scard2010,card2010,warrior/4S_06,warrior/4D_04
12043,2,3,骑,西凉骑兵,4,2,17,2,107,78,73,0,10020421,-1,-1,-1,null,1,null,1,0,0,0,0,0,0,SmallCardAtlas,UITexture/card_list/scard2015,card2015,warrior/4S_05,warrior/4D_03
12051,2,4,骑,真·徐荣,4,3,18,2,196,81,240,2,10020521,-1,-1,-1,null,1,null,1,0,0,0,0,0,0,SmallCardAtlas,UITexture/card_list/scard2021,card2021,warrior/3S_05,warrior/3D_02
12052,2,1,骑,真·董白,4,3,18,2,232,81,203,0,10020522,-1,-1,-1,null,1,null,2,0,0,0,0,0,0,SmallCardAtlas,UITexture/card_list/scard118,card118,warrior/44S,warrior/44D
12061,0,2,枪,西凉枪兵,4,2,18,2,93,82,95,0,10020601,-1,-1,-1,null,1,null,1,0,0,0,0,0,0,SmallCardAtlas,UITexture/card_list/scard2010,card2010,warrior/2S_01,warrior/2D_05n
12062,0,3,枪,西凉枪兵,4,2,18,1,93,82,95,0,0,-1,-1,-1,null,1,null,1,0,0,0,0,0,0,SmallCardAtlas,UITexture/card_list/scard2024,card2024,warrior/6S_05n,warrior/6D_03n
12063,2,4,骑,西凉骑兵,4,2,18,1,114,82,78,0,20020621,-1,-1,-1,null,1,null,1,0,0,0,0,0,0,SmallCardAtlas,UITexture/card_list/scard2015,card2015,warrior/2S_01,warrior/2D_05n
12064,2,1,骑,西凉骑兵,4,2,18,1,114,82,78,0,20020621,-1,-1,-1,null,1,null,1,0,0,0,0,0,0,SmallCardAtlas,UITexture/card_list/scard2015,card2015,warrior/5S_04n,warrior/5D_03n
12071,1,2,弓,李儒,4,3,19,2,90,134,88,0,40020711,-1,-1,-1,null,1,null,1,0,0,0,0,0,0,SmallCardAtlas,UITexture/card_list/scard2004,card2004,warrior/5S_04n,warrior/5D_03n
12072,0,3,枪,西凉枪兵,4,2,19,2,100,86,101,0,30020701,-1,-1,-1,null,1,null,1,0,0,0,0,0,0,SmallCardAtlas,UITexture/card_list/scard2024,card2024,warrior/6S_06,warrior/6D_04
12073,0,4,枪,西凉枪兵,4,2,19,1,100,86,101,0,0,-1,-1,-1,null,1,null,1,0,0,0,0,0,0,SmallCardAtlas,UITexture/card_list/scard2024,card2024,warrior/6S_06,warrior/6D_04
12081,1,1,弓,西凉弓兵,4,2,19,2,106,117,83,0,40020811,-1,-1,-1,null,1,null,1,0,0,0,0,0,0,SmallCardAtlas,UITexture/card_list/scard2010,card2010,warrior/5S_04n,warrior/5D_03n
12082,0,2,枪,西凉枪兵,4,2,19,1,106,89,106,0,20020801,-1,-1,-1,null,1,null,1,0,0,0,0,0,0,SmallCardAtlas,UITexture/card_list/scard2024,card2024,warrior/1S_06,warrior/1D_04
12083,2,3,骑,西凉骑兵,4,2,19,2,129,89,87,0,0,-1,-1,-1,null,1,null,1,0,0,0,0,0,0,SmallCardAtlas,UITexture/card_list/scard2015,card2015,warrior/6S_05n,warrior/6D_03n
12091,1,4,弓,貂蝉,4,4,19,3,122,132,95,0,20020911,-1,-1,-1,null,1,null,2,0,0,0,0,0,0,SmallCardAtlas,UITexture/card_list/scard34,card34,warrior/34S,warrior/34D
12092,1,1,弓,李儒,4,3,19,2,100,141,95,0,40020911,-1,-1,-1,null,1,null,1,0,0,0,0,0,0,SmallCardAtlas,UITexture/card_list/scard2004,card2004,warrior/5S_04n,warrior/5D_03n
12093,2,2,骑,西凉骑兵,4,2,19,2,135,91,90,1.5,10020921,-1,-1,-1,null,1,null,1,0,0,0,0,0,0,SmallCardAtlas,UITexture/card_list/scard2015,card2015,warrior/6S_06,warrior/6D_04
12094,0,3,枪,西凉枪兵,4,2,19,1,111,91,110,0,0,-1,-1,-1,null,1,null,1,0,0,0,0,0,0,SmallCardAtlas,UITexture/card_list/scard2024,card2024,warrior/1S_06,warrior/1D_04
12101,1,4,弓,西凉弓兵,4,2,20,2,139,102,91,0,40021011,-1,-1,-1,null,1,null,1,0,0,0,0,0,0,SmallCardAtlas,UITexture/card_list/scard2010,card2010,warrior/6S_05n,warrior/6D_03n
12102,0,1,枪,西凉枪兵,4,2,20,1,118,95,116,1.5,10021001,-1,-1,-1,null,1,null,1,0,0,0,0,0,0,SmallCardAtlas,UITexture/card_list/scard2024,card2024,warrior/6S_05n,warrior/6D_03n
12103,1,2,弓,西凉弓兵,4,2,20,1,139,102,91,0,40021011,-1,-1,-1,null,1,null,1,0,0,0,0,0,0,SmallCardAtlas,UITexture/card_list/scard2010,card2010,warrior/6S_05n,warrior/6D_03n
12111,1,3,弓,西凉弓兵,4,2,20,2,145,105,95,1,10021111,-1,-1,-1,null,1,null,1,0,0,0,0,0,0,SmallCardAtlas,UITexture/card_list/scard2010,card2010,warrior/6S_05n,warrior/6D_03n
12112,0,4,枪,西凉枪兵,4,2,20,1,123,97,120,0,30021101,-1,-1,-1,null,1,null,1,0,0,0,0,0,0,SmallCardAtlas,UITexture/card_list/scard2024,card2024,warrior/6S_06,warrior/6D_04
12113,2,3,骑,西凉骑兵,4,2,20,2,151,97,98,0,10021121,-1,-1,-1,null,1,null,1,0,0,0,0,0,0,SmallCardAtlas,UITexture/card_list/scard2015,card2015,warrior/6S_06,warrior/6D_04
12121,1,4,弓,李儒,4,3,21,2,117,161,126,0,40021211,-1,-1,-1,null,1,null,1,0,0,0,0,0,0,SmallCardAtlas,UITexture/card_list/scard2004,card2004,warrior/5S_04n,warrior/5D_03n
12122,1,1,弓,貂蝉,4,4,21,3,140,137,126,4,20021211,-1,-1,-1,null,1,null,1,0,0,0,0,0,0,SmallCardAtlas,UITexture/card_list/scard34,card34,warrior/34S,warrior/34D
12123,2,2,骑,徐荣,4,4,21,3,187,104,155,4,10021221,-1,-1,-1,null,1,null,1,0,0,0,0,0,0,SmallCardAtlas,UITexture/card_list/scard2021,card2021,warrior/3S_05,warrior/3D_02
12124,2,3,骑,董白,4,3,21,2,179,104,132,0,10021222,-1,-1,-1,null,1,null,2,0,0,0,0,0,0,SmallCardAtlas,UITexture/card_list/scard118,card118,warrior/44S,warrior/44D
12125,2,4,骑,西凉骑兵,4,2,21,1,170,104,132,0,0,-1,-1,-1,null,1,null,1,0,0,0,0,0,0,SmallCardAtlas,UITexture/card_list/scard2015,card2015,warrior/1S_05n,warrior/1D_03n
13011,2,1,骑,西凉骑兵,4,2,20,2,181,110,139,0,0,-1,-1,-1,null,1,null,1,0,0,0,0,0,0,SmallCardAtlas,UITexture/card_list/scard2015,card2015,warrior/1S_06,warrior/1D_04
13012,0,2,枪,西凉枪兵,4,2,20,1,149,110,170,0,30030101,-1,-1,-1,null,1,null,1,0,0,0,0,0,0,SmallCardAtlas,UITexture/card_list/scard2024,card2024,warrior/1S_05n,warrior/1D_03n
13013,1,3,弓,西凉弓兵,4,2,20,1,125,170,133,1,40030111,-1,-1,-1,null,1,null,1,0,0,0,0,0,0,SmallCardAtlas,UITexture/card_list/scard2010,card2010,warrior/6S_06,warrior/6D_04
13021,0,4,枪,西凉枪兵,4,2,20,2,152,110,171,0,10030202,-1,-1,-1,null,1,null,1,0,0,0,0,0,0,SmallCardAtlas,UITexture/card_list/scard2024,card2024,warrior/1S_06,warrior/1D_04
13022,0,1,枪,西凉枪兵,4,2,20,1,176,110,146,3,10030201,-1,-1,-1,null,1,null,1,0,0,0,0,0,0,SmallCardAtlas,UITexture/card_list/scard2024,card2024,warrior/1S_05n,warrior/1D_03n
13023,2,2,骑,西凉骑兵,4,2,20,2,184,110,140,0,0,-1,-1,-1,null,1,null,1,0,0,0,0,0,0,SmallCardAtlas,UITexture/card_list/scard2015,card2015,warrior/1S_06,warrior/1D_04
13031,2,3,骑,山贼头领,4,2,20,2,186,110,140,1,10030321,-1,-1,-1,null,1,null,1,0,0,0,0,0,0,SmallCardAtlas,UITexture/card_list/scard2031,card2031,warrior/4S_03,warrior/4D_04
13032,0,4,枪,山贼,4,2,20,1,154,110,172,0,0,-1,-1,-1,null,1,null,1,0,0,0,0,0,0,SmallCardAtlas,UITexture/card_list/scard2005,card2005,warrior/6S_05n,warrior/6D_01
13033,1,1,弓,山贼,4,2,20,1,129,172,134,0,30030311,-1,-1,-1,null,1,null,1,0,0,0,0,0,0,SmallCardAtlas,UITexture/card_list/scard2010,card2010,warrior/4S_04,warrior/4D_07
13041,0,2,枪,洛阳守卫,4,2,21,2,159,112,176,0,20030401,-1,-1,-1,null,1,null,1,0,0,0,0,0,0,SmallCardAtlas,UITexture/card_list/scard2024,card2024,warrior/1S_05n,warrior/1D_03n
13042,1,3,弓,洛阳巡卫,4,2,21,2,133,176,137,0,20030411,-1,-1,-1,null,1,null,1,0,0,0,0,0,0,SmallCardAtlas,UITexture/card_list/scard2010,card2010,warrior/6S_06,warrior/6D_04
13051,2,4,骑,真·吕玲绮,4,4,21,3,335,128,493,3,10030521,-1,-1,-1,null,1,null,2,0,0,0,0,0,0,SmallCardAtlas,UITexture/card_list/scard44,card44,warrior/44S,warrior/44D
13052,2,1,骑,西凉骑兵,4,2,21,2,205,118,151,0,20030521,-1,-1,-1,null,1,null,1,0,0,0,0,0,0,SmallCardAtlas,UITexture/card_list/scard2015,card2015,warrior/1S_06,warrior/1D_04
13061,2,2,骑,西凉骑兵,4,2,22,2,202,114,147,3,30030621,-1,-1,-1,null,1,null,1,0,0,0,0,0,0,SmallCardAtlas,UITexture/card_list/scard2015,card2015,warrior/1S_06,warrior/1D_04
13062,1,3,弓,西凉弓兵,4,2,22,2,139,183,140,0,40030611,-1,-1,-1,null,1,null,1,0,0,0,0,0,0,SmallCardAtlas,UITexture/card_list/scard2010,card2010,warrior/6S_06,warrior/6D_04
13063,1,4,弓,西凉弓兵,4,2,22,1,193,125,140,0,0,-1,-1,-1,null,1,null,1,0,0,0,0,0,0,SmallCardAtlas,UITexture/card_list/scard2010,card2010,warrior/6S_06,warrior/6D_04
13071,2,1,骑,真·吕玲绮,4,4,22,3,320,134,413,2,10030721,-1,-1,-1,null,1,null,2,0,0,0,0,0,0,SmallCardAtlas,UITexture/card_list/scard44,card44,warrior/44S,warrior/44D
13072,1,2,弓,真·吕姬,4,3,22,3,306,148,326,2.5,10030711,-1,-1,-1,null,1,null,2,0,0,0,0,0,0,SmallCardAtlas,UITexture/card_list/scard206,card206,warrior/9S_01,warrior/9D_06
13081,0,3,枪,西凉枪兵,4,2,23,2,208,122,164,2,20030801,-1,-1,-1,null,1,null,1,0,0,0,0,0,0,SmallCardAtlas,UITexture/card_list/scard2024,card2024,warrior/1S_06,warrior/1D_04
13082,0,4,枪,西凉枪兵,4,2,23,1,179,122,194,0,0,-1,-1,-1,null,1,null,1,0,0,0,0,0,0,SmallCardAtlas,UITexture/card_list/scard2024,card2024,warrior/1S_05n,warrior/1D_03n
13083,2,1,骑 ,西凉骑兵,4,2,23,2,217,122,156,0,10030821,-1,-1,-1,null,1,null,1,0,0,0,0,0,0,SmallCardAtlas,UITexture/card_list/scard2015,card2015,warrior/1S_06,warrior/1D_04
13091,0,2,枪,潘凤,4,2,23,2,256,150,202,3,10030901,-1,-1,-1,null,1,null,1,0,0,0,0,0,0,SmallCardAtlas,UITexture/card_list/scard2021,card2021,warrior/1S_02,warrior/1D_02
13092,1,3,弓,西凉弓兵,4,2,23,2,155,198,152,0,40030911,-1,-1,-1,null,1,null,1,0,0,0,0,0,0,SmallCardAtlas,UITexture/card_list/scard2010,card2010,warrior/6S_06,warrior/6D_04
13093,1,4,弓,西凉弓兵,4,2,23,1,213,138,152,0,10030911,-1,-1,-1,null,1,null,1,0,0,0,0,0,0,SmallCardAtlas,UITexture/card_list/scard2010,card2010,warrior/6S_05n,warrior/6D_03n
13101,2,1,骑,牛辅,4,2,24,2,279,155,200,4,10031021,-1,-1,-1,null,1,null,1,0,0,0,0,0,0,SmallCardAtlas,UITexture/card_list/scard2005,card2005,warrior/6S_06,warrior/6D_04
13102,2,2,骑,西凉骑兵,4,2,24,2,233,129,166,0,10031022,-1,-1,-1,null,1,null,1,0,0,0,0,0,0,SmallCardAtlas,UITexture/card_list/scard2015,card2015,warrior/1S_06,warrior/1D_04
13103,1,3,弓,西凉弓兵,4,2,24,1,162,207,158,0,40031011,-1,-1,-1,null,1,null,1,0,0,0,0,0,0,SmallCardAtlas,UITexture/card_list/scard2010,card2010,warrior/6S_05n,warrior/6D_03n
13111,2,4,骑,西凉骑兵,4,2,24,2,239,132,170,5,10031121,-1,-1,-1,null,1,null,1,0,0,0,0,0,0,SmallCardAtlas,UITexture/card_list/scard2015,card2015,warrior/1S_06,warrior/1D_04
13112,0,1,枪,西凉枪兵,4,2,24,2,228,132,179,0,10031101,-1,-1,-1,null,1,null,1,0,0,0,0,0,0,SmallCardAtlas,UITexture/card_list/scard2024,card2024,warrior/1S_05n,warrior/1D_03n
13113,1,2,弓,西凉弓兵,4,2,24,2,197,179,161,0,20031111,-1,-1,-1,null,1,null,1,0,0,0,0,0,0,SmallCardAtlas,UITexture/card_list/scard2010,card2010,warrior/6S_05n,warrior/6D_03n
13121,2,3,骑,徐荣,4,3,25,2,357,156,202,5,10031223,-1,-1,-1,null,1,null,1,0,0,0,0,0,0,SmallCardAtlas,UITexture/card_list/scard2021,card2021,warrior/3S_05,warrior/3D_02
13122,1,4,弓,李儒,4,3,25,3,198,251,191,0,40031211,-1,-1,-1,null,1,null,1,0,0,0,0,0,0,SmallCardAtlas,UITexture/card_list/scard2004,card2004,warrior/5S_04n,warrior/5D_03n
13123,2,1,骑,李蒙,4,3,25,2,309,156,238,0,10031221,-1,-1,-1,null,1,null,1,0,0,0,0,0,0,SmallCardAtlas,UITexture/card_list/scard2031,card2031,warrior/4S_03,warrior/4D_04
13124,2,1,骑,王方,4,3,25,2,314,156,238,0,10031222,-1,-1,-1,null,1,null,1,0,0,0,0,0,0,SmallCardAtlas,UITexture/card_list/scard2024,card2024,warrior/1S_04,warrior/1D_01
13125,2,2,骑,樊稠,4,3,25,2,304,156,238,0,30031221,-1,-1,-1,null,1,null,1,0,0,0,0,0,0,SmallCardAtlas,UITexture/card_list/scard2015,card2015,warrior/6S_03,warrior/6D_03n
14011,1,3,弓,西凉伏兵,4,3,26,3,244,169,171,0,20040111,-1,-1,-1,null,1,null,1,0,0,0,0,0,0,SmallCardAtlas,UITexture/card_list/scard2010,card2010,warrior/6S_05n,warrior/6D_03n
14021,0,4,枪,西凉枪兵,4,3,26,3,249,157,195,0,0,-1,-1,-1,null,1,null,1,0,0,0,0,0,0,SmallCardAtlas,UITexture/card_list/scard2024,card2024,warrior/1S_06,warrior/1D_04
14022,1,1,弓,西凉兵长,4,3,26,3,249,174,175,0,10040211,-1,-1,-1,null,1,null,1,0,0,0,0,0,0,SmallCardAtlas,UITexture/card_list/scard2010,card2010,warrior/6S_05n,warrior/6D_03n
14023,1,2,弓,西凉兵长,4,3,26,3,186,243,175,0,40040211,-1,-1,-1,null,1,null,1,0,0,0,0,0,0,SmallCardAtlas,UITexture/card_list/scard2010,card2010,warrior/6S_05n,warrior/6D_03n
14031,0,3,枪,西凉枪兵,4,3,26,3,223,162,233,0,10040301,-1,-1,-1,null,1,null,1,0,0,0,0,0,0,SmallCardAtlas,UITexture/card_list/scard2024,card2024,warrior/1S_05n,warrior/1D_03n
14032,2,4,骑,郭汜,4,3,26,3,305,184,214,0,20040321,-1,-1,-1,null,1,null,1,0,0,0,0,0,0,SmallCardAtlas,UITexture/card_list/scard2015,card2015,warrior/6S_04,warrior/6D_03n
14033,1,1,弓,西凉弓兵,4,3,26,3,191,249,178,0,30040311,-1,-1,-1,null,1,null,1,0,0,0,0,0,0,SmallCardAtlas,UITexture/card_list/scard2010,card2010,warrior/4S_06,warrior/4D_04
14041,0,2,枪,西凉枪兵,4,3,27,3,265,169,206,0,0,-1,-1,-1,null,1,null,1,0,0,0,0,0,0,SmallCardAtlas,UITexture/card_list/scard2024,card2024,warrior/1S_05n,warrior/1D_03n
14042,1,3,弓,西凉弓兵,4,3,27,3,197,260,183,0,40040411,-1,-1,-1,null,1,null,1,0,0,0,0,0,0,SmallCardAtlas,UITexture/card_list/scard2010,card2010,warrior/6S_06,warrior/6D_04
14043,1,4,弓,西凉弓兵,4,3,27,3,197,260,183,0,40040412,-1,-1,-1,null,1,null,1,0,0,0,0,0,0,SmallCardAtlas,UITexture/card_list/scard2010,card2010,warrior/6S_05n,warrior/6D_03n
14051,2,1,骑,西凉骑兵,4,3,27,3,250,174,232,4,10040521,-1,-1,-1,null,1,null,1,0,0,0,0,0,0,SmallCardAtlas,UITexture/card_list/scard2015,card2015,warrior/1S_06,warrior/1D_04
14052,2,2,骑,李傕,4,3,27,3,324,197,224,0,20040521,-1,-1,-1,null,1,null,1,0,0,0,0,0,0,SmallCardAtlas,UITexture/card_list/scard196,card196,warrior/4S_05,warrior/4D_03
14053,1,3,弓,西凉弓兵,4,3,27,3,270,193,187,0,20040511,-1,-1,-1,null,1,null,1,0,0,0,0,0,0,SmallCardAtlas,UITexture/card_list/scard2010,card2010,warrior/6S_05n,warrior/6D_03n
