关卡ID,关卡类型(普通副本值为0，英雄副本为1，百战之路3，挑战副本为7）,章,关卡名,战役名,战役序号,大关卡序号,是否是城池（可争夺）,胜利条件,关卡地图,战器掉落ID,掉落最大数量,掉落物品1,掉落物品2,掉落物品3,掉落物品4,阵型类型,角色1,角色2,角色3,角色4,角色5,将魂将领id(1-5),将魂将领技能,部队技能(符文套装),技能优先级1,技能优先级2,技能优先级3,技能优先级4,技能优先级5,关卡图标位置索引,图标连线类型（0为无连线1为上2为下4为左8为右/如果有多条则按位与）,关卡描述,需求军令,需求战力,需求解锁关卡,标准战力,抽卡类型,挑战产出类型,挑战产出数量,产出碎片概率,产出碎片数量,兄弟关1,兄弟关2,入场回合
90012,3,百战之路,百战之路,第12关,12,0,0,1,0,0,1,0,0,0,0,1200012,9000056,9000057,9000058,9000059,9000060,0,0,92401,14,2,3,5,0,7,0,百战之路，胜者为王,5,0,0,1000,8,0,0,0,0,0,0,0
90013,3,百战之路,百战之路,第13关,13,0,0,1,0,0,1,0,0,0,0,1200013,9000061,9000062,9000063,9000064,9000065,1,60,92402,134,5,2,1,3,7,0,百战之路，胜者为王,5,0,0,1000,8,0,0,0,0,0,0,0
90014,3,百战之路,百战之路,第14关,14,0,0,1,0,0,1,0,0,0,0,1200014,9000066,9000067,9000068,9000069,9000070,2,30,92403,532,1,4,0,2,7,0,百战之路，胜者为王,5,0,0,1000,8,0,0,0,0,0,0,0
90015,3,百战之路,百战之路,第15关,15,0,0,1,0,0,1,0,0,0,0,1200015,9000071,9000072,9000073,9000074,9000075,2,30,92401,124,5,3,1,5,7,0,百战之路，胜者为王,5,0,0,1000,8,0,0,0,0,0,0,0
90016,3,百战之路,百战之路,第16关,16,0,0,1,0,0,1,0,0,0,0,1200016,9000076,9000077,9000078,9000079,9000080,1,30,92402,321,0,5,4,0,7,0,百战之路，胜者为王,5,0,0,1000,8,0,0,0,0,0,0,0
90017,3,百战之路,百战之路,第17关,17,0,0,1,0,0,1,0,0,0,0,1200017,9000081,9000082,9000083,9000084,9000085,5,60,92403,345,2,1,5,3,7,0,百战之路，胜者为王,5,0,0,1000,8,0,0,0,0,0,0,0
90018,3,百战之路,百战之路,第18关,18,0,0,1,0,0,1,0,0,0,0,1200018,9000086,9000087,9000088,9000089,9000090,1,30,92401,12,5,4,3,1,7,0,百战之路，胜者为王,5,0,0,1000,8,0,0,0,0,0,0,0
90019,3,百战之路,百战之路,第19关,19,0,0,1,0,0,1,0,0,0,0,1200019,9000091,9000092,9000093,9000094,9000095,3,30,92402,0,413,3,1,0,7,0,百战之路，胜者为王,5,0,0,1000,8,0,0,0,0,0,0,0
90020,3,百战之路,百战之路,第20关,20,0,0,1,0,0,1,0,0,0,0,1200020,9000096,9000097,9000098,9000099,9000100,1,30,92403,35,1,2,4,1,7,0,百战之路，胜者为王,5,0,0,1000,8,0,0,0,0,0,0,0
90021,3,百战之路,百战之路,第21关,21,0,0,1,0,0,1,0,0,0,0,1200021,9000101,9000102,9000103,9000104,9000105,1,30,92401,423,1,5,4,3,7,0,百战之路，胜者为王,5,0,0,1000,8,0,0,0,0,0,0,0
90022,3,百战之路,百战之路,第22关,22,0,0,1,0,0,1,0,0,0,0,1200022,9000106,9000107,9000108,9000109,9000110,3,30,92402,243,5,3,2,4,7,0,百战之路，胜者为王,5,0,0,1000,8,0,0,0,0,0,0,0
90023,3,百战之路,百战之路,第23关,23,0,0,1,0,0,1,0,0,0,0,1200023,9000111,9000112,9000113,9000114,9000115,3,60,92403,512,4,3,1,4,7,0,百战之路，胜者为王,5,0,0,1000,8,0,0,0,0,0,0,0
90024,3,百战之路,百战之路,第24关,24,0,0,1,0,0,1,0,0,0,0,1200024,9000116,9000117,9000118,9000119,9000120,4,30,92401,32,4,5,1,23,7,0,百战之路，胜者为王,5,0,0,1000,8,0,0,0,0,0,0,0
90025,3,百战之路,百战之路,第25关,25,0,0,1,0,0,1,0,0,0,0,1200025,9000121,9000122,9000123,9000124,9000125,3,30,92402,124,3,5,4,5,7,0,百战之路，胜者为王,5,0,0,1000,8,0,0,0,0,0,0,0
90026,3,百战之路,百战之路,第26关,26,0,0,1,0,0,1,0,0,0,0,1200026,9000126,9000127,9000128,9000129,9000130,4,60,92403,152,3,41,5,2,7,0,百战之路，胜者为王,5,0,0,1000,8,0,0,0,0,0,0,0
90027,3,百战之路,百战之路,第27关,27,0,0,1,0,0,1,0,0,0,0,1200027,9000131,9000132,9000133,9000134,9000135,1,30,92401,423,1,5,4,3,7,0,百战之路，胜者为王,5,0,0,1000,8,0,0,0,0,0,0,0
90028,3,百战之路,百战之路,第28关,28,0,0,1,0,0,1,0,0,0,0,1200028,9000136,9000137,9000138,9000139,9000140,2,120,92402,315,4,0,2,0,7,0,百战之路，胜者为王,5,0,0,1000,8,0,0,0,0,0,0,0
90029,3,百战之路,百战之路,第29关,29,0,0,1,0,0,1,0,0,0,0,1200029,9000141,9000142,9000143,9000144,9000145,1,60,92403,152,3,4,0,0,7,0,百战之路，胜者为王,5,0,0,1000,8,0,0,0,0,0,0,0
90030,3,百战之路,百战之路,第30关,30,0,0,1,0,0,1,0,0,0,0,1200030,9000146,9000147,9000148,9000149,9000150,3,60,92401,143,5,2,0,4,7,0,百战之路，胜者为王,5,0,0,1000,8,0,0,0,0,0,0,0
90031,3,百战之路,百战之路,第31关,31,0,0,1,0,0,1,0,0,0,0,1200031,9000151,9000152,9000153,9000154,9000155,1,30,92402,234,1,5,4,1,7,0,百战之路，胜者为王,5,0,0,1000,8,0,0,0,0,0,0,0
90032,3,百战之路,百战之路,第32关,32,0,0,1,0,0,1,0,0,0,0,1200032,9000156,9000157,9000158,9000159,9000160,3,120,92403,124,3,2,1,3,7,0,百战之路，胜者为王,5,0,0,1000,8,0,0,0,0,0,0,0
90033,3,百战之路,百战之路,第33关,33,0,0,1,0,0,1,0,0,0,0,1200033,9000161,9000162,9000163,9000164,9000165,2,60,92401,124,3,5,4,13,7,0,百战之路，胜者为王,5,0,0,1000,8,0,0,0,0,0,0,0
90034,3,百战之路,百战之路,第34关,34,0,0,1,0,0,1,0,0,0,0,1200034,9000166,9000167,9000168,9000169,9000170,3,30,92402,254,0,3,1,2,7,0,百战之路，胜者为王,5,0,0,1000,8,0,0,0,0,0,0,0
90035,3,百战之路,百战之路,第35关,35,0,0,1,0,0,1,0,0,0,0,1200035,9000171,9000172,9000173,9000174,9000175,1,120,92403,241,1,0,0,0,7,0,百战之路，胜者为王,5,0,0,1000,8,0,0,0,0,0,0,0
90036,3,百战之路,百战之路,第36关,36,0,0,1,0,0,1,0,0,0,0,1200036,9000176,9000177,9000178,9000179,9000180,3,30,92401,12,4,5,3,0,7,0,百战之路，胜者为王,5,0,0,1000,8,0,0,0,0,0,0,0
90037,3,百战之路,百战之路,第37关,37,0,0,1,0,0,1,0,0,0,0,1200037,9000181,9000182,9000183,9000184,9000185,2,60,92402,123,4,5,3,14,7,0,百战之路，胜者为王,5,0,0,1000,8,0,0,0,0,0,0,0
90038,3,百战之路,百战之路,第38关,38,0,0,1,0,0,1,0,0,0,0,1200038,9000186,9000187,9000188,9000189,9000190,1,30,92403,5,2,3,4,0,7,0,百战之路，胜者为王,5,0,0,1000,8,0,0,0,0,0,0,0
90039,3,百战之路,百战之路,第39关,39,0,0,1,0,0,1,0,0,0,0,1200039,9000191,9000192,9000193,9000194,9000195,2,30,92401,532,4,2,5,3,7,0,百战之路，胜者为王,5,0,0,1000,8,0,0,0,0,0,0,0
90040,3,百战之路,百战之路,第40关,40,0,0,1,0,0,1,0,0,0,0,1200040,9000196,9000197,9000198,9000199,9000200,1,60,92402,41,5,3,45,3,7,0,百战之路，胜者为王,5,0,0,1000,8,0,0,0,0,0,0,0
90041,3,百战之路,百战之路,第41关,41,0,0,1,0,0,1,0,0,0,0,1200041,9000201,9000202,9000203,9000204,9000205,3,30,92403,124,3,5,4,3,7,0,百战之路，胜者为王,5,0,0,1000,8,0,0,0,0,0,0,0
90042,3,百战之路,百战之路,第42关,42,0,0,1,0,0,1,0,0,0,0,1200042,9000206,9000207,9000208,9000209,9000210,1,30,92401,132,4,5,3,1,7,0,百战之路，胜者为王,5,0,0,1000,8,0,0,0,0,0,0,0
90043,3,百战之路,百战之路,第43关,43,0,0,1,0,0,1,0,0,0,0,1200043,9000211,9000212,9000213,9000214,9000215,4,90,92402,214,3,4,1,53,7,0,百战之路，胜者为王,5,0,0,1000,8,0,0,0,0,0,0,0
90044,3,百战之路,百战之路,第44关,44,0,0,1,0,0,1,0,0,0,0,1200044,9000216,9000217,9000218,9000219,9000220,1,30,92403,423,1,5,1,5,7,0,百战之路，胜者为王,5,0,0,1000,8,0,0,0,0,0,0,0
90045,3,百战之路,百战之路,第45关,45,0,0,1,0,0,1,0,0,0,0,1200045,9000221,9000222,9000223,9000224,9000225,5,30,92401,31,2,5,3,1,7,0,百战之路，胜者为王,5,0,0,1000,8,0,0,0,0,0,0,0
90046,3,百战之路,百战之路,第46关,46,0,0,1,0,0,1,0,0,0,0,1200046,9000226,9000227,9000228,9000229,9000230,5,60,92402,1,4,2,5,5,7,0,百战之路，胜者为王,5,0,0,1000,8,0,0,0,0,0,0,0
90047,3,百战之路,百战之路,第47关,47,0,0,1,0,0,1,0,0,0,0,1200047,9000231,9000232,9000233,9000234,9000235,3,60,92403,125,4,1,3,5,7,0,百战之路，胜者为王,5,0,0,1000,8,0,0,0,0,0,0,0
90048,3,百战之路,百战之路,第48关,48,0,0,1,0,0,1,0,0,0,0,1200048,9000236,9000237,9000238,9000239,9000240,2,30,92401,253,4,1,2,0,7,0,百战之路，胜者为王,5,0,0,1000,8,0,0,0,0,0,0,0
90049,3,百战之路,百战之路,第49关,49,0,0,1,0,0,1,0,0,0,0,1200049,9000241,9000242,9000243,9000244,9000245,5,60,92402,132,5,4,1,0,7,0,百战之路，胜者为王,5,0,0,1000,8,0,0,0,0,0,0,0
90050,3,百战之路,百战之路,第50关,50,0,0,1,0,0,1,0,0,0,0,1200050,9000246,9000247,9000248,9000249,9000250,2,30,92403,542,1,2,4,2,7,0,百战之路，胜者为王,5,0,0,1000,8,0,0,0,0,0,0,0
90051,3,百战之路,百战之路,第51关,51,0,0,1,0,0,1,0,0,0,0,1200051,9000251,9000252,9000253,9000254,9000255,1,60,92401,453,2,1,5,3,7,0,百战之路，胜者为王,5,0,0,1000,8,0,0,0,0,0,0,0
90052,3,百战之路,百战之路,第52关,52,0,0,1,0,0,1,0,0,0,0,1200052,9000256,9000257,9000258,9000259,9000260,1,30,92402,352,1,4,5,1,7,0,百战之路，胜者为王,5,0,0,1000,8,0,0,0,0,0,0,0
90053,3,百战之路,百战之路,第53关,53,0,0,1,0,0,1,0,0,0,0,1200053,9000261,9000262,9000263,9000264,9000265,1,30,92403,435,2,1,5,4,7,0,百战之路，胜者为王,5,0,0,1000,8,0,0,0,0,0,0,0
90054,3,百战之路,百战之路,第54关,54,0,0,1,0,0,1,0,0,0,0,1200054,9000266,9000267,9000268,9000269,9000270,4,30,92401,135,4,2,1,3,7,0,百战之路，胜者为王,5,0,0,1000,8,0,0,0,0,0,0,0
90055,3,百战之路,百战之路,第55关,55,0,0,1,0,0,1,0,0,0,0,1200055,9000271,9000272,9000273,9000274,9000275,5,120,92402,231,4,0,0,0,7,0,百战之路，胜者为王,5,0,0,1000,8,0,0,0,0,0,0,0
90056,3,百战之路,百战之路,第56关,56,0,0,1,0,0,1,0,0,0,0,1200056,9000276,9000277,9000278,9000279,9000280,4,30,92403,513,2,4,5,3,7,0,百战之路，胜者为王,5,0,0,1000,8,0,0,0,0,0,0,0
90057,3,百战之路,百战之路,第57关,57,0,0,1,0,0,1,0,0,0,0,1200057,9000281,9000282,9000283,9000284,9000285,4,30,92401,453,2,4,5,3,7,0,百战之路，胜者为王,5,0,0,1000,8,0,0,0,0,0,0,0
90058,3,百战之路,百战之路,第58关,58,0,0,1,0,0,1,0,0,0,0,1200058,9000286,9000287,9000288,9000289,9000290,3,30,92402,231,5,1,3,2,7,0,百战之路，胜者为王,5,0,0,1000,8,0,0,0,0,0,0,0
90059,3,百战之路,百战之路,第59关,59,0,0,1,0,0,1,0,0,0,0,1200059,9000291,9000292,9000293,9000294,9000295,4,30,92403,145,3,5,2,1,7,0,百战之路，胜者为王,5,0,0,1000,8,0,0,0,0,0,0,0
90060,3,百战之路,百战之路,第60关,60,0,0,1,0,0,1,0,0,0,0,1200060,9000296,9000297,9000298,9000299,9000300,1,30,92401,2,5,4,1,3,7,0,百战之路，胜者为王,5,0,0,1000,8,0,0,0,0,0,0,0
90061,3,百战之路,百战之路,第61关,61,0,0,1,0,0,1,0,0,0,0,1200061,9000301,9000302,9000303,9000304,9000305,0,0,92402,451,3,2,2,5,7,0,百战之路，胜者为王,5,0,0,1000,8,0,0,0,0,0,0,0
90062,3,百战之路,百战之路,第62关,62,0,0,1,0,0,1,0,0,0,0,1200062,9000306,9000307,9000308,9000309,9000310,1,120,92403,31,4,1,5,1,7,0,百战之路，胜者为王,5,0,0,1000,8,0,0,0,0,0,0,0
90063,3,百战之路,百战之路,第63关,63,0,0,1,0,0,1,0,0,0,0,1200063,9000311,9000312,9000313,9000314,9000315,5,60,92401,231,5,4,2,3,7,0,百战之路，胜者为王,5,0,0,1000,8,0,0,0,0,0,0,0
90064,3,百战之路,百战之路,第64关,64,0,0,1,0,0,1,0,0,0,0,1200064,9000316,9000317,9000318,9000319,9000320,4,30,92402,154,3,2,1,4,7,0,百战之路，胜者为王,5,0,0,1000,8,0,0,0,0,0,0,0
90065,3,百战之路,百战之路,第65关,65,0,0,1,0,0,1,0,0,0,0,1200065,9000321,9000322,9000323,9000324,9000325,5,30,92403,12,5,4,2,1,7,0,百战之路，胜者为王,5,0,0,1000,8,0,0,0,0,0,0,0
90066,3,百战之路,百战之路,第66关,66,0,0,1,0,0,1,0,0,0,0,1200066,9000326,9000327,9000328,9000329,9000330,2,90,92401,25,3,4,5,2,7,0,百战之路，胜者为王,5,0,0,1000,8,0,0,0,0,0,0,0
90067,3,百战之路,百战之路,第67关,67,0,0,1,0,0,1,0,0,0,0,1200067,9000331,9000332,9000333,9000334,9000335,5,30,92402,12,3,5,4,5,7,0,百战之路，胜者为王,5,0,0,1000,8,0,0,0,0,0,0,0
90068,3,百战之路,百战之路,第68关,68,0,0,1,0,0,1,0,0,0,0,1200068,9000336,9000337,9000338,9000339,9000340,2,90,92403,15,2,4,1,5,7,0,百战之路，胜者为王,5,0,0,1000,8,0,0,0,0,0,0,0
90069,3,百战之路,百战之路,第69关,69,0,0,1,0,0,1,0,0,0,0,1200069,9000341,9000342,9000343,9000344,9000345,4,30,92401,12,4,5,3,2,7,0,百战之路，胜者为王,5,0,0,1000,8,0,0,0,0,0,0,0
90070,3,百战之路,百战之路,第70关,70,0,0,1,0,0,1,0,0,0,0,1200070,9000346,9000347,9000348,9000349,9000350,3,120,92402,123,4,3,5,3,7,0,百战之路，胜者为王,5,0,0,1000,8,0,0,0,0,0,0,0
90071,3,百战之路,百战之路,第71关,71,0,0,1,0,0,1,0,0,0,0,1200071,9000351,9000352,9000353,9000354,9000355,5,30,92403,1,4,5,3,2,7,0,百战之路，胜者为王,5,0,0,1000,8,0,0,0,0,0,0,0
90072,3,百战之路,百战之路,第72关,72,0,0,1,0,0,1,0,0,0,0,1200072,9000356,9000357,9000358,9000359,9000360,1,30,92401,541,3,2,5,1,7,0,百战之路，胜者为王,5,0,0,1000,8,0,0,0,0,0,0,0
90073,3,百战之路,百战之路,第73关,73,0,0,1,0,0,1,0,0,0,0,1200073,9000361,9000362,9000363,9000364,9000365,5,30,92402,132,5,2,5,4,7,0,百战之路，胜者为王,5,0,0,1000,8,0,0,0,0,0,0,0
90074,3,百战之路,百战之路,第74关,74,0,0,1,0,0,1,0,0,0,0,1200074,9000366,9000367,9000368,9000369,9000370,5,60,92403,23,5,4,3,2,7,0,百战之路，胜者为王,5,0,0,1000,8,0,0,0,0,0,0,0
90075,3,百战之路,百战之路,第75关,75,0,0,1,0,0,1,0,0,0,0,1200075,9000371,9000372,9000373,9000374,9000375,3,30,92401,124,3,0,2,3,7,0,百战之路，胜者为王,5,0,0,1000,8,0,0,0,0,0,0,0
90076,3,百战之路,百战之路,第76关,76,0,0,1,0,0,1,0,0,0,0,1200076,9000376,9000377,9000378,9000379,9000380,4,60,92402,253,1,4,2,3,7,0,百战之路，胜者为王,5,0,0,1000,8,0,0,0,0,0,0,0
90077,3,百战之路,百战之路,第77关,77,0,0,1,0,0,1,0,0,0,0,1200077,9000381,9000382,9000383,9000384,9000385,5,30,92403,212,4,3,5,1,7,0,百战之路，胜者为王,5,0,0,1000,8,0,0,0,0,0,0,0
90078,3,百战之路,百战之路,第78关,78,0,0,1,0,0,1,0,0,0,0,1200078,9000386,9000387,9000388,9000389,9000390,3,30,92401,452,3,1,5,3,7,0,百战之路，胜者为王,5,0,0,1000,8,0,0,0,0,0,0,0
90079,3,百战之路,百战之路,第79关,79,0,0,1,0,0,1,0,0,0,0,1200079,9000391,9000392,9000393,9000394,9000395,5,30,92402,314,5,2,4,5,7,0,百战之路，胜者为王,5,0,0,1000,8,0,0,0,0,0,0,0
90080,3,百战之路,百战之路,第80关,80,0,0,1,0,0,1,0,0,0,0,1200080,9000396,9000397,9000398,9000399,9000400,1,30,92403,453,2,1,5,2,7,0,百战之路，胜者为王,5,0,0,1000,8,0,0,0,0,0,0,0
90081,3,百战之路,百战之路,第81关,81,0,0,1,0,0,1,0,0,0,0,1200081,9000401,9000402,9000403,9000404,9000405,1,30,92401,51,4,3,1,5,7,0,百战之路，胜者为王,5,0,0,1000,8,0,0,0,0,0,0,0
90082,3,百战之路,百战之路,第82关,82,0,0,1,0,0,1,0,0,0,0,1200082,9000406,9000407,9000408,9000409,9000410,1,60,92402,15,2,3,5,2,7,0,百战之路，胜者为王,5,0,0,1000,8,0,0,0,0,0,0,0
90083,3,百战之路,百战之路,第83关,83,0,0,1,0,0,1,0,0,0,0,1200083,9000411,9000412,9000413,9000414,9000415,3,30,92403,21,5,3,2,1,7,0,百战之路，胜者为王,5,0,0,1000,8,0,0,0,0,0,0,0
90084,3,百战之路,百战之路,第84关,84,0,0,1,0,0,1,0,0,0,0,1200084,9000416,9000417,9000418,9000419,9000420,2,120,92401,125,4,1,5,2,7,0,百战之路，胜者为王,5,0,0,1000,8,0,0,0,0,0,0,0
90085,3,百战之路,百战之路,第85关,85,0,0,1,0,0,1,0,0,0,0,1200085,9000421,9000422,9000423,9000424,9000425,4,60,92402,341,2,5,1,4,7,0,百战之路，胜者为王,5,0,0,1000,8,0,0,0,0,0,0,0
90086,3,百战之路,百战之路,第86关,86,0,0,1,0,0,1,0,0,0,0,1200086,9000426,9000427,9000428,9000429,9000430,5,60,92403,123,4,5,3,2,7,0,百战之路，胜者为王,5,0,0,1000,8,0,0,0,0,0,0,0
90087,3,百战之路,百战之路,第87关,87,0,0,1,0,0,1,0,0,0,0,1200087,9000431,9000432,9000433,9000434,9000435,1,60,92401,342,1,2,5,4,7,0,百战之路，胜者为王,5,0,0,1000,8,0,0,0,0,0,0,0
90088,3,百战之路,百战之路,第88关,88,0,0,1,0,0,1,0,0,0,0,1200088,9000436,9000437,9000438,9000439,9000440,4,30,92402,315,4,3,5,1,7,0,百战之路，胜者为王,5,0,0,1000,8,0,0,0,0,0,0,0
90089,3,百战之路,百战之路,第89关,89,0,0,1,0,0,1,0,0,0,0,1200089,9000441,9000442,9000443,9000444,9000445,4,30,92403,52,4,1,5,4,7,0,百战之路，胜者为王,5,0,0,1000,8,0,0,0,0,0,0,0
90090,3,百战之路,百战之路,第90关,90,0,0,1,0,0,1,0,0,0,0,1200090,9000446,9000447,9000448,9000449,9000450,4,30,92401,51,3,4,2,1,7,0,百战之路，胜者为王,5,0,0,1000,8,0,0,0,0,0,0,0
90091,3,百战之路,百战之路,第91关,91,0,0,1,0,0,1,0,0,0,0,1200091,9000451,9000452,9000453,9000454,9000455,5,30,92402,24,1,5,3,2,7,0,百战之路，胜者为王,5,0,0,1000,8,0,0,0,0,0,0,0
90092,3,百战之路,百战之路,第92关,92,0,0,1,0,0,1,0,0,0,0,1200092,9000456,9000457,9000458,9000459,9000460,1,60,92403,15,2,3,5,2,7,0,百战之路，胜者为王,5,0,0,1000,8,0,0,0,0,0,0,0
90093,3,百战之路,百战之路,第93关,93,0,0,1,0,0,1,0,0,0,0,1200093,9000461,9000462,9000463,9000464,9000465,4,30,92401,315,4,3,5,1,7,0,百战之路，胜者为王,5,0,0,1000,8,0,0,0,0,0,0,0
90094,3,百战之路,百战之路,第94关,94,0,0,1,0,0,1,0,0,0,0,1200094,9000466,9000467,9000468,9000469,9000470,2,120,92402,125,4,1,5,2,7,0,百战之路，胜者为王,5,0,0,1000,8,0,0,0,0,0,0,0
90095,3,百战之路,百战之路,第95关,95,0,0,1,0,0,1,0,0,0,0,1200095,9000471,9000472,9000473,9000474,9000475,4,60,92403,341,2,5,1,4,7,0,百战之路，胜者为王,5,0,0,1000,8,0,0,0,0,0,0,0
90096,3,百战之路,百战之路,第96关,96,0,0,1,0,0,1,0,0,0,0,1200096,9000476,9000477,9000478,9000479,9000480,5,60,92401,123,4,5,3,2,7,0,百战之路，胜者为王,5,0,0,1000,8,0,0,0,0,0,0,0
90097,3,百战之路,百战之路,第97关,97,0,0,1,0,0,1,0,0,0,0,1200097,9000481,9000482,9000483,9000484,9000485,1,60,92402,342,1,2,5,4,7,0,百战之路，胜者为王,5,0,0,1000,8,0,0,0,0,0,0,0
90098,3,百战之路,百战之路,第98关,98,0,0,1,0,0,1,0,0,0,0,1200098,9000486,9000487,9000488,9000489,9000490,4,30,92403,52,4,1,5,4,7,0,百战之路，胜者为王,5,0,0,1000,8,0,0,0,0,0,0,0
90099,3,百战之路,百战之路,第99关,99,0,0,1,0,0,1,0,0,0,0,1200099,9000491,9000492,9000493,9000494,9000495,4,30,92402,51,3,4,2,1,7,0,百战之路，胜者为王,5,0,0,1000,8,0,0,0,0,0,0,0
90100,3,百战之路,百战之路,第100关,100,0,0,1,0,0,1,0,0,0,0,1200100,9000496,9000497,9000498,9000499,9000500,5,30,92403,24,1,5,3,2,7,0,百战之路，胜者为王,5,0,0,1000,8,0,0,0,0,0,0,0
90101,3,百战之路,百战之路,第101关,101,0,0,1,0,0,1,0,0,0,0,1200101,9000501,9000502,9000503,9000504,9000505,5,30,92403,24,1,2,5,4,7,0,百战之路，胜者为王,5,0,0,1000,8,0,0,0,0,0,0,0
90102,3,百战之路,百战之路,第102关,102,0,0,1,0,0,1,0,0,0,0,1200102,9000506,9000507,9000508,9000509,9000510,5,30,92403,24,4,3,5,1,7,0,百战之路，胜者为王,5,0,0,1000,8,0,0,0,0,0,0,0
90103,3,百战之路,百战之路,第103关,103,0,0,1,0,0,1,0,0,0,0,1200103,9000511,9000512,9000513,9000514,9000515,5,30,92403,24,4,1,5,4,7,0,百战之路，胜者为王,5,0,0,1000,8,0,0,0,0,0,0,0
90104,3,百战之路,百战之路,第104关,104,0,0,1,0,0,1,0,0,0,0,1200104,9000516,9000517,9000518,9000519,9000520,5,30,92403,24,3,4,2,1,7,0,百战之路，胜者为王,5,0,0,1000,8,0,0,0,0,0,0,0
