服务器id,服务器名称
10003144,苹果官方S56
10003145,苹果官方S57
10003146,苹果官方S58
10003147,苹果官方S59
10003148,苹果官方S60
10003149,苹果官方S61
10003150,苹果官方S62
10003151,苹果官方S63
10003152,苹果官方S64
10003153,苹果官方S65
10003154,苹果官方S66
10003155,苹果官方S67
10003156 ,苹果官方S68
10003157,苹果官方S69
10003158,苹果官方S70
10003159,苹果官方S71
10003160,苹果官方S72
10003161,苹果官方S73
10003162,苹果官方S74
10003163,苹果官方S75
10003164,苹果官方S76
10003165,苹果官方S77
10003166,苹果官方S78
10003167,苹果官方S79
10003168,苹果官方S80
10003169,苹果官方S81
10003170,苹果官方S82
10003171,苹果官方S83
10003172,苹果官方S84
10003173,苹果官方S85
10003174,苹果官方S86
10003175,苹果官方S87
10003176,苹果官方S88
10003177,苹果官方S89
10003178,苹果官方S90
10003179,苹果官方S91
10003180,苹果官方S92
10003181,苹果官方S93
10003182,苹果官方S94
10003183,苹果官方S95
10003184,苹果官方S96
10003185,苹果官方S97
10003186,苹果官方S98
10003187,苹果官方S99
10003188,苹果官方S100
10003189,苹果官方S101
10003190 ,苹果官方S102
10003191,苹果官方S103
10003192 ,苹果官方S104
10003193,苹果官方S105
10003194,苹果官方S106
10003195,苹果官方S107
10003196 ,苹果官方S108
10003197,苹果官方S109
10003198,苹果官方S110
10003199 ,苹果官方S111
10003200 ,苹果官方S112
10003201 ,苹果官方S113
10003202 ,苹果官方S114
10003203  ,苹果官方S115
10003204 ,苹果官方S116
10003205 ,苹果官方S117
10003206 ,苹果官方S118
10003207 ,苹果官方S119
10003208,苹果官方S120
10003209,苹果官方S121
10003210,苹果官方S122
10003211,苹果官方S123
10003212,苹果官方S124
10003213,苹果官方S125
10003214,苹果官方S126
10003215,苹果官方S127
10003216,苹果官方S128
10003217,苹果官方S129
10003218,苹果官方S130
10003219,苹果官方S131
10003220,苹果官方S132
10003221,苹果官方S133
10003222,苹果官方S134
10003223,苹果官方S135
10003224,苹果官方S136
10003225,苹果官方S137
10003226,苹果官方S138
10003227,苹果官方S139
10003228,苹果官方S140
10003229,苹果官方S141
10003230,苹果官方S142
10003231,苹果官方S143
10003232,苹果官方S144
10003233,苹果官方S145
10003234,苹果官方S146
10003235,苹果官方S147
10003236,苹果官方S148
10003237,苹果官方S149
10003238,苹果官方S150
10003239,苹果官方S151
10003240,苹果官方S152
10003241,苹果官方S153
10003242,苹果官方S154
10003243,苹果官方S155
10003244,苹果官方S156
10003245,苹果官方S157
10003246,苹果官方S158
10003247,苹果官方S159
10003248,苹果官方S160
10003249,苹果官方S161
10003250,苹果官方S162
10003251,苹果官方S163
10003252,苹果官方S164
10003253,苹果官方S165
10003254,苹果官方S166
10003255,苹果官方S167
10003256,苹果官方S168
10003257,苹果官方S169
10003258,苹果官方S170
10003259,苹果官方S171
10003260,苹果官方S172
10003261,苹果官方S173
10003262,苹果官方S174
10003263,苹果官方S175
10003264,苹果官方S176
10003265,苹果官方S177
10003266,苹果官方S178
10003267,苹果官方S179
10003268,苹果官方S180
10003269,苹果官方S181
10003270,苹果官方S182
10003271,苹果官方S183
10003272,苹果官方S184
10003273,苹果官方S185
10003274,苹果官方S186
10003275,苹果官方S187
10003276,苹果官方S188
10003277,苹果官方S189
10003278,苹果官方S190
10003279,苹果官方S191
10003280,苹果官方S192
10003281,苹果官方S193
10003282,苹果官方S194
10003283,苹果官方S195
10003284,苹果官方S196
10003285,苹果官方S197
10003286,苹果官方S198
10003287,苹果官方S199
10003288,苹果官方S200
10003289,苹果官方S201
10003290,苹果官方S202
10003291,苹果官方S203
10003292,苹果官方S204
10003293,苹果官方S205
10003294,苹果官方S206
10003295,苹果官方S207
10003296,苹果官方S208
10003297,苹果官方S209
10003298,苹果官方S210
10003299,苹果官方S211
10003300,苹果官方S212
10003301,苹果官方S213
10003302,苹果官方S214
10003303,苹果官方S215
10003304,苹果官方S216
10003305,苹果官方S217
10003306,苹果官方S218
10003307,苹果官方S219
10003308,苹果官方S220
10003999,苹果官方预发布
10000002,苹果官方特殊
10003998,苹果官方新版本
10000001,苹果官方特殊
10000301,越狱pp1
10000302,越狱pp2+s1
10000304,越狱s2-s5
10000309,越狱s6-s9
10000313,越狱s10-s13
20000201,越狱s14-s17
20003205,越狱s18-s21
20003209,越狱s22-s26
20003214,越狱s27-s33
20003221,越狱s34-s44
20003232,越狱s45-s51
20003239,越狱s52-s59
20003247,越狱s60-s73
20003261,越狱s74-s87
20003275,越狱s88-s96
20003284,越狱s97-s104
20003292,越狱s105-s110
20003298,越狱s111
20003299,越狱s112
20003300,越狱s113
20003301,越狱s114
20003302,越狱s115
20003303,越狱s116
20003305,越狱s117
20003306,越狱s118
20003307,越狱s119
20003308,越狱s120
20003309,越狱s121
20003310,越狱s122
20003311,越狱s123
20003312,越狱s124
20003313,越狱s125
20003314,越狱s126
20003315,越狱s127
20003316,越狱s128
20003317,越狱s129
20003318,越狱s130
20003319,越狱s131
20003320,越狱s132
20003321,越狱s133
20003322,越狱s134
20003323,越狱s135
20003324,越狱s136
20003325,越狱s137
20003326,越狱s138
20003327,越狱s139
20003328,越狱s140
20003329,越狱s141
20003330,越狱s142
20003331,越狱s143
20003332,越狱s144
20003333,越狱s145
20003334,越狱s146
20003335,越狱s147
20003336,越狱s148
20003337,越狱s149
20003338,越狱s150
20003339,越狱s151
20003340,越狱s152
20003341,越狱s153
20003342,越狱s154
20003343,越狱s155
20003344,越狱s156
20003345,越狱s157
20003346,越狱s158
20003347,越狱s159
20003348,越狱s160
20003349,越狱s161
20003350,越狱s162
20003351,越狱s163
20003352,越狱s164
20003353,越狱s165
20003354,越狱s166
20003355,越狱s167
20003356,越狱s168
20003357,越狱s169
20003358,越狱s170
20003359,越狱s171
20003360,越狱s172
20003361,越狱s173
20003362,越狱s174
20003363,越狱s175
20003364,越狱s176
20003365,越狱s177
20003366,越狱s178
20003367,越狱s179
20003368,越狱s180
20003369,越狱s181
20003370,越狱s182
20003371,越狱s183
20003372,越狱s184
20003373,越狱s185
20003374,越狱s186
20003375,越狱s187
20003376,越狱s188
20003377,越狱s189
20003378,越狱s190
20003379,越狱s191
20003380,越狱s192
20003381,越狱s193
20003382,越狱s194
20003383,越狱s195
20003384,越狱s196
20003385,越狱s197
20003386,越狱s198
20003387,越狱s199
20003388,越狱s200
20003389,越狱s201
20003390,越狱s202
20003391,越狱s203
20003392,越狱s204
20003393,越狱s205
20003394,越狱s206
20003395,越狱s207
20003999,越狱预发布
20003996,越狱新渠道
20003998,越狱新版本
20000010,越狱特殊
