序号,卡片品质,卡片等级ID,进阶等级,升星后等级,升星后进阶等级（普卡：0，真卡：1）,消耗印玉,消耗卡魂
136,3,83,2,83,0,120,250000
137,3,84,2,84,0,120,250000
138,3,85,2,85,0,120,250000
139,3,86,2,86,0,120,250000
140,3,87,2,87,0,120,250000
141,3,88,2,88,0,120,250000
142,3,89,2,89,0,120,250000
143,3,90,2,90,0,120,250000
144,3,91,2,91,0,120,250000
145,3,92,2,92,0,120,250000
146,3,93,2,93,0,120,250000
147,3,94,2,94,0,120,250000
148,3,95,2,95,0,120,250000
149,3,96,2,96,0,120,250000
150,3,97,2,97,0,120,250000
151,3,98,2,98,0,120,250000
152,3,99,2,99,0,120,250000
153,3,100,2,100,0,120,250000
154,3,101,2,101,0,120,250000
155,3,102,2,102,0,120,250000
156,3,103,2,103,0,120,250000
157,3,104,2,104,0,120,250000
158,3,105,2,105,0,120,250000
159,3,106,2,106,0,120,250000
160,3,107,2,107,0,120,250000
161,3,108,2,108,0,120,250000
162,3,109,2,109,0,120,250000
163,3,110,2,110,0,120,250000
164,3,111,2,111,0,120,250000
165,3,112,2,112,0,120,250000
166,3,113,2,113,0,120,250000
167,3,114,2,114,0,120,250000
168,3,115,2,115,0,120,250000
169,3,116,2,116,0,120,250000
170,3,117,2,117,0,120,250000
171,3,118,2,118,0,120,250000
172,3,119,2,119,0,120,250000
173,3,120,2,120,0,120,250000
174,3,30,3,30,1,350,1000000
175,3,31,3,31,1,350,1000000
176,3,32,3,32,1,350,1000000
177,3,33,3,33,1,350,1000000
178,3,34,3,34,1,350,1000000
179,3,35,3,35,1,350,1000000
180,3,36,3,36,1,350,1000000
181,3,37,3,37,1,350,1000000
182,3,38,3,38,1,350,1000000
183,3,39,3,39,1,350,1000000
184,3,40,3,40,1,350,1000000
185,3,41,3,41,1,350,1000000
186,3,42,3,42,1,350,1000000
187,3,43,3,43,1,350,1000000
188,3,44,3,44,1,350,1000000
189,3,45,3,45,1,350,1000000
190,3,46,3,46,1,350,1000000
191,3,47,3,47,1,350,1000000
192,3,48,3,48,1,350,1000000
193,3,49,3,49,1,350,1000000
194,3,50,3,50,1,350,1000000
195,3,51,3,51,1,350,1000000
196,3,52,3,52,1,350,1000000
197,3,53,3,53,1,350,1000000
198,3,54,3,54,1,350,1000000
199,3,55,3,55,1,350,1000000
200,3,56,3,56,1,350,1000000
201,3,57,3,57,1,350,1000000
202,3,58,3,58,1,350,1000000
203,3,59,3,59,1,350,1000000
204,3,60,3,60,1,350,1000000
205,3,61,3,61,1,350,1000000
206,3,62,3,62,1,350,1000000
207,3,63,3,63,1,350,1000000
208,3,64,3,64,1,350,1000000
209,3,65,3,65,1,350,1000000
210,3,66,3,66,1,350,1000000
211,3,67,3,67,1,350,1000000
212,3,68,3,68,1,350,1000000
213,3,69,3,69,1,350,1000000
214,3,70,3,70,1,350,1000000
215,3,71,3,71,1,350,1000000
216,3,72,3,72,1,350,1000000
217,3,73,3,73,1,350,1000000
218,3,74,3,74,1,350,1000000
219,3,75,3,75,1,350,1000000
220,3,76,3,76,1,350,1000000
221,3,77,3,77,1,350,1000000
222,3,78,3,78,1,350,1000000
223,3,79,3,79,1,350,1000000
224,3,80,3,80,1,350,1000000
225,3,81,3,81,1,350,1000000
226,3,82,3,82,1,350,1000000
227,3,83,3,83,1,350,1000000
228,3,84,3,84,1,350,1000000
229,3,85,3,85,1,350,1000000
230,3,86,3,86,1,350,1000000
231,3,87,3,87,1,350,1000000
232,3,88,3,88,1,350,1000000
233,3,89,3,89,1,350,1000000
234,3,90,3,90,1,350,1000000
235,3,91,3,91,1,350,1000000
236,3,92,3,92,1,350,1000000
237,3,93,3,93,1,350,1000000
238,3,94,3,94,1,350,1000000
239,3,95,3,95,1,350,1000000
240,3,96,3,96,1,350,1000000
241,3,97,3,97,1,350,1000000
242,3,98,3,98,1,350,1000000
243,3,99,3,99,1,350,1000000
244,3,100,3,100,1,350,1000000
245,3,101,3,101,1,350,1000000
246,3,102,3,102,1,350,1000000
247,3,103,3,103,1,350,1000000
248,3,104,3,104,1,350,1000000
249,3,105,3,105,1,350,1000000
250,3,106,3,106,1,350,1000000
251,3,107,3,107,1,350,1000000
252,3,108,3,108,1,350,1000000
253,3,109,3,109,1,350,1000000
254,3,110,3,110,1,350,1000000
255,3,111,3,111,1,350,1000000
256,3,112,3,112,1,350,1000000
257,3,113,3,113,1,350,1000000
258,3,114,3,114,1,350,1000000
259,3,115,3,115,1,350,1000000
260,3,116,3,116,1,350,1000000
261,3,117,3,117,1,350,1000000
262,3,118,3,118,1,350,1000000
263,3,119,3,119,1,350,1000000
264,3,120,3,120,1,350,1000000
