序号,信息文本,头像,落款,奖励类型(1卡片2卡魂3军令4星星),奖励值
9,这里是胡车儿的老家胡家寨子，听到胡车儿加入主公阵营的消息，我们非常高兴，他终于找到工作了。请主公告诉他好好工作安心学习老家一切都好，不要挂念。,UITexture/card_list/scard2016,胡乱炖,2,1000
10,袁术就是鄙人的弟弟，能得到我们袁氏家族高贵血脉的武将卡，你应该感到无上荣光。我相信你会将袁术当成你的第一主力来培养。这里是一些小意思不成敬意。,UITexture/card_list/scard52,袁绍敬上,2,1000
11,本座张角这里有礼了，秋后朝廷打压我黄巾军势头甚是凶猛，我为兄弟们的后路发愁啊，张宝是我最疼爱的弟弟，请好好对他。略备薄礼不成敬意。,UITexture/card_list/scard28,张角神意,2,500
12,羊祜大人乃是一代名将，虽然很多人不知道羊祜大人的强大。但是我们相信历史会最终证明的。我们回春堂决定资助主公您，请尽快将天下太平带给我们。,UITexture/card_list/scard2022,赵回春上,2,500
13,根据我们的研究，主公刚得到的郭淮大人很有潜质成为一代名将，虽然现在他还不太有名气，但是我们相信历史会最终证明的。请主公多多关注他。,UITexture/card_list/scard2023,王战争,2,1000
14,哎呀你可真有福啊，这何太后说是太后其实可年轻的很啊。而且在这洛阳城里都知道她美艳无双。不输貂蝉和二乔啊。我愿意出大价钱买您的何太后武将卡，先送上定金，您考虑考虑。,UITexture/card_list/scard135,老鸨杨翠花上,2,500
15,我们关家长女关凤就拜托给主公您了。小女性格蛮横，若有礼数不周之处，望您多多包涵。关羽多谢。,UITexture/card_list/scard2,关羽上,2,1000
16,这里是促进女性自立自强热爱科学的女子科学会，黄月英大人正是我们的会长，希望您保障她的安全，不要让她进入危险的战场。女子科学会需要她的领导。,UITexture/card_list/scard67,女子科技会,3,5
17,我即将于寿春称帝，天下即将归于我袁术，袁绍他虽然是我哥哥，但是他自以为是，狂妄自大，而且他是我们袁家小妾所生，出身卑贱。居然不把我放在眼里。既然你得到了袁绍的武将卡，那就派他去最危险的战场吧。最好不要回来了。,UITexture/card_list/scard191,袁术陛下,3,5
18,英明神武百战百胜主公大人你好，我是火溶科技的魏大黑，听闻您刚刚得到了庞德，他英勇善战凶猛异常，说是我最喜欢的三国武将也不为过。请您多多使用庞德，这是我送上的小意思，请笑纳。,UITexture/card_list/scard2026,魏大黑,2,500
19,听闻乐进大人加入了您的阵营，小女子喜不自胜。洛阳城内都传说您是匡扶汉室的英雄。小女子乃是乐进大人青梅竹马的恋人，不幸落入青楼实在无颜去见乐进大人。只能为他烧香祈福，这里是小女子所积攒的礼物，还望大人不要嫌弃。,UITexture/card_list/scard4006,小桃红上,2,1000
20,我听到了您得到魏延武将卡的消息，魏延此人有反骨，不可信任，不可重用。请主公您万万小心。,UITexture/card_list/scard3,诸葛武侯拜上,2,1000
21,专业辅助协会发来贺电，恭喜主公得到了姜维，我们关注此人已经很久了，他的技能简直可以和任何人一起搭配！不愧是专业好辅助，请主公善加使用。,UITexture/card_list/scard30,麒麟崇拜者上,2,999
22,这里是释放男人豪迈气质的新野健身俱乐部，许褚健硕的身材强大的力量是我们的偶像，希望您可以让许褚大人在战场上也绽放光辉。,UITexture/card_list/scard31,陈肌肉敬上,3,5
23,曹操这个奸雄有夺汉自立的野心啊，此人万万不可用啊。请主公一定雪藏此人，万不可让其成长强大。为了汉朝江山安稳，主公一定要听取我们徐州城万名百姓之呼声。,UITexture/card_list/scard1,徐州城万名百姓,3,10
24,我是关羽之子关平，我一生追随父亲身边，既然父亲加入了主公的阵营，那么我关平定然跟随。这里是我的武将卡，愿意效忠主公鞍前马后。,UITexture/card_list/scard50,关平,1,50
25,卧龙先生肯出山助主公，可真是大吉大利上上签可喜可贺啊。我们算命组织一直把诸葛先生当成我们的偶像。我们想要聘请诸葛先生做我们的社团代言人。不知道主公意下如何，这里是一点小意思表达我们的诚意，请先收下。,UITexture/card_list/scard3,赵半仙敬上,3,10
26,哼！那赵云有什么本事，凭什么能上五虎上将，为什么我魏延就是五虎上将之外。这里是本大爷的武将卡，好好培养本大爷上阵，一定要比那个赵云强，听到了么！,UITexture/card_list/scard29,魏延上,1,29
27,我家司马懿一向身体不好，主公得到了司马懿的武将卡，命令他上阵打仗自然是不能推辞，只是告诉主公大人，司马身体顶不住，怕是辜负了主公信任。还是尽量让他休息不要上阵为好。,UITexture/card_list/scard58,张春华拜上,3,10
28,我们红胡子兄弟会是为了维系在中国的纯净血脉，红胡子兄弟会的成员都有带蛮族的混血，所以才会有红色的胡子。孙权大人一直是我们的会长，希望主公可以协助孙权大人统一江东，建立大红胡子帝国。,UITexture/card_list/scard6,深红胡子上,3,10
29,我们对于您得到了夏侯惇武将卡的事表示很忧虑，夏侯惇是举世猛将，他频繁出场会导致广大青少年错误的认为瞎了一只眼睛很帅。进行错误的模仿，青少年尚处于心智不成熟的阶段，需要正确的引导。我们希望您可以雪藏夏侯惇不要让他太过锋芒毕露。感谢。,UITexture/card_list/scard7,刘大夫,3,5
30,恭喜您获得了最强骑兵统帅张辽，张辽将军发动“疾风铁骑”时迅如疾风，气势非凡。但是您知道有多少战马因此而累死么。请您将张辽改为随从，并拒绝使用骑兵这个兵种。没有突击就没有杀害，爱护动物需要您的支持。,UITexture/card_list/scard8,白纯纯,3,10
31,太史慈乃是我们江东第一猛将，完全不输给蜀国关羽和魏国张辽，请主公重用太史慈，让我江东长弓威名满天下。小人愿砸锅卖铁资助大人。,UITexture/card_list/scard9,江万民,3,10
32,因为你得到了当世名将周瑜，说明你已经是当世主公中实力杰出之人，我们吴地商会决定向你提供无偿资助。希望主公一统天下。财源广进。,UITexture/card_list/scard3001,吴地商会,3,11
33,因为你得到了当世名将孙策，说明你已经是当世主公中实力杰出之人，我们吴地商会决定向你提供无偿资助。希望主公一统天下。财源广进。,UITexture/card_list/scard3001,吴地商会,3,10
34,听闻你得到了陆逊的武将卡，我们在这里严重警告你，禁止杀人狂纵火犯酿造夷陵惨案的陆逊出现在你的首发阵容。夷陵之战后有多少蜀地小儿因此没了父亲，想想他们看到陆逊依然活跃在战场上时的表情吧！,UITexture/card_list/scard12,蜀国战争孤儿协会,3,10
35,马超乃是我五虎上将之一，他年轻善战，是吕布之后的当世第一骑兵统帅。但跟随我时日较短，所以其他四名虎将有些不服，既然主公得到了他的武将卡，希望可以多多给他机会，以证他不负五虎上将之名。,UITexture/card_list/scard18,刘备玄德敬上,3,10
36,你小子听好，那孙坚是个大大的刺头，当年就是他一个愣头青杀到我洛阳城外虎牢关，把我逼走长安。既然你得了他，快快处死把他的脑袋给俺送来。俺重重有赏。,UITexture/card_list/scard21,董相国令,3,10
37,听闻主公得到了典韦的消息，我们非常激动，典韦是我们商丘地区的著名英雄。我们商丘武将学校的口号就是给我一个哭娃，还你一个典韦，成才学武保就业。希望主公让典韦成为贵军团第一武将吧，这里是我们的资助，请笑纳。,UITexture/card_list/scard15,商丘武将学校,3,10
38,荀彧虽然一直辅佐曹魏，但是此人并无篡汉之意，胸怀扶汉之心。荀彧智谋超群是少有王佐之才，朕希望主公多给他上场的机会，多加培养。,UITexture/card_list/scard16,神秘人,3,10
39,主公你得到了夏侯渊的武将卡，想必很是开心，我写这封信来是想告诉你，我们在调查以往名将档案的时候发现，夏侯渊和夏侯惇的考试成绩可能弄错了。考出学院第一名的夏侯惇和第五名夏侯渊因为长得太像而搞错了。也就是说夏侯渊才是当年武将学院状元，此事不可声张，主公心知就好。,UITexture/card_list/scard17,陈考官,3,5
40,听闻刘玄德加入了你的麾下，能收得如此人物，先恭喜主公。当年刘备在我帐中的时候，我对他非常信任还借了他兵马去收徐州。谁想到他居然背叛而去，此人反复无常不可信任，希望主公谨慎小心。,UITexture/card_list/scard1,曹操,3,10
41,恭喜主公！贺喜主公！天下第一勇将吕布加入，试问天下还有谁能与之抗衡！希望主公可以早日统一天下。我等期盼的天下太平早日到来啊。,UITexture/card_list/scard19,万民书,3,10
42,女子自强团六十二名团员，恳请主公您将孙尚香还给我们。自从孙尚香嫁给那刘备后，我们女子自强团就失去了精神领袖。女子自强团日渐凋零，所以我们期待孙尚香的重新回归，我们愿意弥补大人的损失。,UITexture/card_list/scard20,自强团长上,3,5
43,董卓这个老贼！我恨不得将他千刀万剐，他竟然敢霸占貂蝉。他明明知道我和貂蝉两心相悦。请主公大人把董卓交给我吧，我愿意弥补你的损失。这是我的爱将高顺，能力绝对高于董卓。主公，请你考虑一下吧。,UITexture/card_list/scard19,吕布上,1,89
44,恭喜你得到了猛将张飞，天下都说他当年长坂坡前一声吼断当阳桥，作为当阳桥的建造单位，我们表示这是谣传。当阳桥是因为年久失修，加上战马奔腾，自己倒塌的。我们希望邀请张飞当面辟谣，如果您可以同意不胜感激。,UITexture/card_list/scard22,陈大桥,3,10
45,大人得到郭嘉的消息已经传满整个洛阳城了，郭嘉他风流潇洒英俊非凡，家中小女对他痴迷不已。所以我们瑞华轩决定资助主公大人。请好好照顾身体不好的郭嘉，但是请不要为他配侍女随从。,UITexture/card_list/scard25,王瑞,3,11
46,我是铁蛋，捡到1毛钱，没有找到名字叫“警察”的叔叔，不知道该怎么办，所以寄给主公~,UITexture/card_list/scard2022,铁蛋,2,1
47,上次主公去铁岭为大家带回的珍贵的切糕非常好吃，乡亲们决定集资给主公一点回礼，了表谢意，望主公笑纳~,UITexture/card_list/scard2009,村长,3,5
48,今年春天山上跑来了一大群猕猴在田里撒欢，原本以为田里的作物都要被糟践了，没想到后来都长成猕猴桃了，可甜了。,UITexture/card_list/scard2029,张三,3,5
49,主公您好，我是村口的牛小二。那天我在挖地，我也不知道为什么要挖地，反正我就是挖地了。挖地很好玩啊，我还挖到一个宝贝，送来给主公您瞧瞧。,UITexture/card_list/scard2004,牛小二,2,1000
50,主公大人，我虽然一直在荆州做生意，但是也想为大汉效力，听说你战力破了8000，我终于下定决心跟着你闯荡了，我已经把荆州的祖宅卖了，你让我上一次战场吧！,UITexture/card_list/scard3001,王富商,1,210
51,主公大人您好，兵种科技开发部正在筹备中，即将能为您服务。兵种科技开发所需要的材料就是关卡奖励的锤子，所以请主公尽量以高评价完成关卡吧。,UITexture/card_list/scard2030,科技研发部,2,500
52,主公大人，你已经收到了我们荆州富商联盟成员的武将卡，我们生意人虽然打仗能力不咋地，但是我们可以为你提供充足的财力支持，试着分解富商卡吧。,UITexture/card_list/scard3001,荆州富商联盟,2,500
53,主公大人你好，我们推荐您挑战英雄难度的关卡，英雄关卡将会提供更多的锤子提升科技，帮助你更好地提升科技实力！祝愿你能够在啪啪三国最佳主公评定上取得好成绩！,UITexture/card_list/scard2026,新晋主公培训机构,2,500
54,俺们家乡本来一片荒凉，现在主公派人来教俺们开垦荒地，解决了许多人的温饱，俺特地来感谢主公！这是我们最近的收成，主公多来俺们这儿转转啊！,UITexture/card_list/scard2005,农民张二敬上,2,3800
55,董白大小姐可是我们西凉的全民偶像！你竟敢欺负她，我们西凉勇士是不会放过你的！等着吧！,UITexture/card_list/scard118,董白最萌,0,0
56,我们吴国的女神就要跟随你去打仗了，我实在不放心，万一大乔吃不饱，我们吴国的百姓不会放过你的。所以我决定亲自监督您这儿的伙食，这是我的武将卡，我这么有钱，跟着你算你赚了。,UITexture/card_list/scard3001,吴地富商,1,210
57,我们吴国的女神就要跟随你去打仗了，我实在不放心，万一小乔吃不饱，我们吴国的百姓不会放过你的。所以我决定亲自监督您这儿的伙食，这是我的武将卡，我这么有钱，跟着你算你赚了。,UITexture/card_list/scard3001,吴地富商,1,210
58,主公大人，我从第一次见到貂蝉小姐之后就一直想要娶貂蝉小姐为妻，现在我已经是大富翁了，却还是娶不到她。请让我和貂蝉小姐一起跟随你！这是我的武将卡，请您收好。,UITexture/card_list/scard3001,富商,1,211
59,听到庞统大人投靠主公的消息，我们兄弟都泪流满面。谁说长得丑没前途！主公大人您给了我们莫大的信心！庞统大人是我们团第二百三十四任团长，希望主公好好培养凤雏大人，我们颜控去死去死团永远拥戴您！,UITexture/card_list/scard23,颜控去死去死团团长,3,5
60,黄忠大人既是我们射箭部的名誉主席，也是我的父亲，我为他在退休前能加入主公的麾下表示自豪！我们部目前为止还没有人射箭能比父亲大人更准。请主公将父亲大人安排在后排弓兵部队，不要冲太前面，因为父亲的近战能力实在不怎么样。,UITexture/card_list/scard24,黄舞蝶,3,5
61,凌统虽然脾气冲了点，不过也挺有能力的，我和他切磋几回都不相上下。我当年不小心杀了他爹，挺对不起他的，你就看在我面子上，好好培养他啊！,UITexture/card_list/scard36,甘宁上,3,5
62,能投靠主公真是我的荣幸，只是主公啊，我最近身体不是很好，恐怕不能担当上阵打仗的重任，还望主公体谅，不要让我上前线。不过我可不是因为怕死啊！,UITexture/card_list/scard27,贾诩上,3,5
63,连张角这样的大骗子你也收？我们虽然都姓张，但我们五斗米道可是正统的天道，太平天道就是忽悠人的神棍，主公你可得千万擦亮眼别让这江湖骗子给骗了啊！,UITexture/card_list/scard2017,张鲁上,3,5
64,甘宁这家伙脾气又坏又鲁莽，根本就是个混混！没想到这样的人主公你也收？千万不要培养这种流氓，让他一个人玩儿泥巴去吧。,UITexture/card_list/scard26,凌统上,3,10
65,会长那家伙老说萝莉要软萌，我觉得像吕玲绮这样的腹黑萝莉才是极品啊！！所以给我好好保护吕玲绮大人知道了没！不然我们协会不会放过你！,UITexture/card_list/scard44,副会长,3,5
66,主公大人，根据本会最近的研究表明，周泰的人体构造与常人不同，可以承受的伤害量非常惊人。如果提取其血液中的成分制成药品也许可以大大增加我军的体质。我们会继续进行研究。,UITexture/card_list/scard32,研究会会长,2,500
67,主公，我们荆州富商联盟听说你打败了黄巾强盗的事迹之后，非常的激动，但是最近西凉来的士兵很猖狂，如果能一起铲除就好了。这是我们富商联盟的一点心意，请主公你收下。,UITexture/card_list/scard3001,富商联盟敬上,2,3000
68,主公大人，听说你收留了我兄弟颜良，有眼光啊，我们一起长大，这小子打架特别厉害。我们两个从小立志要为同一个主公效力，这是我的武将卡，我们兄弟一起上阵，对面看一眼就得吓尿啊。,UITexture/card_list/scard35,文丑上,1,35
69,我们不知道你们中原发生了什么事，我们村一直是把祝融夫人当成赐予烛火的神明来膜拜的，我们的神怎么能当你的部下呢。请把女神还给我们，不然我们就诅咒你。贡品请转交女神大人！,UITexture/card_list/scard3001,村长,2,200
70,曹丕公子天资聪颖，为人低调，主公可以完全信任他，并且委以重任。对了，曹丕公子喜欢吃葡萄，我送了点过来，主公也尝尝吧。,UITexture/card_list/scard5,司马懿上,2,500
71,主公大人，鲁肃一直以来都是我的好朋友，当年他把全部家当都用来支持我训练士兵，我十分感动。这些是我报答他的，希望主公好好培养他，他的深谋远虑会让你吃惊的。,UITexture/card_list/scard10,周瑜敬上,3,5
72,送包裹的妹子十分害羞，什么也没说就跑了。包裹里装了很多金疮药和绷带。,UITexture/card_list/scard57,没有署名,2,1000
73,小英雄，听说你得到了徐晃啊，我很高兴啊。我从洛阳逃到这荆州的时候多亏了他的保护啊。你好好培养他，一定能成为战场上的猛将。来人，看赏。,UITexture/card_list/scard3002,献帝刘协,2,600
74,没想到我竟然会被这个家伙给设计陷害了，我不服，这是我的战书，你把吕蒙交出来，我们再决斗一次。,UITexture/card_list/scard2,关羽上,0,0
75,听说主公带回了洛水女神甄姬，荆州的百姓都感到很高兴，纷纷表示要来瞻仰一下这位倾国倾城的大美女。,UITexture/card_list/scard77,荆州百姓上书,3,5
76,听说主公得到了我女儿的武将卡，这孩子啊，她的梦想就是当上皇后，还为自己改名叫郭女王。主公有机会的话像皇上推荐一下我女儿啊，感激不尽！,UITexture/card_list/scard80,郭永上,2,560
77,终于轮到我们的领袖潘凤大人登场了！这些是我们应援组为你准备的礼物，请全部用来培养潘凤大人！！有上将潘凤，可斩所有敌人！,UITexture/card_list/scard2021,应援组组长,2,988
78,主公大人，说来不好意思，小女子一直为曹植的文采所倾倒，但是不敢告白……这是我的一点心意，还望主公大人好好照顾子建，小女子感激不尽。,UITexture/card_list/scard77,小洛,2,500
79,我要投诉您手下的杨修大人，就是因为他说了一句鸡肋食之无味，导致我们店里美味的鸡肋都卖不出去，每天都剩很多。我送一些给您尝尝，您给评评理吧！,UITexture/card_list/scard2008,开封菜掌柜,2,777
80,你小子最近很活跃嘛！看来那些诸侯武将都已经不是你的对手了。不过别得意，最强的你还没见过呢！来看看吧，挑战关卡才是云集了最强武将的地方！！从主界面点“挑战”就能参加了。,UITexture/card_list/scard2026,没有署名,2,1500
81,连貂蝉都敢欺负！知道他是谁看上的妹子吗！！你等着吧！！我要派我的西凉铁骑踩死你！,UITexture/card_list/scard21,董卓,0,0
82,主公，谢谢你帮我从董卓那里抢回了我的瓷花瓶，我还以为再也见不到它了……这点心意，请你一定要收下！,UITexture/card_list/scard3001,赵掌柜,2,1500
83,小英雄，上次多谢你相助。以后同在一个阵营，有什么事需要尽管知会，我一定在所不辞！,UITexture/card_list/scard14,孙坚,2,1500
84,我们义气团一直认为关二爷的勇猛是天下第一的，没想到你居然这么快就斩了华雄，现在不讲义气的团员表示要退会追随你，但是大部分团员还是坚信关二爷才是最厉害的！,UITexture/card_list/scard1001,关圣义气团,2,1500
85,你是不可能打败吕布大人的！！！别以为靠人数优势打退了吕布大人就算厉害了！！告诉你，下次吕布大人一定会复仇的！！！,UITexture/card_list/scard19,吕布暴走社,0,0
86,主公，火烧洛阳之后，大家心里都很难过，现在听说你联军击破了武关，振奋了大家的士气！我愿意加入你的阵营，共同讨伐国贼！,UITexture/card_list/scard2010,丁奉敬上,1,132
87,我为了讨伐董卓到处招募兵马，终于把他搞下台了。小英雄你在这次讨伐中的表现非常亮眼！这是我的武将卡，以后英雄有需要尽管找我！,UITexture/card_list/scard2027,鲍信,1,188
88,现在我跟着关将军，每天都过得十分充实。我也认识到我以前到处抢劫是不对的，当时你揍了我一顿让我遇到了关将军，我十分感激，这些薄礼你别客气啊！,UITexture/card_list/scard2027,周仓,1,98
89,你们当兵的还讲不讲理了！现在世道这么乱，师君大人来了之后好不容易吃上米饭，这下又没了！你给我等着！我去汉中投靠师君了，总有一天要回来报仇的！,UITexture/card_list/scard2024,村民李狗蛋,0,0
90,当年交战的时候就觉得主公天赋异禀，我果然没看错，吕布那小子在西凉我就看不惯了。我决定以后就为天子亲军卖命了。以前的事儿别计较了啊哈哈哈。,UITexture/card_list/scard2021,徐荣敬上,1,108
91,最近官渡局势紧张，也许是我们的机会。我派何进前来助你，他虽然不及你聪明，但毕竟是征战多年的老将，打仗还是比较靠谱的。,UITexture/card_list/scard3002,献帝刘协,1,160
92,最近主公活跃的身姿让我们村十分受鼓舞，我们都期待着主公能平定乱世，可惜我老了不能入伍，这点心意请主公收下……,UITexture/card_list/scard2009,村民老张,2,6000
93,袁绍这个扶不起的家伙，我早劝他乘机偷袭曹操，他不但不听还把我关起来，幸好我逃了出来。我早就耳闻天子亲军大名了，现在特来投靠，这是我的武将卡，主公请收下吧。,UITexture/card_list/scard66,田丰敬上,1,66
94,主公，你还记得我不？我就是上将潘凤啊！当年我可是手下留情让你加入盟军才有了出人头地的机会！看在我当年这么看好你的份上，给我一个上阵的机会吧！,UITexture/card_list/scard2021,潘凤敬上,1,85
95,小兄弟，你可还记得当年我为你推荐的卧龙？他的妻子黄月英十分擅长机关数术、奇兵异甲，若是这对夫妻出世，恐怕天下之事又要发生变化。,UITexture/card_list/scard2003,水镜,2,6000
96,主公，关羽一直是我的偶像，他的存在就是我前进的动力，现在他被你打败了，我心中的大山就此倒塌了……关圣义气团已经解散了，以后我跟着你混吧……,UITexture/card_list/scard2014,王大个,1,131
97,主公，听说您战力都破2000了！我一直在寻找像你这么厉害的主公，领导我们走向和平统一，请收下我的武将卡，我会为你卖命的！,UITexture/card_list/scard2015,张梁,1,159
98,主公，如果你有朋友一起玩，可以通过好友界面的“添加好友”查看ID并且互相添加成为好友，当然，系统也会在每次战斗前推荐一些朋友给你。漫漫征伐路，多加一些朋友总是有利而无害的~,UITexture/card_list/scard209,王涵雨,2,500
99,我本来在华容道赶路，看到一大波士兵正在接近，我吓尿了呀！我看你还算一脸正气，又举着天子的旗号，跟着你应该不会有危险吧？,UITexture/card_list/scard3001,一个小生意人,1,212
100,我刚才看到曹操路过，特地来给主公报信。但是这个曹操似乎有点奇怪，哪里奇怪我也说不上来，总之就是有点奇怪。,UITexture/card_list/scard2026,路人甲,0,0
101,我果然没有看错人。赤壁这一战是我失策，算是我输给了你。期待和你的下次交锋。,UITexture/card_list/scard1,曹操,0,0
102,皇后殿下的话语，就是我绳命的方向！知道皇后被曹操迫害逃到荆州之后，我立马赶了过来，主公，让我与你一同对抗曹操保护皇后吧！,UITexture/card_list/scard121,李斌斌,1,134
103,我是从南方过来的生意人，最近汉人和我们有很多矛盾，没人买我的货物，主公，你要不帮我推销推销？我们没有恶意的！,UITexture/card_list/scard3001,南方商人,1,213
104,我算到你将与诸葛亮一战。这一仗非常艰难，一般的勇将几乎无法在他的手下存活，如果主公注重技能的搭配与防范，才有希望战胜卧龙。,UITexture/card_list/scard2003,水镜,2,6000
105,恭喜你又又又又通关了！！附上300个印玉作为通关奖励~话说这次的关卡很难啊，居然都没有难倒你，总觉得好伤感……,UITexture/card_list/scard25,制作团队敬上,28,300
106,得知主公身受重伤，我们富商联盟非常担心，主公，你一定要保重身体啊，不然我们可就没有依靠了。,UITexture/card_list/scard3001,荆州富商联盟,2,99999
107,小妹孙尚香即将与刘备大婚，诚请各路英雄诸侯赴宴参加婚礼。,UITexture/card_list/scard6,孙权敬上,0,0
108,主公，听说你被东吴的人抓走了，大家都可担心了，你现在一定吃不饱穿不暖，我把我平时的零花钱都装在这个袋子里，如果你能收到这封信的话，就拿去买点吃的吧。,UITexture/card_list/scard2022,铁蛋,3,1
109,诸葛亮不仅善于召唤天雷，他的五行术数也是当世无双的，你千万要小心，不要被诸葛亮的攻心之术迷惑。,UITexture/card_list/scard2003,水镜,2,30000
110,我算到你与诸葛亮有一场心战，没想到你竟然摆脱了诸葛亮的迷阵，你的能力，恐怕已经在卧龙之上了，以后一定前途无量。,UITexture/card_list/scard2003,水镜,2,30000
111,小英雄，我听说你被东吴抓走之后很是担心，你是大汉唯一的希望了，相信你一定可以脱险，我在荆州等你的好消息。,UITexture/card_list/scard3002,献帝刘协,2,120000
112,听说你们已经到了合肥，我真想赶过来看一眼我的女儿啊，你没让她吃苦吧？你一定要保护好我女儿，早点回来啊！,UITexture/card_list/scard3001,王威风,2,120000
113,我们发现了新的宝物——四圣石。想要得到这些石头的话，就来参加竞技场吧！看你四处征战虽然好玩，不过还有什么比人与人之间的争斗更有趣的呢？好好让我们看看你的实力吧，哈哈哈哈哈！,UITexture/card_list/scard2026,没有署名,0,0
114,最近收到了母亲的来信，说她将在你这里住些时辰。我的母亲年亲时随父亲四处征战，没过过什么清闲的日子，既然到了你这里，希望你好好保护她，可别让她受伤了。等我夺取天下之后，再回来接她。,UITexture/card_list/scard43,子桓,3,10
115,我们在各地的组织成员最近频繁目击到一些奇特的现象，本该死去的人又出现在世人面前。尤其是东吴分舵的消息称，孙策大人曾在死前表示见到了亲自斩杀的于吉。我们对此非常好奇，希望获得更多情报！有消息请务必联络本协会！,UITexture/card_list/scard251,灵异事件调查协会,3,10
116,主公你好，我叫刘禅，你叫我阿斗就好。我离家出走了一时也想不到该去哪里，不知不觉就走到了你这里。最近我很苦恼，大家都黑我，不喜欢我，说我太笨。我不想再被大家小看了！所以决心离家出走锻炼一番，既然走到你这里了，就收留我吧，主公？,UITexture/card_list/scard252,阿斗敬上,3,10
117,听闻我弟弟投靠了主公，我也就放心了。我们身为皇室儿子女，有时候实在是身不由己。小亮年纪还小，一定斗不过哥哥姐姐们，现在他留在你这里，远离纷争，反而可以更好地成长。,UITexture/card_list/scard248,孙小虎敬上,3,10
118,小英雄，你愿意帮我真是我的荣幸，特地赋诗一首赠与英雄！白马饰金羁，连翩西北驰。借问谁家子，幽并游侠儿……,UITexture/card_list/scard2002,子建敬上,2,100000
119,最近荆州形式动荡，世人都在传天子亲军已经不行了，皇帝都准备投靠曹操了。但是我相信你们一定还在努力！我等你们回来！,UITexture/card_list/scard3001,王威风,2,150000
120,既然你都答应了帮助二公子，那可就别想赖账了，我们都认定你了！我的武将卡你收好，话说回来我这样的居然只是张黑卡也太不科学了吧！至少也该是五星才对！,UITexture/card_list/scard2008,杨修,1,114
121,“其形也，翩若惊鸿，婉若游龙。荣曜秋菊，华茂春松。仿佛兮若轻云之蔽月，飘摇兮若流风之回雪。远而望之，皎若太阳升朝霞；迫而察之，灼若芙蕖出渌波。”哪位痴汉写的……,UITexture/card_list/scard2002,没有署名,0,0
122,我是总是捡到1毛钱的那个铁蛋，捡东西真好玩啊，每天都能捡到好多1毛钱，但是这次我捡到了1块石头，不知道做什么用，但是挺好看的，交给主公。,UITexture/card_list/scard2022,铁蛋上,5,1
123,主公，城外有两位壕大人正在发茶叶蛋，我活了这么多年从来也没吃过，特地拿了两个给主公尝尝。,UITexture/card_list/scard2009,张三,3,10
124,主公，我要报案！！昨天城西那乞丐说我骨骼清奇是个练武奇才，卖了我一本武功秘籍，我拿回来一看根本不是嘛！！主公你看看这是啥？,UITexture/card_list/scard2029,绝食高手,23,1
125,听说在树洞里扔1文钱，来年就能收获很多很多钱。树洞树洞，这是我最后的积蓄了，一定要长出钱来啊！,UITexture/card_list/scard2004,没有署名,5,2
126,从三星一直努力到现在，我们的姜维大人终于走进了五星行列！请继续支持伯约大人！斗胆麒麟，你值得拥有！（信中写满了对姜维的爱，并在最后附上了一张年轻的姜维的照片）,UITexture/card_list/scard4003,麒麟崇拜者上,1,30
127,听闻主公在和吕布的战斗中受了伤，大家十分的担心。我们坚信主公的实力，请主公好好养伤，早日把董卓那个大坏蛋打跑！,UITexture/card_list/scard2022,荆州百姓上,2,7000
128,其实我们对于孙尚香大人一出场就已经嫁给了刘备这一点非常的不满意，你们根本不知道当年的孙尚香大人有多霸气！不过没关系，现在她回来了！,UITexture/card_list/scardX5sunshangxiang2,自强团长上,3,10
