序号,半身头像,使用背景图,姓名_用于备注
122,npc69,Bg_small02_Tex,诸葛瑾
123,npc120,Bg_small03_Tex,吴国太
124,npc41,Bg_small02_Tex,夏侯尚
125,npc58,Bg_small03_Tex,关银屏
126,npc69,Bg_small02_Tex,徐盛
127,npc25,Bg_small03_Tex,邹氏
128,npc69,Bg_small01_Tex,文鸯
129,npc79,Bg_small02_Tex,魏大黑
130,npc42,Bg_small03_Tex,糜夫人
131,npc41,Bg_small01_Tex,王大个
132,npc69,Bg_small02_Tex,丁奉
133,npc42,Bg_small01_Tex,李严
134,npc69,Bg_small02_Tex,李斌斌
135,npc25,Bg_small03_Tex,何太后
136,npc42,Bg_small02_Tex,张翼
137,npc42,Bg_small01_Tex,沙摩柯
138,npc25,Bg_small02_Tex,沮授
139,npc25,Bg_small02_Tex,韩遂
140,npc41,Bg_small03_Tex,丁夫人
141,npc42,Bg_small01_Tex,傅佥
142,npc41,Bg_small03_Tex,王异
143,npc74,Bg_small02_Tex,马忠
144,npc25,Bg_small01_Tex,带来洞主
145,npc41,Bg_small02_Tex,陈登
146,npc42,Bg_small02_Tex,罗宪
147,npc69,Bg_small01_Tex,诸葛恪
148,npc41,Bg_small02_Tex,孙礼
149,npc42,Bg_small01_Tex,鄂焕
150,npc41,Bg_small02_Tex,刘晔
151,npc25,Bg_small01_Tex,兀突骨
152,npc25,Bg_small02_Tex,刑道荣
153,npc25,Bg_small01_Tex,张鲁
154,npc41,Bg_small02_Tex,邓忠
155,npc41,Bg_small02_Tex,张绣
156,npc69,Bg_small01_Tex,蒋钦
157,npc69,Bg_small02_Tex,吕岱
158,npc41,Bg_small02_Tex,周旨
159,npc25,Bg_small01_Tex,张梁
160,npc25,Bg_small02_Tex,何进
161,npc41,Bg_small01_Tex,贾充
162,npc79,Bg_small02_Tex,陈武
163,npc42,Bg_small01_Tex,张松
164,npc25,Bg_small02_Tex,淳于琼
165,npc69,Bg_small01_Tex,贺齐
166,npc41,Bg_small02_Tex,诸葛诞
167,npc25,Bg_small02_Tex,胡车儿
168,npc41,Bg_small01_Tex,文钦
169,npc69,Bg_small02_Tex,步骘
170,npc41,Bg_small02_Tex,蒯越
171,npc41,Bg_small01_Tex,牛金
172,npc69,Bg_small02_Tex,孙恒
173,npc69,Bg_small01_Tex,朱桓
174,npc41,Bg_small02_Tex,曹叡
175,npc25,Bg_small01_Tex,张宝
176,npc25,Bg_small02_Tex,忙牙长
177,npc69,Bg_small01_Tex,阚泽
178,npc41,Bg_small02_Tex,贾逵
179,npc25,Bg_small02_Tex,管亥
180,npc25,Bg_small01_Tex,纪灵
181,npc25,Bg_small02_Tex,张曼成
182,npc69,Bg_small02_Tex,董袭
183,npc25,Bg_small01_Tex,黄祖
184,npc41,Bg_small02_Tex,曹冲
185,npc25,Bg_small01_Tex,祢衡
186,npc42,Bg_small02_Tex,蒋琬
187,npc42,Bg_small01_Tex,杨仪
188,npc41,Bg_small02_Tex,鲍信
189,npc25,Bg_small01_Tex,麴义
190,npc25,Bg_small02_Tex,张燕
191,npc34,Bg_small02_Tex,袁术
192,npc69,Bg_small01_Tex,孙韶
193,npc69,Bg_small02_Tex,朱然
194,npc42,Bg_small02_Tex,霍峻
195,npc25,Bg_small01_Tex,吕伯奢
196,npc14,Bg_small02_Tex,李傕
197,npc25,Bg_small01_Tex,郭汜
198,npc42,Bg_small02_Tex,少年关羽
199,npc25,Bg_small01_Tex,少年吕布
200,npc69,Bg_small02_Tex,少年周瑜
201,npc41,Bg_small01_Tex,少年张辽
202,npc42,Bg_small02_Tex,少年赵云
203,npc25,Bg_small03_Tex,蔡文姬
204,npc69,Bg_small03_Tex,步练师
205,npc86,Bg_small03_Tex,伏皇后
206,npc101,Bg_small03_Tex,吕姬
207,npc89,Bg_small03_Tex,黄月华
208,npc41,Bg_small03_Tex,辛宪英
209,npc42,Bg_small03_Tex,张皇后
214,npc4,Bg_small02_Tex,张角
215,npc25,Bg_small02_Tex,张曼成
216,npc25,Bg_small02_Tex,黄巾骑兵
217,npc25,Bg_small02_Tex,黄巾骑兵
218,npc25,Bg_small01_Tex,黄巾弓兵
219,npc25,Bg_small02_Tex,何进
220,npc25,Bg_small01_Tex,宫廷侍卫
221,npc25,Bg_small02_Tex,宫廷侍卫
222,npc25,Bg_small01_Tex,宫廷护卫
223,npc25,Bg_small02_Tex,宫廷护卫
224,npc25,Bg_small03_Tex,奇小虎
225,npc25,Bg_small03_Tex,九女王
226,npc41,Bg_small02_Tex,曹操
227,npc42,Bg_small01_Tex,关羽
228,npc42,Bg_small02_Tex,诸葛亮
229,npc69,Bg_small03_Tex,小乔
230,npc25,Bg_small03_Tex,玖妖
231,npc42,Bg_small03_Tex,豆小婉
245,npc42,Bg_small03_Tex,黄舞蝶
246,npc41,Bg_small03_Tex,卑弥呼
247,npc25,Bg_small02_Tex,华佗
248,npc69,Bg_small03_Tex,孙小虎
249,npc25,Bg_small03_Tex,当乐熊
250,npc41,Bg_small03_Tex,卞夫人
251,npc25,Bg_small02_Tex,于吉
252,npc42,Bg_small01_Tex,刘禅
253,npc69,Bg_small02_Tex,孙亮
256,npc145,Bg_small02_Tex,武帝曹操
257,npc131,Bg_small01_Tex,奸雄曹操
260,npc159,Bg_small02_Tex,鬼神吕布
261,npc159,Bg_small02_Tex,修罗吕布
264,npc149,Bg_small01_Tex,昭烈刘备
265,npc149,Bg_small02_Tex,仁德刘备
268,npc156,Bg_small02_Tex,吴王孙权
269,npc156,Bg_small01_Tex,若虎孙权
272,npc159,Bg_small02_Tex,魔君董卓
273,npc159,Bg_small02_Tex,浊世董卓
276,npc158,Bg_small01_Tex,矢志太史慈
277,npc156,Bg_small02_Tex,感古太史慈
278,npc42,Bg_small02_Tex,少年关羽
279,npc25,Bg_small01_Tex,少年吕布
280,npc69,Bg_small02_Tex,少年周瑜
281,npc41,Bg_small02_Tex,少年张辽
282,npc42,Bg_small01_Tex,少年赵云
285,npc149,Bg_small02_Tex,武圣关羽
286,npc145,Bg_small02_Tex,一骑关羽
289,npc150,Bg_small01_Tex,卧龙诸葛亮
290,npc149,Bg_small02_Tex,七星诸葛亮
293,npc146,Bg_small02_Tex,狼顾司马懿
294,npc145,Bg_small01_Tex,宣王司马懿
297,npc154,Bg_small02_Tex,业炎周瑜
298,npc156,Bg_small02_Tex,顾曲周瑜
299,npc41,Bg_small03_Tex,王元姬
300,npc42,Bg_small03_Tex,诸葛果
301,npc69,Bg_small03_Tex,孙大虎
302,npc25,Bg_small02_Tex,童渊
305,npc151,Bg_small02_Tex,龙胆赵云
306,npc159,Bg_small01_Tex,神威赵云
309,npc159,Bg_small02_Tex,天公张角
310,npc159,Bg_small01_Tex,符咒张角
313,npc145,Bg_small01_Tex,独目夏侯惇
314,npc145,Bg_small02_Tex,苍狼夏侯惇
315,npc42,Bg_small01_Tex,姜维
316,npc41,Bg_small01_Tex,曹丕
317,npc25,Bg_small03_Tex,九妹
320,npc159,Bg_small03_Tex,绝舞貂蝉
321,npc159,Bg_small03_Tex,倾世貂蝉
324,npc149,Bg_small02_Tex,暴怒张飞
325,npc149,Bg_small01_Tex,桓侯张飞
326,npc69,Bg_small01_Tex,黄盖
327,npc25,Bg_small02_Tex,田丰
328,npc25,Bg_small03_Tex,当乐王妃
331,npc25,Bg_small03_Tex,柒魅
332,npc25,Bg_small03_Tex,皮皮
333,npc25,Bg_small03_Tex,度娘
334,npc160,Bg_small02_Tex,振威张辽
335,npc147,Bg_small01_Tex,召虎张辽
338,npc149,Bg_small01_Tex,锦狮马超
339,npc161,Bg_small02_Tex,铁骑马超
342,npc155,Bg_small02_Tex,霸王孙策
343,npc156,Bg_small01_Tex,驰骋孙策
344,npc69,Bg_small01_Tex,周泰
345,npc94,Bg_small02_Tex,魏延
348,npc156,Bg_small01_Tex,武烈孙坚
349,npc156,Bg_small02_Tex,猛虎孙坚
350,npc42,Bg_small03_Tex,指游之春
351,npc41,Bg_small03_Tex,指游之夏
352,npc69,Bg_small03_Tex,指游之秋
353,npc25,Bg_small03_Tex,指游之冬
356,npc145,Bg_small03_Tex,洛神甄姬
357,npc159,Bg_small03_Tex,灵蛇甄姬
360,npc156,Bg_small01_Tex,焚天陆逊
361,npc156,Bg_small02_Tex,儒将陆逊
367,npc152,Bg_small01_Tex,弓神黄忠
368,npc149,Bg_small02_Tex,讨虏黄忠
369,npc41,Bg_small03_Tex,张春华
370,npc41,Bg_small01_Tex,徐晃
373,npc145,Bg_small02_Tex,毒士贾诩
374,npc145,Bg_small02_Tex,乱武贾诩
375,npc25,Bg_small03_Tex,董白
378,npc163,Bg_small03_Tex,猩红吕姬
379,npc162,Bg_small03_Tex,双子吕姬
382,npc159,Bg_small03_Tex,战姬吕玲绮
383,npc159,Bg_small03_Tex,双子吕玲绮
386,npc149,Bg_small01_Tex,麒麟姜维
387,npc144,Bg_small02_Tex,斗胆姜维
390,npc145,Bg_small01_Tex,疾风曹仁
391,npc145,Bg_small02_Tex,征南曹仁
394,npc149,Bg_small03_Tex,弓腰姬孙尚香
395,npc156,Bg_small03_Tex,郡主孙尚香
398,npc149,Bg_small03_Tex,阿丑黄月英
399,npc149,Bg_small03_Tex,杰女黄月英
400,npc41,Bg_small01_Tex,嬴无翳
403,npc156,Bg_small02_Tex,克己吕蒙
404,npc156,Bg_small01_Tex,虎威吕蒙
407,npc148,Bg_small02_Tex,驱虎荀彧
408,npc145,Bg_small01_Tex,令香荀彧
411,npc145,Bg_small02_Tex,文帝曹丕
412,npc145,Bg_small01_Tex,灭奏曹丕
415,npc159,Bg_small02_Tex,鸦杀颜良
416,npc159,Bg_small01_Tex,堕天颜良
419,npc159,Bg_small02_Tex,猎狐文丑
420,npc159,Bg_small01_Tex,堕天文丑
423,npc156,Bg_small02_Tex,国士凌统
424,npc157,Bg_small01_Tex,浴血凌统
427,npc149,Bg_small02_Tex,凤雏庞统
428,npc153,Bg_small01_Tex,智极庞统
431,npc164,Bg_small01_Tex,恶来典韦
432,npc145,Bg_small02_Tex,英灵典韦
433,npc25,Bg_small03_Tex,邹氏
434,npc93,Bg_small03_Tex,马云禄
437,npc156,Bg_small02_Tex,游侠甘宁
438,npc156,Bg_small01_Tex,斗将甘宁
441,npc159,Bg_small02_Tex,思召袁绍
442,npc159,Bg_small01_Tex,贵胄袁绍
445,npc156,Bg_small02_Tex,缔盟鲁肃
446,npc156,Bg_small01_Tex,忠魂鲁肃
501,npc145,Bg_small01_Tex,威武王嬴无翳
502,npc145,Bg_small02_Tex,老帅廉颇
506,npc145,Bg_small01_Tex,拜印魔神
508,npc159,Bg_small03_Tex,萌兽の简小炮
510,npc159,Bg_small03_Tex,婑媠魔神
512,npc149,Bg_small03_Tex,萌小鸡の陈婷
513,npc156,Bg_small01_Tex,南南郡主
514,npc156,Bg_small01_Tex,文鸟弑天双刃
1260,npc159,Bg_small01_Tex,鬼神吕布
1285,npc149,Bg_small02_Tex,武圣关羽
1334,npc160,Bg_small01_Tex,振威张辽
1342,npc155,Bg_small01_Tex,霸王孙策
1276,npc158,Bg_small02_Tex,矢志太史慈
1305,npc151,Bg_small01_Tex,龙胆赵云
1313,npc145,Bg_small01_Tex,独目夏侯惇
1339,npc161,Bg_small02_Tex,铁骑马超
1289,npc150,Bg_small01_Tex,卧龙诸葛亮
1293,npc146,Bg_small02_Tex,狼顾司马懿
1297,npc154,Bg_small01_Tex,业炎周瑜
1320,npc159,Bg_small03_Tex,绝舞貂蝉
1256,npc145,Bg_small02_Tex,武帝曹操
1264,npc149,Bg_small01_Tex,昭烈刘备
1272,npc159,Bg_small02_Tex,魔君董卓
1348,npc156,Bg_small01_Tex,武烈孙坚
1361,npc156,Bg_small02_Tex,儒将陆逊
1373,npc145,Bg_small01_Tex,毒士贾诩
1379,npc162,Bg_small03_Tex,双子吕姬
1394,npc149,Bg_small03_Tex,弓腰姬孙尚香
1367,npc152,Bg_small02_Tex,弓神黄忠
1378,npc163,Bg_small03_Tex,猩红吕姬
1268,npc156,Bg_small01_Tex,吴王孙权
1269,npc156,Bg_small02_Tex,若虎孙权
1335,npc147,Bg_small01_Tex,召虎张辽
1390,npc145,Bg_small02_Tex,疾风曹仁
1374,npc145,Bg_small02_Tex,乱武贾诩
1386,npc149,Bg_small01_Tex,麒麟姜维
1383,npc159,Bg_small02_Tex,双子吕玲绮
1424,npc156,Bg_small01_Tex,浴血凌统
