编号,名称,起始时间,结束时间,剧情关卡章节,前置事件,后置事件,后续事件,触发概率(以100记),事件触发成功表现编号,事件触发失败表现编号,奖励(礼包编号),"货币奖励（只包括货币,格式：type1,count1|type2,count2）",描述,简述,是否可以快速完成
104020,比武大会-策士的战场,0:00:00,23:59:00,0,0,0,0,100,104021,104023,0,"36,50",null,NULL,1
104030,比武大会-策士的理想,0:00:00,23:59:00,0,0,0,0,100,104031,0,0,"36,70",null,NULL,1
105010,比武大会,0:00:00,23:59:00,0,0,0,105020|105030,100,105011,0,0,0,null,NULL,1
105020,比武大会-证明自己,0:00:00,23:59:00,0,0,0,0,100,105021,105023,0,"36,30",null,NULL,1
105030,比武大会-更重要的事,0:00:00,23:59:00,0,0,0,0,100,105031,0,0,"36,20",null,NULL,1
106010,比武大会,0:00:00,23:59:00,0,0,0,106020|106030,100,106011,0,0,0,null,NULL,1
106020,比武大会-看我的,0:00:00,23:59:00,0,0,0,0,100,106021,106023,0,"36,50",null,NULL,1
106030,比武大会-不必亲自上,0:00:00,23:59:00,0,0,0,106040|106050,100,106031,106032,0,0,null,NULL,1
106040,比武大会-亲自出战,0:00:00,23:59:00,0,0,0,0,100,106041,0,0,"36,70",null,NULL,1
106050,比武大会-爷很忙,0:00:00,23:59:00,0,0,0,0,100,106051,0,0,"36,50",null,NULL,1
107010,比武大会,0:00:00,23:59:00,0,0,0,107020|107030,100,107011,0,0,0,null,NULL,1
107020,比武大会-我要参加,0:00:00,23:59:00,0,0,0,0,100,107021,107023,0,"36,20",null,NULL,1
107030,比武大会-我要参加！,0:00:00,23:59:00,0,0,0,0,100,107031,107033,0,"36,30",null,NULL,1
108010,比武大会,0:00:00,23:59:00,0,0,0,108020|108050,100,108011,0,0,0,null,NULL,1
108020,比武大会-放下杀戮,0:00:00,23:59:00,0,0,0,108030|108040,100,108021,108023,0,0,null,NULL,1
108030,比武大会-飞升,0:00:00,23:59:00,0,0,0,0,100,108024,0,0,"36,50",null,NULL,1
108040,比武大会-继续参赛,0:00:00,23:59:00,0,0,0,0,100,108041,108043,0,"36,70",null,NULL,1
108050,比武大会-全面的胜利,0:00:00,23:59:00,0,0,0,0,100,108051,0,0,"36,50",null,NULL,1
109010,祭典-皇帝的平安,0:00:00,23:59:00,0,0,0,0,100,109011,0,0,"36,20",null,NULL,1
110010,祭典-天子亲军成立,0:00:00,23:59:00,747,0,0,0,100,110011,0,0,"36,20",null,NULL,1
111010,祭典-黄巾军的覆灭,0:00:00,23:59:00,207,0,0,0,100,111011,0,0,"36,20",null,NULL,1
112010,祭典-消灭董卓,0:00:00,23:59:00,1081,0,0,0,100,112011,0,0,"36,20",null,NULL,1
113010,祭典-吕布的灭亡,0:00:00,23:59:00,1508,0,0,0,100,113011,0,0,"36,20",null,NULL,1
114010,祭祀洛阳,0:00:00,23:59:00,699,0,0,0,100,114011,0,0,"36,20",null,NULL,1
115010,村民的请愿-剿灭山贼,0:00:00,23:59:00,0,0,0,115020|115030,100,115011,0,0,0,null,NULL,1
115020,剿灭山贼-我这就去,0:00:00,23:59:00,0,0,0,0,100,115024,0,0,"36,15",null,NULL,1
115030,剿灭山贼-安慰金,0:00:00,23:59:00,0,0,0,0,100,115031,0,0,"36,20",null,NULL,1
116010,村民的请愿-剿灭山贼,0:00:00,23:59:00,0,0,0,116020|116030,100,116011,0,0,0,null,NULL,1
116020,剿灭山贼-我这就去,0:00:00,23:59:00,0,0,0,0,100,116024,0,0,"36,15",null,NULL,1
116030,剿灭山贼-安慰金,0:00:00,23:59:00,0,0,0,0,100,116031,0,0,"36,20",null,NULL,1
117010,村民的请愿-剿灭山贼,0:00:00,23:59:00,0,0,0,117020|117030,100,117011,0,0,0,null,NULL,1
117020,剿灭山贼-我这就去,0:00:00,23:59:00,0,0,0,0,100,117021,117024,0,"36,30",null,NULL,1
117030,剿灭山贼-安慰金,0:00:00,23:59:00,0,0,0,0,100,117031,0,0,"36,20",null,NULL,1
118010,村民的请愿-剿灭山贼,0:00:00,23:59:00,0,0,0,118020|118030,100,118011,0,0,0,null,NULL,1
118020,剿灭山贼-我这就去,0:00:00,23:59:00,0,0,0,0,100,118021,118024,0,"36,30",null,NULL,1
118030,剿灭山贼-安慰金,0:00:00,23:59:00,0,0,0,0,100,118031,0,0,"36,20",null,NULL,1
119010,村民的请愿-剿灭山贼,0:00:00,23:59:00,0,0,0,119020|119030,100,119011,0,0,0,null,NULL,1
119020,剿灭山贼-我这就去,0:00:00,23:59:00,0,0,0,0,100,119024,0,0,"36,50",null,NULL,1
119030,剿灭山贼-智取,0:00:00,23:59:00,0,0,0,0,100,119031,119033,0,"36,70",null,NULL,1
120010,村民的请愿-剿灭山贼,0:00:00,23:59:00,0,0,0,120020|120030,100,120011,0,0,0,null,NULL,1
120020,剿灭山贼-我这就去,0:00:00,23:59:00,0,0,0,0,100,120024,0,0,"36,50",null,NULL,1
120030,剿灭山贼-智取,0:00:00,23:59:00,0,0,0,0,100,120031,120033,0,"36,70",null,NULL,1
121010,村民的请愿-剿灭山贼,0:00:00,23:59:00,0,0,0,121020|121030,100,121011,0,0,0,null,NULL,1
121020,剿灭山贼-我这就去,0:00:00,23:59:00,0,0,0,0,100,121021,121024,0,"36,70",null,NULL,1
121030,剿灭山贼-智取,0:00:00,23:59:00,0,0,0,0,100,121033,0,0,"36,50",null,NULL,1
122010,村民的请愿-剿灭山贼,0:00:00,23:59:00,0,0,0,122020|122030,100,122011,0,0,0,null,NULL,1
122020,剿灭山贼-我这就去,0:00:00,23:59:00,0,0,0,0,100,122021,122024,0,"36,70",null,NULL,1
122030,剿灭山贼-智取,0:00:00,23:59:00,0,0,0,0,100,122033,0,0,"36,50",null,NULL,1
123010,偶遇故友-董白,0:00:00,23:59:00,0,0,0,0,100,123011,0,0,"36,30",null,NULL,1
124010,偶遇故友-徐晃,0:00:00,23:59:00,0,0,0,0,100,124011,0,0,"36,30",null,NULL,1
125010,偶遇故友-周泰,0:00:00,23:59:00,0,0,0,0,100,125011,0,0,"36,30",null,NULL,1
126010,偶遇故友-田丰,0:00:00,23:59:00,0,0,0,0,100,126011,0,0,"36,30",null,NULL,1
127010,偶遇故友-魏延,0:00:00,23:59:00,0,0,0,0,100,127011,0,0,"36,30",null,NULL,1
128010,偶遇故友-曹丕,0:00:00,23:59:00,0,0,0,0,100,128011,0,0,"36,30",null,NULL,1
129010,偶遇故友-姜维,0:00:00,23:59:00,0,0,0,129020|129030,100,129011,0,0,0,null,NULL,1
129020,偶遇故友-姜维,0:00:00,23:59:00,0,0,0,0,100,129021,0,0,"36,35",null,NULL,1
129030,偶遇故友-姜维,0:00:00,23:59:00,0,0,0,0,100,129031,0,0,"36,30",null,NULL,1
130010,偶遇故友-黄盖,0:00:00,23:59:00,0,0,0,0,100,130011,0,0,"36,30",null,NULL,1
131010,偶遇故友-韩当,0:00:00,23:59:00,0,0,0,0,100,131011,0,0,"36,30",null,NULL,1
132010,乱世仁医,0:00:00,23:59:00,0,0,0,132020|132030,100,132011,0,0,0,null,NULL,1
132020,乱世仁医-把脉,0:00:00,23:59:00,0,0,0,0,100,132021,132022,0,"36,30",null,NULL,1
132030,乱世仁医-缓解疲乏,0:00:00,23:59:00,0,0,0,0,100,132031,0,0,"36,20",null,NULL,1
133010,天算人算,0:00:00,23:59:00,0,0,0,133020|133030,100,133011,0,0,0,null,NULL,1
133020,天算人算-我算,0:00:00,23:59:00,0,0,0,0,100,133022,0,0,"36,30",null,NULL,1
133030,天算人算-不信,0:00:00,23:59:00,0,0,0,0,100,133031,0,0,"36,20",null,NULL,1
134010,思乡心切,0:00:00,23:59:00,0,0,0,0,100,134011,0,0,"36,20",null,NULL,1
135010,早上好,0:00:00,12:00:00,0,0,0,0,100,135011,0,0,"36,20",null,NULL,1
136010,中午好,12:00:01,17:00:00,0,0,0,0,100,136011,0,0,"36,20",null,NULL,1
137010,晚上好,17:00:01,23:59:00,0,0,0,0,100,137011,0,0,"36,20",null,NULL,1
138010,报效主公,0:00:00,23:59:00,0,0,0,0,100,138011,0,0,"36,20",null,NULL,1
139010,发现宝藏,0:00:00,23:59:00,0,0,0,139020|139030,100,139011,0,0,0,null,NULL,1
139020,发现宝藏-扩充军备,0:00:00,23:59:00,0,0,0,0,100,139021,0,0,"36,20",null,NULL,1
139030,发现宝藏-收好,0:00:00,23:59:00,0,0,0,0,100,139031,0,0,"36,30",null,NULL,1
140010,纵火事件,0:00:00,23:59:00,0,0,0,0,100,140011,0,0,"36,30",null,NULL,1
141010,纵火事件,0:00:00,23:59:00,0,0,0,0,100,141011,0,0,"36,20",null,NULL,1
142010,纵火事件,0:00:00,23:59:00,0,0,0,0,100,142011,0,0,"36,20",null,NULL,1
143010,纵火事件,0:00:00,23:59:00,0,0,0,0,100,143011,0,0,"36,20",null,NULL,1
144010,村民的关怀,0:00:00,23:59:00,0,0,0,0,100,144011,0,0,"36,20",null,NULL,1
145010,村民的关怀,0:00:00,23:59:00,0,0,0,0,100,145011,0,0,"36,20",null,NULL,1
146010,村民的关怀,0:00:00,23:59:00,0,0,0,0,100,146011,0,0,"36,20",null,NULL,1
147010,牛家村的荣耀,0:00:00,23:59:00,0,0,0,0,100,147011,0,0,"36,20",null,NULL,1
701010,朱雀羽扇-讨厌的蛮子,0:00:00,23:59:00,2600,0,0,701020|701030,100,701011,0,0,0,null,NULL,0
701020,朱雀羽扇-讨厌的蛮子,0:00:00,23:59:00,0,0,0,0,100,701021,0,0,"36,35",null,NULL,0
701030,朱雀羽扇-讨厌的蛮子,0:00:00,23:59:00,0,0,702010,0,100,701031,0,0,"36,30",[000000]你已经触发了隐藏事件【朱雀羽扇】的第一步！[-] [000000]如果你按照提示进行派遣，将有可能触发后续事件。[-] [000000]完成全部事件之后，可获得比一般事件更多的奖励！[-] 中原地区近来多次受到南蛮侵扰，你收到信件，需要派遣一位军师去智取蛮子。 说到军师，第一个想到的果然还是……,请将[FF0000]诸葛亮[-]派遣至各大地图,0
702010,朱雀羽扇-军师现身,0:00:00,23:59:00,0,701030,0,702020|702030,100,702011,0,0,0,null,NULL,0
702020,朱雀羽扇-军师现身,0:00:00,23:59:00,0,0,0,0,100,702021,0,0,"36,35",null,NULL,0
702030,朱雀羽扇-军师现身,0:00:00,23:59:00,0,0,703010,0,100,702031,0,0,"36,30",[000000]你已经触发了隐藏事件【朱雀羽扇】的第二步！[-] [000000]如果你按照提示进行派遣，将有可能触发后续事件。[-] [000000]完成全部事件之后，可获得比一般事件更多的奖励！[-] 军师现身终于制服了蛮子！ 可是孟获似乎并不服气，为了防止他的报复，请先将诸葛亮的战力提升吧！,请将诸葛亮的战力提升至[FF0000]5000[-]以上并派遣,0
703010,朱雀羽扇-孟获的挑战,0:00:00,23:59:00,0,702030,704010,0,100,703011,0,0,"36,55",[000000]你已经触发了隐藏事件【朱雀羽扇】的第三步！[-] [000000]如果你按照提示进行派遣，将有可能触发后续事件。[-] [000000]完成全部事件之后，可获得比一般事件更多的奖励！[-] 你收到了孟获发来的挑战状！ 他对于输给诸葛亮这件事耿耿于怀，提出要正面一战。 只是提升诸葛亮的战力恐怕不足以应付了，试着派一位实力强大的武将同行吧！ 比如……赵子龙！,请将[FF0000]赵云[-]与诸葛亮一同派遣至[FF0000]区域三[-],0
704010,朱雀羽扇-正面一战,0:00:00,23:59:00,0,703010,0,704020|704050,100,704011,0,0,0,null,NULL,0
704020,朱雀羽扇-正面一战,0:00:00,23:59:00,0,0,0,704030|704040,100,704021,0,0,0,null,NULL,0
704030,朱雀羽扇-正面一战,0:00:00,23:59:00,0,0,0,0,100,704031,0,0,"36,55",null,NULL,0
704040,朱雀羽扇-正面一战,0:00:00,23:59:00,0,0,705010,0,100,704041,0,0,"36,50",[000000]你已经触发了隐藏事件【朱雀羽扇】的第四步！[-] [000000]如果你按照提示进行派遣，将有可能触发最后一步事件。[-] [000000]完成全部事件之后，可获得比一般事件更多的奖励！[-] 亮云组合毫无悬念地又一次制服了孟获。 孟获表示依然不服，对此，专治各种不服的军师又给了他一次机会。 只是这一次孟获可能会学聪明了，要小心他在晚间偷袭哦！,请将诸葛亮战力提升至[FF0000]10000[-]并派遣至[FF0000]区域四[-],0
704050,朱雀羽扇-正面一战,0:00:00,23:59:00,0,0,0,0,100,704051,0,0,"36,55",null,NULL,0
705010,朱雀羽扇-蛮王的顺服,20:00:00,23:59:00,0,704040,0,0,100,705011,0,5711,0,null,NULL,0
706010,龙吟弓-孙坚的死讯,0:00:00,23:59:00,1127,0,707010,0,100,706011,0,0,"36,20",[000000]你已经触发了隐藏事件【龙吟弓】的第一步！[-] [000000]如果你按照提示进行派遣，将有可能触发后续事件。[-] [000000]完成全部事件之后，可获得比一般事件更多的奖励！[-] 孙坚的死讯传开，人民纷纷表示哀悼。主公，请派遣更多武将去听听大家都在聊些什么吧。,请派遣任意武将至各大地图,0
707010,龙吟弓-江东双璧,0:00:00,23:59:00,0,706010,0,707020|707030,100,707011,0,0,0,null,NULL,0
707020,龙吟弓-江东双璧,0:00:00,23:59:00,0,0,708010,0,100,707021,0,0,"36,30",[000000]你已经触发了隐藏事件【龙吟弓】的第二步！[-] [000000]如果你按照提示进行派遣，将有可能触发后续事件。[-] [000000]完成全部事件之后，可获得比一般事件更多的奖励！[-] 孙坚死后，人们似乎把期望都寄托到了他的儿子——孙策的身上。受到这么多的期待，孙策又会做些什么呢？ 请将孙策派遣至各大地图，看看后续的发展吧！,请将[FF0000]孙策[-]派遣至各大地图,0
707030,龙吟弓-江东双璧,0:00:00,23:59:00,0,0,0,0,100,707031,0,0,"36,35",null,NULL,0
708010,龙吟弓-义父,0:00:00,23:59:00,0,707020,0,708020|708030,100,708011,0,0,0,null,NULL,0
708020,龙吟弓-义父,0:00:00,23:59:00,0,0,709010,0,100,708021,0,0,"36,30",[000000]你已经触发了隐藏事件【龙吟弓】的第三步！[-] [000000]如果你按照提示进行派遣，将有可能触发后续事件。[-] [000000]完成全部事件之后，可获得比一般事件更多的奖励！[-] 孙策婉拒了袁术收为义子的提议，难道他心里有什么更大的盘算？ 为了完成心中的抱负，请让孙策变得更强大吧！,请将孙策战力提升至[FF0000]8000[-]并派遣至[FF0000]区域三[-],0
708030,龙吟弓-义父,0:00:00,23:59:00,0,0,0,0,100,708031,0,0,"36,35",null,NULL,0
709010,龙吟弓-父亲的遗志,20:00:00,23:59:00,0,708020,0,709020|709030,100,709011,0,0,0,null,NULL,0
709020,龙吟弓-父亲的遗志,0:00:00,23:59:00,0,0,0,0,100,709021,0,0,"36,55",null,NULL,0
709030,龙吟弓-父亲的遗志,0:00:00,23:59:00,0,0,0,709040|709050,100,709031,0,0,0,null,NULL,0
709040,龙吟弓-父亲的遗志,0:00:00,23:59:00,0,0,710010,0,100,709041,0,0,"36,50",[000000]你已经触发了隐藏事件【龙吟弓】的第四步！[-] [000000]如果你按照提示进行派遣，将有可能触发最后一步事件。[-] [000000]完成全部事件之后，可获得比一般事件更多的奖励！[-] 经过了神秘盗贼的激励，孙策终于意识到了他的责任，他决定继承父亲的遗志，收复江东！ 现在，他需要一位得力助手，还记得当初的江东双璧吗？,请将孙策战力提升至[FF0000]10000[-]并派遣至[FF0000]区域四[-],0
709050,龙吟弓-父亲的遗志,0:00:00,23:59:00,0,0,0,0,100,709051,0,0,"36,55",null,NULL,0
710010,龙吟弓-策马天下,0:00:00,23:59:00,0,709040,0,710020|710030,100,710011,0,0,0,null,NULL,0
710020,龙吟弓-策马天下,0:00:00,23:59:00,0,0,0,0,100,710021,0,5712,0,null,NULL,0
710030,龙吟弓-策马天下,0:00:00,23:59:00,0,0,0,0,100,710031,0,0,"36,75",null,NULL,0
711010,穷奇羽扇-传闻中的人,0:00:00,23:59:00,3357,0,712010,0,100,711011,0,0,"36,30",[000000]你已经触发了隐藏事件【穷奇羽扇】的第一步！[-] [000000]如果你按照提示进行派遣，将有可能触发后续事件。[-] [000000]完成全部事件之后，可获得比一般事件更多的奖励！[-] 曹操家的两位公子不和，似乎都在为争夺储位而招揽贤士。对这个消息最感兴趣的人应该是司马懿了吧。,请将[FF0000]司马懿[-]派遣至各大地图,0
712010,穷奇羽扇-邀请,0:00:00,23:59:00,0,711010,0,712020|712030,100,712011,0,0,0,null,NULL,0
712020,穷奇羽扇-邀请,0:00:00,23:59:00,0,0,713010,0,100,712021,0,0,"36,30",[000000]你已经触发了隐藏事件【穷奇羽扇】的第二步！[-] [000000]如果你按照提示进行派遣，将有可能触发后续事件。[-] [000000]完成全部事件之后，可获得比一般事件更多的奖励！[-] 司马懿接受了曹操的邀请，成为了曹操的军师。为了应付这乱世，还有形势复杂的曹营，还是先提升一下战力才是上策呀。,请将司马懿战力提升至[FF0000]5000[-]并派遣至[FF0000]区域三[-],0
712030,穷奇羽扇-邀请,0:00:00,23:59:00,0,0,0,0,100,712031,0,0,"36,35",null,NULL,0
713010,穷奇羽扇-二位公子,0:00:00,23:59:00,0,712020,0,713020|713030,100,713011,0,0,0,null,NULL,0
713020,穷奇羽扇-二位公子,0:00:00,23:59:00,0,0,0,0,100,713021,0,0,"36,55",null,NULL,0
713030,穷奇羽扇-二位公子,0:00:00,23:59:00,0,0,0,713040|713050,100,713031,0,0,0,null,NULL,0
713040,穷奇羽扇-二位公子,0:00:00,23:59:00,0,0,0,0,100,713041,0,0,"36,55",null,NULL,0
713050,穷奇羽扇-二位公子,0:00:00,23:59:00,0,0,714010,0,100,713051,0,0,"36,50",[000000]你已经触发了隐藏事件【穷奇羽扇】的第三步！[-] [000000]如果你按照提示进行派遣，将有可能触发最后一步事件。[-] [000000]完成全部事件之后，可获得比一般事件更多的奖励！[-] 虽然并没有正面回答曹操的问题，但是司马懿心中其实早就定下自己想要追随的人了。 请让他心目中的这位人选同行，以便商量争夺储位的大计吧！,请将[FF0000]曹丕[-]与司马懿一同派遣至[FF0000]区域四[-],0
714010,穷奇羽扇-储位之争,0:00:00,23:59:00,0,713050,0,714020|714030,100,714011,0,0,0,null,NULL,0
714020,穷奇羽扇-储位之争,0:00:00,23:59:00,0,0,0,0,100,714021,0,5713,0,null,NULL,0
714030,穷奇羽扇-储位之争,0:00:00,23:59:00,0,0,0,0,100,714031,0,0,"36,75",null,NULL,0
201010,祭典-皇帝的平安,0:00:00,23:59:00,0,0,0,0,100,201011,0,0,"36,30",null,NULL,1
202010,祭典-天子亲军成立,0:00:00,23:59:00,747,0,0,0,100,202011,0,0,"36,30",null,NULL,1
203010,祭典-黄巾军的覆灭,0:00:00,23:59:00,207,0,0,0,100,203011,0,0,"36,30",null,NULL,1
204010,祭典-消灭董卓,0:00:00,23:59:00,1081,0,0,0,100,204011,0,0,"36,30",null,NULL,1
205010,祭典-吕布的灭亡,0:00:00,23:59:00,1508,0,0,0,100,205011,0,0,"36,30",null,NULL,1
206010,祭祀洛阳,0:00:00,23:59:00,699,0,0,0,100,206011,0,0,"36,30",null,NULL,1
301010,祭典-皇帝的平安,0:00:00,23:59:00,0,0,0,0,100,301011,0,0,"36,50",null,NULL,1
302010,祭典-天子亲军成立,0:00:00,23:59:00,747,0,0,0,100,302011,0,0,"36,50",null,NULL,1
303010,祭典-黄巾军的覆灭,0:00:00,23:59:00,207,0,0,0,100,303011,0,0,"36,50",null,NULL,1
304010,祭典-消灭董卓,0:00:00,23:59:00,1081,0,0,0,100,304011,0,0,"36,50",null,NULL,1
305010,祭典-吕布的灭亡,0:00:00,23:59:00,1508,0,0,0,100,305011,0,0,"36,50",null,NULL,1
306010,祭祀洛阳,0:00:00,23:59:00,699,0,0,0,100,306011,0,0,"36,50",null,NULL,1
401010,祭典-皇帝的平安,0:00:00,23:59:00,0,0,0,0,100,401011,0,0,"36,70",null,NULL,1
402010,祭典-天子亲军成立,0:00:00,23:59:00,747,0,0,0,100,402011,0,0,"36,70",null,NULL,1
403010,祭典-黄巾军的覆灭,0:00:00,23:59:00,207,0,0,0,100,403011,0,0,"36,70",null,NULL,1
404010,祭典-消灭董卓,0:00:00,23:59:00,1081,0,0,0,100,404011,0,0,"36,70",null,NULL,1
405010,祭典-吕布的灭亡,0:00:00,23:59:00,1508,0,0,0,100,405011,0,0,"36,70",null,NULL,1
406010,祭祀洛阳,0:00:00,23:59:00,699,0,0,0,100,406011,0,0,"36,70",null,NULL,1
207010,早上好,0:00:00,12:00:00,0,0,0,0,100,207011,0,0,"36,30",null,NULL,1
208010,中午好,12:00:01,17:00:00,0,0,0,0,100,208011,0,0,"36,30",null,NULL,1
209010,晚上好,17:00:01,23:59:00,0,0,0,0,100,209011,0,0,"36,30",null,NULL,1
307010,早上好,0:00:00,12:00:00,0,0,0,0,100,307011,0,0,"36,50",null,NULL,1
308010,中午好,12:00:01,17:00:00,0,0,0,0,100,308011,0,0,"36,50",null,NULL,1
309010,晚上好,17:00:01,23:59:00,0,0,0,0,100,309011,0,0,"36,50",null,NULL,1
407010,早上好,0:00:00,12:00:00,0,0,0,0,100,407011,0,0,"36,70",null,NULL,1
408010,中午好,12:00:01,17:00:00,0,0,0,0,100,408011,0,0,"36,70",null,NULL,1
409010,晚上好,17:00:01,23:59:00,0,0,0,0,100,409011,0,0,"36,70",null,NULL,1
210010,乱世仁医,0:00:00,23:59:00,0,0,0,210020|210030,100,210011,0,0,0,null,NULL,1
210020,乱世仁医-把脉,0:00:00,23:59:00,0,0,0,0,100,210021,210022,0,"36,40",null,NULL,1
210030,乱世仁医-缓解疲乏,0:00:00,23:59:00,0,0,0,0,100,210031,0,0,"36,30",null,NULL,1
211010,天算人算,0:00:00,23:59:00,0,0,0,211020|211030,100,211011,0,0,0,null,NULL,1
211020,天算人算-我算,0:00:00,23:59:00,0,0,0,0,100,211022,0,0,"36,40",null,NULL,1
211030,天算人算-不信,0:00:00,23:59:00,0,0,0,0,100,211031,0,0,"36,30",null,NULL,1
310010,乱世仁医,0:00:00,23:59:00,0,0,0,310020|310030,100,310011,0,0,0,null,NULL,1
310020,乱世仁医-把脉,0:00:00,23:59:00,0,0,0,0,100,310021,310022,0,"36,50",null,NULL,1
310030,乱世仁医-缓解疲乏,0:00:00,23:59:00,0,0,0,0,100,310031,0,0,"36,40",null,NULL,1
311010,天算人算,0:00:00,23:59:00,0,0,0,311020|311030,100,311011,0,0,0,null,NULL,1
311020,天算人算-我算,0:00:00,23:59:00,0,0,0,0,100,311021,311022,0,"36,50",null,NULL,1
311030,天算人算-不信,0:00:00,23:59:00,0,0,0,0,100,311031,0,0,"36,40",null,NULL,1
410010,乱世仁医,0:00:00,23:59:00,0,0,0,410020|410030,100,410011,0,0,0,null,NULL,1
410020,乱世仁医-把脉,0:00:00,23:59:00,0,0,0,0,100,410022,0,0,"36,70",null,NULL,1
410030,乱世仁医-缓解疲乏,0:00:00,23:59:00,0,0,0,0,100,410031,0,0,"36,60",null,NULL,1
411010,天算人算,0:00:00,23:59:00,0,0,0,411020|411030,100,411011,0,0,0,null,NULL,1
411020,天算人算-我算,0:00:00,23:59:00,0,0,0,0,100,411021,411022,0,"36,70",null,NULL,1
411030,天算人算-不信,0:00:00,23:59:00,0,0,0,0,100,411031,0,0,"36,60",null,NULL,1
212010,报效主公,0:00:00,23:59:00,0,0,0,0,100,212011,0,0,"36,30",null,NULL,1
213010,发现宝藏,0:00:00,23:59:00,0,0,0,213020|213030,100,213011,0,0,0,null,NULL,1
213020,发现宝藏-扩充军备,0:00:00,23:59:00,0,0,0,0,100,213021,0,0,"36,30",null,NULL,1
213030,发现宝藏-收好,0:00:00,23:59:00,0,0,0,0,100,213031,0,0,"36,40",null,NULL,1
214010,纵火事件,0:00:00,23:59:00,0,0,0,0,100,214011,0,0,"36,30",null,NULL,1
312010,报效主公,0:00:00,23:59:00,0,0,0,0,100,312011,0,0,"36,50",null,NULL,1
313010,发现宝藏,0:00:00,23:59:00,0,0,0,313020|313030,100,313011,0,0,0,null,NULL,1
313020,发现宝藏-扩充军备,0:00:00,23:59:00,0,0,0,0,100,313021,0,0,"36,45",null,NULL,1
313030,发现宝藏-收好,0:00:00,23:59:00,0,0,0,0,100,313031,0,0,"36,55",null,NULL,1
314010,纵火事件,0:00:00,23:59:00,0,0,0,0,100,314011,0,0,"36,50",null,NULL,1
412010,报效主公,0:00:00,23:59:00,0,0,0,0,100,412011,0,0,"36,70",null,NULL,1
413010,发现宝藏,0:00:00,23:59:00,0,0,0,413020|413030,100,413011,0,0,0,null,NULL,1
413020,发现宝藏-扩充军备,0:00:00,23:59:00,0,0,0,0,100,413021,0,0,"36,70",null,NULL,1
413030,发现宝藏-收好,0:00:00,23:59:00,0,0,0,0,100,413031,0,0,"36,60",null,NULL,1
414010,纵火事件,0:00:00,23:59:00,0,0,0,0,100,414011,0,0,"36,70",null,NULL,1
415010,纵火事件,0:00:00,23:59:00,0,0,0,0,100,415011,0,0,"36,70",null,NULL,1
416010,纵火事件,0:00:00,23:59:00,0,0,0,0,100,416011,0,0,"36,70",null,NULL,1
417010,纵火事件,0:00:00,23:59:00,0,0,0,0,100,417011,0,0,"36,70",null,NULL,1
418010,村民的关怀,0:00:00,23:59:00,0,0,0,0,100,418011,0,0,"36,70",null,NULL,1
419010,村民的关怀,0:00:00,23:59:00,0,0,0,0,100,419011,0,0,"36,70",null,NULL,1
420010,村民的关怀,0:00:00,23:59:00,0,0,0,0,100,420011,0,0,"36,70",null,NULL,1
421010,牛家村的荣耀,0:00:00,23:59:00,0,0,0,0,100,421011,0,0,"36,70",null,NULL,1
215010,偶遇故友-郭嘉,0:00:00,23:59:00,0,0,0,0,100,215011,0,0,"36,40",null,NULL,1
216010,偶遇故友-孙尚香,0:00:00,23:59:00,0,0,0,0,100,216011,0,0,"36,40",null,NULL,1
217010,偶遇故友-甄姬,0:00:00,23:59:00,0,0,0,0,100,217011,0,0,"36,40",null,NULL,1
