序号|任务,任务标题,品质,最低战力,最高战力,持续时间(min),条件,条件,条件,条件,条件,条件,条件,条件,条件,条件,条件,条件,条件,条件,条件,条件,条件,条件,条件,条件,任务描述
39,高级任务,4,8801,20700,1440,6,7,8,9,10,35,35,36,36,36,47,45,32,38,38,39,41,42,43,44,常胜将军赵子龙的枪术最近遇到了瓶颈，希望寻找一个枪术大师指点一二。
40,高级任务,4,8801,20700,1440,6,7,8,9,10,35,35,36,36,36,45,47,32,38,40,40,41,43,44,44,常胜将军赵子龙的枪术最近遇到了瓶颈，希望寻找一个枪术大师指点一二。
41,稀有任务,5,8801,20700,1440,6,7,8,9,10,35,35,36,36,36,45,47,32,38,39,40,41,42,44,44,刘备集团被曹操的大军冲散，小主人在乱军中失散，追随子龙将军前往寻找！
42,稀有任务,5,8801,20700,1440,6,7,8,9,10,35,35,36,36,36,46,45,31,38,39,39,41,42,43,43,刘备集团被曹操的大军冲散，小主人在乱军中失散，追随子龙将军前往寻找！
43,稀有任务,5,8801,20700,1440,6,7,8,9,10,35,35,36,36,36,47,46,32,38,40,41,41,42,42,44,刘备集团被曹操的大军冲散，小主人在乱军中失散，追随子龙将军前往寻找！
44,稀有任务,5,8801,20700,1440,6,7,8,9,10,35,35,36,36,36,46,45,32,38,39,40,41,42,43,43,刘备集团被曹操的大军冲散，小主人在乱军中失散，追随子龙将军前往寻找！
45,稀有任务,5,8801,20700,1440,6,7,8,9,10,35,35,36,36,36,45,47,32,38,39,40,41,42,44,44,刘备集团被曹操的大军冲散，小主人在乱军中失散，追随子龙将军前往寻找！
46,稀有任务,5,8801,20700,1440,6,7,8,9,10,35,35,36,36,36,46,45,31,38,39,39,41,42,43,43,刘备集团被曹操的大军冲散，小主人在乱军中失散，追随子龙将军前往寻找！
47,稀有任务,5,8801,20700,1440,6,7,8,9,10,35,35,36,36,36,47,46,32,38,40,41,41,42,42,44,刘备集团被曹操的大军冲散，小主人在乱军中失散，追随子龙将军前往寻找！
48,稀有任务,5,8801,20700,1440,6,7,8,9,10,35,35,36,36,36,46,45,32,38,39,40,41,42,43,43,刘备集团被曹操的大军冲散，小主人在乱军中失散，追随子龙将军前往寻找！
49,低级任务,2,20701,33800,720,11,12,13,14,15,35,36,36,36,36,45,47,46,38,39,40,41,42,44,44,隔壁村的任胖子今天又在找人摔跤了，他说在村里已经找不到对手了，主公，这我们也能忍？
50,低级任务,2,20701,33800,720,11,12,13,14,15,35,36,36,36,36,46,48,45,38,39,39,41,42,43,43,隔壁村的任胖子今天又在找人摔跤了，他说在村里已经找不到对手了，主公，这我们也能忍？
51,低级任务,2,20701,33800,720,11,12,13,14,15,35,36,36,36,36,47,45,48,38,40,41,41,42,42,44,隔壁村的任胖子今天又在找人摔跤了，他说在村里已经找不到对手了，主公，这我们也能忍？
52,低级任务,2,20701,33800,720,11,12,13,14,15,35,36,36,36,36,45,48,49,38,39,40,41,42,43,43,隔壁村的任胖子今天又在找人摔跤了，他说在村里已经找不到对手了，主公，这我们也能忍？
53,中级任务,3,20701,33800,720,11,12,13,14,15,35,36,36,36,36,46,48,49,39,39,40,41,42,43,44,黄巾军势力越来越大，衣甲布匹供不应求，派一些精明的武将去狠狠宰他们一笔吧！
54,中级任务,3,20701,33800,720,11,12,13,14,15,35,36,36,36,36,47,48,45,38,39,39,40,42,43,43,黄巾军势力越来越大，衣甲布匹供不应求，派一些精明的武将去狠狠宰他们一笔吧！
55,中级任务,3,20701,33800,720,11,12,13,14,15,35,36,36,36,36,45,46,48,38,38,39,41,42,43,44,黄巾军势力越来越大，衣甲布匹供不应求，派一些精明的武将去狠狠宰他们一笔吧！
56,中级任务,3,20701,33800,720,11,12,13,14,15,35,36,36,36,36,46,45,47,38,40,40,41,43,44,44,黄巾军势力越来越大，衣甲布匹供不应求，派一些精明的武将去狠狠宰他们一笔吧！
57,高级任务,4,20701,33800,1440,11,12,13,14,15,35,36,36,36,36,49,45,48,38,39,39,41,42,43,43,战神吕布最近新得了两个可爱的小女儿，大家纷纷前往道贺，顺便希望定个娃娃亲什么的，毕竟他们的娘亲是...
58,高级任务,4,20701,33800,1440,11,12,13,14,15,35,36,36,36,36,46,47,50,38,40,41,41,42,42,44,战神吕布最近新得了两个可爱的小女儿，大家纷纷前往道贺，顺便希望定个娃娃亲什么的，毕竟他们的娘亲是...
59,高级任务,4,20701,33800,1440,11,12,13,14,15,35,36,36,36,36,48,45,47,38,39,40,41,42,43,43,战神吕布最近新得了两个可爱的小女儿，大家纷纷前往道贺，顺便希望定个娃娃亲什么的，毕竟他们的娘亲是...
60,高级任务,4,20701,33800,1440,11,12,13,14,15,35,36,36,36,36,46,45,48,38,40,40,41,42,44,44,战神吕布最近新得了两个可爱的小女儿，大家纷纷前往道贺，顺便希望定个娃娃亲什么的，毕竟他们的娘亲是...
61,高级任务,4,20701,33800,1440,11,12,13,14,15,35,36,36,36,36,49,45,48,38,39,39,41,42,43,43,战神吕布最近新得了两个可爱的小女儿，大家纷纷前往道贺，顺便希望定个娃娃亲什么的，毕竟他们的娘亲是...
62,高级任务,4,20701,33800,1440,11,12,13,14,15,35,36,36,36,36,46,47,50,38,40,41,41,42,42,44,战神吕布最近新得了两个可爱的小女儿，大家纷纷前往道贺，顺便希望定个娃娃亲什么的，毕竟他们的娘亲是...
63,高级任务,4,20701,33800,1440,11,12,13,14,15,35,36,36,36,36,48,45,47,38,39,40,41,42,43,43,战神吕布最近新得了两个可爱的小女儿，大家纷纷前往道贺，顺便希望定个娃娃亲什么的，毕竟他们的娘亲是...
64,高级任务,4,20701,33800,1440,11,12,13,14,15,35,36,36,36,36,46,45,48,38,40,40,41,42,44,44,战神吕布最近新得了两个可爱的小女儿，大家纷纷前往道贺，顺便希望定个娃娃亲什么的，毕竟他们的娘亲是...
65,高级任务,4,20701,33800,1440,11,12,13,14,15,35,36,36,36,36,46,45,48,38,40,40,41,42,44,44,战神吕布最近新得了两个可爱的小女儿，大家纷纷前往道贺，顺便希望定个娃娃亲什么的，毕竟他们的娘亲是...
66,稀有任务,5,20701,33800,1440,11,12,13,14,15,35,36,36,36,36,45,47,46,38,39,39,40,42,43,43,贼臣董卓逃离洛阳的时候顺手放了一把大火！我军继续追击还是留下救火，请主公定夺！
67,稀有任务,5,20701,33800,1440,11,12,13,14,15,35,36,36,36,36,46,48,45,38,38,39,41,42,43,44,贼臣董卓逃离洛阳的时候顺手放了一把大火！我军继续追击还是留下救火，请主公定夺！
68,稀有任务,5,20701,33800,1440,11,12,13,14,15,35,36,36,36,36,47,49,48,38,40,40,41,43,44,44,贼臣董卓逃离洛阳的时候顺手放了一把大火！我军继续追击还是留下救火，请主公定夺！
69,稀有任务,5,20701,33800,1440,11,12,13,14,15,35,36,36,36,36,45,50,47,38,39,40,41,42,44,44,贼臣董卓逃离洛阳的时候顺手放了一把大火！我军继续追击还是留下救火，请主公定夺！
70,稀有任务,5,20701,33800,1440,11,12,13,14,15,35,36,36,36,36,45,47,46,38,39,39,40,42,43,43,贼臣董卓逃离洛阳的时候顺手放了一把大火！我军继续追击还是留下救火，请主公定夺！
71,稀有任务,5,20701,33800,1440,11,12,13,14,15,35,36,36,36,36,46,48,45,38,38,39,41,42,43,44,贼臣董卓逃离洛阳的时候顺手放了一把大火！我军继续追击还是留下救火，请主公定夺！
72,稀有任务,5,20701,33800,1440,11,12,13,14,15,35,36,36,36,36,47,49,48,38,40,40,41,43,44,44,贼臣董卓逃离洛阳的时候顺手放了一把大火！我军继续追击还是留下救火，请主公定夺！
73,稀有任务,5,20701,33800,1440,11,12,13,14,15,35,36,36,36,36,45,50,47,38,39,40,41,42,44,44,贼臣董卓逃离洛阳的时候顺手放了一把大火！我军继续追击还是留下救火，请主公定夺！
74,稀有任务,5,20701,33800,1440,11,12,13,14,15,35,36,36,36,36,47,49,48,38,40,40,41,43,44,44,贼臣董卓逃离洛阳的时候顺手放了一把大火！我军继续追击还是留下救火，请主公定夺！
75,低级任务,2,33801,53780,720,16,17,18,19,20,36,36,36,36,37,45,46,47,32,38,39,40,41,42,44,洛阳城中的涛涛说它的好朋友路大头不知道去哪了，好久没来打它了，请你帮忙把好朋友喊回来。
76,低级任务,2,33801,53780,720,16,17,18,19,20,36,36,36,36,37,48,45,50,31,38,39,39,41,42,43,洛阳城中的涛涛说它的好朋友路大头不知道去哪了，好久没来打它了，请你帮忙把好朋友喊回来。
77,低级任务,2,33801,53780,720,16,17,18,19,20,36,36,36,36,37,45,47,49,31,38,40,41,41,42,42,洛阳城中的涛涛说它的好朋友路大头不知道去哪了，好久没来打它了，请你帮忙把好朋友喊回来。
78,低级任务,2,33801,53780,720,16,17,18,19,20,36,36,36,36,37,46,48,50,32,38,39,40,41,42,43,洛阳城中的涛涛说它的好朋友路大头不知道去哪了，好久没来打它了，请你帮忙把好朋友喊回来。
79,中级任务,3,33801,53780,720,16,17,18,19,20,36,36,36,36,37,45,48,47,32,39,39,40,41,42,43,曹丞相苦于部下全是旱鸭子，在水上颠三倒四的根本无法作战。现诚招天下名仕出谋划策。
80,中级任务,3,33801,53780,720,16,17,18,19,20,36,36,36,36,37,48,46,50,31,40,39,39,40,42,43,曹丞相苦于部下全是旱鸭子，在水上颠三倒四的根本无法作战。现诚招天下名仕出谋划策。
81,中级任务,3,33801,53780,720,16,17,18,19,20,36,36,36,36,37,45,48,49,31,38,38,39,41,42,43,曹丞相苦于部下全是旱鸭子，在水上颠三倒四的根本无法作战。现诚招天下名仕出谋划策。
82,中级任务,3,33801,53780,720,16,17,18,19,20,36,36,36,36,37,46,48,50,31,38,40,40,41,43,44,曹丞相苦于部下全是旱鸭子，在水上颠三倒四的根本无法作战。现诚招天下名仕出谋划策。
83,高级任务,4,33801,53780,1440,16,17,18,19,20,36,36,36,36,37,45,46,47,32,39,39,39,41,42,43,张辽威震逍遥津之后，东吴的小孩吓得都不敢哭了，请派一些温柔的武将前往安抚。
84,高级任务,4,33801,53780,1440,16,17,18,19,20,36,36,36,36,37,48,45,50,32,38,40,41,41,42,42,张辽威震逍遥津之后，东吴的小孩吓得都不敢哭了，请派一些温柔的武将前往安抚。
85,高级任务,4,33801,53780,1440,16,17,18,19,20,36,36,36,36,37,47,47,49,31,38,39,40,41,42,43,张辽威震逍遥津之后，东吴的小孩吓得都不敢哭了，请派一些温柔的武将前往安抚。
86,高级任务,4,33801,53780,1440,16,17,18,19,20,36,36,36,36,37,46,46,50,32,38,40,40,41,42,44,张辽威震逍遥津之后，东吴的小孩吓得都不敢哭了，请派一些温柔的武将前往安抚。
87,高级任务,4,33801,53780,1440,16,17,18,19,20,36,36,36,36,37,45,46,47,32,39,39,39,41,42,43,张辽威震逍遥津之后，东吴的小孩吓得都不敢哭了，请派一些温柔的武将前往安抚。
88,高级任务,4,33801,53780,1440,16,17,18,19,20,36,36,36,36,37,48,45,50,32,38,40,41,41,42,42,张辽威震逍遥津之后，东吴的小孩吓得都不敢哭了，请派一些温柔的武将前往安抚。
89,高级任务,4,33801,53780,1440,16,17,18,19,20,36,36,36,36,37,47,47,49,31,38,39,40,41,42,43,张辽威震逍遥津之后，东吴的小孩吓得都不敢哭了，请派一些温柔的武将前往安抚。
90,高级任务,4,33801,53780,1440,16,17,18,19,20,36,36,36,36,37,46,46,50,32,38,40,40,41,42,44,张辽威震逍遥津之后，东吴的小孩吓得都不敢哭了，请派一些温柔的武将前往安抚。
91,高级任务,4,33801,53780,1440,16,17,18,19,20,36,36,36,36,37,48,45,50,32,38,40,41,41,42,42,张辽威震逍遥津之后，东吴的小孩吓得都不敢哭了，请派一些温柔的武将前往安抚。
92,稀有任务,5,33801,53780,1440,16,17,18,19,20,36,36,36,36,37,45,47,47,32,39,39,39,40,42,43,曹操军和袁绍军相持于官渡，决战一触即发，请立即前往战场！
93,稀有任务,5,33801,53780,1440,16,17,18,19,20,36,36,36,36,37,48,49,48,31,38,39,40,41,42,43,曹操军和袁绍军相持于官渡，决战一触即发，请立即前往战场！
94,稀有任务,5,33801,53780,1440,16,17,18,19,20,36,36,36,36,37,45,47,46,31,38,40,40,41,43,44,曹操军和袁绍军相持于官渡，决战一触即发，请立即前往战场！
95,稀有任务,5,33801,53780,1440,16,17,18,19,20,36,36,36,36,37,46,51,50,32,38,39,40,41,42,44,曹操军和袁绍军相持于官渡，决战一触即发，请立即前往战场！
96,稀有任务,5,33801,53780,1440,16,17,18,19,20,36,36,36,36,37,45,47,47,32,39,39,39,40,42,43,曹操军和袁绍军相持于官渡，决战一触即发，请立即前往战场！
97,稀有任务,5,33801,53780,1440,16,17,18,19,20,36,36,36,36,37,48,49,48,31,38,39,40,41,42,43,曹操军和袁绍军相持于官渡，决战一触即发，请立即前往战场！
98,稀有任务,5,33801,53780,1440,16,17,18,19,20,36,36,36,36,37,45,47,46,31,38,40,40,41,43,44,曹操军和袁绍军相持于官渡，决战一触即发，请立即前往战场！
99,稀有任务,5,33801,53780,1440,16,17,18,19,20,36,36,36,36,37,46,51,50,32,38,39,40,41,42,44,曹操军和袁绍军相持于官渡，决战一触即发，请立即前往战场！
100,稀有任务,5,33801,53780,1440,16,17,18,19,20,36,36,36,36,37,45,47,47,32,39,39,39,40,42,43,曹操军和袁绍军相持于官渡，决战一触即发，请立即前往战场！
101,低级任务,2,53781,105000,720,21,22,23,24,25,36,36,37,37,37,45,46,47,48,32,39,40,41,42,44,听说最近来了一个算命先生，号称胡天眼，生而知之，主公我们也去瞧瞧吧。
102,低级任务,2,53781,105000,720,21,22,23,24,25,36,36,37,37,37,49,50,51,52,31,39,39,41,42,43,听说最近来了一个算命先生，号称胡天眼，生而知之，主公我们也去瞧瞧吧。
103,低级任务,2,53781,105000,720,21,22,23,24,25,36,36,37,37,37,45,46,47,48,31,40,41,41,42,42,听说最近来了一个算命先生，号称胡天眼，生而知之，主公我们也去瞧瞧吧。
104,低级任务,2,53781,105000,720,21,22,23,24,25,36,36,37,37,37,47,50,45,48,32,39,40,41,42,43,听说最近来了一个算命先生，号称胡天眼，生而知之，主公我们也去瞧瞧吧。
105,中级任务,3,53781,105000,720,21,22,23,24,25,36,36,37,37,37,45,46,47,48,32,39,40,41,42,43,曹公最近的头风病情越来越重，昨夜忽发一梦，三只马儿在同一个槽里进食，是不是有什么预示呢?
106,中级任务,3,53781,105000,720,21,22,23,24,25,36,36,37,37,37,49,50,51,52,31,39,39,40,42,43,曹公最近的头风病情越来越重，昨夜忽发一梦，三只马儿在同一个槽里进食，是不是有什么预示呢?
107,中级任务,3,53781,105000,720,21,22,23,24,25,36,36,37,37,37,45,46,47,48,31,38,39,41,42,43,曹公最近的头风病情越来越重，昨夜忽发一梦，三只马儿在同一个槽里进食，是不是有什么预示呢?
108,中级任务,3,53781,105000,720,21,22,23,24,25,36,36,37,37,37,47,50,45,48,31,40,40,41,43,44,曹公最近的头风病情越来越重，昨夜忽发一梦，三只马儿在同一个槽里进食，是不是有什么预示呢?
109,高级任务,4,53781,105000,1440,21,22,23,24,25,36,36,37,37,37,45,46,47,48,32,39,39,41,42,43,听说天公将军张角最近得到了一本太平要术，掌握了一系列黑科技，如果能把这本书偷来，说不定对我军也大有益处。
110,高级任务,4,53781,105000,1440,21,22,23,24,25,36,36,37,37,37,49,50,51,52,32,40,41,41,42,42,听说天公将军张角最近得到了一本太平要术，掌握了一系列黑科技，如果能把这本书偷来，说不定对我军也大有益处。
111,高级任务,4,53781,105000,1440,21,22,23,24,25,36,36,37,37,37,45,46,47,48,31,39,40,41,42,43,听说天公将军张角最近得到了一本太平要术，掌握了一系列黑科技，如果能把这本书偷来，说不定对我军也大有益处。
112,高级任务,4,53781,105000,1440,21,22,23,24,25,36,36,37,37,37,47,50,45,48,32,40,40,41,42,44,听说天公将军张角最近得到了一本太平要术，掌握了一系列黑科技，如果能把这本书偷来，说不定对我军也大有益处。
113,高级任务,4,53781,105000,1440,21,22,23,24,25,36,36,37,37,37,45,46,47,48,32,39,39,41,42,43,听说天公将军张角最近得到了一本太平要术，掌握了一系列黑科技，如果能把这本书偷来，说不定对我军也大有益处。
114,高级任务,4,53781,105000,1440,21,22,23,24,25,36,36,37,37,37,49,50,51,52,32,40,41,41,42,42,听说天公将军张角最近得到了一本太平要术，掌握了一系列黑科技，如果能把这本书偷来，说不定对我军也大有益处。
115,高级任务,4,53781,105000,1440,21,22,23,24,25,36,36,37,37,37,45,46,47,48,31,39,40,41,42,43,听说天公将军张角最近得到了一本太平要术，掌握了一系列黑科技，如果能把这本书偷来，说不定对我军也大有益处。
116,高级任务,4,53781,105000,1440,21,22,23,24,25,36,36,37,37,37,47,50,45,48,32,40,40,41,42,44,听说天公将军张角最近得到了一本太平要术，掌握了一系列黑科技，如果能把这本书偷来，说不定对我军也大有益处。
117,高级任务,4,53781,105000,1440,21,22,23,24,25,36,36,37,37,37,45,46,47,48,32,39,39,41,42,43,听说天公将军张角最近得到了一本太平要术，掌握了一系列黑科技，如果能把这本书偷来，说不定对我军也大有益处。
118,高级任务,4,53781,105000,1440,21,22,23,24,25,36,36,37,37,37,49,50,51,52,32,40,41,41,42,42,听说天公将军张角最近得到了一本太平要术，掌握了一系列黑科技，如果能把这本书偷来，说不定对我军也大有益处。
119,高级任务,4,53781,105000,1440,21,22,23,24,25,36,36,37,37,37,45,46,47,48,31,39,40,41,42,43,听说天公将军张角最近得到了一本太平要术，掌握了一系列黑科技，如果能把这本书偷来，说不定对我军也大有益处。
120,高级任务,4,53781,105000,1440,21,22,23,24,25,36,36,37,37,37,47,50,45,48,32,40,40,41,42,44,听说天公将军张角最近得到了一本太平要术，掌握了一系列黑科技，如果能把这本书偷来，说不定对我军也大有益处。
121,高级任务,4,53781,105000,1440,21,22,23,24,25,36,36,37,37,37,45,46,47,48,32,39,39,41,42,43,听说天公将军张角最近得到了一本太平要术，掌握了一系列黑科技，如果能把这本书偷来，说不定对我军也大有益处。
122,高级任务,4,53781,105000,1440,21,22,23,24,25,36,36,37,37,37,49,50,51,52,32,40,41,41,42,42,听说天公将军张角最近得到了一本太平要术，掌握了一系列黑科技，如果能把这本书偷来，说不定对我军也大有益处。
123,高级任务,4,53781,105000,1440,21,22,23,24,25,36,36,37,37,37,45,46,47,48,31,39,40,41,42,43,听说天公将军张角最近得到了一本太平要术，掌握了一系列黑科技，如果能把这本书偷来，说不定对我军也大有益处。
124,高级任务,4,53781,105000,1440,21,22,23,24,25,36,36,37,37,37,47,50,45,48,32,40,40,41,42,44,听说天公将军张角最近得到了一本太平要术，掌握了一系列黑科技，如果能把这本书偷来，说不定对我军也大有益处。
125,稀有任务,5,53781,105000,1440,21,22,23,24,25,36,36,37,37,37,45,46,47,48,32,39,39,40,42,43,贼臣董卓逃离洛阳的时候顺手放了一把大火！我军继续追击还是留下救火，请主公定夺！
126,稀有任务,5,53781,105000,1440,21,22,23,24,25,36,36,37,37,37,49,50,51,52,31,39,40,41,42,43,贼臣董卓逃离洛阳的时候顺手放了一把大火！我军继续追击还是留下救火，请主公定夺！
127,稀有任务,5,53781,105000,1440,21,22,23,24,25,36,36,37,37,37,45,46,47,48,31,40,40,41,43,44,贼臣董卓逃离洛阳的时候顺手放了一把大火！我军继续追击还是留下救火，请主公定夺！
128,稀有任务,5,53781,105000,1440,21,22,23,24,25,36,36,37,37,37,47,50,45,48,32,39,40,41,42,44,贼臣董卓逃离洛阳的时候顺手放了一把大火！我军继续追击还是留下救火，请主公定夺！
