序号,战力限制,战力等级名称,奖励军令,军令上限,开放多阵容数量,开放陷阱数量,开放机关数量,开放计谋数量,卡魂返还系数,国战兵力膨胀,国战投票威望,国战投票卡魂,国战购买资源消耗系数,玩家加入山贼增加将领数量,封地掠夺消耗卡魂基数,庆典挑战奖励获得系数,标题图片名,标题数字图片名,主城图片名,主城数字图片名,界面文字
10,8800,豪杰1级,20,245,3,1,0,0,0.073,0,0,0,0.6,0,130,1,Text02,Number01,RankTextBlack,Black1,icon_Zhanli2_Tex
11,10200,豪杰2级,20,250,3,1,0,0,0.085,0,0,0,0.6,0,150,1.01,Text02,Number02,RankTextBlack,Black2,icon_Zhanli2_Tex
12,11500,豪杰3级,20,255,3,1,0,0,0.085,0,0,0,0.6,0,170,1.01,Text02,Number03,RankTextBlack,Black3,icon_Zhanli2_Tex
13,12800,豪杰4级,20,260,3,1,0,0,0.101,0,0,0,0.6,0,190,1.01,Text02,Number04,RankTextBlack,Black4,icon_Zhanli2_Tex
14,14100,豪杰5级,20,265,4,1,0,0,0.101,0,0,0,0.6,0,210,1.01,Text02,Number05,RankTextBlack,Black5,icon_Zhanli2_Tex
15,15400,豪杰6级,20,270,4,1,0,0,0.125,0,0,0,0.6,0,230,1.02,Text02,Number06,RankTextBlack,Black6,icon_Zhanli2_Tex
16,16800,豪杰7级,20,275,4,1,0,0,0.125,0,0,0,0.6,0,250,1.02,Text02,Number07,RankTextBlack,Black7,icon_Zhanli2_Tex
17,18100,豪杰8级,20,280,4,1,0,0,0.151,0,0,0,0.6,0,270,1.02,Text02,Number08,RankTextBlack,Black8,icon_Zhanli2_Tex
18,19400,豪杰9级,20,285,4,1,0,0,0.151,0,0,0,0.6,0,290,1.02,Text02,Number09,RankTextBlack,Black9,icon_Zhanli2_Tex
19,20700,诸侯1级,30,290,5,1,0,0,0.184,1000,1,20000,1,2,310,1.02,Text03,Number01,RankTextSilver,Silver1,icon_Zhanli3_Tex
20,22000,诸侯2级,30,295,5,1,0,0,0.184,1000,1,20000,1,2,330,1.02,Text03,Number02,RankTextSilver,Silver2,icon_Zhanli3_Tex
21,23400,诸侯3级,30,300,5,1,0,0,0.184,1000,1,20000,1,2,350,1.02,Text03,Number03,RankTextSilver,Silver3,icon_Zhanli3_Tex
22,24700,诸侯4级,30,305,5,1,0,0,0.236,1000,1,20000,1,2,370,1.02,Text03,Number04,RankTextSilver,Silver4,icon_Zhanli3_Tex
23,26000,诸侯5级,30,310,5,1,0,0,0.236,1000,1,20000,1,2,390,1.03,Text03,Number05,RankTextSilver,Silver5,icon_Zhanli3_Tex
24,27300,诸侯6级,30,315,5,1,0,0,0.291,1000,1,20000,1,2,410,1.03,Text03,Number06,RankTextSilver,Silver6,icon_Zhanli3_Tex
25,28600,诸侯7级,30,320,5,1,0,0,0.291,1000,1,20000,1,2,430,1.03,Text03,Number07,RankTextSilver,Silver7,icon_Zhanli3_Tex
26,30000,诸侯8级,30,325,5,1,0,0,0.358,1000,1,20000,1,3,450,1.03,Text03,Number08,RankTextSilver,Silver8,icon_Zhanli3_Tex
27,31900,诸侯9级,30,330,5,1,0,0,0.358,1000,1,20000,1,3,480,1.03,Text03,Number09,RankTextSilver,Silver9,icon_Zhanli3_Tex
28,33800,王侯1级,40,335,5,1,1,0,0.358,1000,2,40000,1.2,3,510,1.03,Text04,Number01,RankTextGold,Gold1,icon_Zhanli4_Tex
29,35700,王侯2级,40,340,5,1,1,0,0.439,1000,2,40000,1.2,3,540,1.04,Text04,Number02,RankTextGold,Gold2,icon_Zhanli4_Tex
30,37600,王侯3级,40,345,5,1,1,0,0.439,1000,2,40000,1.2,3,560,1.04,Text04,Number03,RankTextGold,Gold3,icon_Zhanli4_Tex
31,39500,王侯4级,40,350,5,1,1,0,0.545,1000,2,40000,1.2,3,590,1.04,Text04,Number04,RankTextGold,Gold4,icon_Zhanli4_Tex
32,41400,王侯5级,40,355,5,1,1,0,0.545,1000,2,40000,1.2,3,620,1.04,Text04,Number05,RankTextGold,Gold5,icon_Zhanli4_Tex
33,43300,王侯6级,40,360,5,1,1,0,0.545,1000,2,40000,1.2,3,650,1.04,Text04,Number06,RankTextGold,Gold6,icon_Zhanli4_Tex
34,45200,王侯7级,40,365,5,1,1,0,0.545,1000,2,40000,1.2,3,680,1.05,Text04,Number07,RankTextGold,Gold7,icon_Zhanli4_Tex
35,47100,王侯8级,40,370,5,1,1,0,0.545,1000,2,40000,1.2,3,710,1.05,Text04,Number08,RankTextGold,Gold8,icon_Zhanli4_Tex
36,50000,王侯9级,40,375,5,1,1,0,0.545,1000,2,40000,1.2,4,750,1.05,Text04,Number09,RankTextGold,Gold9,icon_Zhanli4_Tex
37,53780,霸主1级,50,380,5,2,1,0,0.545,1000,3,60000,1.2,4,810,1.05,Text05,Number11,RankTextLuxury,Gold1,icon_Zhanli5_Tex
38,57940,霸主2级,50,385,5,2,1,0,0.545,1000,3,60000,1.4,4,870,1.06,Text05,Number12,RankTextLuxury,Gold2,icon_Zhanli5_Tex
39,62480,霸主3级,50,390,5,2,1,0,0.545,1000,3,60000,1.4,4,940,1.06,Text05,Number13,RankTextLuxury,Gold3,icon_Zhanli5_Tex
40,67400,霸主4级,50,395,5,2,1,0,0.545,1000,3,60000,1.4,4,1010,1.07,Text05,Number14,RankTextLuxury,Gold4,icon_Zhanli5_Tex
41,72700,霸主5级,50,400,5,2,1,0,0.545,1000,3,60000,1.4,4,1090,1.07,Text05,Number15,RankTextLuxury,Gold5,icon_Zhanli5_Tex
42,78380,霸主6级,50,405,5,2,1,0,0.545,1000,3,60000,1.4,4,1180,1.08,Text05,Number16,RankTextLuxury,Gold6,icon_Zhanli5_Tex
43,84440,霸主7级,50,410,5,2,1,0,0.545,1000,3,60000,1.6,5,1270,1.08,Text05,Number17,RankTextLuxury,Gold7,icon_Zhanli5_Tex
44,90880,霸主8级,50,415,5,2,1,0,0.545,1000,3,60000,1.6,5,1360,1.09,Text05,Number18,RankTextLuxury,Gold8,icon_Zhanli5_Tex
45,97700,霸主9级,50,420,5,2,1,0,0.545,1000,3,60000,1.6,5,1470,1.09,Text05,Number19,RankTextLuxury,Gold9,icon_Zhanli5_Tex
46,105000,君王1级,60,425,5,3,1,0,0.545,1000,5,100000,1.6,6,1580,1.11,Text06,Number21,RankTextKing,King1,icon_Zhanli6_Tex
47,113200,君王2级,60,430,5,3,1,0,0.545,1000,5,100000,1.8,6,1700,1.11,Text06,Number22,RankTextKing,King2,icon_Zhanli6_Tex
48,122000,君王3级,60,435,5,3,1,0,0.545,1000,5,100000,1.8,6,1830,1.12,Text06,Number23,RankTextKing,King3,icon_Zhanli6_Tex
49,132000,君王4级,60,440,5,3,1,0,0.545,1000,5,100000,2,7,1980,1.13,Text06,Number24,RankTextKing,King4,icon_Zhanli6_Tex
50,142000,君王5级,60,445,5,3,1,0,0.545,1000,5,100000,2.2,7,2130,1.14,Text06,Number25,RankTextKing,King5,icon_Zhanli6_Tex
51,153000,君王6级,60,450,5,3,1,0,0.545,1000,5,100000,2.4,8,2300,1.15,Text06,Number26,RankTextKing,King6,icon_Zhanli6_Tex
52,165000,君王7级,60,455,5,3,1,0,0.545,1000,5,100000,2.6,8,2480,1.16,Text06,Number27,RankTextKing,King7,icon_Zhanli6_Tex
53,182000,君王8级,60,460,5,3,1,0,0.545,1000,5,100000,2.8,9,2730,1.18,Text06,Number28,RankTextKing,King8,icon_Zhanli6_Tex
54,202000,君王9级,60,465,5,3,1,0,0.545,1000,5,100000,3,10,3030,1.2,Text06,Number29,RankTextKing,King9,icon_Zhanli6_Tex
55,223000,帝王1级,70,470,5,3,1,0,0.545,1000,10,200000,3.4,10,3350,1.21,Text07,Number31,RankTextMonarch,Monarch1,icon_Zhanli7_Tex
56,244000,帝王2级,70,475,5,3,1,0,0.545,1000,10,200000,3.8,10,3660,1.24,Text07,Number32,RankTextMonarch,Monarch2,icon_Zhanli7_Tex
57,265000,帝王3级,70,480,5,3,1,0,0.545,1000,10,200000,4,10,3980,1.27,Text07,Number33,RankTextMonarch,Monarch3,icon_Zhanli7_Tex
58,286000,帝王4级,70,485,5,3,1,0,0.545,1000,10,200000,4.2,10,4290,1.27,Text07,Number34,RankTextMonarch,Monarch4,icon_Zhanli7_Tex
59,308000,帝王5级,70,490,5,3,1,0,0.545,1000,10,200000,4.3,10,4620,1.31,Text07,Number35,RankTextMonarch,Monarch5,icon_Zhanli7_Tex
60,330000,帝王6级,70,495,5,3,1,0,0.545,1000,10,200000,4.4,11,4950,1.33,Text07,Number36,RankTextMonarch,Monarch6,icon_Zhanli7_Tex
61,352000,帝王7级,70,500,5,3,1,0,0.545,1000,10,200000,4.5,11,5280,1.35,Text07,Number37,RankTextMonarch,Monarch7,icon_Zhanli7_Tex
62,375000,帝王8级,70,505,5,3,1,0,0.545,1000,10,200000,4.6,12,5630,1.38,Text07,Number38,RankTextMonarch,Monarch8,icon_Zhanli7_Tex
63,398000,帝王9级,70,510,5,3,1,0,0.545,1000,10,200000,4.7,12,5970,1.4,Text07,Number39,RankTextMonarch,Monarch9,icon_Zhanli7_Tex
