序号,说明,品质（1普通2稀有3史诗4传说）,团体技能id,团体技能效果值,品质（1普通2稀有3史诗4传说）,个人技能id
id,strDesc,nQuality,strTeamSkillIds,strTeamSkillValue,nQualitySelf,strSelfSkillids
int,string,int,string,string,int,string
31,[稀有]国家武力+[史诗]定身,2,96001|96002|96003|96004,60|120|180|240|300|360|420|480|540|600,3,96132|96133|96134|96135|96136|96137|96138|96139|96140|96141
32,[稀有]国家武力+[传说]定身,2,96001|96002|96003|96004,60|120|180|240|300|360|420|480|540|600,4,96142|96143|96144|96145|96146|96147|96148|96149|96150|96151
33,[稀有]国家武力+[普通]制裁,2,96001|96002|96003|96004,60|120|180|240|300|360|420|480|540|600,1,96152|96153|96154|96155|96156|96157|96158|96159|96160|96161
34,[稀有]国家武力+[稀有]制裁,2,96001|96002|96003|96004,60|120|180|240|300|360|420|480|540|600,2,96162|96163|96164|96165|96166|96167|96168|96169|96170|96171
35,[稀有]国家武力+[史诗]制裁,2,96001|96002|96003|96004,60|120|180|240|300|360|420|480|540|600,3,96172|96173|96174|96175|96176|96177|96178|96179|96180|96181
36,[稀有]国家武力+[传说]制裁,2,96001|96002|96003|96004,60|120|180|240|300|360|420|480|540|600,4,96182|96183|96184|96185|96186|96187|96188|96189|96190|96191
37,[稀有]国家武力+[普通]献祭,2,96001|96002|96003|96004,60|120|180|240|300|360|420|480|540|600,1,96192|96193|96194|96195|96196|96197|96198|96199|96200|96201
38,[稀有]国家武力+[稀有]献祭,2,96001|96002|96003|96004,60|120|180|240|300|360|420|480|540|600,2,96202|96203|96204|96205|96206|96207|96208|96209|96210|96211
39,[稀有]国家武力+[史诗]献祭,2,96001|96002|96003|96004,60|120|180|240|300|360|420|480|540|600,3,96212|96213|96214|96215|96216|96217|96218|96219|96220|96221
40,[稀有]国家武力+[传说]献祭,2,96001|96002|96003|96004,60|120|180|240|300|360|420|480|540|600,4,96222|96223|96224|96225|96226|96227|96228|96229|96230|96231
41,[史诗]国家武力+[普通]破盾,3,96001|96002|96003|96004,80|160|240|320|400|480|560|640|720|800,1,96022|96023|96024|96025|96026|96027|96028|96029|96030|96031
42,[史诗]国家武力+[稀有]破盾,3,96001|96002|96003|96004,80|160|240|320|400|480|560|640|720|800,2,96032|96033|96034|96035|96036|96037|96038|96039|96040|96041
43,[史诗]国家武力+[史诗]破盾,3,96001|96002|96003|96004,80|160|240|320|400|480|560|640|720|800,3,96042|96043|96044|96045|96046|96047|96048|96049|96050|96051
44,[史诗]国家武力+[传说]破盾,3,96001|96002|96003|96004,80|160|240|320|400|480|560|640|720|800,4,96052|96053|96054|96055|96056|96057|96058|96059|96060|96061
45,[史诗]国家武力+[普通]斩杀,3,96001|96002|96003|96004,80|160|240|320|400|480|560|640|720|800,1,96062|96063|96064|96065|96066|96067|96068|96069|96070|96071
46,[史诗]国家武力+[稀有]斩杀,3,96001|96002|96003|96004,80|160|240|320|400|480|560|640|720|800,2,96072|96073|96074|96075|96076|96077|96078|96079|96080|96081
47,[史诗]国家武力+[史诗]斩杀,3,96001|96002|96003|96004,80|160|240|320|400|480|560|640|720|800,3,96082|96083|96084|96085|96086|96087|96088|96089|96090|96091
48,[史诗]国家武力+[传说]斩杀,3,96001|96002|96003|96004,80|160|240|320|400|480|560|640|720|800,4,96092|96093|96094|96095|96096|96097|96098|96099|96100|96101
49,[史诗]国家武力+[普通]定身,3,96001|96002|96003|96004,80|160|240|320|400|480|560|640|720|800,1,96112|96113|96114|96115|96116|96117|96118|96119|96120|96121
50,[史诗]国家武力+[稀有]定身,3,96001|96002|96003|96004,80|160|240|320|400|480|560|640|720|800,2,96122|96123|96124|96125|96126|96127|96128|96129|96130|96131
51,[史诗]国家武力+[史诗]定身,3,96001|96002|96003|96004,80|160|240|320|400|480|560|640|720|800,3,96132|96133|96134|96135|96136|96137|96138|96139|96140|96141
52,[史诗]国家武力+[传说]定身,3,96001|96002|96003|96004,80|160|240|320|400|480|560|640|720|800,4,96142|96143|96144|96145|96146|96147|96148|96149|96150|96151
53,[史诗]国家武力+[普通]制裁,3,96001|96002|96003|96004,80|160|240|320|400|480|560|640|720|800,1,96152|96153|96154|96155|96156|96157|96158|96159|96160|96161
54,[史诗]国家武力+[稀有]制裁,3,96001|96002|96003|96004,80|160|240|320|400|480|560|640|720|800,2,96162|96163|96164|96165|96166|96167|96168|96169|96170|96171
55,[史诗]国家武力+[史诗]制裁,3,96001|96002|96003|96004,80|160|240|320|400|480|560|640|720|800,3,96172|96173|96174|96175|96176|96177|96178|96179|96180|96181
56,[史诗]国家武力+[传说]制裁,3,96001|96002|96003|96004,80|160|240|320|400|480|560|640|720|800,4,96182|96183|96184|96185|96186|96187|96188|96189|96190|96191
57,[史诗]国家武力+[普通]献祭,3,96001|96002|96003|96004,80|160|240|320|400|480|560|640|720|800,1,96192|96193|96194|96195|96196|96197|96198|96199|96200|96201
58,[史诗]国家武力+[稀有]献祭,3,96001|96002|96003|96004,80|160|240|320|400|480|560|640|720|800,2,96202|96203|96204|96205|96206|96207|96208|96209|96210|96211
59,[史诗]国家武力+[史诗]献祭,3,96001|96002|96003|96004,80|160|240|320|400|480|560|640|720|800,3,96212|96213|96214|96215|96216|96217|96218|96219|96220|96221
60,[史诗]国家武力+[传说]献祭,3,96001|96002|96003|96004,80|160|240|320|400|480|560|640|720|800,4,96222|96223|96224|96225|96226|96227|96228|96229|96230|96231
61,[传说]国家武力+[普通]破盾,4,96001|96002|96003|96004,100|200|300|400|500|600|700|800|900|1000,1,96022|96023|96024|96025|96026|96027|96028|96029|96030|96031
62,[传说]国家武力+[稀有]破盾,4,96001|96002|96003|96004,100|200|300|400|500|600|700|800|900|1000,2,96032|96033|96034|96035|96036|96037|96038|96039|96040|96041
63,[传说]国家武力+[史诗]破盾,4,96001|96002|96003|96004,100|200|300|400|500|600|700|800|900|1000,3,96042|96043|96044|96045|96046|96047|96048|96049|96050|96051
64,[传说]国家武力+[传说]破盾,4,96001|96002|96003|96004,100|200|300|400|500|600|700|800|900|1000,4,96052|96053|96054|96055|96056|96057|96058|96059|96060|96061
65,[传说]国家武力+[普通]斩杀,4,96001|96002|96003|96004,100|200|300|400|500|600|700|800|900|1000,1,96062|96063|96064|96065|96066|96067|96068|96069|96070|96071
66,[传说]国家武力+[稀有]斩杀,4,96001|96002|96003|96004,100|200|300|400|500|600|700|800|900|1000,2,96072|96073|96074|96075|96076|96077|96078|96079|96080|96081
67,[传说]国家武力+[史诗]斩杀,4,96001|96002|96003|96004,100|200|300|400|500|600|700|800|900|1000,3,96082|96083|96084|96085|96086|96087|96088|96089|96090|96091
68,[传说]国家武力+[传说]斩杀,4,96001|96002|96003|96004,100|200|300|400|500|600|700|800|900|1000,4,96092|96093|96094|96095|96096|96097|96098|96099|96100|96101
69,[传说]国家武力+[普通]定身,4,96001|96002|96003|96004,100|200|300|400|500|600|700|800|900|1000,1,96112|96113|96114|96115|96116|96117|96118|96119|96120|96121
70,[传说]国家武力+[稀有]定身,4,96001|96002|96003|96004,100|200|300|400|500|600|700|800|900|1000,2,96122|96123|96124|96125|96126|96127|96128|96129|96130|96131
71,[传说]国家武力+[史诗]定身,4,96001|96002|96003|96004,100|200|300|400|500|600|700|800|900|1000,3,96132|96133|96134|96135|96136|96137|96138|96139|96140|96141
72,[传说]国家武力+[传说]定身,4,96001|96002|96003|96004,100|200|300|400|500|600|700|800|900|1000,4,96142|96143|96144|96145|96146|96147|96148|96149|96150|96151
73,[传说]国家武力+[普通]制裁,4,96001|96002|96003|96004,100|200|300|400|500|600|700|800|900|1000,1,96152|96153|96154|96155|96156|96157|96158|96159|96160|96161
74,[传说]国家武力+[稀有]制裁,4,96001|96002|96003|96004,100|200|300|400|500|600|700|800|900|1000,2,96162|96163|96164|96165|96166|96167|96168|96169|96170|96171
75,[传说]国家武力+[史诗]制裁,4,96001|96002|96003|96004,100|200|300|400|500|600|700|800|900|1000,3,96172|96173|96174|96175|96176|96177|96178|96179|96180|96181
76,[传说]国家武力+[传说]制裁,4,96001|96002|96003|96004,100|200|300|400|500|600|700|800|900|1000,4,96182|96183|96184|96185|96186|96187|96188|96189|96190|96191
77,[传说]国家武力+[普通]献祭,4,96001|96002|96003|96004,100|200|300|400|500|600|700|800|900|1000,1,96192|96193|96194|96195|96196|96197|96198|96199|96200|96201
78,[传说]国家武力+[稀有]献祭,4,96001|96002|96003|96004,100|200|300|400|500|600|700|800|900|1000,2,96202|96203|96204|96205|96206|96207|96208|96209|96210|96211
79,[传说]国家武力+[史诗]献祭,4,96001|96002|96003|96004,100|200|300|400|500|600|700|800|900|1000,3,96212|96213|96214|96215|96216|96217|96218|96219|96220|96221
80,[传说]国家武力+[传说]献祭,4,96001|96002|96003|96004,100|200|300|400|500|600|700|800|900|1000,4,96222|96223|96224|96225|96226|96227|96228|96229|96230|96231
81,[普通]国家智力+[普通]破盾,1,96005|96006|96007|96008,40|80|120|160|200|240|280|320|360|400,1,96022|96023|96024|96025|96026|96027|96028|96029|96030|96031
82,[普通]国家智力+[稀有]破盾,1,96005|96006|96007|96008,40|80|120|160|200|240|280|320|360|400,2,96032|96033|96034|96035|96036|96037|96038|96039|96040|96041
83,[普通]国家智力+[史诗]破盾,1,96005|96006|96007|96008,40|80|120|160|200|240|280|320|360|400,3,96042|96043|96044|96045|96046|96047|96048|96049|96050|96051
84,[普通]国家智力+[传说]破盾,1,96005|96006|96007|96008,40|80|120|160|200|240|280|320|360|400,4,96052|96053|96054|96055|96056|96057|96058|96059|96060|96061
85,[普通]国家智力+[普通]斩杀,1,96005|96006|96007|96008,40|80|120|160|200|240|280|320|360|400,1,96062|96063|96064|96065|96066|96067|96068|96069|96070|96071
86,[普通]国家智力+[稀有]斩杀,1,96005|96006|96007|96008,40|80|120|160|200|240|280|320|360|400,2,96072|96073|96074|96075|96076|96077|96078|96079|96080|96081
87,[普通]国家智力+[史诗]斩杀,1,96005|96006|96007|96008,40|80|120|160|200|240|280|320|360|400,3,96082|96083|96084|96085|96086|96087|96088|96089|96090|96091
88,[普通]国家智力+[传说]斩杀,1,96005|96006|96007|96008,40|80|120|160|200|240|280|320|360|400,4,96092|96093|96094|96095|96096|96097|96098|96099|96100|96101
89,[普通]国家智力+[普通]定身,1,96005|96006|96007|96008,40|80|120|160|200|240|280|320|360|400,1,96112|96113|96114|96115|96116|96117|96118|96119|96120|96121
90,[普通]国家智力+[稀有]定身,1,96005|96006|96007|96008,40|80|120|160|200|240|280|320|360|400,2,96122|96123|96124|96125|96126|96127|96128|96129|96130|96131
91,[普通]国家智力+[史诗]定身,1,96005|96006|96007|96008,40|80|120|160|200|240|280|320|360|400,3,96132|96133|96134|96135|96136|96137|96138|96139|96140|96141
92,[普通]国家智力+[传说]定身,1,96005|96006|96007|96008,40|80|120|160|200|240|280|320|360|400,4,96142|96143|96144|96145|96146|96147|96148|96149|96150|96151
93,[普通]国家智力+[普通]制裁,1,96005|96006|96007|96008,40|80|120|160|200|240|280|320|360|400,1,96152|96153|96154|96155|96156|96157|96158|96159|96160|96161
94,[普通]国家智力+[稀有]制裁,1,96005|96006|96007|96008,40|80|120|160|200|240|280|320|360|400,2,96162|96163|96164|96165|96166|96167|96168|96169|96170|96171
95,[普通]国家智力+[史诗]制裁,1,96005|96006|96007|96008,40|80|120|160|200|240|280|320|360|400,3,96172|96173|96174|96175|96176|96177|96178|96179|96180|96181
96,[普通]国家智力+[传说]制裁,1,96005|96006|96007|96008,40|80|120|160|200|240|280|320|360|400,4,96182|96183|96184|96185|96186|96187|96188|96189|96190|96191
97,[普通]国家智力+[普通]献祭,1,96005|96006|96007|96008,40|80|120|160|200|240|280|320|360|400,1,96192|96193|96194|96195|96196|96197|96198|96199|96200|96201
98,[普通]国家智力+[稀有]献祭,1,96005|96006|96007|96008,40|80|120|160|200|240|280|320|360|400,2,96202|96203|96204|96205|96206|96207|96208|96209|96210|96211
99,[普通]国家智力+[史诗]献祭,1,96005|96006|96007|96008,40|80|120|160|200|240|280|320|360|400,3,96212|96213|96214|96215|96216|96217|96218|96219|96220|96221
100,[普通]国家智力+[传说]献祭,1,96005|96006|96007|96008,40|80|120|160|200|240|280|320|360|400,4,96222|96223|96224|96225|96226|96227|96228|96229|96230|96231
101,[稀有]国家智力+[普通]破盾,2,96005|96006|96007|96008,60|120|180|240|300|360|420|480|540|600,1,96022|96023|96024|96025|96026|96027|96028|96029|96030|96031
102,[稀有]国家智力+[稀有]破盾,2,96005|96006|96007|96008,60|120|180|240|300|360|420|480|540|600,2,96032|96033|96034|96035|96036|96037|96038|96039|96040|96041
103,[稀有]国家智力+[史诗]破盾,2,96005|96006|96007|96008,60|120|180|240|300|360|420|480|540|600,3,96042|96043|96044|96045|96046|96047|96048|96049|96050|96051
104,[稀有]国家智力+[传说]破盾,2,96005|96006|96007|96008,60|120|180|240|300|360|420|480|540|600,4,96052|96053|96054|96055|96056|96057|96058|96059|96060|96061
105,[稀有]国家智力+[普通]斩杀,2,96005|96006|96007|96008,60|120|180|240|300|360|420|480|540|600,1,96062|96063|96064|96065|96066|96067|96068|96069|96070|96071
106,[稀有]国家智力+[稀有]斩杀,2,96005|96006|96007|96008,60|120|180|240|300|360|420|480|540|600,2,96072|96073|96074|96075|96076|96077|96078|96079|96080|96081
107,[稀有]国家智力+[史诗]斩杀,2,96005|96006|96007|96008,60|120|180|240|300|360|420|480|540|600,3,96082|96083|96084|96085|96086|96087|96088|96089|96090|96091
108,[稀有]国家智力+[传说]斩杀,2,96005|96006|96007|96008,60|120|180|240|300|360|420|480|540|600,4,96092|96093|96094|96095|96096|96097|96098|96099|96100|96101
109,[稀有]国家智力+[普通]定身,2,96005|96006|96007|96008,60|120|180|240|300|360|420|480|540|600,1,96112|96113|96114|96115|96116|96117|96118|96119|96120|96121
110,[稀有]国家智力+[稀有]定身,2,96005|96006|96007|96008,60|120|180|240|300|360|420|480|540|600,2,96122|96123|96124|96125|96126|96127|96128|96129|96130|96131
111,[稀有]国家智力+[史诗]定身,2,96005|96006|96007|96008,60|120|180|240|300|360|420|480|540|600,3,96132|96133|96134|96135|96136|96137|96138|96139|96140|96141
112,[稀有]国家智力+[传说]定身,2,96005|96006|96007|96008,60|120|180|240|300|360|420|480|540|600,4,96142|96143|96144|96145|96146|96147|96148|96149|96150|96151
113,[稀有]国家智力+[普通]制裁,2,96005|96006|96007|96008,60|120|180|240|300|360|420|480|540|600,1,96152|96153|96154|96155|96156|96157|96158|96159|96160|96161
114,[稀有]国家智力+[稀有]制裁,2,96005|96006|96007|96008,60|120|180|240|300|360|420|480|540|600,2,96162|96163|96164|96165|96166|96167|96168|96169|96170|96171
115,[稀有]国家智力+[史诗]制裁,2,96005|96006|96007|96008,60|120|180|240|300|360|420|480|540|600,3,96172|96173|96174|96175|96176|96177|96178|96179|96180|96181
116,[稀有]国家智力+[传说]制裁,2,96005|96006|96007|96008,60|120|180|240|300|360|420|480|540|600,4,96182|96183|96184|96185|96186|96187|96188|96189|96190|96191
117,[稀有]国家智力+[普通]献祭,2,96005|96006|96007|96008,60|120|180|240|300|360|420|480|540|600,1,96192|96193|96194|96195|96196|96197|96198|96199|96200|96201
118,[稀有]国家智力+[稀有]献祭,2,96005|96006|96007|96008,60|120|180|240|300|360|420|480|540|600,2,96202|96203|96204|96205|96206|96207|96208|96209|96210|96211
119,[稀有]国家智力+[史诗]献祭,2,96005|96006|96007|96008,60|120|180|240|300|360|420|480|540|600,3,96212|96213|96214|96215|96216|96217|96218|96219|96220|96221
120,[稀有]国家智力+[传说]献祭,2,96005|96006|96007|96008,60|120|180|240|300|360|420|480|540|600,4,96222|96223|96224|96225|96226|96227|96228|96229|96230|96231
121,[史诗]国家智力+[普通]破盾,3,96005|96006|96007|96008,80|160|240|320|400|480|560|640|720|800,1,96022|96023|96024|96025|96026|96027|96028|96029|96030|96031
122,[史诗]国家智力+[稀有]破盾,3,96005|96006|96007|96008,80|160|240|320|400|480|560|640|720|800,2,96032|96033|96034|96035|96036|96037|96038|96039|96040|96041
123,[史诗]国家智力+[史诗]破盾,3,96005|96006|96007|96008,80|160|240|320|400|480|560|640|720|800,3,96042|96043|96044|96045|96046|96047|96048|96049|96050|96051
124,[史诗]国家智力+[传说]破盾,3,96005|96006|96007|96008,80|160|240|320|400|480|560|640|720|800,4,96052|96053|96054|96055|96056|96057|96058|96059|96060|96061
125,[史诗]国家智力+[普通]斩杀,3,96005|96006|96007|96008,80|160|240|320|400|480|560|640|720|800,1,96062|96063|96064|96065|96066|96067|96068|96069|96070|96071
126,[史诗]国家智力+[稀有]斩杀,3,96005|96006|96007|96008,80|160|240|320|400|480|560|640|720|800,2,96072|96073|96074|96075|96076|96077|96078|96079|96080|96081
127,[史诗]国家智力+[史诗]斩杀,3,96005|96006|96007|96008,80|160|240|320|400|480|560|640|720|800,3,96082|96083|96084|96085|96086|96087|96088|96089|96090|96091
128,[史诗]国家智力+[传说]斩杀,3,96005|96006|96007|96008,80|160|240|320|400|480|560|640|720|800,4,96092|96093|96094|96095|96096|96097|96098|96099|96100|96101
129,[史诗]国家智力+[普通]定身,3,96005|96006|96007|96008,80|160|240|320|400|480|560|640|720|800,1,96112|96113|96114|96115|96116|96117|96118|96119|96120|96121
130,[史诗]国家智力+[稀有]定身,3,96005|96006|96007|96008,80|160|240|320|400|480|560|640|720|800,2,96122|96123|96124|96125|96126|96127|96128|96129|96130|96131
131,[史诗]国家智力+[史诗]定身,3,96005|96006|96007|96008,80|160|240|320|400|480|560|640|720|800,3,96132|96133|96134|96135|96136|96137|96138|96139|96140|96141
132,[史诗]国家智力+[传说]定身,3,96005|96006|96007|96008,80|160|240|320|400|480|560|640|720|800,4,96142|96143|96144|96145|96146|96147|96148|96149|96150|96151
133,[史诗]国家智力+[普通]制裁,3,96005|96006|96007|96008,80|160|240|320|400|480|560|640|720|800,1,96152|96153|96154|96155|96156|96157|96158|96159|96160|96161
134,[史诗]国家智力+[稀有]制裁,3,96005|96006|96007|96008,80|160|240|320|400|480|560|640|720|800,2,96162|96163|96164|96165|96166|96167|96168|96169|96170|96171
135,[史诗]国家智力+[史诗]制裁,3,96005|96006|96007|96008,80|160|240|320|400|480|560|640|720|800,3,96172|96173|96174|96175|96176|96177|96178|96179|96180|96181
136,[史诗]国家智力+[传说]制裁,3,96005|96006|96007|96008,80|160|240|320|400|480|560|640|720|800,4,96182|96183|96184|96185|96186|96187|96188|96189|96190|96191
137,[史诗]国家智力+[普通]献祭,3,96005|96006|96007|96008,80|160|240|320|400|480|560|640|720|800,1,96192|96193|96194|96195|96196|96197|96198|96199|96200|96201
138,[史诗]国家智力+[稀有]献祭,3,96005|96006|96007|96008,80|160|240|320|400|480|560|640|720|800,2,96202|96203|96204|96205|96206|96207|96208|96209|96210|96211
139,[史诗]国家智力+[史诗]献祭,3,96005|96006|96007|96008,80|160|240|320|400|480|560|640|720|800,3,96212|96213|96214|96215|96216|96217|96218|96219|96220|96221
140,[史诗]国家智力+[传说]献祭,3,96005|96006|96007|96008,80|160|240|320|400|480|560|640|720|800,4,96222|96223|96224|96225|96226|96227|96228|96229|96230|96231
141,[传说]国家智力+[普通]破盾,4,96005|96006|96007|96008,100|200|300|400|500|600|700|800|900|1000,1,96022|96023|96024|96025|96026|96027|96028|96029|96030|96031
142,[传说]国家智力+[稀有]破盾,4,96005|96006|96007|96008,100|200|300|400|500|600|700|800|900|1000,2,96032|96033|96034|96035|96036|96037|96038|96039|96040|96041
143,[传说]国家智力+[史诗]破盾,4,96005|96006|96007|96008,100|200|300|400|500|600|700|800|900|1000,3,96042|96043|96044|96045|96046|96047|96048|96049|96050|96051
144,[传说]国家智力+[传说]破盾,4,96005|96006|96007|96008,100|200|300|400|500|600|700|800|900|1000,4,96052|96053|96054|96055|96056|96057|96058|96059|96060|96061
145,[传说]国家智力+[普通]斩杀,4,96005|96006|96007|96008,100|200|300|400|500|600|700|800|900|1000,1,96062|96063|96064|96065|96066|96067|96068|96069|96070|96071
146,[传说]国家智力+[稀有]斩杀,4,96005|96006|96007|96008,100|200|300|400|500|600|700|800|900|1000,2,96072|96073|96074|96075|96076|96077|96078|96079|96080|96081
147,[传说]国家智力+[史诗]斩杀,4,96005|96006|96007|96008,100|200|300|400|500|600|700|800|900|1000,3,96082|96083|96084|96085|96086|96087|96088|96089|96090|96091
148,[传说]国家智力+[传说]斩杀,4,96005|96006|96007|96008,100|200|300|400|500|600|700|800|900|1000,4,96092|96093|96094|96095|96096|96097|96098|96099|96100|96101
149,[传说]国家智力+[普通]定身,4,96005|96006|96007|96008,100|200|300|400|500|600|700|800|900|1000,1,96112|96113|96114|96115|96116|96117|96118|96119|96120|96121
150,[传说]国家智力+[稀有]定身,4,96005|96006|96007|96008,100|200|300|400|500|600|700|800|900|1000,2,96122|96123|96124|96125|96126|96127|96128|96129|96130|96131
151,[传说]国家智力+[史诗]定身,4,96005|96006|96007|96008,100|200|300|400|500|600|700|800|900|1000,3,96132|96133|96134|96135|96136|96137|96138|96139|96140|96141
152,[传说]国家智力+[传说]定身,4,96005|96006|96007|96008,100|200|300|400|500|600|700|800|900|1000,4,96142|96143|96144|96145|96146|96147|96148|96149|96150|96151
153,[传说]国家智力+[普通]制裁,4,96005|96006|96007|96008,100|200|300|400|500|600|700|800|900|1000,1,96152|96153|96154|96155|96156|96157|96158|96159|96160|96161
154,[传说]国家智力+[稀有]制裁,4,96005|96006|96007|96008,100|200|300|400|500|600|700|800|900|1000,2,96162|96163|96164|96165|96166|96167|96168|96169|96170|96171
155,[传说]国家智力+[史诗]制裁,4,96005|96006|96007|96008,100|200|300|400|500|600|700|800|900|1000,3,96172|96173|96174|96175|96176|96177|96178|96179|96180|96181
156,[传说]国家智力+[传说]制裁,4,96005|96006|96007|96008,100|200|300|400|500|600|700|800|900|1000,4,96182|96183|96184|96185|96186|96187|96188|96189|96190|96191
157,[传说]国家智力+[普通]献祭,4,96005|96006|96007|96008,100|200|300|400|500|600|700|800|900|1000,1,96192|96193|96194|96195|96196|96197|96198|96199|96200|96201
158,[传说]国家智力+[稀有]献祭,4,96005|96006|96007|96008,100|200|300|400|500|600|700|800|900|1000,2,96202|96203|96204|96205|96206|96207|96208|96209|96210|96211
159,[传说]国家智力+[史诗]献祭,4,96005|96006|96007|96008,100|200|300|400|500|600|700|800|900|1000,3,96212|96213|96214|96215|96216|96217|96218|96219|96220|96221
