货架ID,游戏货币,额外赠送游戏货币,平台类型,平台币价格,人民币价格,商品名称,运营商ID,中心图标,赠送图标,价格图标,对应的实际货币价格,是否为月卡,礼包对应id
20201,60,0,202,6,6,60钻石,1,Common/ResouceIcon/Big/icon_big_diamond_part5_Tex,null,6,6,0,
20205,3300,300,202,300,300,3000钻石,5,Common/ResouceIcon/Big/icon_big_diamond_part3_Tex,Present2,300,300,0,
20204,1050,50,202,100,100,1000钻石,4,Common/ResouceIcon/Big/icon_big_diamond_part3_Tex,Present6,100,100,0,
20203,500,0,202,50,50,500钻石,3,Common/ResouceIcon/Big/icon_big_diamond_part4_Tex,null,50,50,0,
20202,300,0,202,30,30,300钻石,2,Common/ResouceIcon/Big/icon_big_diamond_part4_Tex,null,30,30,0,
20211,0,0,202,6,6,每日优惠礼包,11,null,null,6,6,0,1
20212,0,0,202,18,18,每日福利礼包,12,null,null,18,18,0,2
20213,0,0,202,30,30,春节礼包,13,null,null,30,30,0,3
20214,0,0,202,30,30,元宵礼包,14,null,null,30,30,0,4
20215,0,0,202,30,30,女将礼包,15,null,null,30,30,0,5
20216,0,0,202,38,38,暖冬礼包,16,null,null,38,38,0,6
20217,0,0,202,30,30,国庆礼包,17,null,null,30,30,0,7
20218,0,0,202,8,8,壮士礼包,18,null,null,8,8,0,8
20219,0,0,202,28,28,豪杰礼包,19,null,null,28,28,0,9
20220,0,0,202,60,60,诸侯礼包,20,null,null,60,60,0,10
20221,0,0,202,128,128,王候礼包,21,null,null,128,128,0,11
20222,0,0,202,198,198,霸主礼包,22,null,null,198,198,0,12
20223,0,0,202,328,328,君王礼包,23,null,null,328,328,0,13
20224,0,0,202,388,388,帝王礼包,24,null,null,388,388,0,14
20225,0,0,202,28,28,觉醒礼包,25,null,null,28,28,0,15
20226,0,0,202,28,28,堕天礼包,26,null,null,28,28,0,16
20227,0,0,202,28,28,诸侯回归礼包,27,null,null,28,28,0,17
20228,0,0,202,28,28,王候回归礼包,28,null,null,28,28,0,18
20229,0,0,202,28,28,霸主回归礼包,29,null,null,28,28,0,19
20230,0,0,202,28,28,君王回归礼包,30,null,null,28,28,0,20
20231,0,0,202,28,28,帝王回归礼包,31,null,null,28,28,0,21
20236,0,0,202,38,38,团购礼包,36,null,null,28,28,0,22
20308,300,0,203,3000,30,30元至尊礼包,8,null,null,null,30,1,
20309,500,0,203,5000,50,50元至尊礼包,9,null,null,50,50,1,
20310,880,0,203,8800,88,88元至尊礼包,10,null,null,88,88,1,
20307,10120,1320,203,88000,880,8800钻石,7,Common/ResouceIcon/Big/icon_big_diamond_part1_Tex,Present7,880,880,0,
20306,7590,990,203,66000,660,6600钻石,6,Common/ResouceIcon/Big/icon_big_diamond_part2_Tex,Present5,660,660,0,
20301,60,0,203,600,6,60钻石,1,Common/ResouceIcon/Big/icon_big_diamond_part5_Tex,null,6,6,0,
20305,3300,300,203,30000,300,3000钻石,5,Common/ResouceIcon/Big/icon_big_diamond_part3_Tex,Present2,300,300,0,
20304,1050,50,203,10000,100,1000钻石,4,Common/ResouceIcon/Big/icon_big_diamond_part3_Tex,Present6,100,100,0,
20303,500,0,203,5000,50,500钻石,3,Common/ResouceIcon/Big/icon_big_diamond_part4_Tex,null,50,50,0,
20302,300,0,203,3000,30,300钻石,2,Common/ResouceIcon/Big/icon_big_diamond_part4_Tex,null,30,30,0,
20311,0,0,203,600,6,每日优惠礼包,11,null,null,6,6,0,1
20312,0,0,203,1800,18,每日福利礼包,12,null,null,18,18,0,2
20313,0,0,203,3000,30,春节礼包,13,null,null,30,30,0,3
20314,0,0,203,3000,30,元宵礼包,14,null,null,30,30,0,4
20315,0,0,203,3000,30,女将礼包,15,null,null,30,30,0,5
20316,0,0,203,3800,38,暖冬礼包,16,null,null,38,38,0,6
20317,0,0,203,3000,30,国庆礼包,17,null,null,30,30,0,7
20318,0,0,203,800,8,壮士礼包,18,null,null,8,8,0,8
20319,0,0,203,2800,28,豪杰礼包,19,null,null,28,28,0,9
20320,0,0,203,6000,60,诸侯礼包,20,null,null,60,60,0,10
20321,0,0,203,12800,128,王候礼包,21,null,null,128,128,0,11
20322,0,0,203,19800,198,霸主礼包,22,null,null,198,198,0,12
20323,0,0,203,32800,328,君王礼包,23,null,null,328,328,0,13
20324,0,0,203,38800,388,帝王礼包,24,null,null,388,388,0,14
20325,0,0,203,2800,28,觉醒礼包,25,null,null,28,28,0,15
20326,0,0,203,2800,28,堕天礼包,26,null,null,28,28,0,16
20327,0,0,203,2800,28,诸侯回归礼包,27,null,null,28,28,0,17
20328,0,0,203,2800,28,王候回归礼包,28,null,null,28,28,0,18
20329,0,0,203,2800,28,霸主回归礼包,29,null,null,28,28,0,19
20330,0,0,203,2800,28,君王回归礼包,30,null,null,28,28,0,20
20331,0,0,203,2800,28,帝王回归礼包,31,null,null,28,28,0,21
20336,0,0,203,3800,38,团购礼包,36,null,null,28,28,0,22
20408,300,0,204,30,30,30元至尊礼包,8,null,null,null,30,1,
20409,500,0,204,50,50,50元至尊礼包,9,null,null,50,50,1,
20410,880,0,204,88,88,88元至尊礼包,10,null,null,88,88,1,
20407,10120,1320,204,880,880,8800钻石,7,Common/ResouceIcon/Big/icon_big_diamond_part1_Tex,Present7,880,880,0,
20406,7590,990,204,660,660,6600钻石,6,Common/ResouceIcon/Big/icon_big_diamond_part2_Tex,Present5,660,660,0,
20401,60,0,204,6,6,60钻石,1,Common/ResouceIcon/Big/icon_big_diamond_part5_Tex,null,6,6,0,
20405,3300,300,204,300,300,3000钻石,5,Common/ResouceIcon/Big/icon_big_diamond_part3_Tex,Present2,300,300,0,
20404,1050,50,204,100,100,1000钻石,4,Common/ResouceIcon/Big/icon_big_diamond_part3_Tex,Present6,100,100,0,
20403,500,0,204,50,50,500钻石,3,Common/ResouceIcon/Big/icon_big_diamond_part4_Tex,null,50,50,0,
20402,300,0,204,30,30,300钻石,2,Common/ResouceIcon/Big/icon_big_diamond_part4_Tex,null,30,30,0,
20411,0,0,204,6,6,每日优惠礼包,11,null,null,6,6,0,1
20412,0,0,204,18,18,每日福利礼包,12,null,null,18,18,0,2
20413,0,0,204,30,30,春节礼包,13,null,null,30,30,0,3
20414,0,0,204,30,30,元宵礼包,14,null,null,30,30,0,4
20415,0,0,204,30,30,女将礼包,15,null,null,30,30,0,5
20416,0,0,204,38,38,暖冬礼包,16,null,null,38,38,0,6
20417,0,0,204,30,30,国庆礼包,17,null,null,30,30,0,7
20418,0,0,204,8,8,壮士礼包,18,null,null,8,8,0,8
20419,0,0,204,28,28,豪杰礼包,19,null,null,28,28,0,9
20420,0,0,204,60,60,诸侯礼包,20,null,null,60,60,0,10
20421,0,0,204,128,128,王候礼包,21,null,null,128,128,0,11
20422,0,0,204,198,198,霸主礼包,22,null,null,198,198,0,12
20423,0,0,204,328,328,君王礼包,23,null,null,328,328,0,13
20424,0,0,204,388,388,帝王礼包,24,null,null,388,388,0,14
20425,0,0,204,28,28,觉醒礼包,25,null,null,28,28,0,15
20426,0,0,204,28,28,堕天礼包,26,null,null,28,28,0,16
20427,0,0,204,28,28,诸侯回归礼包,27,null,null,28,28,0,17
20428,0,0,204,28,28,王候回归礼包,28,null,null,28,28,0,18
20429,0,0,204,28,28,霸主回归礼包,29,null,null,28,28,0,19
20430,0,0,204,28,28,君王回归礼包,30,null,null,28,28,0,20
20431,0,0,204,28,28,帝王回归礼包,31,null,null,28,28,0,21
20436,0,0,204,38,38,团购礼包,36,null,null,28,28,0,22
20508,300,0,205,3000,30,30元至尊礼包,8,null,null,null,30,1,
20509,500,0,205,5000,50,50元至尊礼包,9,null,null,50,50,1,
20510,880,0,205,8800,88,88元至尊礼包,10,null,null,88,88,1,
20507,10120,1320,205,88000,880,8800钻石,7,Common/ResouceIcon/Big/icon_big_diamond_part1_Tex,Present7,880,880,0,
20506,7590,990,205,66000,660,6600钻石,6,Common/ResouceIcon/Big/icon_big_diamond_part2_Tex,Present5,660,660,0,
20501,60,0,205,600,6,60钻石,1,Common/ResouceIcon/Big/icon_big_diamond_part5_Tex,null,6,6,0,
20505,3300,300,205,30000,300,3000钻石,5,Common/ResouceIcon/Big/icon_big_diamond_part3_Tex,Present2,300,300,0,
20504,1050,50,205,10000,100,1000钻石,4,Common/ResouceIcon/Big/icon_big_diamond_part3_Tex,Present6,100,100,0,
20503,500,0,205,5000,50,500钻石,3,Common/ResouceIcon/Big/icon_big_diamond_part4_Tex,null,50,50,0,
20502,300,0,205,3000,30,300钻石,2,Common/ResouceIcon/Big/icon_big_diamond_part4_Tex,null,30,30,0,
20511,0,0,205,600,6,每日优惠礼包,11,null,null,6,6,0,1
20512,0,0,205,1800,18,每日福利礼包,12,null,null,18,18,0,2
20513,0,0,205,3000,30,春节礼包,13,null,null,30,30,0,3
20514,0,0,205,3000,30,元宵礼包,14,null,null,30,30,0,4
20515,0,0,205,3000,30,女将礼包,15,null,null,30,30,0,5
20516,0,0,205,3800,38,暖冬礼包,16,null,null,38,38,0,6
20517,0,0,205,3000,30,国庆礼包,17,null,null,30,30,0,7
20518,0,0,205,800,8,壮士礼包,18,null,null,8,8,0,8
20519,0,0,205,2800,28,豪杰礼包,19,null,null,28,28,0,9
20520,0,0,205,6000,60,诸侯礼包,20,null,null,60,60,0,10
20521,0,0,205,12800,128,王候礼包,21,null,null,128,128,0,11
20522,0,0,205,19800,198,霸主礼包,22,null,null,198,198,0,12
20523,0,0,205,32800,328,君王礼包,23,null,null,328,328,0,13
20524,0,0,205,38800,388,帝王礼包,24,null,null,388,388,0,14
20525,0,0,205,2800,28,觉醒礼包,25,null,null,28,28,0,15
20526,0,0,205,2800,28,堕天礼包,26,null,null,28,28,0,16
20527,0,0,205,2800,28,诸侯回归礼包,27,null,null,28,28,0,17
20528,0,0,205,2800,28,王候回归礼包,28,null,null,28,28,0,18
20529,0,0,205,2800,28,霸主回归礼包,29,null,null,28,28,0,19
20530,0,0,205,2800,28,君王回归礼包,30,null,null,28,28,0,20
20531,0,0,205,2800,28,帝王回归礼包,31,null,null,28,28,0,21
20536,0,0,205,3800,38,团购礼包,36,null,null,28,28,0,22
20608,300,0,206,30,30,30元至尊礼包,8,null,null,null,30,1,
20609,500,0,206,50,50,50元至尊礼包,9,null,null,50,50,1,
20610,880,0,206,88,88,88元至尊礼包,10,null,null,88,88,1,
20607,10120,1320,206,880,880,8800钻石,7,Common/ResouceIcon/Big/icon_big_diamond_part1_Tex,Present7,880,880,0,
20606,7590,990,206,660,660,6600钻石,6,Common/ResouceIcon/Big/icon_big_diamond_part2_Tex,Present5,660,660,0,
20601,60,0,206,6,6,60钻石,1,Common/ResouceIcon/Big/icon_big_diamond_part5_Tex,null,6,6,0,
20605,3300,300,206,300,300,3000钻石,5,Common/ResouceIcon/Big/icon_big_diamond_part3_Tex,Present2,300,300,0,
20604,1050,50,206,100,100,1000钻石,4,Common/ResouceIcon/Big/icon_big_diamond_part3_Tex,Present6,100,100,0,
20603,500,0,206,50,50,500钻石,3,Common/ResouceIcon/Big/icon_big_diamond_part4_Tex,null,50,50,0,
20602,300,0,206,30,30,300钻石,2,Common/ResouceIcon/Big/icon_big_diamond_part4_Tex,null,30,30,0,
20611,0,0,206,6,6,每日优惠礼包,11,null,null,6,6,0,1
20612,0,0,206,18,18,每日福利礼包,12,null,null,18,18,0,2
20613,0,0,206,30,30,春节礼包,13,null,null,30,30,0,3
20614,0,0,206,30,30,元宵礼包,14,null,null,30,30,0,4
20615,0,0,206,30,30,女将礼包,15,null,null,30,30,0,5
20616,0,0,206,38,38,暖冬礼包,16,null,null,38,38,0,6
20617,0,0,206,30,30,国庆礼包,17,null,null,30,30,0,7
20618,0,0,206,8,8,壮士礼包,18,null,null,8,8,0,8
20619,0,0,206,28,28,豪杰礼包,19,null,null,28,28,0,9
20620,0,0,206,60,60,诸侯礼包,20,null,null,60,60,0,10
20621,0,0,206,128,128,王候礼包,21,null,null,128,128,0,11
20622,0,0,206,198,198,霸主礼包,22,null,null,198,198,0,12
20623,0,0,206,328,328,君王礼包,23,null,null,328,328,0,13
20624,0,0,206,388,388,帝王礼包,24,null,null,388,388,0,14
20625,0,0,206,28,28,觉醒礼包,25,null,null,28,28,0,15
20626,0,0,206,28,28,堕天礼包,26,null,null,28,28,0,16
20627,0,0,206,28,28,诸侯回归礼包,27,null,null,28,28,0,17
20628,0,0,206,28,28,王候回归礼包,28,null,null,28,28,0,18
20629,0,0,206,28,28,霸主回归礼包,29,null,null,28,28,0,19
20630,0,0,206,28,28,君王回归礼包,30,null,null,28,28,0,20
20631,0,0,206,28,28,帝王回归礼包,31,null,null,28,28,0,21
20636,0,0,206,38,38,团购礼包,36,null,null,28,28,0,22
20708,300,0,207,300,30,30元至尊礼包,8,null,null,null,30,1,
20709,500,0,207,500,50,50元至尊礼包,9,null,null,50,50,1,
20710,880,0,207,880,88,88元至尊礼包,10,null,null,88,88,1,
20707,10120,1320,207,8800,880,8800钻石,7,Common/ResouceIcon/Big/icon_big_diamond_part1_Tex,Present7,880,880,0,
20706,7590,990,207,6600,660,6600钻石,6,Common/ResouceIcon/Big/icon_big_diamond_part2_Tex,Present5,660,660,0,
20701,60,0,207,60,6,60钻石,1,Common/ResouceIcon/Big/icon_big_diamond_part5_Tex,null,6,6,0,
20705,3300,300,207,3000,300,3000钻石,5,Common/ResouceIcon/Big/icon_big_diamond_part3_Tex,Present2,300,300,0,
20704,1050,50,207,1000,100,1000钻石,4,Common/ResouceIcon/Big/icon_big_diamond_part3_Tex,Present6,100,100,0,
20703,500,0,207,500,50,500钻石,3,Common/ResouceIcon/Big/icon_big_diamond_part4_Tex,null,50,50,0,
20702,300,0,207,300,30,300钻石,2,Common/ResouceIcon/Big/icon_big_diamond_part4_Tex,null,30,30,0,
20711,0,0,207,60,6,每日优惠礼包,11,null,null,6,6,0,1
20712,0,0,207,180,18,每日福利礼包,12,null,null,18,18,0,2
20713,0,0,207,300,30,春节礼包,13,null,null,30,30,0,3
20714,0,0,207,300,30,元宵礼包,14,null,null,30,30,0,4
20715,0,0,207,300,30,女将礼包,15,null,null,30,30,0,5
20716,0,0,207,380,38,暖冬礼包,16,null,null,38,38,0,6
20717,0,0,207,300,30,国庆礼包,17,null,null,30,30,0,7
20718,0,0,207,80,8,壮士礼包,18,null,null,8,8,0,8
20719,0,0,207,280,28,豪杰礼包,19,null,null,28,28,0,9
20720,0,0,207,600,60,诸侯礼包,20,null,null,60,60,0,10
20721,0,0,207,1280,128,王候礼包,21,null,null,128,128,0,11
20722,0,0,207,1980,198,霸主礼包,22,null,null,198,198,0,12
20723,0,0,207,3280,328,君王礼包,23,null,null,328,328,0,13
20724,0,0,207,3880,388,帝王礼包,24,null,null,388,388,0,14
20725,0,0,207,280,28,觉醒礼包,25,null,null,28,28,0,15
20726,0,0,207,280,28,堕天礼包,26,null,null,28,28,0,16
20727,0,0,207,280,28,诸侯回归礼包,27,null,null,28,28,0,17
20728,0,0,207,280,28,王候回归礼包,28,null,null,28,28,0,18
20729,0,0,207,280,28,霸主回归礼包,29,null,null,28,28,0,19
20730,0,0,207,280,28,君王回归礼包,30,null,null,28,28,0,20
20731,0,0,207,280,28,帝王回归礼包,31,null,null,28,28,0,21
20736,0,0,207,380,38,团购礼包,36,null,null,28,28,0,22
20808,300,0,208,30,30,30元至尊礼包,8,null,null,null,30,1,
20809,500,0,208,50,50,50元至尊礼包,9,null,null,50,50,1,
20810,880,0,208,88,88,88元至尊礼包,10,null,null,88,88,1,
20807,10120,1320,208,880,880,8800钻石,7,Common/ResouceIcon/Big/icon_big_diamond_part1_Tex,Present7,880,880,0,
20806,7590,990,208,660,660,6600钻石,6,Common/ResouceIcon/Big/icon_big_diamond_part2_Tex,Present5,660,660,0,
20801,60,0,208,6,6,60钻石,1,Common/ResouceIcon/Big/icon_big_diamond_part5_Tex,null,6,6,0,
20805,3300,300,208,300,300,3000钻石,5,Common/ResouceIcon/Big/icon_big_diamond_part3_Tex,Present2,300,300,0,
20804,1050,50,208,100,100,1000钻石,4,Common/ResouceIcon/Big/icon_big_diamond_part3_Tex,Present6,100,100,0,
20803,500,0,208,50,50,500钻石,3,Common/ResouceIcon/Big/icon_big_diamond_part4_Tex,null,50,50,0,
20802,300,0,208,30,30,300钻石,2,Common/ResouceIcon/Big/icon_big_diamond_part4_Tex,null,30,30,0,
20811,0,0,208,6,6,每日优惠礼包,11,null,null,6,6,0,1
20812,0,0,208,18,18,每日福利礼包,12,null,null,18,18,0,2
20813,0,0,208,30,30,春节礼包,13,null,null,30,30,0,3
20814,0,0,208,30,30,元宵礼包,14,null,null,30,30,0,4
20815,0,0,208,30,30,女将礼包,15,null,null,30,30,0,5
20816,0,0,208,38,38,暖冬礼包,16,null,null,38,38,0,6
20817,0,0,208,30,30,国庆礼包,17,null,null,30,30,0,7
20818,0,0,208,8,8,壮士礼包,18,null,null,8,8,0,8
20819,0,0,208,28,28,豪杰礼包,19,null,null,28,28,0,9
20820,0,0,208,60,60,诸侯礼包,20,null,null,60,60,0,10
20821,0,0,208,128,128,王候礼包,21,null,null,128,128,0,11
20822,0,0,208,198,198,霸主礼包,22,null,null,198,198,0,12
20823,0,0,208,328,328,君王礼包,23,null,null,328,328,0,13
20824,0,0,208,388,388,帝王礼包,24,null,null,388,388,0,14
20825,0,0,208,28,28,觉醒礼包,25,null,null,28,28,0,15
20826,0,0,208,28,28,堕天礼包,26,null,null,28,28,0,16
20827,0,0,208,28,28,诸侯回归礼包,27,null,null,28,28,0,17
20828,0,0,208,28,28,王候回归礼包,28,null,null,28,28,0,18
20829,0,0,208,28,28,霸主回归礼包,29,null,null,28,28,0,19
20830,0,0,208,28,28,君王回归礼包,30,null,null,28,28,0,20
20831,0,0,208,28,28,帝王回归礼包,31,null,null,28,28,0,21
20836,0,0,208,38,38,团购礼包,36,null,null,28,28,0,22
20908,300,0,209,30,30,30元至尊礼包,8,null,null,null,30,1,
20909,500,0,209,50,50,50元至尊礼包,9,null,null,50,50,1,
20910,880,0,209,88,88,88元至尊礼包,10,null,null,88,88,1,
20907,10120,1320,209,880,880,8800钻石,7,Common/ResouceIcon/Big/icon_big_diamond_part1_Tex,Present7,880,880,0,
20906,7590,990,209,660,660,6600钻石,6,Common/ResouceIcon/Big/icon_big_diamond_part2_Tex,Present5,660,660,0,
20901,60,0,209,6,6,60钻石,1,Common/ResouceIcon/Big/icon_big_diamond_part5_Tex,null,6,6,0,
20905,3300,300,209,300,300,3000钻石,5,Common/ResouceIcon/Big/icon_big_diamond_part3_Tex,Present2,300,300,0,
20904,1050,50,209,100,100,1000钻石,4,Common/ResouceIcon/Big/icon_big_diamond_part3_Tex,Present6,100,100,0,
20903,500,0,209,50,50,500钻石,3,Common/ResouceIcon/Big/icon_big_diamond_part4_Tex,null,50,50,0,
20902,300,0,209,30,30,300钻石,2,Common/ResouceIcon/Big/icon_big_diamond_part4_Tex,null,30,30,0,
20911,0,0,209,6,6,每日优惠礼包,11,null,null,6,6,0,1
20912,0,0,209,18,18,每日福利礼包,12,null,null,18,18,0,2
20913,0,0,209,30,30,春节礼包,13,null,null,30,30,0,3
20914,0,0,209,30,30,元宵礼包,14,null,null,30,30,0,4
20915,0,0,209,30,30,女将礼包,15,null,null,30,30,0,5
20916,0,0,209,38,38,暖冬礼包,16,null,null,38,38,0,6
20917,0,0,209,30,30,国庆礼包,17,null,null,30,30,0,7
20918,0,0,209,8,8,壮士礼包,18,null,null,8,8,0,8
20919,0,0,209,28,28,豪杰礼包,19,null,null,28,28,0,9
20920,0,0,209,60,60,诸侯礼包,20,null,null,60,60,0,10
20921,0,0,209,128,128,王候礼包,21,null,null,128,128,0,11
20922,0,0,209,198,198,霸主礼包,22,null,null,198,198,0,12
20923,0,0,209,328,328,君王礼包,23,null,null,328,328,0,13
20924,0,0,209,388,388,帝王礼包,24,null,null,388,388,0,14
20925,0,0,209,28,28,觉醒礼包,25,null,null,28,28,0,15
20926,0,0,209,28,28,堕天礼包,26,null,null,28,28,0,16
20927,0,0,209,28,28,诸侯回归礼包,27,null,null,28,28,0,17
20928,0,0,209,28,28,王候回归礼包,28,null,null,28,28,0,18
20929,0,0,209,28,28,霸主回归礼包,29,null,null,28,28,0,19
20930,0,0,209,28,28,君王回归礼包,30,null,null,28,28,0,20
20931,0,0,209,28,28,帝王回归礼包,31,null,null,28,28,0,21
20936,0,0,209,38,38,团购礼包,36,null,null,28,28,0,22
21008,300,0,210,30,30,30元至尊礼包,8,null,null,null,30,1,
21009,500,0,210,50,50,50元至尊礼包,9,null,null,50,50,1,
21010,880,0,210,88,88,88元至尊礼包,10,null,null,88,88,1,
21007,10120,1320,210,880,880,8800钻石,7,Common/ResouceIcon/Big/icon_big_diamond_part1_Tex,Present7,880,880,0,
21006,7590,990,210,660,660,6600钻石,6,Common/ResouceIcon/Big/icon_big_diamond_part2_Tex,Present5,660,660,0,
21001,60,0,210,6,6,60钻石,1,Common/ResouceIcon/Big/icon_big_diamond_part5_Tex,null,6,6,0,
21005,3300,300,210,300,300,3000钻石,5,Common/ResouceIcon/Big/icon_big_diamond_part3_Tex,Present2,300,300,0,
21004,1050,50,210,100,100,1000钻石,4,Common/ResouceIcon/Big/icon_big_diamond_part3_Tex,Present6,100,100,0,
21003,500,0,210,50,50,500钻石,3,Common/ResouceIcon/Big/icon_big_diamond_part4_Tex,null,50,50,0,
21002,300,0,210,30,30,300钻石,2,Common/ResouceIcon/Big/icon_big_diamond_part4_Tex,null,30,30,0,
21011,0,0,210,6,6,每日优惠礼包,11,null,null,6,6,0,1
21012,0,0,210,18,18,每日福利礼包,12,null,null,18,18,0,2
21013,0,0,210,30,30,春节礼包,13,null,null,30,30,0,3
21014,0,0,210,30,30,元宵礼包,14,null,null,30,30,0,4
21015,0,0,210,30,30,女将礼包,15,null,null,30,30,0,5
21016,0,0,210,38,38,暖冬礼包,16,null,null,38,38,0,6
21017,0,0,210,30,30,国庆礼包,17,null,null,30,30,0,7
21018,0,0,210,8,8,壮士礼包,18,null,null,8,8,0,8
21019,0,0,210,28,28,豪杰礼包,19,null,null,28,28,0,9
21020,0,0,210,60,60,诸侯礼包,20,null,null,60,60,0,10
21021,0,0,210,128,128,王候礼包,21,null,null,128,128,0,11
21022,0,0,210,198,198,霸主礼包,22,null,null,198,198,0,12
21023,0,0,210,328,328,君王礼包,23,null,null,328,328,0,13
21024,0,0,210,388,388,帝王礼包,24,null,null,388,388,0,14
21025,0,0,210,28,28,觉醒礼包,25,null,null,28,28,0,15
21026,0,0,210,28,28,堕天礼包,26,null,null,28,28,0,16
21027,0,0,210,28,28,诸侯回归礼包,27,null,null,28,28,0,17
21028,0,0,210,28,28,王候回归礼包,28,null,null,28,28,0,18
21029,0,0,210,28,28,霸主回归礼包,29,null,null,28,28,0,19
21030,0,0,210,28,28,君王回归礼包,30,null,null,28,28,0,20
21031,0,0,210,28,28,帝王回归礼包,31,null,null,28,28,0,21
21036,0,0,210,38,38,团购礼包,36,null,null,28,28,0,22
21108,300,0,211,30,30,30元至尊礼包,8,null,null,null,30,1,
21109,500,0,211,50,50,50元至尊礼包,9,null,null,50,50,1,
21110,880,0,211,88,88,88元至尊礼包,10,null,null,88,88,1,
21107,10120,1320,211,880,880,8800钻石,7,Common/ResouceIcon/Big/icon_big_diamond_part1_Tex,Present7,880,880,0,
21106,7590,990,211,660,660,6600钻石,6,Common/ResouceIcon/Big/icon_big_diamond_part2_Tex,Present5,660,660,0,
21101,60,0,211,6,6,60钻石,1,Common/ResouceIcon/Big/icon_big_diamond_part5_Tex,null,6,6,0,
21105,3300,300,211,300,300,3000钻石,5,Common/ResouceIcon/Big/icon_big_diamond_part3_Tex,Present2,300,300,0,
21104,1050,50,211,100,100,1000钻石,4,Common/ResouceIcon/Big/icon_big_diamond_part3_Tex,Present6,100,100,0,
21103,500,0,211,50,50,500钻石,3,Common/ResouceIcon/Big/icon_big_diamond_part4_Tex,null,50,50,0,
21102,300,0,211,30,30,300钻石,2,Common/ResouceIcon/Big/icon_big_diamond_part4_Tex,null,30,30,0,
21111,0,0,211,6,6,每日优惠礼包,11,null,null,6,6,0,1
21112,0,0,211,18,18,每日福利礼包,12,null,null,18,18,0,2
21113,0,0,211,30,30,春节礼包,13,null,null,30,30,0,3
21114,0,0,211,30,30,元宵礼包,14,null,null,30,30,0,4
