随机ID,抽卡类型,卡片ID,卡片等级,卡片进阶等级,备注
67,3,89,1,0,免费抽卡黑卡
68,3,93,1,0,免费抽卡黑卡
69,3,94,1,0,免费抽卡黑卡
70,3,95,1,0,免费抽卡黑卡
71,3,96,1,0,免费抽卡黑卡
72,3,97,1,0,免费抽卡黑卡
73,3,98,1,0,免费抽卡黑卡
74,3,99,1,0,免费抽卡黑卡
75,3,101,1,0,免费抽卡黑卡
76,3,103,1,0,免费抽卡黑卡
77,3,105,1,0,免费抽卡黑卡
78,3,106,1,0,免费抽卡黑卡
79,3,108,1,0,免费抽卡黑卡
80,3,109,1,0,免费抽卡黑卡
81,3,110,1,0,免费抽卡黑卡
82,3,111,1,0,免费抽卡黑卡
83,3,112,1,0,免费抽卡黑卡
84,3,113,1,0,免费抽卡黑卡
85,3,114,1,0,免费抽卡黑卡
86,3,115,1,0,免费抽卡黑卡
87,3,116,1,0,免费抽卡黑卡
88,3,117,1,0,免费抽卡黑卡
89,3,119,1,0,免费抽卡黑卡
90,3,120,1,0,免费抽卡黑卡
91,3,122,1,0,免费抽卡黑卡
92,3,124,1,0,免费抽卡黑卡
93,3,126,1,0,免费抽卡黑卡
94,3,128,1,0,免费抽卡黑卡
95,3,132,1,0,免费抽卡黑卡
96,3,133,1,0,免费抽卡黑卡
97,3,143,1,0,免费抽卡黑卡
98,3,197,1,0,免费抽卡黑卡
99,3,129,1,0,免费抽卡黑卡
100,3,131,1,0,免费抽卡黑卡
101,3,134,1,0,免费抽卡黑卡
102,4,136,1,0,免费抽卡白卡
103,4,137,1,0,免费抽卡白卡
104,4,138,1,0,免费抽卡白卡
105,4,139,1,0,免费抽卡白卡
106,4,141,1,0,免费抽卡白卡
107,4,144,1,0,免费抽卡白卡
108,4,145,1,0,免费抽卡白卡
109,4,146,1,0,免费抽卡白卡
110,4,147,1,0,免费抽卡白卡
111,4,148,1,0,免费抽卡白卡
112,4,149,1,0,免费抽卡白卡
113,4,150,1,0,免费抽卡白卡
114,4,151,1,0,免费抽卡白卡
115,4,152,1,0,免费抽卡白卡
116,4,153,1,0,免费抽卡白卡
117,4,154,1,0,免费抽卡白卡
118,4,155,1,0,免费抽卡白卡
119,4,156,1,0,免费抽卡白卡
120,4,157,1,0,免费抽卡白卡
121,4,158,1,0,免费抽卡白卡
122,4,159,1,0,免费抽卡白卡
123,4,160,1,0,免费抽卡白卡
124,4,161,1,0,免费抽卡白卡
125,4,162,1,0,免费抽卡白卡
126,4,163,1,0,免费抽卡白卡
127,4,164,1,0,免费抽卡白卡
128,4,165,1,0,免费抽卡白卡
129,4,166,1,0,免费抽卡白卡
130,4,167,1,0,免费抽卡白卡
131,4,168,1,0,免费抽卡白卡
132,4,169,1,0,免费抽卡白卡
133,4,170,1,0,免费抽卡白卡
134,4,171,1,0,免费抽卡白卡
135,4,172,1,0,免费抽卡白卡
136,4,173,1,0,免费抽卡白卡
137,4,174,1,0,免费抽卡白卡
138,4,175,1,0,免费抽卡白卡
139,4,176,1,0,免费抽卡白卡
140,4,177,1,0,免费抽卡白卡
141,4,178,1,0,免费抽卡白卡
142,4,179,1,0,免费抽卡白卡
143,4,180,1,0,免费抽卡白卡
144,4,181,1,0,免费抽卡白卡
145,4,182,1,0,免费抽卡白卡
146,4,183,1,0,免费抽卡白卡
147,4,184,1,0,免费抽卡白卡
148,4,185,1,0,免费抽卡白卡
149,4,186,1,0,免费抽卡白卡
150,4,187,1,0,免费抽卡白卡
151,4,188,1,0,免费抽卡白卡
152,4,189,1,0,免费抽卡白卡
153,4,190,1,0,免费抽卡白卡
154,4,192,1,0,免费抽卡白卡
155,4,193,1,0,免费抽卡白卡
156,4,194,1,0,免费抽卡白卡
157,4,195,1,0,免费抽卡白卡
158,5,1,1,0,60钻稀有卡及印
159,5,2,1,0,60钻稀有卡及印
160,5,3,1,0,60钻稀有卡及印
161,5,4,1,0,60钻稀有卡及印
162,5,5,1,0,60钻稀有卡及印
163,5,6,1,0,60钻稀有卡及印
164,5,7,1,0,60钻稀有卡及印
165,5,8,1,0,60钻稀有卡及印
166,5,9,1,0,60钻稀有卡及印
167,5,10,1,0,60钻稀有卡及印
168,5,11,1,0,60钻稀有卡及印
169,5,14,1,0,60钻稀有卡及印
170,5,18,1,0,60钻稀有卡及印
171,5,19,1,0,60钻稀有卡及印
172,5,21,1,0,60钻稀有卡及印
173,5,28,1,0,60钻稀有卡及印
174,5,34,1,0,60钻稀有卡及印
175,5,254,1,0,60钻稀有卡及印
176,5,255,1,0,60钻稀有卡及印
177,5,258,1,0,60钻稀有卡及印
178,5,259,1,0,60钻稀有卡及印
179,5,262,1,0,60钻稀有卡及印
180,5,263,1,0,60钻稀有卡及印
181,5,266,1,0,60钻稀有卡及印
182,5,267,1,0,60钻稀有卡及印
183,5,270,1,0,60钻稀有卡及印
184,5,271,1,0,60钻稀有卡及印
185,5,274,1,0,60钻稀有卡及印
186,5,275,1,0,60钻稀有卡及印
187,5,283,1,0,60钻稀有卡及印
188,5,284,1,0,60钻稀有卡及印
189,5,287,1,0,60钻稀有卡及印
190,5,288,1,0,60钻稀有卡及印
191,5,291,1,0,60钻稀有卡及印
192,5,292,1,0,60钻稀有卡及印
193,5,295,1,0,60钻稀有卡及印
194,5,296,1,0,60钻稀有卡及印
195,5,303,1,0,60钻稀有卡及印
196,5,304,1,0,60钻稀有卡及印
197,5,307,1,0,60钻稀有卡及印
198,5,308,1,0,60钻稀有卡及印
199,5,311,1,0,60钻稀有卡及印
200,5,312,1,0,60钻稀有卡及印
201,5,318,1,0,60钻稀有卡及印
202,5,319,1,0,60钻稀有卡及印
203,5,322,1,0,60钻稀有卡及印
204,5,323,1,0,60钻稀有卡及印
205,5,329,1,0,60钻稀有卡及印
206,5,330,1,0,60钻稀有卡及印
207,5,336,1,0,60钻稀有卡及印
208,5,337,1,0,60钻稀有卡及印
209,5,340,1,0,60钻稀有卡及印
210,5,341,1,0,60钻稀有卡及印
211,5,346,1,0,60钻稀有卡及印
212,5,347,1,0,60钻稀有卡及印
213,5,354,1,0,60钻稀有卡及印
214,5,355,1,0,60钻稀有卡及印
215,5,358,1,0,60钻稀有卡及印
216,5,359,1,0,60钻稀有卡及印
217,5,365,1,0,60钻稀有卡及印
218,5,366,1,0,60钻稀有卡及印
219,5,371,1,0,60钻稀有卡及印
220,5,372,1,0,60钻稀有卡及印
221,5,376,1,0,60钻稀有卡及印
222,5,377,1,0,60钻稀有卡及印
223,5,380,1,0,60钻稀有卡及印
224,5,381,1,0,60钻稀有卡及印
225,5,384,1,0,60钻稀有卡及印
226,5,385,1,0,60钻稀有卡及印
227,5,388,1,0,60钻稀有卡及印
228,5,389,1,0,60钻稀有卡及印
229,5,392,1,0,60钻稀有卡及印
230,5,393,1,0,60钻稀有卡及印
231,5,396,1,0,60钻稀有卡及印
232,5,397,1,0,60钻稀有卡及印
233,5,401,1,0,60钻稀有卡及印
234,5,402,1,0,60钻稀有卡及印
235,5,405,1,0,60钻稀有卡及印
236,5,406,1,0,60钻稀有卡及印
237,5,409,1,0,60钻稀有卡及印
238,5,410,1,0,60钻稀有卡及印
239,5,413,1,0,60钻稀有卡及印
240,5,417,1,0,60钻稀有卡及印
241,5,421,1,0,60钻稀有卡及印
242,5,422,1,0,60钻稀有卡及印
243,5,425,1,0,60钻稀有卡及印
244,5,426,1,0,60钻稀有卡及印
245,5,429,1,0,60钻稀有卡及印
246,5,430,1,0,60钻稀有卡及印
247,5,435,1,0,60钻稀有卡及印
248,5,436,1,0,60钻稀有卡及印
249,5,439,1,0,60钻稀有卡及印
250,5,440,1,0,60钻稀有卡及印
251,5,443,1,0,60钻稀有卡及印
252,5,444,1,0,60钻稀有卡及印
253,5,447,1,0,60钻稀有卡及印
254,5,448,1,0,60钻稀有卡及印
255,5,455,1,0,60钻稀有卡及印
256,5,456,1,0,60钻稀有卡及印
257,5,414,1,0,60钻稀有卡及印
258,5,418,1,0,60钻稀有卡及印
259,5,464,1,0,60钻稀有卡及印
260,5,468,1,0,60钻稀有卡及印
261,5,473,1,0,60钻稀有卡及印
262,5,481,1,0,60钻稀有卡及印
263,5,485,1,0,60钻稀有卡及印
264,5,489,1,0,60钻稀有卡及印
265,5,497,1,0,60钻稀有卡及印
266,5,493,1,0,60钻稀有卡及印
267,6,12,1,0,60钻金卡
268,6,13,1,0,60钻金卡
269,6,15,1,0,60钻金卡
270,6,16,1,0,60钻金卡
271,6,17,1,0,60钻金卡
272,6,20,1,0,60钻金卡
273,6,22,1,0,60钻金卡
274,6,23,1,0,60钻金卡
275,6,24,1,0,60钻金卡
276,6,25,1,0,60钻金卡
277,6,26,1,0,60钻金卡
278,6,27,1,0,60钻金卡
279,6,31,1,0,60钻金卡
280,6,36,1,0,60钻金卡
281,6,44,1,0,60钻金卡
282,6,46,1,0,60钻金卡
283,6,48,1,0,60钻金卡
284,6,74,1,0,60钻金卡
285,6,49,1,0,60钻金卡
286,6,52,1,0,60钻金卡
287,6,55,1,0,60钻金卡
288,6,61,1,0,60钻金卡
289,6,67,1,0,60钻金卡
290,6,69,1,0,60钻金卡
291,6,77,1,0,60钻金卡
292,6,35,1,0,60钻金卡
293,6,59,1,0,60钻金卡
294,6,135,1,0,60钻金卡
295,6,203,1,0,60钻金卡
296,6,204,1,0,60钻金卡
297,6,206,1,0,60钻金卡
298,6,245,1,0,60钻金卡
299,6,246,1,0,60钻金卡
300,6,247,1,0,60钻金卡
301,6,248,1,0,60钻金卡
302,6,250,1,0,60钻金卡
303,6,251,1,0,60钻金卡
304,6,252,1,0,60钻金卡
305,6,253,1,0,60钻金卡
306,6,299,1,0,60钻金卡
307,6,300,1,0,60钻金卡
308,6,301,1,0,60钻金卡
309,6,302,1,0,60钻金卡
310,6,480,1,0,60钻金卡
311,7,29,1,0,60钻银卡
312,7,30,1,0,60钻银卡
313,7,32,1,0,60钻银卡
314,7,33,1,0,60钻银卡
315,7,37,1,0,60钻银卡
316,7,38,1,0,60钻银卡
317,7,39,1,0,60钻银卡
318,7,40,1,0,60钻银卡
319,7,41,1,0,60钻银卡
320,7,42,1,0,60钻银卡
321,7,43,1,0,60钻银卡
322,7,45,1,0,60钻银卡
323,7,47,1,0,60钻银卡
324,7,50,1,0,60钻银卡
325,7,51,1,0,60钻银卡
326,7,53,1,0,60钻银卡
327,7,56,1,0,60钻银卡
328,7,57,1,0,60钻银卡
329,7,58,1,0,60钻银卡
330,7,60,1,0,60钻银卡
331,7,62,1,0,60钻银卡
332,7,63,1,0,60钻银卡
333,7,64,1,0,60钻银卡
334,7,66,1,0,60钻银卡
335,7,68,1,0,60钻银卡
336,7,70,1,0,60钻银卡
337,7,71,1,0,60钻银卡
338,7,72,1,0,60钻银卡
339,7,73,1,0,60钻银卡
340,7,75,1,0,60钻银卡
341,7,76,1,0,60钻银卡
342,7,78,1,0,60钻银卡
343,7,79,1,0,60钻银卡
344,7,80,1,0,60钻银卡
345,7,81,1,0,60钻银卡
346,7,83,1,0,60钻银卡
347,7,87,1,0,60钻银卡
348,7,88,1,0,60钻银卡
349,7,90,1,0,60钻银卡
350,7,91,1,0,60钻银卡
351,7,92,1,0,60钻银卡
352,7,100,1,0,60钻银卡
353,7,102,1,0,60钻银卡
354,7,104,1,0,60钻银卡
355,7,107,1,0,60钻银卡
356,7,118,1,0,60钻银卡
357,7,123,1,0,60钻银卡
358,7,125,1,0,60钻银卡
359,7,127,1,0,60钻银卡
360,7,130,1,0,60钻银卡
361,7,140,1,0,60钻银卡
362,7,142,1,0,60钻银卡
363,7,196,1,0,60钻银卡
364,7,82,1,0,60钻银卡
365,7,121,1,0,60钻银卡
366,7,191,1,0,60钻银卡
367,7,205,1,0,60钻银卡
368,7,207,1,0,60钻银卡
369,7,208,1,0,60钻银卡
370,7,209,1,0,60钻银卡
371,8,54,1,0,60钻黑卡
372,8,65,1,0,60钻黑卡
373,8,84,1,0,60钻黑卡
374,8,85,1,0,60钻黑卡
375,8,86,1,0,60钻黑卡
376,8,89,1,0,60钻黑卡
377,8,93,1,0,60钻黑卡
378,8,94,1,0,60钻黑卡
379,8,95,1,0,60钻黑卡
380,8,96,1,0,60钻黑卡
381,8,97,1,0,60钻黑卡
382,8,98,1,0,60钻黑卡
383,8,99,1,0,60钻黑卡
384,8,101,1,0,60钻黑卡
385,8,103,1,0,60钻黑卡
386,8,105,1,0,60钻黑卡
387,8,106,1,0,60钻黑卡
388,8,108,1,0,60钻黑卡
389,8,109,1,0,60钻黑卡
390,8,110,1,0,60钻黑卡
391,8,111,1,0,60钻黑卡
392,8,112,1,0,60钻黑卡
393,8,113,1,0,60钻黑卡
394,8,114,1,0,60钻黑卡
395,8,115,1,0,60钻黑卡
396,8,116,1,0,60钻黑卡
397,8,117,1,0,60钻黑卡
398,8,119,1,0,60钻黑卡
399,8,120,1,0,60钻黑卡
400,8,122,1,0,60钻黑卡
401,8,124,1,0,60钻黑卡
402,8,126,1,0,60钻黑卡
403,8,128,1,0,60钻黑卡
404,8,132,1,0,60钻黑卡
405,8,133,1,0,60钻黑卡
406,8,143,1,0,60钻黑卡
407,8,197,1,0,60钻黑卡
408,8,129,1,0,60钻黑卡
409,8,131,1,0,60钻黑卡
410,8,134,1,0,60钻黑卡
411,9,1,1,0,天运稀有金卡及印
412,9,2,1,0,天运稀有金卡及印
413,9,3,1,0,天运稀有金卡及印
414,9,4,1,0,天运稀有金卡及印
415,9,5,1,0,天运稀有金卡及印
416,9,6,1,0,天运稀有金卡及印
417,9,7,1,0,天运稀有金卡及印
418,9,8,1,0,天运稀有金卡及印
419,9,9,1,0,天运稀有金卡及印
420,9,10,1,0,天运稀有金卡及印
421,9,11,1,0,天运稀有金卡及印
422,9,14,1,0,天运稀有金卡及印
423,9,18,1,0,天运稀有金卡及印
424,9,19,1,0,天运稀有金卡及印
425,9,21,1,0,天运稀有金卡及印
426,9,28,1,0,天运稀有金卡及印
427,9,34,1,0,天运稀有金卡及印
428,9,254,1,0,天运稀有金卡及印
429,9,255,1,0,天运稀有金卡及印
430,9,258,1,0,天运稀有金卡及印
431,9,259,1,0,天运稀有金卡及印
432,9,262,1,0,天运稀有金卡及印
433,9,263,1,0,天运稀有金卡及印
434,9,266,1,0,天运稀有金卡及印
435,9,267,1,0,天运稀有金卡及印
436,9,270,1,0,天运稀有金卡及印
437,9,271,1,0,天运稀有金卡及印
438,9,274,1,0,天运稀有金卡及印
439,9,275,1,0,天运稀有金卡及印
440,9,283,1,0,天运稀有金卡及印
441,9,284,1,0,天运稀有金卡及印
442,9,287,1,0,天运稀有金卡及印
443,9,288,1,0,天运稀有金卡及印
444,9,291,1,0,天运稀有金卡及印
445,9,292,1,0,天运稀有金卡及印
446,9,295,1,0,天运稀有金卡及印
447,9,296,1,0,天运稀有金卡及印
448,9,303,1,0,天运稀有金卡及印
449,9,304,1,0,天运稀有金卡及印
450,9,307,1,0,天运稀有金卡及印
451,9,308,1,0,天运稀有金卡及印
452,9,311,1,0,天运稀有金卡及印
453,9,312,1,0,天运稀有金卡及印
454,9,318,1,0,天运稀有金卡及印
455,9,319,1,0,天运稀有金卡及印
456,9,322,1,0,天运稀有金卡及印
457,9,323,1,0,天运稀有金卡及印
458,9,329,1,0,天运稀有金卡及印
459,9,330,1,0,天运稀有金卡及印
460,9,336,1,0,天运稀有金卡及印
461,9,337,1,0,天运稀有金卡及印
462,9,340,1,0,天运稀有金卡及印
463,9,341,1,0,天运稀有金卡及印
464,9,346,1,0,天运稀有金卡及印
465,9,347,1,0,天运稀有金卡及印
466,9,354,1,0,天运稀有金卡及印
467,9,355,1,0,天运稀有金卡及印
468,9,358,1,0,天运稀有金卡及印
469,9,359,1,0,天运稀有金卡及印
470,9,365,1,0,天运稀有金卡及印
471,9,366,1,0,天运稀有金卡及印
472,9,371,1,0,天运稀有金卡及印
473,9,372,1,0,天运稀有金卡及印
474,9,376,1,0,天运稀有金卡及印
475,9,377,1,0,天运稀有金卡及印
476,9,380,1,0,天运稀有金卡及印
477,9,381,1,0,天运稀有金卡及印
478,9,384,1,0,天运稀有金卡及印
479,9,385,1,0,天运稀有金卡及印
480,9,388,1,0,天运稀有金卡及印
481,9,389,1,0,天运稀有金卡及印
482,9,392,1,0,天运稀有金卡及印
483,9,393,1,0,天运稀有金卡及印
484,9,396,1,0,天运稀有金卡及印
485,9,397,1,0,天运稀有金卡及印
486,9,401,1,0,天运稀有金卡及印
487,9,402,1,0,天运稀有金卡及印
488,9,405,1,0,天运稀有金卡及印
489,9,406,1,0,天运稀有金卡及印
490,9,409,1,0,天运稀有金卡及印
491,9,410,1,0,天运稀有金卡及印
492,9,413,1,0,天运稀有金卡及印
493,9,417,1,0,天运稀有金卡及印
494,9,421,1,0,天运稀有金卡及印
495,9,422,1,0,天运稀有金卡及印
496,9,425,1,0,天运稀有金卡及印
497,9,426,1,0,天运稀有金卡及印
498,9,429,1,0,天运稀有金卡及印
499,9,430,1,0,天运稀有金卡及印
500,9,435,1,0,天运稀有金卡及印
501,9,436,1,0,天运稀有金卡及印
502,9,439,1,0,天运稀有金卡及印
503,9,440,1,0,天运稀有金卡及印
504,9,443,1,0,天运稀有金卡及印
505,9,444,1,0,天运稀有金卡及印
506,9,447,1,0,天运稀有金卡及印
507,9,448,1,0,天运稀有金卡及印
508,9,455,1,0,天运稀有金卡及印
509,9,456,1,0,天运稀有金卡及印
510,9,414,1,0,天运稀有金卡及印
511,9,418,1,0,天运稀有金卡及印
512,9,464,1,0,天运稀有金卡及印
513,9,468,1,0,天运稀有金卡及印
514,9,473,1,0,天运稀有金卡及印
515,9,481,1,0,天运稀有金卡及印
516,9,485,1,0,天运稀有金卡及印
517,9,489,1,0,天运稀有金卡及印
518,9,493,1,0,天运稀有金卡及印
519,9,497,1,0,天运稀有金卡及印
520,10,12,1,0,天运金卡
521,10,13,1,0,天运金卡
522,10,15,1,0,天运金卡
523,10,16,1,0,天运金卡
524,10,17,1,0,天运金卡
525,10,20,1,0,天运金卡
526,10,22,1,0,天运金卡
527,10,23,1,0,天运金卡
528,10,24,1,0,天运金卡
529,10,25,1,0,天运金卡
530,10,26,1,0,天运金卡
531,10,27,1,0,天运金卡
532,10,31,1,0,天运金卡
533,10,36,1,0,天运金卡
534,10,44,1,0,天运金卡
535,10,46,1,0,天运金卡
536,10,48,1,0,天运金卡
537,10,74,1,0,天运金卡
538,10,49,1,0,天运金卡
539,10,52,1,0,天运金卡
540,10,55,1,0,天运金卡
541,10,61,1,0,天运金卡
542,10,67,1,0,天运金卡
543,10,69,1,0,天运金卡
544,10,77,1,0,天运金卡
545,10,35,1,0,天运金卡
546,10,59,1,0,天运金卡
547,10,135,1,0,天运金卡
548,10,203,1,0,天运金卡
549,10,204,1,0,天运金卡
550,10,206,1,0,天运金卡
551,10,245,1,0,天运金卡
552,10,246,1,0,天运金卡
553,10,247,1,0,天运金卡
554,10,248,1,0,天运金卡
555,10,250,1,0,天运金卡
556,10,251,1,0,天运金卡
557,10,252,1,0,天运金卡
558,10,253,1,0,天运金卡
559,10,299,1,0,天运金卡
560,10,300,1,0,天运金卡
561,10,301,1,0,天运金卡
562,10,302,1,0,天运金卡
563,10,480,1,0,天运金卡
564,11,1,1,0,魏国精选稀有金卡
565,11,5,1,0,魏国精选稀有金卡
566,11,7,1,0,魏国精选稀有金卡
567,11,8,1,0,魏国精选稀有金卡
568,12,254,1,0,魏国精选印记
569,12,255,1,0,魏国精选印记
570,12,284,1,0,魏国精选印记
571,12,291,1,0,魏国精选印记
572,12,292,1,0,魏国精选印记
573,12,311,1,0,魏国精选印记
574,12,312,1,0,魏国精选印记
575,12,329,1,0,魏国精选印记
576,12,354,1,0,魏国精选印记
577,12,371,1,0,魏国精选印记
578,12,372,1,0,魏国精选印记
579,12,388,1,0,魏国精选印记
580,12,389,1,0,魏国精选印记
581,12,405,1,0,魏国精选印记
582,12,406,1,0,魏国精选印记
583,12,409,1,0,魏国精选印记
584,12,410,1,0,魏国精选印记
585,12,429,1,0,魏国精选印记
586,12,430,1,0,魏国精选印记
587,12,455,1,0,魏国精选印记
588,12,456,1,0,魏国精选印记
589,12,473,1,0,魏国精选印记
590,12,497,1,0,魏国精选印记
591,13,15,1,0,魏国精选金卡
592,13,16,1,0,魏国精选金卡
593,13,17,1,0,魏国精选金卡
594,13,25,1,0,魏国精选金卡
595,13,27,1,0,魏国精选金卡
596,13,31,1,0,魏国精选金卡
597,13,49,1,0,魏国精选金卡
598,13,77,1,0,魏国精选金卡
599,13,246,1,0,魏国精选金卡
600,13,250,1,0,魏国精选金卡
601,13,299,1,0,魏国精选金卡
602,13,480,1,0,魏国精选金卡
603,14,38,1,0,魏国精选银卡
604,14,39,1,0,魏国精选银卡
605,14,42,1,0,魏国精选银卡
606,14,43,1,0,魏国精选银卡
607,14,45,1,0,魏国精选银卡
608,14,47,1,0,魏国精选银卡
609,14,51,1,0,魏国精选银卡
610,14,53,1,0,魏国精选银卡
611,14,58,1,0,魏国精选银卡
612,14,60,1,0,魏国精选银卡
613,14,64,1,0,魏国精选银卡
614,14,68,1,0,魏国精选银卡
615,14,73,1,0,魏国精选银卡
616,14,76,1,0,魏国精选银卡
617,14,80,1,0,魏国精选银卡
618,14,102,1,0,魏国精选银卡
619,14,140,1,0,魏国精选银卡
620,14,142,1,0,魏国精选银卡
621,14,121,1,0,魏国精选银卡
622,14,208,1,0,魏国精选银卡
623,15,2,1,0,蜀国精选稀有金卡
624,15,3,1,0,蜀国精选稀有金卡
625,15,4,1,0,蜀国精选稀有金卡
626,15,18,1,0,蜀国精选稀有金卡
627,16,262,1,0,蜀国精选印记
628,16,263,1,0,蜀国精选印记
629,16,283,1,0,蜀国精选印记
630,16,287,1,0,蜀国精选印记
631,16,288,1,0,蜀国精选印记
632,16,303,1,0,蜀国精选印记
633,16,322,1,0,蜀国精选印记
634,16,323,1,0,蜀国精选印记
635,16,336,1,0,蜀国精选印记
636,16,365,1,0,蜀国精选印记
637,16,366,1,0,蜀国精选印记
638,16,384,1,0,蜀国精选印记
639,16,385,1,0,蜀国精选印记
640,16,392,1,0,蜀国精选印记
641,16,396,1,0,蜀国精选印记
642,16,397,1,0,蜀国精选印记
643,16,425,1,0,蜀国精选印记
644,16,426,1,0,蜀国精选印记
645,16,447,1,0,蜀国精选印记
646,16,448,1,0,蜀国精选印记
647,16,468,1,0,蜀国精选印记
648,16,485,1,0,蜀国精选印记
649,17,13,1,0,蜀国精选金卡
650,17,20,1,0,蜀国精选金卡
651,17,22,1,0,蜀国精选金卡
652,17,23,1,0,蜀国精选金卡
653,17,24,1,0,蜀国精选金卡
654,17,67,1,0,蜀国精选金卡
655,17,245,1,0,蜀国精选金卡
656,17,252,1,0,蜀国精选金卡
657,17,300,1,0,蜀国精选金卡
658,18,29,1,0,蜀国精选银卡
659,18,30,1,0,蜀国精选银卡
660,18,33,1,0,蜀国精选银卡
661,18,37,1,0,蜀国精选银卡
662,18,50,1,0,蜀国精选银卡
663,18,62,1,0,蜀国精选银卡
664,18,72,1,0,蜀国精选银卡
665,18,75,1,0,蜀国精选银卡
666,18,79,1,0,蜀国精选银卡
667,18,81,1,0,蜀国精选银卡
668,18,83,1,0,蜀国精选银卡
669,18,90,1,0,蜀国精选银卡
670,18,91,1,0,蜀国精选银卡
671,18,92,1,0,蜀国精选银卡
672,18,107,1,0,蜀国精选银卡
673,18,125,1,0,蜀国精选银卡
674,18,130,1,0,蜀国精选银卡
675,18,82,1,0,蜀国精选银卡
676,18,207,1,0,蜀国精选银卡
677,18,209,1,0,蜀国精选银卡
678,19,6,1,0,吴国精选稀有金卡
679,19,9,1,0,吴国精选稀有金卡
680,19,10,1,0,吴国精选稀有金卡
681,19,11,1,0,吴国精选稀有金卡
682,19,14,1,0,吴国精选稀有金卡
683,20,274,1,0,吴国精选印记
684,20,275,1,0,吴国精选印记
685,20,266,1,0,吴国精选印记
686,20,267,1,0,吴国精选印记
687,20,295,1,0,吴国精选印记
688,20,296,1,0,吴国精选印记
689,20,340,1,0,吴国精选印记
690,20,341,1,0,吴国精选印记
691,20,346,1,0,吴国精选印记
692,20,347,1,0,吴国精选印记
693,20,358,1,0,吴国精选印记
694,20,359,1,0,吴国精选印记
695,20,393,1,0,吴国精选印记
696,20,401,1,0,吴国精选印记
697,20,402,1,0,吴国精选印记
698,20,421,1,0,吴国精选印记
699,20,422,1,0,吴国精选印记
700,20,435,1,0,吴国精选印记
701,20,436,1,0,吴国精选印记
702,20,443,1,0,吴国精选印记
703,20,444,1,0,吴国精选印记
704,20,464,1,0,吴国精选印记
705,20,489,1,0,吴国精选印记
706,21,12,1,0,吴国精选金卡
707,21,26,1,0,吴国精选金卡
708,21,36,1,0,吴国精选金卡
709,21,46,1,0,吴国精选金卡
710,21,48,1,0,吴国精选金卡
711,21,74,1,0,吴国精选金卡
712,21,55,1,0,吴国精选金卡
713,21,69,1,0,吴国精选金卡
714,21,204,1,0,吴国精选金卡
715,21,248,1,0,吴国精选金卡
716,21,253,1,0,吴国精选金卡
