序号,基础属性,特殊属性ID,特殊属性个数,属性初始经验,被动初始经验
id,strBaseAttr,nUltraAttrBag,nUltraCount,nInitAttrExp,nInitSkillExp
int,string,int,int,int,int
21202,20-33|13-26|26-40,202,2,0,0
22202,20-33|20-33|20-33,202,2,0,0
23202,26-40|13-26|20-33,202,2,0,0
24202,20-33|20-33|20-33,202,2,0,0
25202,20-33|26-40|13-26,202,2,0,0
21203,20-33|13-26|26-40,203,2,0,0
22203,20-33|20-33|20-33,203,2,0,0
23203,26-40|13-26|20-33,203,2,0,0
24203,20-33|20-33|20-33,203,2,0,0
25203,20-33|26-40|13-26,203,2,0,0
21204,20-33|13-26|26-40,204,2,0,0
22204,20-33|20-33|20-33,204,2,0,0
23204,26-40|13-26|20-33,204,2,0,0
24204,20-33|20-33|20-33,204,2,0,0
25204,20-33|26-40|13-26,204,2,0,0
21205,20-33|13-26|26-40,205,2,0,0
22205,20-33|20-33|20-33,205,2,0,0
23205,26-40|13-26|20-33,205,2,0,0
24205,20-33|20-33|20-33,205,2,0,0
25205,20-33|26-40|13-26,205,2,0,0
21206,20-33|13-26|26-40,206,2,0,0
22206,20-33|20-33|20-33,206,2,0,0
23206,26-40|13-26|20-33,206,2,0,0
24206,20-33|20-33|20-33,206,2,0,0
25206,20-33|26-40|13-26,206,2,0,0
21207,20-33|13-26|26-40,207,2,0,0
22207,20-33|20-33|20-33,207,2,0,0
23207,26-40|13-26|20-33,207,2,0,0
24207,20-33|20-33|20-33,207,2,0,0
25207,20-33|26-40|13-26,207,2,0,0
21208,20-33|13-26|26-40,208,2,0,0
22208,20-33|20-33|20-33,208,2,0,0
23208,26-40|13-26|20-33,208,2,0,0
24208,20-33|20-33|20-33,208,2,0,0
25208,20-33|26-40|13-26,208,2,0,0
21209,20-33|13-26|26-40,209,2,0,0
22209,20-33|20-33|20-33,209,2,0,0
23209,26-40|13-26|20-33,209,2,0,0
24209,20-33|20-33|20-33,209,2,0,0
25209,20-33|26-40|13-26,209,2,0,0
21210,20-33|13-26|26-40,210,2,0,0
22210,20-33|20-33|20-33,210,2,0,0
23210,26-40|13-26|20-33,210,2,0,0
24210,20-33|20-33|20-33,210,2,0,0
25210,20-33|26-40|13-26,210,2,0,0
21211,25-33|18-26|31-40,211,2,0,0
22211,25-33|25-33|25-33,211,2,0,0
23211,31-40|18-26|25-33,211,2,0,0
24211,25-33|25-33|25-33,211,2,0,0
25211,25-33|31-40|18-26,211,2,0,0
31101,40-66|26-53|53-80,301,1,0,0
32101,40-66|40-66|40-66,301,1,0,0
33101,53-80|26-53|40-66,301,1,0,0
34101,40-66|40-66|40-66,301,1,0,0
35101,40-66|53-80|26-53,301,1,0,0
31102,40-66|26-53|53-80,302,1,0,0
32102,40-66|40-66|40-66,302,1,0,0
33102,53-80|26-53|40-66,302,1,0,0
34102,40-66|40-66|40-66,302,1,0,0
35102,40-66|53-80|26-53,302,1,0,0
31103,40-66|26-53|53-80,303,1,0,0
32103,40-66|40-66|40-66,303,1,0,0
33103,53-80|26-53|40-66,303,1,0,0
34103,40-66|40-66|40-66,303,1,0,0
35103,40-66|53-80|26-53,303,1,0,0
31104,40-66|26-53|53-80,304,1,0,0
32104,40-66|40-66|40-66,304,1,0,0
33104,53-80|26-53|40-66,304,1,0,0
34104,40-66|40-66|40-66,304,1,0,0
35104,40-66|53-80|26-53,304,1,0,0
31105,40-66|26-53|53-80,305,1,0,0
32105,40-66|40-66|40-66,305,1,0,0
33105,53-80|26-53|40-66,305,1,0,0
34105,40-66|40-66|40-66,305,1,0,0
35105,40-66|53-80|26-53,305,1,0,0
31106,40-66|26-53|53-80,306,1,0,0
32106,40-66|40-66|40-66,306,1,0,0
33106,53-80|26-53|40-66,306,1,0,0
34106,40-66|40-66|40-66,306,1,0,0
35106,40-66|53-80|26-53,306,1,0,0
31107,40-66|26-53|53-80,307,1,0,0
32107,40-66|40-66|40-66,307,1,0,0
33107,53-80|26-53|40-66,307,1,0,0
34107,40-66|40-66|40-66,307,1,0,0
35107,40-66|53-80|26-53,307,1,0,0
31108,40-66|26-53|53-80,308,1,0,0
32108,40-66|40-66|40-66,308,1,0,0
33108,53-80|26-53|40-66,308,1,0,0
34108,40-66|40-66|40-66,308,1,0,0
35108,40-66|53-80|26-53,308,1,0,0
31109,40-66|26-53|53-80,309,1,0,0
32109,40-66|40-66|40-66,309,1,0,0
33109,53-80|26-53|40-66,309,1,0,0
34109,40-66|40-66|40-66,309,1,0,0
35109,40-66|53-80|26-53,309,1,0,0
31110,40-66|26-53|53-80,310,1,0,0
32110,40-66|40-66|40-66,310,1,0,0
33110,53-80|26-53|40-66,310,1,0,0
34110,40-66|40-66|40-66,310,1,0,0
35110,40-66|53-80|26-53,310,1,0,0
31111,40-66|26-53|53-80,311,1,0,0
32111,40-66|40-66|40-66,311,1,0,0
33111,53-80|26-53|40-66,311,1,0,0
34111,40-66|40-66|40-66,311,1,0,0
35111,40-66|53-80|26-53,311,1,0,0
31112,40-66|26-53|53-80,312,1,0,0
32112,40-66|40-66|40-66,312,1,0,0
33112,53-80|26-53|40-66,312,1,0,0
34112,40-66|40-66|40-66,312,1,0,0
35112,40-66|53-80|26-53,312,1,0,0
31113,40-66|26-53|53-80,313,1,0,0
32113,40-66|40-66|40-66,313,1,0,0
33113,53-80|26-53|40-66,313,1,0,0
34113,40-66|40-66|40-66,313,1,0,0
35113,40-66|53-80|26-53,313,1,0,0
31114,40-66|26-53|53-80,314,1,0,0
32114,40-66|40-66|40-66,314,1,0,0
33114,53-80|26-53|40-66,314,1,0,0
34114,40-66|40-66|40-66,314,1,0,0
35114,40-66|53-80|26-53,314,1,0,0
31115,40-66|26-53|53-80,315,1,0,0
32115,40-66|40-66|40-66,315,1,0,0
33115,53-80|26-53|40-66,315,1,0,0
34115,40-66|40-66|40-66,315,1,0,0
35115,40-66|53-80|26-53,315,1,0,0
31116,40-66|26-53|53-80,316,1,0,0
32116,40-66|40-66|40-66,316,1,0,0
33116,53-80|26-53|40-66,316,1,0,0
34116,40-66|40-66|40-66,316,1,0,0
35116,40-66|53-80|26-53,316,1,0,0
31117,40-66|26-53|53-80,317,1,0,0
32117,40-66|40-66|40-66,317,1,0,0
33117,53-80|26-53|40-66,317,1,0,0
34117,40-66|40-66|40-66,317,1,0,0
35117,40-66|53-80|26-53,317,1,0,0
31118,40-66|26-53|53-80,318,1,0,0
32118,40-66|40-66|40-66,318,1,0,0
33118,53-80|26-53|40-66,318,1,0,0
34118,40-66|40-66|40-66,318,1,0,0
35118,40-66|53-80|26-53,318,1,0,0
31119,40-66|26-53|53-80,319,1,0,0
32119,40-66|40-66|40-66,319,1,0,0
33119,53-80|26-53|40-66,319,1,0,0
34119,40-66|40-66|40-66,319,1,0,0
35119,40-66|53-80|26-53,319,1,0,0
31120,55-66|41-53|68-80,320,1,0,0
32120,55-66|55-66|55-66,320,1,0,0
33120,68-80|41-53|55-66,320,1,0,0
34120,55-66|55-66|55-66,320,1,0,0
35120,55-66|68-80|41-53,320,1,0,0
31201,40-66|26-53|53-80,301,2,0,0
32201,40-66|40-66|40-66,301,2,0,0
33201,53-80|26-53|40-66,301,2,0,0
34201,40-66|40-66|40-66,301,2,0,0
35201,40-66|53-80|26-53,301,2,0,0
31202,40-66|26-53|53-80,302,2,0,0
32202,40-66|40-66|40-66,302,2,0,0
33202,53-80|26-53|40-66,302,2,0,0
34202,40-66|40-66|40-66,302,2,0,0
35202,40-66|53-80|26-53,302,2,0,0
31203,40-66|26-53|53-80,303,2,0,0
32203,40-66|40-66|40-66,303,2,0,0
33203,53-80|26-53|40-66,303,2,0,0
34203,40-66|40-66|40-66,303,2,0,0
35203,40-66|53-80|26-53,303,2,0,0
31204,40-66|26-53|53-80,304,2,0,0
32204,40-66|40-66|40-66,304,2,0,0
33204,53-80|26-53|40-66,304,2,0,0
34204,40-66|40-66|40-66,304,2,0,0
35204,40-66|53-80|26-53,304,2,0,0
31205,40-66|26-53|53-80,305,2,0,0
32205,40-66|40-66|40-66,305,2,0,0
33205,53-80|26-53|40-66,305,2,0,0
34205,40-66|40-66|40-66,305,2,0,0
35205,40-66|53-80|26-53,305,2,0,0
31206,40-66|26-53|53-80,306,2,0,0
32206,40-66|40-66|40-66,306,2,0,0
33206,53-80|26-53|40-66,306,2,0,0
34206,40-66|40-66|40-66,306,2,0,0
35206,40-66|53-80|26-53,306,2,0,0
31207,40-66|26-53|53-80,307,2,0,0
32207,40-66|40-66|40-66,307,2,0,0
33207,53-80|26-53|40-66,307,2,0,0
34207,40-66|40-66|40-66,307,2,0,0
35207,40-66|53-80|26-53,307,2,0,0
31208,40-66|26-53|53-80,308,2,0,0
32208,40-66|40-66|40-66,308,2,0,0
33208,53-80|26-53|40-66,308,2,0,0
34208,40-66|40-66|40-66,308,2,0,0
35208,40-66|53-80|26-53,308,2,0,0
31209,40-66|26-53|53-80,309,2,0,0
32209,40-66|40-66|40-66,309,2,0,0
33209,53-80|26-53|40-66,309,2,0,0
34209,40-66|40-66|40-66,309,2,0,0
35209,40-66|53-80|26-53,309,2,0,0
31210,40-66|26-53|53-80,310,2,0,0
32210,40-66|40-66|40-66,310,2,0,0
33210,53-80|26-53|40-66,310,2,0,0
34210,40-66|40-66|40-66,310,2,0,0
35210,40-66|53-80|26-53,310,2,0,0
31211,40-66|26-53|53-80,311,2,0,0
32211,40-66|40-66|40-66,311,2,0,0
33211,53-80|26-53|40-66,311,2,0,0
34211,40-66|40-66|40-66,311,2,0,0
35211,40-66|53-80|26-53,311,2,0,0
31212,40-66|26-53|53-80,312,2,0,0
32212,40-66|40-66|40-66,312,2,0,0
33212,53-80|26-53|40-66,312,2,0,0
34212,40-66|40-66|40-66,312,2,0,0
35212,40-66|53-80|26-53,312,2,0,0
31213,40-66|26-53|53-80,313,2,0,0
32213,40-66|40-66|40-66,313,2,0,0
33213,53-80|26-53|40-66,313,2,0,0
34213,40-66|40-66|40-66,313,2,0,0
35213,40-66|53-80|26-53,313,2,0,0
31214,40-66|26-53|53-80,314,2,0,0
32214,40-66|40-66|40-66,314,2,0,0
33214,53-80|26-53|40-66,314,2,0,0
34214,40-66|40-66|40-66,314,2,0,0
35214,40-66|53-80|26-53,314,2,0,0
31215,40-66|26-53|53-80,315,2,0,0
32215,40-66|40-66|40-66,315,2,0,0
33215,53-80|26-53|40-66,315,2,0,0
34215,40-66|40-66|40-66,315,2,0,0
35215,40-66|53-80|26-53,315,2,0,0
31216,40-66|26-53|53-80,316,2,0,0
32216,40-66|40-66|40-66,316,2,0,0
33216,53-80|26-53|40-66,316,2,0,0
34216,40-66|40-66|40-66,316,2,0,0
35216,40-66|53-80|26-53,316,2,0,0
31217,40-66|26-53|53-80,317,2,0,0
32217,40-66|40-66|40-66,317,2,0,0
33217,53-80|26-53|40-66,317,2,0,0
34217,40-66|40-66|40-66,317,2,0,0
35217,40-66|53-80|26-53,317,2,0,0
31218,40-66|26-53|53-80,318,2,0,0
32218,40-66|40-66|40-66,318,2,0,0
33218,53-80|26-53|40-66,318,2,0,0
34218,40-66|40-66|40-66,318,2,0,0
35218,40-66|53-80|26-53,318,2,0,0
31219,40-66|26-53|53-80,319,2,0,0
32219,40-66|40-66|40-66,319,2,0,0
33219,53-80|26-53|40-66,319,2,0,0
34219,40-66|40-66|40-66,319,2,0,0
35219,40-66|53-80|26-53,319,2,0,0
31220,55-66|41-53|68-80,320,2,0,0
32220,55-66|55-66|55-66,320,2,0,0
33220,68-80|41-53|55-66,320,2,0,0
34220,55-66|55-66|55-66,320,2,0,0
35220,55-66|68-80|41-53,320,2,0,0
31301,40-66|26-53|53-80,301,3,0,0
32301,40-66|40-66|40-66,301,3,0,0
33301,53-80|26-53|40-66,301,3,0,0
34301,40-66|40-66|40-66,301,3,0,0
35301,40-66|53-80|26-53,301,3,0,0
31302,40-66|26-53|53-80,302,3,0,0
32302,40-66|40-66|40-66,302,3,0,0
33302,53-80|26-53|40-66,302,3,0,0
34302,40-66|40-66|40-66,302,3,0,0
35302,40-66|53-80|26-53,302,3,0,0
31303,40-66|26-53|53-80,303,3,0,0
32303,40-66|40-66|40-66,303,3,0,0
33303,53-80|26-53|40-66,303,3,0,0
34303,40-66|40-66|40-66,303,3,0,0
35303,40-66|53-80|26-53,303,3,0,0
31304,40-66|26-53|53-80,304,3,0,0
32304,40-66|40-66|40-66,304,3,0,0
33304,53-80|26-53|40-66,304,3,0,0
34304,40-66|40-66|40-66,304,3,0,0
35304,40-66|53-80|26-53,304,3,0,0
31305,40-66|26-53|53-80,305,3,0,0
32305,40-66|40-66|40-66,305,3,0,0
33305,53-80|26-53|40-66,305,3,0,0
34305,40-66|40-66|40-66,305,3,0,0
35305,40-66|53-80|26-53,305,3,0,0
31306,40-66|26-53|53-80,306,3,0,0
32306,40-66|40-66|40-66,306,3,0,0
33306,53-80|26-53|40-66,306,3,0,0
34306,40-66|40-66|40-66,306,3,0,0
35306,40-66|53-80|26-53,306,3,0,0
31307,40-66|26-53|53-80,307,3,0,0
32307,40-66|40-66|40-66,307,3,0,0
33307,53-80|26-53|40-66,307,3,0,0
34307,40-66|40-66|40-66,307,3,0,0
35307,40-66|53-80|26-53,307,3,0,0
31308,40-66|26-53|53-80,308,3,0,0
32308,40-66|40-66|40-66,308,3,0,0
33308,53-80|26-53|40-66,308,3,0,0
34308,40-66|40-66|40-66,308,3,0,0
35308,40-66|53-80|26-53,308,3,0,0
31309,40-66|26-53|53-80,309,3,0,0
32309,40-66|40-66|40-66,309,3,0,0
33309,53-80|26-53|40-66,309,3,0,0
34309,40-66|40-66|40-66,309,3,0,0
35309,40-66|53-80|26-53,309,3,0,0
31310,40-66|26-53|53-80,310,3,0,0
32310,40-66|40-66|40-66,310,3,0,0
33310,53-80|26-53|40-66,310,3,0,0
34310,40-66|40-66|40-66,310,3,0,0
35310,40-66|53-80|26-53,310,3,0,0
31311,40-66|26-53|53-80,311,3,0,0
32311,40-66|40-66|40-66,311,3,0,0
33311,53-80|26-53|40-66,311,3,0,0
34311,40-66|40-66|40-66,311,3,0,0
35311,40-66|53-80|26-53,311,3,0,0
31312,40-66|26-53|53-80,312,3,0,0
32312,40-66|40-66|40-66,312,3,0,0
33312,53-80|26-53|40-66,312,3,0,0
34312,40-66|40-66|40-66,312,3,0,0
35312,40-66|53-80|26-53,312,3,0,0
31313,40-66|26-53|53-80,313,3,0,0
32313,40-66|40-66|40-66,313,3,0,0
33313,53-80|26-53|40-66,313,3,0,0
34313,40-66|40-66|40-66,313,3,0,0
35313,40-66|53-80|26-53,313,3,0,0
31314,40-66|26-53|53-80,314,3,0,0
32314,40-66|40-66|40-66,314,3,0,0
33314,53-80|26-53|40-66,314,3,0,0
34314,40-66|40-66|40-66,314,3,0,0
35314,40-66|53-80|26-53,314,3,0,0
31315,40-66|26-53|53-80,315,3,0,0
32315,40-66|40-66|40-66,315,3,0,0
33315,53-80|26-53|40-66,315,3,0,0
34315,40-66|40-66|40-66,315,3,0,0
35315,40-66|53-80|26-53,315,3,0,0
31316,40-66|26-53|53-80,316,3,0,0
32316,40-66|40-66|40-66,316,3,0,0
33316,53-80|26-53|40-66,316,3,0,0
34316,40-66|40-66|40-66,316,3,0,0
35316,40-66|53-80|26-53,316,3,0,0
31317,40-66|26-53|53-80,317,3,0,0
32317,40-66|40-66|40-66,317,3,0,0
33317,53-80|26-53|40-66,317,3,0,0
34317,40-66|40-66|40-66,317,3,0,0
35317,40-66|53-80|26-53,317,3,0,0
31318,40-66|26-53|53-80,318,3,0,0
32318,40-66|40-66|40-66,318,3,0,0
33318,53-80|26-53|40-66,318,3,0,0
34318,40-66|40-66|40-66,318,3,0,0
35318,40-66|53-80|26-53,318,3,0,0
31319,40-66|26-53|53-80,319,3,0,0
32319,40-66|40-66|40-66,319,3,0,0
33319,53-80|26-53|40-66,319,3,0,0
34319,40-66|40-66|40-66,319,3,0,0
35319,40-66|53-80|26-53,319,3,0,0
31320,55-66|41-53|68-80,320,3,0,0
32320,55-66|55-66|55-66,320,3,0,0
33320,68-80|41-53|55-66,320,3,0,0
34320,55-66|55-66|55-66,320,3,0,0
35320,55-66|68-80|41-53,320,3,0,0
41201,80-133|53-106|106-160,401,2,0,0
42201,80-133|80-133|80-133,401,2,0,0
43201,106-160|53-106|80-133,401,2,0,0
44201,80-133|80-133|80-133,401,2,0,0
45201,80-133|106-160|53-106,401,2,0,0
41202,80-133|53-106|106-160,402,2,0,0
42202,80-133|80-133|80-133,402,2,0,0
43202,106-160|53-106|80-133,402,2,0,0
44202,80-133|80-133|80-133,402,2,0,0
45202,80-133|106-160|53-106,402,2,0,0
41203,80-133|53-106|106-160,403,2,0,0
42203,80-133|80-133|80-133,403,2,0,0
43203,106-160|53-106|80-133,403,2,0,0
44203,80-133|80-133|80-133,403,2,0,0
45203,80-133|106-160|53-106,403,2,0,0
41204,80-133|53-106|106-160,404,2,0,0
42204,80-133|80-133|80-133,404,2,0,0
43204,106-160|53-106|80-133,404,2,0,0
44204,80-133|80-133|80-133,404,2,0,0
45204,80-133|106-160|53-106,404,2,0,0
41205,80-133|53-106|106-160,405,2,0,0
42205,80-133|80-133|80-133,405,2,0,0
43205,106-160|53-106|80-133,405,2,0,0
44205,80-133|80-133|80-133,405,2,0,0
45205,80-133|106-160|53-106,405,2,0,0
41206,80-133|53-106|106-160,406,2,0,0
42206,80-133|80-133|80-133,406,2,0,0
43206,106-160|53-106|80-133,406,2,0,0
44206,80-133|80-133|80-133,406,2,0,0
45206,80-133|106-160|53-106,406,2,0,0
41207,80-133|53-106|106-160,407,2,0,0
42207,80-133|80-133|80-133,407,2,0,0
43207,106-160|53-106|80-133,407,2,0,0
44207,80-133|80-133|80-133,407,2,0,0
45207,80-133|106-160|53-106,407,2,0,0
41208,80-133|53-106|106-160,408,2,0,0
42208,80-133|80-133|80-133,408,2,0,0
43208,106-160|53-106|80-133,408,2,0,0
44208,80-133|80-133|80-133,408,2,0,0
45208,80-133|106-160|53-106,408,2,0,0
41209,80-133|53-106|106-160,409,2,0,0
42209,80-133|80-133|80-133,409,2,0,0
43209,106-160|53-106|80-133,409,2,0,0
44209,80-133|80-133|80-133,409,2,0,0
45209,80-133|106-160|53-106,409,2,0,0
41210,80-133|53-106|106-160,410,2,0,0
42210,80-133|80-133|80-133,410,2,0,0
43210,106-160|53-106|80-133,410,2,0,0
44210,80-133|80-133|80-133,410,2,0,0
45210,80-133|106-160|53-106,410,2,0,0
41211,80-133|53-106|106-160,411,2,0,0
42211,80-133|80-133|80-133,411,2,0,0
43211,106-160|53-106|80-133,411,2,0,0
44211,80-133|80-133|80-133,411,2,0,0
45211,80-133|106-160|53-106,411,2,0,0
41212,80-133|53-106|106-160,412,2,0,0
42212,80-133|80-133|80-133,412,2,0,0
43212,106-160|53-106|80-133,412,2,0,0
44212,80-133|80-133|80-133,412,2,0,0
45212,80-133|106-160|53-106,412,2,0,0
41213,80-133|53-106|106-160,413,2,0,0
42213,80-133|80-133|80-133,413,2,0,0
43213,106-160|53-106|80-133,413,2,0,0
44213,80-133|80-133|80-133,413,2,0,0
45213,80-133|106-160|53-106,413,2,0,0
41214,80-133|53-106|106-160,414,2,0,0
42214,80-133|80-133|80-133,414,2,0,0
43214,106-160|53-106|80-133,414,2,0,0
44214,80-133|80-133|80-133,414,2,0,0
45214,80-133|106-160|53-106,414,2,0,0
41215,80-133|53-106|106-160,415,2,0,0
42215,80-133|80-133|80-133,415,2,0,0
43215,106-160|53-106|80-133,415,2,0,0
44215,80-133|80-133|80-133,415,2,0,0
45215,80-133|106-160|53-106,415,2,0,0
41216,80-133|53-106|106-160,416,2,0,0
42216,80-133|80-133|80-133,416,2,0,0
43216,106-160|53-106|80-133,416,2,0,0
44216,80-133|80-133|80-133,416,2,0,0
45216,80-133|106-160|53-106,416,2,0,0
41217,80-133|53-106|106-160,417,2,0,0
42217,80-133|80-133|80-133,417,2,0,0
43217,106-160|53-106|80-133,417,2,0,0
44217,80-133|80-133|80-133,417,2,0,0
45217,80-133|106-160|53-106,417,2,0,0
41218,80-133|53-106|106-160,418,2,0,0
42218,80-133|80-133|80-133,418,2,0,0
43218,106-160|53-106|80-133,418,2,0,0
44218,80-133|80-133|80-133,418,2,0,0
45218,80-133|106-160|53-106,418,2,0,0
41219,118-133|91-106|145-160,419,2,0,0
42219,118-133|118-133|118-133,419,2,0,0
43219,145-160|91-106|118-133,419,2,0,0
44219,118-133|118-133|118-133,419,2,0,0
45219,118-133|145-160|91-106,419,2,0,0
41301,80-133|53-106|106-160,401,3,0,0
42301,80-133|80-133|80-133,401,3,0,0
43301,106-160|53-106|80-133,401,3,0,0
44301,80-133|80-133|80-133,401,3,0,0
45301,80-133|106-160|53-106,401,3,0,0
41302,80-133|53-106|106-160,402,3,0,0
42302,80-133|80-133|80-133,402,3,0,0
43302,106-160|53-106|80-133,402,3,0,0
44302,80-133|80-133|80-133,402,3,0,0
45302,80-133|106-160|53-106,402,3,0,0
41303,80-133|53-106|106-160,403,3,0,0
42303,80-133|80-133|80-133,403,3,0,0
43303,106-160|53-106|80-133,403,3,0,0
44303,80-133|80-133|80-133,403,3,0,0
45303,80-133|106-160|53-106,403,3,0,0
41304,80-133|53-106|106-160,404,3,0,0
42304,80-133|80-133|80-133,404,3,0,0
43304,106-160|53-106|80-133,404,3,0,0
44304,80-133|80-133|80-133,404,3,0,0
45304,80-133|106-160|53-106,404,3,0,0
41305,80-133|53-106|106-160,405,3,0,0
42305,80-133|80-133|80-133,405,3,0,0
43305,106-160|53-106|80-133,405,3,0,0
44305,80-133|80-133|80-133,405,3,0,0
45305,80-133|106-160|53-106,405,3,0,0
41306,80-133|53-106|106-160,406,3,0,0
42306,80-133|80-133|80-133,406,3,0,0
43306,106-160|53-106|80-133,406,3,0,0
44306,80-133|80-133|80-133,406,3,0,0
45306,80-133|106-160|53-106,406,3,0,0
41307,80-133|53-106|106-160,407,3,0,0
42307,80-133|80-133|80-133,407,3,0,0
43307,106-160|53-106|80-133,407,3,0,0
44307,80-133|80-133|80-133,407,3,0,0
45307,80-133|106-160|53-106,407,3,0,0
41308,80-133|53-106|106-160,408,3,0,0
42308,80-133|80-133|80-133,408,3,0,0
43308,106-160|53-106|80-133,408,3,0,0
44308,80-133|80-133|80-133,408,3,0,0
45308,80-133|106-160|53-106,408,3,0,0
41309,80-133|53-106|106-160,409,3,0,0
42309,80-133|80-133|80-133,409,3,0,0
43309,106-160|53-106|80-133,409,3,0,0
44309,80-133|80-133|80-133,409,3,0,0
45309,80-133|106-160|53-106,409,3,0,0
41310,80-133|53-106|106-160,410,3,0,0
42310,80-133|80-133|80-133,410,3,0,0
43310,106-160|53-106|80-133,410,3,0,0
44310,80-133|80-133|80-133,410,3,0,0
45310,80-133|106-160|53-106,410,3,0,0
41311,80-133|53-106|106-160,411,3,0,0
42311,80-133|80-133|80-133,411,3,0,0
43311,106-160|53-106|80-133,411,3,0,0
44311,80-133|80-133|80-133,411,3,0,0
45311,80-133|106-160|53-106,411,3,0,0
41312,80-133|53-106|106-160,412,3,0,0
42312,80-133|80-133|80-133,412,3,0,0
43312,106-160|53-106|80-133,412,3,0,0
44312,80-133|80-133|80-133,412,3,0,0
45312,80-133|106-160|53-106,412,3,0,0
41313,80-133|53-106|106-160,413,3,0,0
42313,80-133|80-133|80-133,413,3,0,0
43313,106-160|53-106|80-133,413,3,0,0
44313,80-133|80-133|80-133,413,3,0,0
