序号|战法,活动类型(),排序索引,开启时间,活动持续时间（单位分钟）,关闭时间,时间参数,默认标题,跳转按钮文字（若为空，不显示跳转按钮）,跳转UI（0，不跳转| 11，充值界面| 1，推图界面| 14，抽卡界面| 24，竞技场| 6，卡册界面| 67，征讨| 9，封地| 17，活动界面|40，排行榜）,是否存储数,进行服务器ID,活动图标,活动背景图片,战力限制,未登陆时长[天],累计充值数额,整形参数1,整形参数2,整形参数3,整形参数4,整形参数5,整形参数6,整形参数7,整形参数8,整形参数9,整形参数10,整形参数11,字符串参数1,字符串参数2,字符串参数3,字符串参数4,字符串参数5,字符串参数6,提示信息,自动补发邮件ID
312,4,80883,2018|5|7|0|0|0,4319,2018|5|9|0|23|59,,天工开物 一扫天下,去充值,11,0,0,Banner_Activity07_Tex,Desc150026_Tex,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,这个活动很好玩,200000
313,4,80881,2018|5|7|0|0|0,10079,2018|5|13|0|23|59,,30元惊喜限时大礼,去充值,11,0,0,Banner_Activity08_Tex,Desc150027_Tex,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,这个活动很好玩,200000
314,4,80868,2018|5|1|0|0|0,5759,2018|5|4|0|23|59,,筹划营谋 越战越勇,立即参加,9,0,0,Banner_Activity08_Tex,Desc150028_Tex,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,这个活动很好玩,200000
315,4,80890,2018|5|7|0|0|0,10079,2018|5|13|0|23|59,,富商快跑 卡魂献礼,立即参加,140|0,0,0,Banner_Activity08_Tex,Desc150029_Tex,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,这个活动很好玩,200000
316,4,80870,2018|5|4|0|0|0,11039,2018|5|11|0|15|59,,神器寻宝  超值福利,立即参加,14,0,0,Banner_Activity04_Tex,Desc150030_Tex,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,这个活动很好玩,200000
317,4,80909,2018|5|18|0|0|0,11039,2018|5|25|0|15|59,,灵石献礼 好运连连,立即参加,140|0,0,0,Banner_Activity04_Tex,Desc150031_Tex,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,这个活动很好玩,200000
318,4,80910,2018|5|14|0|0|0,6990,2018|5|18|0|20|30,,烁玉流金 国战再起,立即参加,141|0,0,0,Banner_Activity08_Tex,Desc150032_Tex,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,这个活动很好玩,200000
319,4,80903,2018|5|14|0|0|0,4319,2018|5|16|0|23|59,,天工开物 一扫天下,去充值,11,0,0,Banner_Activity07_Tex,Desc150033_Tex,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,这个活动很好玩,200000
320,4,80901,2018|5|14|0|0|0,10079,2018|5|20|0|23|59,,30元惊喜限时大礼,去充值,11,0,0,Banner_Activity08_Tex,Desc150034_Tex,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,这个活动很好玩,200000
321,4,80921,2018|5|21|0|0|0,4319,2018|5|23|0|23|59,,天工开物 一扫天下,去充值,11,0,0,Banner_Activity07_Tex,Desc150035_Tex,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,这个活动很好玩,200000
322,4,80923,2018|5|21|0|0|0,10079,2018|5|27|0|23|59,,30元惊喜限时大礼,去充值,11,0,0,Banner_Activity08_Tex,Desc150036_Tex,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,这个活动很好玩,200000
323,4,80943,2018|5|28|0|0|0,10079,2018|6|3|0|23|59,,30元惊喜限时大礼,去充值,11,0,0,Banner_Activity08_Tex,Desc150037_Tex,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,这个活动很好玩,200000
324,4,80941,2018|5|28|0|0|0,4319,2018|5|30|0|23|59,,天工开物 一扫天下,去充值,11,0,0,Banner_Activity07_Tex,Desc150038_Tex,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,这个活动很好玩,200000
325,4,80953,2018|6|4|0|0|0,10079,2018|6|10|0|23|59,,30元惊喜限时大礼,去充值,11,0,0,Banner_Activity08_Tex,Desc150039_Tex,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,这个活动很好玩,200000
326,4,80951,2018|6|4|0|0|0,4319,2018|6|6|0|23|59,,天工开物 一扫天下,去充值,11,0,0,Banner_Activity07_Tex,Desc150040_Tex,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,这个活动很好玩,200000
398,8,80590,2018|1|1|0|0|0,10079,2018|1|7|0|23|59,,60钻与战器寻宝额外天运,去招募,14,0,0,Banner_Activity07_Tex,Desc149003_Tex,0,0,0,1,2,1000,0,0,0,0,0,13,10,0,NULL,NULL,NULL,NULL,NULL,NULL,活动期间60钻招募[ffd177]金卡[-]以及[ffd177]五星武将印[-]概率提升[ffd177]3倍[-]，获得天运[ffd177]双倍[-]，[ffd177]马超、典韦和甘宁双印[-]概率在此基础上再提高。\n战器10连招募可获得[ffd177]100点[-]天运\n战器单次招募可获得[ffd177]10点[-]天运,200000
399,8,80588,2018|1|3|0|0|0,5759,2018|1|6|0|23|59,,天降豪礼 天运招募,去招募,14,0,0,Banner_Activity04_Tex,Desc149007_Tex,0,0,0,20,3,0,0,0,0,0,0,34,1,0,NULL,NULL,NULL,NULL,NULL,NULL,活动期间，每招募天运招募[ffd177]20[-]次，可获得[ffd177]金钥匙*1[-],200000
400,8,80605,2018|1|8|0|0|0,10079,2018|1|14|0|23|59,,四国天运双倍,去招募,14,0,0,Banner_Activity07_Tex,Desc149004_Tex,0,0,0,1,0,0,0,4,5,6,7,13,30,0,NULL,NULL,NULL,NULL,NULL,NULL,活动期间，四国精选招募产出[ffd177]金卡[-]以及[ffd177]升星印[-]概率提升[ffd177]3倍[-]，获得的天运[ffd177]双倍[-],200000
401,8,80610,2018|1|15|0|0|0,10079,2018|1|21|0|23|59,,60钻与战器寻宝额外天运,去招募,14,0,0,Banner_Activity07_Tex,Desc149003_Tex,0,0,0,1,2,1000,0,0,0,0,0,13,10,0,NULL,NULL,NULL,NULL,NULL,NULL,活动期间60钻招募[ffd177]金卡[-]以及[ffd177]五星武将印[-]概率提升[ffd177]3倍[-]，获得天运[ffd177]双倍[-]\n战器10连招募可获得[ffd177]100点[-]天运\n战器单次招募可获得[ffd177]10点[-]天运,200000
402,8,80625,2018|1|22|0|0|0,10079,2018|1|28|0|23|59,,四国天运双倍,去招募,14,0,0,Banner_Activity02_Tex,Desc149004_Tex,0,0,0,1,0,0,0,4,5,6,7,13,30,0,NULL,NULL,NULL,NULL,NULL,NULL,活动期间，四国精选招募产出[ffd177]金卡[-]以及[ffd177]升星印[-]概率提升[ffd177]3倍[-]，获得的天运[ffd177]双倍[-],200000
403,8,80640,2018|1|29|0|0|0,10079,2018|2|4|0|23|59,,60钻与战器寻宝额外天运,去招募,14,0,0,Banner_Activity07_Tex,Desc149003_Tex,0,0,0,1,2,1000,0,0,0,0,0,13,10,0,NULL,NULL,NULL,NULL,NULL,NULL,活动期间60钻招募[ffd177]金卡[-]以及[ffd177]五星武将印[-]概率提升[ffd177]3倍[-]，获得天运[ffd177]双倍[-]\n战器10连招募可获得[ffd177]100点[-]天运\n战器单次招募可获得[ffd177]10点[-]天运,200000
404,8,80654,2018|2|5|0|0|0,10079,2018|2|11|0|23|59,,四国天运双倍,去招募,14,0,0,Banner_Activity02_Tex,Desc149004_Tex,0,0,0,1,0,0,0,4,5,6,7,13,30,0,NULL,NULL,NULL,NULL,NULL,NULL,活动期间，四国精选招募产出[ffd177]金卡[-]以及[ffd177]升星印[-]概率提升[ffd177]3倍[-]，获得的天运[ffd177]双倍[-],200000
405,8,80666,2018|2|12|0|0|0,10079,2018|2|18|0|23|59,,银币招募与战器寻宝额外天运,去招募,14,0,0,Banner_Activity07_Tex,Desc149003_Tex,0,0,0,1,2,1000,0,0,0,0,0,13,10,0,NULL,NULL,NULL,NULL,NULL,NULL,活动期间60钻招募[ffd177]金卡[-]以及[ffd177]五星武将印[-]概率提升[ffd177]3倍[-]，获得天运[ffd177]双倍[-]\n战器10连招募可获得[ffd177]100点[-]天运\n战器单次招募可获得[ffd177]10点[-]天运,200000
406,8,80684,2018|2|19|0|0|0,10079,2018|2|25|0|23|59,,四国天运双倍,去招募,14,0,0,Banner_Activity02_Tex,Desc149004_Tex,0,0,0,1,0,0,0,4,5,6,7,13,30,0,NULL,NULL,NULL,NULL,NULL,NULL,活动期间，四国精选招募产出[ffd177]金卡[-]以及[ffd177]升星印[-]概率提升[ffd177]3倍[-]，获得的天运[ffd177]双倍[-],200000
407,8,80704,2018|2|26|0|0|0,10079,2018|3|4|0|23|59,,银币招募与战器寻宝额外天运,去招募,14,0,0,Banner_Activity07_Tex,Desc149003_Tex,0,0,0,1,2,1000,0,0,0,0,0,13,10,0,NULL,NULL,NULL,NULL,NULL,NULL,活动期间60钻招募[ffd177]金卡[-]以及[ffd177]五星武将印[-]概率提升[ffd177]3倍[-]，获得天运[ffd177]双倍[-]\n战器10连招募可获得[ffd177]100点[-]天运\n战器单次招募可获得[ffd177]10点[-]天运,200000
408,8,80725,2018|3|5|0|0|0,10079,2018|3|11|0|23|59,,四国天运双倍,去招募,14,0,0,Banner_Activity02_Tex,Desc149004_Tex,0,0,0,1,0,0,0,4,5,6,7,13,30,0,NULL,NULL,NULL,NULL,NULL,NULL,活动期间，四国精选招募产出[ffd177]金卡[-]以及[ffd177]升星印[-]概率提升[ffd177]3倍[-]，获得的天运[ffd177]双倍[-],200000
409,8,80745,2018|3|12|0|0|0,10079,2018|3|18|0|23|59,,银币招募与战器寻宝额外天运,去招募,14,0,0,Banner_Activity04_Tex,Desc149003_Tex,0,0,0,1,2,1000,0,0,0,0,0,13,10,0,NULL,NULL,NULL,NULL,NULL,NULL,活动期间银币招募[ffd177]金卡[-]以及[ffd177]五星武将印[-]概率提升[ffd177]3倍[-]，获得天运[ffd177]双倍[-]\n战器10连招募可获得[ffd177]100点[-]天运\n战器单次招募可获得[ffd177]10点[-]天运,200000
410,8,80764,2018|3|19|0|0|0,10079,2018|3|25|0|23|59,,四国天运双倍,去招募,14,0,0,Banner_Activity03_Tex,Desc149004_Tex,0,0,0,1,0,0,0,4,5,6,7,13,30,0,NULL,NULL,NULL,NULL,NULL,NULL,活动期间，四国精选招募产出[ffd177]金卡[-]以及[ffd177]升星印[-]概率提升[ffd177]3倍[-]，获得的天运[ffd177]双倍[-],200000
411,8,80774,2018|3|26|0|0|0,10079,2018|4|1|0|23|59,,银币招募与战器寻宝额外天运,去招募,14,0,0,Banner_Activity04_Tex,Desc149003_Tex,0,0,0,1,2,1000,0,0,0,0,0,13,10,0,NULL,NULL,NULL,NULL,NULL,NULL,活动期间银币招募[ffd177]金卡[-]以及[ffd177]五星武将印[-]概率提升[ffd177]3倍[-]，获得天运[ffd177]双倍[-]\n战器10连招募可获得[ffd177]100点[-]天运\n战器单次招募可获得[ffd177]10点[-]天运,200000
412,8,80794,2018|4|2|0|0|0,10079,2018|4|8|0|23|59,,四国天运双倍,去招募,14,0,0,Banner_Activity03_Tex,Desc149004_Tex,0,0,0,1,0,0,0,4,5,6,7,13,30,0,NULL,NULL,NULL,NULL,NULL,NULL,活动期间，四国精选招募产出[ffd177]金卡[-]以及[ffd177]升星印[-]概率提升[ffd177]3倍[-]，获得的天运[ffd177]双倍[-],200000
413,8,80814,2018|4|9|0|0|0,10079,2018|4|15|0|23|59,,银币招募与战器寻宝额外天运,去招募,14,0,0,Banner_Activity04_Tex,Desc149003_Tex,0,0,0,1,2,1000,0,0,0,0,0,13,10,0,NULL,NULL,NULL,NULL,NULL,NULL,活动期间银币招募[ffd177]金卡[-]以及[ffd177]五星武将印[-]概率提升[ffd177]3倍[-]，获得天运[ffd177]双倍[-]\n战器10连招募可获得[ffd177]100点[-]天运\n战器单次招募可获得[ffd177]10点[-]天运,200000
414,8,80822,2018|4|9|0|0|0,10079,2018|4|15|0|23|59,,天降豪礼 天运招募,去招募,14,0,0,Banner_Activity01_Tex,Desc149008_Tex,0,0,0,1,3,0,0,0,0,0,0,23,1,0,NULL,NULL,NULL,NULL,NULL,NULL,活动期间，每招募天运招募[ffd177]1[-]次，可获得[ffd177]传承券*1[-],200000
415,8,80834,2018|4|16|0|0|0,10079,2018|4|22|0|23|59,,四国天运双倍,去招募,14,0,0,Banner_Activity03_Tex,Desc149004_Tex,0,0,0,1,0,0,0,4,5,6,7,13,30,0,NULL,NULL,NULL,NULL,NULL,NULL,活动期间，四国精选招募产出[ffd177]金卡[-]以及[ffd177]升星印[-]概率提升[ffd177]3倍[-]，获得的天运[ffd177]双倍[-],200000
416,8,80856,2018|4|23|0|0|0,10079,2018|4|29|0|23|59,,银币招募与战器寻宝额外天运,去招募,14,0,0,Banner_Activity04_Tex,Desc149003_Tex,0,0,0,1,2,1000,0,0,0,0,0,13,10,0,NULL,NULL,NULL,NULL,NULL,NULL,活动期间银币招募[ffd177]金卡[-]以及[ffd177]五星武将印[-]概率提升[ffd177]3倍[-]，获得天运[ffd177]双倍[-]\n战器10连招募可获得[ffd177]100点[-]天运\n战器单次招募可获得[ffd177]10点[-]天运,200000
417,8,80865,2018|4|30|0|0|0,10079,2018|5|6|0|23|59,,四国天运双倍,去招募,14,0,0,Banner_Activity03_Tex,Desc149004_Tex,0,0,0,1,0,0,0,4,5,6,7,13,30,0,NULL,NULL,NULL,NULL,NULL,NULL,活动期间，四国精选招募产出[ffd177]金卡[-]以及[ffd177]升星印[-]概率提升[ffd177]3倍[-]，获得的天运[ffd177]双倍[-],200000
418,8,80886,2018|5|7|0|0|0,10079,2018|5|13|0|23|59,,银币招募与战器寻宝额外天运,去招募,14,0,0,Banner_Activity04_Tex,Desc149003_Tex,0,0,0,1,2,1000,0,0,0,0,0,13,10,0,NULL,NULL,NULL,NULL,NULL,NULL,活动期间银币招募[ffd177]金卡[-]以及[ffd177]五星武将印[-]概率提升[ffd177]3倍[-]，获得天运[ffd177]双倍[-]\n战器10连招募可获得[ffd177]100点[-]天运\n战器单次招募可获得[ffd177]10点[-]天运,200000
419,8,80904,2018|5|14|0|0|0,10079,2018|5|20|0|23|59,,四国天运双倍,去招募,14,0,0,Banner_Activity03_Tex,Desc149004_Tex,0,0,0,1,0,0,0,4,5,6,7,13,30,0,NULL,NULL,NULL,NULL,NULL,NULL,活动期间，四国精选招募产出[ffd177]金卡[-]以及[ffd177]升星印[-]概率提升[ffd177]3倍[-]，获得的天运[ffd177]双倍[-],200000
420,8,80924,2018|5|21|0|0|0,10079,2018|5|27|0|23|59,,银币招募与战器寻宝额外天运,去招募,14,0,0,Banner_Activity04_Tex,Desc149003_Tex,0,0,0,1,2,1000,0,0,0,0,0,13,10,0,NULL,NULL,NULL,NULL,NULL,NULL,活动期间银币招募[ffd177]金卡[-]以及[ffd177]五星武将印[-]概率提升[ffd177]3倍[-]，获得天运[ffd177]双倍[-]\n战器10连招募可获得[ffd177]100点[-]天运\n战器单次招募可获得[ffd177]10点[-]天运,200000
421,8,80944,2018|5|28|0|0|0,10079,2018|6|3|0|23|59,,四国天运双倍,去招募,14,0,0,Banner_Activity03_Tex,Desc149004_Tex,0,0,0,1,0,0,0,4,5,6,7,13,30,0,NULL,NULL,NULL,NULL,NULL,NULL,活动期间，四国精选招募产出[ffd177]金卡[-]以及[ffd177]升星印[-]概率提升[ffd177]3倍[-]，获得的天运[ffd177]双倍[-],200000
422,8,80954,2018|6|4|0|0|0,10079,2018|6|10|0|23|59,,银币招募与战器寻宝额外天运,去招募,14,0,0,Banner_Activity04_Tex,Desc149003_Tex,0,0,0,1,2,1000,0,0,0,0,0,13,10,0,NULL,NULL,NULL,NULL,NULL,NULL,活动期间银币招募[ffd177]金卡[-]以及[ffd177]五星武将印[-]概率提升[ffd177]3倍[-]，获得天运[ffd177]双倍[-]\n战器10连招募可获得[ffd177]100点[-]天运\n战器单次招募可获得[ffd177]10点[-]天运,200000
423,8,500001,2018|6|11|0|0|0,10079,2018|6|17|0|23|59,,天降豪礼 天运招募,去招募,14,0,0,Banner_Activity01_Tex,Desc149009_Tex,0,0,0,1,3,0,0,0,0,0,0,23,1,0,NULL,NULL,NULL,NULL,NULL,NULL,活动期间，每招募天运招募[ffd177]1[-]次，可获得[ffd177]传承券*1[-],200000
424,8,500002,2018|6|11|0|0|0,10079,2018|6|17|0|23|59,,四国招募 天运双倍,去招募,14,0,0,Banner_Activity03_Tex,Desc149004_Tex,0,0,0,1,0,0,0,4,5,6,7,13,30,0,NULL,NULL,NULL,NULL,NULL,NULL,活动期间，四国精选招募产出[ffd177]金卡[-]以及[ffd177]升星印[-]概率提升[ffd177]3倍[-]，获得的天运[ffd177]双倍[-],200000
425,4,500003,2018|6|11|0|0|0,4319,2018|6|13|0|23|59,,天工开物 一扫天下,去充值,11,0,0,Banner_Activity09_Tex,Desc148955_Tex,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,这个活动很好玩,200000
426,4,500004,2018|6|11|0|0|0,10079,2018|6|17|0|23|59,,30元惊喜限时大礼,去充值,11,0,0,Banner_Activity08_Tex,Desc150041_Tex,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,这个活动很好玩,200000
427,8,80954,2018|6|18|0|0|0,10079,2018|6|24|0|23|59,,银币招募与战器寻宝额外天运,去招募,14,0,0,Banner_Activity04_Tex,Desc149003_Tex,0,0,0,1,2,1000,0,0,0,0,0,13,10,0,NULL,NULL,NULL,NULL,NULL,NULL,活动期间银币招募[ffd177]金卡[-]以及[ffd177]五星武将印[-]概率提升[ffd177]3倍[-]，获得天运[ffd177]双倍[-]\n战器10连招募可获得[ffd177]100点[-]天运\n战器单次招募可获得[ffd177]10点[-]天运,200000
428,4,500003,2018|6|18|0|0|0,4319,2018|6|20|0|23|59,,天工开物 一扫天下,去充值,11,0,0,Banner_Activity09_Tex,Desc150043_Tex,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,这个活动很好玩,200000
429,4,500004,2018|6|18|0|0|0,10079,2018|6|24|0|23|59,,30元惊喜限时大礼,去充值,11,0,0,Banner_Activity08_Tex,Desc150044_Tex,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,这个活动很好玩,200000
430,8,500001,2018|6|25|0|0|0,10079,2018|7|1|0|23|59,,天降豪礼 天运招募,去招募,14,0,0,Banner_Activity01_Tex,Desc150047_Tex,0,0,0,1,3,0,0,0,0,0,0,28,1,0,NULL,NULL,NULL,NULL,NULL,NULL,活动期间，每招募天运招募[ffd177]1[-]次，可获得[ffd177]传承券*1[-],200000
431,8,500002,2018|6|25|0|0|0,10079,2018|7|1|0|23|59,,四国招募 天运双倍,去招募,14,0,0,Banner_Activity03_Tex,Desc149004_Tex,0,0,0,1,0,0,0,4,5,6,7,13,30,0,NULL,NULL,NULL,NULL,NULL,NULL,活动期间，四国精选招募产出[ffd177]金卡[-]以及[ffd177]升星印[-]概率提升[ffd177]3倍[-]，获得的天运[ffd177]双倍[-],200000
432,4,500003,2018|6|25|0|0|0,4319,2018|6|27|0|23|59,,天工开物 一扫天下,去充值,11,0,0,Banner_Activity09_Tex,Desc150045_Tex,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,这个活动很好玩,200000
433,4,500004,2018|6|25|0|0|0,10079,2018|7|1|0|23|59,,30元惊喜限时大礼,去充值,11,0,0,Banner_Activity08_Tex,Desc150046_Tex,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,这个活动很好玩,200000
434,4,500005,2018|6|23|0|0|0,33119,2018|7|15|0|23|59,,世界杯特别庆典,,14,0,0,Banner_ActivitySJB_Tex,DescSJB_Tex,0,0,0,0,0,0,0,0,0,0,0,0,0,0,活动期间内完成普通关卡，精英关卡，免费抽卡，天运抽卡，国家抽卡将会获得限定卡牌“世界杯卡”，收集一定数量后，可在世界杯商店中兑换海量道具~主公们快来看看吧！,NULL,NULL,NULL,NULL,NULL,这个活动很好玩,200000
435,8,80954,2018|7|2|0|0|0,10079,2018|7|8|0|23|59,,银币招募与战器寻宝额外天运,去招募,14,0,0,Banner_Activity04_Tex,Desc149003_Tex,0,0,0,1,2,1000,0,0,0,0,0,13,10,0,NULL,NULL,NULL,NULL,NULL,NULL,活动期间银币招募[ffd177]金卡[-]以及[ffd177]五星武将印[-]概率提升[ffd177]3倍[-]，获得天运[ffd177]双倍[-]\n战器10连招募可获得[ffd177]100点[-]天运\n战器单次招募可获得[ffd177]10点[-]天运,200000
436,4,500004,2018|7|2|0|0|0,10079,2018|7|8|0|23|59,,30元惊喜限时大礼,去充值,11,0,0,Banner_Activity08_Tex,Desc150049_Tex,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,这个活动很好玩,200000
437,4,500003,2018|7|2|0|0|0,4319,2018|7|4|0|23|59,,天工开物 一扫天下,去充值,11,0,0,Banner_Activity09_Tex,Desc150048_Tex,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,这个活动很好玩,200000
438,8,500001,2018|7|9|0|0|0,10079,2018|7|15|0|23|59,,天降豪礼 天运招募,去招募,14,0,0,Banner_Activity01_Tex,Desc150053_Tex,0,0,0,1,3,0,0,0,0,0,0,19,2,0,NULL,NULL,NULL,NULL,NULL,NULL,活动期间，每招募天运招募[ffd177]1[-]次，可获得[ffd177]玄武石*2[-],200000
439,4,80820,2018|7|13|0|0|0,4319,2018|7|15|0|23|59,,百草权舆 青龙圣石,,0,0,0,Banner_Activity07_Tex,Desc150050_Tex,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,这个活动很好玩,200000
440,4,500004,2018|7|9|0|0|0,10079,2018|7|15|0|23|59,,30元惊喜限时大礼,去充值,11,0,0,Banner_Activity08_Tex,Desc150051_Tex,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,这个活动很好玩,200000
441,4,500003,2018|7|9|0|0|0,4319,2018|7|11|0|23|59,,天工开物 一扫天下,去充值,11,0,0,Banner_Activity09_Tex,Desc150052_Tex,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,这个活动很好玩,200000
442,8,500002,2018|7|9|0|0|0,10079,2018|7|15|0|23|59,,四国招募 天运双倍,去招募,14,0,0,Banner_Activity03_Tex,Desc149004_Tex,0,0,0,1,0,0,0,4,5,6,7,13,30,0,NULL,NULL,NULL,NULL,NULL,NULL,活动期间，四国精选招募产出[ffd177]金卡[-]以及[ffd177]升星印[-]概率提升[ffd177]3倍[-]，获得的天运[ffd177]双倍[-],200000
