编号,"表现类型（1,对话;2,信件;3,图片）",NPCID(对话头像填路径/邮件头像直接填ID),事件图片名,事件特效类型(0无1火2雨3群殴),事件触发Icon,音效路径,音效延时,事件描述(对话框内容/事件描述),"触发的表现(对应本表ID列,用于下一步的表现,0为事件结束)",选项1内容,选项2内容,选项3内容
102032,3,0,Event02_Tex,3,icon_event01_tex,null,0,您在本区域的声望增长了50点！\n\n※使用声望可在国库中兑换武将专属战器碎片。,0,null,null,null
102041,3,0,Event06_Tex,3,icon_event01_tex,null,0,夭寿啦！你在单挑中战胜了吕布！并且气势如虹地赢下了比武大会！,102043,null,null,null
102043,3,0,Event02_Tex,3,icon_event01_tex,null,0,您在本区域的声望增长了70点！\n\n※使用声望可在国库中兑换武将专属战器碎片。,0,null,null,null
102042,3,0,Event06_Tex,3,icon_event01_tex,null,0,吕布毫无悬念地击败了你……你大受打击，退出了这场比武大赛……什么都没得到……,0,null,null,null
102051,3,0,Event06_Tex,3,icon_event01_tex,null,0,吕布毫无悬念地击败了你，你大受打击。好心的百姓给你送来了伤痛药，下次再努力吧！,102052,null,null,null
102052,3,0,Event02_Tex,3,icon_event01_tex,null,0,您在本区域的声望增长了50点！\n\n※使用声望可在国库中兑换武将专属战器碎片。,0,null,null,null
103011,3,0,Event03_Tex,3,icon_event01_tex,null,0,城里处处张贴起了皇榜，献帝准备在荆州举办一场比武大会，来决出谁才是真正的三国第一武将！！,0,没兴趣……,果然还是没兴趣……,null
103021,1,npc/icon/npc302,null,3,icon_event01_tex,null,0,张让：\n没兴趣你过来围观什么！！拿了纪念品赶紧走吧！,103022,null,null,null
103022,3,0,Event02_Tex,3,icon_event01_tex,null,0,您在本区域的声望增长了20点！\n\n※使用声望可在国库中兑换武将专属战器碎片。,0,null,null,null
103031,1,npc/icon/npc303,null,3,icon_event01_tex,null,0,何进：\n哎哎哎！买定离手买定离手！谁是这一届的冠军！买定离手啊！！,103032,null,null,null
103032,1,npc/icon/npc303,null,3,icon_event01_tex,null,0,何进：\n唉，你要下一注吗？,0,那我就……,胡闹！聚众赌博，该当何罪！,null
103041,3,0,Event06_Tex,3,icon_event01_tex,null,0,虽然没有参加比武大会，但是你居然因为押对了冠军而得到了一笔丰厚的奖金！愉悦！,103043,null,null,null
103043,3,0,Event02_Tex,3,icon_event01_tex,null,0,您在本区域的声望增长了30点！\n\n※使用声望可在国库中兑换武将专属战器碎片。,0,null,null,null
103042,3,0,Event06_Tex,3,icon_event01_tex,null,0,你所投注的那位武将，在第一轮就被淘汰了……你什么都没得到……,0,null,null,null
103051,3,0,Event02_Tex,3,icon_event01_tex,null,0,我怎么能参与这种聚众赌博的事呢！！还是离开这里，去往更远的远方吧……,103052,null,null,null
103052,3,0,Event02_Tex,3,icon_event01_tex,null,0,您在本区域的声望增长了20点！\n\n※使用声望可在国库中兑换武将专属战器碎片。,0,null,null,null
104011,3,0,Event03_Tex,3,icon_event01_tex,null,0,城里处处张贴起了皇榜，献帝准备在荆州举办一场比武大会，来决出谁才是真正的三国第一武将！！,0,好机会！我要参加！,哼，野蛮人的比赛！,null
104021,3,0,Event06_Tex,3,icon_event01_tex,null,0,比武大会上人才济济，你第一轮就被淘汰了，下次再努力吧……,104022,null,null,null
104022,1,npc/icon/npc302,null,3,icon_event01_tex,null,0,张让：\n别难过，下次再来吧，这是你的纪念奖。,104024,null,null,null
104024,3,0,Event02_Tex,3,icon_event01_tex,null,0,您在本区域的声望增长了50点！\n\n※使用声望可在国库中兑换武将专属战器碎片。,0,null,null,null
104023,3,0,Event06_Tex,3,icon_event01_tex,null,0,比武大会上人才济济，你第一轮就被淘汰了，下次再努力吧……,0,null,null,null
104031,3,0,Event02_Tex,3,icon_event01_tex,null,0,虽然比武大会很热闹，不过这跟我又有什么关系，我还是继续赶路吧！星辰大海才是我的梦想！,104032,null,null,null
104032,3,0,Event02_Tex,3,icon_event01_tex,null,0,您在本区域的声望增长了70点！\n\n※使用声望可在国库中兑换武将专属战器碎片。,0,null,null,null
105011,3,0,Event03_Tex,3,icon_event01_tex,null,0,城里处处张贴起了皇榜，献帝准备在荆州举办一场比武大会，来决出谁才是真正的三国第一武将！！,0,证明自己的机会来了！,祖国尚未统一……,null
105021,3,0,Event06_Tex,3,icon_event01_tex,null,0,比武大会上人才济济，你好不容易进了决赛，却在决赛里被打了3:0，下次再努力吧……,105022,null,null,null
105022,1,npc/icon/npc302,null,3,icon_event01_tex,null,0,张让：\n别难过，下次再来吧，这是你的纪念奖。,105024,null,null,null
105024,3,0,Event02_Tex,3,icon_event01_tex,null,0,您在本区域的声望增长了30点！\n\n※使用声望可在国库中兑换武将专属战器碎片。,0,null,null,null
105023,3,0,Event06_Tex,3,icon_event01_tex,null,0,比武大会上人才济济，你好不容易进了决赛，却在决赛里被打了3:0，下次再努力吧……,0,null,null,null
105031,3,0,Event02_Tex,3,icon_event01_tex,null,0,比武大会不是我的理想，平定乱世才是我的目标！主公，我要继续远行了！,105032,null,null,null
105032,3,0,Event02_Tex,3,icon_event01_tex,null,0,您在本区域的声望增长了20点！\n\n※使用声望可在国库中兑换武将专属战器碎片。,0,null,null,null
106011,3,0,Event03_Tex,3,icon_event01_tex,null,0,城里处处张贴起了皇榜，献帝准备在荆州举办一场比武大会，来决出谁才是真正的三国第一武将！！,0,看我的！,区区比武大会何须我亲自出场！,null
106021,3,0,Event06_Tex,3,icon_event01_tex,null,0,比武大会上人才济济，你半决赛就被淘汰了，下次再努力吧……,106022,null,null,null
106022,1,npc/icon/npc302,null,3,icon_event01_tex,null,0,张让：\n别难过，下次再来吧，这是你的纪念奖。,106024,null,null,null
106024,3,0,Event02_Tex,3,icon_event01_tex,null,0,您在本区域的声望增长了50点！\n\n※使用声望可在国库中兑换武将专属战器碎片。,0,null,null,null
106023,3,0,Event06_Tex,3,icon_event01_tex,null,0,比武大会上人才济济，你半决赛就被淘汰了，下次再努力吧……,0,null,null,null
106031,1,npc/icon/npc303,null,3,icon_event01_tex,null,0,何进：\n哎哎哎，我们这儿要公平竞赛，代打可不行啊！！,0,好吧，爷自己打！,算了算了，爷忙着呢！,null
106032,3,0,Event06_Tex,3,icon_event01_tex,null,0,因为参加比武的人很弱，你派出去的武将居然获得了第一名！可是因为被组委会发现代打而扣除了全部奖金……,0,null,null,null
106041,3,0,Event06_Tex,3,icon_event01_tex,null,0,经过了激烈的战斗，你成功地夺得了比武大会的冠军！,106042,null,null,null
106042,1,npc/icon/npc302,null,3,icon_event01_tex,null,0,张让：\n大人真是威武！这是您的奖品，请收下！,106043,null,null,null
106043,3,0,Event02_Tex,3,icon_event01_tex,null,0,您在本区域的声望增长了70点！\n\n※使用声望可在国库中兑换武将专属战器碎片。,0,null,null,null
106051,3,0,Event06_Tex,3,icon_event01_tex,null,0,虽然比武大会很热闹，不过这跟我又有什么关系，我还是继续赶路吧！星辰大海才是我的梦想！,106052,null,null,null
106052,3,0,Event02_Tex,3,icon_event01_tex,null,0,您在本区域的声望增长了50点！\n\n※使用声望可在国库中兑换武将专属战器碎片。,0,null,null,null
107011,3,0,Event03_Tex,3,icon_event01_tex,null,0,城里处处张贴起了皇榜，献帝准备在荆州举办一场比武大会，来决出谁才是真正的三国第一武将！！,0,我要参加！！,我必须要参加！！,null
107021,3,0,Event06_Tex,3,icon_event01_tex,null,0,经过了激烈的战斗，你成功地夺得了比武大会的冠军！,107022,null,null,null
107022,1,npc/icon/npc302,null,3,icon_event01_tex,null,0,张让：\n这是您的奖品，请收下！最近国库紧张，奖金不多请见谅啊~,107024,null,null,null
107024,3,0,Event02_Tex,3,icon_event01_tex,null,0,您在本区域的声望增长了20点！\n\n※使用声望可在国库中兑换武将专属战器碎片。,0,null,null,null
107023,3,0,Event06_Tex,3,icon_event01_tex,null,0,你好不容易挺进了决赛，却因为寒流来袭身体不佳被3:1干掉了，没事，下一届再努力！,0,null,null,null
107031,3,0,Event06_Tex,3,icon_event01_tex,null,0,由于赛会组织不力，在比赛中发生了严重斗殴事件，比赛被迫中止……,107032,null,null,null
107032,1,npc/icon/npc302,null,3,icon_event01_tex,null,0,张让：\n真是对不住各位将军了，这是补偿金，还请大家息怒……息怒……,107034,null,null,null
107034,3,0,Event02_Tex,3,icon_event01_tex,null,0,您在本区域的声望增长了30点！\n\n※使用声望可在国库中兑换武将专属战器碎片。,0,null,null,null
107033,3,0,Event06_Tex,3,icon_event01_tex,null,0,你好不容易挺进了决赛，却因为寒流来袭身体不佳被3:1干掉了，没事，下一届再努力！,0,null,null,null
108011,3,0,Event03_Tex,3,icon_event01_tex,null,0,城里处处张贴起了皇榜，献帝准备在荆州举办一场比武大会，来决出谁才是真正的三国第一武将！！,0,我要参加！！,我必须要参加！！,null
108021,3,0,Event06_Tex,3,icon_event01_tex,null,0,你正准备要参加比赛，此时突然出现了……,108022,null,null,null
108022,1,npc/icon/npc1014,null,3,icon_event01_tex,null,0,诡异的道士：\n将军，何必整天打打杀杀的，不如与我一同修道，飞升指日可待啊！,0,………………,我还是比较喜欢打打杀杀！,null
108023,3,0,Event06_Tex,3,icon_event01_tex,null,0,比武大会上人才济济，你半决赛就被淘汰了，下次再努力吧……,0,null,null,null
108024,3,0,Event02_Tex,3,icon_event01_tex,null,0,你突然悟出了人生的真谛，与道士远走深山，飞升的时刻即将到来……,108025,null,null,null
108025,3,0,Event02_Tex,3,icon_event01_tex,null,0,您在本区域的声望增长了50点！\n\n※使用声望可在国库中兑换武将专属战器碎片。,0,null,null,null
108041,3,0,Event06_Tex,3,icon_event01_tex,null,0,经过了激烈的战斗，你成功地夺得了比武大会的冠军！,108042,null,null,null
108042,1,npc/icon/npc302,null,3,icon_event01_tex,null,0,张让：\n大人真是威武！这是您的奖品，请收下！,108044,null,null,null
108044,3,0,Event02_Tex,3,icon_event01_tex,null,0,您在本区域的声望增长了70点！\n\n※使用声望可在国库中兑换武将专属战器碎片。,0,null,null,null
108043,3,0,Event06_Tex,3,icon_event01_tex,null,0,比武大会上人才济济，你半决赛就被淘汰了，下次再努力吧……,0,null,null,null
108051,3,0,Event06_Tex,3,icon_event01_tex,null,0,经过了激烈的战斗，你成功地夺得了比武大会的冠军！,108052,null,null,null
108052,1,npc/icon/npc302,null,3,icon_event01_tex,null,0,张让：\n大人真是威武！老奴从来没见过这么精彩的战斗！！这是您的奖品，请收下！,108053,null,null,null
108053,3,0,Event02_Tex,3,icon_event01_tex,null,0,您在本区域的声望增长了50点！\n\n※使用声望可在国库中兑换武将专属战器碎片。,0,null,null,null
109011,3,0,Event03_Tex,0,icon_event11_tex,null,0,为了庆祝皇帝平安抵达荆州，居民们纷纷走上街头庆祝！荆州城内一片热闹！,109012,null,null,null
109012,3,0,Event02_Tex,0,icon_event11_tex,null,0,您在本区域的声望增长了20点！\n\n※使用声望可在国库中兑换武将专属战器碎片。,0,null,null,null
110011,3,0,Event03_Tex,0,icon_event11_tex,null,0,为了庆祝天子亲军的成立，居民们纷纷走上街头庆祝！！荆州城内一片热闹，连邻村的人也跑来一睹主公的风采。,110012,null,null,null
110012,1,npc/icon/npc304,null,0,icon_event11_tex,null,0,王威风：\n哈哈哈哈，大家随便吃随便吃！今天我请客！！天子亲军可是我女儿建立的呀，哈哈哈哈哈！！,110013,null,null,null
110013,3,0,Event02_Tex,0,icon_event11_tex,null,0,您在本区域的声望增长了20点！\n\n※使用声望可在国库中兑换武将专属战器碎片。,0,null,null,null
111011,3,0,Event03_Tex,0,icon_event11_tex,null,0,为了庆祝黄巾军的覆灭，居民们纷纷走上街头庆祝！整个中原地区都仿佛在过年一般！,111012,null,null,null
111012,3,0,Event02_Tex,0,icon_event11_tex,null,0,您在本区域的声望增长了20点！\n\n※使用声望可在国库中兑换武将专属战器碎片。,0,null,null,null
112011,3,0,Event03_Tex,0,icon_event11_tex,null,0,为了庆祝国贼董卓被打倒，居民们纷纷走上街头庆祝，城市里张灯结彩，非常热闹。,112012,null,null,null
112012,3,0,Event02_Tex,0,icon_event11_tex,null,0,您在本区域的声望增长了20点！\n\n※使用声望可在国库中兑换武将专属战器碎片。,0,null,null,null
113011,3,0,Event03_Tex,0,icon_event11_tex,null,0,为了庆祝暴虐的吕布被斩杀，居民们纷纷走上街头庆祝，虽然说是庆祝……怎么感觉有些人不太高兴呢……,113012,null,null,null
113012,1,npc/icon/npc1001,null,0,icon_event11_tex,null,0,目光悲伤的男性甲：\n呜呜呜，我的貂蝉美人……,113013,null,null,null
113013,1,npc/icon/npc1015,null,0,icon_event11_tex,null,0,目光悲伤的男性乙：\n呜呜呜，貂蝉美人死了，我也不想活了……,113014,null,null,null
113014,3,0,Event02_Tex,0,icon_event11_tex,null,0,您在本区域的声望增长了20点！\n\n※使用声望可在国库中兑换武将专属战器碎片。,0,null,null,null
114011,3,0,Event02_Tex,0,icon_event11_tex,null,0,听闻火烧洛阳的消息之后，人们纷纷自发地走上街头为遇难的民众祈祷，并且抗议董卓的残暴行为。,114012,null,null,null
114012,1,npc/icon/npc3001,null,0,icon_event11_tex,null,0,民众：\n主公大人，请一定要铲除董卓，为死去的人们报仇啊！！,114013,null,null,null
114013,3,0,Event02_Tex,0,icon_event11_tex,null,0,您在本区域的声望增长了20点！\n\n※使用声望可在国库中兑换武将专属战器碎片。,0,null,null,null
115011,1,npc/icon/npc3001,null,3,icon_event21_tex,null,0,村民：\n大人啊，最近村里来了一群山贼，烧杀掳掠无恶不作，我们的粮食都快被他们抢光了，快帮我们出头吧！,0,岂有此理！我这就去！,给点钱安慰一下他们吧……,null
115021,3,0,Event06_Tex,3,icon_event21_tex,null,0,经过一番打斗，你顺利带兵剿灭了山贼！村民们纷纷向你表示感谢！,115022,null,null,null
115022,1,npc/icon/npc3001,null,3,icon_event21_tex,null,0,村民：\n感谢大人！山贼没了，我们再也不用担心家里遭劫了！,115023,null,null,null
115023,1,npc/icon/npc3001,null,3,icon_event21_tex,null,0,村民：\n这是大伙儿的一点心意，请一定要收下！,0,null,null,null
115024,3,0,Event02_Tex,3,icon_event21_tex,null,0,以你的武力，根本打不过山贼，被山贼嘲笑了一番之后，你灰溜溜地离开了村庄……,115025,null,null,null
115025,3,0,Event02_Tex,3,icon_event21_tex,null,0,您在本区域的声望增长了15点！\n\n※使用声望可在国库中兑换武将专属战器碎片。,0,null,null,null
115031,1,npc/icon/npc3001,null,3,icon_event21_tex,null,0,村民：\n谢谢大人！大人您真是太好心了！,115032,null,null,null
115032,1,npc/icon/npc3001,null,3,icon_event21_tex,null,0,村民：\n（可是山贼如果再来的话怎么办……）,115033,null,null,null
115033,3,0,Event02_Tex,3,icon_event21_tex,null,0,您在本区域的声望增长了20点！\n\n※使用声望可在国库中兑换武将专属战器碎片。,0,null,null,null
116011,1,npc/icon/npc3001,null,3,icon_event21_tex,null,0,村民：\n大人啊，最近村里来了一群山贼，烧杀掳掠无恶不作，我们的粮食都快被他们抢光了，快帮我们出头吧！,0,岂有此理！我这就去！,给点钱安慰一下他们吧……,null
116021,3,0,Event06_Tex,3,icon_event21_tex,null,0,经过一番打斗，你顺利带兵剿灭了山贼！村民们纷纷向你表示感谢！,116022,null,null,null
116022,1,npc/icon/npc3001,null,3,icon_event21_tex,null,0,村民：\n感谢大人！山贼没了，我们再也不用担心家里遭劫了！,116023,null,null,null
116023,1,npc/icon/npc3001,null,3,icon_event21_tex,null,0,村民：\n这是大伙儿的一点心意，请一定要收下！,0,null,null,null
116024,3,0,Event02_Tex,3,icon_event21_tex,null,0,以你的武力，根本打不过山贼，被山贼嘲笑了一番之后，你灰溜溜地离开了村庄……,116025,null,null,null
116025,3,0,Event02_Tex,3,icon_event21_tex,null,0,您在本区域的声望增长了15点！\n\n※使用声望可在国库中兑换武将专属战器碎片。,0,null,null,null
116031,1,npc/icon/npc3001,null,3,icon_event21_tex,null,0,村民：\n谢谢大人！大人您真是太好心了！,116032,null,null,null
116032,1,npc/icon/npc3001,null,3,icon_event21_tex,null,0,村民：\n（可是山贼如果再来的话怎么办……）,116033,null,null,null
116033,3,0,Event02_Tex,3,icon_event21_tex,null,0,您在本区域的声望增长了20点！\n\n※使用声望可在国库中兑换武将专属战器碎片。,0,null,null,null
117011,1,npc/icon/npc3001,null,3,icon_event21_tex,null,0,村民：\n大人啊，最近村里来了一群山贼，烧杀掳掠无恶不作，我们的粮食都快被他们抢光了，快帮我们出头吧！,0,岂有此理！我这就去！,给点钱安慰一下他们吧……,null
117021,3,0,Event06_Tex,3,icon_event21_tex,null,0,经过一番打斗，你顺利带兵剿灭了山贼！村民们纷纷向你表示感谢！,117022,null,null,null
117022,1,npc/icon/npc3001,null,3,icon_event21_tex,null,0,村民：\n感谢大人！山贼没了，我们再也不用担心家里遭劫了！,117023,null,null,null
117023,1,npc/icon/npc3001,null,3,icon_event21_tex,null,0,村民：\n这是大伙儿的一点心意，请一定要收下！,117025,null,null,null
117025,3,0,Event02_Tex,3,icon_event21_tex,null,0,您在本区域的声望增长了30点！\n\n※使用声望可在国库中兑换武将专属战器碎片。,0,null,null,null
117024,3,0,Event02_Tex,3,icon_event21_tex,null,0,以你的武力，还打不过山贼，被山贼嘲笑了一番之后，你灰溜溜地离开了村庄……,0,null,null,null
117031,1,npc/icon/npc3001,null,3,icon_event21_tex,null,0,村民：\n谢谢大人！大人您真是太好心了！,117032,null,null,null
117032,1,npc/icon/npc3001,null,3,icon_event21_tex,null,0,村民：\n（可是山贼如果再来的话怎么办……）,117033,null,null,null
117033,3,0,Event02_Tex,3,icon_event21_tex,null,0,您在本区域的声望增长了20点！\n\n※使用声望可在国库中兑换武将专属战器碎片。,0,null,null,null
118011,1,npc/icon/npc3001,null,3,icon_event21_tex,null,0,村民：\n大人啊，最近村里来了一群山贼，烧杀掳掠无恶不作，我们的粮食都快被他们抢光了，快帮我们出头吧！,0,岂有此理！我这就去！,给点钱安慰一下他们吧……,null
118021,3,0,Event06_Tex,3,icon_event21_tex,null,0,经过一番打斗，你顺利带兵剿灭了山贼！村民们纷纷向你表示感谢！,118022,null,null,null
118022,1,npc/icon/npc3001,null,3,icon_event21_tex,null,0,村民：\n感谢大人！山贼没了，我们再也不用担心家里遭劫了！,118023,null,null,null
118023,1,npc/icon/npc3001,null,3,icon_event21_tex,null,0,村民：\n这是大伙儿的一点心意，请一定要收下！,118025,null,null,null
118025,3,0,Event02_Tex,3,icon_event21_tex,null,0,您在本区域的声望增长了30点！\n\n※使用声望可在国库中兑换武将专属战器碎片。,0,null,null,null
118024,3,0,Event02_Tex,3,icon_event21_tex,null,0,以你的武力，还打不过山贼，被山贼嘲笑了一番之后，你灰溜溜地离开了村庄……,0,null,null,null
118031,1,npc/icon/npc3001,null,3,icon_event21_tex,null,0,村民：\n谢谢大人！大人您真是太好心了！,118032,null,null,null
118032,1,npc/icon/npc3001,null,3,icon_event21_tex,null,0,村民：\n（可是山贼如果再来的话怎么办……）,118033,null,null,null
118033,3,0,Event02_Tex,3,icon_event21_tex,null,0,您在本区域的声望增长了20点！\n\n※使用声望可在国库中兑换武将专属战器碎片。,0,null,null,null
119011,1,npc/icon/npc3001,null,3,icon_event21_tex,null,0,村民：\n大人啊，最近村里来了一群山贼，烧杀掳掠无恶不作，我们的粮食都快被他们抢光了，快帮我们出头吧！,0,岂有此理！我这就去！,不能蛮干，要智取！,null
119021,3,0,Event06_Tex,3,icon_event21_tex,null,0,经过一番打斗，你顺利带兵剿灭了山贼！村民们纷纷向你表示感谢！,119022,null,null,null
119022,1,npc/icon/npc3001,null,3,icon_event21_tex,null,0,村民：\n感谢大人！山贼没了，我们再也不用担心家里遭劫了！,119023,null,null,null
119023,1,npc/icon/npc3001,null,3,icon_event21_tex,null,0,村民：\n这是大伙儿的一点心意，请一定要收下！,0,null,null,null
119024,3,0,Event02_Tex,3,icon_event21_tex,null,0,以你的武力，根本打不过山贼，被山贼嘲笑了一番之后，你灰溜溜地离开了村庄……,119025,null,null,null
119025,3,0,Event02_Tex,3,icon_event21_tex,null,0,您在本区域的声望增长了50点！\n\n※使用声望可在国库中兑换武将专属战器碎片。,0,null,null,null
119031,3,0,Event03_Tex,3,icon_event21_tex,null,0,你带领村民用计谋狠狠地惩罚了山贼，并且顺利夺回了财产。,119032,null,null,null
119032,1,npc/icon/npc1016,null,3,icon_event21_tex,null,0,山贼：\n饶命！饶命！小的知错了！！这些宝物都给你们！！放了我吧！,119034,null,null,null
119034,3,0,Event02_Tex,3,icon_event21_tex,null,0,您在本区域的声望增长了70点！\n\n※使用声望可在国库中兑换武将专属战器碎片。,0,null,null,null
119033,3,0,Event05_Tex,3,icon_event21_tex,null,0,道高一尺，魔高一丈。你在智商上完全被山贼碾压了……你无颜面对村民，灰溜溜地离开了……,0,null,null,null
120011,1,npc/icon/npc3001,null,3,icon_event21_tex,null,0,村民：\n大人啊，最近村里来了一群山贼，烧杀掳掠无恶不作，我们的粮食都快被他们抢光了，快帮我们出头吧！,0,岂有此理！我这就去！,不能蛮干，要智取！,null
120021,3,0,Event06_Tex,3,icon_event21_tex,null,0,经过一番打斗，你顺利带兵剿灭了山贼！村民们纷纷向你表示感谢！,120022,null,null,null
120022,1,npc/icon/npc3001,null,3,icon_event21_tex,null,0,村民：\n感谢大人！山贼没了，我们再也不用担心家里遭劫了！,120023,null,null,null
120023,1,npc/icon/npc3001,null,3,icon_event21_tex,null,0,村民：\n这是大伙儿的一点心意，请一定要收下！,0,null,null,null
120024,3,0,Event02_Tex,3,icon_event21_tex,null,0,以你的武力，根本打不过山贼，被山贼嘲笑了一番之后，你灰溜溜地离开了村庄……,120025,null,null,null
120025,3,0,Event02_Tex,3,icon_event21_tex,null,0,您在本区域的声望增长了50点！\n\n※使用声望可在国库中兑换武将专属战器碎片。,0,null,null,null
120031,3,0,Event03_Tex,3,icon_event21_tex,null,0,你带领村民用计谋狠狠地惩罚了山贼，并且顺利夺回了财产。,120032,null,null,null
120032,1,npc/icon/npc1016,null,3,icon_event21_tex,null,0,山贼：\n饶命！饶命！小的知错了！！这些宝物都给你们！！放了我吧！,120034,null,null,null
120034,3,0,Event02_Tex,3,icon_event21_tex,null,0,您在本区域的声望增长了70点！\n\n※使用声望可在国库中兑换武将专属战器碎片。,0,null,null,null
120033,3,0,Event05_Tex,3,icon_event21_tex,null,0,道高一尺，魔高一丈。你在智商上完全被山贼碾压了……你无颜面对村民，灰溜溜地离开了……,0,null,null,null
121011,1,npc/icon/npc3001,null,3,icon_event21_tex,null,0,村民：\n大人啊，最近村里来了一群山贼，烧杀掳掠无恶不作，我们的粮食都快被他们抢光了，快帮我们出头吧！,0,岂有此理！我这就去！,不能蛮干，要智取！,null
121021,3,0,Event06_Tex,3,icon_event21_tex,null,0,经过一番打斗，你顺利带兵剿灭了山贼！村民们纷纷向你表示感谢！,121022,null,null,null
121022,1,npc/icon/npc3001,null,3,icon_event21_tex,null,0,村民：\n感谢大人！山贼没了，我们再也不用担心家里遭劫了！,121023,null,null,null
121023,1,npc/icon/npc3001,null,3,icon_event21_tex,null,0,村民：\n这是大伙儿的一点心意，请一定要收下！,121025,null,null,null
121025,3,0,Event02_Tex,3,icon_event21_tex,null,0,您在本区域的声望增长了70点！\n\n※使用声望可在国库中兑换武将专属战器碎片。,0,null,null,null
121024,3,0,Event02_Tex,3,icon_event21_tex,null,0,以你的武力，根本打不过山贼，被山贼嘲笑了一番之后，你灰溜溜地离开了村庄……,0,null,null,null
121031,3,0,Event03_Tex,3,icon_event21_tex,null,0,你带领村民用计谋狠狠地惩罚了山贼，并且顺利夺回了财产。,121032,null,null,null
121032,1,npc/icon/npc1016,null,3,icon_event21_tex,null,0,山贼：\n饶命！饶命！小的知错了！！这些宝物都给你们！！放了我吧！,0,null,null,null
121033,3,0,Event05_Tex,3,icon_event21_tex,null,0,道高一尺，魔高一丈。你在智商上完全被山贼碾压了……你无颜面对村民，灰溜溜地离开了……,121034,null,null,null
121034,3,0,Event02_Tex,3,icon_event21_tex,null,0,您在本区域的声望增长了50点！\n\n※使用声望可在国库中兑换武将专属战器碎片。,0,null,null,null
122011,1,npc/icon/npc3001,null,3,icon_event21_tex,null,0,村民：\n大人啊，最近村里来了一群山贼，烧杀掳掠无恶不作，我们的粮食都快被他们抢光了，快帮我们出头吧！,0,岂有此理！我这就去！,不能蛮干，要智取！,null
122021,3,0,Event06_Tex,3,icon_event21_tex,null,0,经过一番打斗，你顺利带兵剿灭了山贼！村民们纷纷向你表示感谢！,122022,null,null,null
122022,1,npc/icon/npc3001,null,3,icon_event21_tex,null,0,村民：\n感谢大人！山贼没了，我们再也不用担心家里遭劫了！,122023,null,null,null
122023,1,npc/icon/npc3001,null,3,icon_event21_tex,null,0,村民：\n这是大伙儿的一点心意，请一定要收下！,122025,null,null,null
122025,3,0,Event02_Tex,3,icon_event21_tex,null,0,您在本区域的声望增长了70点！\n\n※使用声望可在国库中兑换武将专属战器碎片。,0,null,null,null
122024,3,0,Event02_Tex,3,icon_event21_tex,null,0,以你的武力，根本打不过山贼，被山贼嘲笑了一番之后，你灰溜溜地离开了村庄……,0,null,null,null
122031,3,0,Event03_Tex,3,icon_event21_tex,null,0,你带领村民用计谋狠狠地惩罚了山贼，并且顺利夺回了财产。,122032,null,null,null
122032,1,npc/icon/npc1016,null,3,icon_event21_tex,null,0,山贼：\n饶命！饶命！小的知错了！！这些宝物都给你们！！放了我吧！,0,null,null,null
122033,3,0,Event05_Tex,3,icon_event21_tex,null,0,道高一尺，魔高一丈。你在智商上完全被山贼碾压了……你无颜面对村民，灰溜溜地离开了……,122034,null,null,null
122034,3,0,Event02_Tex,3,icon_event21_tex,null,0,您在本区域的声望增长了50点！\n\n※使用声望可在国库中兑换武将专属战器碎片。,0,null,null,null
