序号,描述
64,在雨天，火焰伤害效果会被减弱。
65,大风天气中，毒计的伤害效果会被减弱。
66,雾霾天气中，雷电伤害效果会被减弱。
67,在雨天，战场内部队受到治疗效果会降低。
68,你可以在战争工坊中研制各种机关，在布阵时将他们放置在战场上，在适当的时机，这些机关会起到意想不到的作用。
69,升级陷阱和箭塔所需的杨木和生铁可以从活动【工坊训练营】中得到。
70,【陷阱系机关】可以对敌军造成大量伤害，但是只有在被敌军踩到时才会触发。
71,【箭塔系机关】可以持续对敌军造成伤害，但是可以被敌军攻击和破坏。
72,【炬石陷阱】触发后，在对敌军造成范围伤害的同时，还会降低敌军的士气。
73,【爆炸陷阱】触发后，不仅会对敌军造成大量瞬间单体伤害，同时会在一定时间内持续降低他的兵力。
74,【连弩楼】对射程中的敌军造成的单体伤害较高，但是比较容易被破坏。
75,【投石台】在面对抱团的敌军时，才能发挥出它的全部威力。
76,研发和升星所需的工坊设计图可以在竞技场进阶时获得。
77,公会科技的“精耕细作”等级提高后，能提供更多封地卡魂产出的加成，赶快加入一个重视科技的公会吧！
78,公会科技中的“以战养战”，可以减少掠夺其他玩家封地时所消耗的资源，打家劫舍之必备利器啊！
79,分解武将卡时，主公所在的公会科技中“物尽其用”的等级越高，得到的额外卡魂就越多！
80,公会科技中的“聚沙成塔”可以让主公在公会聚宝盆中每次所领取的基础军令增加！
81,公会的聚宝盆是公会玩家的福利，每天可以领取军令，如果前一天投入军令，更有额外军令可以领取。
82,公会成员界面，成员之间可以互相拜访送军令，每天可以拜访3次，不要浪费机会，记住礼尚往来！
83,公会贡献点是公会成员每日向工会捐赠资源，以及参加公会战所得，可以在公会商店购买一些稀缺物资呢！
84,派遣声望可以在派遣商店里购买武将专属战器的碎片，让吕布拿上方天画戟，而不是木枪。
85,派遣触发任务时，最好斟酌一番再选择，因为有些任务的选择可是会触发后续大型任务的哟。
86,限时开放的“武将擂台”里全都是金卡，只要打赢他几次，他就可以为你所用，何乐而不为呢？
87,“军校擂台”里的银卡将士们相比“武将擂台”里的金卡将士来说，需要挑战的次数更少，挑战难度也小很多！
88,大乱斗讲究的是一个配合，这不是你一个人的战场，与战友并肩携手，奋勇杀敌！
89,大乱斗所奖励的荣誉值可以直接在何进将军的战器库里兑换指定被动的战器，让你下一回可以冲杀的更远！
90,不需要的战器可以通过回收获得相应的通用精华及高级被动精华
91,战器除了可以提供属性加成之外，还能提供被动技能的加成，合适的被动技能往往比高属性更加难得。
92,不要因为游戏而忽视了身边的人，多陪陪他们，据说抽卡时会有幸运值加成哟！
93,不要因为游戏而忽视了身边的人，多陪陪他们，据说抽卡时会有幸运值加成哟！
94,所有的百分比伤害都有上限值，数值为释放者的基础武力值*200*技能百分比。
95,讨伐的通关奖励和通关速度有关哦，通关速度越快，奖励越丰厚！
