必读：此列上线后只能增、删，不能改，否则玩家数据对不上号,月份,天数,奖励1,奖励2,奖励3,特殊标记（0否1是）,奖励4,奖励5,奖励6,奖励7
325,1,28,5|50|1,3|40|1,2|300000|1,0,23|5|1,null,null,null
326,1,29,5|50|1,3|40|1,2|300000|1,0,29|1|1,null,null,null
327,1,30,5|50|1,3|45|1,2|500000|1,1,34|3|1,null,null,null
328,1,31,5|50|1,3|45|1,2|500000|1,0,26|2|1,null,null,null
26,2,1,5|30|1,3|20|1,2|50000|1,0,28|20|1,null,null,null
27,2,2,5|30|1,3|25|1,2|60000|1,0,36|500|1,null,null,null
28,2,3,5|30|1,3|25|1,2|70000|1,0,44|3|1,null,null,null
29,2,4,5|30|1,3|25|1,2|80000|1,0,19|10|1,null,null,null
30,2,5,5|30|1,3|25|1,2|90000|1,1,26|1|1,null,null,null
31,2,6,5|35|1,3|25|1,2|100000|1,0,200|58|200,null,null,null
32,2,7,5|35|1,3|25|1,2|100000|1,0,47|4|1,null,null,null
33,2,8,5|35|1,3|25|1,2|100000|1,0,18|5|1,null,null,null
34,2,9,5|35|1,3|30|1,2|100000|1,0,29|2|1,null,null,null
35,2,10,5|35|1,3|30|1,2|100000|1,1,27|5|1,null,null,null
36,2,11,5|40|1,3|30|1,2|150000|1,0,43|1|1,null,null,null
37,2,12,5|40|1,3|30|1,2|150000|1,0,13|100|1,null,null,null
38,2,13,5|40|1,3|30|1,2|150000|1,1,200|59|3,null,null,null
39,2,14,5|40|1,3|30|1,2|150000|1,0,17|5|1,null,null,null
40,2,15,5|40|1,3|30|1,2|150000|1,1,34|1|1,null,null,null
41,2,16,5|45|1,3|35|1,2|200000|1,0,28|50|1,null,null,null
42,2,17,5|45|1,3|35|1,2|200000|1,0,53|1|1,null,null,null
43,2,18,5|45|1,3|35|1,2|200000|1,1,26|2|1,null,null,null
44,2,19,5|45|1,3|35|1,2|200000|1,0,16|5|1,null,null,null
45,2,20,5|45|1,3|35|1,2|200000|1,0,47|10|1,null,null,null
46,2,21,5|50|1,3|35|1,2|250000|1,0,200|58|500,null,null,null
47,2,22,5|50|1,3|35|1,2|250000|1,0,23|20|1,null,null,null
48,2,23,5|50|1,3|40|1,2|250000|1,1,1|22 1 0|1,5|200|1,null,null
49,2,24,5|50|1,3|40|1,2|250000|1,1,1|322 1 0|1,null,null,null
50,2,25,5|50|1,3|40|1,2|250000|1,1,13|200|1,null,null,null
329,2,26,5|50|1,3|40|1,2|300000|1,1,53|2|1,null,null,null
330,2,27,5|50|1,3|40|1,2|300000|1,1,34|2|1,null,null,null
331,2,28,5|50|1,3|40|1,2|300000|1,1,29|5|1,null,null,null
51,3,1,5|30|1,3|20|1,2|50000|1,0,26|1|1,null,null,null
52,3,2,5|30|1,3|25|1,2|60000|1,1,27|5|1,null,null,null
53,3,3,5|30|1,3|25|1,2|70000|1,1,200|59|2,null,null,null
54,3,4,5|30|1,3|25|1,2|80000|1,0,24|3|1,null,null,null
55,3,5,5|30|1,3|25|1,2|90000|1,0,13|50|1,null,null,null
56,3,6,5|35|1,3|25|1,2|100000|1,0,19|10|1,null,null,null
57,3,7,5|35|1,3|25|1,2|100000|1,0,200|58|100,null,null,null
58,3,8,5|35|1,3|25|1,2|100000|1,0,53|1|1,null,null,null
59,3,9,5|35|1,3|30|1,2|100000|1,1,39|5|1,null,null,null
60,3,10,5|35|1,3|30|1,2|100000|1,0,28|20|1,null,null,null
61,3,11,5|40|1,3|30|1,2|150000|1,0,13|100|1,null,null,null
62,3,12,5|40|1,3|30|1,2|150000|1,0,36|300|1,null,null,null
63,3,13,5|40|1,3|30|1,2|150000|1,0,18|3|1,null,null,null
64,3,14,5|40|1,3|30|1,2|150000|1,0,200|58|200,null,null,null
65,3,15,5|40|1,3|30|1,2|150000|1,1,27|5|1,null,null,null
66,3,16,5|45|1,3|35|1,2|200000|1,0,23|2|1,null,null,null
67,3,17,5|45|1,3|35|1,2|200000|1,0,29|1|1,null,null,null
68,3,18,5|45|1,3|35|1,2|200000|1,0,34|1|1,null,null,null
69,3,19,5|45|1,3|35|1,2|200000|1,0,2|500000|1,null,null,null
70,3,20,5|45|1,3|35|1,2|200000|1,0,200|58|300,null,null,null
71,3,21,5|50|1,3|35|1,2|250000|1,0,16|3|1,null,null,null
72,3,22,5|50|1,3|35|1,2|250000|1,0,23|5|1,null,null,null
73,3,23,5|50|1,3|40|1,2|250000|1,1,34|1|1,null,null,null
74,3,24,5|50|1,3|40|1,2|250000|1,0,28|60|1,null,null,null
75,3,25,5|50|1,3|40|1,2|250000|1,1,1|1 1 0|1,5|200|1,null,null
332,3,26,5|50|1,3|40|1,2|300000|1,1,1|254 1 0|1,null,null,null
333,3,27,5|50|1,3|40|1,2|300000|1,0,18|5|1,null,null,null
334,3,28,5|50|1,3|40|1,2|300000|1,1,23|10|1,null,null,null
335,3,29,5|50|1,3|40|1,2|300000|1,0,29|2|1,null,null,null
336,3,30,5|50|1,3|45|1,2|500000|1,1,34|2|1,null,null,null
337,3,31,5|50|1,3|45|1,2|500000|1,1,26|3|1,null,null,null
76,4,1,5|30|1,3|20|1,2|50000|1,0,39|2|1,null,null,null
77,4,2,5|30|1,3|25|1,2|60000|1,0,13|50|1,null,null,null
78,4,3,5|30|1,3|25|1,2|70000|1,0,26|1|1,null,null,null
79,4,4,5|30|1,3|25|1,2|80000|1,0,2|50000|1,null,null,null
80,4,5,5|30|1,3|25|1,2|90000|1,0,28|10|1,null,null,null
81,4,6,5|35|1,3|25|1,2|100000|1,1,27|5|1,null,null,null
82,4,7,5|35|1,3|25|1,2|100000|1,1,34|1|1,null,null,null
83,4,8,5|35|1,3|25|1,2|100000|1,0,200|58|100,null,null,null
84,4,9,5|35|1,3|30|1,2|100000|1,0,44|2|1,null,null,null
85,4,10,5|35|1,3|30|1,2|100000|1,1,28|50|1,null,null,null
86,4,11,5|40|1,3|30|1,2|150000|1,1,36|300|1,null,null,null
87,4,12,5|40|1,3|30|1,2|150000|1,1,53|1|1,null,null,null
88,4,13,5|40|1,3|30|1,2|150000|1,0,23|5|1,null,null,null
89,4,14,5|40|1,3|30|1,2|150000|1,0,19|10|1,null,null,null
90,4,15,5|40|1,3|30|1,2|150000|1,0,17|5|1,null,null,null
91,4,16,5|45|1,3|35|1,2|200000|1,0,29|2|1,null,null,null
92,4,17,5|45|1,3|35|1,2|200000|1,0,23|1|1,null,null,null
93,4,18,5|45|1,3|35|1,2|200000|1,1,13|200|1,null,null,null
94,4,19,5|45|1,3|35|1,2|200000|1,1,34|1|1,null,null,null
95,4,20,5|45|1,3|35|1,2|200000|1,0,36|300|1,null,null,null
96,4,21,5|50|1,3|35|1,2|250000|1,0,16|3|1,null,null,null
97,4,22,5|50|1,3|35|1,2|250000|1,0,200|59|2,null,null,null
98,4,23,5|50|1,3|40|1,2|250000|1,0,200|58|300,null,null,null
99,4,24,5|50|1,3|40|1,2|250000|1,0,18|5|1,null,null,null
100,4,25,5|50|1,3|40|1,2|250000|1,1,1|26 1 0|1,5|200|1,null,null
338,4,26,5|50|1,3|40|1,2|300000|1,1,1|422 1 0|1,null,null,null
339,4,27,5|50|1,3|40|1,2|300000|1,0,2|500000|1,null,null,null
340,4,28,5|50|1,3|40|1,2|300000|1,0,29|2|1,null,null,null
341,4,29,5|50|1,3|40|1,2|300000|1,1,54|1|1,null,null,null
342,4,30,5|50|1,3|45|1,2|500000|1,1,200|58|500,null,null,null
101,5,1,5|30|1,3|20|1,2|50000|1,0,26|1|1,null,null,null
102,5,2,5|30|1,3|25|1,2|60000|1,0,27|5|1,null,null,null
103,5,3,5|30|1,3|25|1,2|70000|1,1,200|59|2,null,null,null
104,5,4,5|30|1,3|25|1,2|80000|1,0,24|3|1,null,null,null
105,5,5,5|30|1,3|25|1,2|90000|1,0,13|50|1,null,null,null
106,5,6,5|35|1,3|25|1,2|100000|1,0,19|10|1,null,null,null
107,5,7,5|35|1,3|25|1,2|100000|1,0,200|58|100,null,null,null
108,5,8,5|35|1,3|25|1,2|100000|1,1,53|1|1,null,null,null
109,5,9,5|35|1,3|30|1,2|100000|1,0,39|5|1,null,null,null
110,5,10,5|35|1,3|30|1,2|100000|1,0,28|20|1,null,null,null
111,5,11,5|40|1,3|30|1,2|150000|1,0,13|100|1,null,null,null
112,5,12,5|40|1,3|30|1,2|150000|1,0,36|300|1,null,null,null
113,5,13,5|40|1,3|30|1,2|150000|1,0,18|3|1,null,null,null
114,5,14,5|40|1,3|30|1,2|150000|1,0,200|58|200,null,null,null
115,5,15,5|40|1,3|30|1,2|150000|1,0,27|2|1,null,null,null
116,5,16,5|45|1,3|35|1,2|200000|1,0,23|5|1,null,null,null
117,5,17,5|45|1,3|35|1,2|200000|1,1,29|3|1,null,null,null
118,5,18,5|45|1,3|35|1,2|200000|1,0,34|1|1,null,null,null
119,5,19,5|45|1,3|35|1,2|200000|1,0,2|500000|1,null,null,null
120,5,20,5|45|1,3|35|1,2|200000|1,0,200|58|300,null,null,null
121,5,21,5|50|1,3|35|1,2|250000|1,0,16|3|1,null,null,null
122,5,22,5|50|1,3|35|1,2|250000|1,1,23|10|1,null,null,null
123,5,23,5|50|1,3|40|1,2|250000|1,0,34|1|1,null,null,null
124,5,24,5|50|1,3|40|1,2|250000|1,1,28|100|1,null,null,null
125,5,25,5|50|1,3|40|1,2|250000|1,1,1|21 1 0|1,5|200|1,null,null
343,5,26,5|50|1,3|40|1,2|300000|1,1,1|270 1 0|1,null,null,null
344,5,27,5|50|1,3|40|1,2|300000|1,1,18|5|1,null,null,null
345,5,28,5|50|1,3|40|1,2|300000|1,1,23|5|1,null,null,null
346,5,29,5|50|1,3|40|1,2|300000|1,1,29|3|1,null,null,null
347,5,30,5|50|1,3|45|1,2|500000|1,1,34|3|1,null,null,null
348,5,31,5|50|1,3|45|1,2|500000|1,1,26|5|1,null,null,null
126,6,1,5|30|1,3|20|1,2|50000|1,0,39|2|1,null,null,null
127,6,2,5|30|1,3|25|1,2|60000|1,0,13|50|1,null,null,null
128,6,3,5|30|1,3|25|1,2|70000|1,0,26|1|1,null,null,null
129,6,4,5|30|1,3|25|1,2|80000|1,0,2|50000|1,null,null,null
130,6,5,5|30|1,3|25|1,2|90000|1,1,28|10|1,null,null,null
131,6,6,5|35|1,3|25|1,2|100000|1,0,27|5|1,null,null,null
132,6,7,5|35|1,3|25|1,2|100000|1,0,34|1|1,null,null,null
133,6,8,5|35|1,3|25|1,2|100000|1,0,200|58|100,null,null,null
134,6,9,5|35|1,3|30|1,2|100000|1,0,44|2|1,null,null,null
135,6,10,5|35|1,3|30|1,2|100000|1,1,28|50|1,null,null,null
136,6,11,5|40|1,3|30|1,2|150000|1,0,36|300|1,null,null,null
137,6,12,5|40|1,3|30|1,2|150000|1,0,53|1|1,null,null,null
138,6,13,5|40|1,3|30|1,2|150000|1,0,23|5|1,null,null,null
139,6,14,5|40|1,3|30|1,2|150000|1,0,19|10|1,null,null,null
140,6,15,5|40|1,3|30|1,2|150000|1,1,17|5|1,null,null,null
141,6,16,5|45|1,3|35|1,2|200000|1,0,29|2|1,null,null,null
142,6,17,5|45|1,3|35|1,2|200000|1,0,23|1|1,null,null,null
143,6,18,5|45|1,3|35|1,2|200000|1,0,13|200|1,null,null,null
144,6,19,5|45|1,3|35|1,2|200000|1,0,34|1|1,null,null,null
145,6,20,5|45|1,3|35|1,2|200000|1,1,36|300|1,null,null,null
146,6,21,5|50|1,3|35|1,2|250000|1,0,16|3|1,null,null,null
147,6,22,5|50|1,3|35|1,2|250000|1,0,200|59|2,null,null,null
148,6,23,5|50|1,3|40|1,2|250000|1,0,200|58|300,null,null,null
149,6,24,5|50|1,3|40|1,2|250000|1,0,18|5|1,null,null,null
150,6,25,5|50|1,3|40|1,2|250000|1,1,1|2 1 0|1,5|200|1,null,null
349,6,26,5|50|1,3|40|1,2|300000|1,1,1|283 1 0|1,null,null,null
350,6,27,5|50|1,3|40|1,2|300000|1,1,2|500000|1,null,null,null
351,6,28,5|50|1,3|40|1,2|300000|1,1,29|2|1,null,null,null
352,6,29,5|50|1,3|40|1,2|300000|1,1,54|1|1,null,null,null
353,6,30,5|50|1,3|45|1,2|500000|1,1,200|58|500,null,null,null
151,7,1,5|30|1,3|20|1,2|50000|1,0,54|1|1,null,null,null
152,7,2,5|30|1,3|25|1,2|60000|1,0,27|5|1,null,null,null
153,7,3,5|30|1,3|25|1,2|70000|1,0,200|59|2,null,null,null
154,7,4,5|30|1,3|25|1,2|80000|1,0,24|3|1,null,null,null
155,7,5,5|30|1,3|25|1,2|90000|1,1,13|50|1,null,null,null
156,7,6,5|35|1,3|25|1,2|100000|1,0,19|10|1,null,null,null
157,7,7,5|35|1,3|25|1,2|100000|1,0,200|58|200,null,null,null
158,7,8,5|35|1,3|25|1,2|100000|1,0,53|1|1,null,null,null
159,7,9,5|35|1,3|30|1,2|100000|1,0,39|5|1,null,null,null
160,7,10,5|35|1,3|30|1,2|100000|1,1,28|20|1,null,null,null
161,7,11,5|40|1,3|30|1,2|150000|1,0,13|100|1,null,null,null
162,7,12,5|40|1,3|30|1,2|150000|1,0,36|300|1,null,null,null
163,7,13,5|40|1,3|30|1,2|150000|1,0,18|3|1,null,null,null
164,7,14,5|40|1,3|30|1,2|150000|1,0,200|58|300,null,null,null
165,7,15,5|40|1,3|30|1,2|150000|1,1,27|2|1,null,null,null
166,7,16,5|45|1,3|35|1,2|200000|1,0,23|5|1,null,null,null
167,7,17,5|45|1,3|35|1,2|200000|1,0,29|3|1,null,null,null
168,7,18,5|45|1,3|35|1,2|200000|1,0,34|1|1,null,null,null
169,7,19,5|45|1,3|35|1,2|200000|1,0,2|1000000|1,null,null,null
170,7,20,5|45|1,3|35|1,2|200000|1,1,200|58|400,null,null,null
171,7,21,5|50|1,3|35|1,2|250000|1,0,16|3|1,null,null,null
172,7,22,5|50|1,3|35|1,2|250000|1,0,23|10|1,null,null,null
173,7,23,5|50|1,3|40|1,2|250000|1,0,34|1|1,null,null,null
174,7,24,5|50|1,3|40|1,2|250000|1,0,28|100|1,null,null,null
175,7,25,5|50|1,3|40|1,2|250000|1,1,1|7 1 0|1,5|200|1,null,null
354,7,26,5|50|1,3|40|1,2|300000|1,1,1|311 1 0|1,null,null,null
355,7,27,5|50|1,3|40|1,2|300000|1,1,18|5|1,null,null,null
356,7,28,5|50|1,3|40|1,2|300000|1,1,23|5|1,null,null,null
357,7,29,5|50|1,3|40|1,2|300000|1,1,29|3|1,null,null,null
358,7,30,5|50|1,3|45|1,2|500000|1,1,34|3|1,null,null,null
359,7,31,5|50|1,3|45|1,2|500000|1,1,26|6|1,null,null,null
360,8,1,5|30|1,3|20|1,2|50000|1,0,39|2|1,null,null,null
361,8,2,5|30|1,3|25|1,2|60000|1,0,13|50|1,null,null,null
362,8,3,5|30|1,3|25|1,2|70000|1,0,26|1|1,null,null,null
363,8,4,5|30|1,3|25|1,2|80000|1,0,2|50000|1,null,null,null
364,8,5,5|30|1,3|25|1,2|90000|1,1,28|10|1,null,null,null
365,8,6,5|35|1,3|25|1,2|100000|1,0,27|5|1,null,null,null
366,8,7,5|35|1,3|25|1,2|100000|1,0,34|1|1,null,null,null
367,8,8,5|35|1,3|25|1,2|100000|1,0,200|58|100,null,null,null
368,8,9,5|35|1,3|30|1,2|100000|1,0,44|2|1,null,null,null
369,8,10,5|35|1,3|30|1,2|100000|1,1,28|50|1,null,null,null
370,8,11,5|40|1,3|30|1,2|150000|1,0,36|300|1,null,null,null
371,8,12,5|40|1,3|30|1,2|150000|1,0,53|1|1,null,null,null
372,8,13,5|40|1,3|30|1,2|150000|1,0,23|5|1,null,null,null
373,8,14,5|40|1,3|30|1,2|150000|1,0,19|10|1,null,null,null
374,8,15,5|40|1,3|30|1,2|150000|1,1,17|5|1,null,null,null
375,8,16,5|45|1,3|35|1,2|200000|1,0,29|2|1,null,null,null
376,8,17,5|45|1,3|35|1,2|200000|1,0,23|1|1,null,null,null
377,8,18,5|45|1,3|35|1,2|200000|1,0,13|200|1,null,null,null
378,8,19,5|45|1,3|35|1,2|200000|1,0,34|1|1,null,null,null
379,8,20,5|45|1,3|35|1,2|200000|1,1,36|300|1,null,null,null
380,8,21,5|50|1,3|35|1,2|250000|1,0,16|3|1,null,null,null
381,8,22,5|50|1,3|35|1,2|250000|1,0,200|59|2,null,null,null
382,8,23,5|100|1,3|80|1,2|500000|1,1,43|2|1,53|2|1,null,null
383,8,24,5|100|1,3|80|1,2|500000|1,1,18|10|1,26|2|1,null,null
384,8,25,5|100|1,3|80|1,2|500000|1,1,1|34 1 0|1,5|400|1,28|100|1,null
385,8,26,5|100|1,3|80|1,2|600000|1,1,1|318 1 0|1,200|58|2000,null,null
386,8,27,5|100|1,3|80|1,2|600000|1,1,2|1000000|1,27|4|1,null,null
387,8,28,5|100|1,3|80|1,2|600000|1,1,29|4|1,53|4|1,null,null
388,8,29,5|100|1,3|80|1,2|600000|1,1,54|2|1,28|200|1,null,null
389,8,30,5|100|1,3|90|1,2|1000000|1,1,200|58|1000,29|10|1,null,null
390,8,31,5|160|1,3|100|1,2|1000000|1,1,1|7006 1 0|2,26|2|1,null,null
391,9,1,5|30|1,3|20|1,2|50000|1,0,39|4|1,null,null,null
392,9,2,5|30|1,3|25|1,2|60000|1,0,13|100|1,null,null,null
393,9,3,5|30|1,3|25|1,2|70000|1,0,26|2|1,null,null,null
394,9,4,5|30|1,3|25|1,2|80000|1,0,2|100000|1,null,null,null
395,9,5,5|30|1,3|25|1,2|90000|1,1,28|60|1,null,null,null
396,9,6,5|35|1,3|25|1,2|100000|1,0,27|8|1,null,null,null
397,9,7,5|35|1,3|25|1,2|100000|1,0,34|2|1,null,null,null
398,9,8,5|35|1,3|25|1,2|100000|1,0,200|58|200,null,null,null
399,9,9,5|35|1,3|30|1,2|100000|1,0,200|68|40,null,null,null
400,9,10,5|35|1,3|30|1,2|100000|1,1,28|200|1,null,null,null
401,9,11,5|40|1,3|30|1,2|150000|1,0,36|1000|1,null,null,null
402,9,12,5|40|1,3|30|1,2|150000|1,0,53|2|1,null,null,null
403,9,13,5|40|1,3|30|1,2|150000|1,0,23|15|1,null,null,null
404,9,14,5|40|1,3|30|1,2|150000|1,0,200|60|15,null,null,null
405,9,15,5|40|1,3|30|1,2|150000|1,1,17|10|1,null,null,null
406,9,16,5|45|1,3|35|1,2|200000|1,0,29|4|1,null,null,null
407,9,17,5|45|1,3|35|1,2|200000|1,0,33|10|1,null,null,null
408,9,18,5|45|1,3|35|1,2|200000|1,0,26|3|1,null,null,null
409,9,19,5|45|1,3|35|1,2|200000|1,0,34|3|1,null,null,null
410,9,20,5|45|1,3|35|1,2|200000|1,1,36|1500|1,null,null,null
411,9,21,5|50|1,3|35|1,2|250000|1,0,16|5|1,null,null,null
412,9,22,5|50|1,3|35|1,2|250000|1,0,200|59|5,null,null,null
413,9,23,5|50|1,3|40|1,2|250000|1,0,200|58|500,null,null,null
414,9,24,5|50|1,3|40|1,2|250000|1,0,200|62|100,null,null,null
415,9,25,5|50|1,3|40|1,2|250000|1,1,1|245 1 0|1,5|200|1,null,null
416,9,26,5|50|1,3|40|1,2|300000|1,1,1|468 1 0|1,null,null,null
417,9,27,5|50|1,3|40|1,2|300000|1,1,2|2000000|1,null,null,null
418,9,28,5|50|1,3|40|1,2|300000|1,1,29|6|1,null,null,null
419,9,29,5|50|1,3|40|1,2|300000|1,1,54|2|1,null,null,null
420,9,30,5|50|1,3|45|1,2|500000|1,1,200|58|800,null,null,null
421,10,1,5|30|1,3|20|1,2|50000|1,0,29|2|1,null,null,null
422,10,2,5|30|1,3|25|1,2|60000|1,0,39|4|1,null,null,null
423,10,3,5|30|1,3|25|1,2|70000|1,0,53|1|1,null,null,null
424,10,4,5|30|1,3|25|1,2|80000|1,0,2|100000|1,null,null,null
425,10,5,5|30|1,3|25|1,2|90000|1,1,200|60|20,null,null,null
426,10,6,5|35|1,3|25|1,2|100000|1,0,27|8|1,null,null,null
427,10,7,5|35|1,3|25|1,2|100000|1,0,34|1|1,null,null,null
428,10,8,5|35|1,3|25|1,2|100000|1,0,200|58|200,null,null,null
429,10,9,5|35|1,3|30|1,2|100000|1,0,43|1|1,null,null,null
430,10,10,5|35|1,3|30|1,2|100000|1,1,28|100|1,null,null,null
431,10,11,5|40|1,3|30|1,2|150000|1,0,36|1500|1,null,null,null
432,10,12,5|40|1,3|30|1,2|150000|1,0,16|5|1,null,null,null
433,10,13,5|40|1,3|30|1,2|150000|1,0,23|20|1,null,null,null
434,10,14,5|40|1,3|30|1,2|150000|1,0,19|25|1,null,null,null
435,10,15,5|40|1,3|30|1,2|150000|1,1,17|10|1,null,null,null
436,10,16,5|45|1,3|35|1,2|200000|1,0,29|5|1,null,null,null
437,10,17,5|45|1,3|35|1,2|200000|1,0,13|200|1,null,null,null
438,10,18,5|45|1,3|35|1,2|200000|1,0,36|1200|1,null,null,null
439,10,19,5|45|1,3|35|1,2|200000|1,0,34|2|1,null,null,null
440,10,20,5|45|1,3|35|1,2|200000|1,1,26|3|1,null,null,null
441,10,21,5|50|1,3|35|1,2|250000|1,0,200|59|6,null,null,null
442,10,22,5|50|1,3|35|1,2|250000|1,0,54|5|1,null,null,null
443,10,23,5|50|1,3|40|1,2|250000|1,0,33|10|1,null,null,null
444,10,24,5|50|1,3|40|1,2|250000|1,0,38|5|1,null,null,null
445,10,25,5|50|1,3|40|1,2|250000|1,1,1|17 1 0|1,5|200|1,null,null
446,10,26,5|50|1,3|40|1,2|300000|1,1,1|473 1 0|1,null,null,null
447,10,27,5|50|1,3|40|1,2|300000|1,1,2|2000000|1,null,null,null
448,10,28,5|50|1,3|40|1,2|300000|1,1,29|8|1,null,null,null
449,10,29,5|50|1,3|40|1,2|300000|1,1,26|4|1,null,null,null
450,10,30,5|50|1,3|45|1,2|500000|1,1,200|70|1000,null,null,null
451,10,31,5|80|1,3|50|1,2|500000|1,1,1|7006 1 0|1,null,null,null
452,11,1,5|30|1,3|20|1,2|50000|1,0,24|2|1,null,null,null
453,11,2,5|30|1,3|25|1,2|60000|1,0,33|5|1,null,null,null
454,11,3,5|30|1,3|25|1,2|70000|1,0,26|2|1,null,null,null
455,11,4,5|30|1,3|25|1,2|80000|1,0,200|67|2,null,null,null
456,11,5,5|30|1,3|25|1,2|90000|1,1,23|50|1,null,null,null
457,11,6,5|35|1,3|25|1,2|100000|1,0,13|200|1,null,null,null
458,11,7,5|35|1,3|25|1,2|100000|1,0,34|2|1,null,null,null
459,11,8,5|35|1,3|25|1,2|100000|1,0,55|50|1,null,null,null
460,11,9,5|35|1,3|30|1,2|100000|1,0,200|68|40,null,null,null
461,11,10,5|35|1,3|30|1,2|100000|1,1,28|200|1,null,null,null
462,11,11,5|40|1,3|30|1,2|150000|1,0,27|6|1,null,null,null
463,11,12,5|40|1,3|30|1,2|150000|1,0,53|2|1,null,null,null
464,11,13,5|40|1,3|30|1,2|150000|1,0,54|2|1,null,null,null
465,11,14,5|40|1,3|30|1,2|150000|1,0,200|60|15,null,null,null
466,11,15,5|40|1,3|30|1,2|150000|1,1,29|5|1,null,null,null
467,11,16,5|45|1,3|35|1,2|200000|1,0,36|1500|1,null,null,null
468,11,17,5|45|1,3|35|1,2|200000|1,0,33|10|1,null,null,null
469,11,18,5|45|1,3|35|1,2|200000|1,0,200|61|600,null,null,null
470,11,19,5|45|1,3|35|1,2|200000|1,0,200|62|200,null,null,null
471,11,20,5|45|1,3|35|1,2|200000|1,1,200|59|5,null,null,null
472,11,21,5|50|1,3|35|1,2|250000|1,0,16|5|1,null,null,null
473,11,22,5|50|1,3|35|1,2|250000|1,0,200|59|5,null,null,null
474,11,23,5|50|1,3|40|1,2|250000|1,0,18|15|1,null,null,null
475,11,24,5|50|1,3|40|1,2|250000|1,0,1|7011 1 0|2,null,null,null
476,11,25,5|50|1,3|40|1,2|250000|1,1,1|10 1 0|1,5|200|1,null,null
477,11,26,5|50|1,3|40|1,2|300000|1,1,1|295 1 0|1,null,null,null
478,11,27,5|50|1,3|40|1,2|300000|1,1,2|2000000|1,null,null,null
479,11,28,5|50|1,3|40|1,2|300000|1,1,28|100|1,null,null,null
480,11,29,5|50|1,3|40|1,2|300000|1,1,1|7006 1 0|1,null,null,null
481,11,30,5|50|1,3|45|1,2|500000|1,1,53|3|1,null,null,null
482,12,1,5|30|1,3|40|1,2|50000|1,0,43|1|1,null,null,null
483,12,2,5|30|1,3|50|1,2|60000|1,0,53|1|1,null,null,null
484,12,3,5|30|1,3|50|1,2|70000|1,0,200|59|2,null,null,null
485,12,4,5|30|1,3|50|1,2|80000|1,0,24|5|1,null,null,null
486,12,5,5|30|1,3|50|1,2|90000|1,1,13|100|1,null,null,null
487,12,6,5|35|1,3|50|1,2|100000|1,0,19|10|1,null,null,null
488,12,7,5|35|1,3|50|1,2|100000|1,0,200|58|200,null,null,null
489,12,8,5|35|1,3|50|1,2|100000|1,0,200|60|10,null,null,null
490,12,9,5|35|1,3|60|1,2|100000|1,0,39|5|1,null,null,null
491,12,10,5|35|1,3|60|1,2|100000|1,1,28|50|1,null,null,null
492,12,11,5|40|1,3|60|1,2|150000|1,0,13|100|1,null,null,null
493,12,12,5|40|1,3|60|1,2|150000|1,0,36|1000|1,null,null,null
494,12,13,5|40|1,3|60|1,2|150000|1,0,18|6|1,null,null,null
