编号,地图编号,坐标X,坐标Y,坐标Z
302,3,-200,89,-20
303,3,-383,-86,-20
304,3,197,-113,-20
305,3,0,-121,-20
306,3,329,-106,-20
307,3,-166,150,-20
308,3,235,-41,-20
309,3,300,115,-20
310,3,200,100,-20
311,3,100,85,-20
312,3,23,89,-20
313,4,-302,46,-20
314,4,-176,0,-20
315,4,165,120,-20
316,4,-78,170,-20
317,4,100,160,-20
318,4,50,16,-20
319,4,33,-143,-20
320,4,316,110,-20
321,4,-208,210,-20
322,4,222,50,-20
323,4,-139,88,-20
324,4,-32,-10,-20
325,4,-217,-149,-20
326,4,-300,-35,-20
327,4,142,-90,-20
328,4,137,-165,-20
329,4,19,104,-20
330,4,241,-131,-20
331,4,-95,-50,-20
332,4,259,-69,-20
333,4,-235,138,-20
334,4,14,222,-20
335,4,300,180,-20
336,4,200,170,-20
337,4,100,82,-20
338,4,50,-63,-20
339,4,-302,46,-20
340,4,-176,0,-20
341,4,165,120,-20
342,4,-78,170,-20
343,4,100,160,-20
344,4,50,16,-20
345,4,33,-143,-20
346,4,316,110,-20
347,4,-208,210,-20
348,4,222,50,-20
349,4,-139,88,-20
350,4,-32,-10,-20
351,4,-217,-149,-20
352,4,-300,-35,-20
353,4,142,-90,-20
354,4,137,-165,-20
355,4,19,104,-20
356,4,241,-131,-20
357,4,-95,-50,-20
358,4,259,-69,-20
359,4,-235,138,-20
360,4,14,222,-20
361,4,300,180,-20
362,4,200,170,-20
363,4,100,82,-20
364,4,50,-63,-20
365,4,-302,46,-20
366,4,-176,0,-20
367,4,165,120,-20
368,4,-78,170,-20
369,4,100,160,-20
370,4,50,16,-20
371,4,33,-143,-20
372,4,316,110,-20
373,4,-208,210,-20
374,4,222,50,-20
375,4,-139,88,-20
376,4,-32,-10,-20
377,4,-217,-149,-20
378,4,-300,-35,-20
379,4,142,-90,-20
380,4,137,-165,-20
381,4,19,104,-20
382,4,241,-131,-20
383,4,-95,-50,-20
384,4,259,-69,-20
385,4,-235,138,-20
386,4,14,222,-20
387,4,300,180,-20
388,4,200,170,-20
389,4,100,82,-20
390,4,50,-63,-20
391,4,-302,46,-20
392,4,-176,0,-20
393,4,165,120,-20
394,4,-78,170,-20
395,4,100,160,-20
396,4,50,16,-20
397,4,33,-143,-20
398,4,316,110,-20
399,4,-208,210,-20
400,4,222,50,-20
401,4,-139,88,-20
402,4,-32,-10,-20
403,4,-217,-149,-20
404,4,-300,-35,-20
405,4,142,-90,-20
406,4,137,-165,-20
407,4,19,104,-20
408,4,241,-131,-20
409,4,-95,-50,-20
410,4,259,-69,-20
411,4,-235,138,-20
412,4,14,222,-20
413,4,300,180,-20
414,4,200,170,-20
415,4,100,82,-20
416,4,50,-63,-20
