序号,类型(1影响人数2当前生命百分比3我方士气4敌方士气5士气差6移动速度7目标距离8持续不动时间9己方死亡10友方部队死亡11敌方部队死亡12己方剩余部队13地方剩余部队14剩余部队差),持续不动加成消失,影响武力,影响智力,影响兵力,影响治疗系数,影响速度,影响持续时间,影响伤害系数,触发起始值,触发结束值,步长,系数基本值,单次系数增幅,重复类型(0:永远 1:一次),触发者范围,触发说明
6105,6,5,1,0,0,0,0,0,0,5,26,3,1.07,0.07,0,0,冲势，移动速度越高，武力加成越高，停下来5秒后武力加成消失
6106,6,5,1,0,0,0,0,0,0,5,26,3,1.08,0.08,0,0,冲势，移动速度越高，武力加成越高，停下来5秒后武力加成消失
6107,6,5,1,0,0,0,0,0,0,5,26,3,1.09,0.09,0,0,冲势，移动速度越高，武力加成越高，停下来5秒后武力加成消失
6108,6,5,1,0,0,0,0,0,0,5,26,3,1.11,0.11,0,0,冲势，移动速度越高，武力加成越高，停下来5秒后武力加成消失
6109,6,5,1,0,0,0,0,0,0,5,26,3,1.13,0.13,0,0,冲势，移动速度越高，武力加成越高，停下来5秒后武力加成消失
6110,6,5,1,0,0,0,0,0,0,5,26,3,1.15,0.15,0,0,冲势，移动速度越高，武力加成越高，停下来5秒后武力加成消失
7101,7,0,0,0,0,0,0,0,1,25,55,5,1.01,0.01,0,0,抛射，距离目标越远，伤害越高
7102,7,0,0,0,0,0,0,0,1,25,55,5,1.02,0.02,0,0,抛射，距离目标越远，伤害越高
7103,7,0,0,0,0,0,0,0,1,25,55,5,1.03,0.03,0,0,抛射，距离目标越远，伤害越高
7104,7,0,0,0,0,0,0,0,1,25,55,5,1.04,0.04,0,0,抛射，距离目标越远，伤害越高
7105,7,0,0,0,0,0,0,0,1,25,55,5,1.05,0.05,0,0,抛射，距离目标越远，伤害越高
7106,7,0,0,0,0,0,0,0,1,25,55,5,1.06,0.06,0,0,抛射，距离目标越远，伤害越高
7107,7,0,0,0,0,0,0,0,1,25,55,5,1.07,0.07,0,0,抛射，距离目标越远，伤害越高
7108,7,0,0,0,0,0,0,0,1,25,55,5,1.08,0.08,0,0,抛射，距离目标越远，伤害越高
7109,7,0,0,0,0,0,0,0,1,25,55,5,1.09,0.09,0,0,抛射，距离目标越远，伤害越高
7110,7,0,0,0,0,0,0,0,1,25,55,5,1.1,0.1,0,0,抛射，距离目标越远，伤害越高
8101,8,0,1,0,0,0,0,0,0,6,42,6,1.02,0.02,0,0,蓄势，持续不动时间越长，武力值越来越高（有上限）
8102,8,0,1,0,0,0,0,0,0,6,42,6,1.03,0.03,0,0,蓄势，持续不动时间越长，武力值越来越高（有上限）
8103,8,0,1,0,0,0,0,0,0,6,42,6,1.04,0.04,0,0,蓄势，持续不动时间越长，武力值越来越高（有上限）
8104,8,0,1,0,0,0,0,0,0,6,42,6,1.05,0.05,0,0,蓄势，持续不动时间越长，武力值越来越高（有上限）
8105,8,0,1,0,0,0,0,0,0,6,42,6,1.06,0.06,0,0,蓄势，持续不动时间越长，武力值越来越高（有上限）
8106,8,0,1,0,0,0,0,0,0,6,42,6,1.07,0.07,0,0,蓄势，持续不动时间越长，武力值越来越高（有上限）
8107,8,0,1,0,0,0,0,0,0,6,42,6,1.08,0.08,0,0,蓄势，持续不动时间越长，武力值越来越高（有上限）
8108,8,0,1,0,0,0,0,0,0,6,42,6,1.1,0.1,0,0,蓄势，持续不动时间越长，武力值越来越高（有上限）
8109,8,0,1,0,0,0,0,0,0,6,42,6,1.12,0.12,0,0,蓄势，持续不动时间越长，武力值越来越高（有上限）
8110,8,0,1,0,0,0,0,0,0,6,42,6,1.14,0.14,0,0,蓄势，持续不动时间越长，武力值越来越高（有上限）
8111,8,0,1,0,0,0,0,0,0,4,124,4,1.4,0.4,0,0,蓄势，持续不动时间越长，武力值越来越高（有上限）
8201,8,0,0,1,0,0,0,0,0,6,42,6,1.01,0.01,0,0,蓄能，持续不动时间越长，智力值越来越高（有上限）
8202,8,0,0,1,0,0,0,0,0,6,42,6,1.02,0.02,0,0,蓄能，持续不动时间越长，智力值越来越高（有上限）
8203,8,0,0,1,0,0,0,0,0,6,42,6,1.03,0.03,0,0,蓄能，持续不动时间越长，智力值越来越高（有上限）
8204,8,0,0,1,0,0,0,0,0,6,42,6,1.04,0.04,0,0,蓄能，持续不动时间越长，智力值越来越高（有上限）
8205,8,0,0,1,0,0,0,0,0,6,42,6,1.05,0.05,0,0,蓄能，持续不动时间越长，智力值越来越高（有上限）
8206,8,0,0,1,0,0,0,0,0,6,42,6,1.06,0.06,0,0,蓄能，持续不动时间越长，智力值越来越高（有上限）
8207,8,0,0,1,0,0,0,0,0,6,42,6,1.07,0.07,0,0,蓄能，持续不动时间越长，智力值越来越高（有上限）
8208,8,0,0,1,0,0,0,0,0,6,42,6,1.08,0.08,0,0,蓄能，持续不动时间越长，智力值越来越高（有上限）
8209,8,0,0,1,0,0,0,0,0,6,42,6,1.09,0.09,0,0,蓄能，持续不动时间越长，智力值越来越高（有上限）
8210,8,0,0,1,0,0,0,0,0,6,42,6,1.1,0.1,0,0,蓄能，持续不动时间越长，智力值越来越高（有上限）
9001,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,自己死亡，触发主动技
10001,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,友方部队死亡，触发主动技
11001,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,敌方部队死亡，触发主动技
12001,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,开场释放
13001,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,普攻触发
14001,2,0,0,0,0,0,0,0,0,0.3,0,0,0,0,1,0,自身生命减少到一定程度，触发百分比
15001,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,友方将军部队释放技能，触发主动技
16001,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,敌方策士部队造成战法伤害，触发主动技
17001,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56,己方蜀国部队释放技能，触发主动技
18001,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,敌方部队释放技能，触发主动技
19001,19,0,0,0,0,0,0,0,0,0.001,0,0,0,0,0,0,每秒受到伤害大于最大生命值千分之一时，触发主动技（测试）
