序号,掉落包ID,商品ID,几率
147,2005,2120,1
148,2004,2121,1
149,2004,2122,1
150,2004,2123,1
151,2004,2124,1
152,2004,2125,1
153,2004,2126,1
154,2004,2127,1
155,2004,2128,1
156,2007,2129,1
157,2007,2130,1
158,2007,2131,1
159,2007,2132,1
160,2008,2133,1
161,2008,2134,1
162,2008,2135,1
163,2008,2136,1
164,3001,2137,1
165,3002,2138,1
166,3003,2139,1
167,3004,2140,1
168,5,5001,1
169,5,5002,1
170,5,5003,1
171,2002,2141,1
172,2002,2142,1
173,2002,2143,1
174,2002,2144,1
175,1101,1101,1
176,1102,1102,1
177,6001,6001,1
178,6002,6002,1
179,6003,6003,1
180,6004,6004,1
181,6005,6005,1
182,6006,6006,1
183,6007,6007,1
184,6008,6008,1
185,6009,6009,1
186,6010,6010,1
187,6011,6011,1
188,6012,6012,1
189,6013,6013,1
190,6014,6014,1
191,6015,6015,1
192,6016,6016,1
193,6017,6017,1
194,6018,6018,1
195,6019,6019,1
196,6020,6020,1
197,6021,6021,1
198,6022,6022,1
199,6023,6023,1
200,6024,6024,1
201,6025,6025,1
202,6026,6026,1
203,6027,6027,1
204,6028,6028,1
205,6029,6029,1
206,6030,6030,1
207,6031,6031,1
208,6032,6032,1
209,6033,6033,1
210,6034,6034,1
211,6035,6035,1
212,6036,6036,1
213,6037,6037,1
214,6038,6038,1
215,6039,6039,1
216,6040,6040,1
217,6041,6041,1
218,6042,6042,1
219,6043,6043,1
220,6044,6044,1
221,6045,6045,1
224,6999,6999,1
225,7001,7001,1
226,7002,7002,1
227,7003,7003,1
228,7004,7004,1
229,7005,7005,1
230,7006,7006,1
231,7007,7007,1
232,8001,8101,1
233,8001,8102,1
234,8001,8103,1
235,8001,8104,1
236,8001,8105,1
237,8001,8106,1
238,8001,8107,1
239,8001,8108,1
240,8001,8109,1
241,8001,8110,1
242,8002,8201,1
243,8002,8202,1
244,8002,8203,1
245,8002,8204,1
246,8002,8205,1
247,8002,8206,1
248,8002,8207,1
249,8002,8208,1
250,8002,8209,1
251,8002,8210,1
252,8003,8301,1
253,8003,8302,1
254,8003,8303,1
255,8003,8304,1
256,8003,8305,1
257,8003,8306,1
258,8003,8307,1
259,8003,8308,1
260,8003,8309,1
261,8003,8310,1
262,8004,8401,1
263,8004,8402,1
264,8004,8403,1
265,8004,8404,1
266,8004,8405,1
267,8004,8406,1
268,8004,8407,1
269,8004,8408,1
270,8004,8409,1
271,8004,8410,1
272,8005,8501,1
273,8005,8502,1
274,8005,8503,1
275,8005,8504,1
276,8005,8505,1
277,8005,8506,1
278,8005,8507,1
279,8005,8508,1
280,8005,8509,1
281,8005,8510,1
282,8006,8601,1
283,8006,8602,1
284,8006,8603,1
285,8006,8604,1
286,8006,8605,1
287,8006,8606,1
288,8006,8607,1
289,8006,8608,1
290,8006,8609,1
291,8006,8610,1
292,8007,8701,1
293,8007,8702,1
294,8007,8703,1
295,8007,8704,1
296,8007,8705,1
297,8007,8706,1
298,8007,8707,1
299,8007,8708,1
300,8007,8709,1
301,8007,8710,1
302,8008,8801,1
303,8008,8802,1
304,8008,8803,1
305,8008,8804,1
306,8008,8805,1
307,8008,8806,1
308,8008,8807,1
309,8008,8808,1
310,8008,8809,1
311,8008,8810,1
312,9,10901,1
313,9,10902,1
314,9,10903,1
315,9,10904,1
316,9,10905,1
317,9,10906,1
318,9,10907,1
319,9,10908,1
320,9,10909,1
321,9,10910,1
322,9,10911,1
323,9,10912,1
324,9,10913,1
325,9,10914,1
326,9,10915,1
327,9,10916,1
328,9,10917,1
329,9,10918,1
330,9,10919,1
331,9,10920,1
332,9,10921,1
333,9,10922,1
334,9,10923,1
335,9,10924,1
336,9,10925,1
337,9,10926,1
338,9,10927,1
339,9,10928,1
340,9,10929,1
341,9,10930,1
342,9,10931,1
343,9,10932,1
344,9,10933,1
345,9,10934,1
346,9,10935,1
347,9,10936,1
348,9,10937,1
349,9,10938,1
350,9,10939,1
351,9,10940,1
352,9,10941,1
353,9,10942,1
354,9,10943,1
355,9,10944,1
356,9,10945,1
357,9,10946,1
358,10,11001,1
359,10,11002,1
360,10,11003,1
361,10,11004,1
362,10,11005,1
363,10,11006,1
364,10,11007,1
365,10,11008,1
366,10,11009,1
367,10,11010,1
368,10,11011,1
369,10,11012,1
370,10,11013,1
371,10,11014,1
372,10,11015,1
373,10,11016,1
374,10,11017,1
375,10,11018,1
376,10,11019,1
377,10,11020,1
378,10,11021,1
379,10,11022,1
380,10,11023,1
381,10,11024,1
382,10,11025,1
383,10,11026,1
384,10,11027,1
385,10,11028,1
386,10,11029,1
387,10,11030,1
388,10,11031,1
389,10,11032,1
390,10,11033,1
391,10,11034,1
392,2003,2145,1
393,2003,2146,1
394,2003,2147,1
395,2003,2148,1
396,2005,2149,1
397,2005,2150,1
398,2005,2151,1
399,2005,2152,1
400,2008,2153,1
401,2008,2154,1
402,2008,2155,1
403,2008,2156,1
404,2006,2157,1
405,2006,2158,1
406,2006,2159,1
407,2006,2160,1
408,2005,2161,1
409,2005,2162,1
410,2005,2163,1
411,2005,2164,1
412,2008,2165,1
413,2008,2166,1
414,2008,2167,1
415,2008,2168,1
416,2002,2169,1
417,2002,2170,1
418,2002,2171,1
419,2002,2172,1
420,2008,2173,1
421,2008,2174,1
422,2008,2175,1
423,2008,2176,1
424,2003,2177,1
425,2003,2178,1
426,2003,2179,1
427,2003,2180,1
428,2005,2181,1
429,2005,2182,1
430,2005,2183,1
431,2005,2184,1
432,2003,2185,1
433,2003,2186,1
434,2003,2187,1
435,2003,2188,1
436,2008,2189,1
437,2008,2190,1
438,2008,2191,1
439,2008,2192,1
440,11,11101,1
441,11,11102,1
442,11,11103,1
443,11,11104,1
446,12,12001,1
447,12,12002,1
448,12,12003,1
449,12,12004,1
450,12,12005,1
451,12,12006,1
452,12,12007,1
453,12,12008,1
454,12,12009,1
455,12,12010,1
456,12,12011,1
457,12,12012,1
458,12,12013,1
459,12,12014,1
460,12,12015,1
461,12,12016,1
462,12,12017,1
463,12,12018,1
464,12,12019,1
465,12,12020,1
466,10001,20001,2600
467,10001,20002,2500
468,10001,20003,2500
469,10001,20004,600
470,10001,20005,700
471,10001,20006,700
472,10001,20007,100
473,10001,20008,100
474,10001,20009,100
475,10001,20010,30
476,10001,20011,35
477,10001,20012,35
478,10002,20001,2400
479,10002,20002,2300
480,10002,20003,2300
481,10002,20004,600
482,10002,20005,700
483,10002,20006,700
484,10002,20007,250
485,10002,20008,250
486,10002,20009,250
487,10002,20010,80
488,10002,20011,85
489,10002,20012,85
490,10003,20001,50
491,10003,20002,50
492,10003,20003,50
493,10003,20004,145
494,10003,20005,145
495,10003,20006,145
496,10003,20007,55
497,10003,20008,55
498,10003,20009,65
499,10003,20010,80
500,10003,20011,80
501,10003,20012,80
502,10004,20004,12
503,10004,20005,12
504,10004,20006,12
505,10004,20007,11
506,10004,20008,11
507,10004,20009,12
508,10004,20010,6
509,10004,20011,6
510,10004,20012,6
511,10004,20013,4
512,10004,20014,4
513,10004,20015,4
514,10005,20004,130
515,10005,20005,130
516,10005,20006,130
517,10005,20007,120
518,10005,20008,120
519,10005,20009,120
520,10005,20010,40
521,10005,20011,45
522,10005,20012,45
523,10005,20013,40
524,10005,20014,40
525,10005,20015,40
526,10006,20004,13
527,10006,20005,14
528,10006,20006,14
529,10006,20007,13
530,10006,20008,13
531,10006,20009,13
532,10006,20010,3
533,10006,20011,4
534,10006,20012,4
535,10006,20013,3
536,10006,20014,3
537,10006,20015,3
538,11001,20001,2600
539,11001,20002,2500
540,11001,20003,2500
541,11001,20004,600
542,11001,20005,700
543,11001,20006,700
544,11001,20007,100
545,11001,20008,100
546,11001,20009,100
547,11001,20010,30
548,11001,20011,35
549,11001,20012,35
550,12001,20001,2600
551,12001,20002,2500
552,12001,20003,2500
553,12001,20004,600
554,12001,20005,700
555,12001,20006,700
556,12001,20007,100
557,12001,20008,100
558,12001,20009,100
559,12001,20010,30
560,12001,20011,35
561,12001,20012,35
562,13001,20001,2600
563,13001,20002,2500
564,13001,20003,2500
565,13001,20004,600
566,13001,20005,700
567,13001,20006,700
568,13001,20007,100
569,13001,20008,100
570,13001,20009,100
571,13001,20010,30
572,13001,20011,35
573,13001,20012,35
574,14001,20001,2600
575,14001,20002,2500
576,14001,20003,2500
577,14001,20004,600
578,14001,20005,700
579,14001,20006,700
580,14001,20007,100
581,14001,20008,100
582,14001,20009,100
583,14001,20010,30
584,14001,20011,35
585,14001,20012,35
586,9001,9001,1
587,9002,9002,1
588,9003,9003,1
589,9004,9004,1
590,9005,9005,1
591,9006,9006,1
592,9007,9007,1
593,9008,9008,1
594,9009,9009,1
595,9010,9010,1
596,9011,9011,1
597,9012,9012,1
598,9013,9013,1
599,100001,100001,1
600,100002,100002,1
601,100003,100003,1
602,14,13009,1
603,14,13010,1
604,14,13011,1
605,14,13012,1
606,14,13013,1
607,14,13014,1
608,14,13015,1
609,14,13016,1
610,14,13017,1
611,14,13018,1
612,14,13019,1
613,14,13020,1
614,14,13021,1
615,14,13022,1
616,14,13023,1
617,14,13024,1
618,14,13025,1
619,14,13026,1
620,14,13027,1
621,14,13028,1
622,14,13029,1
623,14,13030,1
624,14,13031,1
625,14,13032,1
626,14,13033,1
627,14,13034,1
628,14,13035,1
629,14,13036,1
630,14,13037,1
631,14,13038,1
632,14,13039,1
633,100,16001,1
634,16001,16002,1
635,16001,16003,1
636,16001,16004,1
637,16002,16006,1
638,16002,16007,1
639,16003,16005,1
640,70,700000,1
641,71,700001,1
642,72,700002,1
643,73,700003,1
644,74,700004,1
645,75,700005,1
646,76,700006,1
647,77,700007,1
648,78,700008,1
649,79,700009,1
650,80,700010,1
651,81,700011,1
652,50001,50001,1
653,50001,50002,1
654,50001,50003,1
655,50001,50004,1
656,50001,50005,1
657,50001,50006,1
658,50001,50007,1
659,50001,50008,1
660,52001,52001,1
661,52001,52002,1
662,52001,52003,1
663,52001,52004,1
664,52001,52005,1
665,52001,52006,1
666,52001,52007,1
667,52001,52008,1
668,52001,52009,1
669,52001,52010,1
670,52001,52011,1
671,52021,53001,1
672,52021,53002,1
673,52021,53003,1
674,52021,53004,1
675,52021,53005,1
676,52021,53006,1
677,52021,53007,1
678,52021,53008,1
679,52021,53009,1
680,52021,53010,1
681,52021,53011,1
682,52021,53012,1
683,52043,53013,1
684,52044,53014,1
685,52031,53101,1
686,52032,53102,1
687,52033,53103,1
688,52034,53104,1
689,52035,53105,1
690,52036,53106,1
691,52037,53107,1
692,52038,53108,1
693,52039,53109,1
694,52040,53110,1
695,52041,53111,1
696,52042,53112,1
697,60001,60001,1
698,60001,60002,1
699,60001,60003,1
700,60001,60004,1
701,60001,60005,1
702,60001,60006,1
703,60001,60007,1
704,60001,60008,1
705,60001,60009,1
706,60001,60010,1
707,60001,60011,1
708,60001,60012,1
709,60001,60013,1
710,60001,60014,1
711,60001,60015,1
712,60001,60016,1
713,60001,60017,1
714,60001,60018,1
715,60001,60019,1
716,60001,60020,1
717,60001,60021,1
718,60001,60022,1
719,60001,60023,1
720,60001,60024,1
721,60001,60025,1
722,60001,60026,1
723,60002,62001,0.0196
724,60002,62002,0.0196
725,60002,62003,0.0196
726,60002,62004,0.0196
727,60002,62005,0.0196
728,60002,62006,0.0196
729,60002,62007,0.0196
730,60002,62008,0.0196
731,60002,62009,0.0196
732,60002,62010,0.0196
733,60002,62011,0.0196
734,60002,62012,0.0196
735,60002,62013,0.0196
736,60002,62014,0.0196
737,60002,62015,0.0196
738,60002,62016,0.0196
739,60002,62017,0.0196
740,60002,62018,0.0196
741,60002,62019,0.0196
742,60002,62020,0.0196
743,60002,62021,0.0196
744,60002,62022,0.0196
745,60002,62023,0.0196
746,60002,62024,0.0196
747,60002,62025,0.0196
748,60002,62026,0.0196
749,60002,62027,0.0196
750,60002,62028,0.0196
751,60002,62029,0.0196
752,60002,62030,0.0196
753,60002,62031,0.0196
754,60002,62032,0.0196
755,60002,62033,0.0197
756,60002,62034,0.0197
757,60002,62035,0.0197
758,60002,62036,0.0197
759,60002,62037,0.0197
760,60002,62038,0.0197
761,60002,62039,0.0197
762,60002,62040,0.0197
763,60002,62041,0.0197
764,60002,62042,0.0197
765,60002,62043,0.0197
766,60002,62044,0.0197
767,60002,62045,0.0197
768,60002,62046,0.0197
769,60002,62047,0.0197
770,60002,62048,0.0197
771,60002,62049,0.0012
772,60002,62050,0.0012
773,60002,62051,0.0012
774,60002,62052,0.0012
775,60002,62053,0.0012
776,60002,62054,0.0012
777,60002,62055,0.0012
778,60002,62056,0.0012
779,60002,62057,0.0012
780,60002,62058,0.0012
781,60002,62059,0.0012
782,60002,62060,0.0012
783,60002,62061,0.0012
784,60002,62062,0.0012
785,60002,62063,0.0012
786,60002,62064,0.0012
787,60002,62065,0.0012
788,60002,62066,0.0012
789,60002,62067,0.0012
790,60002,62068,0.0012
791,60002,62069,0.0012
792,60002,62070,0.0012
793,60002,62071,0.0012
794,60002,62072,0.0012
795,60002,62073,0.0012
796,60002,62074,0.0012
797,60002,62075,0.0012
798,60002,62076,0.0012
799,60002,62077,0.0012
800,60002,62078,0.0012
801,60002,62079,0.0012
802,60002,62080,0.0012
803,60002,62081,0.0012
804,60002,62082,0.0012
805,60002,62083,0.0012
806,60002,62084,0.0012
807,60002,62085,0.0012
808,60002,62086,0.0012
809,60002,62087,0.0012
810,60002,62088,0.0012
811,60002,62089,0.0012
812,60002,62090,0.0012
813,60002,62091,0.0012
814,60002,62092,0.0012
815,60002,62093,0.0012
816,60002,62094,0.0012
817,60002,62095,0.0012
818,60002,62096,0.0012
819,61001,70027,1
820,61002,70028,1
821,61003,70029,1
822,61004,70030,1
823,61005,70001,1
824,61005,70002,1
825,61005,70003,1
826,61005,70004,1
827,61005,70005,1
828,61005,70006,1
829,61005,70007,1
830,61005,70008,1
831,61005,70009,1
832,61005,70010,1
833,61006,70011,1
834,61006,70012,1
835,61006,70013,1
836,61006,70014,1
837,61006,70015,1
838,61006,70016,1
839,61006,70017,1
840,61006,70018,1
841,61007,70019,1
842,61007,70020,1
843,61007,70021,1
844,61007,70022,1
845,61007,70023,1
846,61007,70024,1
847,61007,70025,1
848,61007,70026,1
849,61008,70031,1
850,61008,70032,1
851,61008,70033,1
852,61008,70034,1
853,61008,70035,1
854,61008,70036,1
855,61008,70037,1
856,61008,70038,1
857,61009,70039,1
858,61009,70040,1
859,61009,70041,1
860,61009,70042,1
861,61009,70043,1
862,61009,70044,1
863,61009,70045,1
864,61009,70046,1
865,61009,70047,1
866,61010,70048,1
867,61011,70049,1
868,61012,70050,1
869,61013,70051,1
870,61014,70052,1
871,61014,70053,1
872,61014,70054,1
873,61014,70055,1
874,61014,70056,1
875,61015,70057,1
876,61016,70058,1
877,61017,70059,1
878,61018,70060,1
879,61019,70061,1
880,61020,70062,1
881,90,90,1
882,91,91,1
883,92,92,1
884,93,93,1
885,94,94,1
886,95,95,1
887,100,100,1
888,101,101,1
889,102,102,1
890,103,103,1
891,104,104,1
892,105,105,1
893,106,106,1
894,107,107,1
895,108,108,1
896,109,109,1
897,110,110,1
898,111,111,1
899,112,112,1
900,113,113,1
901,114,114,1
902,115,115,1
903,116,116,1
904,117,117,1
905,118,118,1
906,119,119,1
907,120,120,1
908,121,121,1
909,122,122,1
910,123,123,1
911,124,124,1
912,125,125,1
913,126,126,1
914,127,127,1
915,128,128,1
916,129,129,1
917,130,130,1
918,131,131,1
919,132,132,1
920,133,133,1
921,134,134,1
922,135,135,1
923,136,136,1
924,137,137,1
925,138,138,1
926,139,139,1
927,501,7119,15
928,501,7120,15
929,501,7121,1
930,502,7122,5
931,502,7123,3
932,502,7124,10
933,503,7125,2
934,503,7126,30
935,503,7127,30
936,504,7128,10
937,504,7129,10
938,504,7130,1
939,505,7131,20
940,505,7132,2
941,505,7133,10
942,506,7134,1
943,506,7135,20
944,506,7136,3
945,507,7137,10
946,507,7138,10
947,507,7139,10
948,508,7140,2
949,508,7141,6
950,508,7142,10
951,509,7143,5
952,509,7144,10
953,509,7145,10
954,510,7146,20
955,510,7147,1
956,510,7148,10
957,511,7149,4
958,511,7150,10
959,511,7151,3
960,512,7152,10
961,512,7153,5
962,512,7154,1
963,513,4011,10
964,513,4012,10
965,513,4013,10
966,513,4014,10
967,513,4015,10
968,513,4016,10
969,513,4021,10
970,513,4022,10
971,513,4023,10
972,513,4024,10
973,513,4025,10
974,513,4026,10
975,513,4031,10
976,513,4032,10
977,513,4033,10
978,513,4034,10
979,513,4035,10
980,513,4036,10
981,513,4041,10
982,513,4042,10
983,513,4043,10
984,513,4044,10
985,513,4045,10
986,513,4046,10
987,513,4051,10
988,513,4052,10
989,513,4053,10
990,513,4054,10
991,513,4055,10
992,513,4056,10
993,513,4061,10
994,513,4062,10
995,513,4063,10
996,513,4064,10
997,513,4065,10
998,513,4066,10
999,513,4071,10
1000,513,4072,10
1001,513,4073,10
1002,513,4074,10
1003,513,4075,10
1004,513,4076,10
1005,513,4081,10
1006,513,4082,10
1007,513,4083,10
1008,513,4084,10
1009,513,4085,10
1010,513,4086,10
1011,514,7155,10
1012,514,7156,10
1013,514,7157,10
1014,514,7158,10
1015,514,7159,10
1016,514,7160,10
1017,514,7161,10
1018,514,7162,10
1019,514,7163,10
1020,514,7164,10
1021,514,7165,10
1022,514,7166,10
1023,514,7167,10
1024,514,7168,10
1025,514,7169,10
1026,514,7170,10
1027,514,7171,10
1028,514,7172,10
1029,514,7173,10
1030,514,7174,10
1031,514,7175,10
1032,514,7176,10
1033,514,7177,10
1034,514,7178,10
1035,514,7179,10
1036,514,7180,10
1037,514,7181,10
1038,514,7182,10
1039,514,7183,10
1040,514,7184,10
1041,514,7185,10
1042,514,7186,10
1043,514,7187,10
1044,514,7188,10
1045,514,7189,10
1046,514,7190,10
1047,514,7191,10
1048,514,7192,10
1049,514,7193,10
1050,514,7194,10
1051,514,7195,10
1052,514,7196,10
1053,514,7197,10
1054,514,7198,10
1055,514,7199,10
1056,514,7200,10
1057,514,7201,10
1058,514,7202,10
1059,140,60112,1
1060,141,60113,1
1061,142,60114,1
1062,143,60115,1
1063,144,60116,1
1064,145,60117,1
1065,146,60118,1
1066,147,60119,1
1067,148,60120,1
1068,149,60121,1
1069,150,60122,1
1070,151,60123,1
1071,152,60124,1
1072,153,60125,1
1073,154,60126,1
1074,155,60127,1
1075,156,60128,1
1076,157,60129,1
1077,158,60130,1
1078,159,60131,1
1079,160,60132,1
1080,161,60133,1
1081,71001,71001,1
1082,71002,71002,1
1083,71003,71003,1
1084,71004,71004,1
1085,71005,71005,1
1086,71006,71006,1
1087,71007,71007,1
1088,71008,71008,1
1089,71009,71009,1
1090,71101,71101,1
1091,71102,71102,1
1092,71103,71103,1
1093,71104,71104,1
1094,71105,71105,1
1095,72001,72001,1
1096,72002,72002,1
1097,72003,72003,1
1098,72004,72004,1
1099,72005,72005,1
1100,72006,72006,1
1101,72007,72007,1
1102,72008,72008,1
1103,72009,72009,1
1104,72010,72010,1
1105,72011,72011,1
1106,72012,72012,1
1107,72013,72013,1
1108,72014,72014,1
1109,72015,72015,1
1110,72016,72016,1
1111,72017,72017,1
1112,64000,61001,1
1113,64001,61002,1
1114,64002,61003,1
1115,400601,100001,1
1116,400601,100002,1
1117,400601,100003,1
1118,162,60134,1
1119,163,60135,1
1120,164,60136,1
1121,165,60137,1
1122,166,60138,1
1123,167,60139,1
1124,81001,81001,1
1125,81002,81002,1
1126,81003,81003,1
1127,81004,81004,1
1128,81005,81005,1
1129,81006,81006,1
1130,81007,81007,1
1131,81008,81008,1
1132,81009,81009,1
1133,81010,81010,1
1134,81011,81011,1
1135,81012,81012,1
