序号,所属武将,天赋ID,UI位置索引,前置条件,连线类型(左上1开始逆时针),每级所需资源,天赋等级上限,获得被动技能,获得主动技能,每级提升武力,每级提升智力,每级提升兵力,名称,简介,图标UI资源地址
82,3003,26,49,24 1,1,205 27 14,5,,,10,0,0,武力,武力+10,UI/RebelFate/icon_DiSanXi01_Tex
83,3003,27,37,25 5|26 5 ,5,205 27 35,10,,,8,8,12,三维,武力+8\n智力+8\n兵力+12,UI/RebelFate/icon_DiSanXi04_Tex
84,3003,28,38,27 10,2,205 27 40|205 21 20|205 28 10|204 3003 40,1,,16012,0,0,0,蜕变,武将获得蜕变特效，主动技能提升,UI/RebelFate/icon_DiSanXi07_Tex
85,3004,1,27,,0,205 9 5,10,,,2,2,3,三维,武力+2\n智力+2\n兵力+3,UI/RebelFate/icon_DiSanXi04_Tex
86,3004,2,14,1 10,4,205 9 5,10,,,0,0,6,兵力,兵力+6,UI/RebelFate/icon_DiSanXi03_Tex
87,3004,3,15,2 10,2,205 9 7,10,,,0,0,6,兵力,兵力+6,UI/RebelFate/icon_DiSanXi03_Tex
88,3004,4,28,1 10,2,205 9 5,10,,,4,0,0,武力,武力+4,UI/RebelFate/icon_DiSanXi01_Tex
89,3004,5,40,1 10,1,205 9 5,10,,,0,4,0,智力,智力+4,UI/RebelFate/icon_DiSanXi02_Tex
90,3004,6,41,5 10,2,205 9 7,10,,,0,4,0,智力,智力+4,UI/RebelFate/icon_DiSanXi02_Tex
91,3004,7,29,3 10|6 10,5,205 9 20|205 7 40|205 8 40|204 3004 5,1,6023,,0,0,0,逆命lv1,逆命lv1,UI/RebelFate/icon_DiSanXi05_Tex
92,3004,8,30,7 1,2,205 9 14,10,,,0,6,0,智力,智力+6,UI/RebelFate/icon_DiSanXi02_Tex
93,3004,9,17,8 10,4,205 9 14,10,,,0,6,0,智力,智力+6,UI/RebelFate/icon_DiSanXi02_Tex
94,3004,10,4,9 10,8,205 9 40|205 7 80|205 4 30,1,6028,,0,0,0,智力羁绊,智力羁绊,UI/RebelFate/icon_DiSanXi06_Tex
95,3004,11,43,8 10,1,205 9 14,10,,,6,0,0,武力,武力+6,UI/RebelFate/icon_DiSanXi01_Tex
96,3004,12,56,11 10,32,205 9 40|205 8 80|205 4 30,1,6027,,0,0,0,武力羁绊,武力羁绊,UI/RebelFate/icon_DiSanXi06_Tex
97,3004,13,31,8 10,2,205 9 35,10,,,4,4,6,三维,武力+4\n智力+4\n兵力+6,UI/RebelFate/icon_DiSanXi04_Tex
98,3004,14,18,13 10,4,205 18 9,5,,,0,0,9,兵力,兵力+9,UI/RebelFate/icon_DiSanXi03_Tex
99,3004,15,44,13 10,1,205 18 9,5,,,0,6,0,智力,智力+6,UI/RebelFate/icon_DiSanXi02_Tex
100,3004,16,32,13 5|14 5|15 5,7,205 18 20|205 16 60|205 13 15|204 3004 10,1,6024,,0,0,0,逆命lv2,逆命lv2,UI/RebelFate/icon_DiSanXi05_Tex
101,3004,17,33,16 1,2,205 18 14,10,,,0,6,0,智力,智力+6,UI/RebelFate/icon_DiSanXi02_Tex
102,3004,18,20,17 10,4,205 18 10,5,,,0,0,9,兵力,兵力+9,UI/RebelFate/icon_DiSanXi03_Tex
103,3004,19,46,17 5,1,205 18 10,5,,,6,0,0,武力,武力+6,UI/RebelFate/icon_DiSanXi01_Tex
104,3004,20,34,18 5|19 5 ,5,205 18 40|205 17 60|205 13 15|204 3004 15,1,6025,,0,0,0,逆命lv3,逆命lv3,UI/RebelFate/icon_DiSanXi05_Tex
105,3004,21,21,20 1,4,205 18 18,5,,,0,0,12,兵力,兵力+12,UI/RebelFate/icon_DiSanXi03_Tex
106,3004,22,47,20 1,1,205 18 18,5,,,0,8,0,智力,智力+8,UI/RebelFate/icon_DiSanXi02_Tex
107,3004,23,35,21 5|22 5 ,5,205 27 42,10,,,6,6,9,三维,武力+6\n智力+6\n兵力+9,UI/RebelFate/icon_DiSanXi04_Tex
108,3004,24,36,23 10,2,205 27 20|205 25 40|205 26 40|204 3004 30,1,6026,,0,0,0,逆命lv4,逆命lv4,UI/RebelFate/icon_DiSanXi05_Tex
109,3004,25,23,24 1,4,205 27 14,5,,,0,0,15,兵力,兵力+15,UI/RebelFate/icon_DiSanXi03_Tex
110,3004,26,49,24 1,1,205 27 14,5,,,0,10,0,智力,智力+10,UI/RebelFate/icon_DiSanXi02_Tex
111,3004,27,37,25 5|26 5 ,5,205 27 35,10,,,8,8,12,三维,武力+8\n智力+8\n兵力+12,UI/RebelFate/icon_DiSanXi04_Tex
112,3004,28,38,27 10,2,205 27 40|205 22 20|205 28 10|204 3004 40,1,,16042,0,0,0,蜕变,武将获得蜕变特效，主动技能提升,UI/RebelFate/icon_DiSanXi07_Tex
