序号,信息文本,图片,奖励类型(1卡片2卡魂3军令4星星),奖励值
12,江东小霸王孙策，在父亲过世之后逐渐开始活跃，是东吴名将中难得的擅长枪阵的武将，已经受到许多爱好东吴的主公的关注。,UI/Adventure/bg1_adventure_Tex,2,10000
13,最近到处传播着袁术将要称帝的消息，各路诸侯纷纷表示愤慨和强烈的谴责，曹操表示，如果袁术不放弃这个念头交出玉玺，他将会派出部队对其进行毁灭性打击。,UI/Adventure/bg1_adventure_Tex,2,12000
14,意图谋反篡位的袁术已经被彻底消灭，参与平乱的曹操表示：“想要篡位就是与我曹某为敌。”而袁术的兄弟袁绍则表示自己与这次篡位行动无关。,UI/Adventure/bg3_adventure_Tex,2,9000
15,新的冲突终于展开！曹操和刘备已经举兵进攻下邳，准备与昔日盟友吕布决一死战！对于这次反目，双方都表示，是对方先动的手，真相究竟是什么呢？,UI/Adventure/bg3_adventure_Tex,2,8000
16,这是一场惊心动魄的较量！在势均力敌的情况下，主公利用他的谋略成功战胜了天下无双的吕布！在场的多位围观群众表示惊呆了！主公威武！,UI/Adventure/bg3_adventure_Tex,2,12000
17,在蜀国的一群猛将纯爷们中，刘备是最好的领导者，不仅可以提高部队武力，还可以辅助回复兵力，喜欢蜀将的主公们请关注刘备！,UI/Adventure/bg1_adventure_Tex,2,8000
18,最近十分活跃的天子亲军持续招募武将中！有意者请将武将卡投递到军师处。我们的口号是：匡复汉室！铲除敌人！,UI/Adventure/bg2_adventure_Tex,2,1
19,官渡即将开战，在兵力强大的袁绍面前，曹操是不可能赢的！,UI/Adventure/bg3_adventure_Tex,3,5
20,郭嘉的全胜之策可以让敌方的部队降低战斗力，因此受到了各位主公的好评！有时候弱化敌人比强化自己更有效果，更重要的是，郭嘉长得也不错哦~,UI/Adventure/bg1_adventure_Tex,2,9999
21,因为和天子亲军同盟，最近曹操的实力大增，官渡之战形势又微妙了起来！大家纷纷表示很期待天子亲军的表现！,UI/Adventure/bg3_adventure_Tex,3,5
22,在震惊世界的官渡之战中，曹操凭借计谋战胜了袁绍！天子亲军偷袭乌巢并且销毁了袁军的粮草是最大的转折点，我们非常欣慰地看到了一个勇武而英明的主公已经诞生！,UI/Adventure/bg1_adventure_Tex,3,5
23,三国的巾帼从不让须眉，女将不仅可以上阵杀敌，还可以作为侍女随从增加开战时的初始士气。,UI/Adventure/bg1_adventure_Tex,2,8000
24,我也是一个主公，一直以当选最佳主公为目标努力，听说你战力都5000了，我很有危机感，有机会我们一定要打一仗比比谁更厉害！,UI/Adventure/bg1_adventure_Tex,2,800
25,主公您好，您的战力能达到10000实在是让我们太吃惊了！就算是研发团队也达不到这样的战力，我们一定要把你推荐到啪啪三国奥斯卡组委会，最佳主公非你莫属！,UI/Adventure/bg1_adventure_Tex,2,20000
26,荆州戏台首次公演——《千里走单骑》！主演：赵大娘，刘阿公。欢迎乡亲们观赏！,UI/Adventure/bg1_adventure_Tex,2,2000
27,颜良与文丑乃是三国中著名的河北双雄，他们作为勇将单独出阵时可以独当一面。若是两名武将一齐上阵，技能之间互相搭配，就能打出强大的组合效果！,UI/Adventure/bg1_adventure_Tex,2,8000
28,马超是蜀国少有的勇将型骑兵，有了他，妈妈再也不用担心我的全蜀阵容被弓兵克制了！锦马超！参上！（虽然这会儿他还没有投靠蜀国= =）,UI/Adventure/bg1_adventure_Tex,2,8000
29,主公，我是当年逃往汉中的教徒，我已经认清了五斗米道教的真相，对于当年的事情我非常后悔，请主公原谅我收留我，我愿意为你卖命！,UI/Adventure/bg1_adventure_Tex,2,9500
30,曹操帐下重要谋士郭嘉，近日因重病辞退军师职位回家休养，对于郭嘉的离开，曹操表示十分不舍得，希望郭嘉静心休养，早日康复。,UI/Adventure/bg1_adventure_Tex,2,9500
31,孙尚香不仅具备东吴擅长弓箭的特点，还具有蜀将善于治疗的能力，站在阵型后排既能输出又能回复兵力，简直是人妻中的典范！巾帼中的楷模！,UI/Adventure/bg1_adventure_Tex,2,8500
32,此前，东吴大都督在赤壁举行了群英会，参加晚宴的有东吴名将周瑜、鲁肃、 以及来自曹营的蒋干。虽然周瑜表示此次宴会只为叙旧，不为其他，但是民间依然对群英会的目的猜测纷纷。,UI/Adventure/bg1_adventure_Tex,2,9527
33,曹军挥师百万下江东，赤壁的战火正式燃起！！天子亲军与东吴联手是否能够战胜曹操？我们拭目以待！,UI/Adventure/bg3_adventure_Tex,2,10000
34,黄月英与诸葛亮堪称雷公雷母，虽然不及诸葛亮的伤害强大，但是黄月英的一道雷也能造成非常可观的伤害！,UI/Adventure/bg1_adventure_Tex,2,10000
35,各位使用魏延的主公一定要慎重，虽然魏延的技能可以极大地提升己方战斗能力，但是也要小心被反骨所噬，损失太多的兵力啊。,UI/Adventure/bg1_adventure_Tex,2,10000
36,即使是弓手诸多的吴国，太史慈也可以说得上是第一强弓。真的勇士，敢于千里之外取人性命！请把这段话大声念出来！,UI/Adventure/bg1_adventure_Tex,2,50000
37,据闻，主公在赴宴途中遭到东吴暗算，荆州人民在此表达严重抗议和强烈地谴责！请东吴尽快将主公还给我们！不然，我们会更加严重地抗议和谴责！,UI/Adventure/bg1_adventure_Tex,2,50000
38,虽然甘宁和凌统现在一个二货一个傲娇互相拆台不和让我很是头疼，但是我坚信有朝一日，这俩熊孩子若能并肩战斗，一定会让大家吃惊的！,UI/Adventure/bg1_adventure_Tex,2,30000
39,东吴与蜀汉正式宣布结盟，并且对天子亲军宣战！此举引发荆州百姓的不满，不少人自发集资支持天子亲军。,UI/Adventure/bg2_adventure_Tex,2,100000
40,四圣石具有增幅武将的能力，将它们镶嵌在武将卡上之后，可以根据石头的组合增加武将的武力、智力或者兵力。针对武将类型使用四圣石进行极限强化吧！,UI/Adventure/bg1_adventure_Tex,0,0
41,天子亲军又一次踏上征程，我们无比期待主公接下去的表现！,UI/Adventure/bg2_adventure_Tex,2,200000
42,奉天承运，皇帝诏曰：魏公曹操功德极天际地，伊周莫及，今进君爵为魏王，加九锡。钦此。,UI/Adventure/bg2_adventure_Tex,3,10
43,主公，昨天我在池塘里捞鱼，捞上来好大一条锦鲤！他们都说转发有好运，所以我把这条鱼转发给主公你了。,UI/Adventure/bg1_adventure_Tex,13,5
44,我们是天子亲军募捐会的，虽然不能上阵为主公效力，但是作为汉室的子民，应该做一些力所能及的事来支持主公！所以，好汉捐点儿钱呗？（你被强行扣除了1卡魂……）,UI/Adventure/bg1_adventure_Tex,2,-1
45,主公！这次君主觉醒声势浩大，兄弟们都跃跃欲试了！快带我们去挑战吧！,UI/Adventure/bg1_adventure_Tex,3,15
46,乡亲们很久没有听说主公的传奇故事了，说书先生都快没段子可说了，主公，我们都期待你去征服新的剧情呐！别老打竞技场了！,UI/Adventure/bg1_adventure_Tex,3,10
47,战场中越来越多的机关应用，已经给战术体系带来了新的变革！掌握机关应用，就是掌握中原的未来！您还没有开始研究机关吗？请订阅《三国军事杂志》，成为中原机关达人吧！,UI/Adventure/bg3_adventure_Tex,2,500000
48,最新染色技术，色泽鲜艳、不褪色！价格优惠，欢迎购买！※本店提供送货上门服务哦~★,UI/Adventure/bg1_adventure_Tex,2,500000
49,由于杂志受到了惨无人道的破坏，几乎已经看不清上面的字……,UI/Adventure/bg1_adventure_Tex,2,500000
50,【荆州易主！刘备的逆袭？！】本报讯，昨日蜀军大军正式攻下荆州，并且宣示了荆州的所有权。据知情者透露，刘备进城时，几乎没有遭到任何抵抗，而失联多日的天子亲军也没有出现。难道天子亲军就此退出中原争夺了吗？本报将会密切关注后续进展。,UI/Adventure/bg3_adventure_Tex,2,500000
51,这是从南阳的西凉军手里夺取的财宝，张让居然从宫里带了这么多东西出来，实在是让人怀疑……,UI/Adventure/bg1_adventure_Tex,2,5000
52,女子科技会成立两周年啦！这对我们来说，是非常重要的时刻！话说，已经好久不见我们的黄月英会长了，她最近究竟在忙些什么呢？,UI/Adventure/bg1_adventure_Tex,3,15
53,因为生意不好做，很多富商都来到了民兵招募点，希望弃商从军，但是他们好像并不能上战场吧……,UI/Adventure/bg1_adventure_Tex,1,210
