触发任务ID,剧情名,浮出板信息|最多20个字
1197,五斗米道教,敌人：五斗米教徒
1208,替天行道,敌人：张鲁
1225,搜索敌营,敌人：寿春护卫
1241,孙坚旧部,敌人：孙坚旧部下
1255,小霸王孙策,敌人：孙策 蒋钦
1291,散布谣言,敌人：城管
1298,围剿寿春,敌人：袁胤
1303,清除残军,敌人：袁术军
1309,致命一击,敌人：袁术 纪灵
1318,袁术之死,敌人：袁术
1357,策反之计,敌人：郝萌
1380,里应外合,敌人：下邳兵
1388,计谋败露,敌人：高顺 曹性
1397,逃离下邳,敌人：下邳兵
1399,迎战陈宫,敌人：陈宫
1425,假扮密史,敌人：下邳兵
1430,初会张辽,敌人：张辽
1446,水攻下邳,敌人：下邳兵
1450,下邳之战,敌人：下邳兵
1462,天下无双,敌人：吕布
1468,父女之情,敌人：吕玲绮 吕姬
1476,白门楼之战,敌人：吕布 貂蝉 张辽 陈宫
1568,偶遇曹军,敌人：魏军
1576,一场误会,敌人：刘备
1592,常山赵子龙,敌人：赵云
1609,关羽三子,敌人：关平 关索 关兴
1629,袁军乱入,敌人：袁绍军
1632,猛将高览,敌人：高览
1638,华丽之舞,敌人：张郃
1641,追赶刘备,敌人：袁绍军
1644,河间二将,敌人：张郃 高览
1650,继续追赶,敌人：蜀军
1659,去意已决,敌人：刘备
1675,再遇曹军,敌人：魏军
1682,觐见曹操,敌人：魏军
1716,探查敌情,敌人：袁绍军
1724,刺探军情,敌人：张郃
1733,再战二将,敌人：张郃 高览
1746,白马之围,敌人：袁绍军
1759,声东击西,敌人：袁绍军
1774,退兵官渡,敌人：袁绍军
1786,奇袭袁军,敌人：文丑
1790,击退追兵,敌人：刘备 文丑
1798,兄弟相会,敌人：刘备
1814,追赶关羽,敌人：袁绍军
1815,告别爱将,敌人：关羽 甘皇后 糜夫人
1837,故人来降,敌人：许攸
1850,夜袭乌巢,敌人：袁绍军
1868,火烧粮草,敌人：粮草守备军
1870,乌巢守将,敌人：淳于琼
1874,乘胜追击,敌人：袁绍军
1876,怒斩双雄,敌人：颜良 文丑
1884,击溃袁军,敌人：袁绍军
1885,决战官渡,敌人：袁绍 郭图 审配
1889,追击残军,敌人：袁绍军
1894,刘备突袭,敌人：刘备 关羽 张飞 赵云
1927,夜逃出营,敌人：魏军
1947,天生郭奉孝,敌人：郭嘉
1960,神秘老人,敌人：山贼
1974,初探茅庐,敌人：幻象兵
1991,再顾茅庐,敌人：幻象兵
2011,速回新野,敌人：蜀军
2026,巾帼女将,敌人：关凤
2030,关氏姐妹,敌人：关凤 关银屏
2047,出征荆州,敌人：蜀军
2048,关索夫妇,敌人：关索 鲍三娘
2060,奇兵异甲,敌人：木头兵
2067,又见周仓,敌人：周仓
2076,破城之战,敌人：周仓 关平 关兴
2083,夺还荆州,敌人：关羽 周仓 关平 关索 关兴
2148,探查蒹葭关,敌人：蒹葭关守军
2151,白银狮子,敌人：马超
2154,马上双雄,敌人：马超 庞德
2164,追击溃兵,敌人：蒹葭关守军
2167,击破城门,敌人：杨昂 杨任
2175,夺取汉中,敌人：张鲁 张卫 杨昂 杨任
2195,深夜遇袭,敌人：魏军
2199,清除魏军,敌人：魏军
2209,魏将张辽,敌人：张辽
2226,临终之计,敌人：郭嘉 张辽
2256,南部之地,敌人：带来洞主
2262,蛮族之王,敌人：孟获 忙牙长 带来洞主
2300,曹操使臣,敌人：曹魏使臣
2310,孙家小妹,敌人：孙尚香
2332,江东大都督,敌人：周瑜
2345,江边遇敌,敌人：魏军
2356,水土不服,敌人：魏军
2362,可疑的故友,敌人：蒋干
2386,荆州旧部,敌人：蔡瑁 张允
2406,蒋干夜逃,敌人：蒋干
2425,江边巡逻,敌人：魏军
2443,四处捣乱,敌人：魏军
2445,江边东风,敌人：魏军
2449,赤壁的烈火,敌人：曹操 许褚 夏侯惇 夏侯渊
2465,追击魏军,敌人：魏军
2467,华容小道,敌人：魏军
2475,遭遇埋伏,敌人：张郃 于禁
2477,拖延战术,敌人：曹洪 程昱
2486,魏军粮草,敌人：粮草守军
2488,放火烧粮,敌人：李典
2496,曹操援军,敌人：魏军
2497,曹操的阴谋,敌人：曹仁 乐进
2505,荆州城外,敌人：魏军
2508,夏侯二将,敌人：夏侯惇 夏侯渊
2511,怪力虎痴,敌人：许褚
2525,真假曹操,敌人：许褚 夏侯惇 夏侯渊 曹操
2563,汉室皇后,敌人：伏皇后
2579,城外蛮族,敌人：蛮族士兵
2583,再遇蛮王,敌人：孟获 忙牙长
2595,黄氏姐妹,敌人：黄月英 黄月华
2615,蛮汉之争,敌人：蛮族藤甲兵
2624,乌戈国王,敌人：兀突骨
2633,祝融夫人,敌人：祝融夫人
2642,先退蜀军,敌人：蜀军
2644,再退蛮族,敌人：祝融夫人 兀突骨
2654,寻找踪迹,敌人：蛮族士兵
2663,蛮王现身,敌人：孟获 带来洞主
2670,抵抗南蛮,敌人：孟获 祝融夫人 忙牙长 带来洞主 兀突骨
2706,蜀军探子,敌人：蜀军
2711,蜀国大军,敌人：蜀军
2720,白狮兄妹,敌人：马超 马云禄
2728,猛将魏延,敌人：魏延
2733,蜀国援军,敌人：马超 马云禄 魏延
2751,营外蜀军,敌人：蜀军
2757,木牛流马,敌人：黄月华 木牛 流马
2766,异甲奇兵,敌人：黄月英 黄月华
2774,乘胜追击,敌人：魏延 马岱
2778,中计被伏,敌人：魏延 马岱 张苞 张星彩
2788,营救蛮王,敌人：蜀军
2801,神算卧龙,敌人：诸葛亮 黄月英 马超 魏延 黄月华
2836,一张请帖,敌人：蜀军
2849,新野周围,敌人：山贼
2852,建业周围,敌人：山贼
2857,来者不善,敌人：蜀军
2867,东莱太史慈,敌人：太史慈
2886,暗藏杀机,敌人：刺客
2908,大闹婚宴,敌人：刺客
2922,设计陷害,敌人：吴军
2926,反面角色,敌人：赵云
2937,新婚夫妇,敌人：刘备 孙尚香 赵云
2940,女子自强团,敌人：侍女
2954,江东的贤母,敌人：吴国太 吴夫人 步练师 孙尚香
2970,逃出重围,敌人：吴军
2983,一波追兵,敌人：吴军
2989,国士之风,敌人：凌统
2994,最差拍档,敌人：甘宁 凌统
3009,又一波追兵,敌人：吴国精锐
3023,正中圈套,敌人：吴军
3031,再战太史慈,敌人：太史慈
3033,迷失方向,敌人：吴军
3035,一大波追兵,敌人：吴军
3041,踌躇的周郎,敌人：周瑜 小乔
3065,策马天下,敌人：少年孙策 少年周瑜
3079,穷途末路,敌人：孙权 周瑜 小乔
3093,里黄巾之乱,敌人：黄金军
3098,偶遇故人？,敌人：孙坚 孙策
3130,里西凉之乱,敌人：西凉军
3133,袖手旁观？,敌人：曹操 孙坚 刘备
3145,逃出疑阵,敌人：幻象兵
3147,阵法罩门,敌人：幻象兵
3149,逃离成功？,敌人：王涵雨
3162,新的疑虑,敌人：魏军
3181,信任危机？,敌人：何进 张让
3189,魏国五骑,敌人：曹操 夏侯惇 曹仁 张辽 司马懿
3199,挽回,敌人：魏军
3204,追寻的力量,敌人：曹操 夏侯惇 曹仁 汉献帝 伏皇后
3228,犹疑之火,敌人：魏军
3238,里赤壁之战,敌人：周瑜 诸葛亮 黄盖
3244,看破疑阵,敌人：幻象兵
3252,阵眼,敌人：诸葛亮
3267,破阵,敌人：东吴杂兵
3270,吴下阿蒙,敌人：吕蒙 凌统
3274,追兵集结,敌人：蜀军 吴军
3276,吴蜀联军,敌人：赵云 鲁肃
3285,突围？,敌人：蜀军 吴军
3306,亮瑜无双,敌人：周瑜 诸葛亮
3316,逃出,敌人：吴军
3336,曹三公子,敌人：曹植 杨修
