道具ID,商品类型,商品子类型,商品数量,需要战力,货币类型,货币子类型,价格,自定义参数,自定义参数,商品描述
1102,23,0,5,0,35,0,250,0,0,一张刻有古老文字的羊皮纸，可用于“武将传承”。
1103,200,68,15,0,35,0,50,0,0,散发着紫色光芒的宝石，可用于洗练兵符。
7001,43,0,1,8800,5,0,380,0,0,画有复杂机关结构的图纸，可用于“战争工坊”的研发和升星。
7002,44,0,5,8800,5,0,180,0,0,粗制铁，质地坚硬而脆，可用于“战争工坊”的研发和升星。
7003,47,0,5,8800,5,0,180,0,0,廉价的木材，质地较软，可用于“战争工坊”研发和升星。
7004,45,0,5,8800,44,0,25,0,0,生铁精炼而成，比更为坚硬，可用于“战争工坊”的研发和升星。
7005,48,0,5,8800,47,0,25,0,0,坚固的木材，常见于南方，可用于“战争工坊”研发和升星。
7006,46,0,5,8800,45,0,25,0,0,深山陨铁锻制七七四十九天而成，可用于“战争工坊”研发和升星。
7007,49,0,5,8800,48,0,25,0,0,质地坚硬的木材，万古不朽，可用于“战争工坊”研发和升星。
8101,31,7000101,1,0,50,0,300,0,0,武器类型：刀\n属性：武106 智80 兵132\n[ffcc00]包含被动：勇武[-]
8102,31,7000102,1,0,50,0,300,0,0,武器类型：剑\n属性：武106 智106 兵106\n[ffcc00]包含被动：勇武[-]
8103,31,7000103,1,0,50,0,300,0,0,武器类型：枪\n属性：武132 智80 兵106\n[ffcc00]包含被动：勇武[-]
8104,31,7000104,1,0,50,0,300,0,0,武器类型：弓\n属性：武106 智106 兵106\n[ffcc00]包含被动：勇武[-]
8105,31,7000105,1,0,50,0,300,0,0,武器类型：扇\n属性：武106 智132 兵80\n[ffcc00]包含被动：勇武[-]
8106,31,7000111,1,0,50,0,600,0,0,武器类型：刀\n属性：武106 智80 兵132\n[ffcc00]包含被动：持盾[-]
8107,31,7000112,1,0,50,0,600,0,0,武器类型：剑\n属性：武106 智106 兵106\n[ffcc00]包含被动：持盾[-]
8108,31,7000113,1,0,50,0,600,0,0,武器类型：枪\n属性：武132 智80 兵106\n[ffcc00]包含被动：持盾[-]
8109,31,7000114,1,0,50,0,600,0,0,武器类型：弓\n属性：武106 智106 兵106\n[ffcc00]包含被动：持盾[-]
8110,31,7000115,1,0,50,0,600,0,0,武器类型：扇\n属性：武106 智132 兵80\n[ffcc00]包含被动：持盾[-]
8201,31,7000201,1,0,50,0,300,0,0,武器类型：刀\n属性：武106 智80 兵132\n[ffcc00]包含被动：坚韧[-]
8202,31,7000202,1,0,50,0,300,0,0,武器类型：剑\n属性：武106 智106 兵106\n[ffcc00]包含被动：坚韧[-]
8203,31,7000203,1,0,50,0,300,0,0,武器类型：枪\n属性：武132 智80 兵106\n[ffcc00]包含被动：坚韧[-]
8204,31,7000204,1,0,50,0,300,0,0,武器类型：弓\n属性：武106 智106 兵106\n[ffcc00]包含被动：坚韧[-]
8205,31,7000205,1,0,50,0,300,0,0,武器类型：扇\n属性：武106 智132 兵80\n[ffcc00]包含被动：坚韧[-]
8206,31,7000211,1,0,50,0,600,0,0,武器类型：刀\n属性：武106 智80 兵132\n[ffcc00]包含被动：会心[-]
8207,31,7000212,1,0,50,0,600,0,0,武器类型：剑\n属性：武106 智106 兵106\n[ffcc00]包含被动：会心[-]
8208,31,7000213,1,0,50,0,600,0,0,武器类型：枪\n属性：武132 智80 兵106\n[ffcc00]包含被动：会心[-]
8209,31,7000214,1,0,50,0,600,0,0,武器类型：弓\n属性：武106 智106 兵106\n[ffcc00]包含被动：会心[-]
8210,31,7000215,1,0,50,0,600,0,0,武器类型：扇\n属性：武106 智132 兵80\n[ffcc00]包含被动：会心[-]
8301,31,7000301,1,0,50,0,300,0,0,武器类型：刀\n属性：武106 智80 兵132\n[ffcc00]包含被动：雄师[-]
8302,31,7000302,1,0,50,0,300,0,0,武器类型：剑\n属性：武106 智106 兵106\n[ffcc00]包含被动：雄师[-]
8303,31,7000303,1,0,50,0,300,0,0,武器类型：枪\n属性：武132 智80 兵106\n[ffcc00]包含被动：雄师[-]
8304,31,7000304,1,0,50,0,300,0,0,武器类型：弓\n属性：武106 智106 兵106\n[ffcc00]包含被动：雄师[-]
8305,31,7000305,1,0,50,0,300,0,0,武器类型：扇\n属性：武106 智132 兵80\n[ffcc00]包含被动：雄师[-]
8306,31,7000311,1,0,50,0,600,0,0,武器类型：刀\n属性：武106 智80 兵132\n[ffcc00]包含被动：集中[-]
8307,31,7000312,1,0,50,0,600,0,0,武器类型：剑\n属性：武106 智106 兵106\n[ffcc00]包含被动：集中[-]
8308,31,7000313,1,0,50,0,600,0,0,武器类型：枪\n属性：武132 智80 兵106\n[ffcc00]包含被动：集中[-]
8309,31,7000314,1,0,50,0,600,0,0,武器类型：弓\n属性：武106 智106 兵106\n[ffcc00]包含被动：集中[-]
8310,31,7000315,1,0,50,0,600,0,0,武器类型：扇\n属性：武106 智132 兵80\n[ffcc00]包含被动：集中[-]
8401,31,7000401,1,0,50,0,300,0,0,武器类型：刀\n属性：武106 智80 兵132\n[ffcc00]包含被动：反枪[-]
8402,31,7000402,1,0,50,0,300,0,0,武器类型：剑\n属性：武106 智106 兵106\n[ffcc00]包含被动：反枪[-]
8403,31,7000403,1,0,50,0,300,0,0,武器类型：枪\n属性：武132 智80 兵106\n[ffcc00]包含被动：反枪[-]
8404,31,7000404,1,0,50,0,300,0,0,武器类型：弓\n属性：武106 智106 兵106\n[ffcc00]包含被动：反枪[-]
8405,31,7000405,1,0,50,0,300,0,0,武器类型：扇\n属性：武106 智132 兵80\n[ffcc00]包含被动：反枪[-]
8406,31,7000411,1,0,50,0,600,0,0,武器类型：刀\n属性：武106 智80 兵132\n[ffcc00]包含被动：识破[-]
8407,31,7000412,1,0,50,0,600,0,0,武器类型：剑\n属性：武106 智106 兵106\n[ffcc00]包含被动：识破[-]
8408,31,7000413,1,0,50,0,600,0,0,武器类型：枪\n属性：武132 智80 兵106\n[ffcc00]包含被动：识破[-]
8409,31,7000414,1,0,50,0,600,0,0,武器类型：弓\n属性：武106 智106 兵106\n[ffcc00]包含被动：识破[-]
8410,31,7000415,1,0,50,0,600,0,0,武器类型：扇\n属性：武106 智132 兵80\n[ffcc00]包含被动：识破[-]
8501,31,7000501,1,0,50,0,300,0,0,武器类型：刀\n属性：武106 智80 兵132\n[ffcc00]包含被动：反弓[-]
8502,31,7000502,1,0,50,0,300,0,0,武器类型：剑\n属性：武106 智106 兵106\n[ffcc00]包含被动：反弓[-]
8503,31,7000503,1,0,50,0,300,0,0,武器类型：枪\n属性：武132 智80 兵106\n[ffcc00]包含被动：反弓[-]
8504,31,7000504,1,0,50,0,300,0,0,武器类型：弓\n属性：武106 智106 兵106\n[ffcc00]包含被动：反弓[-]
8505,31,7000505,1,0,50,0,300,0,0,武器类型：扇\n属性：武106 智132 兵80\n[ffcc00]包含被动：反弓[-]
8506,31,7000511,1,0,50,0,600,0,0,武器类型：刀\n属性：武106 智80 兵132\n[ffcc00]包含被动：神佑[-]
8507,31,7000512,1,0,50,0,600,0,0,武器类型：剑\n属性：武106 智106 兵106\n[ffcc00]包含被动：神佑[-]
8508,31,7000513,1,0,50,0,600,0,0,武器类型：枪\n属性：武132 智80 兵106\n[ffcc00]包含被动：神佑[-]
8509,31,7000514,1,0,50,0,600,0,0,武器类型：弓\n属性：武106 智106 兵106\n[ffcc00]包含被动：神佑[-]
8510,31,7000515,1,0,50,0,600,0,0,武器类型：扇\n属性：武106 智132 兵80\n[ffcc00]包含被动：神佑[-]
8601,31,7000601,1,0,50,0,300,0,0,武器类型：刀\n属性：武106 智80 兵132\n[ffcc00]包含被动：反骑[-]
8602,31,7000602,1,0,50,0,300,0,0,武器类型：剑\n属性：武106 智106 兵106\n[ffcc00]包含被动：反骑[-]
