序号,触发类型(1时间2战力3卡片4剧情),触发参数（0时间）,大小(1大2中3小),奇遇ID,事件标题,事件文本
91,4,516,3,82,拿回财宝,收到了赵掌柜的来信
92,4,636,3,83,同一阵营,收到了孙坚的来信
93,4,699,2,8,火烧洛阳,收到了最新一期的杂志
94,4,747,2,9,天子亲军成立！,最新一期的三国Times杂志到了
95,4,874,3,84,温酒斩华雄,收到了关圣义气团寄来的信
96,4,881,3,85,我们不服！,收到了吕布崇拜者的来信
97,4,992,2,10,喜大普奔,收到了最新的三国八卦杂志
98,4,1056,3,86,讨伐国贼,收到了丁奉的加入申请
99,4,1080,2,11,长安城的决战,最新一期的三国Times提到了主公
100,4,1101,3,87,董卓终于死了！,武将鲍信写来一封信
101,4,1196,3,88,真诚的忏悔,收到了周仓的来信
102,4,1217,3,89,饿死爹啦！,收到了五斗米道教信徒的来信
103,4,1272,2,12,三国IDOL,最新一期的偶像杂志介绍了孙策
104,4,1297,2,13,小道消息,收到了最新一期的三国八卦杂志
105,4,1336,2,14,伪帝的下场,最新的杂志提到了剿灭袁术之战
106,4,1434,2,15,反目成仇,三国八卦志报道了吕布和曹操反目的消息
107,4,1466,2,16,吕布的末路！,最新一期三国Times杂志提到了主公
108,4,1502,3,90,你打败了吕布？！,收到了旧敌徐荣的来信
109,4,1580,2,17,三国IDOL,最新一期的偶像杂志介绍了刘备
110,4,1586,3,91,援军到来,收到了汉献帝的来信
111,4,1640,2,18,天子亲军招募中！,最新一期的三国Times杂志刊登了招人广告
112,4,1670,2,19,官渡形势分析一,收到了最新一期的三国Times杂志
113,4,1674,3,92,有心无力,村民张老伯来信表示支持主公
114,4,1723,2,20,三国IDOL,最新一期的偶像杂志介绍了郭嘉
115,4,1790,2,21,官渡形势分析二,最新一期的三国Times杂志到了
116,4,1827,2,26,新剧开演,收到了荆州戏台的节目单
117,4,1880,2,27,三国IDOL,最新一期的偶像杂志介绍了颜良文丑
118,4,1893,3,93,田丰前来投靠,收到了袁绍旧部田丰的来信
119,4,1959,2,22,官渡之战,杂志上刊登了官渡之战的战果
120,4,2010,3,94,上将的加盟,收到了潘凤的来信
121,4,2032,2,23,三国的女将们,三国偶像杂志介绍了女将的用处
122,4,2059,3,95,卧龙夫妇,收到了水镜先生的来信
123,4,2099,3,96,偶像的倒塌,收到了王大个的来信
124,4,57,3,98,论基友的重要性,收到了王涵雨的来信
125,4,2153,2,28,三国IDOL,最新一期的偶像杂志介绍了马超
126,4,2166,2,29,醒悟的教徒,收到了五斗米道教信徒的来信
127,4,2240,2,30,郭嘉因病退隐,收到了最新一期的八卦杂志
128,4,2313,2,31,三国IDOL,最新一期的偶像杂志介绍了孙尚香
129,4,2405,2,32,群英会,随手领到一份东吴周刊
130,4,2448,2,33,赤壁的烈火,收到了最新一期的三国Times杂志
131,4,2476,3,99,华容道的路人,收到了过路商人的来信
132,4,2494,3,100,奇怪的曹操,收到了路人的来信
133,4,2533,3,101,棋逢对手,收到了曹操的来信
134,4,2578,3,102,皇后本命,收到了武将李斌斌的来信
135,4,2602,2,34,三国IDOL,最新一期的偶像杂志介绍了黄月英
136,4,2679,3,103,南蛮富商,收到了南方来的商人的信
137,4,2732,2,35,三国IDOL,最新一期的偶像杂志介绍了魏延
138,4,2800,3,104,双龙会,收到了水镜先生的来信
139,4,4040,3,105,作者的致意,收到了制作团队的来信
140,4,2810,3,106,富商的担心,收到了荆州富商联盟的信
141,4,2839,3,107,喜帖,收到了孙权的来信
142,4,2861,2,36,三国IDOL,最新一期偶像杂志介绍了太史慈
143,4,2969,2,37,民众的愤怒,收到了最新一期的荆州时报
144,4,2988,3,108,铁蛋的关心,捡到了一个破袋子
145,4,3008,2,38,三国IDOL,新杂志上刊登了孙权的采访
146,4,3085,3,109,攻心之战,收到了水镜先生的来信
147,4,3257,3,110,前途无量,收到了水镜先生的来信
148,4,3269,3,111,皇帝的关心,收到了献帝的来信
149,4,3273,2,39,百姓集资,收到了最新一期的三国Times杂志
150,4,3335,3,112,保护好我女儿,收到了王威风的来信
151,2,3600,3,113,与人斗其乐无穷,竞技场招募令！！
152,4,716,2,40,四圣石的用处,杂志上介绍了关于四圣石的用法
153,3,250,3,114,不为人知的孝子,收到了来自曹丕的来信
154,3,251,3,115,灵异事件调查协会,收到了路人散发的广告纸
155,3,252,3,116,立志成才的笨蛋,收到了刘禅的来信
156,3,253,3,117,进击的继承者们,收到了孙小虎的来信
157,4,3377,2,41,新的征程,最新一期三国Times杂志已到
158,4,3400,3,118,赋诗一首,收到了曹植的来信
159,4,3493,2,42,圣旨,来自皇帝的圣旨
160,4,3560,3,119,父亲的信任,收到了王威风的来信
161,4,3600,3,120,跟定你了！,收到了杨修的来信
162,4,3639,3,121,洛神赋,捡到了一张粉红粉红的纸
163,4,3756,2,47,新的战术革命,收到了新出版的军事情报杂志
164,4,3795,2,48,绸缎大促销,收到了锦绣布庄的广告
165,4,3912,2,49,……洲……乱……,收到了一本残破的三国Times杂志
166,4,3990,2,50,荆州的动乱,找到了上一期的三国Times杂志
167,4,4018,3,126,请支持姜维,收到自然力量协会的来信
168,4,468,2,51,失落的财宝,缴获了被西凉军队抢夺的物资
169,4,946,3,127,民众的慰问,收到了百姓的来信
170,1,0,3,129,三国佳缘的危机,收到了媒婆的来信
171,3,142,3,130,强武之辅,收到了辛宪英的来信
172,4,69,3,131,睿智之辅,收到了王异的来信
173,4,108,3,132,传世利器,收到了王威风的来信
174,4,263,3,133,进阶之力1,收到于吉的来信
175,4,270,3,134,进阶之力2,收到左慈的来信
176,4,283,3,135,进阶之力3,收到南华老仙的来信
177,3,49,3,136,低调的猛将,收到郭嘉的来信
178,3,206,3,137,吕布的关照,收到吕布的来信
