礼包ID,礼包名称,礼包名称(公告界面UI显示),原价,刷新类型0不刷新1每日刷新2每周刷新,一次生命周期内购买次数,礼包类型,开启条件,开启条件关系 0或1与,持续时间（单位小时，-1是永久）,排序ID,显示开关,礼包背景底图,礼包图片,灯光效果,礼包提示界面,礼包提示名称,礼包提示优先级（越小优先级越高，可以为负值。每天只有第一次登录时弹出。）,礼包提示信息,奖励1,奖励2,奖励3,奖励4,奖励5,奖励6,奖励7
12,霸主礼包,霸主礼包,1980,0,1,3,15|16,1,-1,30105,1,UI/Store/bg_Gift03_Tex,UI/Store/icon_Gift005_Tex,1,UI/Activity/Bg_Gift_Tex,UI/Activity/Bg_Gift_Label01_Tex,107,霸主礼包，超多福利等着你,53|10|1,29|50|1,1|7011 1 0|10,16|40|1,17|40|1,18|40|1,
13,君王礼包,君王礼包,3280,0,1,3,17|18,1,-1,30106,1,UI/Store/bg_Gift03_Tex,UI/Store/icon_Gift006_Tex,1,UI/Activity/Bg_Gift_Tex,UI/Activity/Bg_Gift_Label01_Tex,108,君王礼包，超多福利等着你,53|20|1,29|100|1,1|7011 1 0|20,34|10|1,2|10000000|1,,
14,帝王礼包,帝王礼包,3880,0,1,3,19|20,1,-1,30107,1,UI/Store/bg_Gift03_Tex,UI/Store/icon_Gift007_Tex,1,UI/Activity/Bg_Gift_Tex,UI/Activity/Bg_Gift_Label01_Tex,109,帝王礼包，超多福利等着你,53|30|1,29|150|1,1|7011 1 0|40,1|7006 1 0|10,2|20000000|1,,
15,觉醒礼包,觉醒礼包,280,0,1,4,21,1,-1,30151,1,UI/Store/bg_Gift05_Tex,UI/Store/icon_big_juexing_Tex,0,UI/Activity/Bg_Gift_Tex,UI/Activity/Bg_Gift_Label01_Tex,110,觉醒礼包，超多福利等着你,30|0|15,30|1|15,30|2|15,30|3|15,30|4|15,28|150|1,
16,堕天礼包,堕天礼包,280,0,1,4,22,1,-1,30152,1,UI/Store/bg_Gift04_Tex,UI/Store/icon_big_duotian_Tex,0,UI/Activity/Bg_Gift_Tex,UI/Activity/Bg_Gift_Label01_Tex,111,堕天礼包，超多福利等着你,30|5|15,30|6|15,30|7|15,30|8|15,30|9|15,28|150|1,
17,诸侯回归礼包,诸侯回归,280,0,1,5,23|24,1,-1,30191,1,UI/Store/bg_Gift_back_Tex,null,0,UI/Activity/Bg_Gift_Tex,UI/Activity/Bg_Gift_Label01_Tex,112,诸侯回归礼包，超多福利等着你,29|20|1,1|7011 1 0|2,2|2000000|1,,,,
18,王候回归礼包,王侯回归,280,0,1,5,25|26,1,-1,30192,1,UI/Store/bg_Gift_back_Tex,null,1,UI/Activity/Bg_Gift_Tex,UI/Activity/Bg_Gift_Label01_Tex,113,王候回归礼包，超多福利等着你,29|30|1,1|7011 1 0|5,2|4000000|1,,,,
19,霸主回归礼包,霸主回归,280,0,1,5,27|28,1,-1,30193,1,UI/Store/bg_Gift_back_Tex,null,1,UI/Activity/Bg_Gift_Tex,UI/Activity/Bg_Gift_Label01_Tex,114,霸主回归礼包，超多福利等着你,53|4|1,29|20|1,1|7011 1 0|5,2|6000000|1,,,
20,君王回归礼包,君王回归,280,0,1,5,29|30,1,-1,30194,1,UI/Store/bg_Gift_back_Tex,null,1,UI/Activity/Bg_Gift_Tex,UI/Activity/Bg_Gift_Label01_Tex,115,君王回归礼包，超多福利等着你,53|8|1,29|45|1,1|7011 1 0|8,34|2|1,,,
21,帝王回归礼包,帝王回归,280,0,1,5,31|32,1,-1,30195,1,UI/Store/bg_Gift_back_Tex,null,1,UI/Activity/Bg_Gift_Tex,UI/Activity/Bg_Gift_Label01_Tex,116,帝王回归礼包，超多福利等着你,53|12|1,29|80|1,1|7011 1 0|11,34|7|1,,,
22,全服团购,,380,0,6,6,35,1,72,30196,1,UI/Store/bg_Gift06_Tex,null,1,UI/Activity/Bg_Gift01_Tex,null,1,,29|0|30,1|7011 1 0|10,23|0|100,,,,
