id,风格,等级,主动技能:枪,弓,骑,主动技能图标,属性提升：武,智,兵,属性提升：武、智、兵,天赋1,天赋2
16,5,16,48001|60002,48002|60005,48001|60002,UI/PassiveSkill/icon_yongjiang1_tex,256,128,242,30,,
17,5,17,48001|60002,48002|60005,48001|60002,UI/PassiveSkill/icon_yongjiang1_tex,272,136,254,30,,
18,5,18,48001|60002,48002|60005,48001|60002,UI/PassiveSkill/icon_yongjiang1_tex,288,144,266,30,,
19,5,19,48001|60002,48002|60005,48001|60002,UI/PassiveSkill/icon_yongjiang1_tex,304,152,278,30,,
20,5,20,48001|60002,48002|60005,48001|60002,UI/PassiveSkill/icon_yongjiang1_tex,320,160,340,60,49001,50001
21,5,21,48001|60002,48002|60005,48001|60002,UI/PassiveSkill/icon_yongjiang1_tex,336,168,352,60,,
22,5,22,48001|60002,48002|60005,48001|60002,UI/PassiveSkill/icon_yongjiang1_tex,352,176,364,60,,
23,5,23,48001|60002,48002|60005,48001|60002,UI/PassiveSkill/icon_yongjiang1_tex,368,184,376,60,,
24,5,24,48001|60002,48002|60005,48001|60002,UI/PassiveSkill/icon_yongjiang1_tex,384,192,388,60,,
25,5,25,48001|60002,48002|60005,48001|60002,UI/PassiveSkill/icon_yongjiang1_tex,400,200,400,60,,
26,5,26,48001|60002,48002|60005,48001|60002,UI/PassiveSkill/icon_yongjiang1_tex,416,208,412,60,,
27,5,27,48001|60002,48002|60005,48001|60002,UI/PassiveSkill/icon_yongjiang1_tex,432,216,424,60,,
28,5,28,48001|60002,48002|60005,48001|60002,UI/PassiveSkill/icon_yongjiang1_tex,448,224,436,60,,
29,5,29,48001|60002,48002|60005,48001|60002,UI/PassiveSkill/icon_yongjiang1_tex,464,232,448,60,,
30,5,30,48001|60002,48002|60005,48001|60002,UI/PassiveSkill/icon_yongjiang1_tex,480,240,560,100,49002,50002
31,6,1,60003|51001|53001,60003|51001|53001,60003|51001|53001,UI/PassiveSkill/icon_jiangjun1_tex,12,8,16,0,,
32,6,2,60003|51001|53001,60003|51001|53001,60003|51001|53001,UI/PassiveSkill/icon_jiangjun1_tex,24,16,32,0,,
33,6,3,60003|51001|53001,60003|51001|53001,60003|51001|53001,UI/PassiveSkill/icon_jiangjun1_tex,36,24,48,0,,
34,6,4,60003|51001|53001,60003|51001|53001,60003|51001|53001,UI/PassiveSkill/icon_jiangjun1_tex,48,32,64,0,,
35,6,5,60003|51001|53001,60003|51001|53001,60003|51001|53001,UI/PassiveSkill/icon_jiangjun1_tex,60,40,80,0,,
36,6,6,60003|51001|53001,60003|51001|53001,60003|51001|53001,UI/PassiveSkill/icon_jiangjun1_tex,72,48,96,0,,
37,6,7,60003|51001|53001,60003|51001|53001,60003|51001|53001,UI/PassiveSkill/icon_jiangjun1_tex,84,56,112,0,,
38,6,8,60003|51001|53001,60003|51001|53001,60003|51001|53001,UI/PassiveSkill/icon_jiangjun1_tex,96,64,128,0,,
39,6,9,60003|51001|53001,60003|51001|53001,60003|51001|53001,UI/PassiveSkill/icon_jiangjun1_tex,108,72,144,0,,
40,6,10,60003|51001|53001,60003|51001|53001,60003|51001|53001,UI/PassiveSkill/icon_jiangjun1_tex,120,80,210,30,61012,61010
41,6,11,60003|51001|53001,60003|51001|53001,60003|51001|53001,UI/PassiveSkill/icon_jiangjun1_tex,132,88,226,30,,
42,6,12,60003|51001|53001,60003|51001|53001,60003|51001|53001,UI/PassiveSkill/icon_jiangjun1_tex,144,96,242,30,,
43,6,13,60003|51001|53001,60003|51001|53001,60003|51001|53001,UI/PassiveSkill/icon_jiangjun1_tex,156,104,258,30,,
44,6,14,60003|51001|53001,60003|51001|53001,60003|51001|53001,UI/PassiveSkill/icon_jiangjun1_tex,168,112,274,30,,
45,6,15,60003|51001|53001,60003|51001|53001,60003|51001|53001,UI/PassiveSkill/icon_jiangjun1_tex,180,120,290,30,,
46,6,16,60003|51001|53001,60003|51001|53001,60003|51001|53001,UI/PassiveSkill/icon_jiangjun1_tex,192,128,306,30,,
47,6,17,60003|51001|53001,60003|51001|53001,60003|51001|53001,UI/PassiveSkill/icon_jiangjun1_tex,204,136,322,30,,
48,6,18,60003|51001|53001,60003|51001|53001,60003|51001|53001,UI/PassiveSkill/icon_jiangjun1_tex,216,144,338,30,,
49,6,19,60003|51001|53001,60003|51001|53001,60003|51001|53001,UI/PassiveSkill/icon_jiangjun1_tex,228,152,354,30,,
50,6,20,60003|51001|53001,60003|51001|53001,60003|51001|53001,UI/PassiveSkill/icon_jiangjun1_tex,240,160,420,60,54001,52001
51,6,21,60003|51001|53001,60003|51001|53001,60003|51001|53001,UI/PassiveSkill/icon_jiangjun1_tex,252,168,436,60,,
52,6,22,60003|51001|53001,60003|51001|53001,60003|51001|53001,UI/PassiveSkill/icon_jiangjun1_tex,264,176,452,60,,
53,6,23,60003|51001|53001,60003|51001|53001,60003|51001|53001,UI/PassiveSkill/icon_jiangjun1_tex,276,184,468,60,,
54,6,24,60003|51001|53001,60003|51001|53001,60003|51001|53001,UI/PassiveSkill/icon_jiangjun1_tex,288,192,484,60,,
55,6,25,60003|51001|53001,60003|51001|53001,60003|51001|53001,UI/PassiveSkill/icon_jiangjun1_tex,300,200,500,60,,
56,6,26,60003|51001|53001,60003|51001|53001,60003|51001|53001,UI/PassiveSkill/icon_jiangjun1_tex,312,208,516,60,,
57,6,27,60003|51001|53001,60003|51001|53001,60003|51001|53001,UI/PassiveSkill/icon_jiangjun1_tex,324,216,532,60,,
58,6,28,60003|51001|53001,60003|51001|53001,60003|51001|53001,UI/PassiveSkill/icon_jiangjun1_tex,336,224,548,60,,
59,6,29,60003|51001|53001,60003|51001|53001,60003|51001|53001,UI/PassiveSkill/icon_jiangjun1_tex,348,232,564,60,,
60,6,30,60003|51001|53001,60003|51001|53001,60003|51001|53001,UI/PassiveSkill/icon_jiangjun1_tex,360,240,680,100,54002,52002
61,7,1,60001,60001,60001,UI/PassiveSkill/icon_zhijiang1_tex,12,12,12,0,,
62,7,2,60001,60001,60001,UI/PassiveSkill/icon_zhijiang1_tex,24,24,24,0,,
63,7,3,60001,60001,60001,UI/PassiveSkill/icon_zhijiang1_tex,36,36,36,0,,
64,7,4,60001,60001,60001,UI/PassiveSkill/icon_zhijiang1_tex,48,48,48,0,,
65,7,5,60001,60001,60001,UI/PassiveSkill/icon_zhijiang1_tex,60,60,60,0,,
66,7,6,60001,60001,60001,UI/PassiveSkill/icon_zhijiang1_tex,72,72,72,0,,
67,7,7,60001,60001,60001,UI/PassiveSkill/icon_zhijiang1_tex,84,84,84,0,,
68,7,8,60001,60001,60001,UI/PassiveSkill/icon_zhijiang1_tex,96,96,96,0,,
69,7,9,60001,60001,60001,UI/PassiveSkill/icon_zhijiang1_tex,108,108,108,0,,
70,7,10,60001,60001,60001,UI/PassiveSkill/icon_zhijiang1_tex,120,120,170,30,61007,61011
71,7,11,60001,60001,60001,UI/PassiveSkill/icon_zhijiang1_tex,132,132,182,30,,
72,7,12,60001,60001,60001,UI/PassiveSkill/icon_zhijiang1_tex,144,144,194,30,,
73,7,13,60001,60001,60001,UI/PassiveSkill/icon_zhijiang1_tex,156,156,206,30,,
74,7,14,60001,60001,60001,UI/PassiveSkill/icon_zhijiang1_tex,168,168,218,30,,
75,7,15,60001,60001,60001,UI/PassiveSkill/icon_zhijiang1_tex,180,180,230,30,,
76,7,16,60001,60001,60001,UI/PassiveSkill/icon_zhijiang1_tex,192,192,242,30,,
77,7,17,60001,60001,60001,UI/PassiveSkill/icon_zhijiang1_tex,204,204,254,30,,
78,7,18,60001,60001,60001,UI/PassiveSkill/icon_zhijiang1_tex,216,216,266,30,,
79,7,19,60001,60001,60001,UI/PassiveSkill/icon_zhijiang1_tex,228,228,278,30,,
80,7,20,60001,60001,60001,UI/PassiveSkill/icon_zhijiang1_tex,240,240,340,60,55001,56001
81,7,21,60001,60001,60001,UI/PassiveSkill/icon_zhijiang1_tex,252,252,352,60,,
82,7,22,60001,60001,60001,UI/PassiveSkill/icon_zhijiang1_tex,264,264,364,60,,
83,7,23,60001,60001,60001,UI/PassiveSkill/icon_zhijiang1_tex,276,276,376,60,,
84,7,24,60001,60001,60001,UI/PassiveSkill/icon_zhijiang1_tex,288,288,388,60,,
85,7,25,60001,60001,60001,UI/PassiveSkill/icon_zhijiang1_tex,300,300,400,60,,
86,7,26,60001,60001,60001,UI/PassiveSkill/icon_zhijiang1_tex,312,312,412,60,,
87,7,27,60001,60001,60001,UI/PassiveSkill/icon_zhijiang1_tex,324,324,424,60,,
88,7,28,60001,60001,60001,UI/PassiveSkill/icon_zhijiang1_tex,336,336,436,60,,
89,7,29,60001,60001,60001,UI/PassiveSkill/icon_zhijiang1_tex,348,348,448,60,,
90,7,30,60001,60001,60001,UI/PassiveSkill/icon_zhijiang1_tex,360,360,560,100,55002,56002
91,8,1,60004|57001,60004|57001,60004|57001,UI/PassiveSkill/icon_ceshi1_tex,8,16,12,0,,
92,8,2,60004|57001,60004|57001,60004|57001,UI/PassiveSkill/icon_ceshi1_tex,16,32,24,0,,
93,8,3,60004|57001,60004|57001,60004|57001,UI/PassiveSkill/icon_ceshi1_tex,24,48,36,0,,
94,8,4,60004|57001,60004|57001,60004|57001,UI/PassiveSkill/icon_ceshi1_tex,32,64,48,0,,
95,8,5,60004|57001,60004|57001,60004|57001,UI/PassiveSkill/icon_ceshi1_tex,40,80,60,0,,
96,8,6,60004|57001,60004|57001,60004|57001,UI/PassiveSkill/icon_ceshi1_tex,48,96,72,0,,
97,8,7,60004|57001,60004|57001,60004|57001,UI/PassiveSkill/icon_ceshi1_tex,56,112,84,0,,
98,8,8,60004|57001,60004|57001,60004|57001,UI/PassiveSkill/icon_ceshi1_tex,64,128,96,0,,
99,8,9,60004|57001,60004|57001,60004|57001,UI/PassiveSkill/icon_ceshi1_tex,72,144,108,0,,
100,8,10,60004|57001,60004|57001,60004|57001,UI/PassiveSkill/icon_ceshi1_tex,80,160,170,30,61013,61008
101,8,11,60004|57001,60004|57001,60004|57001,UI/PassiveSkill/icon_ceshi1_tex,88,176,182,30,,
102,8,12,60004|57001,60004|57001,60004|57001,UI/PassiveSkill/icon_ceshi1_tex,96,192,194,30,,
103,8,13,60004|57001,60004|57001,60004|57001,UI/PassiveSkill/icon_ceshi1_tex,104,208,206,30,,
104,8,14,60004|57001,60004|57001,60004|57001,UI/PassiveSkill/icon_ceshi1_tex,112,224,218,30,,
105,8,15,60004|57001,60004|57001,60004|57001,UI/PassiveSkill/icon_ceshi1_tex,120,240,230,30,,
106,8,16,60004|57001,60004|57001,60004|57001,UI/PassiveSkill/icon_ceshi1_tex,128,256,242,30,,
107,8,17,60004|57001,60004|57001,60004|57001,UI/PassiveSkill/icon_ceshi1_tex,136,272,254,30,,
108,8,18,60004|57001,60004|57001,60004|57001,UI/PassiveSkill/icon_ceshi1_tex,144,288,266,30,,
109,8,19,60004|57001,60004|57001,60004|57001,UI/PassiveSkill/icon_ceshi1_tex,152,304,278,30,,
110,8,20,60004|57001,60004|57001,60004|57001,UI/PassiveSkill/icon_ceshi1_tex,160,320,340,60,58001,59001
111,8,21,60004|57001,60004|57001,60004|57001,UI/PassiveSkill/icon_ceshi1_tex,168,336,352,60,,
112,8,22,60004|57001,60004|57001,60004|57001,UI/PassiveSkill/icon_ceshi1_tex,176,352,364,60,,
113,8,23,60004|57001,60004|57001,60004|57001,UI/PassiveSkill/icon_ceshi1_tex,184,368,376,60,,
114,8,24,60004|57001,60004|57001,60004|57001,UI/PassiveSkill/icon_ceshi1_tex,192,384,388,60,,
115,8,25,60004|57001,60004|57001,60004|57001,UI/PassiveSkill/icon_ceshi1_tex,200,400,400,60,,
116,8,26,60004|57001,60004|57001,60004|57001,UI/PassiveSkill/icon_ceshi1_tex,208,416,412,60,,
117,8,27,60004|57001,60004|57001,60004|57001,UI/PassiveSkill/icon_ceshi1_tex,216,432,424,60,,
118,8,28,60004|57001,60004|57001,60004|57001,UI/PassiveSkill/icon_ceshi1_tex,224,448,436,60,,
119,8,29,60004|57001,60004|57001,60004|57001,UI/PassiveSkill/icon_ceshi1_tex,232,464,448,60,,
120,8,30,60004|57001,60004|57001,60004|57001,UI/PassiveSkill/icon_ceshi1_tex,240,480,560,100,58002,59002
