序号,活动id,档位描述,发放模式|0选择|1全发,奖励1参数1,奖励1参数2,奖励1参数3
52,1000,每充值达到{0}钻,0,1,340 1 0,1
53,1000,每充值达到{0}钻,0,1,341 1 0,1
54,1000,每充值达到{0}钻,0,1,346 1 0,1
55,1000,每充值达到{0}钻,0,1,347 1 0,1
56,1000,每充值达到{0}钻,0,1,354 1 0,1
57,1000,每充值达到{0}钻,0,1,355 1 0,1
58,1000,每充值达到{0}钻,0,1,358 1 0,1
59,1000,每充值达到{0}钻,0,1,359 1 0,1
60,1000,每充值达到{0}钻,0,1,365 1 0,1
61,1000,每充值达到{0}钻,0,1,366 1 0,1
62,1000,每充值达到{0}钻,0,1,371 1 0,1
63,1000,每充值达到{0}钻,0,1,372 1 0,1
64,1000,每充值达到{0}钻,0,1,376 1 0,1
65,1000,每充值达到{0}钻,0,1,377 1 0,1
66,1000,每充值达到{0}钻,0,1,380 1 0,1
67,1000,每充值达到{0}钻,0,1,381 1 0,1
68,1000,每充值达到{0}钻,0,1,384 1 0,1
69,1000,每充值达到{0}钻,0,1,385 1 0,1
70,1000,每充值达到{0}钻,0,1,388 1 0,1
71,1000,每充值达到{0}钻,0,1,389 1 0,1
72,1000,每充值达到{0}钻,0,1,392 1 0,1
73,1000,每充值达到{0}钻,0,1,393 1 0,1
74,1000,每充值达到{0}钻,0,1,396 1 0,1
75,1000,每充值达到{0}钻,0,1,397 1 0,1
76,1000,每充值达到{0}钻,0,1,401 1 0,1
77,1000,每充值达到{0}钻,0,1,402 1 0,1
78,1000,每充值达到{0}钻,0,1,405 1 0,1
79,1000,每充值达到{0}钻,0,1,406 1 0,1
80,1000,每充值达到{0}钻,0,1,409 1 0,1
81,1000,每充值达到{0}钻,0,1,410 1 0,1
82,1000,每充值达到{0}钻,0,1,413 1 0,1
83,1000,每充值达到{0}钻,0,1,417 1 0,1
84,1000,每充值达到{0}钻,0,1,421 1 0,1
85,1000,每充值达到{0}钻,0,1,422 1 0,1
86,1000,每充值达到{0}钻,0,1,425 1 0,1
87,1000,每充值达到{0}钻,0,1,426 1 0,1
88,1000,每充值达到{0}钻,0,1,429 1 0,1
89,1000,每充值达到{0}钻,0,1,430 1 0,1
90,1000,每充值达到{0}钻,0,1,435 1 0,1
91,1000,每充值达到{0}钻,0,1,436 1 0,1
92,1000,每充值达到{0}钻,0,1,439 1 0,1
93,1000,每充值达到{0}钻,0,1,440 1 0,1
94,1000,每充值达到{0}钻,0,1,443 1 0,1
95,1000,每充值达到{0}钻,0,1,444 1 0,1
96,1000,每充值达到{0}钻,0,1,447 1 0,1
97,1000,每充值达到{0}钻,0,1,448 1 0,1
98,1000,每充值达到{0}钻,0,1,455 1 0,1
99,1000,每充值达到{0}钻,0,1,456 1 0,1
100,1000,每充值达到{0}钻,0,1,414 1 0,1
101,1000,每充值达到{0}钻,0,1,418 1 0,1
102,1000,每充值达到{0}钻,0,1,464 1 0,1
103,1000,每充值达到{0}钻,0,1,468 1 0,1
104,1000,每充值达到{0}钻,0,1,473 1 0,1
105,1000,每充值达到{0}钻,0,1,476 1 0,1
106,1000,每充值达到{0}钻,0,1,481 1 0,1
