资源获取途径,资源类型(备注列),资源描述(备注列),资源获取(systemlimit),资源获取,资源获取标题,资源获取描述,资源获取图标
id,nResType,strResDesc,nGainSys,nGainUI,strGainUITitle,strGainUIDesc,strGainUIIcon
int,int,string,int,int[3],string,string,string
202,26,,22,39|2|-1,公会商店,使用贡献值兑换,UI/FunctionIcon/ShangCheng01_Tex
203,26,,0,17|-1|-1,活动,部分活动中可获取,UI/Main/HuoDong
211,27,银币,16,139|-1|-1,竞技,【竞技场】赛季结算奖励、王者奖励,UI/Main/JingJi
212,27,,22,39|2|-1,公会商店,使用贡献值兑换,UI/FunctionIcon/ShangCheng01_Tex
213,27,,0,17|-1|-1,活动,部分活动中可获取,UI/Main/HuoDong
221,34,金钥匙,0,140|0|-1,日常,参加【黄巾入侵】,UI/Main/FuBen
222,34,,0,17|-1|-1,活动,部分活动中可获取,UI/Main/HuoDong
231,33,银钥匙,0,140|0|-1,日常,参加【黄巾入侵】,UI/Main/FuBen
232,33,,0,17|-1|-1,活动,部分活动中可获取,UI/Main/HuoDong
241,23,传承券,1007,39|9|-1,国战商店,使用战功卷兑换,UI/FunctionIcon/ShangCheng01_Tex
242,23,,16,139|-1|-1,竞技,参加【竞技场】几率获得,UI/Main/JingJi
243,23,,22,39|2|-1,公会商店,使用贡献值兑换,UI/FunctionIcon/ShangCheng01_Tex
251,24,漆盘券,16,139|-1|-1,竞技,参加【竞技场】几率获得,UI/Main/JingJi
252,24,,0,140|0|-1,日常,【圣石漆盘】活动中获取,UI/Main/FuBen
253,24,,0,17|-1|-1,活动,部分活动中可获取,UI/Main/HuoDong
254,24,,22,39|2|-1,公会商店,使用贡献值兑换,UI/FunctionIcon/ShangCheng01_Tex
261,32,战器碎片,23,39|3|-1,派遣商店,使用派遣声望兑换,UI/FunctionIcon/ShangCheng01_Tex
271,200,淬炼石和重置券,8,14|2|-1,招募,战器招募的至尊宝箱有几率获得,UI/Main/ChouKa
272,200,淬炼石和重置券,0,140|0|-1,日常,参加大乱斗,UI/Main/FuBen
273,200,石精,1024,131|-1|-1,百战之路,参与百战之路,UI/ZhengTao/Icon_RuneLevel_Tex
274,200,,0,11|2|0,商店购买,钻石购买,UI/FunctionIcon/ShangCheng01_Tex
275,200,青玉,1024,131|-1|-1,百战之路,参与百战之路,UI/ZhengTao/Icon_RuneLevel_Tex
276,200,,0,11|2|0,商店购买,钻石购买,UI/FunctionIcon/ShangCheng01_Tex
277,200,陨铁,1024,131|-1|-1,百战之路,参与百战之路,UI/ZhengTao/Icon_RuneLevel_Tex
278,200,,0,11|2|0,商店购买,钻石购买,UI/FunctionIcon/ShangCheng01_Tex
279,200,工坊重置券,0,17|-1|-1,活动,部分活动中可获取,UI/Main/HuoDong
281,201,被动精华,21,34|-1|-1,战器,战器回收可获得,UI/Main/zhanqi
282,201,,8,14|2|-1,招募,战器招募回收可获得,UI/Main/ChouKa
283,200,幸运币,0,11|2|-1,商店购买,使用钻石购买,UI/FunctionIcon/ShangCheng01_Tex
284,200,洗炼石,0,11|2|-1,商店购买,使用钻石购买,UI/FunctionIcon/ShangCheng01_Tex
285,200,七彩石,0,17|-1|-1,活动,部分活动中可获取,UI/Main/HuoDong
290,200,训之书,1032,140|0|-1,日常,参与讨伐玩法,UI/Main/FuBen
291,200,,0,11|2|0,商店购买,钻石购买,UI/FunctionIcon/ShangCheng01_Tex
292,200,育之种,1032,140|0|-1,日常,参与讨伐玩法,UI/Main/FuBen
293,200,,0,11|2|0,商店购买,钻石购买,UI/FunctionIcon/ShangCheng01_Tex
294,200,时之漏,0,11|2|0,商店购买,钻石购买,UI/FunctionIcon/ShangCheng01_Tex
295,204,逆命碎片,8,14|2|-1,招募,万界招募有几率获得,UI/Main/ChouKa
296,205,逆命材料,8,14|2|-1,招募,万界招募有几率获得,UI/Main/ChouKa
297,205,万界石,0,11|2|-1,商店购买,使用钻石购买,UI/FunctionIcon/ShangCheng01_Tex
298,205,紫薇之御,1007,39|9|-1,战功商店,使用战功券兑换,UI/FunctionIcon/ShangCheng01_Tex
299,205,紫薇之御,0,39|11|-1,限定商店,使用天命卡兑换,UI/FunctionIcon/ShangCheng01_Tex
