序号,器械名字,器械星级,最大星级,基本类型ID,触发类型,设置数量上限,下级ID,图标路径,"图标偏移(x,y,scale)",总描述,开启所需资源,属性1类型,附加属性1效果（数值扩大1000倍填）,属性2类型,附加属性2效果（数值扩大1000倍填）,属性3类型,附加属性3效果（数值扩大1000倍填）,属性1等级0升级条件,属性1等级1升级条件,属性1等级2升级条件,属性2等级0升级条件,属性2等级1升级条件,属性2等级2升级条件,属性3等级0升级条件,属性3等级1升级条件,属性3等级2升级条件,属性1等级0描述,属性1等级1描述,属性1等级2描述,属性2等级0描述,属性2等级1描述,属性2等级2描述,属性3等级0描述,属性3等级1描述,属性3等级2描述,升星效果描述,属性升级增加战力,等级真加战力
id,strName,nStar,nMaxStar,nBaseTypeID,nEffectID,nLimitCount,nNextId,strIcon,strScale,strTotalDes,strOpenCondition,nAttrType1,strAttrParam1,nAttrType2,strAttrParam2,nAttrType3,strAttrParam3,strLevelUPParam1_0,strLevelUPParam1_1,strLevelUPParam1_2,strLevelUPParam2_0,strLevelUPParam2_1,strLevelUPParam2_2,strLevelUPParam3_0,strLevelUPParam3_1,strLevelUPParam3_2,strAttrDesParam1_0,strAttrDesParam1_1,strAttrDesParam1_2,strAttrDesParam2_0,strAttrDesParam2_1,strAttrDesParam2_2,strAttrDesParam3_0,strAttrDesParam3_1,strAttrDesParam3_2,strAdvStarDesc,nAttrZhanli,nLevelZhanli
int,string,int,int,int,int,int,int,string,string,string,string,int,string,int,string,int,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,int,int
30003,铁刺陷阱,3,3,30000,3,1,0,UI/WarEquipment/icon_thorn01_tex,-15 4 95|0 0 0|0 0 0,将竹矛替换成精铁打造的铁刺，触发后对影响范围内的所有敌方部队立即造成[fed655]{0}[-]点伤害,43 2 0|44 12 0|47 12 0,0,25242000|25242000|25242000|25242000,0,16000|16000|16000|16000,0,999|999|999|999,0 0 0|0 0 0|0 0 0,0 0 0|0 0 0|0 0 0,0 0 0|0 0 0|0 0 0,0 0 0|0 0 0|0 0 0,0 0 0|0 0 0|0 0 0,0 0 0|0 0 0|0 0 0,0 0 0|0 0 0|0 0 0,0 0 0|0 0 0|0 0 0,0 0 0|0 0 0|0 0 0,NULL,NULL,NULL,NULL,NULL,NULL,1,1,1,伤害+1778\n影响范围+5%,0,468
40000,爆炸陷阱,0,3,40000,4,2,40001,UI/WarEquipment/icon_bomb01_tex,-15 15 93|0 0 0|0 0 0,火陷阱的升级版，加入了硫磺硝石，触发后剧烈爆炸对敌方部队造成[fed655]{1}[-]点伤害，并引燃造成每秒[fed655]{0}[-]点伤害持续[fed655]15[-]秒,43 4 0|2 350000 0|29 30 0,101,2784000|3040000|3296000|3552000,100,20880000|22800000|24720000|26640000,0,999|999|999|999,44 30 0|2 200000 0|29 8 0,44 30 0|2 200000 0|29 8 0,44 30 0|2 200000 0|29 8 0,47 30 0|2 200000 0|29 8 0,47 30 0|2 200000 0|29 8 0,47 30 0|2 200000 0|29 8 0,0 0 0|0 0 0|0 0 0,0 0 0|0 0 0|0 0 0,0 0 0|0 0 0|0 0 0,持续伤害+256,持续伤害+256,持续伤害+256,爆炸伤害+1920,爆炸伤害+1920,爆炸伤害+1920,1,1,1,NULL,25,48
40001,爆炸陷阱,1,3,40000,4,2,40002,UI/WarEquipment/icon_bomb01_tex,-15 15 93|0 0 0|0 0 0,火陷阱的升级版，加入了硫磺硝石，触发后剧烈爆炸对敌方部队造成[fed655]{1}[-]点伤害，并引燃造成每秒[fed655]{0}[-]点伤害持续[fed655]15[-]秒,43 4 0|44 20 0|47 20 0,101,3872000|4232000|4592000|4952000,100,29040000|31740000|34440000|37140000,0,999|999|999|999,44 45 0|2 380000 0|29 15 0,44 45 0|2 380000 0|29 15 0,44 45 0|2 380000 0|29 15 0,47 45 0|2 380000 0|29 15 0,47 45 0|2 380000 0|29 15 0,47 45 0|2 380000 0|29 15 0,0 0 0|0 0 0|0 0 0,0 0 0|0 0 0|0 0 0,0 0 0|0 0 0|0 0 0,持续伤害+360,持续伤害+360,持续伤害+360,爆炸伤害+2700,爆炸伤害+2700,爆炸伤害+2700,1,1,1,持续伤害+320\n爆炸伤害+2400,31,258
40002,爆炸陷阱,2,3,40000,4,2,40003,UI/WarEquipment/icon_bomb01_tex,-15 15 93|0 0 0|0 0 0,火陷阱的升级版，加入了硫磺硝石，触发后剧烈爆炸对敌方部队造成[fed655]{1}[-]点伤害，并引燃造成每秒[fed655]{0}[-]点伤害持续[fed655]15[-]秒,43 4 0|44 30 0|47 30 0,101,5392000|6272000|7152000|8032000,100,40440000|47040000|53640000|60240000,0,999|999|999|999,44 60 0|2 800000 0|29 30 0,44 60 0|2 800000 0|29 30 0,44 60 0|2 800000 0|29 30 0,47 60 0|2 800000 0|29 30 0,47 60 0|2 800000 0|29 30 0,47 60 0|2 800000 0|29 30 0,0 0 0|0 0 0|0 0 0,0 0 0|0 0 0|0 0 0,0 0 0|0 0 0|0 0 0,持续伤害+880,持续伤害+880,持续伤害+880,爆炸伤害+6600,爆炸伤害+6600,爆炸伤害+6600,1,1,1,持续伤害+440\n爆炸伤害+3300,36,514
40003,爆炸陷阱,3,3,40000,4,2,0,UI/WarEquipment/icon_bomb01_tex,-15 15 93|0 0 0|0 0 0,火陷阱的升级版，加入了硫磺硝石，触发后剧烈爆炸对敌方部队造成[fed655]{1}[-]点伤害，并引燃造成每秒[fed655]{0}[-]点伤害持续[fed655]15[-]秒,43 4 0|44 40 0|47 40 0,0,9192000|9192000|9192000|9192000,0,68940000|68940000|68940000|68940000,0,999|999|999|999,0 0 0|0 0 0|0 0 0,0 0 0|0 0 0|0 0 0,0 0 0|0 0 0|0 0 0,0 0 0|0 0 0|0 0 0,0 0 0|0 0 0|0 0 0,0 0 0|0 0 0|0 0 0,0 0 0|0 0 0|0 0 0,0 0 0|0 0 0|0 0 0,0 0 0|0 0 0|0 0 0,NULL,NULL,NULL,NULL,NULL,NULL,1,1,1,持续伤害+1160\n爆炸伤害+8700,0,810
50000,炬石陷阱,0,3,50000,5,1,50001,UI/WarEquipment/icon_rockfall01_tex,-16 13 97|0 0 0|0 0 0,燃烧的落石，使敌方部队受到的伤害提升[fed655]{1}%[-]，持续[fed655]{0}[-]秒,43 4 0|2 350000 0|29 30 0,227,5000|5200|5400|5600,226,1100|1120|1140|1160,0,999|999|999|999,44 30 0|2 200000 0|29 8 0,44 30 0|2 200000 0|29 8 0,44 30 0|2 200000 0|29 8 0,47 30 0|2 200000 0|29 8 0,47 30 0|2 200000 0|29 8 0,47 30 0|2 200000 0|29 8 0,0 0 0|0 0 0|0 0 0,0 0 0|0 0 0|0 0 0,0 0 0|0 0 0|0 0 0,持续时间+0.2,持续时间+0.2,持续时间+0.2,易伤比例+2%,易伤比例+2%,易伤比例+2%,1,1,1,NULL,25,48
50001,炬石陷阱,1,3,50000,5,1,50002,UI/WarEquipment/icon_rockfall01_tex,-16 13 97|0 0 0|0 0 0,燃烧的落石，使敌方部队受到的伤害提升[fed655]{1}%[-]，持续[fed655]{0}[-]秒,43 4 0|44 20 0|47 20 0,227,5800|6000|6200|6400,226,1180|1200|1220|1240,0,999|999|999|999,44 45 0|2 380000 0|29 15 0,44 45 0|2 380000 0|29 15 0,44 45 0|2 380000 0|29 15 0,47 45 0|2 380000 0|29 15 0,47 45 0|2 380000 0|29 15 0,47 45 0|2 380000 0|29 15 0,0 0 0|0 0 0|0 0 0,0 0 0|0 0 0|0 0 0,0 0 0|0 0 0|0 0 0,持续时间+0.2,持续时间+0.2,持续时间+0.2,易伤比例+2%,易伤比例+2%,易伤比例+2%,1,1,1,持续时间+0.2\n易伤比例+2%,31,258
50002,炬石陷阱,2,3,50000,5,1,50003,UI/WarEquipment/icon_rockfall01_tex,-16 13 97|0 0 0|0 0 0,燃烧的落石，使敌方部队受到的伤害提升[fed655]{1}%[-]，持续[fed655]{0}[-]秒,43 4 0|44 30 0|47 30 0,227,6600|6800|7000|7200,226,1260|1280|1300|1320,0,999|999|999|999,44 60 0|2 800000 0|29 30 0,44 60 0|2 800000 0|29 30 0,44 60 0|2 800000 0|29 30 0,47 60 0|2 800000 0|29 30 0,47 60 0|2 800000 0|29 30 0,47 60 0|2 800000 0|29 30 0,0 0 0|0 0 0|0 0 0,0 0 0|0 0 0|0 0 0,0 0 0|0 0 0|0 0 0,持续时间+0.2,持续时间+0.2,持续时间+0.2,易伤比例+2%,易伤比例+2%,易伤比例+2%,1,1,1,持续时间+0.2\n易伤比例+2%,36,514
50003,炬石陷阱,3,3,50000,5,1,0,UI/WarEquipment/icon_rockfall01_tex,-16 13 97|0 0 0|0 0 0,燃烧的落石，使敌方部队受到的伤害提升[fed655]{1}%[-]，持续[fed655]{0}[-]秒,43 4 0|44 40 0|47 40 0,0,7400|7400|7400|7400,0,34000|34000|34000|34000,0,999|999|999|999,0 0 0|0 0 0|0 0 0,0 0 0|0 0 0|0 0 0,0 0 0|0 0 0|0 0 0,0 0 0|0 0 0|0 0 0,0 0 0|0 0 0|0 0 0,0 0 0|0 0 0|0 0 0,0 0 0|0 0 0|0 0 0,0 0 0|0 0 0|0 0 0,0 0 0|0 0 0|0 0 0,NULL,NULL,NULL,NULL,NULL,NULL,1,1,1,持续时间+0.2\n易伤比例+2%,0,810
60000,瞭望塔,0,2,60000,6,1,60001,UI/WarEquipment/icon_arrow01_tex,-6 57 217|0 0 0|0 0 0,用来侦查预警的竹楼，对进入攻击范围的敌方部队持续造成[fed655]{0}[-]点每秒的伤害,43 1 0|2 10000 0|0 0 0,500,3952000|4092000|4232000|4372000,502,29000|32000|35000|38000,0,999|999|999|999,44 5 0|2 5000 0|0 0 0,44 5 0|2 5000 0|0 0 0,44 5 0|2 5000 0|0 0 0,47 5 0|2 5000 0|0 0 0,47 5 0|2 5000 0|0 0 0,47 5 0|2 5000 0|0 0 0,0 0 0|0 0 0|0 0 0,0 0 0|0 0 0|0 0 0,0 0 0|0 0 0|0 0 0,每秒伤害+140,每秒伤害+140,每秒伤害+140,生命值+360,生命值+360,生命值+360,1,1,1,NULL,11,20
60001,瞭望塔,1,2,60000,6,1,60002,UI/WarEquipment/icon_arrow01_tex,-6 57 217|0 0 0|0 0 0,用来侦查预警的竹楼，对进入攻击范围的敌方部队持续造成[fed655]{0}[-]点每秒的伤害,43 1 0|44 3 0|47 3 0,500,4532000|4712000|4892000|5072000,502,42000|46000|50000|54000,0,999|999|999|999,44 6 0|2 8000 0|0 0 0,44 6 0|2 8000 0|0 0 0,44 6 0|2 8000 0|0 0 0,47 6 0|2 8000 0|0 0 0,47 6 0|2 8000 0|0 0 0,47 6 0|2 8000 0|0 0 0,0 0 0|0 0 0|0 0 0,0 0 0|0 0 0|0 0 0,0 0 0|0 0 0|0 0 0,每秒伤害+180,每秒伤害+180,每秒伤害+180,生命值+480,生命值+480,生命值+480,1,1,1,每秒伤害+160\n生命值+480,13,110
60002,瞭望塔,2,2,60000,6,1,0,UI/WarEquipment/icon_arrow01_tex,-6 57 217|0 0 0|0 0 0,用来侦查预警的竹楼，对进入攻击范围的敌方部队持续造成[fed655]{0}[-]点每秒的伤害,43 1 0|44 4 0|47 4 0,0,5312000|5312000|5312000|5312000,0,60000|60000|60000|60000,0,999|999|999|999,0 0 0|0 0 0|0 0 0,0 0 0|0 0 0|0 0 0,0 0 0|0 0 0|0 0 0,0 0 0|0 0 0|0 0 0,0 0 0|0 0 0|0 0 0,0 0 0|0 0 0|0 0 0,0 0 0|0 0 0|0 0 0,0 0 0|0 0 0|0 0 0,0 0 0|0 0 0|0 0 0,NULL,NULL,NULL,NULL,NULL,NULL,1,1,1,每秒伤害+240\n生命值+720,0,216
70000,箭楼,0,3,70000,7,1,70001,UI/WarEquipment/icon_watchtower01_tex,-14 70 214|0 0 0|0 0 0,守城御敌的塔楼，攻击范围及能力大幅提高，对进入范围的敌方部队持续造成[fed655]{0}[-]点每秒的伤害,43 2 0|2 50000 0|0 0 0,500,5712000|5932000|6152000|6372000,502,72000|77000|82000|87000,0,999|999|999|999,44 8 0|2 15000 0|0 0 0,44 8 0|2 15000 0|0 0 0,44 8 0|2 15000 0|0 0 0,47 8 0|2 15000 0|0 0 0,47 8 0|2 15000 0|0 0 0,47 8 0|2 15000 0|0 0 0,0 0 0|0 0 0|0 0 0,0 0 0|0 0 0|0 0 0,0 0 0|0 0 0|0 0 0,每秒伤害+220,每秒伤害+220,每秒伤害+220,生命值+600,生命值+600,生命值+600,1,1,1,NULL,16,30
70001,箭楼,1,3,70000,7,1,70002,UI/WarEquipment/icon_watchtower01_tex,-14 70 214|0 0 0|0 0 0,守城御敌的塔楼，攻击范围及能力大幅提高，对进入范围的敌方部队持续造成[fed655]{0}[-]点每秒的伤害,43 2 0|44 6 0|47 6 0,500,6692000|6992000|7292000|7592000,502,94000|101000|108000|115000,0,999|999|999|999,44 12 0|2 38000 0|29 2 0,44 12 0|2 38000 0|29 2 0,44 12 0|2 38000 0|29 2 0,47 12 0|2 38000 0|29 2 0,47 12 0|2 38000 0|29 2 0,47 12 0|2 38000 0|29 2 0,0 0 0|0 0 0|0 0 0,0 0 0|0 0 0|0 0 0,0 0 0|0 0 0|0 0 0,每秒伤害+300,每秒伤害+300,每秒伤害+300,生命值+840,生命值+840,生命值+840,1,1,1,每秒伤害+320\n生命值+840,18,160
70002,箭楼,2,3,70000,7,1,70003,UI/WarEquipment/icon_watchtower01_tex,-14 70 214|0 0 0|0 0 0,守城御敌的塔楼，攻击范围及能力大幅提高，对进入范围的敌方部队持续造成[fed655]{0}[-]点每秒的伤害,43 2 0|44 8 0|47 8 0,500,7992000|8472000|8952000|9432000,502,125000|138000|151000|164000,0,999|999|999|999,44 18 0|2 80000 0|29 4 0,44 18 0|2 80000 0|29 4 0,44 18 0|2 80000 0|29 4 0,47 18 0|2 80000 0|29 4 0,47 18 0|2 80000 0|29 4 0,47 18 0|2 80000 0|29 4 0,0 0 0|0 0 0|0 0 0,0 0 0|0 0 0|0 0 0,0 0 0|0 0 0|0 0 0,每秒伤害+480,每秒伤害+480,每秒伤害+480,生命值+1560,生命值+1560,生命值+1560,1,1,1,每秒伤害+400\n生命值+1200,20,306
70003,箭楼,3,3,70000,7,1,0,UI/WarEquipment/icon_watchtower01_tex,-14 70 214|0 0 0|0 0 0,守城御敌的塔楼，攻击范围及能力大幅提高，对进入范围的敌方部队持续造成[fed655]{0}[-]点每秒的伤害,43 2 0|44 12 0|47 12 0,0,9992000|9992000|9992000|9992000,0,182000|182000|182000|182000,0,999|999|999|999,0 0 0|0 0 0|0 0 0,0 0 0|0 0 0|0 0 0,0 0 0|0 0 0|0 0 0,0 0 0|0 0 0|0 0 0,0 0 0|0 0 0|0 0 0,0 0 0|0 0 0|0 0 0,0 0 0|0 0 0|0 0 0,0 0 0|0 0 0|0 0 0,0 0 0|0 0 0|0 0 0,NULL,NULL,NULL,NULL,NULL,NULL,1,1,1,每秒伤害+560\n生命值+2160,0,468
80000,连弩楼,0,3,80000,8,1,80001,UI/WarEquipment/icon_crossbow01_tex,-12 55 179|0 0 0|0 0 0,坚固的石质塔楼，配备多名连弩手，对进入范围的敌方部队持续造成[fed655]{0}[-]点每秒的伤害,43 4 0|2 350000 0|29 30 0,500,11592000|12252000|12912000|13572000,502,227000|251000|275000|299000,0,999|999|999|999,44 30 0|2 200000 0|29 8 0,44 30 0|2 200000 0|29 8 0,44 30 0|2 200000 0|29 8 0,47 30 0|2 200000 0|29 8 0,47 30 0|2 200000 0|29 8 0,47 30 0|2 200000 0|29 8 0,0 0 0|0 0 0|0 0 0,0 0 0|0 0 0|0 0 0,0 0 0|0 0 0|0 0 0,每秒伤害+660,每秒伤害+660,每秒伤害+660,生命值+2880,生命值+2880,生命值+2880,1,1,1,NULL,25,48
80001,连弩楼,1,3,80000,8,1,80002,UI/WarEquipment/icon_crossbow01_tex,-12 55 179|0 0 0|0 0 0,坚固的石质塔楼，配备多名连弩手，对进入范围的敌方部队持续造成[fed655]{0}[-]点每秒的伤害,43 4 0|44 20 0|47 20 0,500,14692000|15552000|16412000|17272000,502,327000|362000|397000|432000,0,999|999|999|999,44 45 0|2 380000 0|29 15 0,44 45 0|2 380000 0|29 15 0,44 45 0|2 380000 0|29 15 0,47 45 0|2 380000 0|29 15 0,47 45 0|2 380000 0|29 15 0,47 45 0|2 380000 0|29 15 0,0 0 0|0 0 0|0 0 0,0 0 0|0 0 0|0 0 0,0 0 0|0 0 0|0 0 0,每秒伤害+860,每秒伤害+860,每秒伤害+860,生命值+4200,生命值+4200,生命值+4200,1,1,1,每秒伤害+1120\n生命值+3360,31,258
80002,连弩楼,2,3,80000,8,1,80003,UI/WarEquipment/icon_crossbow01_tex,-12 55 179|0 0 0|0 0 0,坚固的石质塔楼，配备多名连弩手，对进入范围的敌方部队持续造成[fed655]{0}[-]点每秒的伤害,43 4 0|44 30 0|47 30 0,500,18472000|19572000|20672000|21772000,502,472000|518000|564000|610000,0,999|999|999|999,44 60 0|2 800000 0|29 30 0,44 60 0|2 800000 0|29 30 0,44 60 0|2 800000 0|29 30 0,47 60 0|2 800000 0|29 30 0,47 60 0|2 800000 0|29 30 0,47 60 0|2 800000 0|29 30 0,0 0 0|0 0 0|0 0 0,0 0 0|0 0 0|0 0 0,0 0 0|0 0 0|0 0 0,每秒伤害+1100,每秒伤害+1100,每秒伤害+1100,生命值+5520,生命值+5520,生命值+5520,1,1,1,每秒伤害+1200\n生命值+4800,36,514
