卡牌id,姓名,索引（不超过511）,不在图鉴显示,稀有程度(0普通2觉醒印3堕天印4富商卡6节日卡7不显示分解提示的材料卡),是否稀有卡,国家 1：魏|2：蜀|3：吴|4：群,品质,品质子类型(eg钻石：1觉醒、2堕天、3第三系、4第四系）,分解索引,兵种 0:枪|1:弓|2:骑,风格 1:勇将|2:将军|3:智将|4:策士|5:强袭勇将|6:统帅将军|7:鬼才智将|8:天命策士,卡片类型(1普通2富商3材料卡(例:天命卡)),可用战器,性别,技能ID,普卡技能,真卡技能,鬼卡技能,神卡技能,被动技能1(-1无效),被动技能2,被动技能3,好友普卡技能,好友真卡技能,好友鬼卡技能,好友神卡技能,武力,智力,兵力,部队互斥ID,联协名称1,联协武将1(-1无效),联协加成1,联协名称2,联协武将2,联协加成2,联协名称3,联协武将3,联协加成3,联协名称4,联协武将4,联协加成4,联协名称5,联协武将5,联协加成5,联协名称6,联协武将6,联协加成6,父卡ID,材料卡ID,第三系升星材料数量,父卡进阶,父卡等级,小图片atlas,小图片sprite,大图片,卡片特效(0无特效1扫光2扰动),技能语音,死亡语音,介绍
id,strName,nIndex,nOnlyAvatar,nUncommon,nRare,nCountry,nQuality,nSubQuality,nDecIndex,nMiliType,nStyle,nType,arrWeaponType,nGender,nSkill,nNormalSkill,nRealSkill,nGhostSkill,nGodSkill,nPassiveSkill1,nPassiveSkill2,nPassiveSkill3,nFriendNormalSkill,nFriendRealSkill,nFriendGhostSkill,nFriendGodSkill,fForce,fIntelligence,fTroops,nTroopID,strCoopName1,nCoopID1,fCoopBonus1,strCoopName2,nCoopID2,fCoopBonus2,strCoopName3,nCoopID3,fCoopBonus3,strCoopName4,nCoopID4,fCoopBonus4,strCoopName5,nCoopID5,fCoopBonus5,strCoopName6,nCoopID6,fCoopBonus6,nParentID,nMaterialID,nAdvResAmt,nParentLimStage,nParentLimLevel,strAtlas,strSprite,strCard,nEffect,strSkillVoice,strDeathVoice,strDesc
int,string,int,int,int,int,int,int,int,int,int,int,int,int[6],int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,string,int,double,string,int,double,string,int,double,string,int,double,string,int,double,string,int,double,int,int,int,int,int,string,string,string,int,string,string,string
143,马忠,143,0,0,0,3,2,0,2,0,1,1,0|0|3|4|0|0,1,21431,21431,21432,21433,21434,-1,-1,-1,51411,51412,51413,51414,57,44,44,143,顶头上司,69,0.25,NULL,-1,-1,NULL,-1,0,NULL,-1,0,NULL,-1,0,NULL,-1,0,0,0,0,0,0,SmallCardAtlas,UITexture/card_list/scard2006,card2006,0,warrior/6S_01,warrior/6D_01,吴国将领，任潘璋部下司马。和吕蒙一起进攻关羽，成功擒获关羽父子。
144,带来洞主,144,0,0,0,4,1,0,1,1,1,1,1|0|0|4|0|0,1,11441,11441,11442,11443,11444,-1,-1,-1,51411,51412,51413,51414,63,35,47,144,南蛮族,176,0.15,NULL,-1,-1,NULL,-1,0,NULL,-1,0,NULL,-1,0,NULL,-1,0,0,0,0,0,0,SmallCardAtlas,UITexture/card_list/scard2016,card2016,0,warrior/1S_02,warrior/1D_03n,孟获之妻祝融夫人之弟。于诸葛亮率领蜀国南征军进攻时，向与蜀汉军交手连战连败的孟获推荐木鹿大王、兀突骨，劝其邀请他们出击。
145,陈登,145,0,0,0,1,1,0,1,2,4,1,1|2|0|0|0|0,1,41451,41451,41452,41453,41454,-1,-1,-1,54211,54212,54213,54214,42,65,38,145,NULL,-1,0,NULL,-1,-1,NULL,-1,0,NULL,-1,0,NULL,-1,0,NULL,-1,0,0,0,0,0,0,SmallCardAtlas,UITexture/card_list/scard2023,card2023,0,warrior/3S_02,warrior/3D_03n,性格桀骜不驯，学识渊博，智谋过人。二十五岁就当了县长。
146,罗宪,146,0,0,0,2,1,0,1,1,4,1,1|0|0|4|0|0,1,41461,41461,41462,41463,41464,-1,-1,-1,54111,54112,54113,54114,58,61,25,146,NULL,-1,0,NULL,-1,-1,NULL,-1,0,NULL,-1,0,NULL,-1,0,NULL,-1,0,0,0,0,0,0,SmallCardAtlas,UITexture/card_list/scard2011,card2011,0,warrior/3S_03,warrior/3D_01,年轻时以才学著名，十三岁时便写的一手好文章。后来进入太学就读，拜谯周为老师。当时同侪们将罗宪比喻为子贡。
147,诸葛恪,147,0,0,0,3,1,0,1,1,4,1,0|2|0|4|0|0,1,41471,41471,41472,41473,41474,-1,-1,-1,54311,54312,54313,54314,37,75,32,147,NULL,-1,0,NULL,-1,-1,NULL,-1,0,NULL,-1,0,NULL,-1,0,NULL,-1,0,0,0,0,0,0,SmallCardAtlas,UITexture/card_list/scard2010,card2010,0,warrior/5S_02,warrior/5D_02,诸葛亮之侄，吴大将军诸葛瑾长子。从小就以神童著称，深受孙权赏识，十几岁就官拜骑都尉。
148,孙礼,148,0,0,0,1,1,0,1,2,1,1,1|0|3|0|0|0,1,11481,11481,11482,11483,11484,-1,-1,-1,51111,51112,51113,51114,58,34,52,148,NULL,-1,0,NULL,-1,-1,NULL,-1,0,NULL,-1,0,NULL,-1,0,NULL,-1,0,0,0,0,0,0,SmallCardAtlas,UITexture/card_list/scard2003,card2003,0,warrior/6S_02,warrior/6D_02,魏国武将，凶猛过人，曾经为保护魏明帝曹叡而欲独身搏虎，但明帝因担心孙礼有闪失而阻止了他。
149,鄂焕,149,0,0,0,2,1,0,1,2,1,1,0|2|3|0|0|0,1,11491,11491,11492,11493,11494,-1,-1,-1,51111,51112,51113,51114,61,32,50,149,NULL,-1,0,NULL,-1,-1,NULL,-1,0,NULL,-1,0,NULL,-1,0,NULL,-1,0,0,0,0,0,0,SmallCardAtlas,UITexture/card_list/scard2012,card2012,0,warrior/1S_03,warrior/1D_04,身长九尺，面目狰狞，使一杆方天画戟，有万夫不当之勇，担任高定军的先锋与魏延、王平、张翼交战，中计被俘投降蜀国。
150,刘晔,150,0,0,0,1,1,0,1,2,4,1,0|2|0|4|0|0,1,41501,41501,41502,41503,41504,-1,-1,-1,54411,54412,54413,54414,32,75,36,150,NULL,-1,0,NULL,-1,-1,NULL,-1,0,NULL,-1,0,NULL,-1,0,NULL,-1,0,0,0,0,0,0,SmallCardAtlas,UITexture/card_list/scard2011,card2011,0,warrior/5S_01,warrior/5D_01,刘晔年少知名，人称有佐世之才，是曹操手下举足轻重的谋士，他屡献妙计，对天下形势的发展往往一语中的
151,兀突骨,151,0,0,0,4,1,0,1,2,1,1,1|0|3|0|0|0,1,11511,11511,11512,11513,11514,-1,-1,-1,51211,51212,51213,51214,76,21,45,151,NULL,-1,0,NULL,-1,-1,NULL,-1,0,NULL,-1,0,NULL,-1,0,NULL,-1,0,0,0,0,0,0,SmallCardAtlas,UITexture/card_list/scard2012,card2012,0,warrior/1S_04,warrior/1D_05,南蛮乌戈国之主，是身长十二尺的巨汉。孟获遭到六擒六纵之后向兀突骨救援，兀突骨亲自带领两名兵长土安、奚泥及三万藤甲兵去攻蜀，被魏延击杀。
152,刑道荣,152,0,0,0,4,1,0,1,0,1,1,1|0|3|0|0|0,1,11521,11521,11522,11523,11524,-1,-1,-1,51211,51212,51213,51214,65,32,45,152,NULL,-1,0,NULL,-1,-1,NULL,-1,0,NULL,-1,0,NULL,-1,0,NULL,-1,0,0,0,0,0,0,SmallCardAtlas,UITexture/card_list/scard2015,card2015,0,warrior/6S_03,warrior/6D_03n,零陵太守刘度帐下的一员猛将，中了埋伏之后欺骗刘备作为愿意在进攻时作为军中内应。最后失信被赵云所杀。
153,张鲁,153,0,0,0,4,1,0,1,1,3,1,0|2|0|4|0|0,1,21531,21531,21532,21533,21534,-1,-1,-1,53211,53212,53213,53214,35,55,52,153,NULL,-1,0,NULL,-1,-1,NULL,-1,0,NULL,-1,0,NULL,-1,0,NULL,-1,0,0,0,0,0,0,SmallCardAtlas,UITexture/card_list/scard2017,card2017,0,warrior/4S_02n,warrior/4D_05n,五斗米道的首领，人入其道需要交纳五斗米，从而得名。在汉中建立了一个独立政权，并维持了30年的安定，后降于曹操，很受器重。
154,邓忠,154,0,0,0,1,1,0,1,1,2,1,1|0|0|4|0|0,1,11541,11541,11542,11543,11544,-1,-1,-1,52211,52212,52213,52214,39,59,43,154,慈父,64,0.2,NULL,-1,-1,NULL,-1,0,NULL,-1,0,NULL,-1,0,NULL,-1,0,0,0,0,0,0,SmallCardAtlas,UITexture/card_list/scard2017,card2017,0,warrior/4S_01,warrior/4D_01,邓艾之子，随父亲在段谷打败姜维。在长城作战时，与姜维激战，不分胜负。
155,张绣,155,0,0,0,1,1,0,1,0,2,1,0|0|3|4|0|0,1,11551,11551,11552,11553,11554,-1,-1,-1,52311,52312,52313,52314,56,30,55,155,嫂嫂莫怕,127,0.25,NULL,-1,-1,NULL,-1,0,NULL,-1,0,NULL,-1,0,NULL,-1,0,0,0,0,0,0,SmallCardAtlas,UITexture/card_list/scard2008,card2008,0,warrior/6S_04,warrior/6D_01,东汉末年割据宛城的军阀，汉末群雄之一。官渡之战前夕，听从贾诩的建议投降曹操，官至破羌将军。
156,蒋钦,156,0,0,0,3,1,0,1,0,1,1,1|0|3|0|0|0,1,21561,21561,21562,21563,21564,-1,-1,-1,51411,51412,51413,51414,52,41,48,156,NULL,-1,0,NULL,-1,-1,NULL,-1,0,NULL,-1,0,NULL,-1,0,NULL,-1,0,0,0,0,0,0,SmallCardAtlas,UITexture/card_list/scard2019,card2019,0,warrior/3S_04,warrior/3D_02,蒋钦与周泰原为活跃 于长江一带的江贼，孙策脱离袁术下江东自立门户时，和周泰等人先后率众投靠，曾在赤壁之战替孙吴率领水军作战。
157,吕岱,157,0,0,0,3,1,0,1,1,2,1,0|2|0|4|0|0,1,11571,11571,11572,11573,11574,-1,-1,-1,52111,52112,52113,52114,51,58,32,157,NULL,-1,0,NULL,-1,-1,NULL,-1,0,NULL,-1,0,NULL,-1,0,NULL,-1,0,0,0,0,0,0,SmallCardAtlas,UITexture/card_list/scard2013,card2013,0,warrior/6S_01,warrior/6D_02,吴国人物，原系广陵海陵人，本为郡县吏，因避中原之乱而南渡。受孙权赏识，在其手下做事。
158,周旨,158,0,0,0,1,1,0,1,2,2,1,1|2|0|0|0|0,1,11581,11581,11582,11583,11584,-1,-1,-1,52411,52412,52413,52414,45,41,55,158,NULL,-1,0,NULL,-1,-1,NULL,-1,0,NULL,-1,0,NULL,-1,0,NULL,-1,0,0,0,0,0,0,SmallCardAtlas,UITexture/card_list/scard2025,card2025,0,warrior/4S_02n,warrior/4D_02,魏国武将，担任杜预的部将，随军讨伐东吴。率领八百水军进攻夏口，斩杀敌将孙歆、沈莹，立下大功
159,张梁,159,0,0,0,4,1,0,1,2,1,1,1|0|0|4|0|0,1,21591,21591,21592,21593,21594,-1,-1,-1,51311,51312,51313,51314,70,15,55,159,黄巾兄弟,175,0.15,NULL,-1,-1,NULL,-1,0,NULL,-1,0,NULL,-1,0,NULL,-1,0,0,0,0,0,0,SmallCardAtlas,UITexture/card_list/scard2015,card2015,0,warrior/4S_01,warrior/4D_03,张角最小的弟弟，人称人公将军，张角死后，张梁依然在四处燃气战火和官兵对抗，最终兵败。
160,何进,160,0,0,0,4,1,0,1,2,2,1,1|2|0|0|0|0,1,11601,11601,11602,11603,11604,-1,-1,-1,52211,52212,52213,52214,60,15,65,160,美人妹妹,135,0.25,NULL,-1,-1,NULL,-1,0,NULL,-1,0,NULL,-1,0,NULL,-1,0,0,0,0,0,0,SmallCardAtlas,UITexture/card_list/scard2009,card2009,0,warrior/1S_05n,warrior/1D_06,因为妹妹做了皇后而当上大将军的人，原来是一个屠夫，出身低微。为了消灭宦官当权的乱象，招了董卓带兵进京，最后遭宦官杀害。
161,贾充,161,0,0,0,1,1,0,1,1,4,1,0|0|3|4|0|0,1,41611,41611,41612,41613,41614,-1,-1,-1,54311,54312,54313,54314,31,65,44,161,NULL,-1,0,NULL,-1,-1,NULL,-1,0,NULL,-1,0,NULL,-1,0,NULL,-1,0,0,0,0,0,0,SmallCardAtlas,UITexture/card_list/scard2018,card2018,0,warrior/3S_05,warrior/3D_04,豫州刺史贾逵之子。深受司马氏统治者的信任，西晋开国元勋，在西晋代魏建国时多有出力。
162,陈武,162,0,0,0,3,1,0,1,0,3,1,1|0|3|0|0|0,1,21621,21621,21622,21623,21624,-1,-1,-1,53411,53412,53413,53414,47,33,59,162,NULL,-1,0,NULL,-1,-1,NULL,-1,0,NULL,-1,0,NULL,-1,0,NULL,-1,0,0,0,0,0,0,SmallCardAtlas,UITexture/card_list/scard2026,card2026,0,warrior/5S_04n,warrior/5D_02,陈武年轻时仪表堂堂，跟随孙策征战江东，因战功封为别部司马，后来在孙权部下任职。由于陈武仁厚好施，故受到上至孙权，下至乡里的敬爱。
163,张松,163,0,0,0,2,1,0,1,2,4,1,0|2|3|0|0|0,1,41631,41631,41632,41633,41634,-1,-1,-1,54411,54412,54413,54414,39,65,35,163,NULL,-1,0,NULL,-1,-1,NULL,-1,0,NULL,-1,0,NULL,-1,0,NULL,-1,0,0,0,0,0,0,SmallCardAtlas,UITexture/card_list/scard2001,card2001,0,warrior/4S_04,warrior/4D_04,原为刘璋部下，身材矮小行为放荡。但是却足智多谋。传说他出使魏国时受到轻蔑，他一字不少的背诵了孟德新书。评价说，这算什么新书，我蜀地小儿都会背。
164,淳于琼,164,0,0,0,4,1,0,1,2,1,1,0|0|3|4|0|0,1,11641,11641,11642,11643,11644,-1,-1,-1,51211,51212,51213,51214,69,17,52,164,NULL,-1,0,NULL,-1,-1,NULL,-1,0,NULL,-1,0,NULL,-1,0,NULL,-1,0,0,0,0,0,0,SmallCardAtlas,UITexture/card_list/scard2021,card2021,0,warrior/1S_01,warrior/1D_01,原来汉灵帝禁军西园八校尉之一，官渡之战中守卫粮仓被曹操奇袭兵败，最后被处斩。
165,贺齐,165,0,0,0,3,1,0,1,1,1,1,1|0|0|4|0|0,1,11651,11651,11652,11653,11654,-1,-1,-1,51211,51212,51213,51214,53,32,53,165,NULL,-1,0,NULL,-1,-1,NULL,-1,0,NULL,-1,0,NULL,-1,0,NULL,-1,0,0,0,0,0,0,SmallCardAtlas,UITexture/card_list/scard2014,card2014,0,warrior/6S_02,warrior/6D_03n,吴国名将。早年在平定山越的战斗中立有大功，又讨平叛乱无数，身经百战，所向披靡，深受孙权器重。
166,诸葛诞,166,0,0,0,1,1,0,1,2,3,1,1|2|0|0|0|0,1,21661,21661,21662,21663,21664,-1,-1,-1,53111,53112,53113,53114,32,75,31,166,NULL,-1,0,NULL,-1,-1,NULL,-1,0,NULL,-1,0,NULL,-1,0,NULL,-1,0,0,0,0,0,0,SmallCardAtlas,UITexture/card_list/scard2018,card2018,0,warrior/5S_03,warrior/5D_03n,魏国武将，诸葛亮的堂弟，与夏侯玄、邓飏、田畴四人为四聪。
167,胡车儿,167,0,0,0,4,1,0,1,0,1,1,1|0|3|0|0|0,1,11671,11671,11672,11673,11674,-1,-1,-1,51311,51312,51313,51314,75,31,31,167,偷戟,15,0.25,NULL,-1,-1,NULL,-1,0,NULL,-1,0,NULL,-1,0,NULL,-1,0,0,0,0,0,0,SmallCardAtlas,UITexture/card_list/scard2016,card2016,0,warrior/1S_02,warrior/1D_02,张绣的偏将，据说其“力能负五百斤，日行七百里”。 张绣与曹操作战时，胡车儿把曹操贴身护卫猛将典韦灌醉并盗取了典韦的双戟，致使典韦死于宛城之战。
168,文钦,168,0,0,0,1,1,0,1,0,3,1,0|2|3|0|0|0,1,11681,11681,11682,11683,11684,-1,-1,-1,53411,53412,53413,53414,61,33,43,168,NULL,-1,0,NULL,-1,-1,NULL,-1,0,NULL,-1,0,NULL,-1,0,NULL,-1,0,0,0,0,0,0,SmallCardAtlas,UITexture/card_list/scard2008,card2008,0,warrior/6S_03,warrior/6D_01,曹操部将文稷之子。文鸯、文虎之父。文钦仕魏时官至前将军，拜扬州刺史。
169,步骘,169,0,0,0,3,1,0,1,0,2,1,1|0|3|0|0|0,1,11691,11691,11692,11693,11694,-1,-1,-1,52411,52412,52413,52414,41,34,62,169,NULL,-1,0,NULL,-1,-1,NULL,-1,0,NULL,-1,0,NULL,-1,0,NULL,-1,0,0,0,0,0,0,SmallCardAtlas,UITexture/card_list/scard2013,card2013,0,warrior/4S_05,warrior/4D_05n,孙吴重臣及将领，官至吴国丞相，被封临湘侯，有二子步协、步阐。
170,蒯越,170,0,0,0,1,1,0,1,2,3,1,1|2|0|0|0|0,1,11701,11701,11702,11703,11704,-1,-1,-1,53311,53312,53313,53314,37,65,35,170,NULL,-1,0,NULL,-1,-1,NULL,-1,0,NULL,-1,0,NULL,-1,0,NULL,-1,0,0,0,0,0,0,SmallCardAtlas,UITexture/card_list/scard2020,card2020,0,warrior/4S_02n,warrior/4D_01,原本是荆州牧刘表的部下，曾经在刘表初上任时帮助刘表铲除荆州一带的宗贼（以宗族、乡里关系组成的武装集团）。刘表病逝后与刘琮一同投降曹操
171,牛金,171,0,0,0,1,1,0,1,2,1,1,0|2|3|0|0|0,1,11711,11711,11712,11713,11714,-1,-1,-1,51211,51212,51213,51214,69,22,45,171,顶头上司,49,0.25,NULL,-1,-1,NULL,-1,0,NULL,-1,0,NULL,-1,0,NULL,-1,0,0,0,0,0,0,SmallCardAtlas,UITexture/card_list/scard2012,card2012,0,warrior/1S_03,warrior/1D_03n,曹仁麾下部将，受南郡并与周瑜军交战。对决定死守的曹仁说出“不出城一战乃懦夫行为”后出战。但却遭包围，后幸得曹仁相救后反击，成功击退吴军。
172,孙恒,172,0,0,0,3,1,0,1,1,3,1,0|0|0|4|5|0,1,21721,21721,21722,21723,21724,-1,-1,-1,55911,55912,55913,55914,59,35,42,172,NULL,-1,0,NULL,-1,-1,NULL,-1,0,NULL,-1,0,NULL,-1,0,NULL,-1,0,0,0,0,0,0,SmallCardAtlas,UITexture/card_list/scard2007,card2007,0,warrior/5S_03,warrior/5D_03n,孙河第三个儿子，和陆逊一起对抗刘备，最终获胜。
173,朱桓,173,0,0,0,3,1,0,1,0,2,1,1|0|3|0|0|0,1,11731,11731,11732,11733,11734,-1,-1,-1,52111,52112,52113,52114,45,45,46,173,NULL,-1,0,NULL,-1,-1,NULL,-1,0,NULL,-1,0,NULL,-1,0,NULL,-1,0,0,0,0,0,0,SmallCardAtlas,UITexture/card_list/scard2019,card2019,0,warrior/3S_01,warrior/3D_01,孙权年纪轻轻就追随在身边的武将，为人轻财重义。深受百姓爱戴。
174,曹叡,174,0,0,0,1,1,0,1,2,4,1,0|2|0|0|5|0,1,41741,41741,41742,41743,41744,-1,-1,-1,54211,54212,54213,54214,32,62,42,174,NULL,-1,0,NULL,-1,-1,NULL,-1,0,NULL,-1,0,NULL,-1,0,NULL,-1,0,0,0,0,0,0,SmallCardAtlas,UITexture/card_list/scard2008,card2008,0,warrior/5S_04n,warrior/5D_01,魏明帝。沛国谯县（今安徽亳州）人。曹丕之子，曹操之孙 。能诗文，与曹操、曹丕并称魏之“三祖”
175,张宝,175,0,0,0,4,1,0,1,0,4,1,0|0|3|0|5|0,1,41751,41751,41752,41753,41754,-1,-1,-1,54411,54412,54413,54414,30,61,45,175,黄巾兄弟,159,0.15,NULL,-1,-1,NULL,-1,0,NULL,-1,0,NULL,-1,0,NULL,-1,0,0,0,0,0,0,SmallCardAtlas,UITexture/card_list/scard2016,card2016,0,warrior/4S_01,warrior/4D_02,张角的弟弟，人称地公将军，以道士形象出现。传说中会使用妖术来战斗。最终被自己部下刺杀。
176,忙牙长,176,0,0,0,4,1,0,1,2,1,1,0|2|0|4|0|0,1,11761,11761,11762,11763,11764,-1,-1,-1,51311,51312,51313,51314,55,35,45,176,南蛮族,144,0.15,NULL,-1,-1,NULL,-1,0,NULL,-1,0,NULL,-1,0,NULL,-1,0,0,0,0,0,0,SmallCardAtlas,UITexture/card_list/scard2024,card2024,0,warrior/1S_04,warrior/1D_01,南蛮王孟获的副将，以勇武著称，和蜀军对抗时和王平单挑，中了诸葛的计策，被引进蜀军阵营，死在马岱刀下。
177,阚泽,177,0,0,0,3,1,0,1,1,4,1,1|0|0|4|0|0,1,41771,41771,41772,41773,41774,-1,-1,-1,55711,55712,55713,55714,29,53,53,177,NULL,-1,0,NULL,-1,-1,NULL,-1,0,NULL,-1,0,NULL,-1,0,NULL,-1,0,0,0,0,0,0,SmallCardAtlas,UITexture/card_list/scard2020,card2020,0,warrior/3S_02,warrior/3D_02,阚泽出身农家，少时好学。因家贫无钱买书，就为人抄书，借以博览群书、钻研学问，不但对儒学造诣深厚，而且兼通历法、数学，由是显名。
178,贾逵,178,0,0,0,1,1,0,1,1,3,1,0|2|0|4|0|0,1,11781,11781,11782,11783,11784,-1,-1,-1,53111,53112,53113,53114,51,37,46,178,NULL,-1,0,NULL,-1,-1,NULL,-1,0,NULL,-1,0,NULL,-1,0,NULL,-1,0,0,0,0,0,0,SmallCardAtlas,UITexture/card_list/scard2010,card2010,0,warrior/3S_03,warrior/3D_03n,曹家忠心老臣，曹氏家族三代皇帝他都在身边侍奉，沉稳可信赖。
179,管亥,179,0,0,0,4,1,0,1,2,3,1,0|2|3|0|0|0,1,21791,21791,21792,21793,21794,-1,-1,-1,53111,53112,53113,53114,56,32,43,179,NULL,-1,0,NULL,-1,-1,NULL,-1,0,NULL,-1,0,NULL,-1,0,NULL,-1,0,0,0,0,0,0,SmallCardAtlas,UITexture/card_list/scard2017,card2017,0,warrior/2S_02,warrior/2D_02,管亥是东汉末年黄巾大起义中的将领，管亥的出现引出了英雄人物太史慈，也让刘关张与孔融拉上关系，并再次立下破黄巾功勋。
180,纪灵,180,0,0,0,4,1,0,1,2,1,1,1|0|0|4|0|0,1,11801,11801,11802,11803,11804,-1,-1,-1,55611,55612,55613,55614,55,34,42,180,主公,191,0.15,NULL,-1,-1,NULL,-1,0,NULL,-1,0,NULL,-1,0,NULL,-1,0,0,0,0,0,0,SmallCardAtlas,UITexture/card_list/scard2012,card2012,0,warrior/4S_03,warrior/4D_03,袁绍帐下武将，使用五十斤中的三尖刀，曾于关羽单挑数十回合，不分胜负。袁术失败后投奔袁绍，被张飞拦截斩杀。
181,张曼成,181,0,0,0,4,1,0,1,0,1,1,0|0|3|0|5|0,1,11811,11811,11812,11813,11814,-1,-1,-1,51411,51412,51413,51414,43,35,53,181,NULL,-1,0,NULL,-1,-1,NULL,-1,0,NULL,-1,0,NULL,-1,0,NULL,-1,0,0,0,0,0,0,SmallCardAtlas,UITexture/card_list/scard2031,card2031,0,warrior/4S_03,warrior/4D_04,南阳黄巾渠帅。带着黄巾军没少闹腾，最后被南阳太守秦颉击曼成，斩之。
182,董袭,182,0,0,0,3,1,0,1,2,2,1,1|2|0|0|0|0,1,11821,11821,11822,11823,11824,-1,-1,-1,52411,52412,52413,52414,57,40,33,182,NULL,-1,0,NULL,-1,-1,NULL,-1,0,NULL,-1,0,NULL,-1,0,NULL,-1,0,0,0,0,0,0,SmallCardAtlas,UITexture/card_list/scard2009,card2009,0,warrior/6S_04,warrior/6D_02,东汉末年江东孙氏部将。跟随孙策山阴宿贼黄龙罗、周勃等，讨伐黄祖时战死。
183,黄祖,183,0,0,0,4,1,0,1,1,1,1,1|0|0|4|0|0,1,11831,11831,11832,11833,11834,-1,-1,-1,51211,51212,51213,51214,45,23,62,183,NULL,-1,0,NULL,-1,-1,NULL,-1,0,NULL,-1,0,NULL,-1,0,NULL,-1,0,0,0,0,0,0,SmallCardAtlas,UITexture/card_list/scard2005,card2005,0,warrior/2S_06,warrior/2D_01,东汉末年荆州牧刘表部下的江夏太守。在与长沙太守孙坚交战时其部下将孙坚射死，因此与孙家结下仇怨，最后被孙权所杀。
184,曹冲,184,0,0,0,1,1,0,1,1,4,1,0|0|0|4|5|0,1,41841,41841,41842,41843,41844,-1,-1,-1,54211,54212,54213,54214,43,35,52,184,NULL,-1,0,NULL,-1,-1,NULL,-1,0,NULL,-1,0,NULL,-1,0,NULL,-1,0,0,0,0,0,0,SmallCardAtlas,UITexture/card_list/scard2022,card2022,0,warrior/5S_02,warrior/5D_02,从小聪明仁爱，与众不同，深受曹操喜爱。留有“曹冲称象”的典故。曹操几次对群臣夸耀他，有让他继嗣之意。曹冲还未成年就病逝，年仅十三岁。
185,祢衡,185,0,0,0,4,1,0,1,1,4,1,0|0|0|4|5|0,1,41851,41851,41852,41853,41854,-1,-1,-1,54311,54312,54313,54314,35,55,39,185,NULL,-1,0,NULL,-1,-1,NULL,-1,0,NULL,-1,0,NULL,-1,0,NULL,-1,0,0,0,0,0,0,SmallCardAtlas,UITexture/card_list/scard2001,card2001,0,warrior/3S_04,warrior/3D_01,东汉末年名士，文学家。与孔融等人亲善。后因出言不逊触怒曹操，被遣送至荆州刘表处，后又因出言不逊，被送至江夏太守黄祖处，终为黄祖所杀，终年26岁
186,蒋琬,186,0,0,0,2,1,0,1,1,4,1,0|2|0|4|0|0,1,41861,41861,41862,41863,41864,-1,-1,-1,54411,54412,54413,54414,34,51,43,186,NULL,-1,0,NULL,-1,-1,NULL,-1,0,NULL,-1,0,NULL,-1,0,NULL,-1,0,0,0,0,0,0,SmallCardAtlas,UITexture/card_list/scard2020,card2020,0,warrior/3S_05,warrior/3D_02,著名的政治家。初随刘备入蜀，诸葛亮死后封大将军。
187,杨仪,187,0,0,0,2,1,0,1,0,4,1,1|0|3|0|0|0,1,41871,41871,41872,41873,41874,-1,-1,-1,54311,54312,54313,54314,40,52,33,187,NULL,-1,0,NULL,-1,-1,NULL,-1,0,NULL,-1,0,NULL,-1,0,NULL,-1,0,0,0,0,0,0,SmallCardAtlas,UITexture/card_list/scard2020,card2020,0,warrior/3S_01,warrior/3D_03n,初为荆州刺史傅群主簿，后投襄阳太守关羽。蜀国后期魏延强横，朝中纷纷避让，唯杨仪不惧，和魏延正面对抗。
188,鲍信,188,0,0,0,1,1,0,1,0,1,1,0|2|3|0|0|0,1,11881,11881,11882,11883,11884,-1,-1,-1,51211,51212,51213,51214,57,25,42,188,NULL,-1,0,NULL,-1,-1,NULL,-1,0,NULL,-1,0,NULL,-1,0,NULL,-1,0,0,0,0,0,0,SmallCardAtlas,UITexture/card_list/scard2027,card2027,0,warrior/6S_01,warrior/6D_03n,何进时代就开始活跃的武将，后来占压农民起义时，鲍信为救曹操不幸战死，曹操后来追记功绩，赐封其子。
189,麴义,189,0,0,0,4,1,0,1,2,2,1,1|2|0|0|0|0,1,21891,21891,21892,21893,21894,-1,-1,-1,51411,51412,51413,51414,51,41,31,189,NULL,-1,0,NULL,-1,-1,NULL,-1,0,NULL,-1,0,NULL,-1,0,NULL,-1,0,0,0,0,0,0,SmallCardAtlas,UITexture/card_list/scard2027,card2027,0,warrior/6S_02,warrior/6D_01,军阀袁绍部下的将领，能征善战，屡建战功，曾在凉州与羌人交战，率领着袁绍的精锐部队。后来由于自恃功高而骄纵，被袁绍所杀。
190,张燕,190,0,0,0,4,1,0,1,0,1,1,0|0|3|4|0|0,1,21901,21901,21902,21903,21904,-1,-1,-1,51411,51412,51413,51414,55,21,46,190,NULL,-1,0,NULL,-1,-1,NULL,-1,0,NULL,-1,0,NULL,-1,0,NULL,-1,0,0,0,0,0,0,SmallCardAtlas,UITexture/card_list/scard2003,card2003,0,warrior/2S_04,warrior/2D_04,黑山军首领。常山真定（今河北正定南）人，本姓褚。黄巾起义开始后，燕聚众万余人与之响应。
191,袁术,191,0,0,0,4,3,0,3,1,3,1,0|0|0|4|5|0,1,11911,11911,11912,11913,11914,-1,-1,-1,55611,55612,55613,55614,73,71,81,191,袁家兄弟,52,0.25,NULL,-1,-1,NULL,-1,0,NULL,-1,0,NULL,-1,0,NULL,-1,0,0,0,0,0,0,SmallCardAtlas,UITexture/card_list/scard191,card191,0,warrior/4S_02n,warrior/4D_02,袁绍的弟弟，如果说袁绍是个绣花枕头，那他这个枕头就连花都不绣了，平庸之辈，拿到了玉玺就跑到江淮一带自立称帝，最终被曹操所破。
