序号|战法(ID要小于10000),邮件类型,文本索引,文本标题,文本内容,发送者,附件类型,附件数量
27,1,27,好友邀请礼包,感谢您对我们游戏的认可和宣传，现在献上一点微薄的礼物请您收下。,活动系统,27,1
28,1,28,好友邀请礼包,感谢您对我们游戏的认可和宣传，现在献上一点微薄的礼物请您收下。,活动系统,28,1
29,1,29,好友邀请礼包,感谢您对我们游戏的认可和宣传，现在献上一点微薄的礼物请您收下。,活动系统,29,1
30,1,30,好评大礼,感谢您对于啪啪三国的鼓励与支持，我们会再接再厉的。,活动系统,30,1
31,1,31,犒赏三军,由于各方英豪的杰出表现，来犯的黄巾贼已全数被歼，皇上御赐三军各将领卡魂100000、传承券2张、银钥匙3把，请英雄笑纳,活动系统,11,1
32,1,32,排名奖励,恭喜您在本赛季的竞技场角逐中获得本服第1名，获得排名奖励：觉醒印和堕天印，印玉，金币10枚，漆盘券20张，请查收附件领取~,竞技场系统,32,5
33,1,33,排名奖励,恭喜您在本赛季的竞技场角逐中获得本服第2-3名，获得排名奖励：觉醒印和堕天印，印玉，金币10枚，漆盘券20张，请查收附件领取~,竞技场系统,33,5
34,1,34,排名奖励,恭喜您在本赛季的竞技场角逐中获得本服第4-10名，获得排名奖励：随机觉醒印或堕天印，印玉，金币10枚，漆盘券20张，请查收附件领取~,竞技场系统,34,4
35,1,35,排名奖励,恭喜您在本赛季的竞技场角逐中获得本服第4-10名，获得排名奖励：随机觉醒印或堕天印，印玉，金币10枚，漆盘券20张，请查收附件领取~,竞技场系统,35,4
36,1,36,排名奖励,恭喜您在本赛季的竞技场角逐中获得本服第11-20名，获得排名奖励：金币10枚，漆盘券15张，请查收附件领取~,竞技场系统,36,2
37,1,37,排名奖励,恭喜您在本赛季的竞技场角逐中获得本服第21-50名，获得排名奖励：金币8枚，漆盘券10张，请查收附件领取~,竞技场系统,37,2
38,1,38,排名奖励,恭喜您在本赛季的竞技场角逐中获得本服第51-100名，获得排名奖励：金币5枚，漆盘券5张，请查收附件领取~,竞技场系统,38,2
39,1,39,段位奖励,恭喜您在本赛季的竞技场角逐中进入青铜段位，获得段位奖励：金币1枚，银币3枚，请查收附件领取~,竞技场系统,39,2
40,1,40,段位奖励,恭喜您在本赛季的竞技场角逐中进入白银段位，获得段位奖励：金币1枚，传承券10张，请查收附件领取~,竞技场系统,40,2
41,1,41,段位奖励,恭喜您在本赛季的竞技场角逐中进入黄金段位，获得段位奖励：金币2枚，传承券10张，请查收附件领取~,竞技场系统,41,2
42,1,42,段位奖励,恭喜您在本赛季的竞技场角逐中进入大师段位，获得段位奖励：金币3枚，传承券20张，请查收附件领取~,竞技场系统,42,2
43,1,43,段位奖励,恭喜您在本赛季的竞技场角逐中进入至尊段位，获得段位奖励：金币5枚，传承券30张，请查收附件领取~,竞技场系统,43,2
44,1,44,王者奖励,恭喜您目前在本赛季的竞技场最强王者排名中位居第1名，获得王者奖励：随机四圣石15个，金币3枚，传承券3张，请查收附件领取~,竞技场系统,44,6
45,1,45,王者奖励,恭喜您目前在本赛季的竞技场最强王者排名中位居第1名，获得王者奖励：随机四圣石15个，金币3枚，传承券3张，请查收附件领取~,竞技场系统,45,6
46,1,46,王者奖励,恭喜您目前在本赛季的竞技场最强王者排名中位居第1名，获得王者奖励：随机四圣石15个，金币3枚，传承券3张，请查收附件领取~,竞技场系统,46,6
47,1,47,王者奖励,恭喜您目前在本赛季的竞技场最强王者排名中位居第1名，获得王者奖励：随机四圣石15个，金币3枚，传承券3张，请查收附件领取~,竞技场系统,47,6
48,1,48,王者奖励,恭喜您目前在本赛季的竞技场最强王者排名中位居第1名，获得王者奖励：随机四圣石15个，金币3枚，传承券3张，请查收附件领取~,竞技场系统,48,5
49,1,49,王者奖励,恭喜您目前在本赛季的竞技场最强王者排名中位居第1名，获得王者奖励：随机四圣石15个，金币3枚，传承券3张，请查收附件领取~,竞技场系统,49,5
50,1,50,王者奖励,恭喜您目前在本赛季的竞技场最强王者排名中位居第1名，获得王者奖励：随机四圣石15个，金币3枚，传承券3张，请查收附件领取~,竞技场系统,50,5
51,1,51,王者奖励,恭喜您目前在本赛季的竞技场最强王者排名中位居第1名，获得王者奖励：随机四圣石15个，金币3枚，传承券3张，请查收附件领取~,竞技场系统,51,5
52,1,52,王者奖励,恭喜您目前在本赛季的竞技场最强王者排名中位居第1名，获得王者奖励：随机四圣石15个，金币3枚，传承券3张，请查收附件领取~,竞技场系统,52,5
53,1,53,王者奖励,恭喜您目前在本赛季的竞技场最强王者排名中位居第1名，获得王者奖励：随机四圣石15个，金币3枚，传承券3张，请查收附件领取~,竞技场系统,53,5
54,1,54,王者奖励,恭喜您目前在本赛季的竞技场最强王者排名中位居第1名，获得王者奖励：随机四圣石15个，金币3枚，传承券3张，请查收附件领取~,竞技场系统,54,5
55,1,55,王者奖励,恭喜您目前在本赛季的竞技场最强王者排名中位居第1名，获得王者奖励：随机四圣石15个，金币3枚，传承券3张，请查收附件领取~,竞技场系统,55,5
56,1,56,王者奖励,恭喜您目前在本赛季的竞技场最强王者排名中位居第1名，获得王者奖励：随机四圣石15个，金币3枚，传承券3张，请查收附件领取~,竞技场系统,56,5
57,1,57,王者奖励,恭喜您目前在本赛季的竞技场最强王者排名中位居第1名，获得王者奖励：随机四圣石15个，金币3枚，传承券3张，请查收附件领取~,竞技场系统,57,5
58,1,58,王者奖励,恭喜您目前在本赛季的竞技场最强王者排名中位居第1名，获得王者奖励：随机四圣石15个，金币3枚，传承券3张，请查收附件领取~,竞技场系统,58,5
59,1,59,王者奖励,恭喜您目前在本赛季的竞技场最强王者排名中位居第2名，获得王者奖励：随机四圣石12个，金币2枚，传承券2张，请查收附件领取~,竞技场系统,59,6
60,1,60,王者奖励,恭喜您目前在本赛季的竞技场最强王者排名中位居第2名，获得王者奖励：随机四圣石12个，金币2枚，传承券2张，请查收附件领取~,竞技场系统,60,6
61,1,61,王者奖励,恭喜您目前在本赛季的竞技场最强王者排名中位居第2名，获得王者奖励：随机四圣石12个，金币2枚，传承券2张，请查收附件领取~,竞技场系统,61,6
62,1,62,王者奖励,恭喜您目前在本赛季的竞技场最强王者排名中位居第2名，获得王者奖励：随机四圣石12个，金币2枚，传承券2张，请查收附件领取~,竞技场系统,62,6
63,1,63,王者奖励,恭喜您目前在本赛季的竞技场最强王者排名中位居第2名，获得王者奖励：随机四圣石12个，金币2枚，传承券2张，请查收附件领取~,竞技场系统,63,5
64,1,64,王者奖励,恭喜您目前在本赛季的竞技场最强王者排名中位居第2名，获得王者奖励：随机四圣石12个，金币2枚，传承券2张，请查收附件领取~,竞技场系统,64,5
65,1,65,王者奖励,恭喜您目前在本赛季的竞技场最强王者排名中位居第3名，获得王者奖励：随机四圣石10个，金币2枚，传承券2张，请查收附件领取~,竞技场系统,65,6
66,1,66,王者奖励,恭喜您目前在本赛季的竞技场最强王者排名中位居第3名，获得王者奖励：随机四圣石10个，金币2枚，传承券2张，请查收附件领取~,竞技场系统,66,6
67,1,67,王者奖励,恭喜您目前在本赛季的竞技场最强王者排名中位居第3名，获得王者奖励：随机四圣石10个，金币2枚，传承券2张，请查收附件领取~,竞技场系统,67,6
68,1,68,王者奖励,恭喜您目前在本赛季的竞技场最强王者排名中位居第3名，获得王者奖励：随机四圣石10个，金币2枚，传承券2张，请查收附件领取~,竞技场系统,68,6
69,1,69,王者奖励,恭喜您目前在本赛季的竞技场最强王者排名中位居第3名，获得王者奖励：随机四圣石10个，金币2枚，传承券2张，请查收附件领取~,竞技场系统,69,6
70,1,70,王者奖励,恭喜您目前在本赛季的竞技场最强王者排名中位居第3名，获得王者奖励：随机四圣石10个，金币2枚，传承券2张，请查收附件领取~,竞技场系统,70,5
71,1,71,王者奖励,恭喜您目前在本赛季的竞技场最强王者排名中位居第3名，获得王者奖励：随机四圣石10个，金币2枚，传承券2张，请查收附件领取~,竞技场系统,71,5
72,1,72,王者奖励,恭喜您目前在本赛季的竞技场最强王者排名中位居第3名，获得王者奖励：随机四圣石10个，金币2枚，传承券2张，请查收附件领取~,竞技场系统,72,5
73,1,73,王者奖励,恭喜您目前在本赛季的竞技场最强王者排名中位居第4-10名，获得王者奖励：随机四圣石8个，金币1枚，传承券2张，请查收附件领取~,竞技场系统,73,5
74,1,74,王者奖励,恭喜您目前在本赛季的竞技场最强王者排名中位居第4-10名，获得王者奖励：随机四圣石8个，金币1枚，传承券2张，请查收附件领取~,竞技场系统,74,5
75,1,75,王者奖励,恭喜您目前在本赛季的竞技场最强王者排名中位居第4-10名，获得王者奖励：随机四圣石8个，金币1枚，传承券2张，请查收附件领取~,竞技场系统,75,5
76,1,76,王者奖励,恭喜您目前在本赛季的竞技场最强王者排名中位居第4-10名，获得王者奖励：随机四圣石8个，金币1枚，传承券2张，请查收附件领取~,竞技场系统,76,6
77,1,77,王者奖励,恭喜您目前在本赛季的竞技场最强王者排名中位居第4-10名，获得王者奖励：随机四圣石8个，金币1枚，传承券2张，请查收附件领取~,竞技场系统,77,6
78,1,78,王者奖励,恭喜您目前在本赛季的竞技场最强王者排名中位居第4-10名，获得王者奖励：随机四圣石8个，金币1枚，传承券2张，请查收附件领取~,竞技场系统,78,6
79,1,79,王者奖励,恭喜您目前在本赛季的竞技场最强王者排名中位居第4-10名，获得王者奖励：随机四圣石8个，金币1枚，传承券2张，请查收附件领取~,竞技场系统,79,6
80,1,80,王者奖励,恭喜您目前在本赛季的竞技场最强王者排名中位居第4-10名，获得王者奖励：随机四圣石8个，金币1枚，传承券2张，请查收附件领取~,竞技场系统,80,6
81,1,81,王者奖励,恭喜您目前在本赛季的竞技场最强王者排名中位居第4-10名，获得王者奖励：随机四圣石8个，金币1枚，传承券2张，请查收附件领取~,竞技场系统,81,6
82,1,82,王者奖励,恭喜您目前在本赛季的竞技场最强王者排名中位居第4-10名，获得王者奖励：随机四圣石8个，金币1枚，传承券2张，请查收附件领取~,竞技场系统,82,6
83,1,83,王者奖励,恭喜您目前在本赛季的竞技场最强王者排名中位居第11-20名，获得王者奖励：随机四圣石6个，银币3枚，传承券1张，请查收附件领取~,竞技场系统,83,5
84,1,84,王者奖励,恭喜您目前在本赛季的竞技场最强王者排名中位居第11-20名，获得王者奖励：随机四圣石6个，银币3枚，传承券1张，请查收附件领取~,竞技场系统,84,6
85,1,85,王者奖励,恭喜您目前在本赛季的竞技场最强王者排名中位居第11-20名，获得王者奖励：随机四圣石6个，银币3枚，传承券1张，请查收附件领取~,竞技场系统,85,6
86,1,86,王者奖励,恭喜您目前在本赛季的竞技场最强王者排名中位居第11-20名，获得王者奖励：随机四圣石6个，银币3枚，传承券1张，请查收附件领取~,竞技场系统,86,6
87,1,87,王者奖励,恭喜您目前在本赛季的竞技场最强王者排名中位居第21-50名，获得王者奖励：随机四圣石5个，银币2枚，请查收附件领取~,竞技场系统,87,5
88,1,88,王者奖励,恭喜您目前在本赛季的竞技场最强王者排名中位居第21-50名，获得王者奖励：随机四圣石5个，银币2枚，请查收附件领取~,竞技场系统,88,5
89,1,89,王者奖励,恭喜您目前在本赛季的竞技场最强王者排名中位居第21-50名，获得王者奖励：随机四圣石5个，银币2枚，请查收附件领取~,竞技场系统,89,5
90,1,90,王者奖励,恭喜您目前在本赛季的竞技场最强王者排名中位居第21-50名，获得王者奖励：随机四圣石5个，银币2枚，请查收附件领取~,竞技场系统,90,5
91,1,91,王者奖励,恭喜您目前在本赛季的竞技场最强王者排名中位居第21-50名，获得王者奖励：随机四圣石5个，银币2枚，请查收附件领取~,竞技场系统,91,5
92,1,92,王者奖励,恭喜您目前在本赛季的竞技场最强王者排名中位居第21-50名，获得王者奖励：随机四圣石5个，银币2枚，请查收附件领取~,竞技场系统,92,5
93,1,93,王者奖励,恭喜您目前在本赛季的竞技场最强王者排名中位居第21-50名，获得王者奖励：随机四圣石5个，银币2枚，请查收附件领取~,竞技场系统,93,3
94,1,94,王者奖励,恭喜您目前在本赛季的竞技场最强王者排名中位居第21-50名，获得王者奖励：随机四圣石5个，银币2枚，请查收附件领取~,竞技场系统,94,3
95,1,95,王者奖励,恭喜您目前在本赛季的竞技场最强王者排名中位居第21-50名，获得王者奖励：随机四圣石5个，银币2枚，请查收附件领取~,竞技场系统,95,3
96,1,96,王者奖励,恭喜您目前在本赛季的竞技场最强王者排名中位居第51-100名，获得王者奖励：随机四圣石3个，银币1枚，请查收附件领取~,竞技场系统,96,4
97,1,97,王者奖励,恭喜您目前在本赛季的竞技场最强王者排名中位居第51-100名，获得王者奖励：随机四圣石3个，银币1枚，请查收附件领取~,竞技场系统,97,3
98,1,98,王者奖励,恭喜您目前在本赛季的竞技场最强王者排名中位居第51-100名，获得王者奖励：随机四圣石3个，银币1枚，请查收附件领取~,竞技场系统,98,3
99,1,99,王者奖励,恭喜您目前在本赛季的竞技场最强王者排名中位居第51-100名，获得王者奖励：随机四圣石3个，银币1枚，请查收附件领取~,竞技场系统,99,3
100,1,100,王者奖励,恭喜您目前在本赛季的竞技场最强王者排名中位居第51-100名，获得王者奖励：随机四圣石3个，银币1枚，请查收附件领取~,竞技场系统,100,2
101,1,101,王者奖励,恭喜您目前在本赛季的竞技场最强王者排名中位居第51-100名，获得王者奖励：随机四圣石3个，银币1枚，请查收附件领取~,竞技场系统,101,2
102,1,102,王者奖励,恭喜您目前在本赛季的竞技场最强王者排名中位居第51-100名，获得王者奖励：随机四圣石3个，银币1枚，请查收附件领取~,竞技场系统,102,2
103,1,103,王者奖励,恭喜您目前在本赛季的竞技场最强王者排名中位居第51-100名，获得王者奖励：随机四圣石3个，银币1枚，请查收附件领取~,竞技场系统,103,4
104,1,104,首充大礼等你拿,感谢参加【首充大礼等你拿】活动，请查收赠送的金卡庞统一张！,活动系统,104,1
105,1,105,至尊礼包,尊敬的主公：\n您是我们至尊联盟的成员，这是您今日的至尊礼包：100钻石，请查收。\n祝您今日武运昌隆！\n本礼包只有每日登录后才可额外获得，那么明天见！,活动系统,105,1
106,1,106,升星系统,升星系统可将指定4星武将卡升星为5星钻石武将卡。,系统,0,0
107,1,107,五星君主降临,尊敬的主公：\n感谢您参加活动【五星君主降临】，活动期间您累计购买钻石达到6000，获得金币5枚，银币5枚，请点击附件进行领取~,活动系统,107,2
108,1,108,五星君主降临,尊敬的主公：\n感谢您参加活动【五星君主降临】，活动期间您累计购买钻石达到10000，获得金币8枚，银币10枚，转盘券5张，请点击附件进行领取~,活动系统,108,3
109,1,109,五星君主降临,尊敬的主公：\n感谢您参加活动【五星君主降临】，活动期间您累计购买钻石达到28880，获得青龙石5个，朱雀石10个，白虎石10个，玄武石20个，传承券30张，请点击附件进行领取~,活动系统,109,5
110,1,110,五星君主降临,尊敬的主公：\n感谢您参加活动【五星君主降临】，活动期间您累计购买钻石达到58880，获得金卡曹操1张，请点击附件进行领取~\n觉醒印和印玉将在2.0.0版本更新后3个工作日内以邮件形式发放~,活动系统,110,1
111,1,111,五星君主降临,尊敬的主公：\n感谢您参加活动【五星君主降临】，活动期间您累计购买钻石达到98880，获得金卡曹操1张，请点击附件进行领取~\n堕天印和印玉将在2.0.0版本更新后3个工作日内以邮件形式发放~,活动系统,111,1
112,1,112,“耗”尽甘来,尊敬的主公：\n感谢您参加活动【“耗”尽甘来】，活动期间您累计消耗钻石达到8000，获得朱雀石10个，玄武石10个，请点击附件进行领取~,活动系统,112,2
113,1,113,“耗”尽甘来,尊敬的主公：\n感谢您参加活动【“耗”尽甘来】，活动期间您累计消耗钻石达到20000，获得白虎石10个，青龙石10个和漆盘券10张，请点击附件进行领取~,活动系统,113,3
114,1,114,“耗”尽甘来,尊敬的主公：\n感谢您参加活动【“耗”尽甘来】，26日您累计消耗钻石达到2000，获得银币8枚，军令20个，请点击附件进行领取~,活动系统,114,2
115,1,115,“耗”尽甘来,尊敬的主公：\n感谢您参加活动【“耗”尽甘来】，26日您累计消耗钻石达到5000，获得金币6枚，军令40个，漆盘券5张，请点击附件进行领取~,活动系统,115,3
116,1,116,“耗”尽甘来,尊敬的主公：\n感谢您参加活动【“耗”尽甘来】，26日您累计消耗钻石达到8000，获得金币9枚，银币7枚，漆盘券5张，卡魂20万，请点击附件进行领取~,活动系统,116,4
117,1,117,“耗”尽甘来,尊敬的主公：\n感谢您参加活动【“耗”尽甘来】，27日您累计消耗钻石达到2000，获得银币8枚，军令20个，请点击附件进行领取~,活动系统,114,2
118,1,118,“耗”尽甘来,尊敬的主公：\n感谢您参加活动【“耗”尽甘来】，27日您累计消耗钻石达到5000，获得金币6枚，军令40个，漆盘券5张，请点击附件进行领取~,活动系统,115,3
119,1,119,“耗”尽甘来,尊敬的主公：\n感谢您参加活动【“耗”尽甘来】，27日您累计消耗钻石达到8000，获得金币9枚，银币7枚，漆盘券5张，卡魂20万，请点击附件进行领取~,活动系统,116,4
120,1,120,“耗”尽甘来,尊敬的主公：\n感谢您参加活动【“耗”尽甘来】，28日您累计消耗钻石达到2000，获得银币8枚，军令20个，请点击附件进行领取~,活动系统,114,2
121,1,121,“耗”尽甘来,尊敬的主公：\n感谢您参加活动【“耗”尽甘来】，28日您累计消耗钻石达到5000，获得金币6枚，军令40个，漆盘券5张，请点击附件进行领取~,活动系统,115,3
122,1,122,“耗”尽甘来,尊敬的主公：\n感谢您参加活动【“耗”尽甘来】，28日您累计消耗钻石达到8000，获得金币9枚，银币7枚，漆盘券5张，卡魂20万，请点击附件进行领取~,活动系统,116,4
123,1,123,“耗”尽甘来,尊敬的主公：\n感谢您参加活动【“耗”尽甘来】，29日您累计消耗钻石达到2000，获得银币8枚，军令20个，请点击附件进行领取~,活动系统,114,2
124,1,124,“耗”尽甘来,尊敬的主公：\n感谢您参加活动【“耗”尽甘来】，29日您累计消耗钻石达到5000，获得金币6枚，军令40个，漆盘券5张，请点击附件进行领取~,活动系统,115,3
125,1,125,“耗”尽甘来,尊敬的主公：\n感谢您参加活动【“耗”尽甘来】，29日您累计消耗钻石达到8000，获得金币9枚，银币7枚，漆盘券5张，卡魂20万，请点击附件进行领取~,活动系统,116,4
126,1,126,月度充值大反馈,尊敬的主公：\n感谢您参加【月度充值大反馈】活动，活动期间您累计购买钻石达到50000，获得5000钻石返利，请点击附件进行领取~,活动系统,126,1
127,1,127,月度充值大反馈,尊敬的主公：\n感谢您参加【月度充值大反馈】活动，活动期间您累计购买钻石达到100000，获得10000钻石返利，请点击附件进行领取~,活动系统,127,1
128,1,128,月度充值大反馈,尊敬的主公：\n感谢您参加【月度充值大反馈】活动，活动期间您累计购买钻石达到200000，获得25000钻石返利，请点击附件进行领取~,活动系统,128,1
129,1,129,千元礼包,尊敬的主公：\n感谢您参加【充值千元大礼包】活动，您已累计购买钻石达到10000，获得1000钻石和2000000卡魂，请点击附件进行领取~,活动系统,129,2
130,1,130,虽说愚人,尊敬的主公：\n感谢您参加【虽说愚人，啪啪不坑】活动，这是您累计登陆的第二天，获得军令40个，请点击附件进行领取~,活动系统,130,1
131,1,131,虽说愚人,尊敬的主公：\n感谢您参加【虽说愚人，啪啪不坑】活动，这是您累计登陆的第四天，获得卡魂200000，请点击附件进行领取~,活动系统,131,1
132,1,132,虽说愚人,尊敬的主公：\n感谢您参加【虽说愚人，啪啪不坑】活动，这是您累计登陆的第七天，获得银币5枚，请点击附件进行领取~,活动系统,132,1
133,1,133,虽说愚人,尊敬的主公：\n感谢您参加【虽说愚人，啪啪不坑】活动，这是您累计登陆的第十天，获得印玉20个，请点击附件进行领取~,活动系统,133,1
134,1,134,新的天下,尊敬的主公：\n感谢您参加【新的天下，属于你】活动，恭喜你通过第8章第1图，获得银币3个，请点击附件进行领取~,活动系统,134,1
135,1,135,新的天下,尊敬的主公：\n感谢您参加【新的天下，属于你】活动，恭喜你通过第12章第5图，获得卡魂300000，请点击附件进行领取~,活动系统,135,1
136,1,136,新的天下,尊敬的主公：\n感谢您参加【新的天下，属于你】活动，恭喜你通过第19章第10图，获得印玉20个，请点击附件进行领取~,活动系统,136,1
137,1,137,新的天下,尊敬的主公：\n感谢您参加【新的天下，属于你】活动，恭喜你通过第22章第8图，获得青龙石8个，请点击附件进行领取~,活动系统,137,1
138,1,138,过期邮件,邮件已过期,活动系统,0,0
139,1,139,过期邮件,邮件已过期,活动系统,0,0
140,1,140,过期邮件,邮件已过期,活动系统,0,0
141,1,141,“银”如雨,尊敬的主公：\n感谢您参加【“银”如雨】活动，活动期间您累计购买石达到500，获得充值礼包，请点击附件进行领取~,活动系统,141,1
142,1,142,排名奖励,恭喜您在本赛季的竞技场角逐中获得本服第1名，获得排名奖励：觉醒印和堕天印，印玉，金币10枚，漆盘券20张，请查收附件领取~,竞技场系统,142,5
143,1,143,排名奖励,恭喜您在本赛季的竞技场角逐中获得本服第2-3名，获得排名奖励：觉醒印和堕天印，印玉，金币10枚，漆盘券20张，请查收附件领取~,竞技场系统,143,5
144,1,144,排名奖励,恭喜您在本赛季的竞技场角逐中获得本服第4-10名，获得排名奖励：随机觉醒印或堕天印，印玉，金币10枚，漆盘券20张，请查收附件领取~,竞技场系统,144,4
145,1,145,排名奖励,恭喜您在本赛季的竞技场角逐中获得本服第4-10名，获得排名奖励：随机觉醒印或堕天印，印玉，金币10枚，漆盘券20张，请查收附件领取~,竞技场系统,145,4
146,1,146,排名奖励,恭喜您在本赛季的竞技场角逐中获得本服第11-20名，获得排名奖励：金币10枚，漆盘券15张，请查收附件领取~,竞技场系统,146,2
147,1,147,排名奖励,恭喜您在本赛季的竞技场角逐中获得本服第21-50名，获得排名奖励：金币8枚，漆盘券10张，请查收附件领取~,竞技场系统,147,2
148,1,148,排名奖励,恭喜您在本赛季的竞技场角逐中获得本服第51-100名，获得排名奖励：金币5枚，漆盘券5张，请查收附件领取~,竞技场系统,148,2
149,1,149,段位奖励,恭喜您在本赛季的竞技场角逐中进入青铜段位，获得段位奖励：金币1枚，银币3枚，由于赛季提前结束，额外给予50钻石，请查收附件领取~,竞技场系统,149,3
150,1,150,段位奖励,恭喜您在本赛季的竞技场角逐中进入白银段位，获得段位奖励：金币1枚，传承券10张，由于赛季提前结束，额外给予100钻石，请查收附件领取~,竞技场系统,150,3
151,1,151,段位奖励,恭喜您在本赛季的竞技场角逐中进入黄金段位，获得段位奖励：金币2枚，传承券10张，由于赛季提前结束，额外给予150钻石，请查收附件领取~,竞技场系统,151,3
152,1,152,段位奖励,恭喜您在本赛季的竞技场角逐中进入大师段位，获得段位奖励：金币3枚，传承券20张，由于赛季提前结束，额外给予250钻石，请查收附件领取~,竞技场系统,152,3
153,1,153,段位奖励,恭喜您在本赛季的竞技场角逐中进入至尊段位，获得段位奖励：金币5枚，传承券30张，由于赛季提前结束，额外给予400钻石，请查收附件领取~,竞技场系统,153,3
154,1,154,仁义天下血脉延袭,尊敬的主公：\n感谢您参加【仁义天下血脉延袭】活动，活动期间您累计购买石达到58880，获得新王者礼包，请点击附件进行领取~,活动系统,154,3
